Company Name,Number of Records,Quantity,Quantity (bins)
"Brightdog",1,42,42
"Dabvine",1,53,52
"Blogtags",1,56,56
"Tagtune",1,43,42
"Izio",1,46,46
"Browsebug",1,42,42
"Bubbletube",1,39,38
"Oloo",1,58,58
"Oyope",1,57,56
"Dynabox",1,53,52
"Skinder",1,41,40
"Jayo",1,55,54
"Avamm",1,47,46
"Voonte",1,53,52
"Devbug",1,57,56
"Tekfly",1,52,52
"Divavu",1,56,56
"Oloo",1,52,52
"Feedspan",1,43,42
"Eabox",1,46,46
"Dynabox",1,55,54
"Browsecat",1,38,38
"Feedmix",1,46,46
"Jabberstorm",1,42,42
"Eabox",1,47,46
"Zava",1,55,54
"Devpulse",1,52,52
"Twitterwire",1,55,54
"Trunyx",1,45,44
"Twitterwire",1,62,62
"Rhynoodle",1,57,56
"Yambee",1,53,52
"Jetwire",1,47,46
"Zooveo",1,53,52
"Bluezoom",1,55,54
"Browsezoom",1,43,42
"Kamba",1,56,56
"Photojam",1,56,56
"Muxo",1,56,56
"Einti",1,58,58
"Zoombox",1,43,42
"Youfeed",1,44,44
"Aimbu",1,58,58
"Fatz",1,61,60
"Quinu",1,40,40
"Jaloo",1,60,60
"Topdrive",1,44,44
"Flipbug",1,53,52
"Skibox",1,53,52
"Edgeclub",1,38,38
"Ozu",1,44,44
"Avamm",1,43,42
"Photolist",1,45,44
"Yodoo",1,47,46
"Mita",1,45,44
"Gigabox",1,47,46
"Mynte",1,52,52
"Browsezoom",1,55,54
"Skynoodle",1,59,58
"Yotz",1,47,46
"Pixonyx",1,41,40
"Livetube",1,55,54
"Riffpath",1,46,46
"Wordify",1,46,46
"Quinu",1,58,58
"Ntag",1,44,44
"Eimbee",1,47,46
"Quatz",1,47,46
"Dabfeed",1,56,56
"Shufflester",1,57,56
"Dynabox",1,53,52
"Mynte",1,53,52
"Flipbug",1,56,56
"Topdrive",1,57,56
"Mita",1,43,42
"Voonte",1,58,58
"Meejo",1,47,46
"Bubbletube",1,52,52
"Meevee",1,46,46
"Mynte",1,45,44
"Pixoboo",1,45,44
"Photojam",1,42,42
"Skyble",1,43,42
"Tagcat",1,43,42
"Kwideo",1,52,52
"Trupe",1,55,54
"Skyble",1,44,44
"Dynazzy",1,53,52
"Camimbo",1,38,38
"Tazzy",1,52,52
"Yadel",1,57,56
"Bubblemix",1,43,42
"Lajo",1,43,42
"Blognation",1,41,40
"Voonix",1,47,46
"Thoughtworks",1,53,52
"Lazzy",1,42,42
"Fanoodle",1,57,56
"Jamia",1,55,54
"Thoughtmix",1,53,52
"Jazzy",1,43,42
"Thoughtstorm",1,42,42
"Twinder",1,53,52
"Skimia",1,43,42
"Edgeify",1,56,56
"Rhyzio",1,47,46
"Jaxbean",1,43,42
"Edgepulse",1,46,46
"Minyx",1,52,52
"Topicstorm",1,52,52
"Livetube",1,42,42
"Rhynyx",1,43,42
"Kamba",1,46,46
"Pixope",1,40,40
"Riffpath",1,47,46
"Photofeed",1,41,40
"Flashdog",1,47,46
"Miboo",1,58,58
"JumpXS",1,57,56
"Tagpad",1,44,44
"Oozz",1,58,58
"Browsecat",1,60,60
"Jetwire",1,55,54
"Skaboo",1,53,52
"Kare",1,58,58
"Rhyzio",1,58,58
"Dazzlesphere",1,42,42
"Gabcube",1,60,60
"Quimm",1,44,44
"Meedoo",1,44,44
"Wordtune",1,58,58
"Mybuzz",1,30,30
"Meembee",1,45,44
"JumpXS",1,43,42
"Yozio",1,40,40
"Fiveclub",1,45,44
"Voomm",1,36,36
"Flipbug",1,57,56
"Aimbu",1,57,56
"Cogilith",1,41,40
"Topicstorm",1,53,52
"Feednation",1,52,52
"Wordpedia",1,52,52
"Teklist",1,47,46
"Zoozzy",1,53,52
"Bubbletube",1,53,52
"Skinte",1,53,52
"Vinder",1,38,38
"Kanoodle",1,57,56
"Katz",1,46,46
"Photospace",1,45,44
"Pixonyx",1,44,44
"Lazzy",1,52,52
"Rhynoodle",1,52,52
"Omba",1,44,44
"Voonder",1,46,46
"Pixoboo",1,46,46
"Photojam",1,55,54
"Yozio",1,47,46
"Edgepulse",1,56,56
"Rhynyx",1,55,54
"Thoughtstorm",1,52,52
"Zoomcast",1,55,54
"InnoZ",1,55,54
"Jaxspan",1,56,56
"Vimbo",1,43,42
"Devshare",1,45,44
"Yombu",1,56,56
"Ntag",1,52,52
"Voolith",1,46,46
"Eidel",1,55,54
"Wordware",1,52,52
"Twinder",1,46,46
"Mynte",1,65,64
"Yambee",1,46,46
"Twitterlist",1,53,52
"Trudoo",1,46,46
"Voonyx",1,55,54
"Livetube",1,47,46
"Skinix",1,45,44
"Zooxo",1,52,52
"Abata",1,57,56
"Yodel",1,52,52
"Flashspan",1,41,40
"Rooxo",1,47,46
"Skimia",1,43,42
"Voomm",1,47,46
"Aimbo",1,45,44
"Myworks",1,55,54
"Skyvu",1,56,56
"Janyx",1,58,58
"Jazzy",1,41,40
"Digitube",1,52,52
"Quaxo",1,47,46
"Tagfeed",1,56,56
"Teklist",1,43,42
"Katz",1,52,52
"Vipe",1,52,52
"Mydeo",1,37,36
"Zoomlounge",1,45,44
"Trudoo",1,46,46
"Innojam",1,46,46
"Pixope",1,45,44
"Oozz",1,55,54
"Thoughtsphere",1,47,46
"Oyoloo",1,39,38
"Trilia",1,53,52
"Abata",1,44,44
"Skidoo",1,55,54
"Quinu",1,60,60
"Devpoint",1,43,42
"Meedoo",1,47,46
"Divape",1,42,42
"Yoveo",1,45,44
"Babbleblab",1,46,46
"Trunyx",1,63,62
"Wordtune",1,52,52
"Einti",1,46,46
"Layo",1,42,42
"Meetz",1,53,52
"Riffpedia",1,40,40
"Abata",1,60,60
"Blogpad",1,55,54
"LiveZ",1,47,46
"Skaboo",1,66,66
"Trudoo",1,44,44
"Mudo",1,46,46
"Mita",1,44,44
"Oyoba",1,44,44
"Centidel",1,53,52
"Viva",1,53,52
"Blogspan",1,52,52
"Edgetag",1,41,40
"Twitterwire",1,60,60
"Chatterbridge",1,58,58
"Ntag",1,46,46
"Skiptube",1,58,58
"Centimia",1,58,58
"Avavee",1,52,52
"Zoomzone",1,60,60
"Devpoint",1,52,52
"Plajo",1,47,46
"Blogtag",1,47,46
"Realmix",1,44,44
"Kaymbo",1,38,38
"Mudo",1,62,62
"Voonix",1,55,54
"Edgeblab",1,43,42
"Twimbo",1,55,54
"Zooxo",1,45,44
"Centidel",1,43,42
"Wikivu",1,55,54
"Myworks",1,47,46
"LiveZ",1,57,56
"Bluezoom",1,56,56
"Rooxo",1,45,44
"Skajo",1,40,40
"Thoughtstorm",1,56,56
"Tagopia",1,53,52
"Agivu",1,46,46
"Lazz",1,53,52
"Tavu",1,52,52
"Trilia",1,58,58
"Quinu",1,42,42
"Thoughtbridge",1,41,40
"Thoughtbeat",1,41,40
"Twiyo",1,63,62
"Demizz",1,46,46
"Yodel",1,55,54
"Dynabox",1,45,44
"Flipopia",1,52,52
"Tagfeed",1,58,58
"Katz",1,47,46
"Ntag",1,52,52
"Oloo",1,47,46
"Zoonoodle",1,52,52
"Skajo",1,44,44
"Meeveo",1,53,52
"Voonix",1,45,44
"Omba",1,57,56
"Mycat",1,57,56
"Tagpad",1,47,46
"Bubblemix",1,57,56
"Roodel",1,46,46
"Voonte",1,57,56
"Voonix",1,52,52
"Yacero",1,45,44
"Feedspan",1,55,54
"Bluezoom",1,53,52
"Vimbo",1,56,56
"Youtags",1,47,46
"Quaxo",1,42,42
"Kwinu",1,52,52
"Feedbug",1,45,44
"Rhyzio",1,57,56
"Jaxworks",1,52,52
"Blognation",1,55,54
"Abata",1,45,44
"Skimia",1,44,44
"Quimba",1,42,42
"Eimbee",1,53,52
"Camido",1,52,52
"Yoveo",1,41,40
"Topicshots",1,47,46
"Gabvine",1,57,56
"Skimia",1,55,54
"Jayo",1,58,58
"Thoughtblab",1,55,54
"Jetwire",1,47,46
"Jatri",1,52,52
"Shuffletag",1,52,52
"Livepath",1,47,46
"Devify",1,46,46
"Kazu",1,38,38
"Mybuzz",1,45,44
"Mycat",1,45,44
"InnoZ",1,57,56
"Livetube",1,47,46
"Photolist",1,52,52
"Janyx",1,46,46
"Wikido",1,46,46
"Riffwire",1,52,52
"Tagtune",1,55,54
"Shufflester",1,55,54
"Flipopia",1,52,52
"LiveZ",1,47,46
"Trudoo",1,55,54
"Fivechat",1,44,44
"Twitternation",1,55,54
"Oloo",1,53,52
"Brainverse",1,44,44
"Twitterworks",1,58,58
"Twitterwire",1,41,40
"Gabtype",1,45,44
"Devshare",1,35,34
"Reallinks",1,47,46
"Meedoo",1,46,46
"Voonder",1,42,42
"Realblab",1,62,62
"Zoovu",1,42,42
"Browsecat",1,53,52
"Blognation",1,42,42
"Mycat",1,56,56
"Twimbo",1,47,46
"Nlounge",1,45,44
"Ntag",1,69,68
"Leexo",1,57,56
"Jamia",1,56,56
"Skyba",1,53,52
"Chatterbridge",1,53,52
"Eamia",1,52,52
"Aivee",1,44,44
"Vinte",1,43,42
"Flashdog",1,56,56
"Voolia",1,55,54
"Muxo",1,41,40
"Talane",1,35,34
"Tagfeed",1,43,42
"Yamia",1,43,42
"Abata",1,40,40
"Skipfire",1,55,54
"Tagopia",1,47,46
"Wikizz",1,53,52
"Abata",1,57,56
"Miboo",1,57,56
"Eare",1,55,54
"Ntags",1,57,56
"Jaxbean",1,53,52
"Meetz",1,52,52
"Photobug",1,43,42
"Mymm",1,52,52
"Dynabox",1,46,46
"InnoZ",1,58,58
"Dazzlesphere",1,55,54
"Dabshots",1,53,52
"Wikido",1,46,46
"Jazzy",1,46,46
"Skiptube",1,45,44
"Brightdog",1,47,46
"Lazzy",1,55,54
"Voomm",1,45,44
"Jetwire",1,47,46
"Thoughtmix",1,46,46
"Realpoint",1,55,54
"Rhycero",1,53,52
"Ozu",1,45,44
"Wikivu",1,58,58
"Zoomlounge",1,53,52
"Rhynyx",1,53,52
"Photobug",1,53,52
"Plajo",1,45,44
"Photobean",1,53,52
"Einti",1,44,44
"Jabbertype",1,44,44
"Babbleopia",1,45,44
"Browsedrive",1,53,52
"Babbleblab",1,52,52
"Shuffledrive",1,45,44
"Midel",1,41,40
"Aimbo",1,52,52
"Skidoo",1,45,44
"Babbleopia",1,57,56
"Livetube",1,53,52
"Gabtype",1,43,42
"Skyba",1,53,52
"Dynabox",1,55,54
"Photobug",1,43,42
"Yakidoo",1,56,56
"Lazz",1,62,62
"Kwimbee",1,47,46
"Gabtype",1,60,60
"Wordware",1,53,52
"Lazzy",1,53,52
"Photobug",1,53,52
"Dynava",1,47,46
"Realpoint",1,44,44
"Livefish",1,46,46
"Quinu",1,47,46
"Devcast",1,55,54
"Youtags",1,44,44
"Riffpath",1,52,52
"JumpXS",1,58,58
"Mymm",1,52,52
"Agimba",1,58,58
"Flipbug",1,39,38
"Muxo",1,60,60
"Zoombeat",1,43,42
"Lazz",1,53,52
"Skinder",1,43,42
"Meevee",1,59,58
"Tazz",1,38,38
"Tagfeed",1,46,46
"Rhycero",1,47,46
"Avamm",1,58,58
"Voonder",1,59,58
"Kwimbee",1,57,56
"Quinu",1,45,44
"Skinix",1,45,44
"Skaboo",1,53,52
"Zazio",1,56,56
"Zoonoodle",1,46,46
"Abata",1,45,44
"Zoomcast",1,44,44
"Topicstorm",1,46,46
"Dabjam",1,63,62
"Dynava",1,44,44
"Aimbu",1,56,56
"Snaptags",1,52,52
"Bubbletube",1,55,54
"Feedfire",1,52,52
"Wordify",1,45,44
"Katz",1,58,58
"Trilith",1,39,38
"Kare",1,46,46
"Bubbletube",1,58,58
"Buzzbean",1,44,44
"Bluejam",1,58,58
"Oyope",1,44,44
"Zoomcast",1,52,52
"Devpoint",1,43,42
"Bluejam",1,47,46
"Trilith",1,53,52
"Topicblab",1,56,56
"Dablist",1,43,42
"Thoughtstorm",1,46,46
"Wikivu",1,55,54
"Edgeclub",1,57,56
"Photobean",1,44,44
"Quinu",1,52,52
"Vitz",1,42,42
"Camimbo",1,52,52
"Devcast",1,41,40
"Zoonder",1,46,46
"Twimm",1,58,58
"Abatz",1,58,58
"Quatz",1,55,54
"Gigaclub",1,57,56
"Tazz",1,55,54
"Devpoint",1,45,44
"Kwideo",1,52,52
"Flipbug",1,47,46
"Linktype",1,46,46
"Teklist",1,57,56
"Yambee",1,46,46
"Meembee",1,42,42
"Twimbo",1,46,46
"Wordtune",1,60,60
"Lajo",1,46,46
"Meedoo",1,45,44
"Buzzdog",1,60,60
"Kwilith",1,47,46
"Oyoloo",1,56,56
"Blogpad",1,55,54
"Realbuzz",1,57,56
"Thoughtbeat",1,38,38
"Blogtag",1,56,56
"Zazio",1,55,54
"Kaymbo",1,43,42
"Einti",1,45,44
"Ailane",1,60,60
"Zoonder",1,52,52
"Avamba",1,60,60
"Kwimbee",1,42,42
"Wikivu",1,43,42
"Divanoodle",1,55,54
"Viva",1,42,42
"Bluejam",1,38,38
"Topicblab",1,53,52
"Jamia",1,52,52
"Skivee",1,40,40
"Skyndu",1,55,54
"Yozio",1,58,58
"Mynte",1,46,46
"Voonyx",1,47,46
"Katz",1,45,44
"Linktype",1,46,46
"Rooxo",1,46,46
"Tagopia",1,60,60
"Aimbo",1,47,46
"Dabshots",1,52,52
"Avaveo",1,59,58
"Yoveo",1,53,52
"Twitternation",1,46,46
"Youtags",1,56,56
"Yakijo",1,44,44
"Skipfire",1,52,52
"Plajo",1,46,46
"Quire",1,43,42
"Voonder",1,52,52
"Kimia",1,46,46
"Shufflester",1,46,46
"Viva",1,55,54
"Yamia",1,59,58
"Abata",1,46,46
"Quinu",1,44,44
"Youspan",1,42,42
"Cogidoo",1,47,46
"Jabberstorm",1,58,58
"Kanoodle",1,52,52
"Thoughtstorm",1,47,46
"Jetpulse",1,52,52
"Fanoodle",1,53,52
"Skivee",1,42,42
"Browsecat",1,44,44
"Avamba",1,47,46
"Thoughtstorm",1,55,54
"Twimbo",1,47,46
"Linktype",1,59,58
"Riffwire",1,47,46
"Riffpedia",1,47,46
"Topicshots",1,47,46
"Oyonder",1,57,56
"Yadel",1,53,52
"Yakidoo",1,45,44
"Youopia",1,46,46
"Mydo",1,46,46
"Divape",1,57,56
"Yata",1,44,44
"Topiclounge",1,55,54
"Babbleset",1,55,54
"Devpulse",1,59,58
"Viva",1,46,46
"Twinder",1,57,56
"Jatri",1,47,46
"Realblab",1,55,54
"Shuffletag",1,42,42
"Brightbean",1,44,44
"Mynte",1,53,52
"Quimm",1,46,46
"Photospace",1,53,52
"Realblab",1,58,58
"Pixoboo",1,59,58
"Vimbo",1,53,52
"Voomm",1,62,62
"Vitz",1,40,40
"Meemm",1,45,44
"Twinte",1,42,42
"Yakijo",1,43,42
"Flashdog",1,47,46
"Kwilith",1,43,42
"Skynoodle",1,53,52
"Skinix",1,55,54
"Pixonyx",1,42,42
"Kimia",1,44,44
"Kaymbo",1,47,46
"Skippad",1,64,64
