Date,Province,Electricity Distributed Gwh
2015-09-01 00:00:00.000,"Western Cape",1848
2015-10-01 00:00:00.000,"Western Cape",1912
2015-11-01 00:00:00.000,"Western Cape",1835
2015-12-01 00:00:00.000,"Western Cape",1914
2016-01-01 00:00:00.000,"Western Cape",1969
2016-02-01 00:00:00.000,"Western Cape",1903
2016-03-01 00:00:00.000,"Western Cape",1940
2016-04-01 00:00:00.000,"Western Cape",1830
2016-05-01 00:00:00.000,"Western Cape",1897
2016-06-01 00:00:00.000,"Western Cape",1896
2016-07-01 00:00:00.000,"Western Cape",1965
2016-08-01 00:00:00.000,"Western Cape",1820
2016-09-01 00:00:00.000,"Western Cape",1783
2016-10-01 00:00:00.000,"Western Cape",1858
2016-11-01 00:00:00.000,"Western Cape",1862
2016-12-01 00:00:00.000,"Western Cape",1858
2017-01-01 00:00:00.000,"Western Cape",1907
2017-02-01 00:00:00.000,"Western Cape",1830
2017-03-01 00:00:00.000,"Western Cape",2011
2017-04-01 00:00:00.000,"Western Cape",1819
2017-05-01 00:00:00.000,"Western Cape",1949
2017-06-01 00:00:00.000,"Western Cape",1915
2017-07-01 00:00:00.000,"Western Cape",1978
2017-08-01 00:00:00.000,"Western Cape",1976
2017-09-01 00:00:00.000,"Western Cape",1828
2017-10-01 00:00:00.000,"Western Cape",1874
2017-11-01 00:00:00.000,"Western Cape",1834
2017-12-01 00:00:00.000,"Western Cape",1849
2018-01-01 00:00:00.000,"Western Cape",1899
2018-02-01 00:00:00.000,"Western Cape",1788
2018-03-01 00:00:00.000,"Western Cape",1938
2018-04-01 00:00:00.000,"Western Cape",1791
2018-05-01 00:00:00.000,"Western Cape",1892
2018-06-01 00:00:00.000,"Western Cape",1856
2018-07-01 00:00:00.000,"Western Cape",1883
2018-08-01 00:00:00.000,"Western Cape",1970
2018-09-01 00:00:00.000,"Western Cape",1848
2018-10-01 00:00:00.000,"Western Cape",1794
2018-11-01 00:00:00.000,"Western Cape",1823
2018-12-01 00:00:00.000,"Western Cape",1822
2019-01-01 00:00:00.000,"Western Cape",1913
2019-02-01 00:00:00.000,"Western Cape",1827
2019-03-01 00:00:00.000,"Western Cape",1896
2019-04-01 00:00:00.000,"Western Cape",1834
2019-05-01 00:00:00.000,"Western Cape",1920
2019-06-01 00:00:00.000,"Western Cape",1880
2019-07-01 00:00:00.000,"Western Cape",1997
2019-08-01 00:00:00.000,"Western Cape",1961
2019-09-01 00:00:00.000,"Western Cape",1789
2019-10-01 00:00:00.000,"Western Cape",1855
2019-11-01 00:00:00.000,"Western Cape",1782
2019-12-01 00:00:00.000,"Western Cape",1719
2020-01-01 00:00:00.000,"Western Cape",1874
2020-02-01 00:00:00.000,"Western Cape",1781
2020-03-01 00:00:00.000,"Western Cape",1834
2020-04-01 00:00:00.000,"Western Cape",1464
2020-05-01 00:00:00.000,"Western Cape",1621
2020-06-01 00:00:00.000,"Western Cape",1661
2002-01-01 00:00:00.000,"Eastern Cape",436
2002-02-01 00:00:00.000,"Eastern Cape",434
2002-03-01 00:00:00.000,"Eastern Cape",471
2002-04-01 00:00:00.000,"Eastern Cape",499
2002-05-01 00:00:00.000,"Eastern Cape",537
2002-06-01 00:00:00.000,"Eastern Cape",523
2002-07-01 00:00:00.000,"Eastern Cape",553
2002-08-01 00:00:00.000,"Eastern Cape",524
2002-09-01 00:00:00.000,"Eastern Cape",474
2002-10-01 00:00:00.000,"Eastern Cape",517
2002-11-01 00:00:00.000,"Eastern Cape",503
2002-12-01 00:00:00.000,"Eastern Cape",450
2003-01-01 00:00:00.000,"Eastern Cape",490
2003-02-01 00:00:00.000,"Eastern Cape",471
2003-03-01 00:00:00.000,"Eastern Cape",511
2003-04-01 00:00:00.000,"Eastern Cape",493
2003-05-01 00:00:00.000,"Eastern Cape",534
2003-06-01 00:00:00.000,"Eastern Cape",549
2003-07-01 00:00:00.000,"Eastern Cape",576
2003-08-01 00:00:00.000,"Eastern Cape",570
2003-09-01 00:00:00.000,"Eastern Cape",533
2003-10-01 00:00:00.000,"Eastern Cape",548
2003-11-01 00:00:00.000,"Eastern Cape",523
2003-12-01 00:00:00.000,"Eastern Cape",487
2004-01-01 00:00:00.000,"Eastern Cape",545
2004-02-01 00:00:00.000,"Eastern Cape",520
2004-03-01 00:00:00.000,"Eastern Cape",550
2004-04-01 00:00:00.000,"Eastern Cape",504
2004-05-01 00:00:00.000,"Eastern Cape",573
2004-06-01 00:00:00.000,"Eastern Cape",578
2004-07-01 00:00:00.000,"Eastern Cape",604
2004-08-01 00:00:00.000,"Eastern Cape",584
2004-09-01 00:00:00.000,"Eastern Cape",559
2004-10-01 00:00:00.000,"Eastern Cape",563
2004-11-01 00:00:00.000,"Eastern Cape",560
2004-12-01 00:00:00.000,"Eastern Cape",490
2005-01-01 00:00:00.000,"Eastern Cape",531
2005-02-01 00:00:00.000,"Eastern Cape",502
2005-03-01 00:00:00.000,"Eastern Cape",545
2005-04-01 00:00:00.000,"Eastern Cape",543
2005-05-01 00:00:00.000,"Eastern Cape",578
2005-06-01 00:00:00.000,"Eastern Cape",577
2005-07-01 00:00:00.000,"Eastern Cape",594
2005-08-01 00:00:00.000,"Eastern Cape",601
2005-09-01 00:00:00.000,"Eastern Cape",577
2005-10-01 00:00:00.000,"Eastern Cape",568
2005-11-01 00:00:00.000,"Eastern Cape",553
2005-12-01 00:00:00.000,"Eastern Cape",509
2006-01-01 00:00:00.000,"Eastern Cape",540
2006-02-01 00:00:00.000,"Eastern Cape",510
2006-03-01 00:00:00.000,"Eastern Cape",555
2006-04-01 00:00:00.000,"Eastern Cape",523
2006-05-01 00:00:00.000,"Eastern Cape",583
2006-06-01 00:00:00.000,"Eastern Cape",583
2006-07-01 00:00:00.000,"Eastern Cape",605
2006-08-01 00:00:00.000,"Eastern Cape",607
2006-09-01 00:00:00.000,"Eastern Cape",575
2006-10-01 00:00:00.000,"Eastern Cape",590
2006-11-01 00:00:00.000,"Eastern Cape",577
2006-12-01 00:00:00.000,"Eastern Cape",537
2007-01-01 00:00:00.000,"Eastern Cape",581
2007-02-01 00:00:00.000,"Eastern Cape",555
2007-03-01 00:00:00.000,"Eastern Cape",601
2007-04-01 00:00:00.000,"Eastern Cape",569
2007-05-01 00:00:00.000,"Eastern Cape",636
2007-06-01 00:00:00.000,"Eastern Cape",620
2007-07-01 00:00:00.000,"Eastern Cape",636
2007-08-01 00:00:00.000,"Eastern Cape",640
2007-09-01 00:00:00.000,"Eastern Cape",621
2007-10-01 00:00:00.000,"Eastern Cape",649
2007-11-01 00:00:00.000,"Eastern Cape",629
2007-12-01 00:00:00.000,"Eastern Cape",556
2008-01-01 00:00:00.000,"Eastern Cape",591
2008-02-01 00:00:00.000,"Eastern Cape",592
2008-03-01 00:00:00.000,"Eastern Cape",611
2008-04-01 00:00:00.000,"Eastern Cape",589
2008-05-01 00:00:00.000,"Eastern Cape",631
2008-06-01 00:00:00.000,"Eastern Cape",638
2008-07-01 00:00:00.000,"Eastern Cape",664
2008-08-01 00:00:00.000,"Eastern Cape",642
2008-09-01 00:00:00.000,"Eastern Cape",628
2008-10-01 00:00:00.000,"Eastern Cape",630
2008-11-01 00:00:00.000,"Eastern Cape",589
2008-12-01 00:00:00.000,"Eastern Cape",519
2009-01-01 00:00:00.000,"Eastern Cape",566
2009-02-01 00:00:00.000,"Eastern Cape",515
2009-03-01 00:00:00.000,"Eastern Cape",582
2009-04-01 00:00:00.000,"Eastern Cape",544
2009-05-01 00:00:00.000,"Eastern Cape",621
2009-06-01 00:00:00.000,"Eastern Cape",630
2009-07-01 00:00:00.000,"Eastern Cape",638
2009-08-01 00:00:00.000,"Eastern Cape",642
2009-09-01 00:00:00.000,"Eastern Cape",610
2009-10-01 00:00:00.000,"Eastern Cape",589
2009-11-01 00:00:00.000,"Eastern Cape",598
2009-12-01 00:00:00.000,"Eastern Cape",558
2010-01-01 00:00:00.000,"Eastern Cape",600
2010-02-01 00:00:00.000,"Eastern Cape",559
2010-03-01 00:00:00.000,"Eastern Cape",623
2010-04-01 00:00:00.000,"Eastern Cape",593
2010-05-01 00:00:00.000,"Eastern Cape",662
2010-06-01 00:00:00.000,"Eastern Cape",648
2010-07-01 00:00:00.000,"Eastern Cape",690
2010-08-01 00:00:00.000,"Eastern Cape",654
2010-09-01 00:00:00.000,"Eastern Cape",615
2010-10-01 00:00:00.000,"Eastern Cape",654
2010-11-01 00:00:00.000,"Eastern Cape",633
2010-12-01 00:00:00.000,"Eastern Cape",601
2011-01-01 00:00:00.000,"Eastern Cape",620
2011-02-01 00:00:00.000,"Eastern Cape",588
2011-03-01 00:00:00.000,"Eastern Cape",623
2011-04-01 00:00:00.000,"Eastern Cape",611
2011-05-01 00:00:00.000,"Eastern Cape",664
2011-06-01 00:00:00.000,"Eastern Cape",672
2011-07-01 00:00:00.000,"Eastern Cape",699
2011-08-01 00:00:00.000,"Eastern Cape",697
2011-09-01 00:00:00.000,"Eastern Cape",661
2011-10-01 00:00:00.000,"Eastern Cape",659
2011-11-01 00:00:00.000,"Eastern Cape",641
2011-12-01 00:00:00.000,"Eastern Cape",597
2012-01-01 00:00:00.000,"Eastern Cape",662
2012-02-01 00:00:00.000,"Eastern Cape",643
2012-03-01 00:00:00.000,"Eastern Cape",684
2012-04-01 00:00:00.000,"Eastern Cape",608
2012-05-01 00:00:00.000,"Eastern Cape",680
2012-06-01 00:00:00.000,"Eastern Cape",673
2012-07-01 00:00:00.000,"Eastern Cape",698
2012-08-01 00:00:00.000,"Eastern Cape",700
2012-09-01 00:00:00.000,"Eastern Cape",650
2012-10-01 00:00:00.000,"Eastern Cape",648
2012-11-01 00:00:00.000,"Eastern Cape",631
2012-12-01 00:00:00.000,"Eastern Cape",606
2013-01-01 00:00:00.000,"Eastern Cape",651
2013-02-01 00:00:00.000,"Eastern Cape",615
2013-03-01 00:00:00.000,"Eastern Cape",649
2013-04-01 00:00:00.000,"Eastern Cape",634
2013-05-01 00:00:00.000,"Eastern Cape",688
2013-06-01 00:00:00.000,"Eastern Cape",677
2013-07-01 00:00:00.000,"Eastern Cape",716
2013-08-01 00:00:00.000,"Eastern Cape",698
2013-09-01 00:00:00.000,"Eastern Cape",645
2013-10-01 00:00:00.000,"Eastern Cape",656
2013-11-01 00:00:00.000,"Eastern Cape",625
2013-12-01 00:00:00.000,"Eastern Cape",604
2014-01-01 00:00:00.000,"Eastern Cape",682
2014-02-01 00:00:00.000,"Eastern Cape",636
2014-03-01 00:00:00.000,"Eastern Cape",672
2014-04-01 00:00:00.000,"Eastern Cape",645
2014-05-01 00:00:00.000,"Eastern Cape",649
2014-06-01 00:00:00.000,"Eastern Cape",645
2014-07-01 00:00:00.000,"Eastern Cape",711
2014-08-01 00:00:00.000,"Eastern Cape",718
2014-09-01 00:00:00.000,"Eastern Cape",722
2014-10-01 00:00:00.000,"Eastern Cape",758
2014-11-01 00:00:00.000,"Eastern Cape",707
2014-12-01 00:00:00.000,"Eastern Cape",663
2015-01-01 00:00:00.000,"Eastern Cape",723
2015-02-01 00:00:00.000,"Eastern Cape",655
2015-03-01 00:00:00.000,"Eastern Cape",709
2015-04-01 00:00:00.000,"Eastern Cape",680
2015-05-01 00:00:00.000,"Eastern Cape",728
2015-06-01 00:00:00.000,"Eastern Cape",735
2015-07-01 00:00:00.000,"Eastern Cape",786
2015-08-01 00:00:00.000,"Eastern Cape",763
2015-09-01 00:00:00.000,"Eastern Cape",725
2015-10-01 00:00:00.000,"Eastern Cape",741
2015-11-01 00:00:00.000,"Eastern Cape",724
2015-12-01 00:00:00.000,"Eastern Cape",709
2016-01-01 00:00:00.000,"Eastern Cape",741
2016-02-01 00:00:00.000,"Eastern Cape",702
2016-03-01 00:00:00.000,"Eastern Cape",719
2016-04-01 00:00:00.000,"Eastern Cape",689
2016-05-01 00:00:00.000,"Eastern Cape",709
2016-06-01 00:00:00.000,"Eastern Cape",738
2016-07-01 00:00:00.000,"Eastern Cape",802
2016-08-01 00:00:00.000,"Eastern Cape",806
2016-09-01 00:00:00.000,"Eastern Cape",782
2016-10-01 00:00:00.000,"Eastern Cape",850
2016-11-01 00:00:00.000,"Eastern Cape",840
2016-12-01 00:00:00.000,"Eastern Cape",813
2017-01-01 00:00:00.000,"Eastern Cape",839
2017-02-01 00:00:00.000,"Eastern Cape",787
2017-03-01 00:00:00.000,"Eastern Cape",835
2017-04-01 00:00:00.000,"Eastern Cape",701
2017-05-01 00:00:00.000,"Eastern Cape",765
2017-06-01 00:00:00.000,"Eastern Cape",764
2017-07-01 00:00:00.000,"Eastern Cape",795
2017-08-01 00:00:00.000,"Eastern Cape",787
2017-09-01 00:00:00.000,"Eastern Cape",747
2017-10-01 00:00:00.000,"Eastern Cape",764
2017-11-01 00:00:00.000,"Eastern Cape",744
2017-12-01 00:00:00.000,"Eastern Cape",709
2018-01-01 00:00:00.000,"Eastern Cape",740
2018-02-01 00:00:00.000,"Eastern Cape",674
2018-03-01 00:00:00.000,"Eastern Cape",731
2018-04-01 00:00:00.000,"Eastern Cape",687
2018-05-01 00:00:00.000,"Eastern Cape",769
2018-06-01 00:00:00.000,"Eastern Cape",760
2018-07-01 00:00:00.000,"Eastern Cape",792
2018-08-01 00:00:00.000,"Eastern Cape",810
2018-09-01 00:00:00.000,"Eastern Cape",752
2018-10-01 00:00:00.000,"Eastern Cape",777
2018-11-01 00:00:00.000,"Eastern Cape",743
2018-12-01 00:00:00.000,"Eastern Cape",695
2019-01-01 00:00:00.000,"Eastern Cape",734
2019-02-01 00:00:00.000,"Eastern Cape",676
2019-03-01 00:00:00.000,"Eastern Cape",724
2019-04-01 00:00:00.000,"Eastern Cape",728
2019-05-01 00:00:00.000,"Eastern Cape",767
2019-06-01 00:00:00.000,"Eastern Cape",757
2019-07-01 00:00:00.000,"Eastern Cape",807
2019-08-01 00:00:00.000,"Eastern Cape",793
2019-09-01 00:00:00.000,"Eastern Cape",742
2019-10-01 00:00:00.000,"Eastern Cape",763
2019-11-01 00:00:00.000,"Eastern Cape",733
2019-12-01 00:00:00.000,"Eastern Cape",687
2020-01-01 00:00:00.000,"Eastern Cape",737
2020-02-01 00:00:00.000,"Eastern Cape",668
2020-03-01 00:00:00.000,"Eastern Cape",704
2020-04-01 00:00:00.000,"Eastern Cape",587
2020-05-01 00:00:00.000,"Eastern Cape",691
2020-06-01 00:00:00.000,"Eastern Cape",721
2002-01-01 00:00:00.000,"Free State",1151
2002-02-01 00:00:00.000,"Free State",1058
2002-03-01 00:00:00.000,"Free State",1140
2002-04-01 00:00:00.000,"Free State",1136
2002-05-01 00:00:00.000,"Free State",1242
2002-06-01 00:00:00.000,"Free State",1230
2002-07-01 00:00:00.000,"Free State",1292
2002-08-01 00:00:00.000,"Free State",1221
2002-09-01 00:00:00.000,"Free State",1145
2002-10-01 00:00:00.000,"Free State",1193
2002-11-01 00:00:00.000,"Free State",1164
2002-12-01 00:00:00.000,"Free State",1114
2003-01-01 00:00:00.000,"Free State",1163
2003-02-01 00:00:00.000,"Free State",1091
2003-03-01 00:00:00.000,"Free State",1143
2003-04-01 00:00:00.000,"Free State",1087
2003-05-01 00:00:00.000,"Free State",1185
2003-06-01 00:00:00.000,"Free State",1202
2003-07-01 00:00:00.000,"Free State",1253
2003-08-01 00:00:00.000,"Free State",1220
2003-09-01 00:00:00.000,"Free State",1102
2003-10-01 00:00:00.000,"Free State",1178
2003-11-01 00:00:00.000,"Free State",1128
2003-12-01 00:00:00.000,"Free State",1116
2004-01-01 00:00:00.000,"Free State",1145
2004-02-01 00:00:00.000,"Free State",1089
2004-03-01 00:00:00.000,"Free State",1150
2004-04-01 00:00:00.000,"Free State",1108
2004-05-01 00:00:00.000,"Free State",1197
2004-06-01 00:00:00.000,"Free State",1197
2004-07-01 00:00:00.000,"Free State",1217
2004-08-01 00:00:00.000,"Free State",1164
2004-09-01 00:00:00.000,"Free State",1080
2004-10-01 00:00:00.000,"Free State",1112
2004-11-01 00:00:00.000,"Free State",1064
2004-12-01 00:00:00.000,"Free State",1068
2005-01-01 00:00:00.000,"Free State",1062
2005-02-01 00:00:00.000,"Free State",994
2005-03-01 00:00:00.000,"Free State",1078
2005-04-01 00:00:00.000,"Free State",1058
2005-05-01 00:00:00.000,"Free State",1114
2005-06-01 00:00:00.000,"Free State",1109
2005-07-01 00:00:00.000,"Free State",1172
2005-08-01 00:00:00.000,"Free State",1172
2005-09-01 00:00:00.000,"Free State",1077
2005-10-01 00:00:00.000,"Free State",1140
2005-11-01 00:00:00.000,"Free State",1117
2005-12-01 00:00:00.000,"Free State",1112
2006-01-01 00:00:00.000,"Free State",1121
2006-02-01 00:00:00.000,"Free State",972
2006-03-01 00:00:00.000,"Free State",1062
2006-04-01 00:00:00.000,"Free State",1005
2006-05-01 00:00:00.000,"Free State",1131
2006-06-01 00:00:00.000,"Free State",1082
2006-07-01 00:00:00.000,"Free State",1139
2006-08-01 00:00:00.000,"Free State",1123
2006-09-01 00:00:00.000,"Free State",1003
2006-10-01 00:00:00.000,"Free State",1048
2006-11-01 00:00:00.000,"Free State",1051
2006-12-01 00:00:00.000,"Free State",1035
2007-01-01 00:00:00.000,"Free State",1089
2007-02-01 00:00:00.000,"Free State",996
2007-03-01 00:00:00.000,"Free State",1106
2007-04-01 00:00:00.000,"Free State",1054
2007-05-01 00:00:00.000,"Free State",1130
2007-06-01 00:00:00.000,"Free State",1104
2007-07-01 00:00:00.000,"Free State",1143
2007-08-01 00:00:00.000,"Free State",1127
2007-09-01 00:00:00.000,"Free State",1019
2007-10-01 00:00:00.000,"Free State",1056
2007-11-01 00:00:00.000,"Free State",1041
2007-12-01 00:00:00.000,"Free State",991
2008-01-01 00:00:00.000,"Free State",1021
2008-02-01 00:00:00.000,"Free State",975
2008-03-01 00:00:00.000,"Free State",1010
2008-04-01 00:00:00.000,"Free State",961
2008-05-01 00:00:00.000,"Free State",1029
2008-06-01 00:00:00.000,"Free State",1061
2008-07-01 00:00:00.000,"Free State",1142
2008-08-01 00:00:00.000,"Free State",1061
2008-09-01 00:00:00.000,"Free State",975
2008-10-01 00:00:00.000,"Free State",1046
2008-11-01 00:00:00.000,"Free State",1016
2008-12-01 00:00:00.000,"Free State",997
2009-01-01 00:00:00.000,"Free State",1026
2009-02-01 00:00:00.000,"Free State",944
2009-03-01 00:00:00.000,"Free State",1045
2009-04-01 00:00:00.000,"Free State",982
2009-05-01 00:00:00.000,"Free State",1063
2009-06-01 00:00:00.000,"Free State",1088
2009-07-01 00:00:00.000,"Free State",1117
2009-08-01 00:00:00.000,"Free State",1079
2009-09-01 00:00:00.000,"Free State",976
2009-10-01 00:00:00.000,"Free State",1010
2009-11-01 00:00:00.000,"Free State",998
2009-12-01 00:00:00.000,"Free State",986
2010-01-01 00:00:00.000,"Free State",1005
2010-02-01 00:00:00.000,"Free State",933
2010-03-01 00:00:00.000,"Free State",1040
2010-04-01 00:00:00.000,"Free State",981
2010-05-01 00:00:00.000,"Free State",1031
2010-06-01 00:00:00.000,"Free State",1086
2010-07-01 00:00:00.000,"Free State",1114
2010-08-01 00:00:00.000,"Free State",1081
2010-09-01 00:00:00.000,"Free State",977
2010-10-01 00:00:00.000,"Free State",1068
2010-11-01 00:00:00.000,"Free State",1005
2010-12-01 00:00:00.000,"Free State",980
2011-01-01 00:00:00.000,"Free State",1005
2011-02-01 00:00:00.000,"Free State",919
2011-03-01 00:00:00.000,"Free State",1072
2011-04-01 00:00:00.000,"Free State",1017
2011-05-01 00:00:00.000,"Free State",1046
2011-06-01 00:00:00.000,"Free State",1065
2011-07-01 00:00:00.000,"Free State",1100
