h_a,xG,xGA,npxG,npxGA,shots,shots_against,goals_scored,goals_against,xpts,npxGD,%team_id
"h",2.93912,0.2064,2.93912,0.2064,14,2,3,1,2.9406000000000003,2.73272,11
"a",2.72682,0.615892,1.86362,0.615892,22,6,0,1,2.7552999999999996,1.247728,11
"a",1.49697,1.62615,0.735802,1.62615,11,5,3,1,1.2296999999999998,-0.890348,11
"h",3.15449,0.66975,3.15449,0.66975,21,5,3,1,2.7498,2.48474,11
"a",2.10585,1.06014,2.10585,1.06014,8,5,0,1,2.1266000000000003,1.0457100000000001,12
"a",3.57376,1.1695,3.57376,0.408335,10,7,4,1,2.7781000000000002,3.165425,12
"h",2.72187,0.171763,2.72187,0.171763,9,5,2,1,2.8989,2.550107,12
"a",1.01897,0.772083,1.01897,0.772083,9,4,2,1,1.5287,0.24688699999999997,12
"a",4.03223,0.675105,4.03223,0.675105,27,2,3,1,2.8824,3.3571250000000004,12
"a",1.94623,0.836949,1.18506,0.836949,8,4,2,1,2.2895000000000003,0.34811099999999995,12
"a",1.62907,1.00222,1.62907,1.00222,17,1,1,1,1.8553000000000002,0.62684999999999991,12
"h",1.64248,0.568342,1.64248,0.568342,8,3,5,1,2.2181,1.074138,13
"a",2.26173,0.587526,2.26173,0.587526,11,3,1,1,2.58,1.674204,13
"h",2.77326,0.622042,2.77326,0.622042,11,1,4,1,2.7596,2.151218,13
"a",1.8954,1.6671,1.8954,0.905935,7,7,2,1,1.5157,0.98946499999999993,13
"h",1.9251,1.57249,1.16393,1.57249,5,6,0,1,1.6249,-0.40856000000000003,13
"h",1.0496,1.32211,1.0496,1.32211,12,2,1,1,1.123,-0.27250999999999981,13
"a",0.563367,2.34525,0.563367,1.58408,2,5,1,1,0.21699999999999997,-1.020713,13
"a",1.75587,1.26586,1.75587,1.26586,4,5,1,1,1.7344,0.49001000000000006,13
"h",1.80776,0.871738,1.80776,0.871738,6,6,3,1,2.0819,0.936022,13
"h",0.768752,0.840925,0.768752,0.840925,3,7,0,1,1.2470999999999999,-0.072173000000000043,13
"a",2.05969,2.081,2.05969,2.081,6,8,3,1,1.3777,-0.021310000000000162,13
"a",1.83387,0.772721,1.83387,0.772721,14,5,1,1,2.1767000000000003,1.061149,13
"h",2.99207,0.677386,2.99207,0.677386,8,7,1,1,2.789,2.3146839999999997,13
"h",1.17668,1.42995,1.17668,1.42995,10,13,1,1,1.1684,-0.25327000000000011,14
"a",2.52338,0.904061,2.52338,0.904061,4,3,1,1,2.4503,1.619319,14
"a",0.721813,2.25588,0.721813,2.25588,4,9,1,1,0.3356,-1.5340669999999998,14
"a",0.227321,1.43123,0.227321,0.670063,1,6,1,1,0.2857,-0.44274199999999997,14
"h",1.15636,1.51084,0.395187,1.51084,2,8,1,1,1.0794,-1.115653,14
"h",1.26586,1.75587,1.26586,1.75587,5,4,1,1,0.98080000000000012,-0.49001000000000006,14
"h",1.03855,1.49623,1.03855,1.49623,4,7,1,1,1.0046,-0.45767999999999986,14
"h",2.68732,0.823607,2.68732,0.823607,3,1,3,1,2.6226,1.8637130000000002,14
"a",0.932574,0.847948,0.932574,0.847948,9,7,1,1,1.4255,0.084625999999999979,14
"a",0.577292,2.68515,0.577292,2.68515,5,13,0,1,0.2151,-2.1078580000000002,15
"a",1.15797,2.79229,0.396837,2.79229,4,11,2,1,0.3436,-2.395453,15
"h",0.43778,1.13118,0.43778,1.13118,4,9,2,1,0.74309999999999987,-0.6934,15
"a",1.51084,1.15636,1.51084,0.395187,8,2,1,1,1.62,1.115653,15
"h",0.986107,2.09817,0.986107,1.337,8,9,0,1,0.5436,-0.350893,15
"h",1.00153,0.541027,1.00153,0.541027,4,7,2,1,1.8435000000000001,0.460503,15
"h",0.296411,1.22883,0.296411,0.467662,2,3,1,1,0.4135,-0.17125100000000004,15
"h",0.587526,2.26173,0.587526,2.26173,3,11,1,1,0.27690000000000003,-1.674204,16
"h",0.909342,0.909833,0.909342,0.909833,7,3,0,1,1.3033,-0.0004910000000000192,16
"h",1.34236,1.4872,1.34236,1.4872,8,6,1,1,1.2105,-0.14484000000000008,16
"h",0.353043,2.80917,0.353043,2.048,0,10,1,1,0.1031,-1.694957,16
"h",1.59306,0.621466,1.59306,0.621466,1,3,4,1,2.1879,0.971594,16
"h",1.00222,1.62907,1.00222,1.62907,1,17,1,1,0.8467,-0.62684999999999991,16
"a",0.677386,2.99207,0.677386,2.99207,7,8,1,1,0.1409,-2.3146839999999997,16
"h",1.78187,1.07395,1.78187,1.07395,11,11,2,1,1.8999000000000001,0.7079200000000001,17
"a",0.672198,1.73468,0.672198,1.73468,2,6,0,1,0.5223,-1.0624820000000001,17
"h",2.31744,1.46689,2.31744,1.46689,8,5,2,1,2.0156,0.85054999999999992,17
"a",2.80917,0.353043,2.048,0.353043,10,0,1,1,2.8348999999999998,1.694957,17
"a",0.691655,1.55576,0.691655,1.55576,11,3,0,1,0.6121,-0.864105,17
"a",0.596016,0.920963,0.596016,0.920963,4,16,0,1,1.0348,-0.324947,18
"a",2.42487,0.782665,2.42487,0.782665,7,12,3,1,2.5006,1.6422049999999997,18
"h",0.904061,2.52338,0.904061,2.52338,3,4,1,1,0.4043,-1.619319,18
"a",0.192794,1.57388,0.192794,1.57388,4,9,0,1,0.2994,-1.381086,18
"h",0.852556,1.90757,0.852556,1.90757,4,11,0,1,0.5717,-1.055014,18
"a",0.491659,1.49208,0.491659,0.730909,1,7,0,1,0.4729,-0.23925000000000002,18
"h",2.73393,1.66794,1.97277,1.66794,7,9,4,1,2.0904000000000003,0.30482999999999993,18
"h",0.303514,1.93752,0.303514,1.93752,0,20,0,1,0.2414,-1.6340059999999998,18
"a",1.49623,1.03855,1.49623,1.03855,7,4,1,1,1.7258,0.45767999999999986,18
"a",0.335474,0.905143,0.335474,0.905143,5,9,0,1,0.6828,-0.569669,18
"h",2.28613,0.62676,2.28613,0.62676,5,5,4,1,2.4983,1.65937,19
"a",1.98962,1.1967,1.98962,1.1967,5,8,2,1,1.9499,0.79291999999999985,19
"a",2.66391,0.687551,2.66391,0.687551,4,3,4,1,2.7567000000000004,1.976359,19
"a",0.436331,1.31903,0.436331,1.31903,7,5,0,1,0.6138,-0.8826989999999999,19
"h",1.14679,1.2607,1.14679,1.2607,5,10,1,1,1.2522000000000002,-0.11390999999999996,19
"a",2.84084,1.0143,2.07967,1.0143,6,3,4,1,2.5771,1.0653700000000002,19
"a",0.238027,1.75857,0.238027,1.75857,3,12,0,1,0.152,-1.520543,19
"h",0.847948,0.932574,0.847948,0.932574,7,9,1,1,1.2407,-0.084625999999999979,19
"a",1.32714,0.668082,1.32714,0.668082,7,6,0,1,1.9451,0.659058,20
"h",1.51127,1.72636,1.51127,0.965189,9,6,0,1,1.1373000000000002,0.54608099999999993,20
"h",1.79575,0.944083,1.79575,0.944083,6,8,0,1,2.0745,0.851667,20
"h",1.15849,0.865217,1.15849,0.865217,3,1,2,1,1.6300000000000001,0.293273,20
"a",0.858644,1.71313,0.858644,0.951964,2,4,1,1,0.6571,-0.09332000000000007,20
"h",1.69344,1.69767,1.69344,1.69767,6,7,2,1,1.3435,-0.004229999999999956,20
"h",0.095167,2.42332,0.095167,2.42332,1,16,0,1,0.0681,-2.328153,20
"a",0.0762839,2.99915,0.0762839,2.23799,1,23,0,1,0.0325,-2.1617061,20
"h",2.29917,0.91728,1.538,0.91728,4,8,3,1,2.4564000000000004,0.62072,20
"a",0.218211,0.742573,0.218211,0.742573,2,6,2,1,0.7401,-0.524362,20
"h",0.641359,1.45247,0.641359,1.45247,2,9,0,1,0.5597,-0.81111099999999992,20
"h",0.472777,1.55048,0.472777,1.55048,4,8,2,1,0.4078,-1.077703,20
"h",2.68515,0.577292,2.68515,0.577292,13,5,1,0,2.6841,2.1078580000000002,1
"a",1.09928,0.775574,1.09928,0.775574,7,9,1,0,1.6597,0.32370600000000005,1
"a",0.36431,1.11551,0.36431,1.11551,7,9,0,0,0.6811,-0.7512,1
"a",1.10288,1.98801,1.10288,1.98801,5,9,2,0,0.685,-0.88513,1
"h",1.49208,0.491659,0.730909,0.491659,7,1,1,0,2.2822,0.23925000000000002,1
"h",2.84493,0.185383,2.84493,0.185383,13,4,2,0,2.91,2.6595470000000003,1
"h",2.08429,0.502215,2.08429,0.502215,7,2,3,0,2.5278,1.5820750000000001,1
"h",2.81482,0.338855,2.05365,0.338855,13,0,2,0,2.8489,1.714795,1
"a",2.87539,0.154212,2.11422,0.154212,10,1,5,0,2.9385,1.960008,1
"h",1.35507,0.388963,1.35507,0.388963,11,5,0,0,2.1715,0.966107,1
"a",1.45247,0.641359,1.45247,0.641359,9,2,1,0,2.1926,0.81111099999999992,1
"h",1.18426,0.63163,0.423091,0.63163,5,4,2,0,1.9441,-0.20853900000000003,2
"h",0.777716,0.755035,0.777716,0.755035,5,2,3,0,1.3357999999999999,0.022680999999999951,2
"a",1.57249,1.9251,1.57249,1.16393,6,5,1,0,1.1095,0.40856000000000003,2
"h",1.06946,0.582787,1.06946,0.582787,6,4,2,0,1.7925,0.486673,2
"a",1.96261,0.502647,1.96261,0.502647,14,5,2,0,2.5811,1.4599630000000001,2
"a",0.860245,1.2384,0.860245,1.2384,5,1,1,0,1.0054,-0.37815499999999991,2
"a",1.3027,0.627107,1.3027,0.627107,4,5,2,0,2.0098,0.675593,2
"h",1.88818,1.02385,1.88818,1.02385,7,10,2,0,2.1154,0.86433,3
"a",0.712439,0.606313,0.712439,0.606313,6,5,0,0,1.3954,0.10612600000000005,3
"a",2.32741,1.02316,1.56627,1.02316,3,4,2,0,2.4119,0.54311,3
"h",1.19813,0.968075,0.436957,0.968075,3,9,1,0,1.5935,-0.531118,3
"h",1.97576,0.49802,1.97576,0.49802,7,5,0,0,2.5614,1.4777399999999998,3
"h",1.77896,0.407224,1.77896,0.407224,7,6,2,0,2.5067,1.371736,4
"a",0.287902,0.729786,0.287902,0.729786,6,3,1,0,0.80299999999999994,-0.44188400000000005,4
"h",1.11551,0.36431,1.11551,0.36431,9,7,0,0,1.987,0.7512,4
"a",1.17572,1.16088,1.17572,1.16088,15,6,0,0,1.3659,0.014840000000000186,4
"h",1.90498,0.864829,1.90498,0.864829,13,6,0,0,2.1563000000000003,1.0401509999999998,4
"h",0.943363,1.10342,0.943363,1.10342,7,7,2,0,1.1899,-0.16005700000000012,4
"a",1.80456,0.532979,1.80456,0.532979,5,5,2,0,2.4593000000000003,1.2715809999999999,4
"h",0.584725,0.673617,0.584725,0.673617,6,9,0,0,1.1850999999999998,-0.088891999999999971,5
"a",0.195537,0.711691,0.195537,0.711691,6,5,0,0,0.7197,-0.516154,5
"h",0.54801,0.998813,0.54801,0.998813,3,8,0,0,0.9123,-0.45080299999999995,5
"a",0.388963,1.35507,0.388963,1.35507,5,11,0,0,0.5587,-0.966107,5
"h",0.765905,0.933965,0.765905,0.933965,5,9,0,0,1.1766999999999999,-0.1680600000000001,5
"a",0.821228,0.44587,0.821228,0.44587,2,6,3,0,1.6996000000000002,0.37535799999999997,5
"h",1.55576,0.691655,1.55576,0.691655,3,11,1,0,2.1451,0.864105,5
"h",1.18709,0.321701,1.18709,0.321701,14,3,3,0,2.2037,0.865389,6
"a",3.64132,0.630099,3.64132,0.630099,19,3,2,0,2.8946,3.011221,6
"h",1.22153,1.17349,1.22153,1.17349,3,6,3,0,1.3641,0.048040000000000083,6
"a",2.5869,0.70567,2.5869,0.70567,15,0,3,0,2.5953,1.88123,6
"a",0.248256,1.62169,0.248256,1.62169,8,16,1,0,0.3083,-1.373434,6
"h",3.10509,0.26742899999999997,2.34393,0.26742899999999997,10,0,7,0,2.9177,2.076501,6
"a",2.16608,0.157616,1.40491,0.157616,14,0,3,0,2.8571,1.2472940000000001,6
"a",2.57178,0.499504,2.57178,0.499504,8,1,3,0,2.733,2.072276,6
"a",0.793952,0.321371,0.793952,0.321371,11,4,0,0,1.81,0.472581,6
"h",1.04212,0.328818,1.04212,0.328818,4,4,2,0,2.0021999999999998,0.71330199999999988,6
"a",1.12339,0.624023,1.12339,0.624023,7,3,1,0,1.8439999999999999,0.49936700000000012,6
"h",0.606313,0.712439,0.606313,0.712439,5,6,0,0,1.2139,-0.10612600000000005,7
"h",2.89372,0.0775646,2.13255,0.0775646,7,1,3,0,2.9736,2.0549854,7
"a",1.05029,0.65739,1.05029,0.65739,5,12,2,0,1.7303,0.39289999999999992,7
"h",2.65161,0.25416,2.65161,0.25416,10,2,2,0,2.8632,2.3974499999999996,7
"h",2.38978,0.594134,1.62862,0.594134,8,5,3,0,2.6128999999999998,1.0344859999999998,7
"a",0.49802,1.97576,0.49802,1.97576,5,7,0,0,0.2835,-1.4777399999999998,7
"a",1.54868,0.701622,0.787544,0.701622,3,9,2,0,2.1092999999999997,0.085922000000000054,8
"h",2.26681,0.800903,1.50564,0.800903,6,4,2,0,2.5462,0.70473700000000006,8
"h",0.597906,0.801798,0.597906,0.801798,9,3,0,0,1.0875,-0.20389199999999996,8
"h",2.58561,0.242668,2.58561,0.242668,10,4,3,0,2.8679,2.342942,8
"h",1.57388,0.192794,1.57388,0.192794,9,4,1,0,2.5128000000000004,1.381086,10
"a",0.864829,1.90498,0.864829,1.90498,6,13,0,0,0.61969999999999992,-1.0401509999999998,10
"h",1.9818,0.707328,1.22063,0.707328,5,4,1,0,2.4334000000000002,0.51330200000000015,10
"h",0.668082,1.32714,0.668082,1.32714,6,7,1,0,0.7799,-0.659058,9
"h",2.05771,0.511934,1.29654,0.511934,8,7,4,0,2.6016999999999997,0.784606,9
"h",0.615892,2.72682,0.615892,1.86362,6,22,1,0,0.1549,-1.247728,9
"a",1.78728,1.3333,1.78728,1.3333,13,3,3,0,1.7064,0.45398000000000005,11
"h",2.63945,0.690464,2.63945,0.690464,8,3,2,0,2.5683,1.948986,11
"a",4.4016,0.652514,4.4016,0.652514,15,8,3,0,2.9307,3.749086,11
"h",2.76793,0.644168,2.76793,0.644168,8,8,3,0,2.7229,2.1237619999999997,11
"a",3.65553,0.302302,3.65553,0.302302,10,5,5,0,2.9688000000000003,3.353228,11
"a",4.04765,1.35584,4.04765,1.35584,13,7,5,0,2.7818,2.6918100000000003,11
"h",3.97374,0.268025,3.97374,0.268025,13,0,4,0,2.9878,3.7057149999999996,11
"h",3.07278,0.966132,3.07278,0.966132,14,2,4,0,2.6828000000000003,2.106648,11
"a",2.42332,0.095167,2.42332,0.095167,16,1,1,0,2.8788,2.328153,11
"h",2.71181,0.140573,1.95064,0.140573,15,4,1,0,2.9112,1.8100669999999999,11
"h",3.49099,0.376656,3.49099,0.376656,11,5,3,0,2.9013999999999998,3.114334,11
"h",2.72997,0.544954,2.72997,0.544954,12,5,2,0,2.7248,2.1850159999999996,11
"a",1.95722,1.16081,1.95722,1.16081,6,1,1,0,2.1237999999999997,0.79641000000000006,11
"h",5.3303,0.141547,3.80797,0.141547,13,3,6,0,2.9976000000000003,3.666423,11
"h",2.43928,0.0250088,2.43928,0.0250088,16,0,5,0,2.9245,2.4142712,12
"h",4.47273,0.116805,4.47273,0.116805,14,0,5,0,2.9882999999999997,4.355925,12
"a",2.75058,0.8001,2.75058,0.8001,14,6,1,0,2.5934,1.9504799999999998,12
"h",1.22451,0.490923,1.22451,0.490923,6,6,0,0,1.9761,0.733587,12
"a",1.69244,0.194202,1.69244,0.194202,9,4,1,0,2.5655,1.498238,12
"h",2.15712,1.07719,2.15712,1.07719,18,6,2,0,2.223,1.0799299999999998,12
"a",2.04202,0.759561,2.04202,0.759561,8,0,2,0,2.3672999999999997,1.2824589999999998,12
"h",2.61302,0.266894,2.61302,0.266894,14,3,3,0,2.8228000000000004,2.346126,12
"h",2.99915,0.0762839,2.23799,0.0762839,23,1,1,0,2.9398,2.1617061,12
"h",3.31349,0.227498,3.31349,0.227498,14,2,7,0,2.9211,3.0859919999999996,12
"a",3.64686,0.174208,3.64686,0.174208,11,5,4,0,2.9772000000000003,3.472652,12
"a",1.01763,0.238829,1.01763,0.238829,6,3,1,0,2.2096,0.77880100000000008,12
"h",0.901703,0.613757,0.901703,0.613757,6,2,1,0,1.5598,0.28794600000000004,12
"h",1.98246,0.461305,1.22129,0.461305,11,3,2,0,2.5501000000000005,0.75998499999999991,12
"a",4.44653,0.356755,3.46024,0.356755,21,5,4,0,2.9874,3.103485,12
"a",1.93422,0.770819,1.93422,0.770819,10,6,1,0,2.3489999999999998,1.163401,12
"a",0.944083,1.79575,0.944083,1.79575,8,6,1,0,0.65850000000000009,-0.851667,13
"a",1.38612,1.15787,1.38612,1.15787,9,3,3,0,1.5243,0.22825000000000006,13
"h",0.870376,0.520593,0.870376,0.520593,13,3,1,0,1.6221999999999999,0.34978300000000007,13
"a",2.09817,0.986107,1.337,0.986107,9,8,1,0,2.2566,0.350893,13
"h",1.75857,0.238027,1.75857,0.238027,12,3,1,0,2.738,1.520543,13
"h",2.74936,1.26179,2.74936,1.26179,8,4,2,0,2.3247,1.4875699999999998,13
"h",2.41457,0.437185,2.41457,0.437185,11,1,0,0,2.6788999999999996,1.977385,13
"h",1.70609,0.604599,1.70609,0.604599,4,6,1,0,2.2519,1.1014910000000002,14
"a",1.15904,1.12992,1.15904,1.12992,9,11,1,0,1.3516,0.029120000000000035,14
"h",0.527571,0.455206,0.527571,0.455206,2,5,1,0,1.3447,0.072365000000000013,14
"a",2.25373,0.494232,2.25373,0.494232,8,5,2,0,2.5512,1.759498,14
"a",0.673617,0.584725,0.673617,0.584725,9,6,0,0,1.4089,0.088891999999999971,15
"h",1.16088,1.17572,1.16088,1.17572,6,15,0,0,1.3029,-0.014840000000000186,15
"h",1.4047,0.297157,1.4047,0.297157,9,5,0,0,2.3478999999999997,1.1075430000000002,15
"a",0.925212,1.30606,0.925212,1.30606,2,9,3,0,1.034,-0.38084799999999996,15
"h",0.692135,0.725407,0.692135,0.725407,4,1,0,0,1.2896999999999998,-0.033272000000000079,16
"a",0.490923,1.22451,0.490923,1.22451,6,6,0,0,0.7269000000000001,-0.733587,16
"h",1.83082,0.446173,1.83082,0.446173,4,4,1,0,2.4654000000000003,1.384647,16
"a",1.90757,0.852556,1.90757,0.852556,11,4,1,0,2.2118,1.055014,16
"h",0.89818,0.536077,0.89818,0.536077,8,13,1,0,1.7231999999999998,0.36210299999999995,16
"h",2.72851,0.19991,2.72851,0.19991,9,8,2,0,2.8855000000000004,2.5286,16
"h",3.08863,0.424877,3.08863,0.424877,9,4,2,0,2.8648,2.6637530000000003,16
"h",1.06014,2.10585,1.06014,2.10585,5,8,1,0,0.6512,-1.0457100000000001,17
"a",1.72636,1.51127,0.965189,1.51127,6,9,1,0,1.5867,-0.54608099999999993,17
"h",0.920963,0.596016,0.920963,0.596016,16,4,1,0,1.6041999999999998,0.324947,17
"a",0.801798,0.597906,0.801798,0.597906,3,9,0,0,1.5282,0.20389199999999996,17
"h",2.07248,0.225492,2.07248,0.225492,6,7,2,0,2.7792,1.846988,17
"h",2.00668,1.06562,2.00668,1.06562,3,9,3,0,2.0734,0.94105999999999979,17
"h",2.82148,0.178324,2.82148,0.178324,15,2,3,0,2.9006000000000003,2.6431560000000003,17
"a",1.93752,0.303514,1.93752,0.303514,20,0,1,0,2.621,1.6340059999999998,17
"a",2.47025,1.89569,2.47025,1.89569,10,16,4,0,1.7696,0.57456,17
"a",0.933965,0.765905,0.933965,0.765905,9,5,0,0,1.4773,0.1680600000000001,18
"a",1.82051,1.0267,1.82051,1.0267,4,18,1,0,2.0503,0.79381000000000013,18
"a",0.437185,2.41457,0.437185,2.41457,1,11,0,0,0.2111,-1.977385,18
"a",0.725407,0.692135,0.725407,0.692135,1,4,0,0,1.3385999999999998,0.033272000000000079,19
"a",2.03034,0.854165,2.03034,0.854165,9,8,1,0,2.2800000000000002,1.1761749999999997,19
"h",1.73468,0.672198,1.73468,0.672198,6,2,1,0,2.2542,1.0624820000000001,19
"a",0.998813,0.54801,0.998813,0.54801,8,3,0,0,1.7400000000000002,0.45080299999999995,19
