ID,Bins,variable,value
1039,Small,2012,769.0
1040,Small,2012,5228.0
1041,Small,2012,2079.0
1042,Small,2012,2075.0
1043,Small,2012,1214.0
1044,Medium,2012,11903.0
1044,Small,2012,
1045,Small,2012,4203.0
1046,Small,2012,5212.0
1047,Small,2012,1734.0
1048,Medium,2012,11787.0
1048,Small,2012,
1049,Small,2012,2808.0
1050,Medium,2012,17646.0
1051,Small,2012,3864.0
1052,Small,2012,899.0
1053,Medium,2012,13952.0
1054,Medium,2012,18563.0
1055,Small,2012,1084.0
1056,Small,2012,1052.0
1057,Small,2012,1830.0
1001,Small,2013,5845.0
1002,Small,2013,3900.0
1003,Small,2013,5194.0
1004,Medium,2013,19234.0
1005,Small,2013,4508.0
1006,Small,2013,2123.0
1007,Small,2013,5793.0
1008,Small,2013,1775.0
1009,Medium,2013,14798.0
1010,Small,2013,7396.0
1011,Large,2013,24009.0
1011,Medium,2013,
1012,Small,2013,
1013,Small,2013,
1014,Small,2013,
1015,Small,2013,
1016,Small,2013,5185.0
1017,Small,2013,1294.0
1018,Small,2013,4399.0
1019,Small,2013,1298.0
1020,Small,2013,3043.0
1021,Small,2013,5616.0
1022,Large,2013,
1022,Medium,2013,21265.0
1023,Small,2013,8129.0
1024,Small,2013,5802.0
1025,Small,2013,6483.0
1026,Medium,2013,11866.0
1026,Small,2013,
1027,Small,2013,6215.0
1028,Medium,2013,12513.0
1028,Small,2013,
1029,Large,2013,34616.0
1030,Medium,2013,15718.0
1031,Medium,2013,16809.0
1032,Small,2013,865.0
1033,Small,2013,1971.0
1034,Small,2013,4489.0
1035,Small,2013,1107.0
1036,Small,2013,1535.0
1037,Medium,2013,16946.0
1038,Small,2013,283.0
1039,Small,2013,843.0
1040,Small,2013,4649.0
1041,Small,2013,2274.0
1042,Small,2013,1997.0
1043,Small,2013,1230.0
1044,Medium,2013,12213.0
1044,Small,2013,
1045,Small,2013,5033.0
1046,Small,2013,5345.0
1047,Small,2013,1724.0
1048,Medium,2013,
1048,Small,2013,11012.0
1049,Small,2013,2920.0
1050,Medium,2013,17341.0
1051,Small,2013,3812.0
1052,Small,2013,851.0
1053,Medium,2013,14048.0
1054,Medium,2013,18005.0
1055,Small,2013,1039.0
1056,Small,2013,1043.0
1057,Small,2013,1891.0
1001,Small,2014,5710.0
1002,Small,2014,3606.0
1003,Small,2014,4883.0
1004,Medium,2014,18202.0
1005,Small,2014,4632.0
1006,Small,2014,2161.0
1007,Small,2014,5444.0
1008,Small,2014,1720.0
1009,Medium,2014,14393.0
1010,Small,2014,7153.0
1011,Large,2014,
1011,Medium,2014,21218.0
1012,Small,2014,
1013,Small,2014,
1014,Small,2014,
1015,Small,2014,
1016,Small,2014,4981.0
1017,Small,2014,1259.0
1018,Small,2014,4201.0
1019,Small,2014,1280.0
1020,Small,2014,3117.0
1021,Small,2014,5613.0
1022,Large,2014,
1022,Medium,2014,21813.0
1023,Small,2014,8640.0
1024,Small,2014,5863.0
1025,Small,2014,6718.0
1026,Medium,2014,12039.0
1026,Small,2014,
1027,Small,2014,6241.0
1028,Medium,2014,13379.0
1028,Small,2014,
1029,Large,2014,35425.0
1030,Medium,2014,16146.0
1031,Medium,2014,17072.0
1032,Small,2014,838.0
1033,Small,2014,1907.0
1034,Small,2014,4572.0
1035,Small,2014,1185.0
1036,Small,2014,1455.0
1037,Medium,2014,16587.0
1038,Small,2014,275.0
1039,Small,2014,971.0
1040,Small,2014,4215.0
1041,Small,2014,2006.0
1042,Small,2014,1819.0
1043,Small,2014,1178.0
1044,Medium,2014,12151.0
1044,Small,2014,
1045,Small,2014,5931.0
1046,Small,2014,5321.0
1047,Small,2014,1548.0
1048,Medium,2014,
1048,Small,2014,10263.0
1049,Small,2014,3002.0
1050,Medium,2014,17052.0
1051,Small,2014,3696.0
1052,Small,2014,862.0
1053,Medium,2014,14348.0
1054,Medium,2014,16893.0
1055,Small,2014,944.0
1056,Small,2014,1060.0
1057,Small,2014,2042.0
1001,Small,2015,5584.0
1002,Small,2015,3222.0
1003,Small,2015,4705.0
1004,Medium,2015,17680.0
1005,Small,2015,4387.0
1006,Small,2015,1970.0
1007,Small,2015,4823.0
1008,Small,2015,1679.0
1009,Medium,2015,13611.0
1010,Small,2015,6865.0
1011,Large,2015,
1011,Medium,2015,18902.0
1012,Small,2015,
1013,Small,2015,
1014,Small,2015,
1015,Small,2015,
1016,Small,2015,4926.0
1017,Small,2015,1274.0
1018,Small,2015,3856.0
1019,Small,2015,1390.0
1020,Small,2015,2945.0
1021,Small,2015,5783.0
1022,Large,2015,
1022,Medium,2015,22268.0
1023,Small,2015,8884.0
1024,Small,2015,5530.0
1025,Small,2015,6592.0
1026,Medium,2015,11786.0
1026,Small,2015,
1027,Small,2015,6196.0
1028,Medium,2015,14395.0
1028,Small,2015,
1029,Large,2015,35424.0
1030,Medium,2015,16685.0
1031,Medium,2015,16738.0
1032,Small,2015,776.0
1033,Small,2015,1842.0
1034,Small,2015,4653.0
1035,Small,2015,1094.0
1036,Small,2015,1452.0
1037,Medium,2015,14771.0
1038,Small,2015,324.0
1039,Small,2015,1066.0
1040,Small,2015,3688.0
1041,Small,2015,1958.0
1042,Small,2015,1713.0
1043,Small,2015,1167.0
1044,Medium,2015,11620.0
1044,Small,2015,
1045,Small,2015,6414.0
1046,Small,2015,5276.0
1047,Small,2015,1982.0
1048,Medium,2015,
1048,Small,2015,9413.0
1049,Small,2015,2930.0
1050,Medium,2015,17595.0
1051,Small,2015,3854.0
1052,Small,2015,893.0
1053,Medium,2015,14688.0
1054,Medium,2015,15302.0
1055,Small,2015,930.0
1056,Small,2015,1063.0
1057,Small,2015,2172.0
1001,Small,2016,5434.0
1002,Small,2016,2966.0
1003,Small,2016,4692.0
1004,Medium,2016,18138.0
1005,Small,2016,4173.0
1006,Small,2016,1941.0
1007,Small,2016,5004.0
1008,Small,2016,1722.0
1009,Medium,2016,13255.0
1010,Small,2016,6755.0
1011,Large,2016,
1011,Medium,2016,19052.0
1012,Small,2016,
1013,Small,2016,
1014,Small,2016,
1015,Small,2016,
1016,Small,2016,5138.0
1017,Small,2016,1227.0
1018,Small,2016,3505.0
1019,Small,2016,1470.0
1020,Small,2016,2738.0
1021,Small,2016,6197.0
1022,Large,2016,23537.0
1022,Medium,2016,
1023,Small,2016,8835.0
1024,Small,2016,5363.0
1025,Small,2016,6530.0
1026,Medium,2016,11791.0
1026,Small,2016,
1027,Small,2016,6364.0
1028,Medium,2016,13988.0
1028,Small,2016,
1029,Large,2016,33239.0
1030,Medium,2016,16936.0
1031,Medium,2016,16989.0
1032,Small,2016,908.0
1033,Small,2016,1710.0
1034,Small,2016,4483.0
1035,Small,2016,1093.0
1036,Small,2016,1522.0
1037,Medium,2016,16430.0
1038,Small,2016,288.0
1039,Small,2016,1095.0
1040,Small,2016,3569.0
1041,Small,2016,1821.0
1042,Small,2016,1526.0
1043,Small,2016,1103.0
1044,Medium,2016,
1044,Small,2016,10749.0
1045,Small,2016,6828.0
1046,Small,2016,5732.0
1047,Small,2016,1808.0
1048,Medium,2016,
1048,Small,2016,10866.0
1049,Small,2016,2845.0
1050,Medium,2016,17214.0
1051,Small,2016,3691.0
1052,Small,2016,949.0
1053,Medium,2016,15047.0
1054,Medium,2016,14224.0
1055,Small,2016,856.0
1056,Small,2016,997.0
1057,Small,2016,2076.0
1001,Small,2017,4959.0
1002,Small,2017,2897.0
1003,Small,2017,4439.0
1004,Medium,2017,16788.0
1005,Small,2017,3700.0
1006,Small,2017,1918.0
1007,Small,2017,4865.0
1008,Small,2017,1841.0
1009,Medium,2017,12688.0
1010,Small,2017,6563.0
1011,Large,2017,
1011,Medium,2017,18835.0
1012,Small,2017,
1013,Small,2017,
1014,Small,2017,
1015,Small,2017,
1016,Small,2017,4786.0
1017,Small,2017,1256.0
1018,Small,2017,3226.0
1019,Small,2017,1442.0
1020,Small,2017,2619.0
1021,Small,2017,6170.0
1022,Large,2017,23696.0
1022,Medium,2017,
1023,Small,2017,8883.0
1024,Small,2017,5551.0
1025,Small,2017,6337.0
1026,Medium,2017,
1026,Small,2017,11437.0
1027,Small,2017,6260.0
1028,Medium,2017,12333.0
1028,Small,2017,
1029,Large,2017,30844.0
1030,Medium,2017,16372.0
1031,Medium,2017,16715.0
1032,Small,2017,
1033,Small,2017,1676.0
1034,Small,2017,4199.0
1035,Small,2017,1060.0
1036,Small,2017,1508.0
1037,Medium,2017,13504.0
1038,Small,2017,270.0
1039,Small,2017,1134.0
1040,Small,2017,3359.0
1041,Small,2017,2112.0
1042,Small,2017,1390.0
1043,Small,2017,972.0
1044,Medium,2017,
1044,Small,2017,10010.0
1045,Small,2017,7689.0
1046,Small,2017,5488.0
1047,Small,2017,1820.0
1048,Medium,2017,11583.0
1048,Small,2017,
1049,Small,2017,3039.0
1050,Medium,2017,14748.0
1051,Small,2017,3551.0
1052,Small,2017,862.0
1053,Medium,2017,15303.0
1054,Medium,2017,12883.0
1055,Small,2017,767.0
1056,Small,2017,933.0
1057,Small,2017,2212.0
1001,Small,2018,4511.0
1002,Small,2018,2629.0
1003,Small,2018,4431.0
1004,Medium,2018,16351.0
1005,Small,2018,2885.0
1006,Small,2018,1869.0
1007,Small,2018,5174.0
1008,Small,2018,1855.0
1009,Medium,2018,12217.0
1010,Small,2018,6269.0
1011,Large,2018,
1011,Medium,2018,18157.0
1012,Small,2018,
1013,Small,2018,
1014,Small,2018,
1015,Small,2018,
1016,Small,2018,4728.0
1017,Small,2018,1471.0
1018,Small,2018,3076.0
1019,Small,2018,1716.0
1020,Small,2018,2478.0
1021,Small,2018,5989.0
1022,Large,2018,23697.0
1022,Medium,2018,
1023,Small,2018,8600.0
1024,Small,2018,5684.0
1025,Small,2018,6855.0
1026,Medium,2018,
1026,Small,2018,11038.0
1027,Small,2018,5842.0
1028,Medium,2018,
1028,Small,2018,11487.0
1029,Large,2018,29843.0
1030,Medium,2018,16375.0
1031,Medium,2018,16441.0
1032,Small,2018,
1033,Small,2018,1626.0
1034,Small,2018,3433.0
1035,Small,2018,1148.0
1036,Small,2018,1565.0
1037,Medium,2018,12097.0
1038,Small,2018,277.0
1039,Small,2018,1068.0
1040,Small,2018,3210.0
1041,Small,2018,2111.0
1042,Small,2018,1290.0
1043,Small,2018,874.0
1044,Medium,2018,
1044,Small,2018,9473.0
1045,Small,2018,9139.0
1046,Small,2018,5313.0
1047,Small,2018,1869.0
1048,Medium,2018,
1048,Small,2018,11415.0
1049,Small,2018,3134.0
1050,Medium,2018,14438.0
1051,Small,2018,3325.0
1052,Small,2018,756.0
1053,Medium,2018,15852.0
1054,Medium,2018,11638.0
1055,Small,2018,717.0
1056,Small,2018,808.0
1057,Small,2018,2240.0
