Title,Date,Notes,Bunting,Division,Region
Summer bank holiday,2023-08-28 00:00:00.000,,True,Northern Ireland,Northern Ireland
Summer bank holiday,2017-08-28 00:00:00.000,,True,Northern Ireland,Northern Ireland
Summer bank holiday,2023-08-28 00:00:00.000,,True,England & Wales,Wales
Boxing Day,2020-12-28 00:00:00.000,Substitute day,True,England & Wales,Wales
New Year’s Day,2023-01-02 00:00:00.000,Substitute day,True,Northern Ireland,Northern Ireland
Christmas Day,2017-12-25 00:00:00.000,,True,Scotland,Scotland
Spring bank holiday,2019-05-27 00:00:00.000,,True,England & Wales,England
Early May bank holiday,2018-05-07 00:00:00.000,,True,Scotland,Scotland
Boxing Day,2018-12-26 00:00:00.000,,True,England & Wales,Wales
Battle of the Boyne (Orangemen’s Day),2022-07-12 00:00:00.000,,False,Northern Ireland,Northern Ireland
Spring bank holiday,2023-05-29 00:00:00.000,,True,England & Wales,England
Summer bank holiday,2019-08-26 00:00:00.000,,True,Northern Ireland,Northern Ireland
Early May bank holiday,2023-05-01 00:00:00.000,,True,Northern Ireland,Northern Ireland
Christmas Day,2020-12-25 00:00:00.000,,True,Scotland,Scotland
Christmas Day,2017-12-25 00:00:00.000,,True,Northern Ireland,Northern Ireland
Summer bank holiday,2020-08-31 00:00:00.000,,True,Northern Ireland,Northern Ireland
Spring bank holiday,2018-05-28 00:00:00.000,,True,England & Wales,Wales
Spring bank holiday,2021-05-31 00:00:00.000,,True,Scotland,Scotland
St Patrick’s Day,2023-03-17 00:00:00.000,,True,Northern Ireland,Northern Ireland
Good Friday,2020-04-10 00:00:00.000,,False,Northern Ireland,Northern Ireland
Easter Monday,2022-04-18 00:00:00.000,,True,Northern Ireland,Northern Ireland
Good Friday,2018-03-30 00:00:00.000,,False,Scotland,Scotland
Easter Monday,2023-04-10 00:00:00.000,,True,Northern Ireland,Northern Ireland
Spring bank holiday,2017-05-29 00:00:00.000,,True,Northern Ireland,Northern Ireland
Early May bank holiday,2021-05-03 00:00:00.000,,True,England & Wales,Wales
Summer bank holiday,2018-08-27 00:00:00.000,,True,Northern Ireland,Northern Ireland
Early May bank holiday,2021-05-03 00:00:00.000,,True,Northern Ireland,Northern Ireland
New Year’s Day,2022-01-03 00:00:00.000,Substitute day,True,Scotland,Scotland
Christmas Day,2021-12-27 00:00:00.000,Substitute day,True,England & Wales,Wales
Boxing Day,2021-12-28 00:00:00.000,Substitute day,True,Northern Ireland,Northern Ireland
Good Friday,2019-04-19 00:00:00.000,,False,Scotland,Scotland
Spring bank holiday,2019-05-27 00:00:00.000,,True,England & Wales,Wales
Boxing Day,2022-12-26 00:00:00.000,,True,Scotland,Scotland
Easter Monday,2017-04-17 00:00:00.000,,True,Northern Ireland,Northern Ireland
Christmas Day,2019-12-25 00:00:00.000,,True,England & Wales,Wales
Good Friday,2022-04-15 00:00:00.000,,False,Scotland,Scotland
New Year’s Day,2021-01-01 00:00:00.000,,True,England & Wales,Wales
Summer bank holiday,2021-08-30 00:00:00.000,,True,England & Wales,England
Christmas Day,2018-12-25 00:00:00.000,,True,Northern Ireland,Northern Ireland
Spring bank holiday,2020-05-25 00:00:00.000,,True,England & Wales,Wales
Summer bank holiday,2021-08-30 00:00:00.000,,True,England & Wales,Wales
Boxing Day,2017-12-26 00:00:00.000,,True,England & Wales,England
New Year’s Day,2023-01-02 00:00:00.000,Substitute day,True,England & Wales,England
2nd January,2017-01-02 00:00:00.000,,True,Scotland,Scotland
Spring bank holiday,2022-06-02 00:00:00.000,,True,Northern Ireland,Northern Ireland
Summer bank holiday,2020-08-03 00:00:00.000,,True,Scotland,Scotland
Early May bank holiday,2018-05-07 00:00:00.000,,True,England & Wales,Wales
St Andrew’s Day,2018-11-30 00:00:00.000,,True,Scotland,Scotland
Spring bank holiday,2018-05-28 00:00:00.000,,True,Northern Ireland,Northern Ireland
St Andrew’s Day,2020-11-30 00:00:00.000,,True,Scotland,Scotland
St Patrick’s Day,2022-03-17 00:00:00.000,,True,Northern Ireland,Northern Ireland
Early May bank holiday,2022-05-02 00:00:00.000,,True,England & Wales,England
Boxing Day,2018-12-26 00:00:00.000,,True,England & Wales,England
Boxing Day,2022-12-26 00:00:00.000,,True,England & Wales,England
Spring bank holiday,2021-05-31 00:00:00.000,,True,England & Wales,England
Good Friday,2017-04-14 00:00:00.000,,False,England & Wales,England
Good Friday,2021-04-02 00:00:00.000,,False,Scotland,Scotland
Spring bank holiday,2020-05-25 00:00:00.000,,True,England & Wales,England
Easter Monday,2023-04-10 00:00:00.000,,True,England & Wales,Wales
Easter Monday,2020-04-13 00:00:00.000,,False,Northern Ireland,Northern Ireland
Good Friday,2019-04-19 00:00:00.000,,False,England & Wales,Wales
