Date,Day Name,Start of Week,Start of Month,Month Name,Start of Year,Year,Day of Week,Weekend,Short Month,Short Day
2016-02-07 00:00:00.000,"Sunday",2016-02-01 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,7,"Weekend","FEB","SUN"
2016-02-08 00:00:00.000,"Monday",2016-02-08 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,1,"Weekday","FEB","MON"
2016-02-09 00:00:00.000,"Tuesday",2016-02-08 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,2,"Weekday","FEB","TUE"
2016-02-10 00:00:00.000,"Wednesday",2016-02-08 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,3,"Weekday","FEB","WED"
2016-02-11 00:00:00.000,"Thursday",2016-02-08 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,4,"Weekday","FEB","THU"
2016-02-12 00:00:00.000,"Friday",2016-02-08 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,5,"Weekday","FEB","FRI"
2016-02-13 00:00:00.000,"Saturday",2016-02-08 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,6,"Weekend","FEB","SAT"
2016-02-14 00:00:00.000,"Sunday",2016-02-08 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,7,"Weekend","FEB","SUN"
2016-02-15 00:00:00.000,"Monday",2016-02-15 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,1,"Weekday","FEB","MON"
2016-02-16 00:00:00.000,"Tuesday",2016-02-15 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,2,"Weekday","FEB","TUE"
2016-02-17 00:00:00.000,"Wednesday",2016-02-15 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,3,"Weekday","FEB","WED"
2016-02-18 00:00:00.000,"Thursday",2016-02-15 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,4,"Weekday","FEB","THU"
2016-02-19 00:00:00.000,"Friday",2016-02-15 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,5,"Weekday","FEB","FRI"
2016-02-20 00:00:00.000,"Saturday",2016-02-15 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,6,"Weekend","FEB","SAT"
2016-02-21 00:00:00.000,"Sunday",2016-02-15 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,7,"Weekend","FEB","SUN"
2016-02-22 00:00:00.000,"Monday",2016-02-22 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,1,"Weekday","FEB","MON"
2016-02-23 00:00:00.000,"Tuesday",2016-02-22 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,2,"Weekday","FEB","TUE"
2016-02-24 00:00:00.000,"Wednesday",2016-02-22 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,3,"Weekday","FEB","WED"
2016-02-25 00:00:00.000,"Thursday",2016-02-22 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,4,"Weekday","FEB","THU"
2016-02-26 00:00:00.000,"Friday",2016-02-22 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,5,"Weekday","FEB","FRI"
2016-02-27 00:00:00.000,"Saturday",2016-02-22 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,6,"Weekend","FEB","SAT"
2016-02-28 00:00:00.000,"Sunday",2016-02-22 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,7,"Weekend","FEB","SUN"
2016-02-29 00:00:00.000,"Monday",2016-02-29 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,1,"Weekday","FEB","MON"
2016-03-01 00:00:00.000,"Tuesday",2016-02-29 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,2,"Weekday","MAR","TUE"
2016-03-02 00:00:00.000,"Wednesday",2016-02-29 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,3,"Weekday","MAR","WED"
2016-03-03 00:00:00.000,"Thursday",2016-02-29 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,4,"Weekday","MAR","THU"
2016-03-04 00:00:00.000,"Friday",2016-02-29 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,5,"Weekday","MAR","FRI"
2016-03-05 00:00:00.000,"Saturday",2016-02-29 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,6,"Weekend","MAR","SAT"
2016-03-06 00:00:00.000,"Sunday",2016-02-29 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,7,"Weekend","MAR","SUN"
2016-03-07 00:00:00.000,"Monday",2016-03-07 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,1,"Weekday","MAR","MON"
2016-03-08 00:00:00.000,"Tuesday",2016-03-07 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,2,"Weekday","MAR","TUE"
2016-03-09 00:00:00.000,"Wednesday",2016-03-07 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,3,"Weekday","MAR","WED"
2016-03-10 00:00:00.000,"Thursday",2016-03-07 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,4,"Weekday","MAR","THU"
2016-03-11 00:00:00.000,"Friday",2016-03-07 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,5,"Weekday","MAR","FRI"
2016-03-12 00:00:00.000,"Saturday",2016-03-07 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,6,"Weekend","MAR","SAT"
2016-03-13 00:00:00.000,"Sunday",2016-03-07 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,7,"Weekend","MAR","SUN"
2016-03-14 00:00:00.000,"Monday",2016-03-14 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,1,"Weekday","MAR","MON"
2016-03-15 00:00:00.000,"Tuesday",2016-03-14 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,2,"Weekday","MAR","TUE"
2016-03-16 00:00:00.000,"Wednesday",2016-03-14 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,3,"Weekday","MAR","WED"
2016-03-17 00:00:00.000,"Thursday",2016-03-14 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,4,"Weekday","MAR","THU"
2016-03-18 00:00:00.000,"Friday",2016-03-14 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,5,"Weekday","MAR","FRI"
2016-03-19 00:00:00.000,"Saturday",2016-03-14 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,6,"Weekend","MAR","SAT"
2016-03-20 00:00:00.000,"Sunday",2016-03-14 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,7,"Weekend","MAR","SUN"
2016-03-21 00:00:00.000,"Monday",2016-03-21 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,1,"Weekday","MAR","MON"
2016-03-22 00:00:00.000,"Tuesday",2016-03-21 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,2,"Weekday","MAR","TUE"
2016-03-23 00:00:00.000,"Wednesday",2016-03-21 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,3,"Weekday","MAR","WED"
2016-03-24 00:00:00.000,"Thursday",2016-03-21 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,4,"Weekday","MAR","THU"
2016-03-25 00:00:00.000,"Friday",2016-03-21 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,5,"Weekday","MAR","FRI"
2016-03-26 00:00:00.000,"Saturday",2016-03-21 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,6,"Weekend","MAR","SAT"
2016-03-27 00:00:00.000,"Sunday",2016-03-21 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,7,"Weekend","MAR","SUN"
2016-03-28 00:00:00.000,"Monday",2016-03-28 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,1,"Weekday","MAR","MON"
2016-03-29 00:00:00.000,"Tuesday",2016-03-28 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,2,"Weekday","MAR","TUE"
2016-03-30 00:00:00.000,"Wednesday",2016-03-28 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,3,"Weekday","MAR","WED"
2016-03-31 00:00:00.000,"Thursday",2016-03-28 00:00:00.000,2016-03-01 00:00:00.000,"March",2016-01-01 00:00:00.000,2016,4,"Weekday","MAR","THU"
2016-04-01 00:00:00.000,"Friday",2016-03-28 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,5,"Weekday","APR","FRI"
2016-04-02 00:00:00.000,"Saturday",2016-03-28 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,6,"Weekend","APR","SAT"
2016-04-03 00:00:00.000,"Sunday",2016-03-28 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,7,"Weekend","APR","SUN"
2016-04-04 00:00:00.000,"Monday",2016-04-04 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,1,"Weekday","APR","MON"
2016-04-05 00:00:00.000,"Tuesday",2016-04-04 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,2,"Weekday","APR","TUE"
2016-04-06 00:00:00.000,"Wednesday",2016-04-04 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,3,"Weekday","APR","WED"
2016-04-07 00:00:00.000,"Thursday",2016-04-04 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,4,"Weekday","APR","THU"
2016-04-08 00:00:00.000,"Friday",2016-04-04 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,5,"Weekday","APR","FRI"
2016-04-09 00:00:00.000,"Saturday",2016-04-04 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,6,"Weekend","APR","SAT"
2016-04-10 00:00:00.000,"Sunday",2016-04-04 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,7,"Weekend","APR","SUN"
2016-04-11 00:00:00.000,"Monday",2016-04-11 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,1,"Weekday","APR","MON"
2016-04-12 00:00:00.000,"Tuesday",2016-04-11 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,2,"Weekday","APR","TUE"
2016-04-13 00:00:00.000,"Wednesday",2016-04-11 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,3,"Weekday","APR","WED"
2016-04-14 00:00:00.000,"Thursday",2016-04-11 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,4,"Weekday","APR","THU"
2016-04-15 00:00:00.000,"Friday",2016-04-11 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,5,"Weekday","APR","FRI"
2016-04-16 00:00:00.000,"Saturday",2016-04-11 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,6,"Weekend","APR","SAT"
2016-04-17 00:00:00.000,"Sunday",2016-04-11 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,7,"Weekend","APR","SUN"
2016-04-18 00:00:00.000,"Monday",2016-04-18 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,1,"Weekday","APR","MON"
2016-04-19 00:00:00.000,"Tuesday",2016-04-18 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,2,"Weekday","APR","TUE"
2016-04-20 00:00:00.000,"Wednesday",2016-04-18 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,3,"Weekday","APR","WED"
2016-04-21 00:00:00.000,"Thursday",2016-04-18 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,4,"Weekday","APR","THU"
2016-04-22 00:00:00.000,"Friday",2016-04-18 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,5,"Weekday","APR","FRI"
2016-04-23 00:00:00.000,"Saturday",2016-04-18 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,6,"Weekend","APR","SAT"
2016-04-24 00:00:00.000,"Sunday",2016-04-18 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,7,"Weekend","APR","SUN"
2016-04-25 00:00:00.000,"Monday",2016-04-25 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,1,"Weekday","APR","MON"
2016-04-26 00:00:00.000,"Tuesday",2016-04-25 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,2,"Weekday","APR","TUE"
2016-04-27 00:00:00.000,"Wednesday",2016-04-25 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,3,"Weekday","APR","WED"
2016-04-28 00:00:00.000,"Thursday",2016-04-25 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,4,"Weekday","APR","THU"
2016-04-29 00:00:00.000,"Friday",2016-04-25 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,5,"Weekday","APR","FRI"
2016-04-30 00:00:00.000,"Saturday",2016-04-25 00:00:00.000,2016-04-01 00:00:00.000,"April",2016-01-01 00:00:00.000,2016,6,"Weekend","APR","SAT"
2016-05-01 00:00:00.000,"Sunday",2016-04-25 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,7,"Weekend","MAY","SUN"
2016-05-02 00:00:00.000,"Monday",2016-05-02 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,1,"Weekday","MAY","MON"
2016-05-03 00:00:00.000,"Tuesday",2016-05-02 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,2,"Weekday","MAY","TUE"
2016-05-04 00:00:00.000,"Wednesday",2016-05-02 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,3,"Weekday","MAY","WED"
2016-05-05 00:00:00.000,"Thursday",2016-05-02 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,4,"Weekday","MAY","THU"
2016-05-06 00:00:00.000,"Friday",2016-05-02 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,5,"Weekday","MAY","FRI"
2016-05-07 00:00:00.000,"Saturday",2016-05-02 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,6,"Weekend","MAY","SAT"
2016-05-08 00:00:00.000,"Sunday",2016-05-02 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,7,"Weekend","MAY","SUN"
2016-05-09 00:00:00.000,"Monday",2016-05-09 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,1,"Weekday","MAY","MON"
2016-05-10 00:00:00.000,"Tuesday",2016-05-09 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,2,"Weekday","MAY","TUE"
2016-05-11 00:00:00.000,"Wednesday",2016-05-09 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,3,"Weekday","MAY","WED"
2016-05-12 00:00:00.000,"Thursday",2016-05-09 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,4,"Weekday","MAY","THU"
2016-05-13 00:00:00.000,"Friday",2016-05-09 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,5,"Weekday","MAY","FRI"
2016-05-14 00:00:00.000,"Saturday",2016-05-09 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,6,"Weekend","MAY","SAT"
2016-05-15 00:00:00.000,"Sunday",2016-05-09 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,7,"Weekend","MAY","SUN"
2016-05-16 00:00:00.000,"Monday",2016-05-16 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,1,"Weekday","MAY","MON"
2016-05-17 00:00:00.000,"Tuesday",2016-05-16 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,2,"Weekday","MAY","TUE"
2016-05-18 00:00:00.000,"Wednesday",2016-05-16 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,3,"Weekday","MAY","WED"
2016-05-19 00:00:00.000,"Thursday",2016-05-16 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,4,"Weekday","MAY","THU"
2016-05-20 00:00:00.000,"Friday",2016-05-16 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,5,"Weekday","MAY","FRI"
2016-05-21 00:00:00.000,"Saturday",2016-05-16 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,6,"Weekend","MAY","SAT"
2016-05-22 00:00:00.000,"Sunday",2016-05-16 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,7,"Weekend","MAY","SUN"
2016-05-23 00:00:00.000,"Monday",2016-05-23 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,1,"Weekday","MAY","MON"
2016-05-24 00:00:00.000,"Tuesday",2016-05-23 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,2,"Weekday","MAY","TUE"
2016-05-25 00:00:00.000,"Wednesday",2016-05-23 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,3,"Weekday","MAY","WED"
2016-05-26 00:00:00.000,"Thursday",2016-05-23 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,4,"Weekday","MAY","THU"
2016-05-27 00:00:00.000,"Friday",2016-05-23 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,5,"Weekday","MAY","FRI"
2016-05-28 00:00:00.000,"Saturday",2016-05-23 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,6,"Weekend","MAY","SAT"
2016-05-29 00:00:00.000,"Sunday",2016-05-23 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,7,"Weekend","MAY","SUN"
2016-05-30 00:00:00.000,"Monday",2016-05-30 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,1,"Weekday","MAY","MON"
2016-05-31 00:00:00.000,"Tuesday",2016-05-30 00:00:00.000,2016-05-01 00:00:00.000,"May",2016-01-01 00:00:00.000,2016,2,"Weekday","MAY","TUE"
2016-06-01 00:00:00.000,"Wednesday",2016-05-30 00:00:00.000,2016-06-01 00:00:00.000,"June",2016-01-01 00:00:00.000,2016,3,"Weekday","JUN","WED"
2016-06-02 00:00:00.000,"Thursday",2016-05-30 00:00:00.000,2016-06-01 00:00:00.000,"June",2016-01-01 00:00:00.000,2016,4,"Weekday","JUN","THU"
2016-06-03 00:00:00.000,"Friday",2016-05-30 00:00:00.000,2016-06-01 00:00:00.000,"June",2016-01-01 00:00:00.000,2016,5,"Weekday","JUN","FRI"
2016-06-04 00:00:00.000,"Saturday",2016-05-30 00:00:00.000,2016-06-01 00:00:00.000,"June",2016-01-01 00:00:00.000,2016,6,"Weekend","JUN","SAT"
2016-06-05 00:00:00.000,"Sunday",2016-05-30 00:00:00.000,2016-06-01 00:00:00.000,"June",2016-01-01 00:00:00.000,2016,7,"Weekend","JUN","SUN"
