Country,variable,value
OMN,1991,
PAK,1991,0.409
PAN,1991,0.665
PER,1991,0.619
PHL,1991,0.593
PLW,1991,
PNG,1991,0.386
POL,1991,0.711
PRT,1991,0.72
PRY,1991,0.593
PSE,1991,
QAT,1991,0.754
ROU,1991,0.686
RUS,1991,0.729
RWA,1991,0.218
SAU,1991,0.706
SDN,1991,0.337
SEN,1991,0.377
SGP,1991,0.728
SLB,1991,
SLE,1991,0.267
SLV,1991,0.533
SRB,1991,0.703
SSD,1991,
STP,1991,0.438
SUR,1991,
SVK,1991,0.734
SVN,1991,0.813
SWE,1991,0.818
SWZ,1991,0.546
SYC,1991,
SYR,1991,0.562
TCD,1991,
TGO,1991,0.408
THA,1991,0.583
TJK,1991,0.598
TKM,1991,
TLS,1991,
TON,1991,0.651
TTO,1991,0.668
TUN,1991,0.575
TUR,1991,0.583
TZA,1991,0.374
UGA,1991,0.312
UKR,1991,0.701
URY,1991,0.697
USA,1991,0.862
UZB,1991,
VCT,1991,
VEN,1991,0.648
VNM,1991,0.484
VUT,1991,
WSM,1991,0.622
YEM,1991,0.396
ZAF,1991,0.632
ZMB,1991,0.421
ZWE,1991,0.5
AFG,1992,0.312
AGO,1992,
ALB,1992,0.608
AND,1992,
ARE,1992,0.738
ARG,1992,0.719
ARM,1992,0.585
ATG,1992,
AUS,1992,0.868
AUT,1992,0.805
AZE,1992,
BDI,1992,0.294
BEL,1992,0.825
BEN,1992,0.358
BFA,1992,
BGD,1992,0.403
BGR,1992,0.691
BHR,1992,0.756
BHS,1992,
BIH,1992,
BLR,1992,
BLZ,1992,0.624
BOL,1992,0.555
BRA,1992,0.626
BRB,1992,0.733
BRN,1992,0.778
BTN,1992,
BWA,1992,0.574
CAF,1992,0.299
CAN,1992,0.856
CHE,1992,0.836
CHL,1992,0.719
CHN,1992,0.52
CIV,1992,0.393
CMR,1992,0.438
COD,1992,0.369
COG,1992,0.53
COL,1992,0.613
COM,1992,
CPV,1992,
CRI,1992,0.67
CUB,1992,0.663
CYP,1992,0.738
CZE,1992,0.728
DEU,1992,0.814
DJI,1992,
DMA,1992,
DNK,1992,0.809
DOM,1992,0.606
DZA,1992,0.589
ECU,1992,0.649
EGY,1992,0.557
ERI,1992,
ESP,1992,0.772
EST,1992,0.716
ETH,1992,
FIN,1992,0.795
FJI,1992,0.651
FRA,1992,0.798
FSM,1992,
GAB,1992,0.623
GBR,1992,0.801
GEO,1992,
GHA,1992,0.463
GIN,1992,0.288
GMB,1992,0.339
GNB,1992,
GNQ,1992,
GRC,1992,0.764
GRD,1992,
GTM,1992,0.489
GUY,1992,0.548
HKG,1992,0.791
HND,1992,0.512
HRV,1992,0.665
HTI,1992,0.416
HUN,1992,0.706
IDN,1992,0.535
IND,1992,0.442
IRL,1992,0.772
IRN,1992,0.608
IRQ,1992,0.548
ISL,1992,0.82
ISR,1992,0.807
ITA,1992,0.78
JAM,1992,0.65
JOR,1992,0.648
JPN,1992,0.824
KAZ,1992,0.681
KEN,1992,0.461
KGZ,1992,0.601
KHM,1992,0.393
KIR,1992,
KNA,1992,
KOR,1992,0.746
KWT,1992,0.666
LAO,1992,0.41
LBN,1992,
LBR,1992,
LBY,1992,0.692
LCA,1992,
LIE,1992,
LKA,1992,0.635
LSO,1992,0.485
LTU,1992,0.713
LUX,1992,0.803
LVA,1992,0.671
MAR,1992,0.468
MDA,1992,0.622
MDG,1992,
MDV,1992,
MEX,1992,0.66
MHL,1992,
MKD,1992,
MLI,1992,0.243
MLT,1992,0.753
MMR,1992,0.371
MNE,1992,
MNG,1992,0.561
MOZ,1992,0.215
MRT,1992,0.391
MUS,1992,0.634
MWI,1992,0.318
MYS,1992,0.661
NAM,1992,0.586
NER,1992,0.217
NGA,1992,
NIC,1992,0.493
NLD,1992,0.835
NOR,1992,0.862
NPL,1992,0.395
NZL,1992,0.826
OMN,1992,
PAK,1992,0.415
PAN,1992,0.673
PER,1992,0.62
PHL,1992,0.596
PLW,1992,
PNG,1992,0.393
POL,1992,0.714
PRT,1992,0.732
PRY,1992,0.597
PSE,1992,
QAT,1992,0.757
ROU,1992,0.679
RUS,1992,0.719
RWA,1992,0.2
SAU,1992,0.711
SDN,1992,0.345
SEN,1992,0.378
SGP,1992,0.739
SLB,1992,
SLE,1992,0.26
SLV,1992,0.544
SRB,1992,0.688
SSD,1992,
STP,1992,0.441
SUR,1992,
SVK,1992,0.733
SVN,1992,0.767
SWE,1992,0.821
SWZ,1992,0.543
SYC,1992,
SYR,1992,0.568
TCD,1992,
TGO,1992,0.4
THA,1992,0.589
TJK,1992,0.577
TKM,1992,
TLS,1992,
TON,1992,0.653
TTO,1992,0.674
TUN,1992,0.583
TUR,1992,0.589
TZA,1992,0.372
UGA,1992,0.305
UKR,1992,0.692
URY,1992,0.7
USA,1992,
UZB,1992,
VCT,1992,
VEN,1992,0.654
VNM,1992,0.496
VUT,1992,
WSM,1992,0.622
YEM,1992,0.395
ZAF,1992,0.64
ZMB,1992,0.42
ZWE,1992,0.485
AFG,1993,0.308
AGO,1993,
ALB,1993,0.611
AND,1993,
ARE,1993,0.745
ARG,1993,0.725
ARM,1993,0.59
ATG,1993,
AUS,1993,0.872
AUT,1993,0.809
AZE,1993,
BDI,1993,0.294
BEL,1993,0.838
BEN,1993,0.365
BFA,1993,
BGD,1993,0.411
BGR,1993,0.69
BHR,1993,0.764
BHS,1993,
BIH,1993,
BLR,1993,
BLZ,1993,0.627
BOL,1993,0.562
BRA,1993,0.634
BRB,1993,0.737
BRN,1993,0.783
BTN,1993,
BWA,1993,0.573
CAF,1993,0.299
CAN,1993,0.854
CHE,1993,0.841
CHL,1993,0.712
CHN,1993,0.53
CIV,1993,0.393
CMR,1993,0.432
COD,1993,0.364
COG,1993,0.524
COL,1993,0.621
COM,1993,
CPV,1993,
CRI,1993,0.676
CUB,1993,0.656
CYP,1993,0.775
CZE,1993,0.735
DEU,1993,0.824
DJI,1993,
DMA,1993,
DNK,1993,0.815
DOM,1993,0.613
DZA,1993,0.593
ECU,1993,0.653
EGY,1993,0.563
ERI,1993,
ESP,1993,0.782
EST,1993,0.709
ETH,1993,
FIN,1993,0.799
FJI,1993,0.655
FRA,1993,0.804
FSM,1993,
GAB,1993,0.625
GBR,1993,0.813
GEO,1993,
GHA,1993,0.467
GIN,1993,0.293
GMB,1993,0.343
GNB,1993,
GNQ,1993,
GRC,1993,0.762
GRD,1993,
GTM,1993,0.495
GUY,1993,0.561
HKG,1993,0.799
HND,1993,0.519
HRV,1993,0.667
HTI,1993,0.416
HUN,1993,0.72
IDN,1993,0.541
IND,1993,0.449
IRL,1993,0.781
IRN,1993,0.619
IRQ,1993,0.563
ISL,1993,0.821
ISR,1993,0.813
ITA,1993,0.786
JAM,1993,0.66
JOR,1993,0.659
JPN,1993,0.829
KAZ,1993,0.675
KEN,1993,0.456
KGZ,1993,0.587
KHM,1993,0.397
KIR,1993,
KNA,1993,
KOR,1993,0.756
KWT,1993,0.695
LAO,1993,0.415
LBN,1993,
LBR,1993,
LBY,1993,0.695
LCA,1993,
LIE,1993,
LKA,1993,0.637
LSO,1993,0.478
LTU,1993,0.701
LUX,1993,0.808
LVA,1993,0.661
MAR,1993,0.474
MDA,1993,0.62
MDG,1993,
MDV,1993,
MEX,1993,0.664
MHL,1993,
MKD,1993,
MLI,1993,0.25
MLT,1993,0.757
MMR,1993,0.377
MNE,1993,
MNG,1993,0.547
MOZ,1993,0.221
MRT,1993,0.403
MUS,1993,0.639
MWI,1993,0.327
MYS,1993,0.668
NAM,1993,0.586
NER,1993,0.221
NGA,1993,
NIC,1993,0.499
NLD,1993,0.84
NOR,1993,0.87
NPL,1993,0.4
NZL,1993,0.838
OMN,1993,
PAK,1993,0.418
PAN,1993,0.68
PER,1993,0.625
PHL,1993,0.599
PLW,1993,
PNG,1993,0.404
POL,1993,0.725
PRT,1993,0.746
PRY,1993,0.607
PSE,1993,
QAT,1993,0.768
ROU,1993,0.678
RUS,1993,0.711
RWA,1993,0.195
SAU,1993,0.715
SDN,1993,0.353
SEN,1993,0.377
SGP,1993,0.75
SLB,1993,
SLE,1993,0.266
SLV,1993,0.555
SRB,1993,0.685
SSD,1993,
STP,1993,0.444
SUR,1993,
SVK,1993,0.737
SVN,1993,0.759
SWE,1993,0.84
SWZ,1993,0.538
SYC,1993,
SYR,1993,0.571
TCD,1993,
TGO,1993,0.391
THA,1993,0.597
TJK,1993,0.56
TKM,1993,
TLS,1993,
TON,1993,0.657
TTO,1993,0.676
TUN,1993,0.589
TUR,1993,0.597
TZA,1993,0.372
UGA,1993,0.312
UKR,1993,0.681
URY,1993,0.703
USA,1993,0.872
UZB,1993,
VCT,1993,
VEN,1993,0.656
VNM,1993,0.506
VUT,1993,
WSM,1993,0.627
YEM,1993,0.398
ZAF,1993,0.646
ZMB,1993,0.422
ZWE,1993,0.48
AFG,1994,0.303
AGO,1994,
ALB,1994,0.617
AND,1994,
ARE,1994,0.755
ARG,1994,0.729
ARM,1994,0.6
ATG,1994,
AUS,1994,0.875
AUT,1994,0.813
AZE,1994,
BDI,1994,0.291
BEL,1994,0.845
BEN,1994,0.368
BFA,1994,
BGD,1994,0.419
BGR,1994,0.691
BHR,1994,0.768
BHS,1994,
BIH,1994,
BLR,1994,
BLZ,1994,0.627
BOL,1994,0.57
BRA,1994,0.642
BRB,1994,0.743
BRN,1994,0.788
BTN,1994,
BWA,1994,0.567
CAF,1994,0.3
CAN,1994,0.859
CHE,1994,0.844
CHL,1994,0.717
CHN,1994,0.537
CIV,1994,0.395
CMR,1994,0.43
COD,1994,0.334
COG,1994,0.521
COL,1994,0.628
COM,1994,
CPV,1994,
CRI,1994,0.682
CUB,1994,0.652
CYP,1994,0.779
CZE,1994,0.744
DEU,1994,0.829
DJI,1994,
DMA,1994,
DNK,1994,0.824
DOM,1994,0.618
DZA,1994,0.597
ECU,1994,0.657
EGY,1994,0.569
ERI,1994,
ESP,1994,0.791
EST,1994,0.713
ETH,1994,
FIN,1994,0.809
FJI,1994,0.66
FRA,1994,0.818
FSM,1994,
GAB,1994,0.628
GBR,1994,0.827
GEO,1994,
GHA,1994,0.469
GIN,1994,0.297
GMB,1994,0.346
GNB,1994,
GNQ,1994,
GRC,1994,0.766
GRD,1994,
GTM,1994,0.5
GUY,1994,0.571
HKG,1994,0.804
HND,1994,0.523
HRV,1994,0.681
HTI,1994,0.413
HUN,1994,0.733
IDN,1994,0.551
IND,1994,0.456
IRL,1994,0.789
IRN,1994,0.629
IRQ,1994,0.566
ISL,1994,0.826
ISR,1994,0.818
ITA,1994,0.794
JAM,1994,0.662
JOR,1994,0.669
JPN,1994,0.835
KAZ,1994,0.667
KEN,1994,0.454
KGZ,1994,0.569
KHM,1994,0.374
KIR,1994,
KNA,1994,
KOR,1994,0.767
KWT,1994,0.722
LAO,1994,0.425
LBN,1994,
LBR,1994,
LBY,1994,0.7
LCA,1994,
LIE,1994,
LKA,1994,0.646
LSO,1994,0.479
LTU,1994,0.697
LUX,1994,0.812
LVA,1994,0.661
MAR,1994,0.485
MDA,1994,0.598
MDG,1994,
MDV,1994,
MEX,1994,0.67
MHL,1994,
MKD,1994,
MLI,1994,0.256
MLT,1994,0.76
MMR,1994,0.384
MNE,1994,
MNG,1994,0.549
MOZ,1994,0.228
MRT,1994,0.415
MUS,1994,0.644
MWI,1994,0.323
MYS,1994,0.676
NAM,1994,0.586
NER,1994,0.226
NGA,1994,
NIC,1994,0.513
NLD,1994,0.864
NOR,1994,0.885
NPL,1994,0.407
NZL,1994,0.847
OMN,1994,
PAK,1994,0.423
PAN,1994,0.684
PER,1994,0.636
PHL,1994,0.603
PLW,1994,
PNG,1994,0.405
POL,1994,0.734
PRT,1994,0.753
PRY,1994,0.615
PSE,1994,
QAT,1994,0.78
ROU,1994,0.681
RUS,1994,0.702
RWA,1994,0.189
SAU,1994,0.719
SDN,1994,0.359
SEN,1994,0.377
SGP,1994,0.762
SLB,1994,
SLE,1994,0.265
SLV,1994,0.564
SRB,1994,0.689
SSD,1994,
STP,1994,0.449
SUR,1994,
SVK,1994,0.743
SVN,1994,0.762
SWE,1994,0.849
SWZ,1994,0.531
SYC,1994,
SYR,1994,0.576
TCD,1994,
TGO,1994,0.397
THA,1994,0.604
TJK,1994,0.527
TKM,1994,
TLS,1994,
TON,1994,0.664
TTO,1994,0.68
TUN,1994,0.6
TUR,1994,0.599
TZA,1994,0.371
UGA,1994,0.314
UKR,1994,0.668
URY,1994,0.709
USA,1994,0.875
UZB,1994,
VCT,1994,
VEN,1994,0.657
VNM,1994,0.517
VUT,1994,
WSM,1994,0.606
YEM,1994,0.398
ZAF,1994,0.648
ZMB,1994,0.418
ZWE,1994,0.478
AFG,1995,0.327
AGO,1995,
ALB,1995,0.629
AND,1995,
ARE,1995,0.764
ARG,1995,0.731
ARM,1995,0.604
ATG,1995,
AUS,1995,0.883
AUT,1995,0.817
AZE,1995,0.612
BDI,1995,0.287
BEL,1995,0.851
BEN,1995,0.373
BFA,1995,
BGD,1995,0.427
BGR,1995,0.697
BHR,1995,0.775
BHS,1995,
BIH,1995,
BLR,1995,0.656
BLZ,1995,0.627
BOL,1995,0.578
BRA,1995,0.651
BRB,1995,0.747
BRN,1995,0.791
BTN,1995,
BWA,1995,0.573
CAF,1995,0.304
CAN,1995,0.861
CHE,1995,0.848
CHL,1995,0.725
CHN,1995,0.549
CIV,1995,0.397
CMR,1995,0.429
COD,1995,0.333
COG,1995,0.505
COL,1995,0.633
COM,1995,
CPV,1995,
CRI,1995,0.687
CUB,1995,0.654
CYP,1995,0.783
CZE,1995,0.753
DEU,1995,0.834
DJI,1995,0.353
DMA,1995,
DNK,1995,0.83
DOM,1995,0.624
DZA,1995,0.602
ECU,1995,0.661
EGY,1995,0.576
ERI,1995,
ESP,1995,0.8
EST,1995,0.724
ETH,1995,
FIN,1995,0.816
FJI,1995,0.666
FRA,1995,0.825
FSM,1995,
GAB,1995,0.63
GBR,1995,0.839
GEO,1995,
GHA,1995,0.472
GIN,1995,0.302
GMB,1995,0.35
GNB,1995,
GNQ,1995,
GRC,1995,0.768
GRD,1995,
GTM,1995,0.507
GUY,1995,0.578
HKG,1995,0.808
HND,1995,0.529
HRV,1995,0.696
HTI,1995,0.421
HUN,1995,0.741
IDN,1995,0.56
IND,1995,0.463
IRL,1995,0.795
IRN,1995,0.64
IRQ,1995,0.569
ISL,1995,0.829
ISR,1995,0.824
ITA,1995,0.8
JAM,1995,0.665
JOR,1995,0.683
JPN,1995,0.84
KAZ,1995,0.664
KEN,1995,0.453
KGZ,1995,0.563
KHM,1995,0.387
KIR,1995,
KNA,1995,
KOR,1995,0.778
KWT,1995,0.748
LAO,1995,0.427
LBN,1995,
LBR,1995,
LBY,1995,0.704
LCA,1995,
LIE,1995,
LKA,1995,0.65
LSO,1995,0.475
LTU,1995,0.703
LUX,1995,0.817
LVA,1995,0.673
MAR,1995,0.489
MDA,1995,0.605
MDG,1995,
MDV,1995,0.546
MEX,1995,0.672
MHL,1995,
MKD,1995,
MLI,1995,0.262
MLT,1995,0.764
MMR,1995,0.388
MNE,1995,
MNG,1995,0.553
MOZ,1995,0.235
MRT,1995,0.422
MUS,1995,0.649
MWI,1995,0.363
MYS,1995,0.683
NAM,1995,0.581
NER,1995,0.23
NGA,1995,
NIC,1995,0.523
NLD,1995,0.862
NOR,1995,0.883
NPL,1995,0.411
NZL,1995,0.853
OMN,1995,
PAK,1995,0.428
PAN,1995,0.688
PER,1995,0.646
PHL,1995,0.607
PLW,1995,
PNG,1995,0.414
POL,1995,0.74
PRT,1995,0.76
PRY,1995,0.622
PSE,1995,
QAT,1995,0.789
ROU,1995,0.687
RUS,1995,0.701
RWA,1995,0.228
SAU,1995,0.723
SDN,1995,0.367
SEN,1995,0.378
SGP,1995,0.771
SLB,1995,
SLE,1995,0.268
SLV,1995,0.573
SRB,1995,0.695
SSD,1995,
STP,1995,0.452
SUR,1995,
SVK,1995,0.751
SVN,1995,0.782
SWE,1995,0.857
SWZ,1995,0.526
SYC,1995,
SYR,1995,0.579
TCD,1995,
TGO,1995,0.41
THA,1995,0.611
TJK,1995,0.532
TKM,1995,
TLS,1995,
TON,1995,0.667
TTO,1995,0.686
TUN,1995,0.607
TUR,1995,0.607
TZA,1995,0.372
UGA,1995,0.32
UKR,1995,0.664
URY,1995,0.711
USA,1995,0.878
UZB,1995,
VCT,1995,
VEN,1995,0.66
VNM,1995,0.529
VUT,1995,
WSM,1995,0.611
YEM,1995,0.393
ZAF,1995,0.652
ZMB,1995,0.419
ZWE,1995,0.472
AFG,1996,0.331
AGO,1996,
ALB,1996,0.639
AND,1996,
ARE,1996,0.765
ARG,1996,0.738
ARM,1996,0.614
ATG,1996,
AUS,1996,0.886
AUT,1996,0.82
AZE,1996,0.612
BDI,1996,0.283
BEL,1996,0.857
BEN,1996,0.377
BFA,1996,
BGD,1996,0.436
BGR,1996,0.702
BHR,1996,0.779
BHS,1996,
BIH,1996,
BLR,1996,0.661
BLZ,1996,0.627
BOL,1996,0.585
BRA,1996,0.657
BRB,1996,0.751
BRN,1996,0.794
BTN,1996,
BWA,1996,0.572
CAF,1996,0.301
CAN,1996,0.863
CHE,1996,0.854
CHL,1996,0.732
CHN,1996,0.558
CIV,1996,0.401
CMR,1996,0.428
COD,1996,0.337
COG,1996,0.503
COL,1996,0.643
COM,1996,
CPV,1996,
CRI,1996,0.69
CUB,1996,0.665
CYP,1996,0.786
CZE,1996,0.767
DEU,1996,0.839
DJI,1996,0.351
DMA,1996,
DNK,1996,0.837
DOM,1996,0.63
DZA,1996,0.61
ECU,1996,0.663
EGY,1996,0.584
ERI,1996,
ESP,1996,0.806
EST,1996,0.734
ETH,1996,
FIN,1996,0.823
FJI,1996,0.668
FRA,1996,0.83
FSM,1996,
GAB,1996,0.632
GBR,1996,0.844
GEO,1996,
GHA,1996,0.473
GIN,1996,0.306
GMB,1996,0.356
GNB,1996,
GNQ,1996,
GRC,1996,0.772
GRD,1996,
GTM,1996,0.515
GUY,1996,0.589
HKG,1996,0.811
HND,1996,0.534
HRV,1996,0.708
HTI,1996,0.426
HUN,1996,0.746
IDN,1996,0.574
IND,1996,0.471
IRL,1996,0.801
IRN,1996,0.647
IRQ,1996,0.575
ISL,1996,0.834
ISR,1996,0.828
ITA,1996,0.806
JAM,1996,0.668
JOR,1996,0.685
JPN,1996,0.845
KAZ,1996,0.666
KEN,1996,0.452
KGZ,1996,0.568
KHM,1996,0.391
KIR,1996,
KNA,1996,
KOR,1996,0.789
KWT,1996,0.772
LAO,1996,0.44
LBN,1996,
LBR,1996,
LBY,1996,0.709
LCA,1996,
LIE,1996,
LKA,1996,0.655
LSO,1996,0.47
LTU,1996,0.712
LUX,1996,0.826
LVA,1996,0.68
MAR,1996,0.499
MDA,1996,0.602
MDG,1996,
MDV,1996,0.559
MEX,1996,0.679
MHL,1996,
MKD,1996,
MLI,1996,0.271
MLT,1996,0.767
MMR,1996,0.394
MNE,1996,
MNG,1996,0.56
MOZ,1996,0.258
MRT,1996,0.431
MUS,1996,0.653
MWI,1996,0.366
MYS,1996,0.695
NAM,1996,0.571
NER,1996,0.236
NGA,1996,
NIC,1996,0.533
NLD,1996,0.866
NOR,1996,0.888
NPL,1996,0.421
NZL,1996,0.856
OMN,1996,
PAK,1996,0.433
PAN,1996,0.694
PER,1996,0.651
PHL,1996,0.615
PLW,1996,
PNG,1996,0.421
POL,1996,0.748
PRT,1996,0.767
PRY,1996,0.629
PSE,1996,
QAT,1996,0.801
ROU,1996,0.695
RUS,1996,0.702
RWA,1996,0.26
SAU,1996,0.728
SDN,1996,0.375
SEN,1996,0.379
SGP,1996,0.78
SLB,1996,
SLE,1996,0.275
SLV,1996,0.581
SRB,1996,0.698
SSD,1996,
STP,1996,0.458
SUR,1996,
SVK,1996,0.754
SVN,1996,0.788
SWE,1996,0.864
SWZ,1996,0.519
SYC,1996,
SYR,1996,0.583
TCD,1996,
TGO,1996,0.418
THA,1996,0.619
TJK,1996,0.517
TKM,1996,
TLS,1996,
TON,1996,0.667
TTO,1996,0.691
TUN,1996,0.616
TUR,1996,0.615
TZA,1996,0.374
UGA,1996,0.336
UKR,1996,0.661
URY,1996,0.717
USA,1996,0.879
UZB,1996,
VCT,1996,
VEN,1996,0.662
VNM,1996,0.54
VUT,1996,
WSM,1996,0.619
YEM,1996,0.408
ZAF,1996,0.649
ZMB,1996,0.419
ZWE,1996,0.471
AFG,1997,0.335
AGO,1997,
ALB,1997,0.639
AND,1997,
ARE,1997,0.766
ARG,1997,0.746
ARM,1997,0.625
ATG,1997,
AUS,1997,0.889
AUT,1997,0.823
AZE,1997,0.618
BDI,1997,0.283
BEL,1997,0.862
BEN,1997,0.381
BFA,1997,
BGD,1997,0.444
BGR,1997,0.704
BHR,1997,0.781
BHS,1997,
BIH,1997,
BLR,1997,0.667
BLZ,1997,0.63
BOL,1997,0.587
BRA,1997,0.664
BRB,1997,0.757
BRN,1997,0.797
BTN,1997,
BWA,1997,0.575
CAF,1997,0.304
CAN,1997,0.863
CHE,1997,0.864
CHL,1997,0.739
CHN,1997,0.566
CIV,1997,0.403
CMR,1997,0.429
COD,1997,0.334
COG,1997,0.506
COL,1997,0.651
