Player,Player Team,NO,Runs,Mat,Inns,HS,Ave,BF,SR,100,50,0,4s,6s,Outrate,BRPI,MRA
"EJG Morgan","(Kolkata Knight Riders)",4,418,14,14,"68*",41.8,302,138.41,0,1,0,32,24,0.033112582781456956,19.428571428571427,0.071428571428571425
"SV Samson","(Rajasthan Royals)",1,375,14,14,"85",28.84,236,158.89,0,3,2,21,26,0.055084745762711863,17.142857142857142,0.21428571428571427
"AT Rayudu","(Chennai Super Kings)",2,359,12,11,"71",39.88,282,127.3,0,1,0,30,12,0.031914893617021274,17.454545454545453,0.090909090909090912
"N Pooran","(Kings XI Punjab)",4,353,14,14,"77",35.3,208,169.71,0,2,1,23,25,0.04807692307692308,17.285714285714285,0.14285714285714285
"N Rana","(Kolkata Knight Riders)",0,352,14,14,"87",25.14,254,138.58,0,3,3,43,12,0.055118110236220472,17.428571428571427,0.21428571428571427
"MP Stoinis","(Delhi Capitals)",3,352,17,17,"65",25.14,237,148.52,0,3,1,31,16,0.059071729957805907,12.941176470588236,0.17647058823529413
"JM Bairstow","(Sunrisers Hyderabad)",0,345,11,11,"97",31.36,272,126.83,0,3,1,31,13,0.040441176470588237,18.363636363636363,0.27272727272727271
"RR Pant","(Delhi Capitals)",3,343,14,14,"56",31.18,301,113.95,0,1,0,31,9,0.036544850498338874,12.714285714285714,0.071428571428571425
"RG Sharma","(Mumbai Indians)",0,332,12,12,"80",27.66,260,127.69,0,3,1,27,19,0.046153846153846156,18.5,0.25
"JC Buttler","(Rajasthan Royals)",2,328,13,12,"70*",32.8,227,144.49,0,2,0,27,16,0.04405286343612335,17,0.16666666666666666
"KS Williamson","(Sunrisers Hyderabad)",4,317,12,11,"67",45.28,237,133.75,0,3,0,26,10,0.029535864978902954,14.909090909090908,0.27272727272727271
"SPD Smith","(Rajasthan Royals)",2,311,14,14,"69",25.91,237,131.22,0,3,0,32,9,0.050632911392405063,13,0.21428571428571427
"SR Watson","(Chennai Super Kings)",1,299,11,11,"83*",29.9,247,121.05,0,2,0,33,13,0.04048582995951417,19.09090909090909,0.18181818181818182
"CH Gayle","(Kings XI Punjab)",0,288,7,7,"99",41.14,210,137.14,0,3,0,15,23,0.033333333333333333,28.285714285714285,0.42857142857142855
"BA Stokes","(Rajasthan Royals)",1,285,8,8,"107*",40.71,200,142.5,1,1,0,36,7,0.035,23.25,0.25
"HH Pandya","(Mumbai Indians)",5,281,14,13,"60*",35.12,157,178.98,0,1,1,14,25,0.050955414012738856,15.846153846153847,0.076923076923076927
"AJ Finch","(Royal Challengers Bangalore)",0,268,12,12,"52",22.33,241,111.2,0,1,0,28,8,0.049792531120331947,13.333333333333334,0.083333333333333329
"KA Pollard","(Mumbai Indians)",7,268,16,12,"60*",53.6,140,191.42,0,1,1,15,22,0.035714285714285712,16,0.083333333333333329
"R Tewatia","(Rajasthan Royals)",5,255,14,11,"53",42.5,183,139.34,0,1,0,13,17,0.032786885245901641,14,0.090909090909090912
"RA Jadeja","(Chennai Super Kings)",6,232,14,11,"50",46.4,135,171.85,0,1,0,22,11,0.037037037037037035,14,0.090909090909090912
"RA Tripathi","(Kolkata Knight Riders)",1,230,11,11,"81",23,181,127.07,0,1,0,21,10,0.055248618784530384,13.090909090909092,0.090909090909090912
"PP Shaw","(Delhi Capitals)",0,228,13,13,"66",17.53,167,136.52,0,2,3,27,8,0.077844311377245512,12,0.15384615384615385
"WP Saha","(Sunrisers Hyderabad)",1,214,4,4,"87",71.33,153,139.86,0,2,0,24,5,0.0196078431372549,31.5,0.5
"RD Gaikwad","(Chennai Super Kings)",2,204,6,6,"72",51,169,120.71,0,3,2,16,6,0.023668639053254437,16.666666666666668,0.5
"MS Dhoni","(Chennai Super Kings)",4,200,14,12,"47*",25,172,116.27,0,0,0,16,7,0.046511627906976744,8.8333333333333339,0
"RV Uthappa","(Rajasthan Royals)",0,196,12,12,"41",16.33,164,119.51,0,0,0,19,7,0.073170731707317069,9.8333333333333339,0
"SM Curran","(Chennai Super Kings)",3,186,14,11,"52",23.25,141,131.91,0,1,2,12,12,0.056737588652482268,10.909090909090908,0.090909090909090912
"SO Hetmyer","(Delhi Capitals)",3,185,12,11,"45",23.12,125,148,0,0,0,11,12,0.064,10.545454545454545,0
"KD Karthik","(Kolkata Knight Riders)",2,169,14,14,"58",14.08,134,126.11,0,1,3,20,4,0.089552238805970144,7.4285714285714288,0.071428571428571425
"PJ Cummins","(Kolkata Knight Riders)",4,146,14,11,"53*",20.85,114,128.07,0,1,0,9,8,0.061403508771929821,7.6363636363636367,0.090909090909090912
"PK Garg","(Sunrisers Hyderabad)",1,133,14,10,"51*",14.77,111,119.81,0,1,1,9,4,0.081081081081081086,6,0.1
"Mandeep Singh","(Kings XI Punjab)",1,130,7,7,"66*",21.66,109,119.26,0,1,2,10,4,0.055045871559633031,9.1428571428571423,0.14285714285714285
"S Dube","(Royal Challengers Bangalore)",2,129,11,9,"27*",18.42,105,122.85,0,0,0,5,9,0.066666666666666666,8.2222222222222214,0
"SP Narine","(Kolkata Knight Riders)",0,121,10,9,"64",13.44,85,142.35,0,1,2,10,8,0.10588235294117647,9.7777777777777786,0.1111111111111111
"AR Patel","(Delhi Capitals)",1,117,15,9,"42",14.62,85,137.64,0,0,0,6,8,0.094117647058823528,8,0
"AD Russell","(Kolkata Knight Riders)",0,117,10,9,"25",13,81,144.44,0,0,0,9,9,0.1111111111111111,10,0
