num_boletim,data_hora_boletim,numero_envolvido,condutor,codigo_severidade,desc_severidade,sexo,cinto_seguranca,Embreagues,Idade,nascimento,categoria_habilitacao,descricao_habilitacao,declaracao_obito,cod_severidade_antiga,especie_veiculo,pedestre,passageiro
"2017-012649872-001",2017-06-17 08:07:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",43,"16/04/1974","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-012653554-001",2017-06-17 09:15:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",50,"03/11/1966","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-012668602-001",2017-06-17 12:55:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",33,"15/03/1984","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-012669230-001",2017-06-17 14:54:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",20,"07/08/1996","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004038121-001",2017-02-22 17:03:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",32,"17/12/1984","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004048876-001",2017-02-22 21:43:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",62,"09/02/1955","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004048982-001",2017-02-22 20:28:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",33,"21/03/1983","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004120260-001",2017-02-23 16:15:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",21,"27/05/1995","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004124860-001",2017-02-23 15:10:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",65,"22/02/1952","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004131260-001",2017-02-23 17:16:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",44,"31/07/1972","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004131364-001",2017-02-23 17:10:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",23,"10/08/1993","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004136683-001",2017-02-23 13:50:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",35,"01/12/1981","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004154174-001",2017-02-23 16:53:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",43,"08/12/1973","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004156960-001",2017-02-24 08:15:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",29,"10/09/1987","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004177138-001",2017-02-24 10:05:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",41,"11/09/1975","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004210807-001",2017-02-24 17:17:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",27,"22/08/1989","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004234756-001",2017-02-22 20:35:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",30,"18/03/1986","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004235540-001",2017-02-25 02:21:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",61,"04/10/1955","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002038274-001",2017-01-27 18:35:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",73,"25/08/1943","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004251991-001",2017-02-25 11:20:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",32,"25/09/1984","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004256048-001",2017-02-25 11:05:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",39,"28/02/1977","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004264148-001",2017-02-25 13:58:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",21,"18/06/1995","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002105086-001",2017-01-29 00:51:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",18,"11/03/1998","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002145859-001",2017-01-29 21:48:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",26,"20/04/1990","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004316068-001",2017-02-25 18:44:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",50,"05/10/1966","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004321794-001",2017-02-26 13:23:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",31,"11/11/1985","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004339623-001",2017-02-26 19:22:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",44,"14/07/1972","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004370323-001",2017-02-26 19:50:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",29,"13/12/1987","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004399510-001",2017-02-27 17:53:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",22,"18/12/1994","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002172093-001",2017-01-30 06:31:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",31,"04/07/1985","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002187204-001",2017-01-30 12:18:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",51,"09/12/1965","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002254843-001",2017-01-31 09:08:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",57,"26/11/1959","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004518386-001",2017-03-01 17:02:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",69,"03/05/1947","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004529884-001",2017-03-01 19:44:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",50,"18/09/1966","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004580124-001",2017-03-02 10:51:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",37,"28/12/1979","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004591400-001",2017-03-02 13:36:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",46,"24/11/1970","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002378250-001",2017-02-01 13:15:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",58,"08/06/1958","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004883679-001",2017-03-06 13:00:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",21,"17/10/1995","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004909130-001",2017-03-06 18:26:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",29,"14/07/1987","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004914158-001",2017-03-06 18:57:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",30,"19/12/1986","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004936420-001",2017-03-07 07:55:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",36,"17/04/1980","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004938549-001",2017-03-07 09:43:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",36,"25/02/1981","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004950690-001",2017-03-06 18:30:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",27,"05/11/1989","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004959165-001",2017-03-07 11:45:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",18,"23/03/1998","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004975233-001",2017-03-07 12:01:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",20,"06/07/1996","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002449711-001",2017-02-02 09:00:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",65,"05/04/1951","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002491255-001",2017-02-02 19:28:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",24,"15/12/1992","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002496847-001",2017-02-02 23:00:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",28,"13/11/1988","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004975703-001",2017-03-07 14:46:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",27,"14/10/1989","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-005038222-001",2017-03-06 06:55:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",34,"04/03/1983","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002505367-001",2017-02-03 07:10:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",32,"13/12/1984","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002517374-001",2017-02-03 10:26:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",63,"03/11/1953","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002528831-001",2017-02-03 10:19:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",28,"07/10/1988","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002535887-001",2017-02-03 13:21:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",20,"17/09/1996","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002545146-001",2017-02-03 14:58:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",26,"28/04/1990","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002570390-001",2017-02-03 21:13:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",29,"02/01/1988","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002583569-001",2017-02-04 01:43:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",43,"05/02/1973","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004645476-001",2017-03-03 08:43:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",41,"07/04/1975","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004714183-001",2017-03-03 21:20:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",46,"09/01/1971","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004714380-001",2017-03-03 17:27:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",40,"04/01/1977","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002603819-001",2017-02-04 12:19:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",29,"06/04/1987","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002615629-001",2017-02-04 15:47:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",26,"05/05/1990","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002618873-001",2017-02-04 16:15:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",29,"19/01/1988","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002625587-001",2017-02-04 21:15:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",29,"29/05/1987","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002628509-001",2017-02-04 22:10:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",44,"24/03/1972","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-003693856-001",2017-02-18 13:26:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",23,"17/05/1993","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-001263496-001",2017-01-17 20:03:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",46,"08/01/1971","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002654717-001",2017-02-05 11:02:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",29,"04/12/1987","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002776230-001",2017-02-06 17:56:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",45,"27/02/1971","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002777432-001",2017-02-06 22:46:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",31,"07/09/1985","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-002818900-001",2017-02-07 14:16:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",46,"02/10/1970","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-003724179-001",2017-02-19 00:03:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",51,"13/02/1966","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-003753170-001",2017-02-19 14:58:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",32,"04/01/1985","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-003761151-001",2017-02-19 18:47:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",27,"07/03/1989","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004740298-001",2017-03-04 10:44:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",35,"02/03/1982","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004746724-001",2017-03-04 06:42:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",32,"18/12/1984","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004746780-001",2017-03-04 13:55:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",46,"26/07/1970","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004750421-001",2017-03-04 13:21:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",29,"11/01/1988","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004760533-001",2017-03-04 18:47:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",21,"15/11/1995","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004766816-001",2017-03-04 20:31:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",38,"12/11/1978","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004777816-001",2017-03-05 02:43:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",33,"26/11/1983","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-001474642-001",2017-01-20 12:51:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",34,"18/07/1982","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-005301039-001",2017-03-11 16:12:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",77,"17/03/1939","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004411453-001",2017-02-27 21:07:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",32,"30/07/1984","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004467915-001",2017-02-28 21:13:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",25,"26/02/1992","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004510609-001",2017-03-01 14:31:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",20,"08/10/1996","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-003848999-001",2017-02-20 16:02:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",23,"23/10/1993","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004810980-001",2017-03-05 18:48:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",23,"20/03/1993","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004827709-001",2017-03-06 06:40:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",26,"28/09/1990","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004844314-001",2017-03-05 11:58:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",78,"20/07/1938","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004848130-001",2017-03-06 09:50:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",33,"08/02/1984","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-004860542-001",2017-03-06 10:30:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",53,"28/09/1963","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
