Column1,Game Name,Average Players,Monthly Peak,Achievements,Categories,Cluster,Release Date,Genres,Positive Ratings,Negative Ratings,Average Playtime,Indie,Years Released,Cluster - Copy
29528,"Steep",214.2894,695.28,0,"Single-player","Decay",2016-12-02 00:00:00.000,"Action",7802,2603,724,0,4.4,4
29763,"Stream Avatars",273.611860465116,402.790697674419,0,"Single-player","Decay",2017-07-26 00:00:00.000,"Animation & Modeling",101,8,0,0,3.7,4
29902,"Stronghold Kingdoms",1276.75524271845,2011.69902912621,0,"Single-player","Decay",2012-02-27 00:00:00.000,"Free to Play",4886,2609,329,0,9.1,4
30165,"Subnautica: Below Zero",1124.99083333333,2794.91666666667,0,"Single-player","Decay",2019-01-30 00:00:00.000,"Adventure",4097,471,229,1,2.2,4
30189,"Subsistence",240.962307692308,504.884615384615,0,"Single-player","Decay",2016-10-25 00:00:00.000,"Action",2680,1130,82,0,4.5,4
30241,"Super Crate Box",18.609603960396,46.9009900990099,0,"Single-player","Decay",2012-08-29 00:00:00.000,"Action",5951,702,34,1,8.6,4
30786,"Sword With Sauce",29.3475510204082,72.4081632653061,0,"Single-player","Decay",2018-03-20 00:00:00.000,"Violent",3560,680,577,0,3.1,4
30835,"System Shock 2",39.109247311828,132.612903225806,0,"Single-player","Decay",2013-05-10 00:00:00.000,"Action",4227,274,256,0,7.9,4
31192,"The Awesome Adventures of Captain Spirit",47.0377419354839,164.612903225806,0,"Single-player","Decay",2018-06-25 00:00:00.000,"Adventure",8077,667,68,0,2.8,4
31309,"The Beginner's Guide",14.06734375,59.609375,0,"Single-player","Decay",2015-10-01 00:00:00.000,"Adventure",12791,2036,120,1,5.5,4
31861,"The Divine Paradox",72.8696,450.38,0,"Single-player","Decay",2016-09-26 00:00:00.000,"RPG",6,5,436,0,4.5,4
32342,"The Expendabros",100.647820512821,225.615384615385,0,"Single-player","Decay",2014-08-05 00:00:00.000,"Action",15084,425,85,1,6.7,4
32700,"The Lord of the Rings Online",867.962427184466,1710.81553398058,0,"Single-player","Decay",2012-06-06 00:00:00.000,"Free to Play",6860,1644,892,0,8.9,4
33409,"The Tiny Bang Story",53.5284466019417,1795.03883495146,0,"Single-player","Decay",2011-04-22 00:00:00.000,"Adventure",3923,567,284,1,10,4
33589,"The Way of Life Free Edition",8.30452054794521,27.8082191780822,0,"Single-player","Decay",2016-05-31 00:00:00.000,"Free to Play",5251,1821,13,1,4.9,4
34937,"Totally Accurate Battle Simulator",1176.00833333333,2549.5,0,"Single-player","Decay",2019-04-01 00:00:00.000,"Simulation",3109,295,297,1,2,4
34979,"Totally Accurate Battlegrounds",184.5796875,463.75,0,"Single-player","Decay",2018-06-05 00:00:00.000,"Action",20961,4890,478,1,2.9,4
35011,"Touhou Luna Nights",59.0046666666667,245,0,"Single-player","Decay",2019-02-25 00:00:00.000,"Action",3199,75,158,1,2.1,4
35849,"Ultimate Custom Night",341.207741935484,686.032258064516,0,"Single-player","Decay",2018-06-27 00:00:00.000,"Action",7723,429,128,1,2.8,4
35880,"Ultimate Epic Battle Simulator",144.581956521739,579.369565217391,0,"Single-player","Decay",2017-06-01 00:00:00.000,"Violent",2813,1349,677,1,3.9,4
36281,"Vampire: The Masquerade - Bloodlines",104.805048543689,283.864077669903,0,"Single-player","Decay",2007-03-22 00:00:00.000,"Action",6161,362,350,0,14.1,4
37340,"Workers & Resources: Soviet Republic",782.32652173913,1601.34782608696,0,"Single-player","Decay",2019-03-15 00:00:00.000,"Simulation",1369,311,0,1,2.1,4
37547,"World War 3",124.973214285714,402.75,0,"Single-player","Decay",2018-10-19 00:00:00.000,"Action",8525,5015,364,1,2.5,4
1579,"Artifact",227.029230769231,531,0,"Single-player","Good",2018-11-28 00:00:00.000,"Strategy",9937,10501,1797,0,2.4,3
1915,"ATLAS",4309.14730769231,8789.92307692308,0,"Single-player","Shiny",2018-12-22 00:00:00.000,"Action",8621,16359,2755,0,2.3,2
3229,"Black Desert Online",14169.0637777778,20997.3333333333,0,"Single-player","Masterpieces",2017-05-24 00:00:00.000,"Action",10337,5759,15507,0,3.9,6
3326,"BLOCKADE 3D",418.436621621622,1049.45945945946,0,"Single-player","Good",2014-12-19 00:00:00.000,"Action",15821,11583,499,0,6.3,3
12354,"FTL: Faster Than Light",1410.48128712871,2964.59405940594,0,"Single-player","Good",2012-09-14 00:00:00.000,"Simulation",42641,1629,1111,1,8.6,3
17568,"Kerbal Space Program",3476.04189473684,6913.54736842105,0,"Single-player","Good",2015-04-27 00:00:00.000,"Simulation",49328,5168,9223,1,6,3
26048,"RimWorld",9946.78,15903.2807017544,0,"Single-player","Good",2018-10-17 00:00:00.000,"Simulation",38556,857,5017,1,2.5,3
26105,"Ring of Elysium",6795.15896551724,15960.8965517241,0,"Single-player","Good",2018-09-19 00:00:00.000,"Action",39746,13191,736,0,2.6,3
26297,"Risk of Rain 2",7232.14818181818,18477.6818181818,0,"Single-player","Good",2019-03-28 00:00:00.000,"Action",17902,975,1455,1,2,3
31911,"The Elder Scrolls Online",9724.1817721519,17965.7088607595,0,"Single-player","Masterpieces",2017-05-22 00:00:00.000,"Massively Multiplayer",33719,11672,10659,0,3.9,6
35235,"Tree of Savior (English Ver.)",3259.04474576271,5531.27118644068,0,"Single-player","Good",2016-03-28 00:00:00.000,"Free to Play",9323,5897,2119,0,5,3
35926,"Undertale",1439.80723076923,2762.90769230769,0,"Single-player","Good",2015-09-15 00:00:00.000,"RPG",97832,4496,679,1,5.6,3
36929,"Watch_Dogs 2",1093.3636,3216.2,0,"Single-player","Good",2016-11-28 00:00:00.000,"Action",20905,5366,1231,0,4.4,3
37575,"X-Plane 11",1079.84208333333,1940.91666666667,0,"Single-player","Replayable",2017-03-30 00:00:00.000,"Simulation",2033,443,44169,0,4,5
569,"AdVenture Capitalist",3173.66914285714,6083.77142857143,31,"Single-player","Good",2015-03-30 00:00:00.000,"Casual",35093,4214,2747,1,6,3
884,"Albion Online",3875.27454545455,6453.06060606061,93,"Single-player","Good",2018-05-16 00:00:00.000,"Free to Play",1800,1420,448,0,2.9,3
1096,"American Truck Simulator",3072.71544117647,5935.33823529412,43,"Single-player","Good",2016-02-02 00:00:00.000,"Simulation",25316,2096,2086,1,5.2,3
1605,"Assassin's Creed Odyssey",8622.52892857143,19196.2142857143,82,"Single-player","Good",2018-10-05 00:00:00.000,"Action",20771,4528,3151,0,2.5,3
1633,"Assassin's Creed Origins",2548.79179487179,6201.38461538462,67,"Single-player","Good",2017-10-26 00:00:00.000,"Action",31644,6007,2908,0,3.5,3
1735,"Assetto Corsa",1659.92090909091,3813.125,709,"Single-player","Good",2014-12-19 00:00:00.000,"Racing",15277,2337,3107,1,6.3,3
1852,"ASTRONEER",1386.0373015873,3193.63492063492,54,"Single-player","Good",2019-02-05 00:00:00.000,"Adventure",28375,5246,1213,1,2.2,3
2186,"Banished",1531.18909090909,3399.86363636364,36,"Single-player","Good",2014-02-18 00:00:00.000,"Simulation",24653,2820,1209,1,7.1,3
2431,"Batman: Arkham Knight",1173.35367647059,2677.75,113,"Single-player","Good",2015-06-23 00:00:00.000,"Action",33121,12981,1266,0,5.8,3
3020,"BioShock Infinite",1022.15263157895,2767.36842105263,80,"Single-player","Good",2013-03-25 00:00:00.000,"Action",79442,3846,614,0,8.1,3
3400,"Bloons TD 6",4295.23461538462,9474.88461538462,49,"Single-player","Good",2018-12-17 00:00:00.000,"Strategy",516,251,2819,0,2.3,3
3584,"Borderlands 2",8938.42267326733,19447.7326732673,69,"Single-player","Masterpieces",2012-09-20 00:00:00.000,"Action",144595,11021,3276,0,8.6,6
3685,"Borderlands: The Pre-Sequel",1543.15394736842,3762.60526315789,63,"Single-player","Good",2014-10-16 00:00:00.000,"Action",16909,5076,1661,0,6.5,3
4364,"Call of Duty: Infinite Warfare",454.068039215686,1046.58823529412,88,"Single-player","Good",2016-11-03 00:00:00.000,"Action",7821,10570,3609,0,4.4,3
5179,"Cities: Skylines",9708.04166666667,19911.7777777778,97,"Single-player","Masterpieces",2015-03-10 00:00:00.000,"Simulation",67553,6005,3225,0,6.1,6
5251,"Clicker Heroes",9291.02811594203,12974.6376811594,111,"Single-player","Good",2015-05-13 00:00:00.000,"Adventure",42530,4734,9742,1,5.9,3
7810,"Deus Ex: Mankind Divided",864.683518518519,2296.22222222222,81,"Single-player","Good",2016-08-23 00:00:00.000,"Action",16023,7344,798,0,4.6,3
8117,"Dishonored 2",1003.57980392157,2315.13725490196,50,"Single-player","Good",2016-11-11 00:00:00.000,"Action",21022,5059,1117,0,4.4,3
9792,"Euro Truck Simulator 2",11510.8021649485,25515.1134020619,67,"Single-player","Masterpieces",2012-10-12 00:00:00.000,"Simulation",176769,5825,4942,1,8.5,6
10578,"Fallout 4",19736.8682539683,36658.1746031746,84,"Single-player","Shiny",2015-11-09 00:00:00.000,"RPG",110376,45377,4822,0,5.4,2
10641,"Fallout Shelter",1658.94,2761.45652173913,35,"Single-player","Good",2017-03-29 00:00:00.000,"Free to Play",21481,3569,1116,0,4,3
10687,"Fallout: New Vegas",3960.34660194175,7774.27184466019,75,"Single-player","Good",2010-10-21 00:00:00.000,"Action",66756,3149,2485,0,10.5,3
12312,"Frostpunk",2097.66476190476,5171.38095238095,75,"Single-player","Good",2018-04-24 00:00:00.000,"Simulation",22952,3202,1084,0,3,3
12786,"Geometry Dash",2914.32716216216,5019.64864864865,120,"Single-player","Good",2014-12-22 00:00:00.000,"Action",52737,2990,5546,1,6.3,3
12900,"Goat Simulator",358.149397590361,1033.4578313253,127,"Single-player","Good",2014-04-01 00:00:00.000,"Casual",45892,5779,309,1,7,3
14245,"Hades",8102.92571428571,15899.2142857143,49,"Single-player","Masterpieces",,"Action Roguelike",124815,2029,1780,0,,6
14259,"Half-Life 2",845.655436893204,1963.93203883495,33,"Single-player","Good",2004-11-16 00:00:00.000,"Action",67902,2419,691,0,16.4,3
14671,"Half-Life: Alyx",959.587272727273,2229.81818181818,42,"Single-player","Good",,"Action",44058,2151,691,0,,3
15266,"Hentai Girl",20.0773333333333,112.766666666667,3000,"Single-player","Achievements",2018-08-17 00:00:00.000,"Casual",4662,450,77,1,2.7,1
15500,"HITMAN 2",2429.22703703704,19060.5555555556,125,"Single-player","Good",2018-11-13 00:00:00.000,"Action",10814,1756,636,0,2.4,3
15776,"Hollow Knight",2570.9692,5218.44,63,"Single-player","Good",2017-02-24 00:00:00.000,"Action",40167,1927,1286,1,4.1,3
15948,"Horizon Zero Dawn",3265.69833333333,7650.33333333333,79,"Single-player","Shiny",,"Adventure",26841,8445,1412,0,,2
16214,"Human: Fall Flat",2871.13339285714,12364.1071428571,55,"Single-player","Good",2016-07-22 00:00:00.000,"Adventure",28371,2678,348,1,4.7,3
16667,"Infestation: The New Z",1805.6168627451,3000.70588235294,63,"Single-player","Good",2016-11-22 00:00:00.000,"Action",13726,14201,376,1,4.4,3
17212,"Jurassic World Evolution",1828.759375,4844.0625,62,"Single-player","Good",2018-06-11 00:00:00.000,"Simulation",9824,4060,1201,0,2.8,3
17347,"Just Cause 3",1892.32580645161,4631.74193548387,66,"Single-player","Good",2015-11-30 00:00:00.000,"Action",37747,14024,2086,0,5.4,3
17663,"Kingdom Come: Deliverance",3810.90756756757,10363.2162162162,71,"Single-player","Good",2018-02-13 00:00:00.000,"Action",30024,9307,2106,0,3.2,3
18426,"Life is Strange 2",382.198928571429,17968.1428571429,46,"Single-player","Good",2018-09-26 00:00:00.000,"Adventure",4749,950,325,0,2.5,3
19728,"Mad Max",1030.59493975904,2756.50602409639,49,"Single-player","Good",2015-09-01 00:00:00.000,"Action",36222,3811,1030,0,5.6,3
20544,"Metro 2033 Redux",416.302727272727,1359.75324675325,49,"Single-player","Good",2014-08-27 00:00:00.000,"Action",28179,7313,434,0,6.6,3
20698,"Middle-earth: Shadow of War",2758.44446808511,7040.89361702128,72,"Single-player","Good",2017-10-09 00:00:00.000,"Action",19813,5633,1587,0,3.5,3
21910,"NieR:Automata",1397.61106382979,3484.95744680851,47,"Single-player","Good",2017-03-17 00:00:00.000,"Action",39387,9414,2022,0,4.1,3
23331,"Oxygen Not Included",4191.41660714286,7897.21428571429,2,"Single-player","Good",2017-05-18 00:00:00.000,"Simulation",16797,1205,2115,1,3.9,3
23632,"Pathfinder: Kingmaker",2372.29724137931,4970.75862068965,67,"Single-player","Good",2018-09-25 00:00:00.000,"RPG",6063,2426,1642,0,2.5,3
23895,"Planet Coaster",2158.82981481481,4927.05555555556,32,"Single-player","Good",2016-11-17 00:00:00.000,"Simulation",22004,2828,1069,0,4.4,3
24379,"Portal 2",2224.52718446602,5663.41747572816,51,"Single-player","Good",2011-04-18 00:00:00.000,"Action",138220,1891,1102,0,10,3
24660,"PRICE",6.24283018867925,31.1320754716981,8,"Single-player","Replayable",2016-09-15 00:00:00.000,"Adventure",4198,233,63481,1,4.6,5
24713,"Prison Architect",1627.46273684211,4545.82105263158,18,"Single-player","Good",2015-10-06 00:00:00.000,"Simulation",31687,2286,1472,1,5.5,3
25119,"Quake Champions",867.310476190476,2162.71428571429,52,"Single-player","Good",2017-08-22 00:00:00.000,"Action",15879,7098,754,0,3.6,3
25362,"Raft",3546.74025,8564.925,47,"Single-player","Good",2018-05-23 00:00:00.000,"Adventure",11577,3177,826,1,2.9,3
26134,"Rise of the Tomb Raider",1956.247,5347.11666666667,143,"Single-player","Good",2016-02-09 00:00:00.000,"Action",49004,3838,817,0,5.2,3
26798,"Saints Row IV",1174.51222222222,4204.25555555556,73,"Single-player","Good",2013-08-22 00:00:00.000,"Action",54091,4945,1279,0,7.6,3
26961,"Saints Row: The Third",1273.46427184466,3635.92233009709,83,"Single-player","Good",2011-11-17 00:00:00.000,"Action",44810,1877,1848,0,9.4,3
27339,"SCP: Secret Laboratory",2767.39578947368,4767.76315789474,29,"Single-player","Good",2017-12-29 00:00:00.000,"Action",19534,3621,216,0,3.3,3
27476,"SCUM",2620.41666666667,5863.47619047619,36,"Single-player","Good",2018-08-29 00:00:00.000,"Action",15934,8556,1264,1,2.6,3
27585,"Sekiro: Shadows Die Twice",4891.36043478261,11888.1304347826,34,"Single-player","Shiny",2019-03-21 00:00:00.000,"Action",21504,3019,2059,0,2.1,2
27692,"Shadow of the Tomb Raider",2039.69066666667,5411,99,"Single-player","Good",2018-09-14 00:00:00.000,"Action",10832,4408,672,0,2.6,3
28374,"Slay the Spire",7006.3476744186,11343.2325581395,43,"Single-player","Good",2019-01-23 00:00:00.000,"Strategy",26166,998,3034,1,2.2,3
30082,"Subnautica",2448.10542168675,5607.95180722892,17,"Single-player","Good",2018-01-23 00:00:00.000,"Adventure",90155,5413,1446,1,3.2,3
30634,"Survarium",381.632142857143,853.528571428571,73,"Single-player","Good",2015-04-02 00:00:00.000,"Action",9985,9441,6569,0,6,3
31373,"The Binding of Isaac",1035.76805825243,2004.34951456311,99,"Single-player","Good",2011-09-28 00:00:00.000,"Action",43227,1923,1849,1,9.5,3
31476,"The Binding of Isaac: Rebirth",6593.9592,11622.68,403,"Single-player","Good",2014-11-04 00:00:00.000,"Action",72830,1840,4583,0,6.4,3
31990,"The Elder Scrolls V: Skyrim",18808.8081553398,35635.3398058252,75,"Single-player","Masterpieces",2011-11-10 00:00:00.000,"RPG",237303,14951,7089,0,9.4,6
