Date,Game,Earnings,Players,Tournaments
2014-01-01 00:00:00.000,"StarCraft Brood War",3063.69,3,1
2014-01-01 00:00:00.000,"NHL 14",478.39,3,1
2014-02-01 00:00:00.000,"StarCraft Brood War",1304.51,3,1
2014-03-01 00:00:00.000,"NHL 14",723.17,3,1
2014-03-01 00:00:00.000,"Divekick",500,3,1
2014-05-01 00:00:00.000,"Guilty Gear XX Accent Core Plus R",240,3,1
2014-05-01 00:00:00.000,"Marvel vs. Capcom 2",200,3,1
2014-06-01 00:00:00.000,"StarCraft Brood War",2837.36,3,1
2014-06-01 00:00:00.000,"Divekick",1200,3,1
2014-06-01 00:00:00.000,"Persona 4 Arena",820,3,1
2014-06-01 00:00:00.000,"Soul Calibur V",635,3,1
2014-06-01 00:00:00.000,"King of Fighters XIII",555,3,1
2014-06-01 00:00:00.000,"WarCraft III",480,3,1
2014-06-01 00:00:00.000,"Capcom vs. SNK 2",445,3,1
2014-06-01 00:00:00.000,"Guilty Gear XX Accent Core Plus R",200,3,1
2014-06-01 00:00:00.000,"TrackMania 2 Stadium",137.4,3,1
2014-07-01 00:00:00.000,"StarCraft Brood War",5855.38,3,1
2014-07-01 00:00:00.000,"WarCraft III",483.48,3,1
2014-07-01 00:00:00.000,"Street Fighter X Tekken",450,3,1
2014-07-01 00:00:00.000,"TrackMania 2 Stadium",135.46,3,1
2014-08-01 00:00:00.000,"Attack on Titan Tribute Game",10000,3,1
2014-08-01 00:00:00.000,"WarCraft III",485.48,3,1
2014-08-01 00:00:00.000,"Age of Mythology",200,3,1
2014-08-01 00:00:00.000,"Injustice Gods Among Us",55,3,1
2014-10-01 00:00:00.000,"TrackMania 2 Canyon",665.28,3,1
2014-10-01 00:00:00.000,"Street Fighter X Tekken",70,3,1
2014-11-01 00:00:00.000,"Attack on Titan Tribute Game",2500,3,1
2015-01-01 00:00:00.000,"Super Smash Bros.",180,3,1
2015-01-01 00:00:00.000,"Ultimate Marvel vs. Capcom 3",40,3,1
2015-02-01 00:00:00.000,"Dead or Alive 5 Last Round",820,3,1
2015-02-01 00:00:00.000,"Injustice Gods Among Us",550,3,1
2015-02-01 00:00:00.000,"Soul Calibur V",500,3,1
2015-02-01 00:00:00.000,"NHL 15",391.9,3,1
2015-02-01 00:00:00.000,"Under Night In Birth EXE Late",240,3,1
2015-02-01 00:00:00.000,"Street Fighter III 3rd Strike",239,3,1
2015-02-01 00:00:00.000,"Persona 4 Arena Ultimax",210,3,1
2015-02-01 00:00:00.000,"King of Fighters XIII",190,3,1
2015-02-01 00:00:00.000,"Mortal Kombat 9",190,3,1
2015-03-01 00:00:00.000,"Street Fighter X Tekken",100,3,1
2015-04-01 00:00:00.000,"TrackMania 2 Canyon",540.66,3,1
2015-04-01 00:00:00.000,"Trackmania 2 Valley",540.66,3,1
2015-05-01 00:00:00.000,"Divekick",700,3,1
2015-05-01 00:00:00.000,"Tekken Tag Tournament 2",590,3,1
2015-05-01 00:00:00.000,"Persona 4 Arena Ultimax",380,3,1
2015-05-01 00:00:00.000,"Injustice Gods Among Us",320,3,1
2015-05-01 00:00:00.000,"Dead or Alive 5 Last Round",172.23,3,1
2015-05-01 00:00:00.000,"Ultimate Mortal Kombat 3",150,3,1
2015-06-01 00:00:00.000,"Pro Evolution Soccer 2015",26544.76,3,1
2015-06-01 00:00:00.000,"Tekken Tag Tournament 2",610,3,1
2015-06-01 00:00:00.000,"Divekick",410,3,1
2015-07-01 00:00:00.000,"Street Fighter X Tekken",500,3,1
2015-08-01 00:00:00.000,"Dead or Alive 5 Last Round",1880,3,1
2015-08-01 00:00:00.000,"TrackMania 2 Stadium",1505.34,3,1
2015-08-01 00:00:00.000,"Street Fighter III 3rd Strike",870,3,1
2015-08-01 00:00:00.000,"Skullgirls Encore",520,3,1
2015-08-01 00:00:00.000,"Killer Instinct (2013)",360,3,1
2015-08-01 00:00:00.000,"Soul Calibur V",330,3,1
2015-08-01 00:00:00.000,"Age of Empires II",300,3,1
2015-08-01 00:00:00.000,"Under Night In Birth EXE Late",280,3,1
2015-08-01 00:00:00.000,"Brawlhalla",250,3,1
2015-08-01 00:00:00.000,"BlazBlue Chronophantasma Extend",210,3,1
2015-08-01 00:00:00.000,"Persona 4 Arena Ultimax",180,3,1
2015-08-01 00:00:00.000,"King of Fighters XIII",150,3,1
2015-09-01 00:00:00.000,"Reflex",1035,3,1
2015-09-01 00:00:00.000,"Ultimate Marvel vs. Capcom 3",910,3,1
2015-09-01 00:00:00.000,"Super Smash Bros. Brawl",160,3,1
2015-10-01 00:00:00.000,"Rising Thunder",1000,3,1
2015-10-01 00:00:00.000,"Splatoon",720,3,1
2015-10-01 00:00:00.000,"Nitroplus Blasterz Heroines Infinite Duel",464,3,1
2015-10-01 00:00:00.000,"Killer Instinct (2013)",340,3,1
2015-10-01 00:00:00.000,"King of Fighters XIII",300,3,1
2015-10-01 00:00:00.000,"Under Night In Birth EXE Late",230,3,1
2015-10-01 00:00:00.000,"Guilty Gear XX Accent Core Plus R",120,3,1
2015-10-01 00:00:00.000,"Street Fighter III 3rd Strike",115.86,3,1
2015-10-01 00:00:00.000,"Skullgirls Encore",90,3,1
2015-10-01 00:00:00.000,"Soul Calibur V",90,3,1
2015-10-01 00:00:00.000,"Capcom vs. SNK 2",61.79,3,1
2015-10-01 00:00:00.000,"Dengeki Bunko Fighting Climax",60,3,1
2015-11-01 00:00:00.000,"World of Tanks",2598.29,3,1
2015-11-01 00:00:00.000,"Mortal Kombat X",450.99,3,1
2015-11-01 00:00:00.000,"Super Street Fighter II Turbo",328.69,3,1
2015-11-01 00:00:00.000,"BlazBlue Chronophantasma Extend",321.04,3,1
2015-11-01 00:00:00.000,"Under Night In Birth EXE Late",305.76,3,1
2015-11-01 00:00:00.000,"King of Fighters XIII",191.1,3,1
2015-11-01 00:00:00.000,"Persona 4 Arena Ultimax",168.16,3,1
2015-11-01 00:00:00.000,"Virtua Fighter 5 Final Showdown",145.23,3,1
2015-11-01 00:00:00.000,"Killer Instinct (2013)",122.3,3,1
2015-11-01 00:00:00.000,"Skullgirls Encore",122.3,3,1
2015-11-01 00:00:00.000,"Dead or Alive 5 Last Round",107.01,3,1
2015-11-01 00:00:00.000,"Tekken Tag Tournament 2",76.44,3,1
2015-12-01 00:00:00.000,"Tekken 7",41334.27,3,1
2015-12-01 00:00:00.000,"iRacing.com",444,3,1
2015-12-01 00:00:00.000,"Killer Instinct (2013)",90,3,1
2016-01-01 00:00:00.000,"StarCraft Brood War",31725.82,3,1
2016-01-01 00:00:00.000,"Tekken 7",800,3,1
2016-01-01 00:00:00.000,"Injustice Gods Among Us",500,3,1
2016-01-01 00:00:00.000,"Persona 4 Arena Ultimax",490,3,1
2016-01-01 00:00:00.000,"Skullgirls Encore",470,3,1
2016-01-01 00:00:00.000,"Guilty Gear XX Accent Core Plus R",410,3,1
2016-01-01 00:00:00.000,"Under Night In Birth EXE Late",360,3,1
2016-01-01 00:00:00.000,"Dead or Alive 5 Last Round",260,3,1
2016-01-01 00:00:00.000,"King of Fighters XIII",250,3,1
2016-01-01 00:00:00.000,"Divekick",180,3,1
2016-01-01 00:00:00.000,"Tatsunoko vs. Capcom Ultimate All Stars",170,3,1
2016-01-01 00:00:00.000,"Soul Calibur V",140,3,1
2016-02-01 00:00:00.000,"BlazBlue Chronophantasma Extend",2460,3,1
2016-02-01 00:00:00.000,"Under Night In Birth EXE Late",1270,3,1
2016-02-01 00:00:00.000,"Ultra Street Fighter IV",160,3,1
2016-03-01 00:00:00.000,"Nitroplus Blasterz Heroines Infinite Duel",1120,3,1
2016-03-01 00:00:00.000,"Dead or Alive 5 Last Round",640,3,1
2016-03-01 00:00:00.000,"Age of Empires II",500,3,1
2016-03-01 00:00:00.000,"Tekken 7",320,3,1
2016-03-01 00:00:00.000,"Pokk<U+00E9>n Tournament",230,3,1
2016-03-01 00:00:00.000,"Unreal Tournament (2016)",146.42,3,1
2016-03-01 00:00:00.000,"Marvel vs. Capcom 2",100,3,1
2016-03-01 00:00:00.000,"Super Street Fighter II Turbo",95,3,1
2016-04-01 00:00:00.000,"Trackmania Turbo",566.91,3,1
2016-04-01 00:00:00.000,"Ultra Street Fighter IV",420,3,1
2016-04-01 00:00:00.000,"FIFA 16",398.83,3,1
2016-04-01 00:00:00.000,"Guilty Gear Xrd  REVELATOR",220,3,1
2016-04-01 00:00:00.000,"Pokk<U+00E9>n Tournament",80,3,1
2016-04-01 00:00:00.000,"Killer Instinct (2013)",50,3,1
2016-05-01 00:00:00.000,"Pro Evolution Soccer 2016",25995.57,3,1
2016-05-01 00:00:00.000,"Vampire Savior",460,3,1
2016-05-01 00:00:00.000,"King of Fighters 2002 Unlimited Match",380,3,1
2016-05-01 00:00:00.000,"Dengeki Bunko Fighting Climax Ignition",142.3,3,1
2016-06-01 00:00:00.000,"Age of Empires II",1000,3,1
2016-06-01 00:00:00.000,"Pro Evolution Soccer 2016",232.2,3,1
2016-07-01 00:00:00.000,"Attack on Titan Tribute Game",500,3,1
2016-07-01 00:00:00.000,"Street Fighter X Tekken",300,3,1
2016-07-01 00:00:00.000,"Pro Evolution Soccer 2016",245.86,3,1
2016-07-01 00:00:00.000,"Super Smash Bros. Brawl",28.35,3,1
2016-08-01 00:00:00.000,"Mortal Kombat XL",1070,3,1
2016-08-01 00:00:00.000,"Ultimate Marvel vs. Capcom 3",740,3,1
2016-08-01 00:00:00.000,"Attack on Titan Tribute Game",500,3,1
2016-08-01 00:00:00.000,"King of Fighters XIV",330,3,1
2016-08-01 00:00:00.000,"Guilty Gear Xrd  REVELATOR",210,3,1
2016-09-01 00:00:00.000,"Attack on Titan Tribute Game",500,3,1
2016-09-01 00:00:00.000,"Mortal Kombat X",500,3,1
2016-09-01 00:00:00.000,"NHL '94",256,3,1
2016-09-01 00:00:00.000,"Pro Evolution Soccer 2016",253.9,3,1
2016-10-01 00:00:00.000,"Attack on Titan Tribute Game",500,3,1
2016-10-01 00:00:00.000,"Persona 4 Arena Ultimax",470,3,1
2016-10-01 00:00:00.000,"Guilty Gear XX Accent Core Plus R",460,3,1
2016-10-01 00:00:00.000,"Catherine",270,3,1
2016-10-01 00:00:00.000,"Nitroplus Blasterz Heroines Infinite Duel",260,3,1
2016-10-01 00:00:00.000,"Koihime Enbu",250,3,1
2016-10-01 00:00:00.000,"Pokk<U+00E9>n Tournament",216.49,3,1
2016-10-01 00:00:00.000,"Arcana Heart 3 LOVE MAX!!!!!",210,3,1
2016-10-01 00:00:00.000,"Aquapazza Aquaplus Dream Match",160,3,1
2016-11-01 00:00:00.000,"Age of Empires III",550,3,1
2016-11-01 00:00:00.000,"StarCraft Brood War",511.8,3,1
2016-12-01 00:00:00.000,"Tekken 7",5203.81,3,1
