Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments,genmatch,img
"Rage",2011,"Shooter",5000,5000,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Rage.png"
"S.T.A.L.K.E.R. Shadow of Chernobyl",2007,"Shooter",4901.26,4901.26,0,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/S.T.A.L.K.E.R. Shadow of Chernobyl.png"
"Star Wars Jedi Knight II Jedi Outcast",2002,"Shooter",7679.25,7679.25,0,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Star Wars Jedi Knight II Jedi Outcast.png"
"Uncharted 4 A Thief's End",2016,"Shooter",46235.07,46235.07,5,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Uncharted 4 A Thief's End.png"
"Warsow",2012,"Shooter",183,0,2,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Warsow.png"
"Zula",2015,"Shooter",100000,100000,20,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Zula.png"
"Creative Destruction",2018,"Multiplayer Online Battle Arena",100000,0,8,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Creative Destruction.png"
"Heavy Metal Machines",2017,"Multiplayer Online Battle Arena",12339.33,0,35,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Heavy Metal Machines.png"
"Legend of Glory",2015,"Multiplayer Online Battle Arena",472.66,0,0,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Legend of Glory.png"
"MOBA Legends",2016,"Multiplayer Online Battle Arena",225,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/MOBA Legends.png"
"Mobile Legends Bang Bang",2016,"Multiplayer Online Battle Arena",297000,297000,10,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Mobile Legends Bang Bang.png"
"Shards of War",2015,"Multiplayer Online Battle Arena",1029.21,0,20,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Shards of War.png"
"Akatsuki Blitzkampf",2007,"Fighting Game",20,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Akatsuki Blitzkampf.png"
"Arcana Heart 3",2009,"Fighting Game",1000,1000,4,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Arcana Heart 3.png"
"Asuka 120% LimitOver BURNING Fest.",1998,"Fighting Game",10,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Asuka 120% LimitOver BURNING Fest..png"
"BlazBlue Calamity Trigger",2008,"Fighting Game",35,35,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/BlazBlue Calamity Trigger.png"
"BlazBlue Continuum Shift Extend",2011,"Fighting Game",0,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/BlazBlue Continuum Shift Extend.png"
"Breakers Revenge",1998,"Fighting Game",16,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Breakers Revenge.png"
"Chaos Code New Sign of Catastrophe",2013,"Fighting Game",140,140,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Chaos Code New Sign of Catastrophe.png"
"Dead or Alive Ultimate",2004,"Fighting Game",30000,30000,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dead or Alive Ultimate.png"
"Dengeki Bunko Fighting Climax",2014,"Fighting Game",60,60,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dengeki Bunko Fighting Climax.png"
"Dragon Ball Z Budokai 3",2004,"Fighting Game",204.06,204.06,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Dragon Ball Z Budokai 3.png"
"Fighter's History Dynamite",1994,"Fighting Game",195,195,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Fighter's History Dynamite.png"
"Guilty Gear",1998,"Fighting Game",32,32,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guilty Gear.png"
"Guilty Gear XX #Reload",2003,"Fighting Game",0,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guilty Gear XX #Reload.png"
"Guilty Gear XX Accent Core Plus",2008,"Fighting Game",0,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guilty Gear XX Accent Core Plus.png"
"Hokuto no Ken",2005,"Fighting Game",145,145,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Hokuto no Ken.png"
"Hyper Street Fighter II",2003,"Fighting Game",10250,10250,8,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Hyper Street Fighter II.png"
"HYPERFIGHT",2019,"Fighting Game",50,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/HYPERFIGHT.png"
"King of Fighters XI",2005,"Fighting Game",25,25,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/King of Fighters XI.png"
"Kirby Fighters 2",2020,"Fighting Game",222.86,0,4,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Kirby Fighters 2.png"
"Maiden & Spell",2020,"Fighting Game",200,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Maiden & Spell.png"
"Mortal Kombat vs. DC Universe",2008,"Fighting Game",0,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Mortal Kombat vs. DC Universe.png"
"Naruto Gekitou Ninja Taisen! 4",2005,"Fighting Game",200,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Naruto Gekitou Ninja Taisen! 4.png"
"Pocket Rumble",2016,"Fighting Game",60,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pocket Rumble.png"
"Power Instinct Matrimelee",2002,"Fighting Game",50,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Power Instinct Matrimelee.png"
"Power Rangers Legacy Wars",2017,"Fighting Game",4178.55,4178.55,2,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Power Rangers Legacy Wars.png"
"Project Justice",2000,"Fighting Game",165,165,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Project Justice.png"
"Project Plus",2019,"Fighting Game",20,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Project Plus.png"
"Punch Planet",2017,"Fighting Game",300,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Punch Planet.png"
"Rising Thunder",2015,"Fighting Game",1000,1000,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Rising Thunder.png"
"Roof Rage",2019,"Fighting Game",50,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Roof Rage.png"
"Samurai Shodown III",1995,"Fighting Game",30,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Samurai Shodown III.png"
"Schwarzerblitz",2020,"Fighting Game",100,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Schwarzerblitz.png"
"Sekiro Shadows Die Twice",2019,"Fighting Game",19596,0,20,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Sekiro Shadows Die Twice.png"
"Shovel Knight Showdown",2019,"Fighting Game",60,60,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Shovel Knight Showdown.png"
"Shrek SuperSlam",2005,"Fighting Game",50,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Shrek SuperSlam.png"
"Skullgirls",2012,"Fighting Game",300,300,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Skullgirls.png"
"Slap City",2018,"Fighting Game",300,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Slap City.png"
"SLAYERS FOR HIRE",2020,"Fighting Game",500,0,8,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/SLAYERS FOR HIRE.png"
"Smash Remix",2019,"Fighting Game",299.06,0,4,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Smash Remix.png"
"SNK Heroines Tag Team Frenzy",2018,"Fighting Game",430,430,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/SNK Heroines Tag Team Frenzy.png"
"The Last Blade 2",1998,"Fighting Game",20,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/The Last Blade 2.png"
"Ultra Fight Da! Kyanta 2",2019,"Fighting Game",320,320,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Ultra Fight Da! Kyanta 2.png"
"F1 2018",2018,"Sports",200000,200000,21,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/F1 2018.png"
"Forza Motorsport 4",2011,"Sports",132.37,132.37,2,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Forza Motorsport 4.png"
"GRID (2019)",2019,"Sports",218.75,218.75,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/GRID (2019).png"
"Mad Skills Motocross 2",2017,"Sports",20163,20163,12,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Mad Skills Motocross 2.png"
"NASCAR Thunder 2002",2001,"Sports",7679.25,7679.25,0,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/NASCAR Thunder 2002.png"
"NASCAR Thunder 2003",2002,"Sports",5933.5,5933.5,0,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/NASCAR Thunder 2003.png"
"Need for Speed Shift",2009,"Sports",10500,10500,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Need for Speed Shift.png"
"Need for Speed Underground",2003,"Sports",35000,35000,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Need for Speed Underground.png"
"Speedrunners",2016,"Sports",50,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Speedrunners.png"
"Trackmania United",2006,"Sports",1027.5,1027.5,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Trackmania United.png"
"FIFA 2000",1999,"Sports",50000,50000,4,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 2000.png"
"FIFA 2002 World Cup",2002,"Sports",43000,43000,8,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/FIFA 2002 World Cup.png"
"Guitar Hero 5",2009,"Sports",10500,10500,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guitar Hero 5.png"
"Just Dance 2014",2014,"Sports",0,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Just Dance 2014.png"
"Madden NFL 2004",2003,"Sports",1500,1500,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Madden NFL 2004.png"
"Madden NFL 2006",2005,"Sports",100000,100000,1,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Madden NFL 2006.png"
"Madden NFL 2007",2006,"Sports",100000,100000,1,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Madden NFL 2007.png"
"Madden NFL 2008",2007,"Sports",100000,100000,1,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Madden NFL 2008.png"
"Madden NFL 2009",2008,"Sports",100000,100000,1,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Madden NFL 2009.png"
"Madden NFL 2013",2012,"Sports",400000,400000,8,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Madden NFL 2013.png"
"Madden NFL 2016",2015,"Sports",50000,50000,8,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Madden NFL 2016.png"
"NHL 13",2012,"Sports",70000,70000,1,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/NHL 13.png"
"Pro Evolution Soccer 2014",2013,"Sports",29410.25,29410.25,4,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pro Evolution Soccer 2014.png"
"Pro Evolution Soccer 2015",2014,"Sports",26544.76,26544.76,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pro Evolution Soccer 2015.png"
"Pro Evolution Soccer 5",2005,"Sports",32000,32000,4,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pro Evolution Soccer 5.png"
"The Elder Scrolls Legends",2017,"Card Game",5000,5000,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/The Elder Scrolls Legends.png"
"Catherine Full Body",2019,"Strategy",185,185,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Catherine Full Body.png"
"Cultris II",2011,"Strategy",190.95,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Cultris II.png"
"Magical Drop III",1997,"Strategy",130,130,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Magical Drop III.png"
"Panel Attack",2020,"Strategy",40,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Panel Attack.png"
"Tetris Ultimate",2014,"Strategy",221,221,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Tetris Ultimate.png"
"Twinkle Star Sprites",1996,"Strategy",100,0,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Twinkle Star Sprites.png"
"Wise Star 2",2008,"Strategy",12000,12000,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Wise Star 2.png"
"Spellbreak",2020,"Battle Royale",50000,0,42,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Spellbreak.png"
"Age of Empires",1997,"Strategy",190075.61,156839.89,246,95,"Match","https://playerskev.blob.core.windows.net/nbaimage/Age of Empires.png"
"Age of Empires II",1999,"Strategy",1689260.72,618974.87,1105,729,"Match","https://playerskev.blob.core.windows.net/nbaimage/Age of Empires II.png"
"Age of Empires III",2005,"Strategy",68113.85,41500,106,76,"Match","https://playerskev.blob.core.windows.net/nbaimage/Age of Empires III.png"
"Age of Mythology",2002,"Strategy",52360,52000,22,6,"Match","https://playerskev.blob.core.windows.net/nbaimage/Age of Mythology.png"
"Auto Chess",2019,"Strategy",1076322.28,1035522.28,72,6,"Match","https://playerskev.blob.core.windows.net/nbaimage/Auto Chess.png"
"Brawl Stars",2018,"Strategy",94950,86250,51,10,"Match","https://playerskev.blob.core.windows.net/nbaimage/Brawl Stars.png"
"Clash of Clans",2012,"Strategy",2631062.87,1127101.87,191,35,"Match","https://playerskev.blob.core.windows.net/nbaimage/Clash of Clans.png"
"Clash Royale",2016,"Strategy",3363348.27,3149638.98,290,51,"Match","https://playerskev.blob.core.windows.net/nbaimage/Clash Royale.png"
"Command & Conquer 3",2007,"Strategy",53086.67,53086.67,9,8,"Match","https://playerskev.blob.core.windows.net/nbaimage/Command & Conquer 3.png"
"Company of Heroes 2",2013,"Strategy",8561.22,7956.22,11,6,"Match","https://playerskev.blob.core.windows.net/nbaimage/Company of Heroes 2.png"
"Farming Simulator 19",2018,"Strategy",331828.88,119445.81,97,16,"Match","https://playerskev.blob.core.windows.net/nbaimage/Farming Simulator 19.png"
"Grey Goo",2015,"Strategy",36400,30400,18,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/Grey Goo.png"
"Multigaming",2000,"Strategy",148384.33,148384.33,19,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Multigaming.png"
"osu!",2007,"Strategy",38460,200,1090,12,"Match","https://playerskev.blob.core.windows.net/nbaimage/osu!.png"
"Pok<U+00E9>mon VGC",2017,"Strategy",211500,211500,170,24,"Match","https://playerskev.blob.core.windows.net/nbaimage/Pok<U+00E9>mon VGC.png"
"StarCraft II",2010,"Strategy",34445574.78,29048884.73,2087,6062,"Match","https://playerskev.blob.core.windows.net/nbaimage/StarCraft II.png"
"StarCraft Brood War",1998,"Strategy",8430170.61,8002899.32,682,681,"Match","https://playerskev.blob.core.windows.net/nbaimage/StarCraft Brood War.png"
"Teamfight Tactics",2019,"Strategy",819313.65,235250,159,15,"Match","https://playerskev.blob.core.windows.net/nbaimage/Teamfight Tactics.png"
"WarCraft III",2002,"Strategy",5811479.73,5038870.86,558,1335,"Match","https://playerskev.blob.core.windows.net/nbaimage/WarCraft III.png"
"WarCraft III Reforged",2020,"Strategy",571463.84,295883.84,91,116,"Match","https://playerskev.blob.core.windows.net/nbaimage/WarCraft III Reforged.png"
"Warhammer 40,000 Dawn of War",2005,"Strategy",79816.5,79816.5,7,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Warhammer 40,000 Dawn of War.png"
"Windjammers",1994,"Strategy",4172.16,4132.16,32,11,"Match","https://playerskev.blob.core.windows.net/nbaimage/Windjammers.png"
"World in Conflict",2007,"Strategy",293338.23,293338.23,38,11,"Match","https://playerskev.blob.core.windows.net/nbaimage/World in Conflict.png"
"World of Tanks",2010,"Strategy",3656496.59,3598031.72,403,50,"Match","https://playerskev.blob.core.windows.net/nbaimage/World of Tanks.png"
"World of Tanks Blitz",2016,"Strategy",63330,60000,14,6,"Match","https://playerskev.blob.core.windows.net/nbaimage/World of Tanks Blitz.png"
"Battalion 1944",2018,"Shooter",185654.67,129863.88,114,21,"Match","https://playerskev.blob.core.windows.net/nbaimage/Battalion 1944.png"
"Battlefield 2",2005,"Shooter",91715.22,91715.22,0,12,"Match","https://playerskev.blob.core.windows.net/nbaimage/Battlefield 2.png"
"Battlefield 2142",2006,"Shooter",18546.14,18546.14,0,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Battlefield 2142.png"
"Battlefield 3",2011,"Shooter",25407.46,25407.46,5,7,"Match","https://playerskev.blob.core.windows.net/nbaimage/Battlefield 3.png"
"Battlefield 4",2013,"Shooter",245766.46,212540.31,204,145,"Match","https://playerskev.blob.core.windows.net/nbaimage/Battlefield 4.png"
"Call of Duty",2003,"Shooter",50629.77,50629.77,51,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty.png"
"Call of Duty 2",2005,"Shooter",66828.51,60874.71,41,17,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty 2.png"
"Call of Duty 4 Modern Warfare",2007,"Shooter",420331.47,387929.31,422,86,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty 4 Modern Warfare.png"
"Call of Duty Advanced Warfare",2014,"Shooter",2608808.93,2264636.14,783,404,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty Advanced Warfare.png"
"Call of Duty Black Ops",2010,"Shooter",375793.48,346969.18,118,23,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty Black Ops.png"
"Call of Duty Black Ops 2",2012,"Shooter",1467139.25,1430071.63,184,53,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty Black Ops 2.png"
"Call of Duty Black Ops 4",2018,"Shooter",6731938.95,6636161.95,380,68,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty Black Ops 4.png"
"Call of Duty Black Ops III",2015,"Shooter",3939783.29,3783077.02,419,78,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty Black Ops III.png"
"Call of Duty Blackout",2018,"Shooter",611608.35,321008.35,175,18,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty Blackout.png"
"Call of Duty Ghosts",2013,"Shooter",1594185.25,1504472.89,199,76,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty Ghosts.png"
"Call of Duty Infinite Warfare",2016,"Shooter",4156205.06,4049855.06,341,80,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty Infinite Warfare.png"
"Call of Duty Modern Warfare",2019,"Shooter",6617284.5,643562.5,257,45,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty Modern Warfare.png"
"Call of Duty Modern Warfare 2",2009,"Shooter",112860.64,51010.64,59,18,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty Modern Warfare 2.png"
"Call of Duty Modern Warfare 3",2011,"Shooter",1160815.66,1144955.66,209,45,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty Modern Warfare 3.png"
"Call of Duty World War II",2017,"Shooter",4559271,4498605,266,64,"Match","https://playerskev.blob.core.windows.net/nbaimage/Call of Duty World War II.png"
"Counter Strike",2000,"Shooter",13529661.03,12816431.29,4141,997,"Match","https://playerskev.blob.core.windows.net/nbaimage/Counter Strike.png"
"Counter Strike Online",2016,"Shooter",406989.6,406989.6,70,12,"Match","https://playerskev.blob.core.windows.net/nbaimage/Counter Strike Online.png"
"Counter Strike Condition Zero",2004,"Shooter",162150.6,162150.6,111,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Counter Strike Condition Zero.png"
"Counter Strike Global Offensive",2012,"Shooter",109261205.7,75375246.99,13394,5459,"Match","https://playerskev.blob.core.windows.net/nbaimage/Counter Strike Global Offensive.png"
"Counter Strike Source",2004,"Shooter",3117222.29,2876766.03,1502,333,"Match","https://playerskev.blob.core.windows.net/nbaimage/Counter Strike Source.png"
"Critical Ops",2015,"Shooter",12606.41,2500,4,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Critical Ops.png"
"CrossFire",2007,"Shooter",6609445.02,5876309.23,643,310,"Match","https://playerskev.blob.core.windows.net/nbaimage/CrossFire.png"
"Crysis",2007,"Shooter",11340.95,11340.95,0,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Crysis.png"
"Day of Defeat",2003,"Shooter",50300,50300,37,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Day of Defeat.png"
"Day of Defeat Source",2005,"Shooter",14068.57,10286.47,50,8,"Match","https://playerskev.blob.core.windows.net/nbaimage/Day of Defeat Source.png"
"Diabotical",2020,"Shooter",158210.64,15642.09,256,96,"Match","https://playerskev.blob.core.windows.net/nbaimage/Diabotical.png"
"Doom 3",2004,"Shooter",257748.16,257748.16,14,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Doom 3.png"
"Doom II Hell on Earth",1994,"Shooter",4680,2200,11,6,"Match","https://playerskev.blob.core.windows.net/nbaimage/Doom II Hell on Earth.png"
"Enemy Territory Quake Wars",2007,"Shooter",60923.12,60923.12,27,4,"Match","https://playerskev.blob.core.windows.net/nbaimage/Enemy Territory Quake Wars.png"
"Evolve",2015,"Shooter",131509.05,126054.1,110,33,"Match","https://playerskev.blob.core.windows.net/nbaimage/Evolve.png"
"F.E.A.R.",2005,"Shooter",178000,178000,20,5,"Match","https://playerskev.blob.core.windows.net/nbaimage/F.E.A.R..png"
"Ghost Recon Advanced Warfighter",2006,"Shooter",24000,24000,0,2,"Match","https://playerskev.blob.core.windows.net/nbaimage/Ghost Recon Advanced Warfighter.png"
"Guns of Boom",2017,"Shooter",198750,190000,8,21,"Match","https://playerskev.blob.core.windows.net/nbaimage/Guns of Boom.png"
"Halo 2",2004,"Shooter",1489362.47,1489362.47,119,71,"Match","https://playerskev.blob.core.windows.net/nbaimage/Halo 2.png"
"Halo 2 Anniversary",2014,"Shooter",468705.05,468705.05,97,20,"Match","https://playerskev.blob.core.windows.net/nbaimage/Halo 2 Anniversary.png"
"Halo 3",2007,"Shooter",2158079.4,2151479.4,210,41,"Match","https://playerskev.blob.core.windows.net/nbaimage/Halo 3.png"
"Halo 4",2012,"Shooter",430748.76,428498.76,66,19,"Match","https://playerskev.blob.core.windows.net/nbaimage/Halo 4.png"
"Halo 5 Guardians",2015,"Shooter",7071480.97,6782680.97,233,75,"Match","https://playerskev.blob.core.windows.net/nbaimage/Halo 5 Guardians.png"
"Halo Combat Evolved",2001,"Shooter",299281,299281,114,39,"Match","https://playerskev.blob.core.windows.net/nbaimage/Halo Combat Evolved.png"
"Halo Reach",2010,"Shooter",822089.97,762089.97,101,29,"Match","https://playerskev.blob.core.windows.net/nbaimage/Halo Reach.png"
"Overwatch",2016,"Shooter",26750317.28,18227464.45,3532,747,"Match","https://playerskev.blob.core.windows.net/nbaimage/Overwatch.png"
"Painkiller",2004,"Shooter",1015000,1015000,48,13,"Match","https://playerskev.blob.core.windows.net/nbaimage/Painkiller.png"
"Paladins",2015,"Shooter",2354557.6,1659000,589,76,"Match","https://playerskev.blob.core.windows.net/nbaimage/Paladins.png"
"Point Blank",2008,"Shooter",699167.75,589898.15,297,32,"Match","https://playerskev.blob.core.windows.net/nbaimage/Point Blank.png"
"Quake 4",2005,"Shooter",556678.51,554788.51,100,52,"Match","https://playerskev.blob.core.windows.net/nbaimage/Quake 4.png"
"Quake Champions",2017,"Shooter",2409188.25,2120487.12,250,240,"Match","https://playerskev.blob.core.windows.net/nbaimage/Quake Champions.png"
"Quake II",1997,"Shooter",140179.5,139800,32,10,"Match","https://playerskev.blob.core.windows.net/nbaimage/Quake II.png"
"Quake III Arena",1999,"Shooter",1137832.19,1131262.61,243,100,"Match","https://playerskev.blob.core.windows.net/nbaimage/Quake III Arena.png"
"Quake Live",2010,"Shooter",682294.04,599972.93,213,410,"Match","https://playerskev.blob.core.windows.net/nbaimage/Quake Live.png"
"QuakeWorld",1996,"Shooter",103251.7,98005.44,47,15,"Match","https://playerskev.blob.core.windows.net/nbaimage/QuakeWorld.png"
"Rainbow Six Siege",2015,"Shooter",13198525.74,9987213.13,1601,242,"Match","https://playerskev.blob.core.windows.net/nbaimage/Rainbow Six Siege.png"
"Rainbow Six Vegas",2006,"Shooter",176400.77,176400.77,137,7,"Match","https://playerskev.blob.core.windows.net/nbaimage/Rainbow Six Vegas.png"
"Rainbow Six Vegas 2",2008,"Shooter",79000,79000,0,8,"Match","https://playerskev.blob.core.windows.net/nbaimage/Rainbow Six Vegas 2.png"
"Reflex",2015,"Shooter",2158.4,163.66,21,7,"Match","https://playerskev.blob.core.windows.net/nbaimage/Reflex.png"
"Return to Castle Wolfenstein",2001,"Shooter",67424.3,67424.3,30,3,"Match","https://playerskev.blob.core.windows.net/nbaimage/Return to Castle Wolfenstein.png"
"S.K.I.L.L.   Special Force 2",2013,"Shooter",132532.93,116555.81,82,21,"Match","https://playerskev.blob.core.windows.net/nbaimage/S.K.I.L.L.   Special Force 2.png"
