id_amostra,Sampling point,Date
"amostra230","G-15",2007-11-26 00:00:00.000
"amostra231","G-15",2008-05-27 00:00:00.000
"amostra232","G-15",2009-05-05 00:00:00.000
"amostra233","G-15",2010-03-24 00:00:00.000
"amostra234","G-16",2006-05-16 00:00:00.000
"amostra235","G-16",2007-01-18 00:00:00.000
"amostra236","G-16",2007-05-28 00:00:00.000
"amostra237","G-16",2007-11-26 00:00:00.000
"amostra238","G-16",2008-05-27 00:00:00.000
"amostra239","G-17",2006-05-16 00:00:00.000
"amostra240","G-17",2007-01-18 00:00:00.000
"amostra241","G-17",2007-05-28 00:00:00.000
"amostra242","G-17",2007-11-26 00:00:00.000
"amostra243","G-17",2008-05-27 00:00:00.000
"amostra244","G-17",2010-03-24 00:00:00.000
"amostra245","S-1",2003-07-17 00:00:00.000
"amostra246","S-1",2004-06-28 00:00:00.000
"amostra247","S-1",2006-04-18 00:00:00.000
"amostra248","S-1",2006-05-17 00:00:00.000
"amostra249","S-1",2010-03-24 00:00:00.000
"amostra250","S-2",2003-07-17 00:00:00.000
"amostra251","S-2",2004-06-28 00:00:00.000
"amostra252","S-2",2006-11-17 00:00:00.000
"amostra253","S-2",2007-02-21 00:00:00.000
"amostra254","S-2",2007-04-18 00:00:00.000
"amostra255","S-2",2007-05-29 00:00:00.000
"amostra256","S-2",2007-07-10 00:00:00.000
"amostra257","S-2",2008-04-23 00:00:00.000
"amostra258","S-2",2008-05-27 00:00:00.000
"amostra259","S-2",2010-03-24 00:00:00.000
"amostra260","S-3",2003-07-17 00:00:00.000
"amostra261","S-3",2004-06-28 00:00:00.000
"amostra262","S-3",2008-05-27 00:00:00.000
"amostra263","S-4",2003-07-17 00:00:00.000
"amostra264","S-4",2004-06-28 00:00:00.000
"amostra265","S-4",2007-06-27 00:00:00.000
"amostra266","S-4",2007-08-08 00:00:00.000
"amostra267","S-4",2010-03-24 00:00:00.000
"amostra268","S-5",2006-09-18 00:00:00.000
"amostra269","S-5",2006-11-17 00:00:00.000
"amostra270","S-5",2006-12-12 00:00:00.000
"amostra271","S-5",2007-01-18 00:00:00.000
"amostra272","S-5",2007-02-21 00:00:00.000
"amostra273","S-5",2007-03-20 00:00:00.000
"amostra274","S-5",2007-04-17 00:00:00.000
"amostra275","S-5",2007-05-30 00:00:00.000
"amostra276","S-5",2007-06-27 00:00:00.000
"amostra277","S-5",2007-08-08 00:00:00.000
"amostra278","S-5",2007-09-13 00:00:00.000
"amostra279","S-5",2007-10-09 00:00:00.000
"amostra280","S-5",2007-11-22 00:00:00.000
"amostra281","S-5",2007-12-27 00:00:00.000
"amostra282","S-5",2008-01-22 00:00:00.000
"amostra283","S-5",2008-02-22 00:00:00.000
"amostra284","S-5",2008-03-11 00:00:00.000
"amostra285","S-5",2008-04-23 00:00:00.000
"amostra286","S-5",2008-05-28 00:00:00.000
"amostra287","S-5",2009-05-04 00:00:00.000
"amostra288","S-5",2010-03-24 00:00:00.000
"amostra289","S-6",2003-07-17 00:00:00.000
"amostra290","S-6",2004-06-28 00:00:00.000
"amostra291","S-6",2006-04-18 00:00:00.000
"amostra292","S-6",2006-05-16 00:00:00.000
"amostra293","S-6",2006-06-20 00:00:00.000
"amostra294","S-6",2006-07-24 00:00:00.000
"amostra295","S-6",2006-08-29 00:00:00.000
"amostra296","S-6",2006-09-18 00:00:00.000
"amostra297","S-6",2006-11-17 00:00:00.000
"amostra298","S-6",2006-12-12 00:00:00.000
"amostra299","S-6",2007-02-20 00:00:00.000
"amostra300","S-6",2007-05-30 00:00:00.000
"amostra301","S-6",2010-03-24 00:00:00.000
"amostra302","S-6-bis",2006-11-17 00:00:00.000
"amostra303","S-6-bis",2007-07-10 00:00:00.000
"amostra304","S-7",2004-06-28 00:00:00.000
"amostra305","S-7",2006-04-18 00:00:00.000
"amostra306","S-7",2006-05-16 00:00:00.000
"amostra307","S-7",2006-06-20 00:00:00.000
"amostra308","S-7",2006-07-24 00:00:00.000
"amostra309","S-7",2006-08-29 00:00:00.000
"amostra310","S-7",2006-09-18 00:00:00.000
"amostra311","S-7",2006-11-16 00:00:00.000
"amostra312","S-7",2006-12-12 00:00:00.000
"amostra313","S-7",2007-01-17 00:00:00.000
"amostra314","S-7",2007-02-20 00:00:00.000
"amostra315","S-7",2007-03-21 00:00:00.000
"amostra316","S-7",2007-04-17 00:00:00.000
"amostra317","S-7",2007-05-30 00:00:00.000
"amostra318","S-7",2007-07-10 00:00:00.000
"amostra319","S-7",2007-08-08 00:00:00.000
"amostra320","S-7",2007-09-13 00:00:00.000
"amostra321","S-7",2007-10-09 00:00:00.000
"amostra322","S-7",2007-11-22 00:00:00.000
"amostra323","S-7",2007-12-27 00:00:00.000
"amostra324","S-7",2008-01-22 00:00:00.000
"amostra325","S-7",2008-02-22 00:00:00.000
"amostra326","S-7",2008-03-11 00:00:00.000
"amostra327","S-7",2008-04-24 00:00:00.000
"amostra328","S-7",2008-05-28 00:00:00.000
"amostra329","S-7",2008-06-23 00:00:00.000
"amostra330","S-7",2008-07-21 00:00:00.000
"amostra331","S-7",2010-03-24 00:00:00.000
"amostra332","S-IW",2004-05-18 00:00:00.000
"amostra333","S-IW",2004-06-28 00:00:00.000
"amostra334","S-IW",2007-05-31 00:00:00.000
"amostra335","S-IW",2007-06-27 00:00:00.000
"amostra336","S-IW",2007-08-08 00:00:00.000
"amostra337","S-IW",2010-03-24 00:00:00.000
