id_amostra,param,valor_texto,valor_numerico,detectado,unidade,valor_texto_final
amostra336,PO4,0.66907499999999998,0.669075,Sim,mg l-1,"0,6691"
amostra40,Mg,1060,1060.0,Sim,mg l-1,"1060,0000"
amostra148,K,13,13.0,Sim,mg l-1,"13,0000"
amostra266,As,<0.05,0.05,Não,μg l-1,"< 0,0500"
amostra165,NH4,<0.05,0.05,Não,mg l-1,"< 0,0500"
amostra334,Fe,<15,15.0,Não,μg l-1,"< 15,0000"
amostra92,K,17,17.0,Sim,mg l-1,"17,0000"
amostra18,Br,7.2298,7.2298,Sim,mg l-1,"7,2298"
amostra277,B,<0.1,0.1,Não,mg l-1,"< 0,1000"
amostra24,Fe,244,244.0,Sim,μg l-1,"244,0000"
amostra76,Mn,862,862.0,Sim,μg l-1,"862,0000"
amostra149,NO2,<0.05,0.05,Não,mg l-1,"< 0,0500"
amostra239,Mn,<0.5,0.5,Não,μg l-1,"< 0,5000"
amostra190,Mg,380,380.0,Sim,mg l-1,"380,0000"
amostra16,Cd,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra326,pH,6.88,6.88,Sim,,"6,8800"
amostra305,Zn,<1.0,1.0,Não,μg l-1,"< 1,0000"
amostra158,NH4,<0.05,0.05,Não,mg l-1,"< 0,0500"
amostra261,HCO3,180,180.0,Sim,mg l-1,"180,0000"
amostra52,Ca,680,680.0,Sim,mg l-1,"680,0000"
amostra157,EC,4723,4723.0,Sim,μS cm-1,"4723,0000"
amostra62,EC,11654,11654.0,Sim,μS cm-1,"11654,0000"
amostra297,Pb,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra21,Cd,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra93,pH,6.97,6.97,Sim,,"6,9700"
amostra182,K,20,20.0,Sim,mg l-1,"20,0000"
amostra174,HCO3,382,382.0,Sim,mg l-1,"382,0000"
amostra195,B,0.053999999999999999,0.054,Sim,mg l-1,"0,0540"
amostra53,As,<0.05,0.05,Não,μg l-1,"< 0,0500"
amostra49,B,<0.1,0.1,Não,mg l-1,"< 0,1000"
amostra203,Mg,118,118.0,Sim,mg l-1,"118,0000"
amostra257,PO4,<0.04,0.04,Não,mg l-1,"< 0,0400"
amostra186,SO4,3100,3100.0,Sim,mg l-1,"3100,0000"
amostra292,Cl,306,306.0,Sim,mg l-1,"306,0000"
amostra213,Fe,24600,24600.0,Sim,μg l-1,"24600,0000"
amostra216,NO3,36,36.0,Sim,mg l-1,"36,0000"
amostra240,Pb,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra225,Mg,330,330.0,Sim,mg l-1,"330,0000"
amostra11,Cd,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra213,PO4,<0.04,0.04,Não,mg l-1,"< 0,0400"
amostra226,CO3,0,0.0,Sim,mg l-1,"0,0000"
amostra106,Cr,<0.05,0.05,Não,μg l-1,"< 0,0500"
amostra80,Zn,<1.0,1.0,Não,μg l-1,"< 1,0000"
amostra310,SO4,5600,5600.0,Sim,mg l-1,"5600,0000"
amostra19,Na,918,918.0,Sim,mg l-1,"918,0000"
amostra226,EC,6510,6510.0,Sim,μS cm-1,"6510,0000"
amostra20,HCO3,169,169.0,Sim,mg l-1,"169,0000"
amostra49,NO2,<0.05,0.05,Não,mg l-1,"< 0,0500"
amostra312,Zn,<1.0,1.0,Não,μg l-1,"< 1,0000"
amostra110,Cd,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra107,Cr,<0.05,0.05,Não,μg l-1,"< 0,0500"
amostra1,Cr,32,32.0,Sim,μg l-1,"32,0000"
amostra333,Cd,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra295,DQO,14.4,14.4,Sim,mg l-1,"14,4000"
amostra142,pH,6.57,6.57,Sim,,"6,5700"
amostra235,SO4,312,312.0,Sim,mg l-1,"312,0000"
