ProductModelID,ProductDescriptionID,Culture,rowguid,ModifiedDate
122,1967,zh-cht,08148BD8-E6B8-481E-86DC-B92D2D987A62,2007-06-01 00:00:00.000
16,1695,th,823227E2-D45B-4F55-A642-B0A2CFEFC505,2007-06-01 00:00:00.000
79,885,en,0BA1018C-E486-4B20-BC82-444E77EA1D74,2007-06-01 00:00:00.000
68,850,en,40B7B7EF-0816-4BD2-A9A8-D7533D635D16,2007-06-01 00:00:00.000
95,1855,zh-cht,E617F14F-4954-485E-8AE2-F9503B8292C0,2007-06-01 00:00:00.000
22,1488,fr,A73F5BF1-AD79-4703-9BFE-5F6F87705516,2007-06-01 00:00:00.000
18,1830,he,D551D929-4E57-4F6B-96DF-986D417D2673,2007-06-01 00:00:00.000
106,1885,zh-cht,2C03D79B-7AB4-4807-8200-1EAC887C941F,2007-06-01 00:00:00.000
76,1923,zh-cht,89F07130-2A4C-477A-B7E7-EC746DEE5856,2007-06-01 00:00:00.000
108,1576,fr,52D0E73D-BFBF-4CD8-A8B8-52FC0AF423D8,2007-06-01 00:00:00.000
86,1440,ar,9852889A-0091-4EA1-996A-4F4561323B1E,2007-06-01 00:00:00.000
29,1617,th,D204D263-B121-4B1C-B2D6-D221E4DFF515,2007-06-01 00:00:00.000
110,1842,he,CC2C867B-3387-420A-8704-EF4CEEF84F95,2007-06-01 00:00:00.000
85,903,en,D311B86A-73D9-4EEF-865E-D17D4F2989DB,2007-06-01 00:00:00.000
55,699,en,9DF28000-B31D-4BD1-9707-20AE219E66B0,2007-06-01 00:00:00.000
80,1553,fr,AEA474D1-AE26-46FF-B15E-AFA2E4447B4A,2007-06-01 00:00:00.000
80,1928,zh-cht,77449D80-0C19-4544-8A73-A92D7ABC0122,2007-06-01 00:00:00.000
62,1789,he,D08E606E-9E35-407B-BB92-354C17B38C51,2007-06-01 00:00:00.000
84,1932,zh-cht,D6C5EC9B-0D77-4741-AECB-7F220EEA241F,2007-06-01 00:00:00.000
98,613,en,B9682066-3265-46AE-8D6E-5BD0B7F4796A,2007-06-01 00:00:00.000
34,594,en,49ECE470-9FDB-48FB-9D80-46AE0E3EF8FC,2007-06-01 00:00:00.000
78,1384,ar,DEA78314-34A3-4ADB-97CE-417BDB4B3197,2007-06-01 00:00:00.000
67,1438,ar,AB6675AE-B939-4A7E-8B3C-1BDD6601C665,2007-06-01 00:00:00.000
105,1634,th,72EB8D7C-41B2-4D88-94F0-5B129DDF6DFB,2007-06-01 00:00:00.000
94,1945,zh-cht,8DD6CF6E-62C9-4332-83B8-97CE1C8D36D7,2007-06-01 00:00:00.000
102,1631,th,A8483F8A-0732-42EE-B79A-AB74C681FE84,2007-06-01 00:00:00.000
97,1608,th,88247412-029C-4ADF-962E-585C5C33AEB2,2007-06-01 00:00:00.000
11,1211,en,03C12575-F1BF-48AD-A483-D1185D24CE2C,2007-06-01 00:00:00.000
124,1991,he,CF93B521-C2A6-4448-9ECF-B90E354841DC,2007-06-01 00:00:00.000
109,1968,zh-cht,F697CE91-5715-48A5-A0E8-8B45B7883903,2007-06-01 00:00:00.000
81,1808,he,24A035CA-E1EB-4403-AE79-B01E7D9BAE94,2007-06-01 00:00:00.000
82,1433,ar,88FDAA32-AFB1-44EB-9CF2-C5C2097CBB6E,2007-06-01 00:00:00.000
48,1416,ar,7CB452FD-4A6D-413C-9BAE-739E0227127A,2007-06-01 00:00:00.000
78,1550,fr,39BF939B-53A6-435E-9D0F-54166EFE01B1,2007-06-01 00:00:00.000
114,1837,he,8FB6493A-8DE9-49AA-8C98-DF76AF8B317C,2007-06-01 00:00:00.000
1,1712,th,AF18BC29-F378-4512-A59B-D55217F4F82B,2007-06-01 00:00:00.000
66,891,en,2253FA6C-C07A-4075-919F-83B7ECE2E724,2007-06-01 00:00:00.000
1,1965,zh-cht,14ED10B6-0ACF-4D67-9760-6CC622C1F78E,2007-06-01 00:00:00.000
51,1896,zh-cht,B9AFBD78-CD11-4AB8-A06E-6CB064C071F7,2007-06-01 00:00:00.000
108,1951,zh-cht,70892E03-B692-4C16-AD40-518F609FA540,2007-06-01 00:00:00.000
82,888,en,EA6AC352-30DD-407D-840C-F1BF9D17F496,2007-06-01 00:00:00.000
82,1678,th,B9FA58DB-668A-43F7-98EE-0CB4F2137245,2007-06-01 00:00:00.000
78,1925,zh-cht,54B0DF04-7045-4F7B-B6B8-32A87FA5E6A0,2007-06-01 00:00:00.000
84,1680,th,88E827AF-D029-453C-BB02-A8BF3DC1AD2B,2007-06-01 00:00:00.000
98,1505,fr,FB2FD220-DA96-4876-B480-DA247D45B8AD,2007-06-01 00:00:00.000
112,1846,he,9FB40500-C721-4781-868F-88CEB6EA3007,2007-06-01 00:00:00.000
77,871,en,951091BE-EED9-4ECC-A1F8-5F891DD70184,2007-06-01 00:00:00.000
119,1726,th,8826A7F8-716F-4C0F-864E-87C88CC46430,2007-06-01 00:00:00.000
101,1630,th,ABC81D0F-1032-43AC-B20D-B9B5A7076AD4,2007-06-01 00:00:00.000
73,867,en,539668E9-97E1-4EAF-98C9-3A883FDC2C86,2007-06-01 00:00:00.000
109,1470,ar,76C56E01-300D-4F26-A387-A4D3AB7D789B,2007-06-01 00:00:00.000
8,1636,th,A00716BD-80C1-49AB-91D1-368A88739270,2007-06-01 00:00:00.000
103,1632,th,FDD2944D-5EF6-4173-BCEC-3AB3B6F22461,2007-06-01 00:00:00.000
64,849,en,55CEFB1F-B9F5-47FC-B44D-7C0AB8167408,2007-06-01 00:00:00.000
19,1862,zh-cht,8E308A95-BCA4-4DA5-A09F-B7BD4D827937,2007-06-01 00:00:00.000
124,1992,zh-cht,A8301041-7B5B-4355-9660-2C2D772E0979,2007-06-01 00:00:00.000
42,1402,ar,FD87CDE4-6F0C-42A6-A49F-F1DD96EACF4F,2007-06-01 00:00:00.000
