adm2code,adm1code,adm2_en,adm2_fr,adm2_ht,IHSI_UNFPA_2019,IHSI_UNFPA_2019_female,IHSI_UNFPA_2019_male
"HT0512","HT05","Ennery","Ennery","",60699,29982,30717
"HT0513","HT05","L'Estere","L'Estère","",53515,26928,26587
"HT0521","HT05","Gros Morne","Gros Morne","",184499,91791,92708
"HT0522","HT05","Terre Neuve","Terre Neuve","",37035,18145,18890
"HT0523","HT05","Anse Rouge","Anse Rouge","",51424,25635,25789
"HT0531","HT05","Saint-Marc","Saint-Marc","",315976,162927,153049
"HT0532","HT05","Verrettes","Verrettes","",171607,86098,85509
"HT0533","HT05","La Chapelle","La Chapelle","",37392,18361,19031
"HT0541","HT05","Dessalines","Dessalines","",215558,107037,108521
"HT0542","HT05","Petite Riviere de l'Artibonite","Petite Rivière de l'Artibonite","",202330,100447,101883
"HT0543","HT05","Grande Saline","Grande Saline","",27537,13016,14521
"HT0544","HT05","Desdunes","Desdunes","",43876,21826,22050
"HT0551","HT05","Saint-Michel de l'Attalaye","Saint-Michel de l'Attalaye","",178355,90180,88175
"HT0552","HT05","Marmelade","Marmelade","",45098,22180,22918
"HT0611","HT06","Hinche","Hinche","",136959,67636,69323
"HT0612","HT06","Maissade","Maïssade","",66791,32431,34360
"HT0613","HT06","Thomonde","Thomonde","",70120,33439,36681
"HT0614","HT06","Cerca Carvajal","Cerca Carvajal","",26351,13083,13268
"HT0621","HT06","Mirebalais","Mirebalais","",110771,54723,56048
"HT0622","HT06","Saut d'Eau","Saut d'Eau","",44271,21272,22999
"HT0623","HT06","Boucan Carre","Boucan Carré","",63489,30447,33042
"HT0631","HT06","Lascahobas","Lascahobas","",51980,25818,26162
"HT0632","HT06","Belladere","Belladère","",98144,47706,50438
"HT0633","HT06","Savanette","Savanette","",41021,20168,20853
"HT0641","HT06","Cerca La Source","Cerca La Source","",64058,31441,32617
"HT0642","HT06","Thomassique","Thomassique","",71641,35485,36156
"HT0711","HT07","Les Cayes","Les Cayes","",154849,78824,76025
"HT0712","HT07","Torbeck","Torbeck","",77665,36898,40767
"HT0713","HT07","Chantal","Chantal","",34830,16515,18315
"HT0714","HT07","Camp-Perrin","Camp-Perrin","",45980,21792,24188
"HT0715","HT07","Maniche","Maniche","",24432,11379,13053
"HT0716","HT07","Ile a Vache","Île à Vache","",15719,7270,8449
"HT0721","HT07","Port-Salut","Port-Salut","",19495,9210,10285
"HT0722","HT07","Saint Jean du Sud","Saint Jean du Sud","",26098,11926,14172
"HT0723","HT07","Arniquet","Arniquet","",29788,13746,16042
"HT0731","HT07","Aquin","Aquin","",106381,52152,54229
"HT0732","HT07","Saint louis du Sud","Saint louis du Sud","",66274,32558,33716
"HT0733","HT07","Cavaillon","Cavaillon","",49699,23519,26180
"HT0741","HT07","Coteaux","Côteaux","",21745,10392,11353
"HT0742","HT07","Port-a-Piment","Port-à-Piment","",19315,9417,9898
"HT0743","HT07","Roche a Bateau","Roche à Bâteau","",18775,8946,9829
"HT0751","HT07","Chardonnieres","Chardonnières","",25764,11945,13819
"HT0752","HT07","Les Anglais","Les Anglais","",30511,14412,16099
"HT0753","HT07","Tiburon","Tiburon","",23764,11183,12581
"HT0811","HT08","Jeremie","Jérémie","",137980,67464,70516
"HT0812","HT08","Abricots","Abricots","",38702,18232,20470
"HT0813","HT08","Bonbon","Bonbon","",8847,4071,4776
"HT0814","HT08","Moron","Moron","",32007,15232,16775
"HT0815","HT08","Chambellan","Chambellan","",27179,13233,13946
"HT0821","HT08","Anse d'Hainault","Anse d'Hainault","",37391,17694,19697
"HT0822","HT08","Dame Marie","Dame Marie","",39804,19239,20565
"HT0823","HT08","Les Irois","Les Irois","",24012,11007,13005
"HT0831","HT08","Corail","Corail","",20099,9507,10592
"HT0832","HT08","Roseaux","Roseaux","",36730,17232,19498
"HT0833","HT08","Beaumont","Beaumont","",32441,15597,16844
"HT0834","HT08","Pestel","Pestel","",45874,21406,24468
"HT0911","HT09","Port-de-Paix","Port-de-Paix","",243094,125573,117521
"HT0912","HT09","La Tortue","La Tortue","",46322,22909,23413
"HT0913","HT09","Bassin Bleu","Bassin Bleu","",75613,37848,37765
"HT0914","HT09","Chamsolme","Chamsolme","",36183,18566,17617
"HT0921","HT09","Saint-Louis du Nord","Saint-Louis du Nord","",138663,71415,67248
"HT0922","HT09","Anse-a-Foleur","Anse-à-Foleur","",36012,18030,17982
"HT0931","HT09","Mole Saint Nicolas","Môle Saint Nicolas","",40356,19517,20839
"HT0932","HT09","Baie de Henne","Baie de Henne","",32518,15808,16710
"HT0933","HT09","Bombardopolis","Bombardopolis","",42938,20884,22054
"HT0934","HT09","Jean Rabel","Jean Rabel","",176881,87425,89456
"HT1011","HT10","Miragoane","Miragoâne","",64232,31714,32518
"HT1012","HT10","Petite Riviere de Nippes","Petite Rivière de Nippes","",29330,13864,15466
"HT1013","HT10","Fonds des Negres","Fonds des Nègres","",34324,17139,17185
"HT1014","HT10","Paillant","Paillant","",17805,8774,9031
"HT1021","HT10","Anse-a-Veau","Anse-à-Veau","",35557,16737,18820
"HT1022","HT10","Petit Trou de Nippes","Petit Trou de Nippes","",30808,13970,16838
"HT1023","HT10","L'Asile","L'Asile","",42191,20121,22070
"HT1024","HT10","Arnaud","Arnaud","",21283,10053,11230
"HT1025","HT10","Plaisance du Sud","Plaisance du Sud","",27989,12786,15203
"HT1031","HT10","Baraderes","Baradères","",42102,19234,22868
"HT1032","HT10","Grand-Boucan","Grand-Boucan","",5973,2793,3180
