2017 Expenses.Category,2017 Expenses.SubCategory,2018FullCategory,2018FullSubCategory,2018 Expenses.Category,2018 Expenses.Subcategory,FullCategory,FullSubCategory,Actual                2017–18,Actual                2018–19,Actual                2019–20,Current                 Outlook22020–21,2021 Expenses.Actual                 2018–19,2021 Expenses.Actual                 2019–20,2021 Expenses.Interim2                 2020‑21,2021 Expenses.Plan                 2021–22,2019 Expenses.Actual 2016–17,2019 Expenses.Actual 2017–18,2019 Expenses.Interim22018–19,2019 Expenses.Plan2019–20,2018 Expenses.2015–16,2018 Expenses.Actual  2016–17,2018 Expenses.Interim  2017–18,2018 Expenses.Plan  2018–19,2017 Expenses.2014–15,2017 Expenses.Actual2015–16,2017 Expenses.Interim2016–17,2017 Expenses.Plan2017–18
"","","Colleges and Universities6 (Total)","","","","Colleges and Universities6 (Total)","",10467,11192,10520,10669,11191,10519,10270,10678,10248,11244,12108,11371,,,,,,,,
"","","Economic Development, Job Creation and Trade"," COVID‑19 Time-Limited Funding10","","","Economic Development, Job Creation and Trade"," COVID‑19 Time-Limited Funding10",,,,,0,0,3508,294,,,,,,,,,,,,
"","","Economic Development, Job Creation and Trade"," Time-Limited Investments","Economic Development, Job Creation and Trade (Total)","","Economic Development, Job Creation and Trade"," Time-Limited Investments",422,430,263,356,783,579,4128,885,1025,1005,968,782,928,1073,1026,1072,,,,
"","","Economic Development, Job Creation and Trade"," Time-Limited Investments","Economic Development, Job Creation and Trade (Total)","","Economic Development, Job Creation and Trade"," Time-Limited Investments",422,430,263,356,430,263,262,214,1025,1005,968,782,928,1073,1026,1072,,,,
"","","Economic Development, Job Creation and Trade (Base)","","Economic Development, Job Creation and Trade (Total)","","Economic Development, Job Creation and Trade (Base)","",418,356,319,363,354,315,358,378,1025,1005,968,782,928,1073,1026,1072,,,,
"","","Economic Development, Job Creation and Trade (Base)","","Economic Development, Job Creation and Trade (Total)","","Economic Development, Job Creation and Trade (Base)","",418,356,319,363,783,579,4128,885,1025,1005,968,782,928,1073,1026,1072,,,,
"","","Economic Development, Job Creation and Trade (Total)","","Economic Development, Job Creation and Trade (Total)","","Economic Development, Job Creation and Trade (Total)","",840,786,582,719,354,315,358,378,1025,1005,968,782,928,1073,1026,1072,,,,
"","","Economic Development, Job Creation and Trade (Total)"," Time-Limited Investments","Economic Development, Job Creation and Trade (Total)","","Economic Development, Job Creation and Trade (Total)"," Time-Limited Investments",840,786,582,719,430,263,262,214,1025,1005,968,782,928,1073,1026,1072,,,,
"","","Economic Development, Job Creation and Trade (Total)","","Economic Development, Job Creation and Trade (Total)","","Economic Development, Job Creation and Trade (Total)","",840,786,582,719,783,579,4128,885,1025,1005,968,782,928,1073,1026,1072,,,,
"","","Education"," COVID‑19 Time-Limited Funding12","","","Education"," COVID‑19 Time-Limited Funding12",,,,,0,0,1573,59,,,,,,,,,,,,
"","","Education (Base)","","Education (Base)","","Education (Base)","",27265,28746,30181,31038,28742,30177,30561,31263,26580,27299,29080,29818,25967,26580,27494,29075,,,,
"","","Emergency Forest Firefighting","","Emergency Forest Firefighting","","","",,,,,,,,,,,,,95,107,117,70,,,,
"","","Energy, Northern Development and Mines"," COVID‑19 Time-Limited Funding14","","","Energy, Northern Development and Mines"," COVID‑19 Time-Limited Funding14",,,,,0,0,460,62,,,,,,,,,,,,
"","","Energy, Northern Development and Mines    (Base)13","","Energy, Northern Development and Mines (Base)","","Energy, Northern Development and Mines    (Base)13","",,,,,1361,1099,1034,1084,,,,,328,456,355,375,,,,
"","","Energy, Northern Development and Mines (Base)8","","Energy, Northern Development and Mines (Base)","","Energy, Northern Development and Mines (Base)8","",1283,1362,1100,1047,,,,,1300,1387,1458,1172,328,456,355,375,,,,
"","","Energy, Northern Development and Mines (Base)8","","Energy, Northern Development and Mines (Base)","","Energy, Northern Development and Mines (Base)8","",1283,1362,1100,1047,,,,,1726,4221,5751,5185,328,456,355,375,,,,
"","","Environment, Conservation and Parks"," COVID‑19 Time-Limited Funding15","","","Environment, Conservation and Parks"," COVID‑19 Time-Limited Funding15",,,,,0,0,15,2,,,,,,,,,,,,
"","","Environment, Conservation and Parks"," Time-Limited Investments","Environment, Conservation and Parks","","Environment, Conservation and Parks"," Time-Limited Investments",145,223,2,0,223,2,0,0,0,145,295,0,503,523,783,1326,,,,
"","","Environment, Conservation and Parks (Base)","","Environment, Conservation and Parks","","Environment, Conservation and Parks (Base)","",706,464,610,669,459,612,628,684,652,909,983,631,503,523,783,1326,,,,
"","","Environment, Conservation and Parks (Base)","","Environment, Conservation and Parks","","Environment, Conservation and Parks (Base)","",706,464,610,669,682,614,643,687,652,764,688,631,503,523,783,1326,,,,
"","","Environment, Conservation and Parks (Base)","","Environment, Conservation and Parks","","Environment, Conservation and Parks (Base)","",706,464,610,669,682,614,643,687,652,909,983,631,503,523,783,1326,,,,
"","","Environment, Conservation and Parks (Base)","","Environment, Conservation and Parks","","Environment, Conservation and Parks (Base)","",706,464,610,669,459,612,628,684,652,764,688,631,503,523,783,1326,,,,
"","","Environment, Conservation and Parks (Total)","","Environment, Conservation and Parks","","Environment, Conservation and Parks (Total)","",851,687,612,669,459,612,628,684,652,909,983,631,503,523,783,1326,,,,
"","","Environment, Conservation and Parks (Total)","","Environment, Conservation and Parks","","Environment, Conservation and Parks (Total)","",851,687,612,669,459,612,628,684,652,764,688,631,503,523,783,1326,,,,
"","","Environment, Conservation and Parks (Total)","","Environment, Conservation and Parks","","Environment, Conservation and Parks (Total)","",851,687,612,669,682,614,643,687,652,764,688,631,503,523,783,1326,,,,
"","","Environment, Conservation and Parks (Total)","","Environment, Conservation and Parks","","Environment, Conservation and Parks (Total)","",851,687,612,669,682,614,643,687,652,909,983,631,503,523,783,1326,,,,
"","","Executive Offices (Base)","","Executive Offices (Base)","","Executive Offices (Base)","",37,34,32,38,33,32,40,40,45,48,45,40,33,48,58,58,,,,
"","","Executive Offices (Base)","","Executive Offices (Base)","","Executive Offices (Base)","",37,34,32,38,33,32,38,40,45,48,45,40,33,48,58,58,,,,
"","","Finance"," COVID‑19 Response: Support for People and Jobs Fund","","","Finance"," COVID‑19 Response: Support for People and Jobs Fund",0,0,0,2050,0,0,0,0,,,,,,,,,,,,
"","","Finance"," Time-Limited Investments","","","Finance"," Time-Limited Investments",0,0,0,616,,,,,,,,,,,,,,,,
"","","Finance"," Investment Management Corporation of Ontario9","","","Finance"," Investment Management Corporation of Ontario9",0,67,88,161,67,88,141,185,,,,,,,,,,,,
"","","Finance"," COVID‑19 Time-Limited Funding17","","","Finance"," COVID‑19 Time-Limited Funding17",,,,,0,0,376,35,,,,,,,,,,,,
"","","Finance (Base)","","Finance (Base)","","Finance (Base)","",843,885,806,862,883,804,804,851,862,870,915,833,1048,862,885,986,,,,
"","","Francophone Affairs"," COVID‑19 Time-Limited Funding18","","","Francophone Affairs"," COVID‑19 Time-Limited Funding18",,,,,0,0,1,2,,,,,,,,,,,,
"","","Francophone Affairs (Base)","","","","Francophone Affairs (Base)","",,,,,6,5,6,6,,,,,,,,,,,,
"","","Francophone Affairs (Total)","","Francophone Affairs (Total)","","Francophone Affairs (Total)","",6,6,5,7,6,5,7,9,5,6,6,6,8,5,6,8,,,,
"","","Government    and Consumer Services"," COVID‑19 Time-Limited Funding19","","","Government    and Consumer Services"," COVID‑19 Time-Limited Funding19",,,,,0,0,407,0,,,,,,,,,,,,
"","","Health (Total)","","","","Health (Total)","",54982,57573,59293,60110,,,,,,,,,,,,,,,,
"","","Health (Total)20","","","","Health (Total)20","",,,,,57566,59286,61159,64017,,,,,,,,,,,,
"","","Heritage,    Sport, Tourism and Culture Industries"," COVID‑19 Time-Limited Funding22","","","Heritage,    Sport, Tourism and Culture Industries"," COVID‑19 Time-Limited Funding22",,,,,0,0,66,205,,,,,,,,,,,,
"","","Heritage, Sport, Tourism and Culture Industries"," Ontario Cultural Media Tax Credits","","","Heritage, Sport, Tourism and Culture Industries"," Ontario Cultural Media Tax Credits",509,588,656,515,588,656,512,602,,,,,,,,,,,,
"","","Heritage, Sport, Tourism and Culture Industries"," Ontario Cultural Media Tax Credits – Amounts Related to Prior Years","","","Heritage, Sport, Tourism and Culture Industries"," Ontario Cultural Media Tax Credits – Amounts Related to Prior Years",145,40,80,0,40,80,65,0,,,,,,,,,,,,
"","","Heritage, Sport, Tourism and Culture Industries (Base)","","Heritage, Sport, Tourism and Culture Industries (Total)","","Heritage, Sport, Tourism and Culture Industries (Base)","",940,935,908,1032,934,907,889,1016,1465,1585,1552,1493,2270,1540,1568,1514,,,,
"","","Heritage, Sport, Tourism and Culture Industries (Base)","","Heritage, Sport, Tourism and Culture Industries (Total)","","Heritage, Sport, Tourism and Culture Industries (Base)","",940,935,908,1032,1562,1643,1531,1824,1465,1585,1552,1493,2270,1540,1568,1514,,,,
"","","Heritage, Sport, Tourism and Culture Industries (Base)","","Heritage, Sport, Tourism and Culture Industries (Base)","","Heritage, Sport, Tourism and Culture Industries (Base)","",940,935,908,1032,1562,1643,1531,1824,1465,1585,1552,1493,1431,1540,1568,1514,,,,
"","","Heritage, Sport, Tourism and Culture Industries (Base)","","Heritage, Sport, Tourism and Culture Industries (Base)","","Heritage, Sport, Tourism and Culture Industries (Base)","",940,935,908,1032,934,907,889,1016,1465,1585,1552,1493,1431,1540,1568,1514,,,,
"","","Heritage, Sport, Tourism and Culture Industries11 (Total)","","Heritage, Sport, Tourism and Culture Industries (Total)","","Heritage, Sport, Tourism and Culture Industries11 (Total)","",1594,1562,1643,1547,1562,1643,1531,1824,1561,1590,1552,1493,2270,1540,1568,1514,,,,
"","","Heritage, Sport, Tourism and Culture Industries11 (Total)","","Heritage, Sport, Tourism and Culture Industries (Base)","","Heritage, Sport, Tourism and Culture Industries11 (Total)","",1594,1562,1643,1547,1562,1643,1531,1824,1561,1590,1552,1493,1431,1540,1568,1514,,,,
"","","Heritage, Sport, Tourism and Culture Industries11 (Total)","","Heritage, Sport, Tourism and Culture Industries (Total)","","Heritage, Sport, Tourism and Culture Industries11 (Total)","",1594,1562,1643,1547,934,907,889,1016,1561,1590,1552,1493,2270,1540,1568,1514,,,,
"","","Heritage, Sport, Tourism and Culture Industries11 (Total)","","Heritage, Sport, Tourism and Culture Industries (Base)","","Heritage, Sport, Tourism and Culture Industries11 (Total)","",1594,1562,1643,1547,934,907,889,1016,1561,1590,1552,1493,1431,1540,1568,1514,,,,
"","","Indigenous Affairs"," COVID‑19 Time-Limited Funding23","","","Indigenous Affairs"," COVID‑19 Time-Limited Funding23",,,,,0,0,14,4,,,,,,,,,,,,
"","","Indigenous Affairs (Base)","","Indigenous Affairs (Base)","","Indigenous Affairs (Base)","",86,75,73,82,75,71,83,86,88,88,81,74,75,128,92,101,,,,
"","","Indigenous Affairs (Total)","","Indigenous Affairs (Total)","","Indigenous Affairs (Total)","",1208,290,87,96,289,86,261,90,128,1210,146,74,79,128,114,101,,,,
"","","Infrastructure"," Municipal Infrastructure Program Investments12","","","Infrastructure"," Municipal Infrastructure Program Investments12",0,0,0,202,0,0,198,200,,,,,,,,,,,,
"","","Infrastructure"," Waterfront Toronto Revitalization (Port Lands Flood Protection)","","","Infrastructure"," Waterfront Toronto Revitalization (Port Lands Flood Protection)",0,0,116,128,0,116,103,156,,,,,,,,,,,,
"","","Infrastructure"," COVID‑19 Time-Limited Funding26","","","Infrastructure"," COVID‑19 Time-Limited Funding26",,,,,0,0,0,234,,,,,,,,,,,,
"","","Infrastructure (Base)","","Infrastructure (Base)","","Infrastructure (Base)","",227,161,81,213,161,81,155,365,90,71,108,390,213,161,266,213,,,,
"","","Labour, Training and Skills Development"," COVID‑19 Time-Limited Funding28","","","Labour, Training and Skills Development"," COVID‑19 Time-Limited Funding28",,,,,0,0,65,288,,,,,,,,,,,,
"","","Labour, Training and Skills Development"," Training Tax Credits (Co-operative Education    and Apprenticeship Training)27","","","Labour, Training and Skills Development"," Training Tax Credits (Co-operative Education    and Apprenticeship Training)27",,,,,183,152,98,89,,,,,,,,,,,,
"","","Labour, Training and Skills Development"," Demand-Driven Employment and Training Programs","","","Labour, Training and Skills Development"," Demand-Driven Employment and Training Programs",916,943,922,1051,943,922,1473,1169,,,,,,,,,,,,
"","","Labour, Training and Skills Development"," Co-op Education and Apprenticeship Tax Credits13","","","Labour, Training and Skills Development"," Co-op Education and Apprenticeship Tax Credits13",208,183,152,82,,,,,,,,,,,,,,,,
"","","Labour, Training and Skills Development (Base)","","Labour, Training and Skills Development (Total)","","Labour, Training and Skills Development (Base)","",128,130,100,128,1301,1194,1790,1721,308,317,319,306,305,308,324,331,,,,
"","","Labour, Training and Skills Development (Base)","","Labour, Training and Skills Development (Total)","","Labour, Training and Skills Development (Base)","",128,130,100,128,175,121,154,175,308,317,319,306,305,308,324,331,,,,
"","","Labour, Training and Skills Development14 (Total)","","Labour, Training and Skills Development (Total)","","Labour, Training and Skills Development14 (Total)","",1253,1257,1173,1261,1301,1194,1790,1721,308,317,319,306,305,308,324,331,,,,
"","","Labour, Training and Skills Development14 (Total)","","Labour, Training and Skills Development (Total)","","Labour, Training and Skills Development14 (Total)","",1253,1257,1173,1261,175,121,154,175,308,317,319,306,305,308,324,331,,,,
"","","Long-Term Care (Total)","","Health and Long-Term Care (Total)","","Long-Term Care (Total)","",4163,4329,4423,4536,4329,4423,5582,5764,56293,59260,62158,63510,54925,55945,58290,61278,,,,
"","","Municipal Affairs and Housing"," COVID‑19 Time-Limited Funding32","","","Municipal Affairs and Housing"," COVID‑19 Time-Limited Funding32",,,,,0,0,797,286,,,,,,,,,,,,
"","","Municipal Affairs and Housing"," Social Housing Agreement – Payments to Service Managers15","","","Municipal Affairs and Housing"," Social Housing Agreement – Payments to Service Managers15",392,367,341,315,367,341,314,284,,,,,,,,,,,,
"","","Municipal Affairs and Housing"," Safe Restart Agreement","","","Municipal Affairs and Housing"," Safe Restart Agreement",0,0,0,1900,0,0,1900,0,,,,,,,,,,,,
"","","Municipal Affairs and Housing (Base)","","Municipal Affairs/Housing (Base)","","Municipal Affairs and Housing (Base)","",417,475,541,482,1477,1197,3749,1432,978,1041,850,847,923,994,1051,1007,,,,
"","","Municipal Affairs and Housing (Base)","","Municipal Affairs/Housing (Base)","","Municipal Affairs and Housing (Base)","",417,475,541,482,1477,1197,3749,1432,1544,1375,1484,1118,923,994,1051,1007,,,,
"","","Municipal Affairs and Housing (Base)","","Municipal Affairs/Housing (Base)","","Municipal Affairs and Housing (Base)","",417,475,541,482,474,540,483,512,1544,1375,1484,1118,923,994,1051,1007,,,,
"","","Municipal Affairs and Housing (Base)","","Municipal Affairs/Housing (Base)","","Municipal Affairs and Housing (Base)","",417,475,541,482,474,540,483,512,978,1041,850,847,923,994,1051,1007,,,,
"","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Base)","",609,505,541,557,500,529,556,573,729,781,834,672,723,751,801,780,,,,
"","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Base)","",609,505,541,557,708,665,676,673,622,664,622,602,723,751,801,780,,,,
"","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Base)","",609,505,541,557,500,529,556,573,729,781,834,672,818,858,919,850,,,,
"","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Base)","",609,505,541,557,708,665,676,673,729,781,834,672,818,858,919,850,,,,
"","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Base)","",609,505,541,557,500,529,556,573,622,664,622,602,818,858,919,850,,,,
"","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Base)","",609,505,541,557,708,665,676,673,729,781,834,672,723,751,801,780,,,,
"","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Total)","","Natural Resources and Forestry (Base)","",609,505,541,557,708,665,676,673,622,664,622,602,818,858,919,850,,,,
"","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Base)","","Natural Resources and Forestry (Base)","",609,505,541,557,500,529,556,573,622,664,622,602,723,751,801,780,,,,
"","","PRRT Savings","","PRRT Savings","","","",,,,,,,,,,,,,0,0,0,-200,,,,
"","","Seniors and Accessibility"," Time-Limited Investments","","","Seniors and Accessibility"," Time-Limited Investments",0,0,0,129,0,0,126,9,,,,,,,,,,,,
"","","Seniors and Accessibility"," COVID‑19 Time-Limited Funding33","","","Seniors and Accessibility"," COVID‑19 Time-Limited Funding33",,,,,0,0,26,6,,,,,,,,,,,,
"","","Seniors and Accessibility (Base)","","","","Seniors and Accessibility (Base)","",48,52,54,58,51,52,56,66,38,48,59,51,,,,,,,,
"","","Seniors and Accessibility (Total)","","","","Seniors and Accessibility (Total)","",48,52,54,187,51,52,209,82,38,48,59,51,,,,,,,,
"","","Solicitor    General"," COVID‑19 Time-Limited Funding34","","","Solicitor    General"," COVID‑19 Time-Limited Funding34",,,,,0,0,48,0,,,,,,,,,,,,
"","","Solicitor    General (Base)","","","","Solicitor    General (Base)","",,,,,2670,2763,2923,3096,,,,,,,,,,,,
"","","Solicitor General (Total)","","","","Solicitor General (Total)","",2561,2681,2774,2874,2670,2763,2971,3096,2683,2792,2907,2965,,,,,,,,
"","","Tourism, Culture and Sport"," Time-Limited Funding: Ontario 150 and Pan/Parapan American Games","","","Tourism, Culture and Sport"," Time-Limited Funding: Ontario 150 and Pan/Parapan American Games",,,,,,,,,96,6,0,0,,,,,,,,
"","","Transportation"," COVID‑19 Time-Limited Funding36","","","Transportation"," COVID‑19 Time-Limited Funding36",,,,,0,0,175,0,,,,,,,,,,,,
"","","Transportation"," Federal–Provincial Infrastructure Programs","","","Transportation"," Federal–Provincial Infrastructure Programs",404,297,188,640,297,188,755,703,0,404,217,638,,,,,,,,
"","","Transportation"," Safe Restart Agreement","","","Transportation"," Safe Restart Agreement",0,0,0,2000,0,0,2000,0,,,,,,,,,,,,
"","","Transportation (Base)","","Transportation (Base)","","Transportation (Base)","",4184,4543,4957,4973,4536,4950,5016,5530,3644,4118,4460,4549,3284,3636,4199,4678,,,,
"","","Treasury Board Secretariat"," COVID‑19 Time-Limited Funding38","","","Treasury Board Secretariat"," COVID‑19 Time-Limited Funding38",,,,,0,0,60,0,,,,,,,,,,,,
"","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Base)","",194,201,189,407,227,214,344,455,1271,1631,1770,2739,1207,1235,1435,3218,,,,
"","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Base)","",194,201,189,407,1392,1879,1744,4302,1271,1631,1770,2739,220,233,230,347,,,,
"","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Base)","",194,201,189,407,1392,1879,1744,4302,189,189,233,287,1207,1235,1435,3218,,,,
"","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Base)","",194,201,189,407,1392,1879,1744,4302,189,189,233,287,220,233,230,347,,,,
"","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Base)","",194,201,189,407,227,214,344,455,1271,1631,1770,2739,220,233,230,347,,,,
"","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Base)","",194,201,189,407,227,214,344,455,189,189,233,287,1207,1235,1435,3218,,,,
"","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Base)","",194,201,189,407,227,214,344,455,189,189,233,287,220,233,230,347,,,,
"","","Treasury Board Secretariat (Base)","","Treasury Board Secretariat (Total)","","Treasury Board Secretariat (Base)","",194,201,189,407,1392,1879,1744,4302,1271,1631,1770,2739,1207,1235,1435,3218,,,,
"","","Executive Offices"," Disaster Relief","Executive Offices"," Disaster Relief","","",,,,,,,,,,,,,3,1,4,0,,,,
"","","Indigenous Affairs"," One-Time Investments including Settlements","Indigenous Affairs"," One-Time Investments including Settlements","Indigenous Affairs"," One-Time Investments including Settlements",1122,215,14,14,215,16,165,0,40,1122,65,0,5,0,22,0,,,,
"Accessibility Directorate of Ontario (Total)","","Accessibility Directorate of Ontario (Total)","","Accessibility Directorate of Ontario (Total)","","","",,,,,,,,,,,,,15,15,19,21,15,15,17,20
"Advanced Education and Skills Development (Total)","","Advanced Education and Skills Development (Total)","","Advanced Education and Skills Development (Total)","","","",,,,,,,,,,,,,9901,10131,11128,11788,7683,7655,7807,8410
"Agriculture, Food and Rural Affairs","Time-Limited Investments in Infrastructure","Agriculture, Food and Rural Affairs"," Time-Limited Investments in Infrastructure","Agriculture, Food and Rural Affairs"," Time-Limited Investments in Infrastructure","Agriculture, Food and Rural Affairs"," Time-Limited Investments in Infrastructure",,,,,,,,,0,102,97,38,47,0,102,100,36,47,100,77
"Attorney General (Total)","","Attorney General (Total)","","Attorney General (Total)","","Attorney General (Total)","",1742,1787,1942,1682,1774,1927,1703,1675,1937,2041,2088,1934,1859,1937,2052,2013,1782,1859,1942,1938
"Children, Community and Social Services","Time-Limited Investments in Affordable and Supportive Housing","Children, Community and Social Services"," Time-Limited Investments in Affordable and Supportive Housing","Children, Community and Social Services"," Time-Limited Investments in Affordable and Supportive Housing","","",,,,,,,,,,,,,0,23,9,0,0,0,23,9
"Children, Community and Social Services (Total)","","Children, Community and Social Services (Total)","","Children, Community and Social Services(Base)","","Children, Community and Social Services (Total)","",16300,16841,17104,17928,16782,17070,17736,17842,15789,16416,17042,16666,11298,11614,12378,13313,10550,11298,11720,12419
"Children, Community and Social Services","","Children, Community and Social Services (Total)","","Children, Community and Social Services(Base)","","Children, Community and Social Services (Total)","",16300,16841,17104,17928,16782,17070,17736,17842,15789,16416,17042,16666,11298,11614,12378,13313,4166,4297,4447,4444
"Children, Community and Social Services (Total)","","Children, Community and Social Services (Total)","","Children, Community and Social Services(Total)","","Children, Community and Social Services (Total)","",16300,16841,17104,17928,16782,17070,17736,17842,15789,16416,17042,16666,11298,11637,12387,13313,10550,11298,11720,12419
"Children, Community and Social Services","","Children, Community and Social Services (Total)","","Children, Community and Social Services(Total)","","Children, Community and Social Services (Total)","",16300,16841,17104,17928,16782,17070,17736,17842,15789,16416,17042,16666,11298,11637,12387,13313,4166,4297,4447,4444
"Children, Community and Social Services (Total)","","Children, Community and Social Services (Total)","","Children, Community and Social Services(Total)","","Children, Community and Social Services (Total)","",16300,16841,17104,17928,16782,17070,17824,17911,15789,16416,17042,16666,11298,11637,12387,13313,10550,11298,11720,12419
"Children, Community and Social Services","","Children, Community and Social Services (Total)","","Children, Community and Social Services(Total)","","Children, Community and Social Services (Total)","",16300,16841,17104,17928,16782,17070,17824,17911,15789,16416,17042,16666,11298,11637,12387,13313,4166,4297,4447,4444
"Children, Community and Social Services (Total)","","Children, Community and Social Services (Total)","","Children, Community and Social Services(Base)","","Children, Community and Social Services (Total)","",16300,16841,17104,17928,16782,17070,17824,17911,15789,16416,17042,16666,11298,11614,12378,13313,10550,11298,11720,12419
"Children, Community and Social Services","","Children, Community and Social Services (Total)","","Children, Community and Social Services(Base)","","Children, Community and Social Services (Total)","",16300,16841,17104,17928,16782,17070,17824,17911,15789,16416,17042,16666,11298,11614,12378,13313,4166,4297,4447,4444
"Citizenship and Immigration (Total)","","Citizenship and Immigration (Total)","","Citizenship and Immigration (Total)","","","",,,,,,,,,,,,,102,105,108,122,103,102,105,112
"Community Safety and Correctional Services","Time-Limited Support for 2015 Pan/Parapan American Games Security","Community Safety and Correctional Services"," Time-Limited Support for 2015 Pan/Parapan American Games Security","Community Safety and Correctional Services"," Time-Limited Support for 2015 Pan/Parapan American Games Security","","",,,,,,,,,,,,,122,0,0,0,44,122,0,0
"Community Safety and Correctional Services (Total)","","Community Safety and Correctional Services (Total)","","Community Safety and Correctional Services (Total)","","","",,,,,,,,,,,,,2687,2681,2806,3027,2567,2687,2689,2777
"Education (Total)","","Education (Total)","","Education (Total)","","Education (Total)","",28923,30424,31751,32659,30420,31748,33742,32953,27567,28958,30757,31550,26077,26204,27034,28214,25194,25108,25239,25987
