Actual                 2018–19,Actual                 2019–20,Interim2                 2020‑21,Plan                 2021–22,Category,Subcategory
175,121,154,175,"Labour, Training and Skills Development    (Base)",""
183,152,98,89,"Labour, Training and Skills Development"," Training Tax Credits (Co-operative Education    and Apprenticeship Training)27"
943,922,1473,1169,"Labour, Training and Skills Development"," Demand-Driven Employment and Training    Programs"
0,0,65,288,"Labour, Training and Skills Development"," COVID‑19 Time-Limited Funding28"
1301,1194,1790,1721,"Labour, Training and Skills Development    (Total)",""
4329,4423,5582,5764,"Long-Term    Care (Total)29",""
474,540,483,512,"Municipal Affairs and Housing (Base)",""
0,0,1900,0,"Municipal Affairs and Housing"," Safe Restart Agreement30"
636,317,255,349,"Municipal Affairs and Housing"," Time-Limited Investments"
367,341,314,284,"Municipal Affairs and Housing"," Social Housing Agreement – Payments to    Service Managers31"
0,0,797,286,"Municipal Affairs and Housing"," COVID‑19 Time-Limited Funding32"
1477,1197,3749,1432,"Municipal Affairs and Housing (Total)",""
500,529,556,573,"Natural    Resources and Forestry (Base)",""
208,136,120,100,"Natural    Resources and Forestry"," Emergency Forest Firefighting"
708,665,676,673,"Natural    Resources and Forestry (Total)",""
51,52,56,66,"Seniors and Accessibility (Base)",""
0,0,126,9,"Seniors and Accessibility"," Time-Limited Investments"
0,0,26,6,"Seniors and Accessibility"," COVID‑19 Time-Limited Funding33"
51,52,209,82,"Seniors and Accessibility (Total)",""
2670,2763,2923,3096,"Solicitor    General (Base)",""
0,0,48,0,"Solicitor    General"," COVID‑19 Time-Limited Funding34"
2670,2763,2971,3096,"Solicitor    General (Total)",""
4536,4950,5016,5530,"Transportation (Base)",""
0,0,2000,0,"Transportation"," Safe Restart Agreement"
297,188,755,703,"Transportation"," Federal–Provincial Infrastructure Programs"
0,0,175,0,"Transportation"," COVID‑19 Time-Limited Funding36"
4833,5138,7946,6233,"Transportation (Total)",""
227,214,344,455,"Treasury Board Secretariat (Base)",""
1165,1665,1340,1766,"Treasury Board Secretariat"," Employee and Pensioner Benefits37"
0,0,0,1915,"Treasury Board Secretariat"," Operating Contingency Fund"
0,0,0,165,"Treasury Board Secretariat"," Capital Contingency Fund"
0,0,60,0,"Treasury Board Secretariat"," COVID‑19 Time-Limited Funding38"
1392,1879,1744,4302,"Treasury Board Secretariat (Total)",""
12384,12495,12456,13130,"Interest    on Debt39",""
161135,164768,190281,186120,"Total    Expense",""
