locationid,Location (geo),Latitude,Longitude,RegionName,ProvinceName,DistrictName,District,Region,Province,regionId,provinceId,districtId
"5-6-50","Gucha, Nyanza, Kenya",-734089971,3484484863,"Kenya","Nyanza","Gucha","50-Gucha","5-Kenya","6-Nyanza",5,6,50
"5-6-52","Nyamira, Nyanza, Kenya",-758650005,3501533127,"Kenya","Nyanza","Nyamira","52-Nyamira","5-Kenya","6-Nyanza",5,6,52
"5-7-57","Trans Nzoia West, Rift Valley, Kenya",1017879963,3500202942,"Kenya","Rift Valley","Trans Nzoia West","57-Trans Nzoia West","5-Kenya","7-Rift Valley",5,7,57
"5-7-59","Kwanza, Rift Valley, Kenya",,,"Kenya","Rift Valley","Kwanza","59-Kwanza","5-Kenya","7-Rift Valley",5,7,59
"5-7-60","Eldoret West, Rift Valley, Kenya",506669998,3527317047,"Kenya","Rift Valley","Eldoret West","60-Eldoret West","5-Kenya","7-Rift Valley",5,7,60
"5-7-62","Nakuru, Rift Valley, Kenya",-291170001,360696106,"Kenya","Rift Valley","Nakuru","62-Nakuru","5-Kenya","7-Rift Valley",5,7,62
"5-7-64","Naivasha, Rift Valley, Kenya",-715089977,3643091965,"Kenya","Rift Valley","Naivasha","64-Naivasha","5-Kenya","7-Rift Valley",5,7,64
"5-7-67","Narok South, Rift Valley, Kenya",-1082999945,3587870026,"Kenya","Rift Valley","Narok South","67-Narok South","5-Kenya","7-Rift Valley",5,7,67
"5-7-70","Buret, Rift Valley, Kenya",116669998,3543330002,"Kenya","Rift Valley","Buret","70-Buret","5-Kenya","7-Rift Valley",5,7,70
"5-5-73","Kajiado North, North Eaatern, Kenya",,,"Kenya","North Eaatern","Kajiado North","73-Kajiado North","5-Kenya","5-North Eaatern",5,5,73
"5-8-74","Kakamega Central, Western, Kenya",,,"Kenya","Western","Kakamega Central","74-Kakamega Central","5-Kenya","8-Western",5,8,74
"5-8-76","Kakamega East, Western, Kenya",,,"Kenya","Western","Kakamega East","76-Kakamega East","5-Kenya","8-Western",5,8,76
"5-8-77","Lugari, Western, Kenya",632659972,3497613907,"Kenya","Western","Lugari","77-Lugari","5-Kenya","8-Western",5,8,77
"5-8-78","Vihiga, Western, Kenya",91399997,3472077179,"Kenya","Western","Vihiga","78-Vihiga","5-Kenya","8-Western",5,8,78
"5-8-79","Mumias, Western, Kenya",339003801,3448926163,"Kenya","Western","Mumias","79-Mumias","5-Kenya","8-Western",5,8,79
"5-8-82","Bungoma West, Western, Kenya",562049985,3456169891,"Kenya","Western","Bungoma West","82-Bungoma West","5-Kenya","8-Western",5,8,82
"5-8-83","Busia, Western, Kenya",448500007,3425413132,"Kenya","Western","Busia","83-Busia","5-Kenya","8-Western",5,8,83
"5-6-46","Migori, Nyanza, Kenya",-908399999,3453141022,"Kenya","Nyanza","Migori","46-Migori","5-Kenya","6-Nyanza",5,6,46
"5-7-63","Nakuru North, Rift Valley, Kenya",-291170001,360696106,"Kenya","Rift Valley","Nakuru North","63-Nakuru North","5-Kenya","7-Rift Valley",5,7,63
"5-7-56","Pokot Central, Rift Valley, Kenya",,,"Kenya","Rift Valley","Pokot Central","56-Pokot Central","5-Kenya","7-Rift Valley",5,7,56
"5-2-14","Ruiru, Central, Kenya",-699999988,3711669922,"Kenya","Central","Ruiru","14-Ruiru","5-Kenya","2-Central",5,2,14
"5-2-13","Thika West, Central, Kenya",-1037770033,3707590103,"Kenya","Central","Thika West","13-Thika West","5-Kenya","2-Central",5,2,13
"5-8-80","Butere, Western, Kenya",211459994,3449607086,"Kenya","Western","Butere","80-Butere","5-Kenya","8-Western",5,8,80
"5-3-17","Kilindini, Coast, Kenya",-4059780121,3965121841,"Kenya","Coast","Kilindini","17-Kilindini","5-Kenya","3-Coast",5,3,17
"5-7-65","Molo, Rift Valley, Kenya",-247899994,3573740005,"Kenya","Rift Valley","Molo","65-Molo","5-Kenya","7-Rift Valley",5,7,65
"5-7-71","Sotik, Rift Valley, Kenya",-688199997,3511420059,"Kenya","Rift Valley","Sotik","71-Sotik","5-Kenya","7-Rift Valley",5,7,71
"9-48-163","Aligarh, Aligarh, Uttar Pradesh India",2788643074,780742569,"Uttar Pradesh India","Aligarh","Aligarh","163-Aligarh","9-Uttar Pradesh India","48-Aligarh",9,48,163
"9-50-165","Allahabad, Allahabad, Uttar Pradesh India",2546756935,8169077301,"Uttar Pradesh India","Allahabad","Allahabad","165-Allahabad","9-Uttar Pradesh India","50-Allahabad",9,50,165
"1-53-168","East Champaran, East Champaran, Bihar-India",2662569,8489855,"Bihar-India","East Champaran","East Champaran","168-East Champaran","1-Bihar-India","53-East Champaran",1,53,168
"1-54-169","Darbhanga, Darbhanga, Bihar-India",2454224968,8471446991,"Bihar-India","Darbhanga","Darbhanga","169-Darbhanga","1-Bihar-India","54-Darbhanga",1,54,169
"1-55-170","Purnia, Purnia, Bihar-India",2579602051,8756387329,"Bihar-India","Purnia","Purnia","170-Purnia","1-Bihar-India","55-Purnia",1,55,170
"1-55-171","Bhojpur, Purnia, Bihar-India",2567890358,8561182404,"Bihar-India","Purnia","Bhojpur","171-Bhojpur","1-Bihar-India","55-Purnia",1,55,171
"1-56-171","Bhojpur, Bhojpur, Bihar-India",,,"Bihar-India","Bhojpur","Bhojpur","171-Bhojpur","1-Bihar-India","56-Bhojpur",1,56,171
"1-57-172","Munger, Munger, Bihar-India",2567890358,8561182404,"Bihar-India","Munger","Munger","172-Munger","1-Bihar-India","57-Munger",1,57,172
"4-10-88","Affar -ZONE 1, AFFAR, Ethiopia",1214497566,4124359512,"Ethiopia","AFFAR","Affar -ZONE 1","88-Affar -ZONE 1","4-Ethiopia","10-AFFAR",4,10,88
"4-11-90","North Gondar-Zone, AMHARA, Ethiopia",8626703262,3963755417,"Ethiopia","AMHARA","North Gondar-Zone","90-North Gondar-Zone","4-Ethiopia","11-AMHARA",4,11,90
"4-11-91","South Gondar-Zone, AMHARA, Ethiopia",8626703262,3963755417,"Ethiopia","AMHARA","South Gondar-Zone","91-South Gondar-Zone","4-Ethiopia","11-AMHARA",4,11,91
"4-11-92","North Wello-Zone, AMHARA, Ethiopia",8626703262,3963755417,"Ethiopia","AMHARA","North Wello-Zone","92-North Wello-Zone","4-Ethiopia","11-AMHARA",4,11,92
"4-11-93","South Wello-Zone, AMHARA, Ethiopia",8626703262,3963755417,"Ethiopia","AMHARA","South Wello-Zone","93-South Wello-Zone","4-Ethiopia","11-AMHARA",4,11,93
"4-11-94","North Shewa - Zone, AMHARA, Ethiopia",8626703262,3963755417,"Ethiopia","AMHARA","North Shewa - Zone","94-North Shewa - Zone","4-Ethiopia","11-AMHARA",4,11,94
"4-12-94","North Shewa - Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","North Shewa - Zone","94-North Shewa - Zone","4-Ethiopia","12-OROMIA",4,12,94
"4-11-97","Waghemira - Zone, AMHARA, Ethiopia",8626703262,3963755417,"Ethiopia","AMHARA","Waghemira - Zone","97-Waghemira - Zone","4-Ethiopia","11-AMHARA",4,11,97
"4-11-98","Awi - Zone, AMHARA, Ethiopia",8626703262,3963755417,"Ethiopia","AMHARA","Awi - Zone","98-Awi - Zone","4-Ethiopia","11-AMHARA",4,11,98
"1-58-173","Gaya, Gaya, Bihar-India",2567890358,8561182404,"Bihar-India","Gaya","Gaya","173-Gaya","1-Bihar-India","58-Gaya",1,58,173
"2-34-149","Mouhoun, Boucle Du Mouhoun, Burkina Faso",125,-35,"Burkina Faso","Boucle Du Mouhoun","Mouhoun","149-Mouhoun","2-Burkina Faso","34-Boucle Du Mouhoun",2,34,149
"4-14-126","Sidama-Zone, SNNP, Ethiopia",6717999935,3844800186,"Ethiopia","SNNP","Sidama-Zone","126-Sidama-Zone","4-Ethiopia","14-SNNP",4,14,126
"2-36-151","Kadiogo, Centre, Burkina Faso",1233329964,-15,"Burkina Faso","Centre","Kadiogo","151-Kadiogo","2-Burkina Faso","36-Centre",2,36,151
"2-44-151","Kadiogo, Plateau Central, Burkina Faso",,,"Burkina Faso","Plateau Central","Kadiogo","151-Kadiogo","2-Burkina Faso","44-Plateau Central",2,44,151
"3-17-193","Kinshasa, Democratic Republic Congo",-4312220097,152895298,"Democratic Republic Congo","Kinshasa","","","3-Democratic Republic Congo","17-Kinshasa",3,17,193
"3-17-196","Kinshasa, Democratic Republic Congo",-4312220097,152895298,"Democratic Republic Congo","Kinshasa","","","3-Democratic Republic Congo","17-Kinshasa",3,17,196
"3-24-196","Bas Congo, Democratic Republic Congo",-5293577671,1430254936,"Democratic Republic Congo","Bas Congo","","","3-Democratic Republic Congo","24-Bas Congo",3,24,196
"3-25-196","Bandundu, Democratic Republic Congo",-3310689926,1738143921,"Democratic Republic Congo","Bandundu","","","3-Democratic Republic Congo","25-Bandundu",3,25,196
"3-26-196","Equateur, Democratic Republic Congo",1053462625,2059843254,"Democratic Republic Congo","Equateur","","","3-Democratic Republic Congo","26-Equateur",3,26,196
"2-37-152","Boulgou, Centre Est, Burkina Faso",1251340008,826210022,"Burkina Faso","Centre Est","Boulgou","152-Boulgou","2-Burkina Faso","37-Centre Est",2,37,152
"2-39-152","Boulgou, Centre Ouest, Burkina Faso",1225489998,-2368760109,"Burkina Faso","Centre Ouest","Boulgou","152-Boulgou","2-Burkina Faso","39-Centre Ouest",2,39,152
"3-18-194","Katanga, Democratic Republic Congo",-8748995781,2640397835,"Democratic Republic Congo","Katanga","","","3-Democratic Republic Congo","18-Katanga",3,18,194
"3-19-194","Province Orientale, Democratic Republic Congo",2085400343,2636942863,"Democratic Republic Congo","Province Orientale","","","3-Democratic Republic Congo","19-Province Orientale",3,19,194
"3-22-194","Sud Kivu, Democratic Republic Congo",-321513772,2825020027,"Democratic Republic Congo","Sud Kivu","","","3-Democratic Republic Congo","22-Sud Kivu",3,22,194
"3-23-194","Nord Kivu, Democratic Republic Congo",-593644857,2869629669,"Democratic Republic Congo","Nord Kivu","","","3-Democratic Republic Congo","23-Nord Kivu",3,23,194
"3-26-194","Equateur, Democratic Republic Congo",1053462625,2059843254,"Democratic Republic Congo","Equateur","","","3-Democratic Republic Congo","26-Equateur",3,26,194
"3-27-194","Maniema, Democratic Republic Congo",-3099186659,2640681267,"Democratic Republic Congo","Maniema","","","3-Democratic Republic Congo","27-Maniema",3,27,194
"2-43-158","Yatenga, Nord, Burkina Faso",1325,-225,"Burkina Faso","Nord","Yatenga","158-Yatenga","2-Burkina Faso","43-Nord",2,43,158
"2-38-153","Sanmatenga, Centre Nord, Burkina Faso",1325,-1,"Burkina Faso","Centre Nord","Sanmatenga","153-Sanmatenga","2-Burkina Faso","38-Centre Nord",2,38,153
"3-20-195","Kassai Oriental, Democratic Republic Congo",-4526013374,2393845749,"Democratic Republic Congo","Kassai Oriental","","","3-Democratic Republic Congo","20-Kassai Oriental",3,20,195
"3-21-195","Kassai Occidental, Democratic Republic Congo",-5417163849,2162505722,"Democratic Republic Congo","Kassai Occidental","","","3-Democratic Republic Congo","21-Kassai Occidental",3,21,195
"2-40-155","Zoundwéogo, Centre Sud, Burkina Faso",1158329964,-1,"Burkina Faso","Centre Sud","Zoundwéogo","155-Zoundwéogo","2-Burkina Faso","40-Centre Sud",2,40,155
"2-41-156","Gourma, Est, Burkina Faso",1293330002,733330011,"Burkina Faso","Est","Gourma","156-Gourma","2-Burkina Faso","41-Est",2,41,156
"2-44-159","Oubritenga, Plateau Central, Burkina Faso",1241666698,-1,"Burkina Faso","Plateau Central","Oubritenga","159-Oubritenga","2-Burkina Faso","44-Plateau Central",2,44,159
"2-45-160","Séno, Sahel, Burkina Faso",1213976097,-6929468155,"Burkina Faso","Sahel","Séno","160-Séno","2-Burkina Faso","45-Sahel",2,45,160
"2-46-161","Poni, Sud-Ouest, Burkina Faso",1228498554,-1745560646,"Burkina Faso","Sud-Ouest","Poni","161-Poni","2-Burkina Faso","46-Sud-Ouest",2,46,161
"8-31-142","ENUGU, South East, Southern Nigeria",,,"Southern Nigeria","South East","ENUGU","142-ENUGU","8-Southern Nigeria","31-South East",8,31,142
"8-31-143","Abia, South East, Southern Nigeria",650687,335826,"Southern Nigeria","South East","Abia","143-Abia","8-Southern Nigeria","31-South East",8,31,143
"8-32-143","Abia, South South, Southern Nigeria",,,"Southern Nigeria","South South","Abia","143-Abia","8-Southern Nigeria","32-South South",8,32,143
"8-33-147","OYO, South West, Southern Nigeria",,,"Southern Nigeria","South West","OYO","147-OYO","8-Southern Nigeria","33-South West",8,33,147
"4-12-100","West Wellega-Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","West Wellega-Zone","100-West Wellega-Zone","4-Ethiopia","12-OROMIA",4,12,100
"4-12-101","East Wellega-Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","East Wellega-Zone","101-East Wellega-Zone","4-Ethiopia","12-OROMIA",4,12,101
"8-33-148","Ogun, South West, Southern Nigeria",649911,335377,"Southern Nigeria","South West","Ogun","148-Ogun","8-Southern Nigeria","33-South West",8,33,148
"4-12-103","Jimma-Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","Jimma-Zone","103-Jimma-Zone","4-Ethiopia","12-OROMIA",4,12,103
"4-12-104","West Shewa-Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","West Shewa-Zone","104-West Shewa-Zone","4-Ethiopia","12-OROMIA",4,12,104
"8-33-146","LAGOS, South West, Southern Nigeria",650448,333681,"Southern Nigeria","South West","LAGOS","146-LAGOS","8-Southern Nigeria","33-South West",8,33,146
"8-32-146","LAGOS, South South, Southern Nigeria",65119999,336366,"Southern Nigeria","South South","LAGOS","146-LAGOS","8-Southern Nigeria","32-South South",8,32,146
"4-12-106","East Shewa-Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","East Shewa-Zone","106-East Shewa-Zone","4-Ethiopia","12-OROMIA",4,12,106
"4-12-107","Arsi-Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","Arsi-Zone","107-Arsi-Zone","4-Ethiopia","12-OROMIA",4,12,107
"4-14-107","Arsi-Zone, SNNP, Ethiopia",,,"Ethiopia","SNNP","Arsi-Zone","107-Arsi-Zone","4-Ethiopia","14-SNNP",4,14,107
"4-12-108","West Hararge - Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","West Hararge - Zone","108-West Hararge - Zone","4-Ethiopia","12-OROMIA",4,12,108
"4-11-95","East Gojjam - Zone, AMHARA, Ethiopia",,,"Ethiopia","AMHARA","East Gojjam - Zone","95-East Gojjam - Zone","4-Ethiopia","11-AMHARA",4,11,95
"4-12-109","East Hararge-Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","East Hararge-Zone","109-East Hararge-Zone","4-Ethiopia","12-OROMIA",4,12,109
"4-13-109","East Hararge-Zone, Somali, Ethiopia",8626703262,3963755417,"Ethiopia","Somali","East Hararge-Zone","109-East Hararge-Zone","4-Ethiopia","13-Somali",4,13,109
"4-9-84","North Western Tigray-Zone, TIGRAY, Ethiopia",8626703262,3963755417,"Ethiopia","TIGRAY","North Western Tigray-Zone","84-North Western Tigray-Zone","4-Ethiopia","9-TIGRAY",4,9,84
"4-9-85","Central Tigray-Zone, TIGRAY, Ethiopia",8626703262,3963755417,"Ethiopia","TIGRAY","Central Tigray-Zone","85-Central Tigray-Zone","4-Ethiopia","9-TIGRAY",4,9,85
"4-12-110","Bale-Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","Bale-Zone","110-Bale-Zone","4-Ethiopia","12-OROMIA",4,12,110
"4-9-86","Eastern Tigray-Zone, TIGRAY, Ethiopia",8626703262,3963755417,"Ethiopia","TIGRAY","Eastern Tigray-Zone","86-Eastern Tigray-Zone","4-Ethiopia","9-TIGRAY",4,9,86
"4-12-111","Borena-Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","Borena-Zone","111-Borena-Zone","4-Ethiopia","12-OROMIA",4,12,111
"4-9-87","Southern Tigray-Zone, TIGRAY, Ethiopia",8626703262,3963755417,"Ethiopia","TIGRAY","Southern Tigray-Zone","87-Southern Tigray-Zone","4-Ethiopia","9-TIGRAY",4,9,87
"4-12-113","Guji-Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","Guji-Zone","113-Guji-Zone","4-Ethiopia","12-OROMIA",4,12,113
"6-66-190","Monywa, Sagaing, Myanmar",204545002,9674369812,"Myanmar","Sagaing","Monywa","190-Monywa","6-Myanmar","66-Sagaing",6,66,190
"4-11-96","West Gojjam - Zone, AMHARA, Ethiopia",,,"Ethiopia","AMHARA","West Gojjam - Zone","96-West Gojjam - Zone","4-Ethiopia","11-AMHARA",4,11,96
"4-14-123","Gurage-Zone, SNNP, Ethiopia",966666985,3878329849,"Ethiopia","SNNP","Gurage-Zone","123-Gurage-Zone","4-Ethiopia","14-SNNP",4,14,123
"9-51-166","Gonda, Gonda, Uttar Pradesh India",2737265015,8199310303,"Uttar Pradesh India","Gonda","Gonda","166-Gonda","9-Uttar Pradesh India","51-Gonda",9,51,166
"4-12-102","Illu Aba Bora-Zone, OROMIA, Ethiopia",,,"Ethiopia","OROMIA","Illu Aba Bora-Zone","102-Illu Aba Bora-Zone","4-Ethiopia","12-OROMIA",4,12,102
"4-14-133","Silti-Zone, SNNP, Ethiopia",7975150108,3827431107,"Ethiopia","SNNP","Silti-Zone","133-Silti-Zone","4-Ethiopia","14-SNNP",4,14,133
"6-64-188","Hinthada, Ayeyarwaddy, Myanmar",17,95,"Myanmar","Ayeyarwaddy","Hinthada","188-Hinthada","6-Myanmar","64-Ayeyarwaddy",6,64,188
"6-62-186","Kyaukme, Shan, Myanmar",2225279999,9647100067,"Myanmar","Shan","Kyaukme","186-Kyaukme","6-Myanmar","62-Shan",6,62,186
"4-12-112","South West Shewa-Zone, OROMIA, Ethiopia",,,"Ethiopia","OROMIA","South West Shewa-Zone","112-South West Shewa-Zone","4-Ethiopia","12-OROMIA",4,12,112
"6-62-177","Taunggyi, Shan, Myanmar",2049489975,9693969727,"Myanmar","Shan","Taunggyi","177-Taunggyi","6-Myanmar","62-Shan",6,62,177
"4-12-114","West Arsi-Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","West Arsi-Zone","114-West Arsi-Zone","4-Ethiopia","12-OROMIA",4,12,114
"4-12-116","Horo Gudru Welega-Zone, OROMIA, Ethiopia",,,"Ethiopia","OROMIA","Horo Gudru Welega-Zone","116-Horo Gudru Welega-Zone","4-Ethiopia","12-OROMIA",4,12,116
"7-30-139","JIGAWA, North West, Northen Nigeria",955950546,8077880859,"Northen Nigeria","North West","JIGAWA","139-JIGAWA","7-Northen Nigeria","30-North West",7,30,139
"7-28-139","JIGAWA, North Central, Northen Nigeria",955950546,8077880859,"Northen Nigeria","North Central","JIGAWA","139-JIGAWA","7-Northen Nigeria","28-North Central",7,28,139
"7-29-139","JIGAWA, North East, Northen Nigeria",,,"Northen Nigeria","North East","JIGAWA","139-JIGAWA","7-Northen Nigeria","29-North East",7,29,139
"4-13-117","Shinile-Zone, Somali, Ethiopia",1017099953,4183750153,"Ethiopia","Somali","Shinile-Zone","117-Shinile-Zone","4-Ethiopia","13-Somali",4,13,117
"4-13-118","Jijiga-Zone, Somali, Ethiopia",9346300125,4279603958,"Ethiopia","Somali","Jijiga-Zone","118-Jijiga-Zone","4-Ethiopia","13-Somali",4,13,118
"7-30-140","KADUNA, North West, Northen Nigeria",955950546,8077880859,"Northen Nigeria","North West","KADUNA","140-KADUNA","7-Northen Nigeria","30-North West",7,30,140
"7-29-140","KADUNA, North East, Northen Nigeria",,,"Northen Nigeria","North East","KADUNA","140-KADUNA","7-Northen Nigeria","29-North East",7,29,140
"7-28-140","KADUNA, North Central, Northen Nigeria",955950546,8077880859,"Northen Nigeria","North Central","KADUNA","140-KADUNA","7-Northen Nigeria","28-North Central",7,28,140
"4-12-122","Asossa-Zone, OROMIA, Ethiopia",8626703262,3963755417,"Ethiopia","OROMIA","Asossa-Zone","122-Asossa-Zone","4-Ethiopia","12-OROMIA",4,12,122
