Column Name,ExplicitDataType,Data Category,Column Description,Hidden Column Flag,Type,Source Column,Table Name,Data Type,Column Type,ID,TableID,InferredName,InferredDataType,State,IsUnique,IsKey,IsNullable,Alignment,TableDetailPosition,IsDefaultLabel,IsDefaultImage,SummarizeBy,ColumnStorageID,ColumnOriginID,Expression,FormatString,IsAvailableInMDX,SortByColumnID,AttributeHierarchyID,ModifiedTime,StructureModifiedTime,RefreshedTime,SystemFlags,KeepUniqueRows,DisplayOrdinal,ErrorMessage,SourceProviderType,DisplayFolder,EncodingHint,RelatedColumnDetailsID
Calendar Year Status,2,,,False,1,Calendar Year Status,Date,Text,Standard Column,95837,648,,19,1,False,False,True,1,-1,False,False,2,95840,,,,True,,95839,2017-05-14 21:34:09.423,2017-05-14 15:14:32.580,1699-12-31 00:00:00.000,0,False,0,,,,0,
Sales Order Line Number,6,,,True,1,Sales Order Line Number,Internet Sales,Whole Number,Standard Column,743278,266,,19,1,False,False,True,1,-1,False,False,3,743282,,,0,True,,743281,2017-12-15 00:06:44.426,2017-12-15 00:06:05.463,1699-12-31 00:00:00.000,0,False,0,,,,0,
Customer Postal Code,2,PostalCode,,False,1,Customer Postal Code,Customer,Text,Standard Column,566475,67530,,19,1,False,False,True,1,-1,False,False,2,566481,,,,True,,566480,2017-11-30 15:08:48.896,2017-10-26 17:24:01.666,1699-12-31 00:00:00.000,0,False,0,,,,0,
Ship Date,9,,,True,1,Ship Date,Reseller Sales,Date,Standard Column,28224,481,,19,1,False,False,True,1,-1,False,False,2,28310,,,m/d/yyyy,True,,28272,2017-08-30 16:43:09.370,2017-12-11 21:58:59.450,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product Key,6,,,True,1,Product Key,Reseller Sales,Whole Number,Standard Column,568486,481,,19,1,False,False,True,1,-1,False,False,2,568492,,,0,True,,568491,2017-10-29 20:02:09.263,2017-10-28 20:31:20.290,1699-12-31 00:00:00.000,0,False,0,,,,0,
Fiscal Yr-Wk,2,,,True,1,Fiscal Yr-Wk,Date,Text,Standard Column,699,648,,19,1,False,False,True,1,-1,False,False,2,1062,,,,True,698.0,869,2017-11-11 18:14:50.863,2017-01-08 23:05:03.356,1699-12-31 00:00:00.000,0,False,0,,,,0,
Employee Vacation Hours,6,,,False,1,Employee Vacation Hours,Employee,Whole Number,Standard Column,391924,2879,,19,1,False,False,True,1,-1,False,False,2,392063,,,0,True,,392005,2017-08-27 18:12:11.936,2017-08-27 18:11:57.506,1699-12-31 00:00:00.000,0,False,0,,,,0,
Trailing 3 Calendar Month Period Sort,6,,,True,1,Trailing 3 Calendar Month Period Sort,Date,Whole Number,Standard Column,764297,648,,19,1,False,False,True,1,-1,False,False,2,764301,,,0,True,,764300,2017-12-17 17:31:47.216,2017-12-17 17:30:51.300,1699-12-31 00:00:00.000,0,False,0,,,,0,
Dummy,6,,,True,1,Dummy,Date Intelligence Metrics,Whole Number,Standard Column,97251,97247,,19,1,False,False,True,1,-1,False,False,3,97264,,,0,True,,97254,2017-10-31 19:30:06.063,2017-05-14 15:18:43.073,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product End Date,9,,,False,1,Product End Date,Product,Date,Standard Column,2020,1995,,19,1,False,False,True,1,-1,False,False,2,2221,,,m/d/yyyy,True,,2122,2017-08-27 22:59:35.483,2017-12-11 21:58:59.450,1699-12-31 00:00:00.000,0,False,0,,,,0,
Currency Key,6,,,True,1,Currency Key,Currency,Whole Number,Standard Column,569680,1924,,19,1,False,False,True,1,-1,False,False,2,569684,,,0,True,,569683,2017-10-28 20:37:15.216,2017-10-28 20:37:05.833,1699-12-31 00:00:00.000,0,False,0,,,,0,
Discount Amount,10,,,True,1,Discount Amount,Reseller Sales,Fixed Decimal Number,Standard Column,497,481,,19,1,False,False,True,1,-1,False,False,2,605,,,,True,,542,2017-08-30 16:43:23.310,2017-01-08 23:05:03.323,1699-12-31 00:00:00.000,0,False,0,,,,0,
Prior Calendar Week Date,9,,,True,1,Prior Calendar Week Date,Date,Date,Standard Column,634648,648,,19,1,False,False,True,1,-1,False,False,2,634653,,,"dddd\, mmmm d\, yyyy",True,,634652,2017-11-14 00:03:25.120,2017-12-11 21:58:59.450,1699-12-31 00:00:00.000,0,False,0,,,,0,
Reseller Order Month,6,,,False,1,Reseller Order Month,Reseller,Whole Number,Standard Column,2677,2651,,19,1,False,False,True,1,-1,False,False,2,2836,,,0,True,,2735,2017-10-28 20:40:15.050,2017-01-08 23:05:03.900,1699-12-31 00:00:00.000,0,False,0,,,,0,
Reseller City State,2,City,,False,1,Reseller City State,Reseller,Text,Standard Column,689398,2651,,19,1,False,False,True,1,-1,False,False,2,689402,,,,True,,689401,2017-11-30 15:23:45.540,2017-11-30 15:23:32.663,1699-12-31 00:00:00.000,0,False,0,,,,0,
Reseller Sales Territory Group,2,,,False,1,Reseller Sales Territory Group,Reseller,Text,Standard Column,2679,2651,,19,1,False,False,True,1,-1,False,False,2,2844,,,,True,,2737,2017-01-08 23:05:07.240,2017-01-08 23:05:03.900,1699-12-31 00:00:00.000,0,False,0,,,,0,
Customer Marital Status,2,,,False,1,Customer Marital Status,Customer,Text,Standard Column,566398,67530,,19,1,False,False,True,1,-1,False,False,2,566404,,,,True,,566403,2017-10-26 17:24:00.153,2017-10-26 17:24:00.153,1699-12-31 00:00:00.000,0,False,0,,,,0,
Day Number in Calendar Month,6,,,False,1,Day Number in Calendar Month,Date,Whole Number,Standard Column,265090,648,,19,1,False,False,True,1,-1,False,False,2,265095,,,0,True,,265094,2017-07-30 11:29:00.926,2017-05-27 18:18:33.290,1699-12-31 00:00:00.000,0,False,0,,,,0,
Date Key,6,,,True,1,Date Key,Date,Whole Number,Standard Column,259140,648,,19,1,False,False,True,1,-1,False,False,2,259145,,,0,True,,259144,2017-09-02 13:12:52.190,2017-05-27 16:21:18.326,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product Weight,8,,,False,1,Product Weight,Product,Decimal Number,Standard Column,2033,1995,,19,1,False,False,True,1,-1,False,False,2,2273,,,,True,,2135,2017-05-01 23:12:15.080,2017-01-08 23:05:03.586,1699-12-31 00:00:00.000,0,False,0,,,,0,
Calendar Yr-Mo,2,,,True,1,Calendar Yr-Mo,Sales and Margin Plan,Text,Standard Column,376486,376482,,19,1,False,False,True,1,-1,False,False,2,376524,,,,True,471835.0,376508,2017-10-08 23:45:00.173,2017-08-25 16:51:51.536,1699-12-31 00:00:00.000,0,False,0,,,,0,
Calendar Quarter in Year,2,,,False,1,Calendar Quarter in Year,Date,Text,Standard Column,265110,648,,19,1,False,False,True,1,-1,False,False,2,265115,,,,True,,265114,2017-10-28 18:14:16.576,2017-05-27 18:18:33.810,1699-12-31 00:00:00.000,0,False,0,,,,0,
CustomerPONumber,2,,,True,1,CustomerPONumber,Reseller Sales,Text,Standard Column,494,481,,19,1,False,False,True,1,-1,False,False,2,593,,,,True,,539,2017-08-30 16:43:19.956,2017-01-08 23:05:03.323,1699-12-31 00:00:00.000,0,False,0,,,,0,
Customer House Owner Indicator,2,,,False,1,Customer House Owner Indicator,Customer,Text,Standard Column,566376,67530,,19,1,False,False,True,1,-1,False,False,2,566382,,,,True,,566381,2017-10-26 17:23:59.726,2017-10-26 17:23:59.726,1699-12-31 00:00:00.000,0,False,0,,,,0,
Employee Login ID,2,,,False,1,Employee Login ID,Employee,Text,Standard Column,2933,2879,,19,1,False,False,True,1,-1,False,False,2,3292,,,,True,,3097,2017-01-08 23:05:07.240,2017-01-08 23:05:03.970,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product Line,2,,,False,1,Product Line,Product,Text,Standard Column,408652,1995,,19,1,False,False,True,1,-1,False,False,2,408659,,,,True,,408658,2017-08-27 23:00:04.696,2017-08-27 23:00:04.696,1699-12-31 00:00:00.000,0,False,0,,,,0,
Employee Status,2,,,False,1,Employee Status,Employee,Text,Standard Column,2936,2879,,19,1,False,False,True,1,-1,False,False,2,3304,,,,True,,3100,2017-01-08 23:05:07.240,2017-01-08 23:05:03.970,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product Finished Goods Indicator,2,,,False,1,Product Finished Goods Indicator,Product,Text,Standard Column,407661,1995,,19,1,False,False,True,1,-1,False,False,2,407702,,,,True,,407691,2017-08-27 22:58:44.886,2017-08-27 22:58:44.886,1699-12-31 00:00:00.000,0,False,0,,,,0,
Prior Calendar Month Date,9,,,True,1,Prior Calendar Month Date,Date,Date,Standard Column,310306,648,,19,1,False,False,True,1,-1,False,False,2,310310,,,m/d/yyyy,True,,310309,2017-11-13 23:48:15.000,2017-12-11 21:58:59.450,1699-12-31 00:00:00.000,0,False,0,,,,0,
Customer Key,6,,,True,1,Customer Key,Customer,Whole Number,Standard Column,566267,67530,,19,1,False,False,True,1,-1,False,False,2,566271,,,0,True,,566270,2017-10-28 20:34:06.946,2017-10-26 17:23:57.833,1699-12-31 00:00:00.000,0,False,0,,,,0,
Reseller Order Frequency,2,,,False,1,Reseller Order Frequency,Reseller,Text,Standard Column,2676,2651,,19,1,False,False,True,1,-1,False,False,2,2832,,,,True,,2734,2017-01-08 23:05:07.240,2017-01-08 23:05:03.900,1699-12-31 00:00:00.000,0,False,0,,,,0,
Customer History Segment Sort,6,,,True,1,Customer History Segment Sort,Customer,Whole Number,Standard Column,566552,67530,,19,1,False,False,True,1,-1,False,False,2,566558,,,0,True,,566557,2018-01-03 23:10:48.963,2017-10-26 17:24:03.046,1699-12-31 00:00:00.000,0,False,0,,,,0,
Customer Date of Birth,9,,,False,1,Customer Date of Birth,Customer,Date,Standard Column,566298,67530,,19,1,False,False,True,1,-1,False,False,2,566305,,,"dddd\, mmmm d\, yyyy",True,,566304,2017-10-26 17:23:58.396,2017-12-11 21:58:59.450,1699-12-31 00:00:00.000,0,False,0,,,,0,
Sales Territory Key,6,,,True,1,Sales Territory Key,Sales Territory,Whole Number,Standard Column,569769,2343,,19,1,False,False,True,1,-1,False,False,2,569773,,,0,True,,569772,2017-10-28 20:37:55.416,2017-10-28 20:37:44.166,1699-12-31 00:00:00.000,0,False,0,,,,0,
Employee Row End Date,9,,,True,1,Employee Row End Date,Employee,Date,Standard Column,332861,2879,,19,1,False,False,True,1,-1,False,False,2,333039,,,"dddd\, mmmm d\, yyyy",True,,332973,2017-09-02 17:05:54.290,2017-12-11 21:58:59.450,1699-12-31 00:00:00.000,0,False,0,,,,0,
Reseller Annual Sales,10,,,False,1,Reseller Annual Sales,Reseller,Fixed Decimal Number,Standard Column,2662,2651,,19,1,False,False,True,1,-1,False,False,2,2776,,,,True,,2720,2017-10-28 20:39:54.720,2017-01-08 23:05:03.900,1699-12-31 00:00:00.000,0,False,0,,,,0,
Full Date Description,2,,,False,1,Full Date Description,Date,Text,Standard Column,265080,648,,19,1,False,False,True,1,-1,False,False,2,265085,,,,True,,265084,2017-05-27 18:18:33.036,2017-05-27 18:18:33.036,1699-12-31 00:00:00.000,0,False,0,,,,0,
Calendar Week in Month,6,,,False,1,Calendar Week in Month,Date,Whole Number,Standard Column,269300,648,,19,1,False,False,True,1,-1,False,False,2,269303,,,0,True,,269302,2017-07-30 11:29:00.926,2017-05-27 18:48:06.333,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product Start Date,9,,,False,1,Product Start Date,Product,Date,Standard Column,2012,1995,,19,1,False,False,True,1,-1,False,False,2,2189,,,m/d/yyyy,True,,2114,2017-08-27 22:59:29.906,2017-12-11 21:58:59.450,1699-12-31 00:00:00.000,0,False,0,,,,0,
Sales Territory URL,2,ImageUrl,,False,1,Sales Territory URL,Sales Territory,Text,Standard Column,330469,2343,,19,1,False,False,True,1,-1,False,False,2,330476,,,,True,,330475,2017-12-19 20:50:38.390,2017-07-30 13:29:05.296,1699-12-31 00:00:00.000,0,False,0,,,,0,
Start Date,9,,,False,1,Start Date,Promotion,Date,Standard Column,1211,1195,,19,1,False,False,True,1,-1,False,False,2,1380,,,m/d/yyyy,True,,1319,2017-08-25 19:32:17.730,2017-12-11 21:58:59.450,1699-12-31 00:00:00.000,0,False,0,,,,0,
Employee Row Start Date,9,,,True,1,Employee Row Start Date,Employee,Date,Standard Column,332853,2879,,19,1,False,False,True,1,-1,False,False,2,333007,,,"dddd\, mmmm d\, yyyy",True,,332965,2017-09-02 17:05:59.136,2017-12-11 21:58:59.450,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product Color,2,,,False,1,Product Color,Product,Text,Standard Column,2009,1995,,19,1,False,False,True,1,-1,False,False,2,2177,,,,True,,2111,2017-01-08 23:05:07.240,2017-01-08 23:05:03.586,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product List Price,10,,,False,1,Product List Price,Product,Fixed Decimal Number,Standard Column,407662,1995,,19,1,False,False,True,1,-1,False,False,2,407706,,,"\$#,0;(\$#,0);\$#,0",True,,407692,2017-11-29 17:40:06.066,2017-08-27 22:58:44.886,1699-12-31 00:00:00.000,0,False,0,,,,0,
Date,9,,,False,1,Date,Date,Date,Standard Column,675,648,,19,1,False,False,True,1,-1,False,False,2,966,,,m/d/yyyy,True,,845,2017-04-30 14:32:05.176,2017-12-11 21:58:59.450,1699-12-31 00:00:00.000,0,False,0,,,,0,
Due Date,9,,,True,1,Due Date,Reseller Sales,Date,Standard Column,28111,481,,19,1,False,False,True,1,-1,False,False,2,28197,,,m/d/yyyy,True,,28159,2017-08-30 16:43:27.653,2017-12-11 21:58:59.450,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product Model,2,,,False,1,Product Model,Product,Text,Standard Column,2032,1995,,19,1,False,False,True,1,-1,False,False,2,2269,,,,True,,2134,2017-01-08 23:05:07.240,2017-01-08 23:05:03.586,1699-12-31 00:00:00.000,0,False,0,,,,0,
Customer Street Address,2,Address,,False,1,Customer Street Address,Customer,Text,Standard Column,566287,67530,,19,1,False,False,True,1,-1,False,False,2,566293,,,,True,,566292,2017-10-28 19:58:10.326,2017-10-26 17:23:58.216,1699-12-31 00:00:00.000,0,False,0,,,,0,
Customer Children,6,,,False,1,Customer Children,Customer,Whole Number,Standard Column,566409,67530,,19,1,False,False,True,1,-1,False,False,2,566415,,,0,True,,566414,2017-12-13 19:45:26.443,2017-10-26 17:24:00.393,1699-12-31 00:00:00.000,0,False,0,,,,0,
Customer Key,6,,,True,1,Customer Key,Internet Sales,Whole Number,Standard Column,568409,266,,19,1,False,False,True,1,-1,False,False,2,568415,,,0,True,,568414,2017-11-03 18:41:09.426,2017-10-28 20:31:18.016,1699-12-31 00:00:00.000,0,False,0,,,,0,
Reseller Key,6,,,True,1,Reseller Key,Reseller Sales,Whole Number,Standard Column,568475,481,,19,1,False,False,True,1,-1,False,False,2,568481,,,0,True,,568480,2017-11-01 20:37:01.693,2017-10-28 20:31:20.103,1699-12-31 00:00:00.000,0,False,0,,,,0,
Freight,10,,,True,1,Freight,Reseller Sales,Fixed Decimal Number,Standard Column,499,481,,19,1,False,False,True,1,-1,False,False,2,613,,,"\$#,0.00;(\$#,0.00);\$#,0.00",True,,544,2017-10-30 17:12:04.806,2017-01-08 23:05:03.323,1699-12-31 00:00:00.000,0,False,0,,,,0,
Customer Title,2,,,False,1,Customer Title,Customer,Text,Standard Column,566276,67530,,19,1,False,False,True,1,-1,False,False,2,566282,,,,True,,566281,2017-10-26 17:23:58.023,2017-10-26 17:23:58.023,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product Subcategory,2,,,True,1,Product Subcategory,Sales and Margin Plan,Text,Standard Column,376488,376482,,19,1,False,False,True,1,-1,False,False,2,376532,,,,True,,376510,2017-08-30 16:38:51.003,2017-08-25 16:51:51.536,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product Style,2,,,False,1,Product Style,Product,Text,Standard Column,583865,1995,,19,1,False,False,True,1,-1,False,False,2,583869,,,,True,,583868,2017-10-30 21:39:36.476,2017-10-30 21:39:36.476,1699-12-31 00:00:00.000,0,False,0,,,,0,
Dummy,6,,,True,1,Dummy,Adventure Works Sales,Whole Number,Standard Column,98702,98698,,19,1,False,False,True,1,-1,False,False,3,98715,,,0,True,,98705,2017-10-31 18:40:12.596,2017-05-14 16:42:25.793,1699-12-31 00:00:00.000,0,False,0,,,,0,
Due Date,9,,,True,1,Due Date,Internet Sales,Date,Standard Column,25929,266,,19,1,False,False,True,1,-1,False,False,2,26015,,,m/d/yyyy,True,,25977,2017-08-30 16:41:05.270,2017-12-11 21:58:59.450,1699-12-31 00:00:00.000,0,False,0,,,,0,
Prior Calendar Year Date,9,,,True,1,Prior Calendar Year Date,Date,Date,Standard Column,100170,648,,19,1,False,False,True,1,-1,False,False,2,100174,,,m/d/yyyy,True,,100173,2017-09-02 13:12:06.163,2017-12-11 21:58:59.450,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product Days to Manufacture,6,,,False,1,Product Days to Manufacture,Product,Whole Number,Standard Column,407659,1995,,19,1,False,False,True,1,-1,False,False,2,407694,,,0,True,,407689,2017-08-27 22:58:58.576,2017-08-27 22:58:44.886,1699-12-31 00:00:00.000,0,False,0,,,,0,
Reseller State Province,2,StateOrProvince,,False,1,Reseller State Province,Reseller,Text,Standard Column,2672,2651,,19,1,False,False,True,1,-1,False,False,2,2816,,,,True,,2730,2017-08-27 18:15:17.706,2017-01-08 23:05:03.900,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product Alternate Key,2,,The natural key of the product.,False,1,Product Alternate Key,Product,Text,Standard Column,167844,1995,,19,1,False,False,True,1,-1,False,False,2,167849,,,,True,,167848,2017-12-12 19:35:29.553,2017-05-19 19:00:24.126,1699-12-31 00:00:00.000,0,False,0,,,,0,
Calendar Year Quarter Number,6,,,False,1,Calendar Year Quarter Number,Date,Whole Number,Standard Column,265072,648,,19,1,False,False,True,1,-1,False,False,2,265075,,,,True,,265074,2017-08-29 23:57:09.893,2017-05-27 18:18:32.740,1699-12-31 00:00:00.000,0,False,0,,,,0,
Sales Territory Region,2,,,False,1,Sales Territory Region,Sales Territory,Text,Standard Column,2350,2343,,19,1,False,False,True,1,-1,False,False,2,2402,,,,True,,2380,2017-01-08 23:05:07.240,2017-01-08 23:05:03.646,1699-12-31 00:00:00.000,0,False,0,,,,0,
Customer Gender,2,,,False,1,Customer Gender,Customer,Text,Standard Column,566365,67530,,19,1,False,False,True,1,-1,False,False,2,566371,,,,True,,566370,2017-10-26 17:23:59.493,2017-10-26 17:23:59.493,1699-12-31 00:00:00.000,0,False,0,,,,0,
Employee Phone,2,,,False,1,Employee Phone,Employee,Text,Standard Column,2932,2879,,19,1,False,False,True,1,-1,False,False,2,3288,,,,True,,3096,2017-01-08 23:05:07.240,2017-01-08 23:05:03.970,1699-12-31 00:00:00.000,0,False,0,,,,0,
Sales Territory Key,6,,,True,1,Sales Territory Key,Reseller Sales,Whole Number,Standard Column,568497,481,,19,1,False,False,True,1,-1,False,False,2,568503,,,0,True,,568502,2017-10-29 20:02:02.706,2017-10-28 20:31:20.506,1699-12-31 00:00:00.000,0,False,0,,,,0,
Promotion Key,6,,,True,1,Promotion Key,Internet Sales,Whole Number,Standard Column,568431,266,,19,1,False,False,True,1,-1,False,False,2,568437,,,0,True,,568436,2017-10-28 21:32:38.950,2017-10-28 20:31:18.386,1699-12-31 00:00:00.000,0,False,0,,,,0,
Calendar Yr-Mo,2,,,False,1,Calendar Yr-Mo,Date,Text,Standard Column,671,648,,19,1,False,False,True,1,-1,False,False,2,950,,,,True,259132.0,841,2017-12-07 20:54:29.716,2017-01-08 23:05:03.356,1699-12-31 00:00:00.000,0,False,0,,,,0,
Employee Key,6,,,True,1,Employee Key,Reseller Sales,Whole Number,Standard Column,568464,481,,19,1,False,False,True,1,-1,False,False,2,568470,,,0,True,,568469,2017-10-29 20:02:14.303,2017-10-28 20:31:19.920,1699-12-31 00:00:00.000,0,False,0,,,,0,
Weekday Abb,2,,,False,1,Weekday Abb,Date,Text,Standard Column,696,648,,19,1,False,False,True,1,-1,False,False,2,1050,,,,True,695.0,866,2017-04-30 15:40:54.470,2017-01-08 23:05:03.356,1699-12-31 00:00:00.000,0,False,0,,,,0,
Customer History Segment,2,,"Four customer segments (1st Year, 2nd Year, 3rd Year, and Legacy) based on first purchase date relative to current date.",False,1,Customer History Segment,Customer,Text,Standard Column,547958,67530,,19,1,False,False,True,1,-1,False,False,2,547962,,,,True,566552.0,547961,2018-01-02 18:06:30.206,2017-10-21 15:23:07.543,1699-12-31 00:00:00.000,0,False,0,,,,0,
Reseller Sales Territory Country,2,Country,,False,1,Reseller Sales Territory Country,Reseller,Text,Standard Column,2678,2651,,19,1,False,False,True,1,-1,False,False,2,2840,,,,True,,2736,2017-08-27 18:16:00.863,2017-01-08 23:05:03.900,1699-12-31 00:00:00.000,0,False,0,,,,0,
Employee Gender,2,,,False,1,Employee Gender,Employee,Text,Standard Column,2919,2879,,19,1,False,False,True,1,-1,False,False,2,3236,,,,True,,3083,2017-01-08 23:05:07.240,2017-01-08 23:05:03.966,1699-12-31 00:00:00.000,0,False,0,,,,0,
Fiscal Yr-Qtr Sort,6,,,True,1,Fiscal Yr-Qtr Sort,Date,Whole Number,Standard Column,705,648,,19,1,False,False,True,1,-1,False,False,2,1086,,,,True,,875,2017-09-02 13:12:23.366,2017-01-08 23:05:03.356,1699-12-31 00:00:00.000,0,False,0,,,,0,
Calendar Yr-Mo,2,,,True,1,Calendar Yr-Mo,BridgeBudgetDate,Text,Standard Column,30047,30043,,19,1,False,False,True,1,-1,False,False,2,30060,,,,True,,30050,2017-09-02 13:13:08.383,2017-04-30 15:26:55.573,1699-12-31 00:00:00.000,0,False,0,,,,0,
Calendar Yr-Mo Sort,6,,,True,1,Calendar Yr-Mo Sort,Sales and Margin Plan,Whole Number,Standard Column,471835,376482,,19,1,False,False,True,1,-1,False,False,3,471841,,,0,True,,471840,2017-10-17 18:24:06.410,2017-10-08 22:29:02.506,1699-12-31 00:00:00.000,0,False,0,,,,0,
Calendar Week Status,2,,,False,1,Calendar Week Status,Date,Text,Standard Column,321285,648,,19,1,False,False,True,1,-1,False,False,2,321391,,,,True,,321372,2017-07-30 11:29:00.926,2017-07-30 11:29:00.926,1699-12-31 00:00:00.000,0,False,0,,,,0,
Weekday Sort,6,,,True,1,Weekday Sort,Date,Whole Number,Standard Column,695,648,,19,1,False,False,True,1,-1,False,False,2,1046,,,0,True,,865,2017-09-02 13:11:58.143,2017-01-08 23:05:03.356,1699-12-31 00:00:00.000,0,False,0,,,,0,
Reseller State Province Code,2,StateOrProvince,,False,1,Reseller State Province Code,Reseller,Text,Standard Column,2673,2651,,19,1,False,False,True,1,-1,False,False,2,2820,,,,True,,2731,2017-08-27 18:15:32.940,2017-01-08 23:05:03.900,1699-12-31 00:00:00.000,0,False,0,,,,0,
DST Flag,2,,,False,1,DST Flag,Date,Text,Standard Column,321294,648,,19,1,False,False,True,1,-1,False,False,2,321427,,,,True,,321381,2017-08-29 23:57:09.893,2017-07-30 11:29:00.926,1699-12-31 00:00:00.000,0,False,0,,,,0,
Reseller City,2,City,,False,1,Reseller City,Reseller,Text,Standard Column,2668,2651,,19,1,False,False,True,1,-1,False,False,2,2800,,,,True,,2726,2017-08-27 18:14:18.883,2017-01-08 23:05:03.900,1699-12-31 00:00:00.000,0,False,0,,,,0,
Product Standard Cost,10,,,True,1,Product Standard Cost,Reseller Sales,Fixed Decimal Number,Standard Column,38413,481,,19,1,False,False,True,1,-1,False,False,2,38416,,,"\$#,0.###############;(\$#,0.###############);\$#,0.###############",True,,38415,2017-08-30 16:43:49.303,2017-05-01 23:06:05.556,1699-12-31 00:00:00.000,0,False,0,,,,0,
Employee Last Name,2,,,False,1,Employee Last Name,Employee,Text,Standard Column,2896,2879,,19,1,False,False,True,1,-1,False,False,2,3144,,,,True,,3060,2017-01-08 23:05:07.240,2017-01-08 23:05:03.966,1699-12-31 00:00:00.000,0,False,0,,,,0,
Employee Base Rate,10,,,False,1,Employee Base Rate,Employee,Fixed Decimal Number,Standard Column,391914,2879,,19,1,False,False,True,1,-1,False,False,2,392023,,,"\$#,0.###############;(\$#,0.###############);\$#,0.###############",True,,391995,2017-08-27 18:12:07.350,2017-08-27 18:11:57.506,1699-12-31 00:00:00.000,0,False,0,,,,0,
Reseller Product Line,2,,,False,1,Reseller Product Line,Reseller,Text,Standard Column,2675,2651,,19,1,False,False,True,1,-1,False,False,2,2828,,,,True,,2733,2017-01-08 23:05:07.240,2017-01-08 23:05:03.900,1699-12-31 00:00:00.000,0,False,0,,,,0,
