numero_boletim,data hora_boletim,data_inclusao,tipo_acidente,desc_tipo_acidente,cod_tempo,desc_tempo,cod_pavimento,pavimento,cod_regional,desc_regional,origem_boletim,local_sinalizado,velocidade_permitida,coordenada_x,coordenada_y,hora_informada,indicador_fatalidade,valor_ups,descricao_ups,hora_boletim,Nr Dia da Semana,Nome Dia da Semana,Período
"2016-018064967-001",2016-08-19 16:42:00.000,2016-08-19 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",16,5,"Sexta-feira","Tarde"
"2016-018540082-001",2016-08-25 19:51:00.000,2016-08-25 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",19,4,"Quinta-feira","Noite"
"2016-020633256-001",2016-09-21 11:38:00.000,2016-09-21 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",11,3,"Quarta-feira","Manhã"
"2016-025737090-001",2016-11-28 00:50:00.000,2016-11-28 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",0,1,"Segunda-feira","Madrugada"
"2016-026674215-001",2016-12-09 18:10:00.000,2016-12-09 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",18,5,"Sexta-feira","Noite"
"2017-036513971-001",2017-11-25 09:07:00.000,2017-11-25 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",9,6,"Sábado","Manhã"
"2017-003591415-001",2017-02-17 07:00:00.000,2017-02-17 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",7,5,"Sexta-feira","Manhã"
"2017-001386772-001",2017-01-19 08:28:00.000,2017-01-19 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",8,4,"Quinta-feira","Manhã"
"2017-003858010-001",2017-02-20 16:45:00.000,2017-02-20 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",16,1,"Segunda-feira","Tarde"
"2017-003343979-001",2017-02-14 08:45:00.000,2017-02-14 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",8,2,"Terça-feira","Manhã"
"2017-032229753-001",2017-10-27 21:06:00.000,2017-10-27 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",21,5,"Sexta-feira","Noite"
"2017-026529060-001",2017-09-21 11:38:00.000,2017-09-21 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",11,4,"Quinta-feira","Manhã"
"2017-020779330-001",2017-08-15 17:35:00.000,2017-08-15 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",17,2,"Terça-feira","Tarde"
"2017-022955600-001",2017-08-29 16:53:00.000,2017-08-29 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",16,2,"Terça-feira","Tarde"
"2017-021779939-001",2017-08-23 10:27:00.000,2017-08-23 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",10,3,"Quarta-feira","Manhã"
"2017-021106261-001",2017-08-17 17:22:00.000,2017-08-17 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",17,4,"Quinta-feira","Tarde"
"2017-028103178-001",2017-10-01 19:00:00.000,2017-10-01 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",19,0,"Domingo","Noite"
"2017-016445212-001",2017-07-17 21:32:00.000,2017-07-17 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",21,1,"Segunda-feira","Noite"
"2017-016858349-001",2017-07-20 11:40:00.000,2017-07-20 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",11,4,"Quinta-feira","Manhã"
"2017-010420782-001",2017-05-18 15:36:00.000,2017-05-18 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",15,4,"Quinta-feira","Tarde"
"2017-006176203-001",2017-03-22 16:30:00.000,2017-03-22 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",16,3,"Quarta-feira","Tarde"
"2017-008563715-001",2017-04-24 08:45:00.000,2017-04-24 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",8,1,"Segunda-feira","Manhã"
"2017-006874841-001",2017-03-31 17:50:00.000,2017-03-31 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",17,5,"Sexta-feira","Tarde"
"2017-007945332-001",2017-04-15 15:55:00.000,2017-04-15 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",15,6,"Sábado","Tarde"
"2017-006794755-001",2017-03-30 19:00:00.000,2017-03-30 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",19,4,"Quinta-feira","Noite"
"2017-009653560-001",2017-05-09 06:57:00.000,2017-05-09 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",6,2,"Terça-feira","Manhã"
"2017-009657031-001",2017-05-09 07:52:00.000,2017-05-09 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",7,2,"Terça-feira","Manhã"
"2018-030843224-001",2018-07-13 09:50:00.000,2018-07-13 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",9,5,"Sexta-feira","Manhã"
"2018-014547254-001",2018-04-02 06:57:00.000,2018-04-02 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",6,1,"Segunda-feira","Manhã"
"2018-015051470-002",2018-04-04 23:31:00.000,2018-04-05 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",23,3,"Quarta-feira","Noite"
"2018-026057313-001",2018-06-13 14:25:00.000,2018-06-13 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",14,3,"Quarta-feira","Tarde"
"2018-026326023-001",2018-06-15 08:25:00.000,2018-06-15 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",8,5,"Sexta-feira","Manhã"
"2018-010188033-001",2018-03-06 17:19:00.000,2018-03-06 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",17,2,"Terça-feira","Tarde"
"2018-027980808-001",2018-06-25 18:08:00.000,2018-06-25 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",18,1,"Segunda-feira","Noite"
"2018-017261928-001",2018-04-18 18:17:00.000,2018-04-18 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",18,3,"Quarta-feira","Noite"
"2018-017489210-001",2018-04-20 07:22:00.000,2018-04-20 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",7,5,"Sexta-feira","Manhã"
"2018-028384391-001",2018-06-28 07:07:00.000,2018-06-28 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",7,4,"Quinta-feira","Manhã"
"2018-028506060-001",2018-06-28 18:11:00.000,2018-06-28 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",18,4,"Quinta-feira","Noite"
"2018-017928816-001",2018-04-23 10:24:00.000,2018-04-23 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",10,1,"Segunda-feira","Manhã"
"2018-012829482-001",2018-03-22 07:31:00.000,2018-03-22 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",7,4,"Quinta-feira","Manhã"
"2018-018198288-001",2018-04-24 19:05:00.000,2018-04-24 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",19,2,"Terça-feira","Noite"
"2018-024083282-001",2018-06-01 09:50:00.000,2018-06-01 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",9,5,"Sexta-feira","Manhã"
"2018-050676140-001",2018-11-13 10:38:00.000,2018-11-13 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",10,2,"Terça-feira","Manhã"
"2018-050696937-001",2018-11-13 13:29:00.000,2018-11-13 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",13,2,"Terça-feira","Tarde"
"2018-032970284-001",2018-07-26 16:55:00.000,2018-07-26 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",16,4,"Quinta-feira","Tarde"
"2018-044311538-001",2018-10-04 07:03:00.000,2018-10-04 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",7,4,"Quinta-feira","Manhã"
"2018-045524223-001",2018-10-11 15:32:00.000,2018-10-11 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",15,4,"Quinta-feira","Tarde"
"2018-045820146-001",2018-10-13 14:45:00.000,2018-10-13 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",14,6,"Sábado","Tarde"
"2018-036098898-001",2018-08-14 19:10:00.000,2018-08-14 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",19,2,"Terça-feira","Noite"
"2018-056411292-001",2018-12-19 16:50:00.000,2018-12-19 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",16,3,"Quarta-feira","Tarde"
"2018-054684602-001",2018-12-08 17:16:00.000,2018-12-08 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",17,6,"Sábado","Tarde"
"2018-055406095-001",2018-12-13 07:48:00.000,2018-12-13 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",25,"PAMPULHA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",7,4,"Quinta-feira","Manhã"
"2016-000918300-001",2016-01-11 15:29:00.000,2016-01-13 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",15,1,"Segunda-feira","Tarde"
"2016-002742750-001",2016-02-05 17:49:00.000,2016-02-05 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",17,5,"Sexta-feira","Tarde"
"2016-004054109-001",2016-02-22 18:06:00.000,2016-02-22 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",18,1,"Segunda-feira","Noite"
"2016-004088984-001",2016-02-23 07:40:00.000,2016-02-23 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",7,2,"Terça-feira","Manhã"
"2016-006096853-001",2016-03-18 22:21:00.000,2016-03-19 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",22,5,"Sexta-feira","Noite"
"2016-008339663-001",2016-04-16 00:02:00.000,2016-04-16 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",0,6,"Sábado","Madrugada"
"2016-011203015-001",2016-05-23 12:57:00.000,2016-05-23 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",12,1,"Segunda-feira","Tarde"
"2016-012111395-001",2016-06-04 10:30:00.000,2016-06-04 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",10,6,"Sábado","Manhã"
"2016-012689021-001",2016-06-11 19:33:00.000,2016-06-12 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",19,6,"Sábado","Noite"
"2016-013292722-001",2016-06-20 09:13:00.000,2016-06-20 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",9,1,"Segunda-feira","Manhã"
"2016-013720179-001",2016-06-25 11:37:00.000,2016-06-25 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",11,6,"Sábado","Manhã"
"2016-013807031-001",2016-06-27 06:47:00.000,2016-06-27 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",6,1,"Segunda-feira","Manhã"
"2016-014365331-001",2016-07-04 06:54:00.000,2016-07-04 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",6,1,"Segunda-feira","Manhã"
"2016-016260810-001",2016-07-27 22:07:00.000,2016-07-28 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",22,3,"Quarta-feira","Noite"
"2016-016269115-001",2016-07-28 07:42:00.000,2016-07-28 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",7,4,"Quinta-feira","Manhã"
"2016-017953550-001",2016-08-18 13:06:00.000,2016-08-18 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",13,4,"Quinta-feira","Tarde"
"2016-020047082-001",2016-09-14 07:52:00.000,2016-09-14 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",7,3,"Quarta-feira","Manhã"
"2016-021218626-001",2016-09-28 17:51:00.000,2016-09-28 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",17,3,"Quarta-feira","Tarde"
"2016-021373412-001",2016-09-30 13:12:00.000,2016-09-30 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",13,5,"Sexta-feira","Tarde"
"2016-021879201-001",2016-10-06 19:25:00.000,2016-10-06 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",19,4,"Quinta-feira","Noite"
"2016-022014516-001",2016-10-08 15:31:00.000,2016-10-08 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",15,6,"Sábado","Tarde"
"2016-022141493-001",2016-09-26 08:00:00.000,2016-10-10 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",8,1,"Segunda-feira","Manhã"
"2016-022836517-001",2016-10-19 16:45:00.000,2016-10-19 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",16,3,"Quarta-feira","Tarde"
"2016-024355074-001",2016-11-09 04:00:00.000,2016-11-09 00:00:00.000," H01002","ABALROAMENTO COM VITIMA",1,"BOM",1,"ASFALTO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO",4,3,"Quarta-feira","Madrugada"
