Facility_ID,Facility_Name,Location_City,Location_State,Location_Zip_Code,Location_County,State_ID
"450064","TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL","ARLINGTON","TX","76012","TARRANT",48
"450068","MEMORIAL HERMANN - TEXAS MEDICAL CENTER","HOUSTON","TX","77030","HARRIS",48
"450072","CHI ST. LUKES' BRAZOSPORT HOSPITAL","LAKE JACKSON","TX","77566","BRAZORIA",48
"450079","BAYLOR SCOTT & WHITE MEDICAL CENTER AT IRVING","IRVING","TX","75061","DALLAS",48
"450080","TITUS REGIONAL MEDICAL CENTER","MOUNT PLEASANT","TX","75455","TITUS",48
"450082","CHRISTUS SPOHN HOSPITAL BEEVILLE","BEEVILLE","TX","78102","BEE",48
"450083","UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL","TYLER","TX","75701","SMITH",48
"450085","GRAHAM REGIONAL MEDICAL CENTER","GRAHAM","TX","76450","YOUNG",48
"450087","MEDICAL CITY NORTH HILLS","NORTH RICHLAND HILLS","TX","76180","TARRANT",48
"450090","NORTH TEXAS MEDICAL CENTER","GAINESVILLE","TX","76240","COOKE",48
"450092","FORT DUNCAN MEDICAL CENTER","EAGLE PASS","TX","78852","MAVERICK",48
"450097","HCA HOUSTON HEALTHCARE SOUTHEAST","PASADENA","TX","77504","HARRIS",48
"450099","PAMPA REGIONAL MEDICAL CENTER","PAMPA","TX","79065","GRAY",48
"450101","BAYLOR SCOTT & WHITE MEDICAL CENTER HILLCREST","WACO","TX","76712","MC LENNAN",48
"450102","CHRISTUS MOTHER FRANCES HOSPITAL","TYLER","TX","75701","SMITH",48
"450104","GUADALUPE REGIONAL MEDICAL CENTER","SEGUIN","TX","78155","GUADALUPE",48
"450107","LAS PALMAS DEL SOL HEALTHCARE","EL PASO","TX","79902","EL PASO",48
"450108","CONNALLY MEMORIAL MEDICAL CENTER","FLORESVILLE","TX","78114","WILSON",48
"450119","SOUTH TEXAS HEALTH SYSTEM","EDINBURG","TX","78539","HIDALGO",48
"450124","DELL SETON  MED CENTER AT THE UNIVERSITY OF TX","AUSTIN","TX","78701","TRAVIS",48
"450128","KNAPP MEDICAL CENTER","WESLACO","TX","78596","HIDALGO",48
"450132","MEDICAL CENTER HOSPITAL","ODESSA","TX","79761","ECTOR",48
"450133","MIDLAND MEMORIAL HOSPITAL","MIDLAND","TX","79701","MIDLAND",48
"450135","TEXAS HEALTH HARRIS METHODIST HOSPITAL FORT WORTH","FORT WORTH","TX","76104","TARRANT",48
"450137","BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER FORT WORTH","FORT WORTH","TX","76104","TARRANT",48
"450144","PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO","ANDREWS","TX","79714","ANDREWS",48
"450147","DE TAR HOSPITAL NAVARRO","VICTORIA","TX","77901","VICTORIA",48
"450148","TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE","CLEBURNE","TX","76033","JOHNSON",48
"450152","ADVENTHEALTH CENTRAL TEXAS","KILLEEN","TX","76542","BELL",48
"450154","VAL VERDE REGIONAL MEDICAL CENTER","DEL RIO","TX","78840","VAL VERDE",48
"450155","HEREFORD REGIONAL MEDICAL CENTER","HEREFORD","TX","79045","DEAF SMITH",48
"450162","GRACE SURGICAL HOSPITAL","LUBBOCK","TX","79412","LUBBOCK",48
"450163","CHRISTUS SPOHN HOSPITAL KLEBERG","KINGSVILLE","TX","78363","KLEBERG",48
"450165","METHODIST HOSPITAL SOUTH","JOURDANTON","TX","78026","ATASCOSA",48
"450176","MISSION REGIONAL MEDICAL CENTER","MISSION","TX","78572","HIDALGO",48
"450184","MEMORIAL HERMANN HOSPITAL SYSTEM","HOUSTON","TX","77008","HARRIS",48
"450187","BAYLOR SCOTT & WHITE MEDICAL CENTER - BRENHAM","BRENHAM","TX","77833","WASHINGTON",48
"450193","CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME","HOUSTON","TX","77030","HARRIS",48
"450194","UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL","JACKSONVILLE","TX","75766","CHEROKEE",48
"450196","PARIS REGIONAL MEDICAL CENTER","PARIS","TX","75460","LAMAR",48
"450200","WADLEY REGIONAL MEDICAL CENTER","TEXARKANA","TX","75501","BOWIE",48
"450203","MEDICAL CITY WEATHERFORD","WEATHERFORD","TX","76086","PARKER",48
"450209","NORTHWEST TEXAS HOSPITAL","AMARILLO","TX","79106","POTTER",48
"450210","EAST TEXAS MEDICAL CENTER - CARTHAGE","CARTHAGE","TX","75633","PANOLA",48
"450211","CHI ST LUKES HEALTH MEMORIAL LUFKIN","LUFKIN","TX","75901","ANGELINA",48
"450213","UNIVERSITY HEALTH SYSTEM","SAN ANTONIO","TX","78229","BEXAR",48
"450222","HCA HOUSTON HEALTHCARE CONROE","CONROE","TX","77304","MONTGOMERY",48
"450229","HENDRICK MEDICAL CENTER","ABILENE","TX","79601","TAYLOR",48
"450231","BAPTIST ST ANTHONY'S HOSPITAL","AMARILLO","TX","79106","POTTER",48
"450235","MEMORIAL HOSPITAL","GONZALES","TX","78629","GONZALES",48
"450236","CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS","SULPHUR SPRINGS","TX","75482","HOPKINS",48
"450237","CHRISTUS SANTA ROSA MEDICAL CENTER","SAN ANTONIO","TX","78229","BEXAR",48
"450241","FAITH COMMUNITY HOSPITAL","JACKSBORO","TX","76458","JACK",48
"450271","WISE REGIONAL HEALTH SYSTEM","DECATUR","TX","76234","WISE",48
"450272","CHRISTUS SANTA ROSA HOSPITAL-SAN MARCOS","SAN MARCOS","TX","78666","HAYS",48
"450289","HARRIS HEALTH SYSTEM","HOUSTON","TX","77054","HARRIS",48
"450292","TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN","KAUFMAN","TX","75142","KAUFMAN",48
"450324","TEXOMA MEDICAL CENTER","DENISON","TX","75020","GRAYSON",48
"450330","OAKBEND MEDICAL CENTER","RICHMOND","TX","77469","FORT BEND",48
"450346","BAPTIST BEAUMONT HOSPITAL","BEAUMONT","TX","77701","JEFFERSON",48
"450347","HUNTSVILLE MEMORIAL HOSPITAL","HUNTSVILLE","TX","77340","WALKER",48
"450351","TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL","STEPHENVILLE","TX","76401","ERATH",48
"450352","HUNT REGIONAL MEDICAL CENTER","GREENVILLE","TX","75401","HUNT",48
"450358","HOUSTON METHODIST HOSPITAL","HOUSTON","TX","77030","HARRIS",48
"450369","CHILDRESS REGIONAL MEDICAL CENTER","CHILDRESS","TX","79201","CHILDRESS",48
"450370","COLUMBUS COMMUNITY HOSPITAL","COLUMBUS","TX","78934","COLORADO",48
"450372","BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE","WAXAHACHIE","TX","75165","ELLIS",48
"450379","DALLAS MEDICAL CENTER","DALLAS","TX","75234","DALLAS",48
"450388","METHODIST HOSPITAL","SAN ANTONIO","TX","78229","BEXAR",48
"450389","UT HEALTH EAST TEXAS ATHENS HOSPITAL","ATHENS","TX","75751","HENDERSON",48
"450395","CHI ST LUKES HEALTH MEMORIAL LIVINGSTON","LIVINGSTON","TX","77351","POLK",48
"450399","BROWNFIELD REGIONAL MEDICAL CENTER","BROWNFIELD","TX","79316","TERRY",48
"450400","PARKVIEW REGIONAL HOSPITAL","MEXIA","TX","76667","LIMESTONE",48
"450403","MEDICAL CENTER OF MCKINNEY","MCKINNEY","TX","75069","COLLIN",48
"450411","EASTLAND MEMORIAL HOSPITAL","EASTLAND","TX","76448","EASTLAND",48
"450419","TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE","AZLE","TX","76020","TARRANT",48
"450422","BAYLOR SCOTT AND WHITE MEDICAL CENTER UPTOWN","DALLAS","TX","75204","DALLAS",48
"450424","HOUSTON METHODIST BAYTOWN HOSPITAL","BAYTOWN","TX","77521","HARRIS",48
"450431","ST DAVID'S MEDICAL CENTER","AUSTIN","TX","78705","TRAVIS",48
"450447","NAVARRO REGIONAL HOSPITAL","CORSICANA","TX","75110","NAVARRO",48
"450451","GLEN ROSE MEDICAL CENTER","GLEN ROSE","TX","76043","SOMERVELL",48
"450460","TYLER COUNTY HOSPITAL","WOODVILLE","TX","75979","TYLER",48
"450462","TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS","DALLAS","TX","75231","DALLAS",48
"450465","MATAGORDA REGIONAL MEDICAL CENTER","BAY CITY","TX","77414","MATAGORDA",48
"450469","WILSON N JONES REGIONAL MEDICAL CENTER","SHERMAN","TX","75091","GRAYSON",48
"450475","UT HEALTH EAST TEXAS HENDERSON HOSPITAL","HENDERSON","TX","75652","RUSK",48
"450484","WOODLAND HEIGHTS MEDICAL CENTER","LUFKIN","TX","75904","ANGELINA",48
"450489","MEDICAL ARTS HOSPITAL","LAMESA","TX","79331","DAWSON",48
"450498","STEPHENS MEMORIAL HOSPITAL","BRECKENRIDGE","TX","76424","STEPHENS",48
"450508","NACOGDOCHES COUNTY HOSPITAL DISTRICT","NACOGDOCHES","TX","75961","NACOGDOCHES",48
"450518","THE MEDICAL CENTER OF SOUTHEAST TEXAS","PORT ARTHUR","TX","77640","JEFFERSON",48
"450537","METHODIST RICHARDSON MEDICAL CENTER","RICHARDSON","TX","75082","COLLIN",48
"450539","COVENANT HOSPITAL PLAINVIEW","PLAINVIEW","TX","79072","HALE",48
"450563","BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE","GRAPEVINE","TX","76051","TARRANT",48
"450565","PALO PINTO GENERAL HOSPITAL","MINERAL WELLS","TX","76067","PALO PINTO",48
"450571","SHANNON MEDICAL CENTER","SAN ANGELO","TX","76903","TOM GREEN",48
"450573","CHRISTUS JASPER MEMORIAL HOSPITAL","JASPER","TX","75951","JASPER",48
"450584","WILBARGER GENERAL HOSPITAL","VERNON","TX","76384","WILBARGER",48
"450586","SEYMOUR HOSPITAL","SEYMOUR","TX","76380","BAYLOR",48
"450587","HENDRICK MEDICAL CENTER BROWNWOOD","BROWNWOOD","TX","76801","BROWN",48
"450596","LAKE GRANBURY MEDICAL CENTER","GRANBURY","TX","76048","HOOD",48
"450597","CUERO REGIONAL HOSPITAL","CUERO","TX","77954","DE WITT",48
"450604","HILL COUNTRY MEMORIAL HOSPITAL INC","FREDERICKSBURG","TX","78624","GILLESPIE",48
"450610","MEMORIAL HERMANN MEMORIAL CITY HOSPITAL","HOUSTON","TX","77024","HARRIS",48
"450617","HCA HOUSTON HEALTHCARE CLEAR LAKE","WEBSTER","TX","77598","HARRIS",48
"450634","MEDICAL CITY DENTON","DENTON","TX","76210","DENTON",48
"450638","HCA HOUSTON HEALTHCARE NORTHWEST","HOUSTON","TX","77090","HARRIS",48
"450639","TEXAS HEALTH HARRIS METHODIST HURST-EULESS-BEDFORD","BEDFORD","TX","76022","TARRANT",48
"450641","NOCONA GENERAL HOSPITAL","NOCONA","TX","76255","MONTAGUE",48
"450643","DOCTORS HOSPITAL OF LAREDO","LAREDO","TX","78041","WEBB",48
"450644","HCA HOUSTON HEALTHCARE WEST","HOUSTON","TX","77082","HARRIS",48
"450647","MEDICAL CITY DALLAS HOSPITAL","DALLAS","TX","75230","DALLAS",48
"450651","MEDICAL CITY PLANO","PLANO","TX","75075","COLLIN",48
"450653","SCENIC MOUNTAIN MEDICAL CENTER, A STEWARD FAMILY H","BIG SPRING","TX","79720","HOWARD",48
"450654","STARR COUNTY MEMORIAL HOSPITAL","RIO GRANDE CITY","TX","78582","STARR",48
"450656","NACOGDOCHES MEDICAL CENTER","NACOGDOCHES","TX","75965","NACOGDOCHES",48
"450658","FREESTONE MEDICAL CENTER","FAIRFIELD","TX","75840","FREESTONE",48
"450659","PARK PLAZA HOSPITAL","HOUSTON","TX","77004","HARRIS",48
"450661","ODESSA REGIONAL MEDICAL CENTER","ODESSA","TX","79761","ECTOR",48
"450662","VALLEY REGIONAL MEDICAL CENTER","BROWNSVILLE","TX","78526","CAMERON",48
"450668","THE HOSPITALS OF PROVIDENCE - SIERRA CAMPUS","EL PASO","TX","79902","EL PASO",48
"450669","MEDICAL CITY LEWISVILLE","LEWISVILLE","TX","75057","DENTON",48
"450670","HCA HOUSTON HEALTHCARE TOMBALL","TOMBALL","TX","77375","HARRIS",48
"450672","MEDICAL CITY FORT WORTH","FORT WORTH","TX","76104","TARRANT",48
"450675","MEDICAL CITY ARLINGTON","ARLINGTON","TX","76015","TARRANT",48
"450677","TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH","BURLESON","TX","76028","JOHNSON",48
"450678","BAYLOR SCOTT & WHITE MEDICAL CENTER-WHITE ROCK","DALLAS","TX","75218","DALLAS",48
"450684","MEMORIAL HERMANN NORTHEAST HOSPITAL","HUMBLE","TX","77338","HARRIS",48
"450686","UNIVERSITY MEDICAL CENTER","LUBBOCK","TX","79415","LUBBOCK",48
"450688","DALLAS REGIONAL MEDICAL CENTER","MESQUITE","TX","75149","DALLAS",48
"450690","THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER","TYLER","TX","75708","SMITH",48
"450694","EL CAMPO MEMORIAL HOSPITAL","EL CAMPO","TX","77437","WHARTON",48
"450697","TEXAS VISTA MEDICAL CENTER","SAN ANTONIO","TX","78224","BEXAR",48
"450698","LAMB HEALTHCARE CENTER","LITTLEFIELD","TX","79339","LAMB",48
"450702","LONGVIEW REGIONAL MEDICAL CENTER","LONGVIEW","TX","75605","GREGG",48
"450709","HOUSTON METHODIST CLEAR LAKE HOSPITAL","NASSAU BAY","TX","77058","HARRIS",48
"450711","RIO GRANDE REGIONAL HOSPITAL","MCALLEN","TX","78503","HIDALGO",48
"450713","ST DAVID'S SOUTH AUSTIN MEDICAL CENTER","AUSTIN","TX","78704","TRAVIS",48
"450718","ROUND ROCK MEDICAL CENTER","ROUND ROCK","TX","78681","WILLIAMSON",48
"450723","METHODIST CHARLTON MEDICAL CENTER","DALLAS","TX","75237","DALLAS",48
"450730","BAYLOR SCOTT AND WHITE MEDICAL CENTER CARROLLTON","CARROLLTON","TX","75010","DENTON",48
"450742","BAYLOR SCOTT AND WHITE MEDICAL CENTER LAKE POINTE","ROWLETT","TX","75088","DALLAS",48
"450743","TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON","DENTON","TX","76201","DENTON",48
"450747","PALESTINE REGIONAL MEDICAL CENTER","PALESTINE","TX","75801","ANDERSON",48
"450755","COVENANT HOSPITAL LEVELLAND","LEVELLAND","TX","79336","HOCKLEY",48
"450771","TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO","PLANO","TX","75093","COLLIN",48
"450774","TOPS SURGICAL SPECIALTY HOSPITAL","HOUSTON","TX","77090","HARRIS",48
"450775","KINGWOOD MEDICAL CENTER","KINGWOOD","TX","77325","HARRIS",48
"450779","TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F","FORT WORTH","TX","76132","TARRANT",48
"450780","METHODIST HOSPITAL AMBULATORY SURGERY","SAN ANTONIO","TX","78240","BEXAR",48
"450788","CORPUS CHRISTI MEDICAL CENTER,THE","CORPUS CHRISTI","TX","78414","NUECES",48
"450801","CHRISTUS ST MICHAEL HEALTH SYSTEM","TEXARKANA","TX","75503","BOWIE",48
"450804","TEXAS ORTHOPEDIC HOSPITAL","HOUSTON","TX","77030","HARRIS",48
"450809","NORTH AUSTIN MEDICAL CENTER","AUSTIN","TX","78758","TRAVIS",48
"450820","HOUSTON METHODIST SUGARLAND HOSPITAL","SUGAR LAND","TX","77479","FORT BEND",48
"450822","MEDICAL CITY LAS COLINAS","IRVING","TX","75039","DALLAS",48
"450825","CORNERSTONE REGIONAL HOSPITAL","EDINBURG","TX","78539","HIDALGO",48
"450827","KELL WEST REGIONAL HOSPITAL","WICHITA FALLS","TX","76310","WICHITA",48
"450828","CHRISTUS SPOHN HOSPITAL ALICE","ALICE","TX","78332","JIM WELLS",48
"450833","ENNIS REGIONAL MEDICAL CENTER","ENNIS","TX","75119","ELLIS",48
"450834","PHYSICIANS CENTRE,THE","BRYAN","TX","77802","BRAZOS",48
"450840","TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN","ALLEN","TX","75013","COLLIN",48
"450844","HOUSTON METHODIST WILLOWBROOK HOSPITAL","HOUSTON","TX","77070","HARRIS",48
"450847","MEMORIAL HERMANN KATY HOSPITAL","KATY","TX","77494","FORT BEND",48
"450848","MEMORIAL HERMANN SUGAR LAND HOSPITAL","SUGAR LAND","TX","77479","FORT BEND",48
"450851","BAYLOR SCOTT & WHITE HEART & VASCULAR HOSPITAL - DALLAS","DALLAS","TX","75226","DALLAS",48
"450853","BAYLOR SCOTT & WHITE MEDICAL CENTER - FRISCO","FRISCO","TX","75034","DENTON",48
"450855","HARLINGEN MEDICAL CENTER","HARLINGEN","TX","78550","CAMERON",48
"450856","SOUTH TEXAS SPINE AND SURGICAL HOSPITAL","SAN ANTONIO","TX","78258","BEXAR",48
"450860","SUGAR LAND SURGICAL HOSPITAL LLP","SUGAR LAND","TX","77479","FORT BEND",48
"450862","ST LUKE'S THE WOODLANDS HOSPITAL","THE WOODLANDS","TX","77384","MONTGOMERY",48
"450864","BAYLOR SCOTT & WHITE TEXAS SPINE & JOINT HOSPITAL","TYLER","TX","75701","SMITH",48
"450865","ASCENSION SETON  SOUTHWEST","AUSTIN","TX","78737","HAYS",48
"450867","ASCENSION SETON NORTHWEST","AUSTIN","TX","78759","TRAVIS",48
"450869","DOCTORS HOSPITAL AT RENAISSANCE","EDINBURG","TX","78539","HIDALGO",48
"450871","ARISE AUSTIN MEDICAL CENTER","AUSTIN","TX","78746","TRAVIS",48
"450872","U S M D HOSPITAL AT ARLINGTON L P","ARLINGTON","TX","76017","TARRANT",48
"450874","BAYLOR SURGICAL HOSPITAL AT LAS COLINAS","IRVING","TX","75063","DALLAS",48
"450875","QUAIL CREEK SURGICAL HOSPITAL","AMARILLO","TX","79124","POTTER",48
"450876","LUBBOCK HEART HOSPITAL LP","LUBBOCK","TX","79416","LUBBOCK",48
"450877","FOUNDATION SURGICAL HOSPITAL OF EL PASO","EL PASO","TX","79936","EL PASO",48
"450880","BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL FORTWORTH","FORT WORTH","TX","76110","TARRANT",48
"450883","BAYLOR MEDICAL CENTER AT TROPHY CLUB","TROPHY CLUB","TX","76262","DENTON",48
"450885","BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL","FRISCO","TX","75035","COLLIN",48
"450888","TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE","SOUTHLAKE","TX","76092","TARRANT",48
"450889","TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT","DALLAS","TX","75231","DALLAS",48
"450890","BAYLOR SCOTT & WHITE MEDICAL CENTER PLANO","PLANO","TX","75093","COLLIN",48
"450891","TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY","PLANO","TX","75093","COLLIN",48
"450893","THE HEART HOSPITAL BAYLOR DENTON","DENTON","TX","76208","DENTON",48
"451303","LIMESTONE MEDICAL CENTER","GROESBECK","TX","76642","LIMESTONE",48
"451308","YOAKUM COUNTY HOSPITAL","DENVER CITY","TX","79323","YOAKUM",48
"451310","BALLINGER MEMORIAL HOSPITAL","BALLINGER","TX","76821","RUNNELS",48
"451319","CHRISTUS MOTHER FRANCES HOSPITAL- JACKSONVILLE","JACKSONVILLE","TX","75766","CHEROKEE",48
"451323","ROLLINS BROOK COMMUNITY HOSPITAL","LAMPASAS","TX","76550","LAMPASAS",48
"451330","MEDINA REGIONAL HOSPITAL","HONDO","TX","78861","MEDINA",48
"451331","COON MEMORIAL HOSPITAL","DALHART","TX","79022","DALLAM",48
"451337","W J MANGOLD MEMORIAL HOSPITAL","LOCKNEY","TX","79241","FLOYD",48
"451341","HASKELL MEMORIAL HOSPITAL","HASKELL","TX","79521","HASKELL",48
"451342","MITCHELL COUNTY HOSPITAL DISTRICT","COLORADO CITY","TX","79512","MITCHELL",48
"451343","ELECTRA MEMORIAL HOSPITAL","ELECTRA","TX","76360","WICHITA",48
"451346","YOAKUM COMMUNITY HOSPITAL","YOAKUM","TX","77995","LAVACA",48
"451347","COLEMAN COUNTY MEDICAL CENTER COMPANY","COLEMAN","TX","76834","COLEMAN",48
"451354","HAMILTON HOSPITAL","OLNEY","TX","76374","YOUNG",48
"451355","COLLINGSWORTH GENERAL HOSPITAL","WELLINGTON","TX","79095","COLLINGSWORTH",48
"451356","MEMORIAL MEDICAL CENTER","PORT LAVACA","TX","77979","CALHOUN",48
"451359","OCHILTREE GENERAL HOSPITAL","PERRYTON","TX","79070","OCHILTREE",48
"451361","SABINE COUNTY HOSPITAL","HEMPHILL","TX","75948","SABINE",48
"451364","OTTO KAISER MEMORIAL HOSPITAL","KENEDY","TX","78119","KARNES",48
"451365","ASCENSION SETON HIGHLAND LAKES","BURNET","TX","78611","BURNET",48
"451367","UT HEALTH EAST TEXAS PITTSBURG HOSPITAL","PITTSBURG","TX","75686","CAMP",48
"451369","GOLDEN PLAINS COMMUNITY HOSPITAL","BORGER","TX","79007","HUTCHINSON",48
"451370","TMC- BONHAM HOSPITAL","BONHAM","TX","75418","FANNIN",48
"451371","ASCENSION SETON EDGAR B DAVIS","LULING","TX","78648","CALDWELL",48
"451372","MULESHOE AREA MEDICAL CENTER","MULESHOE","TX","79347","BAILEY",48
"451373","WARD MEMORIAL HOSPITAL","MONAHANS","TX","79756","WARD",48
"451374","BAYLOR SCOTT & WHITE MEDICAL CENTER - TAYLOR","TAYLOR","TX","76574","WILLIAMSON",48
"451376","LAVACA MEDICAL CENTER","HALLETTSVILLE","TX","77964","LAVACA",48
"451377","REEVES COUNTY HOSPITAL DISTRICT","PECOS","TX","79772","REEVES",48
"451378","BIG BEND REGIONAL MEDICAL CENTER","ALPINE","TX","79830","BREWSTER",48
"451379","CORYELL MEMORIAL HEALTHCARE SYSTEM","GATESVILLE","TX","76528","CORYELL",48
"451380","UT HEALTH EAST TEXAS QUITMAN HOSPITAL","QUITMAN","TX","75783","WOOD",48
"451382","COMANCHE COUNTY MEDICAL CENTER","COMANCHE","TX","76442","COMANCHE",48
"451384","COGDELL MEMORIAL HOSPITAL","SNYDER","TX","79549","SCURRY",48
"451385","GOODALL WITCHER HOSPITAL","CLIFTON","TX","76634","BOSQUE",48
"451386","MEMORIAL HOSPITAL","DUMAS","TX","79029","MOORE",48
"451387","UVALDE MEMORIAL HOSPITAL","UVALDE","TX","78801","UVALDE",48
"451392","HAMILTON GENERAL HOSPITAL","HAMILTON","TX","76531","HAMILTON",48
"670004","ST MARKS MEDICAL CENTER","LA GRANGE","TX","78945","FAYETTE",48
"670005","MEMORIAL HERMANN SURGICAL HOSPITAL KINGWOOD","KINGWOOD","TX","77339","HARRIS",48
"670006","THE HOSPITAL AT WESTLAKE MEDICAL CENTER","AUSTIN","TX","78746","TRAVIS",48
"670008","HOUSTON PHYSICIANS' HOSPITAL","WEBSTER","TX","77598","HARRIS",48
"670023","METHODIST MANSFIELD MEDICAL CENTER","MANSFIELD","TX","76063","TARRANT",48
"670025","BAYLOR SCOTT & WHITE THE HEART HOSPITAL - PLANO","PLANO","TX","75093","COLLIN",48
"670031","CHI ST LUKE'S PATIENTS MEDICAL CENTER","PASADENA","TX","77505","HARRIS",48
"670034","BAYLOR SCOTT & WHITE MEDICAL CENTER - ROUND ROCK","ROUND ROCK","TX","78664","WILLIAMSON",48
"670041","ASCENSION SETON WILLIAMSON","ROUND ROCK","TX","78664","WILLIAMSON",48
"670043","CEDAR PARK REGIONAL MEDICAL CENTER","CEDAR PARK","TX","78613","WILLIAMSON",48
"670044","TEXAS HEALTH PRESBYTERIAN HOSPITAL ROCKWALL","ROCKWALL","TX","75032","ROCKWALL",48
"670047","THE HOSPITALS OF PROVIDENCE - EAST CAMPUS","EL PASO","TX","79938","EL PASO",48
"670049","NORTH CENTRAL SURGICAL CENTER LLP","DALLAS","TX","75231","DALLAS",48
"670053","ST LUKE'S SUGAR LAND HOSPITAL","SUGAR LAND","TX","77478","FORT BEND",48
"670054","FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO","SAN ANTONIO","TX","78240","BEXAR",48
"670055","METHODIST HOSPITAL  STONE OAK","SAN ANTONIO","TX","78258","BEXAR",48
"670056","ASCENSION  SETON HAYS","KYLE","TX","78640","HAYS",48
"670059","CHI ST LUKES LAKESIDE HOSPITAL","THE WOODLANDS","TX","77384","MONTGOMERY",48
"670060","BAYLOR SCOTT AND WHITE MEDICAL CENTER SUNNYVALE","SUNNYVALE","TX","75182","DALLAS",48
"670061","SOUTH TEXAS SURGICAL HOSPITAL","CORPUS CHRISTI","TX","78414","NUECES",48
"670062","BAYLOR EMERGENCY MEDICAL CENTER AT AUBREY","AUBREY","TX","76227","DENTON",48
"670067","BAYLOR SCOTT AND WHITE ORTHOPEDIC AND SPINE HOSPI","ARLINGTON","TX","76015","TARRANT",48
"670068","TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND","FLOWER MOUND","TX","75028","DENTON",48
