DowntimeID,LineID,TeamID,ShiftID,Date,DowntimeName,DowntimeType,Downtime (sec)
772,3,2,"NULL",2018-06-21 00:00:00.000,"Performance","P",176
25,2,1,"NULL",2018-06-21 00:00:00.000,"Performance","P",112
342,1,1,"NULL",2018-06-21 00:00:00.000,"Performance","P",168
410,1,1,"NULL",2018-06-21 00:00:00.000,"Availability","A",115
271,3,3,"NULL",2018-06-21 00:00:00.000,"Availability","A",30
845,3,3,"NULL",2018-06-21 00:00:00.000,"Performance","P",62
920,3,3,"NULL",2018-06-21 00:00:00.000,"Performance","P",157
411,1,3,"NULL",2018-06-21 00:00:00.000,"Availability","A",100
846,2,3,"NULL",2018-06-22 00:00:00.000,"Performance","P",295
462,1,3,"NULL",2018-06-22 00:00:00.000,"Availability","A",152
98,2,3,"NULL",2018-06-22 00:00:00.000,"Availability","A",207
396,3,1,"NULL",2018-06-22 00:00:00.000,"Availability","A",128
787,2,3,"NULL",2018-06-22 00:00:00.000,"Performance","P",215
