Customer,Assesment Date,Distribution Date
B,2018-10-10 00:00:00.000,2019-08-16 00:00:00.000
A,2019-03-25 00:00:00.000,2019-04-30 00:00:00.000
B,2019-09-04 00:00:00.000,2019-09-26 00:00:00.000
A,2018-08-16 00:00:00.000,2019-04-13 00:00:00.000
A,2019-07-01 00:00:00.000,2018-11-05 00:00:00.000
C,2018-05-31 00:00:00.000,2019-09-14 00:00:00.000
A,2019-08-19 00:00:00.000,2018-08-31 00:00:00.000
C,2018-08-25 00:00:00.000,2018-09-27 00:00:00.000
B,2018-10-01 00:00:00.000,2019-03-21 00:00:00.000
B,2019-02-18 00:00:00.000,2019-06-10 00:00:00.000
