DATEKEY,YEAR,MONTH,UNIQUE_CARRIER,EMPFULL,EMPPART,EMPTOTAL,EMPFTE
2019-08-31 00:00:00.000,2019,8,"8C",746,0,746,746
2019-08-31 00:00:00.000,2019,8,"9S",394,0,394,394
2019-08-31 00:00:00.000,2019,8,"AMQ",51,0,51,51
2019-08-31 00:00:00.000,2019,8,"CP",1624,0,1624,1624
2019-08-31 00:00:00.000,2019,8,"G7",1120,0,1120,1120
2019-08-31 00:00:00.000,2019,8,"GFQ",115,0,115,115
2019-08-31 00:00:00.000,2019,8,"KLQ",156,0,156,156
2019-08-31 00:00:00.000,2019,8,"L2",203,0,203,203
2019-08-31 00:00:00.000,2019,8,"M6",687,0,687,687
2019-08-31 00:00:00.000,2019,8,"N8",230,0,230,230
2019-08-31 00:00:00.000,2019,8,"PO",226,0,226,226
2019-08-31 00:00:00.000,2019,8,"U7",394,0,394,394
2019-09-30 00:00:00.000,2019,9,"0WQ",99,0,99,99
2019-09-30 00:00:00.000,2019,9,"1BQ",152,0,152,152
2019-09-30 00:00:00.000,2019,9,"2PQ",70,0,70,70
2019-09-30 00:00:00.000,2019,9,"3EQ",75,0,75,75
2019-09-30 00:00:00.000,2019,9,"8C",745,0,745,745
2019-09-30 00:00:00.000,2019,9,"9S",410,0,410,410
2019-09-30 00:00:00.000,2019,9,"AMQ",50,0,50,50
2019-09-30 00:00:00.000,2019,9,"CP",1589,0,1589,1589
2019-09-30 00:00:00.000,2019,9,"G7",1070,0,1070,1070
2019-09-30 00:00:00.000,2019,9,"GFQ",116,0,116,116
2019-09-30 00:00:00.000,2019,9,"KLQ",158,0,158,158
2019-09-30 00:00:00.000,2019,9,"L2",204,0,204,204
2019-09-30 00:00:00.000,2019,9,"M6",695,0,695,695
2019-09-30 00:00:00.000,2019,9,"N8",230,0,230,230
2019-09-30 00:00:00.000,2019,9,"PO",223,0,223,223
2019-09-30 00:00:00.000,2019,9,"U7",388,0,388,388
2019-10-31 00:00:00.000,2019,10,"0WQ",99,0,99,99
2019-10-31 00:00:00.000,2019,10,"1BQ",143,0,143,143
2019-10-31 00:00:00.000,2019,10,"2PQ",73,0,73,73
2019-10-31 00:00:00.000,2019,10,"3EQ",74,0,74,74
2019-10-31 00:00:00.000,2019,10,"8C",778,0,778,778
2019-10-31 00:00:00.000,2019,10,"9S",419,0,419,419
2019-10-31 00:00:00.000,2019,10,"AMQ",50,0,50,50
2019-10-31 00:00:00.000,2019,10,"CP",1571,0,1571,1571
2019-10-31 00:00:00.000,2019,10,"G7",1070,0,1070,1070
2019-10-31 00:00:00.000,2019,10,"GFQ",114,0,114,114
2019-10-31 00:00:00.000,2019,10,"KLQ",160,0,160,160
2019-10-31 00:00:00.000,2019,10,"L2",204,0,204,204
2019-10-31 00:00:00.000,2019,10,"M6",694,0,694,694
2019-10-31 00:00:00.000,2019,10,"N8",230,0,230,230
2019-10-31 00:00:00.000,2019,10,"PO",222,0,222,222
2019-10-31 00:00:00.000,2019,10,"U7",388,0,388,388
2019-11-30 00:00:00.000,2019,11,"0WQ",99,0,99,99
2019-11-30 00:00:00.000,2019,11,"1BQ",145,0,145,145
2019-11-30 00:00:00.000,2019,11,"2PQ",73,0,73,73
2019-11-30 00:00:00.000,2019,11,"3EQ",70,0,70,70
2019-11-30 00:00:00.000,2019,11,"8C",791,0,791,791
2019-11-30 00:00:00.000,2019,11,"9S",423,0,423,423
2019-11-30 00:00:00.000,2019,11,"AMQ",48,0,48,48
2019-11-30 00:00:00.000,2019,11,"CP",1510,0,1510,1510
2019-11-30 00:00:00.000,2019,11,"G7",1018,0,1018,1018
2019-11-30 00:00:00.000,2019,11,"GFQ",121,0,121,121
2019-11-30 00:00:00.000,2019,11,"KLQ",160,0,160,160
2019-11-30 00:00:00.000,2019,11,"L2",204,0,204,204
2019-11-30 00:00:00.000,2019,11,"M6",694,0,694,694
2019-11-30 00:00:00.000,2019,11,"N8",218,0,218,218
2019-11-30 00:00:00.000,2019,11,"PO",223,0,223,223
2019-11-30 00:00:00.000,2019,11,"U7",388,0,388,388
2019-12-31 00:00:00.000,2019,12,"0WQ",99,0,99,99
2019-12-31 00:00:00.000,2019,12,"1BQ",196,0,196,196
2019-12-31 00:00:00.000,2019,12,"2PQ",73,0,73,73
2019-12-31 00:00:00.000,2019,12,"3EQ",70,0,70,70
2019-12-31 00:00:00.000,2019,12,"8C",800,0,800,800
2019-12-31 00:00:00.000,2019,12,"9S",418,0,418,418
2019-12-31 00:00:00.000,2019,12,"AMQ",49,0,49,49
2019-12-31 00:00:00.000,2019,12,"CP",1438,0,1438,1438
2019-12-31 00:00:00.000,2019,12,"G7",977,0,977,977
2019-12-31 00:00:00.000,2019,12,"GFQ",122,0,122,122
2019-12-31 00:00:00.000,2019,12,"KLQ",160,0,160,160
2019-12-31 00:00:00.000,2019,12,"M6",687,0,687,687
2019-12-31 00:00:00.000,2019,12,"N8",210,0,210,210
2019-12-31 00:00:00.000,2019,12,"PO",222,0,222,222
2019-12-31 00:00:00.000,2019,12,"U7",380,0,380,380
2019-01-31 00:00:00.000,2019,1,"0WQ",154,0,154,154
2019-01-31 00:00:00.000,2019,1,"2PQ",54,0,54,54
2019-01-31 00:00:00.000,2019,1,"8C",588,0,588,588
2019-01-31 00:00:00.000,2019,1,"9S",309,0,309,309
2019-01-31 00:00:00.000,2019,1,"AMQ",50,0,50,50
2019-01-31 00:00:00.000,2019,1,"CP",1748,0,1748,1748
2019-01-31 00:00:00.000,2019,1,"G7",1286,0,1286,1286
2019-01-31 00:00:00.000,2019,1,"GFQ",115,0,115,115
2019-01-31 00:00:00.000,2019,1,"KLQ",148,0,148,148
2019-01-31 00:00:00.000,2019,1,"M6",689,0,689,689
2019-01-31 00:00:00.000,2019,1,"N8",210,0,210,210
2019-01-31 00:00:00.000,2019,1,"PO",208,0,208,208
2019-02-28 00:00:00.000,2019,2,"0WQ",154,0,154,154
2019-02-28 00:00:00.000,2019,2,"2PQ",67,0,67,67
2019-02-28 00:00:00.000,2019,2,"8C",581,0,581,581
2019-02-28 00:00:00.000,2019,2,"9S",321,0,321,321
2019-02-28 00:00:00.000,2019,2,"AMQ",52,0,52,52
2019-02-28 00:00:00.000,2019,2,"CP",1731,0,1731,1731
2019-02-28 00:00:00.000,2019,2,"G7",1268,0,1268,1268
2019-02-28 00:00:00.000,2019,2,"GFQ",113,0,113,113
2019-02-28 00:00:00.000,2019,2,"KLQ",151,0,151,151
2019-02-28 00:00:00.000,2019,2,"M6",684,0,684,684
2019-02-28 00:00:00.000,2019,2,"N8",210,0,210,210
2019-02-28 00:00:00.000,2019,2,"PO",214,0,214,214
2020-01-31 00:00:00.000,2020,1,"0WQ",160,0,160,160
2020-01-31 00:00:00.000,2020,1,"1BQ",136,0,136,136
2020-01-31 00:00:00.000,2020,1,"2PQ",72,0,72,72
2020-01-31 00:00:00.000,2020,1,"3EQ",71,0,71,71
2020-01-31 00:00:00.000,2020,1,"8C",802,0,802,802
2020-01-31 00:00:00.000,2020,1,"9S",416,0,416,416
2020-01-31 00:00:00.000,2020,1,"AMQ",49,0,49,49
2020-01-31 00:00:00.000,2020,1,"CP",1393,0,1393,1393
2020-01-31 00:00:00.000,2020,1,"G7",959,0,959,959
2020-01-31 00:00:00.000,2020,1,"GFQ",115,0,115,115
2020-01-31 00:00:00.000,2020,1,"KLQ",154,0,154,154
2020-01-31 00:00:00.000,2020,1,"M6",676,0,676,676
2020-01-31 00:00:00.000,2020,1,"N8",207,0,207,207
2020-01-31 00:00:00.000,2020,1,"PO",225,0,225,225
2020-01-31 00:00:00.000,2020,1,"U7",380,0,380,380
2020-02-29 00:00:00.000,2020,2,"0WQ",160,0,160,160
2020-02-29 00:00:00.000,2020,2,"1BQ",134,0,134,134
2020-02-29 00:00:00.000,2020,2,"2PQ",74,0,74,74
2020-02-29 00:00:00.000,2020,2,"3EQ",73,0,73,73
2020-02-29 00:00:00.000,2020,2,"8C",825,0,825,825
2020-02-29 00:00:00.000,2020,2,"9S",413,0,413,413
2020-02-29 00:00:00.000,2020,2,"AMQ",49,0,49,49
2020-02-29 00:00:00.000,2020,2,"CP",1311,0,1311,1311
2020-02-29 00:00:00.000,2020,2,"G7",1005,0,1005,1005
2020-02-29 00:00:00.000,2020,2,"GFQ",125,0,125,125
2020-02-29 00:00:00.000,2020,2,"KLQ",157,0,157,157
2020-02-29 00:00:00.000,2020,2,"M6",656,0,656,656
2020-02-29 00:00:00.000,2020,2,"N8",200,0,200,200
2020-02-29 00:00:00.000,2020,2,"PO",225,0,225,225
2020-02-29 00:00:00.000,2020,2,"U7",380,0,380,380
2020-03-31 00:00:00.000,2020,3,"0WQ",160,0,160,160
2020-03-31 00:00:00.000,2020,3,"1BQ",146,0,146,146
2020-03-31 00:00:00.000,2020,3,"2PQ",70,0,70,70
2020-03-31 00:00:00.000,2020,3,"3EQ",78,0,78,78
2020-03-31 00:00:00.000,2020,3,"8C",831,0,831,831
2020-03-31 00:00:00.000,2020,3,"9S",429,0,429,429
2020-03-31 00:00:00.000,2020,3,"AMQ",44,0,44,44
2020-03-31 00:00:00.000,2020,3,"CP",1259,0,1259,1259
2020-03-31 00:00:00.000,2020,3,"G7",1050,0,1050,1050
2020-03-31 00:00:00.000,2020,3,"GFQ",123,0,123,123
2020-03-31 00:00:00.000,2020,3,"KLQ",150,0,150,150
2020-03-31 00:00:00.000,2020,3,"M6",656,0,656,656
2020-03-31 00:00:00.000,2020,3,"N8",200,0,200,200
2020-03-31 00:00:00.000,2020,3,"PO",226,0,226,226
2020-03-31 00:00:00.000,2020,3,"U7",378,0,378,378
2020-04-30 00:00:00.000,2020,4,"0WQ",160,0,160,160
2020-04-30 00:00:00.000,2020,4,"1BQ",146,0,146,146
2020-04-30 00:00:00.000,2020,4,"27Q",605,0,605,605
2020-04-30 00:00:00.000,2020,4,"2PQ",68,0,68,68
2020-04-30 00:00:00.000,2020,4,"3EQ",72,0,72,72
2020-04-30 00:00:00.000,2020,4,"8C",846,0,846,846
2020-04-30 00:00:00.000,2020,4,"9S",454,0,454,454
2020-04-30 00:00:00.000,2020,4,"AMQ",24,0,24,24
2020-04-30 00:00:00.000,2020,4,"CP",917,0,917,917
2020-04-30 00:00:00.000,2020,4,"G7",908,0,908,908
2020-04-30 00:00:00.000,2020,4,"GFQ",116,0,116,116
2020-04-30 00:00:00.000,2020,4,"KLQ",150,0,150,150
2020-04-30 00:00:00.000,2020,4,"M6",669,0,669,669
2020-04-30 00:00:00.000,2020,4,"N8",200,0,200,200
2020-04-30 00:00:00.000,2020,4,"PO",227,0,227,227
2020-04-30 00:00:00.000,2020,4,"U7",380,0,380,380
2020-05-31 00:00:00.000,2020,5,"0WQ",144,0,144,144
2020-05-31 00:00:00.000,2020,5,"1BQ",166,0,166,166
2020-05-31 00:00:00.000,2020,5,"27Q",605,0,605,605
2020-05-31 00:00:00.000,2020,5,"2PQ",68,0,68,68
2020-05-31 00:00:00.000,2020,5,"3EQ",84,0,84,84
2020-05-31 00:00:00.000,2020,5,"8C",853,0,853,853
2020-05-31 00:00:00.000,2020,5,"9S",464,0,464,464
2020-05-31 00:00:00.000,2020,5,"AMQ",24,0,24,24
2020-05-31 00:00:00.000,2020,5,"CP",9,0,9,9
2020-05-31 00:00:00.000,2020,5,"G7",979,0,979,979
2020-05-31 00:00:00.000,2020,5,"GFQ",113,0,113,113
2020-05-31 00:00:00.000,2020,5,"KLQ",150,0,150,150
2020-05-31 00:00:00.000,2020,5,"M6",690,0,690,690
2020-05-31 00:00:00.000,2020,5,"N8",203,0,203,203
2020-05-31 00:00:00.000,2020,5,"OH",4587,0,4587,4587
2020-05-31 00:00:00.000,2020,5,"PO",229,0,229,229
2020-05-31 00:00:00.000,2020,5,"U7",374,0,374,374
2020-06-30 00:00:00.000,2020,6,"0WQ",144,0,144,144
2020-06-30 00:00:00.000,2020,6,"1BQ",216,0,216,216
2020-06-30 00:00:00.000,2020,6,"27Q",603,0,603,603
2020-06-30 00:00:00.000,2020,6,"2PQ",67,0,67,67
2020-06-30 00:00:00.000,2020,6,"3EQ",93,0,93,93
2020-06-30 00:00:00.000,2020,6,"8C",876,0,876,876
2020-06-30 00:00:00.000,2020,6,"9S",495,0,495,495
2020-06-30 00:00:00.000,2020,6,"AMQ",23,0,23,23
2020-06-30 00:00:00.000,2020,6,"CP",7,0,7,7
2020-06-30 00:00:00.000,2020,6,"G7",951,0,951,951
2020-06-30 00:00:00.000,2020,6,"GFQ",113,0,113,113
2020-06-30 00:00:00.000,2020,6,"KLQ",150,0,150,150
2020-06-30 00:00:00.000,2020,6,"M6",699,0,699,699
2020-06-30 00:00:00.000,2020,6,"N8",203,0,203,203
2020-06-30 00:00:00.000,2020,6,"OH",4524,0,4524,4524
2020-06-30 00:00:00.000,2020,6,"PO",231,0,231,231
2020-06-30 00:00:00.000,2020,6,"U7",374,0,374,374
2020-01-31 00:00:00.000,2020,1,"09Q",602,30,632,617
2020-01-31 00:00:00.000,2020,1,"1EQ",39,29,68,54
2020-01-31 00:00:00.000,2020,1,"1TQ",111,57,168,140
2020-01-31 00:00:00.000,2020,1,"27Q",696,1,697,697
2020-01-31 00:00:00.000,2020,1,"2HQ",118,15,133,126
2020-01-31 00:00:00.000,2020,1,"34Q",27,15,42,35
2020-01-31 00:00:00.000,2020,1,"37Q",41,1,42,42
2020-01-31 00:00:00.000,2020,1,"3M",819,120,939,879
2020-01-31 00:00:00.000,2020,1,"5V",296,64,360,328
2020-01-31 00:00:00.000,2020,1,"5X",6136,130,6266,6201
2020-01-31 00:00:00.000,2020,1,"5Y",3132,5,3137,3135
2020-01-31 00:00:00.000,2020,1,"9E",4741,103,4844,4793
2020-01-31 00:00:00.000,2020,1,"AA",95612,11840,107452,101532
2020-01-31 00:00:00.000,2020,1,"ABX",471,2,473,472
2020-01-31 00:00:00.000,2020,1,"AS",16086,1853,17939,17013
2020-01-31 00:00:00.000,2020,1,"B6",16738,4860,21598,19168
2020-01-31 00:00:00.000,2020,1,"DL",80582,10245,90827,85705
2020-01-31 00:00:00.000,2020,1,"EV",2931,16,2947,2939
2020-01-31 00:00:00.000,2020,1,"F9",4957,63,5020,4989
2020-01-31 00:00:00.000,2020,1,"FX",182843,63554,246397,214620
2020-01-31 00:00:00.000,2020,1,"G4",3935,459,4394,4165
2020-01-31 00:00:00.000,2020,1,"GL",339,12,351,345
2020-01-31 00:00:00.000,2020,1,"HA",6024,1423,7447,6736
2020-01-31 00:00:00.000,2020,1,"KAQ",2026,7,2033,2030
2020-01-31 00:00:00.000,2020,1,"KD",389,1,390,390
2020-01-31 00:00:00.000,2020,1,"KH",366,74,440,403
2020-01-31 00:00:00.000,2020,1,"L2",215,3,218,217
2020-01-31 00:00:00.000,2020,1,"MQ",12494,4534,17028,14761
2020-01-31 00:00:00.000,2020,1,"NC",380,2,382,381
2020-01-31 00:00:00.000,2020,1,"NK",8467,372,8839,8653
2020-01-31 00:00:00.000,2020,1,"OH",4758,8,4766,4762
2020-01-31 00:00:00.000,2020,1,"OO",13438,4273,17711,15575
2020-01-31 00:00:00.000,2020,1,"PFQ",63,1,64,64
2020-01-31 00:00:00.000,2020,1,"PM",21,27,48,35
2020-01-31 00:00:00.000,2020,1,"QX",3452,868,4320,3886
2020-01-31 00:00:00.000,2020,1,"SI",14,20,34,24
2020-01-31 00:00:00.000,2020,1,"SY",1532,19,1551,1542
2020-01-31 00:00:00.000,2020,1,"UA",80145,11892,92037,86091
2020-01-31 00:00:00.000,2020,1,"WI",273,71,344,309
2020-01-31 00:00:00.000,2020,1,"WL",157,5,162,160
2020-01-31 00:00:00.000,2020,1,"WN",59914,2302,62216,61065
2020-01-31 00:00:00.000,2020,1,"X9",1051,2,1053,1052
2020-01-31 00:00:00.000,2020,1,"XP",16,9,25,21
2020-01-31 00:00:00.000,2020,1,"YV",3512,14,3526,3519
2020-01-31 00:00:00.000,2020,1,"YX",6103,340,6443,6273
2020-02-29 00:00:00.000,2020,2,"09Q",607,29,636,622
2020-02-29 00:00:00.000,2020,2,"1EQ",39,29,68,54
2020-02-29 00:00:00.000,2020,2,"1TQ",132,36,168,150
2020-02-29 00:00:00.000,2020,2,"27Q",701,1,702,702
2020-02-29 00:00:00.000,2020,2,"2HQ",116,11,127,122
2020-02-29 00:00:00.000,2020,2,"34Q",27,15,42,35
2020-02-29 00:00:00.000,2020,2,"37Q",42,1,43,43
2020-02-29 00:00:00.000,2020,2,"3M",733,111,844,789
2020-02-29 00:00:00.000,2020,2,"5V",287,69,356,322
2020-02-29 00:00:00.000,2020,2,"5X",6135,129,6264,6200
2020-02-29 00:00:00.000,2020,2,"5Y",3123,5,3128,3126
2020-02-29 00:00:00.000,2020,2,"9E",4822,102,4924,4873
2020-02-29 00:00:00.000,2020,2,"AA",96021,11884,107905,101963
2020-02-29 00:00:00.000,2020,2,"ABX",471,2,473,472
2020-02-29 00:00:00.000,2020,2,"AS",16070,1841,17911,16991
2020-02-29 00:00:00.000,2020,2,"B6",16856,4865,21721,19289
2020-02-29 00:00:00.000,2020,2,"DL",81177,10239,91416,86297
2020-02-29 00:00:00.000,2020,2,"EV",2961,16,2977,2969
2020-02-29 00:00:00.000,2020,2,"F9",5036,65,5101,5069
2020-02-29 00:00:00.000,2020,2,"FX",183306,64108,247414,215360
2020-02-29 00:00:00.000,2020,2,"G4",4001,477,4478,4240
2020-02-29 00:00:00.000,2020,2,"GL",326,12,338,332
2020-02-29 00:00:00.000,2020,2,"HA",6067,1435,7502,6785
2020-02-29 00:00:00.000,2020,2,"KAQ",2025,7,2032,2029
2020-02-29 00:00:00.000,2020,2,"KD",380,2,382,381
2020-02-29 00:00:00.000,2020,2,"KH",362,70,432,397
2020-02-29 00:00:00.000,2020,2,"L2",209,3,212,211
2020-02-29 00:00:00.000,2020,2,"MQ",12550,4636,17186,14868
2020-02-29 00:00:00.000,2020,2,"NC",379,2,381,380
2020-02-29 00:00:00.000,2020,2,"NK",8600,375,8975,8788
2020-02-29 00:00:00.000,2020,2,"OH",4802,8,4810,4806
2020-02-29 00:00:00.000,2020,2,"OO",13550,4331,17881,15716
2020-02-29 00:00:00.000,2020,2,"PFQ",60,1,61,61
2020-02-29 00:00:00.000,2020,2,"PM",20,25,45,33
2020-02-29 00:00:00.000,2020,2,"QX",3543,844,4387,3965
2020-02-29 00:00:00.000,2020,2,"SI",14,19,33,24
2020-02-29 00:00:00.000,2020,2,"SY",1546,29,1575,1561
2020-02-29 00:00:00.000,2020,2,"UA",80362,11887,92249,86306
2020-02-29 00:00:00.000,2020,2,"WI",262,74,336,299
2020-02-29 00:00:00.000,2020,2,"WL",171,5,176,174
2020-02-29 00:00:00.000,2020,2,"WN",60092,2344,62436,61264
2020-02-29 00:00:00.000,2020,2,"X9",1104,2,1106,1105
2020-02-29 00:00:00.000,2020,2,"XP",20,7,27,24
2020-02-29 00:00:00.000,2020,2,"YV",3640,13,3653,3647
2020-02-29 00:00:00.000,2020,2,"YX",6164,331,6495,6330
2020-03-31 00:00:00.000,2020,3,"09Q",600,29,629,615
2020-03-31 00:00:00.000,2020,3,"1TQ",133,37,170,152
2020-03-31 00:00:00.000,2020,3,"27Q",709,1,710,710
2020-03-31 00:00:00.000,2020,3,"2HQ",102,19,121,112
2020-03-31 00:00:00.000,2020,3,"34Q",27,15,42,35
2020-03-31 00:00:00.000,2020,3,"37Q",42,1,43,43
2020-03-31 00:00:00.000,2020,3,"3M",729,108,837,783
2020-03-31 00:00:00.000,2020,3,"5V",286,62,348,317
2020-03-31 00:00:00.000,2020,3,"5X",6151,128,6279,6215
2020-03-31 00:00:00.000,2020,3,"5Y",3115,6,3121,3118
2020-03-31 00:00:00.000,2020,3,"9E",4515,83,4598,4557
2020-03-31 00:00:00.000,2020,3,"AA",97373,11735,109108,103241
2020-03-31 00:00:00.000,2020,3,"ABX",470,2,472,471
2020-03-31 00:00:00.000,2020,3,"AS",16062,1850,17912,16987
2020-03-31 00:00:00.000,2020,3,"B6",16745,4801,21546,19146
2020-03-31 00:00:00.000,2020,3,"DL",80179,9801,89980,85080
2020-03-31 00:00:00.000,2020,3,"EV",2986,16,3002,2994
2020-03-31 00:00:00.000,2020,3,"F9",5115,66,5181,5148
2020-03-31 00:00:00.000,2020,3,"FX",182118,62892,245010,213564
2020-03-31 00:00:00.000,2020,3,"G4",4070,417,4487,4279
2020-03-31 00:00:00.000,2020,3,"GL",169,12,181,175
2020-03-31 00:00:00.000,2020,3,"HA",6076,1416,7492,6784
2020-03-31 00:00:00.000,2020,3,"KAQ",2006,7,2013,2010
2020-03-31 00:00:00.000,2020,3,"KD",368,2,370,369
2020-03-31 00:00:00.000,2020,3,"KH",366,71,437,402
2020-03-31 00:00:00.000,2020,3,"L2",206,1,207,207
2020-03-31 00:00:00.000,2020,3,"MQ",12389,4392,16781,14585
2020-03-31 00:00:00.000,2020,3,"NC",414,4,418,416
2020-03-31 00:00:00.000,2020,3,"NK",8858,355,9213,9036
2020-03-31 00:00:00.000,2020,3,"OH",4662,8,4670,4666
2020-03-31 00:00:00.000,2020,3,"OO",15332,5212,20544,17938
2020-03-31 00:00:00.000,2020,3,"PFQ",61,1,62,62
2020-03-31 00:00:00.000,2020,3,"PM",20,25,45,33
2020-03-31 00:00:00.000,2020,3,"QX",3505,833,4338,3922
2020-03-31 00:00:00.000,2020,3,"SI",14,23,37,26
2020-03-31 00:00:00.000,2020,3,"SY",1544,66,1610,1577
2020-03-31 00:00:00.000,2020,3,"UA",80239,11324,91563,85901
2020-03-31 00:00:00.000,2020,3,"WI",263,75,338,301
2020-03-31 00:00:00.000,2020,3,"WL",161,5,166,164
2020-03-31 00:00:00.000,2020,3,"WN",59763,2318,62081,60922
2020-03-31 00:00:00.000,2020,3,"X9",1094,2,1096,1095
2020-03-31 00:00:00.000,2020,3,"XP",20,7,27,24
2020-03-31 00:00:00.000,2020,3,"YV",3669,12,3681,3675
2020-03-31 00:00:00.000,2020,3,"YX",6195,324,6519,6357
2020-04-30 00:00:00.000,2020,4,"09Q",563,29,592,578
2020-04-30 00:00:00.000,2020,4,"1EQ",39,29,68,54
2020-04-30 00:00:00.000,2020,4,"1TQ",136,33,169,153
2020-04-30 00:00:00.000,2020,4,"2HQ",55,5,60,58
2020-04-30 00:00:00.000,2020,4,"34Q",27,15,42,35
2020-04-30 00:00:00.000,2020,4,"37Q",41,1,42,42
2020-04-30 00:00:00.000,2020,4,"3M",790,95,885,838
2020-04-30 00:00:00.000,2020,4,"5V",278,64,342,310
2020-04-30 00:00:00.000,2020,4,"5X",6155,124,6279,6217
2020-04-30 00:00:00.000,2020,4,"5Y",3151,6,3157,3154
2020-04-30 00:00:00.000,2020,4,"9E",4439,92,4531,4485
2020-04-30 00:00:00.000,2020,4,"AA",97083,11496,108579,102831
2020-04-30 00:00:00.000,2020,4,"ABX",462,2,464,463
2020-04-30 00:00:00.000,2020,4,"AS",15840,2010,17850,16845
2020-04-30 00:00:00.000,2020,4,"B6",16756,4778,21534,19145
2020-04-30 00:00:00.000,2020,4,"DL",57498,4512,62010,59754
2020-04-30 00:00:00.000,2020,4,"EV",2986,16,3002,2994
2020-04-30 00:00:00.000,2020,4,"F9",5090,63,5153,5122
2020-04-30 00:00:00.000,2020,4,"FX",180509,62769,243278,211894
2020-04-30 00:00:00.000,2020,4,"G4",4084,413,4497,4291
2020-04-30 00:00:00.000,2020,4,"HA",6065,1411,7476,6771
