Customer,Age,Gender,Own Home,Married,Close,Salary,Children,PrevCust,PrevSpent,Catalogs,AmountSpent
191,24,1,1,1,1,106400,0,"0",0,12,1757
197,68,1,0,0,0,20800,0,"0",0,6,260
201,26,0,0,1,0,33200,1,"0",0,24,1639
203,60,1,0,0,1,17000,0,"0",0,18,581
209,63,0,0,1,1,61000,1,"0",0,18,1611
210,26,0,1,1,1,41600,0,"0",0,18,982
213,60,0,1,0,1,72200,0,"0",0,18,3278
218,31,1,0,0,1,31600,1,"0",0,12,476
223,22,0,1,1,0,79300,0,"0",0,12,2047
233,65,1,1,0,1,52900,1,"0",0,24,2316
238,42,1,0,1,0,64600,2,"0",0,24,2935
239,51,0,0,0,1,14300,1,"0",0,18,458
248,36,0,1,0,1,35900,0,"0",0,12,962
1,73,0,0,0,1,16400,1,"1",246,12,218
2,22,0,1,1,0,108100,3,"1",1622,18,2632
11,63,1,0,1,1,94200,1,"1",1413,18,1211
13,34,1,1,0,1,45900,2,"1",459,12,416
16,49,0,1,1,1,76700,2,"1",767,6,534
17,55,0,1,1,1,79400,3,"1",397,6,200
20,23,1,0,1,1,52600,1,"1",789,12,1052
25,30,1,0,0,1,50700,3,"1",254,6,157
30,38,1,1,1,0,79000,1,"1",1975,18,2279
32,41,1,1,1,1,95800,3,"1",479,12,678
35,53,1,1,0,0,65400,1,"1",1635,12,2290
38,22,1,1,0,1,73700,1,"1",1106,12,1274
43,56,1,1,1,1,107300,2,"1",1073,18,1566
44,44,1,1,1,0,90700,3,"1",1361,24,2265
48,27,0,1,1,1,81700,3,"1",409,24,879
51,51,0,0,0,1,28200,1,"1",423,6,224
52,52,1,1,0,1,56700,2,"1",567,18,536
55,67,1,1,1,0,96800,2,"1",1936,18,2299
59,75,0,1,1,1,63300,2,"1",633,24,679
62,24,0,1,0,0,24000,1,"1",600,6,357
63,74,0,1,0,1,47600,1,"1",714,12,801
65,52,1,0,1,1,117700,1,"1",1766,12,2104
72,58,1,0,1,0,72200,3,"1",1083,18,1811
74,28,0,0,1,1,73000,1,"1",1095,6,490
76,59,0,0,0,0,19800,1,"1",495,24,991
77,21,1,1,0,1,64000,3,"1",320,12,410
80,55,0,0,1,1,63500,1,"1",953,18,1023
81,40,0,1,1,1,118000,3,"1",590,12,581
83,24,1,0,0,0,45100,1,"1",1128,12,794
85,70,0,1,0,1,43900,2,"1",439,6,358
90,37,0,0,1,1,42000,3,"1",210,6,105
92,29,1,0,1,0,20200,1,"1",505,24,500
96,69,0,1,0,1,32600,3,"1",163,12,172
98,51,0,0,0,0,14400,1,"1",360,6,390
112,43,1,1,0,1,76800,1,"1",1152,18,1061
115,25,0,1,0,0,64100,2,"1",1282,24,1595
118,63,1,1,1,0,120000,3,"1",1800,18,1926
120,52,1,1,1,1,83600,2,"1",836,6,538
121,42,0,0,0,1,13400,1,"1",201,12,143
127,56,1,1,1,1,83100,2,"1",831,6,586
129,46,1,1,1,1,71200,1,"1",1068,12,638
131,42,1,0,0,1,59100,2,"1",591,18,580
132,46,0,0,0,0,23100,2,"1",462,6,466
138,61,0,0,1,0,43300,3,"1",650,24,716
141,48,0,0,0,1,10600,2,"1",106,12,114
144,29,0,1,1,1,102500,3,"1",513,12,548
148,47,0,0,0,1,12100,1,"1",182,6,90
149,26,0,0,0,1,23000,3,"1",115,6,79
162,67,0,1,1,1,85500,2,"1",855,18,895
163,43,1,0,1,0,84100,1,"1",2103,24,2362
164,36,0,0,0,1,26600,2,"1",266,24,245
167,22,1,1,1,1,67600,1,"1",1014,18,1172
169,26,0,1,0,0,56000,3,"1",840,6,530
174,53,1,0,1,1,106700,2,"1",1067,6,607
175,33,1,0,0,1,27100,1,"1",407,12,268
177,42,0,1,0,1,49100,2,"1",491,6,474
182,28,0,1,1,1,49700,2,"1",497,18,613
183,52,0,0,0,1,13200,1,"1",198,12,227
184,23,0,0,0,1,14600,3,"1",73,6,47
185,23,1,1,1,1,109900,2,"1",1099,12,870
186,56,0,1,1,1,126300,1,"1",1895,6,1888
187,41,1,1,1,0,100600,3,"1",1509,24,2838
189,71,0,0,0,1,36400,2,"1",364,18,506
190,42,0,0,0,1,22200,2,"1",222,18,275
194,64,1,0,1,1,88000,2,"1",880,6,524
200,55,0,0,0,1,31300,1,"1",470,6,357
204,25,0,0,0,1,26200,1,"1",393,12,381
211,65,0,0,1,1,54200,1,"1",813,6,486
214,38,0,0,0,1,39700,3,"1",199,12,238
216,25,1,1,1,1,96100,3,"1",481,12,316
220,58,0,0,1,1,40900,1,"1",614,18,962
221,23,1,0,1,1,65800,2,"1",658,18,578
224,58,0,0,1,1,40500,2,"1",405,18,622
225,54,0,1,1,1,64100,1,"1",962,18,1332
226,36,0,0,0,1,42000,3,"1",210,18,232
229,71,1,0,0,1,60400,1,"1",906,6,791
234,43,1,0,1,1,53600,1,"1",804,24,973
240,27,1,1,1,1,100000,1,"1",1500,24,2247
241,45,1,1,0,0,48100,2,"1",962,18,961
242,53,1,1,1,1,107300,2,"1",1073,24,1194
244,38,1,1,0,1,62700,2,"1",627,12,704
247,38,0,0,0,1,46500,1,"1",698,24,829
249,67,1,0,1,1,106100,3,"1",531,12,472
250,50,1,1,0,1,49200,3,"1",246,12,210
4,48,1,1,1,1,26800,0,"1",536,12,435
6,29,0,0,0,1,42800,0,"1",856,12,759
8,55,0,1,1,0,80000,0,"1",2400,6,1985
10,37,1,1,1,0,62300,0,"1",1869,24,2644
12,31,1,1,1,0,73800,0,"1",2214,24,3120
18,49,1,1,1,1,66900,0,"1",1338,12,1220
21,27,0,1,0,0,28300,0,"1",849,24,933
23,42,0,0,0,1,28900,0,"1",578,12,830
27,24,0,1,0,1,51300,0,"1",1026,24,1424
28,32,0,1,1,1,74400,0,"1",1488,18,2479
31,32,0,1,0,0,55200,0,"1",1656,18,1714
37,28,1,0,1,1,49800,0,"1",996,12,827
40,68,0,0,1,1,36600,0,"1",732,6,833
41,26,1,1,1,1,51200,0,"1",1024,12,1293
42,65,1,1,0,1,59400,0,"1",1188,18,1699
45,32,1,1,1,0,74400,0,"1",2232,6,1893
46,41,1,1,1,0,15400,0,"1",462,6,297
49,35,0,1,0,1,36100,0,"1",722,12,438
53,55,0,0,0,0,12600,0,"1",378,6,241
54,28,0,1,1,1,21500,0,"1",430,18,445
56,55,0,1,0,0,22000,0,"1",660,12,736
58,34,1,1,0,1,65300,0,"1",1306,18,1443
60,43,0,0,1,1,38200,0,"1",764,6,526
64,36,1,1,1,1,87000,0,"1",1740,24,1594
66,53,0,0,1,0,30100,0,"1",903,12,530
68,68,1,1,0,1,63200,0,"1",1264,24,1932
69,37,1,0,1,0,41600,0,"1",1248,24,1690
71,44,0,1,1,1,74900,0,"1",1498,12,1474
75,41,0,0,0,0,15100,0,"1",453,6,348
79,30,0,1,1,1,82000,0,"1",1640,18,1800
84,56,1,1,1,1,45900,0,"1",918,24,1645
86,40,0,1,1,0,110000,0,"1",3300,24,5564
87,69,1,0,0,1,63000,0,"1",1260,24,1910
88,47,1,0,0,1,61800,0,"1",1236,24,1156
89,55,0,0,1,1,53300,0,"1",1066,24,1598
94,37,1,0,0,1,18700,0,"1",374,12,289
95,29,1,1,0,1,45700,0,"1",914,18,724
97,27,1,1,1,1,96100,0,"1",1922,6,1588
100,35,0,1,1,0,80600,0,"1",2418,24,2840
102,51,0,1,0,1,30300,0,"1",606,18,1062
103,57,1,1,1,1,124900,0,"1",2498,18,4109
107,47,0,1,1,0,128700,0,"1",3861,24,3995
109,35,1,0,1,1,36500,0,"1",730,24,1140
110,27,1,0,0,1,13400,0,"1",268,18,424
113,37,1,0,0,1,21900,0,"1",438,12,276
117,53,0,1,0,1,58200,0,"1",1164,18,981
119,33,1,1,0,1,68400,0,"1",1368,18,1155
122,25,0,1,1,1,54700,0,"1",1094,24,1404
123,64,1,1,1,0,41300,0,"1",1239,24,1985
125,55,0,0,1,1,39500,0,"1",790,12,1006
130,66,1,0,0,1,57800,0,"1",1156,24,1149
133,24,1,0,0,0,10900,0,"1",327,24,407
134,23,0,1,0,0,47500,0,"1",1425,6,847
137,30,0,0,1,0,52500,0,"1",1575,24,2038
139,40,1,1,0,1,66600,0,"1",1332,18,1177
142,23,1,0,0,1,56300,0,"1",1126,6,873
151,54,1,1,1,1,55500,0,"1",1110,18,858
152,58,1,0,0,1,45600,0,"1",912,18,1388
156,26,1,1,1,1,83700,0,"1",1674,24,3344
161,24,0,0,1,1,84800,0,"1",1696,18,2624
165,30,0,0,0,1,42500,0,"1",850,24,918
166,76,1,0,0,0,15300,0,"1",459,24,645
172,22,0,0,1,0,88400,0,"1",2652,18,3632
173,70,1,1,1,1,87200,0,"1",1744,18,1274
178,54,0,1,0,1,35200,0,"1",704,12,607
180,61,0,1,1,0,84100,0,"1",2523,18,2710
188,47,0,0,0,0,11700,0,"1",351,18,540
192,48,0,1,1,1,112800,0,"1",2256,12,1861
193,73,1,1,1,1,95900,0,"1",1918,24,2585
195,48,1,0,0,1,44500,0,"1",890,24,1175
196,42,0,1,1,1,43600,0,"1",872,12,1047
198,25,1,1,1,1,23400,0,"1",468,6,348
199,72,0,0,0,1,46600,0,"1",932,24,906
202,22,0,1,1,0,70400,0,"1",2112,18,2610
205,47,1,1,1,1,108900,0,"1",2178,12,1841
206,73,0,1,0,1,17300,0,"1",346,6,166
207,58,1,0,0,0,51900,0,"1",1557,18,1492
208,40,0,0,0,1,33600,0,"1",672,12,573
212,30,1,0,1,0,66200,0,"1",1986,24,2057
215,43,1,0,1,1,36900,0,"1",738,18,721
217,39,0,0,0,1,11700,0,"1",234,12,193
219,30,0,1,1,1,82800,0,"1",1656,24,3010
222,50,1,0,1,1,39700,0,"1",794,18,1011
227,45,0,1,0,1,32500,0,"1",650,24,883
228,66,0,0,1,1,68600,0,"1",1372,18,1342
230,54,1,1,1,0,130600,0,"1",3918,18,3442
231,47,1,1,1,1,73100,0,"1",1462,6,1582
232,69,0,1,0,1,23800,0,"1",476,6,438
235,24,1,0,0,1,55600,0,"1",1112,6,984
236,44,1,1,1,0,52000,0,"1",1560,18,2545
237,62,0,0,1,1,79500,0,"1",1590,12,1651
243,32,1,1,1,1,85600,0,"1",1712,24,3380
245,35,1,1,0,0,55600,0,"1",1668,18,1786
246,56,1,0,0,1,54700,0,"1",1094,24,1355
