Column1,Game,Average Players,Monthly Peak,Achievements,Categories,Cluster,Release Date,Genres,Positive Ratings,Negative Ratings,Average Playtime,Indie,Years Released,Cluster - Copy
10441,"Far Cry 5",3652.25970588235,8814.47058823529,0,"Multi-player",1,"3/26/2018","Action",23373,11081,1869,0,3,"Crowd"
11111,"Foxhole",446.385111111111,1188.13333333333,0,"Multi-player",1,"7/27/2017","Action",6075,1546,928,1,4,"Crowd"
11707,"GRAV",62.7068493150685,227.753424657534,0,"Multi-player",1,"1/8/2015","Action",3484,3010,509,1,6,"Crowd"
12291,"Half-Life",401.323689320388,959.961165048544,0,"Multi-player",1,"11/8/1998","Action",27755,1100,1300,0,22,"Crowd"
12394,"Half-Life 2: Deathmatch",224.30359223301,447.932038834951,0,"Multi-player",1,"11/1/2004","Action",6020,787,311,0,16,"Crowd"
12497,"Half-Life: Opposing Force",73.7039805825243,161.582524271845,0,"Multi-player",1,"11/1/1999","Action",5250,288,624,0,22,"Crowd"
12935,"Heroes & Generals",3385.20376344086,6941.89247311828,0,"Multi-player",1,"10/18/2016","Action",65856,34416,1752,1,4,"Crowd"
13469,"Hurtworld",1069.17274193548,2444.6935483871,0,"Multi-player",1,"12/3/2015","Action",15574,5362,5439,0,5,"Crowd"
14255,"Knight Online",2672.40049180328,3833.24590163934,0,"Multi-player",1,"1/25/2016","Action",3704,4187,113,0,5,"Crowd"
14797,"Magicite",95.1777380952381,291.47619047619,0,"Multi-player",1,"6/9/2014","Action",5488,936,450,1,7,"Crowd"
15154,"MapleStory 2",1095.41571428571,2177.32142857143,0,"Multi-player",1,"10/4/2018","Action",5143,1750,1273,0,2,"Crowd"
15285,"Medieval Engineers",143.648472222222,362.138888888889,0,"Multi-player",1,"2/19/2015","Action",3233,1376,11517,1,6,"Crowd"
15591,"Metin2",720.366666666667,1353.2,0,"Multi-player",1,"5/8/2017","Action",4526,2741,2225,0,4,"Crowd"
16757,"Naval Action",643.432786885246,1280.91803278689,0,"Multi-player",1,"1/21/2016","Action",3117,2029,1536,1,5,"Crowd"
17504,"Paint the Town Red",134.651846153846,294.8,0,"Multi-player",1,"10/13/2015","Action",4752,489,554,1,6,"Crowd"
18078,"PlanetSide 2",2695.05828282828,5133.34343434343,0,"Multi-player",1,"11/20/2012","Action",35968,7753,1051,0,8,"Crowd"
18893,"Rec Room",266.937857142857,582.428571428571,0,"Multi-player",1,"6/28/2016","Action",3431,225,54,0,5,"Crowd"
18949,"Reign Of Kings",404.186901408451,923.605633802817,0,"Multi-player",1,"12/15/2015","Action",8076,5997,3498,1,5,"Crowd"
20203,"S.T.A.L.K.E.R.: Call of Pripyat",244.151844660194,501.029126213592,0,"Multi-player",1,"2/11/2010","Action",10172,470,1969,0,11,"Crowd"
20306,"S.T.A.L.K.E.R.: Clear Sky",133.523106796117,297.699029126214,0,"Multi-player",1,"9/15/2008","Action",5550,903,716,0,13,"Crowd"
20409,"S.T.A.L.K.E.R.: Shadow of Chernobyl",198.664466019417,467.330097087379,0,"Multi-player",1,"3/20/2007","Action",11039,570,493,0,14,"Crowd"
20605,"Scrap Mechanic",1600.05065573771,3743,0,"Multi-player",1,"1/19/2016","Action",15197,2777,2355,1,5,"Crowd"
20666,"Secret World Legends",377.707352941176,916.117647058824,0,"Multi-player",1,"7/31/2017","Action",4420,2106,645,0,4,"Crowd"
20768,"Serious Sam 2",46.862427184466,192.067961165049,0,"Multi-player",1,"1/31/2012","Action",5353,702,233,1,9,"Crowd"
22068,"Squad",2358.49587301587,5450.03174603175,0,"Multi-player",1,"12/14/2015","Action",23539,6008,3173,1,5,"Crowd"
22337,"STAR WARS Republic Commando",63.0827184466019,184.339805825243,0,"Multi-player",1,"7/8/2009","Action",6392,379,369,0,12,"Crowd"
22440,"Star Wars: Battlefront 2 (Classic, 2005)",477.85427184466,1157.73786407767,0,"Multi-player",1,"7/8/2009","Action",29149,2425,618,0,12,"Crowd"
23236,"Super Animal Royale",321.788461538462,798.269230769231,0,"Multi-player",1,"12/12/2018","Action",1177,38,222,1,2,"Crowd"
23468,"Sven Co-op",337.032459016393,639.196721311475,0,"Multi-player",1,"1/22/2016","Action",12211,1173,407,1,5,"Crowd"
23755,"Team Fortress Classic",68.5149514563107,140.563106796117,0,"Multi-player",1,"4/1/1999","Action",3318,633,277,0,22,"Crowd"
23858,"Teeworlds",57.0325757575758,144.893939393939,0,"Multi-player",1,"8/24/2015","Action",3104,415,112,1,6,"Crowd"
24099,"The Crew",357.466538461538,930.833333333333,0,"Multi-player",1,"12/19/2014","Action",9479,4636,657,0,6,"Crowd"
24438,"The Isle",1713.87161290323,3016.56451612903,0,"Multi-player",1,"12/1/2015","Action",7107,3219,1824,1,5,"Crowd"
24910,"Tom Clancy's Rainbow Six Siege",53466.0456451613,99688.4838709677,0,"Multi-player",1,"12/1/2015","Action",251178,59620,7504,0,5,"Crowd"
24972,"Tom Clancy's The Division",4240.36677966102,10200.4745762712,0,"Multi-player",1,"42498","Action",44499,19992,5500,0,,"Crowd"
26132,"Trailmakers",179.039565217391,482.45652173913,0,"Multi-player",1,"1/30/2018","Action",990,308,112,1,3,"Crowd"
26320,"Tribes: Ascend",141.801553398058,290.349514563107,0,"Multi-player",1,"6/27/2012","Action",6470,1738,128,0,9,"Crowd"
26920,"Vindictus",433.748155339806,953.417475728155,0,"Multi-player",1,"6/22/2012","Action",3646,1460,408,0,9,"Crowd"
27410,"War Robots",514.219142857143,835,0,"Multi-player",1,"4/4/2018","Action",756,929,32,0,3,"Crowd"
28220,"WARMODE",114.572878787879,292.984848484848,0,"Multi-player",1,"8/25/2015","Action",8983,6166,75,0,6,"Crowd"
28286,"Watch_Dogs",476.981219512195,1923.57317073171,0,"Multi-player",1,"5/26/2014","Action",15159,7383,1176,0,7,"Crowd"
28455,"Wolcen: Lords of Mayhem",983.186779661017,3744.52542372881,0,"Multi-player",1,"3/24/2016","Action",2787,1306,2766,1,5,"Crowd"
28813,"Wreckfest",256.05193877551,766.714285714286,0,"Multi-player",1,"6/14/2018","Action",8834,2486,778,1,3,"Crowd"
29183,"Z1 Battle Royale",13731.5493333333,27242.6666666667,0,"Multi-player",1,"2/28/2018","Action",111434,91664,3142,0,3,"Crowd"
8178,"Dota 2",457625.24592233,790969.223300971,0,"Multi-player",2,"7/9/2013","Action",863507,142079,23944,0,8,"Masterpieces"
816,"Anno 2070",431.495339805825,1331.15533980583,0,"Multi-player",1,"11/17/2011","Strategy",5653,3686,879,0,9,"Crowd"
1083,"ArcheAge",864.509230769231,1500.84615384615,0,"Multi-player",1,"3/26/2015","Free to Play",3195,3033,2107,0,6,"Crowd"
2422,"Beasts of Bermuda",582.639615384615,1004.5,0,"Multi-player",1,"12/21/2018","Adventure",311,171,0,1,2,"Crowd"
3641,"Burnout Paradise: The Ultimate Box",137.700873786408,405.961165048544,0,"Multi-player",1,"3/12/2009","Racing",9739,1487,431,0,12,"Crowd"
4958,"Comedy Night",56.0302380952381,173.928571428571,0,"Multi-player",1,"8/24/2017","Casual",4195,1280,256,1,4,"Crowd"
5000,"Company of Heroes - Legacy Edition",165.617572815534,379.067961165049,0,"Multi-player",1,"7/17/2007","Violent",4772,320,175,0,14,"Crowd"
6873,"DCS World Steam Edition",358.300666666667,690.611111111111,0,"Multi-player",1,"8/2/2013","Free to Play",5083,1534,2343,0,8,"Crowd"
8047,"Don't Starve Together",8625.8195945946,19318.8243243243,0,"Multi-player",1,"4/21/2016","Adventure",108601,4206,1070,1,5,"Crowd"
9198,"Eco",780.325609756098,1819.63414634146,0,"Multi-player",1,"2/6/2018","Simulation",1875,639,2197,1,3,"Crowd"
9400,"Empyrion - Galactic Survival",1788.89313432836,3617.85074626866,0,"Multi-player",1,"8/5/2015","Adventure",11061,2777,495,1,6,"Crowd"
10732,"FINAL FANTASY XIV Online",8003.86416666667,13911.7142857143,0,"Multi-player",1,"2/18/2014","Massively Multiplayer",9808,2107,28897,0,7,"Crowd"
10858,"Fishing Planet",1300.74060606061,2470.25757575758,0,"Multi-player",1,"8/28/2017","Free to Play",10585,3330,196,0,4,"Crowd"
12690,"Hearts of Iron III",287.162718446602,570.155339805825,0,"Multi-player",1,"8/7/2009","Strategy",3298,992,809,0,12,"Crowd"
15052,"MapleStory",855.852843137255,1569.74509803922,0,"Multi-player",1,"8/9/2012","Casual",3629,1711,71,0,9,"Crowd"
15636,"Microsoft Flight Simulator X: Steam Edition",2194.62405405405,3776.75675675676,0,"Multi-player",1,"12/18/2014","Simulation",8859,2282,991,0,6,"Crowd"
15837,"Mitos.is: The Game",421.91696969697,878.651515151515,0,"Multi-player",1,"7/29/2015","Free to Play",9463,2158,268,0,6,"Crowd"
15933,"Moonbase Alpha",26.1606796116505,75.2330097087379,0,"Multi-player",1,"7/6/2010","Adventure",9867,1166,54,0,11,"Crowd"
16963,"Neverwinter",2466.93848837209,4379.97674418605,0,"Multi-player",1,"12/5/2013","Adventure",18517,5297,1273,0,7,"Crowd"
17710,"Pavlov VR",391.723469387755,1156.81632653061,0,"Multi-player",1,"2/27/2017","Violent",2952,355,362,1,4,"Crowd"
17861,"Phasmophobia",23042.4375,54112.75,0,"Multi-player",1,"44092","Horror",184139,29417,16179,0,,"Crowd"
18594,"Project Zomboid",775.331494252874,1542.5632183908,0,"Multi-player",1,"11/8/2013","RPG",17273,2606,658,1,7,"Crowd"
19083,"Riders of Icarus",899.317894736842,1728.21052631579,0,"Multi-player",1,"7/6/2016","Adventure",5306,2741,1859,0,5,"Crowd"
19140,"RIFT",765.83213592233,1459.68932038835,0,"Multi-player",1,"3/1/2011","Free to Play",6885,2326,4104,0,10,"Crowd"
19760,"Rome: Total War",1013.46883495146,1877.29126213592,0,"Multi-player",1,"39322","Strategy",7806,562,897,0,,"Crowd"
22226,"Star Trek Online",1557.40417475728,2980.7572815534,0,"Multi-player",1,"1/31/2012","Free to Play",7639,2391,2514,0,9,"Crowd"
22839,"Stonehearth",280.525441176471,592.588235294118,0,"Multi-player",1,"7/25/2018","Simulation",5242,1719,644,1,3,"Crowd"
22907,"Stormworks: Build and Rescue",700.332888888889,1398.37777777778,0,"Multi-player",1,"2/28/2018","Simulation",1478,171,0,0,3,"Crowd"
23133,"Stronghold Crusader HD",395.217475728155,852.019417475728,0,"Multi-player",1,"10/21/2013","Simulation",4079,170,247,0,8,"Crowd"
23365,"Supreme Commander: Forged Alliance",394.783106796116,841.281553398058,0,"Multi-player",1,"9/28/2011","Strategy",4969,174,803,0,10,"Crowd"
23611,"Tactical Monsters Rumble Arena",252.252682926829,388.829268292683,0,"Multi-player",1,"1/31/2018","Adventure",3480,387,229,1,3,"Crowd"
24177,"The Elder Scrolls: Legends",822.199772727273,1489.06818181818,0,"Multi-player",1,"5/31/2017","Free to Play",5365,2099,448,0,4,"Crowd"
25402,"Total War: MEDIEVAL II - Definitive Edition",2280.1413592233,4066.52427184466,0,"Multi-player",1,"11/15/2006","Strategy",10270,605,469,0,14,"Crowd"
26029,"TrackMania Nations Forever",244.768834951456,537.320388349515,0,"Multi-player",1,"4/16/2008","Racing",8252,1244,902,0,13,"Crowd"
26251,"Tree of Life",142.250289855072,365.188405797101,0,"Multi-player",1,"8/17/2017","Massively Multiplayer",4433,2203,4866,1,4,"Crowd"
26817,"Victoria II",566.17359223301,1099.50485436893,0,"Multi-player",1,"8/30/2010","Strategy",4743,632,2580,0,11,"Crowd"
27191,"VRChat",6343.98081632653,10443.8163265306,0,"Multi-player",1,"2/1/2017","Adventure",25818,3323,1351,0,4,"Crowd"
27621,"Wargame: Red Dragon",858.999518072289,1680.73493975904,0,"Multi-player",1,"4/17/2014","Strategy",7949,1137,1702,0,7,"Crowd"
27704,"Warhammer 40,000: Dawn of War - Game of the Year Edition",99.1429126213592,294.407766990291,0,"Multi-player",1,"8/7/2007","Strategy",3485,206,309,0,14,"Crowd"
27807,"Warhammer 40,000: Dawn of War - Soulstorm",538.401262135922,1057.22330097087,0,"Multi-player",1,"3/7/2008","Strategy",4887,286,1433,0,13,"Crowd"
28554,"Worm.is: The Game",89.1108771929825,199.701754385965,0,"Multi-player",1,"5/4/2016","Casual",3550,879,68,0,5,"Crowd"
28611,"Worms Armageddon",106.328039215686,321.225490196078,0,"Multi-player",1,"3/19/2013","Strategy",3517,231,246,0,8,"Crowd"
1,"100% Orange Juice",205.980120481928,577.578313253012,152,"Multi-player",1,"5/16/2014","Strategy",10605,794,1678,1,7,"Crowd"
84,"7 Days to Die",9498.89255813953,17396.1744186047,43,"Multi-player",1,"12/13/2013","Nudity",60718,16905,2953,1,7,"Crowd"
170,"Age of Empires II: Definitive Edition",14660.456,27109.6,154,"Multi-player",1,"43783","Strategy",58190,4112,1604,0,,"Crowd"
185,"Age of Empires III: Definitive Edition",3586.335,7195.5,42,"Multi-player",1,"44119","Simulation",9154,1801,902,0,,"Crowd"
189,"Age of Mythology: Extended Edition",1070.27012195122,2500.5,70,"Multi-player",1,"5/8/2014","Simulation",9336,1577,668,0,7,"Crowd"
271,"Age of Wonders III",707.008265306122,1914.10204081633,74,"Multi-player",1,"3/31/2014","RPG",4479,1132,984,0,7,"Crowd"
1723,"Atlas Reactor",202.355818181818,460.472727272727,121,"Multi-player",1,"10/4/2016","Free to Play",3992,890,1240,0,4,"Crowd"
1827,"Baldur's Gate II: Enhanced Edition",398.310574712644,773.298850574713,93,"Multi-player",1,"11/15/2013","RPG",2600,423,1163,0,7,"Crowd"
1914,"Baldur's Gate: Enhanced Edition",469.857551020408,1032.38775510204,129,"Multi-player",1,"1/16/2013","RPG",4148,688,569,0,8,"Crowd"
2448,"Besiege",669.8575,1539.27777777778,26,"Multi-player",1,"1/28/2015","Simulation",25880,1364,644,1,6,"Crowd"
3215,"Blood Bowl 2",362.943218390805,941.298850574713,31,"Multi-player",1,"9/22/2015","Sports",2734,1085,1433,0,6,"Crowd"
4516,"Card Hunter",161.507164179104,297.835820895522,50,"Multi-player",1,"7/13/2015","Free to Play",3146,499,655,0,6,"Crowd"
4583,"CarX Drift Racing Online",371.174651162791,770.953488372093,36,"Multi-player",1,"11/17/2017","Massively Multiplayer",3048,374,608,0,3,"Crowd"
4726,"CastleMiner Z",44.9753571428571,123.571428571429,31,"Multi-player",1,"2/3/2014","Violent",4478,1831,192,1,7,"Crowd"
5103,"Company of Heroes 2",4544.715,10881.8043478261,452,"Multi-player",1,"6/25/2013","Strategy",32548,12038,1846,0,8,"Crowd"
5339,"Cossacks 3",629.079814814815,1632.83333333333,103,"Multi-player",1,"9/20/2016","Strategy",4298,1432,596,0,5,"Crowd"
5805,"Craft The World",450.342068965517,1111.11494252874,75,"Multi-player",1,"11/24/2014","RPG",6946,984,1891,1,6,"Crowd"
6024,"Crusader Kings II",4403.14368932039,9460.8932038835,161,"Multi-player",1,"2/14/2012","RPG",31668,4187,1366,0,9,"Crowd"
6127,"Crusader Kings III",13918.982,26298.8,66,"Multi-player",1,"44075","RPG",29485,4215,1366,0,,"Crowd"
7762,"DiRT 4",261.531224489796,715.959183673469,48,"Multi-player",1,"6/8/2017","Racing",3779,1923,873,0,4,"Crowd"
7811,"DiRT Rally",546.829275362319,1765.3768115942,170,"Multi-player",1,"12/7/2015","Racing",17632,2496,488,0,5,"Crowd"
7880,"DiRT Rally 2.0",916.499565217391,1979.13043478261,54,"Multi-player",1,"2/25/2019","Racing",1017,670,104,0,2,"Crowd"
8885,"Dungeon of the Endless",185.859069767442,621.860465116279,33,"Multi-player",1,"10/27/2014","Adventure",7423,1046,648,1,6,"Crowd"
8971,"Dungeons 3",262.43,847.104166666667,60,"Multi-player",1,"10/13/2017","Simulation",8974,528,559,0,4,"Crowd"
9194,"EA SPORTS FIFA 21",16246.71,30965.25,36,"Multi-player",1,"44113","Simulation",16481,5418,8405,0,,"Crowd"
9467,"Endless Legend",735.025,2152.84146341463,139,"Multi-player",1,"9/18/2014","RPG",10015,2107,1045,0,7,"Crowd"
9549,"Europa Universalis IV",9618.25936170213,18277.670212766,295,"Multi-player",1,"8/13/2013","Simulation",40346,8254,8138,0,8,"Crowd"
9849,"F1 2012",216.038811881188,571.910891089109,49,"Multi-player",1,"9/19/2012","Racing",1447,176,1623,0,9,"Crowd"
9950,"F1 2014",99.0394845360825,283.659793814433,49,"Multi-player",1,"10/16/2014","Racing",1113,317,1508,0,6,"Crowd"
10047,"F1 2015",181.148,1775.32857142857,45,"Multi-player",1,"7/9/2015","Racing",3834,2720,305,0,6,"Crowd"
10117,"F1 2016",325.920178571429,951.107142857143,49,"Multi-player",1,"8/18/2016","Racing",3237,612,1397,0,5,"Crowd"
10173,"F1 2017",546.963571428571,1510.09523809524,50,"Multi-player",1,"8/24/2017","Racing",3375,685,1164,0,4,"Crowd"
10215,"F1 2018",914.961,2396.03333333333,50,"Multi-player",1,"8/23/2018","Racing",2491,630,3824,0,3,"Crowd"
10245,"Factorio",8016.09583333333,14459.1666666667,38,"Multi-player",1,"2/25/2016","Casual",47918,723,10087,1,5,"Crowd"
10305,"Faeria",245.166440677966,529.152542372881,59,"Multi-player",1,"3/8/2017","Adventure",4683,882,2201,1,4,"Crowd"
10475,"Farm Together",1126.46055555556,2161.02777777778,45,"Multi-player",1,"10/11/2018","Casual",4022,407,35,1,2,"Crowd"
10511,"Farming Simulator 15",1288.68948717949,3060.32051282051,16,"Multi-player",1,"10/30/2014","Simulation",10219,1066,1902,0,6,"Crowd"
10589,"Farming Simulator 17",3561.68109090909,8088.36363636364,17,"Multi-player",1,"10/24/2016","Simulation",11211,1025,4377,0,4,"Crowd"
10644,"Farming Simulator 19",12593.7255555556,26763.7407407407,23,"Multi-player",1,"11/19/2018","Simulation",5738,1708,1164,0,2,"Crowd"
10816,"FINAL FANTASY XV WINDOWS EDITION",1343.53357142857,3213.07142857143,97,"Multi-player",1,"3/6/2018","RPG",13789,4046,851,0,3,"Crowd"
11005,"Football Manager 2018",13760.9256410256,24188.4615384615,77,"Multi-player",1,"11/9/2017","Simulation",4399,2466,19379,0,3,"Crowd"
11044,"Football Manager 2020",48717.0966666667,87148,77,"Multi-player",1,"43781","Simulation",4105,2040,18644,0,,"Crowd"
11059,"Football Manager 2021",53707.3066666667,91653,77,"Multi-player",1,"44158","Simulation",3510,1541,5941,0,,"Crowd"
11062,"For The King",684.448979591837,1939.67346938776,72,"Multi-player",1,"4/19/2018","Adventure",4790,920,1536,1,3,"Crowd"
11213,"Galactic Civilizations III",519.174268292683,1197.10975609756,98,"Multi-player",1,"5/14/2015","Strategy",6051,1891,199,1,6,"Crowd"
11372,"Garry's Mod",26353.0160194175,48811.0970873786,29,"Multi-player",1,"11/29/2006","Simulation",363721,16433,12422,1,14,"Crowd"
11577,"Governor of Poker 3",433.172333333333,778.233333333333,32,"Multi-player",1,"2/19/2016","Casual",2163,866,1848,0,5,"Crowd"
11780,"Gremlins, Inc.",133.72015625,493.25,100,"Multi-player",1,"3/10/2016","Strategy",3232,550,193,1,5,"Crowd"
11844,"GRID 2",322.156413043478,1263.52173913043,60,"Multi-player",1,"5/27/2013","Racing",11953,3009,340,0,8,"Crowd"
11936,"GRID Autosport",168.419024390244,485.19512195122,60,"Multi-player",1,"6/26/2014","Racing",4969,1610,228,0,7,"Crowd"
12793,"Hearts of Iron IV",13916.7853448276,25175.3620689655,92,"Multi-player",1,"6/6/2016","Simulation",34711,5251,9413,0,5,"Crowd"
13028,"Heroes of Might & Magic III - HD Edition",814.408888888889,1702.63888888889,13,"Multi-player",1,"1/28/2015","RPG",4673,2161,1854,0,6,"Crowd"
13203,"Homeworld Remastered Collection",266.912054794521,936.547945205479,34,"Multi-player",1,"2/25/2015","Simulation",5377,827,353,0,6,"Crowd"
13429,"Hunt: Showdown",3438.77425,8194.975,37,"Multi-player",1,"43704","Hunting",57015,11148,1101,0,,"Crowd"
13612,"Imperator: Rome",966.627142857143,2439.28571428571,72,"Multi-player",1,"43580","Simulation",14561,12411,1204,0,,"Crowd"
14731,"Magic Duels",1445.37787878788,2240.84848484848,49,"Multi-player",1,"7/29/2015","Free to Play",16599,6912,1854,0,6,"Crowd"
16036,"Mordheim: City of the Damned",251.534266666667,603.32,109,"Multi-player",1,"11/19/2015","RPG",3596,1614,1441,0,5,"Crowd"
16284,"Mount Your Friends",37.4373417721519,156.683544303797,8,"Multi-player",1,"7/29/2014","Simulation",6341,329,150,1,7,"Crowd"
16818,"NBA 2K17",1653.02886792453,3050.98113207547,49,"Multi-player",1,"9/20/2016","Sports",4353,3893,4672,0,5,"Crowd"
16871,"NBA 2K18",3142.7156097561,6207.51219512195,50,"Multi-player",1,"9/14/2017","Simulation",4832,12067,3499,0,4,"Crowd"
16912,"NBA 2K19",6017.74448275862,11984.724137931,50,"Multi-player",1,"9/6/2018","Simulation",3093,8080,2901,0,3,"Crowd"
16941,"NBA 2K20",15229.3647058824,28891.4117647059,50,"Multi-player",1,"43713","Simulation",22908,21005,3499,0,,"Crowd"
16958,"NBA 2K21",8951.144,16772.8,50,"Multi-player",1,"44078","Simulation",6723,11048,2901,0,,"Crowd"
17318,"Northgard",1213.28679245283,3270.1320754717,133,"Multi-player",1,"3/7/2018","Simulation",12214,2314,601,1,3,"Crowd"
18012,"Planetary Annihilation: TITANS",272.95303030303,786.69696969697,19,"Multi-player",1,"8/18/2015","Strategy",5373,1375,408,0,6,"Crowd"
18458,"Project CARS",444.064210526316,1072.29473684211,45,"Multi-player",1,"3/15/2015","Racing",8618,2720,232,0,6,"Crowd"
18553,"Project CARS 2",1001.72609756098,2241.73170731707,47,"Multi-player",1,"9/21/2017","Racing",4190,1747,121,0,4,"Crowd"
19020,"rFactor 2",386.054603174603,920.904761904762,25,"Multi-player",1,"11/12/2015","Racing",1057,227,0,0,5,"Crowd"
19243,"Rise of Nations: Extended Edition",536.302875,1106.6375,38,"Multi-player",1,"6/12/2014","Simulation",5125,473,2379,0,7,"Crowd"
19946,"Russian Fishing 4",2892.32375,5230.34375,114,"Multi-player",1,"6/15/2018","Adventure",2103,1062,5647,0,3,"Crowd"
21148,"Sid Meier's Civilization V",27884.735631068,49278.5048543689,286,"Multi-player",1,"9/23/2010","Strategy",129030,5565,4760,0,11,"Crowd"
21251,"Sid Meier's Civilization VI",25842.305,46108.9423076923,307,"Multi-player",1,"42664","Strategy",124015,6065,4341,0,,"Crowd"
21303,"Sid Meier's Civilization: Beyond Earth",1447.75789473684,3645.55263157895,90,"Multi-player",1,"10/23/2014","Strategy",9555,8224,932,0,6,"Crowd"
21379,"Sins of a Solar Empire: Rebellion",823.89359223301,3884.44660194175,68,"Multi-player",1,"6/12/2012","Strategy",8642,712,507,1,9,"Crowd"
21686,"SNOW",94.8615909090909,268.670454545455,33,"Multi-player",1,"2/14/2019","Free to Play",7235,3754,8180,1,2,"Crowd"
22629,"Stardew Valley",14323.8335483871,25767,40,"Multi-player",1,"2/26/2016","RPG",118217,3761,2868,1,5,"Crowd"
22738,"Stellaris",10480.5233333333,22159.9333333333,95,"Multi-player",1,"5/9/2016","Simulation",35327,10036,2729,0,5,"Crowd"
23262,"Supreme Commander 2",366.749223300971,778.640776699029,47,"Multi-player",1,"3/1/2010","Strategy",5336,903,1834,0,11,"Crowd"
23529,"Tabletop Simulator",2082.42756097561,5314.21951219512,27,"Multi-player",1,"6/5/2015","Casual",13243,777,729,1,6,"Crowd"
23968,"Terraforming Mars",324.608571428571,700.75,20,"Multi-player",1,"10/17/2018","Strategy",208,213,0,0,2,"Crowd"
24221,"The Escapists 2",482.673023255814,1726.27906976744,58,"Multi-player",1,"8/21/2017","Simulation",5085,1167,674,1,4,"Crowd"
24742,"theHunter: Call of the Wild",2051.6762,5072.8,133,"Multi-player",1,"2/16/2017","Adventure",15716,4308,1409,0,4,"Crowd"
25227,"Total War: ATTILA",3069.55097222222,6040.75,118,"Multi-player",1,"2/17/2015","Strategy",12297,4469,2147,0,6,"Crowd"
