Type,Component,Date,variable,value
Expense,Shopping,2019-12-01 00:00:00.000,Value,2000
Expense,Shopping,2020-04-01 00:00:00.000,Value,2000
Expense,Groceries & Food,2019-10-01 00:00:00.000,Value,8000
Income,Source 2,2020-10-01 00:00:00.000,Value,6000
Savings,Fixed Deposit,2020-02-01 00:00:00.000,Value,0
Expense,Health,2018-04-01 00:00:00.000,Value,1000
Savings,Fixed Deposit,2018-07-01 00:00:00.000,Value,2000
Savings,Liquid Cash,2019-03-01 00:00:00.000,Value,1500
Savings,Mutual funds,2018-09-01 00:00:00.000,Value,5000
Savings,Mutual funds,2018-04-01 00:00:00.000,Value,5000
Income,Salary,2020-10-01 00:00:00.000,Value,43000
Expense,Health,2018-07-01 00:00:00.000,Value,1000
Expense,Health,2018-12-01 00:00:00.000,Value,1000
Expense,House Rent,2020-08-01 00:00:00.000,Value,15000
Savings,Emergency Fund,2019-10-01 00:00:00.000,Value,0
Income,Salary,2018-12-01 00:00:00.000,Value,35000
Expense,Leisure,2019-07-01 00:00:00.000,Value,1500
Income,Salary,2019-04-01 00:00:00.000,Value,35000
Expense,Shopping,2019-11-01 00:00:00.000,Value,1000
Savings,Emergency Fund,2019-09-01 00:00:00.000,Value,0
Income,Salary,2018-01-01 00:00:00.000,Value,30000
Income,Salary,2019-08-01 00:00:00.000,Value,35000
Expense,Groceries & Food,2020-02-01 00:00:00.000,Value,10000
Expense,Shopping,2019-02-01 00:00:00.000,Value,0
Income,Source 2,2019-08-01 00:00:00.000,Value,4000
Expense,EMIs,2021-01-01 00:00:00.000,Value,12000
Expense,Shopping,2020-12-01 00:00:00.000,Value,3000
Expense,House Rent,2018-01-01 00:00:00.000,Value,10000
Expense,Health,2020-02-01 00:00:00.000,Value,3000
Savings,Fixed Deposit,2018-10-01 00:00:00.000,Value,2000
Expense,Leisure,2019-09-01 00:00:00.000,Value,1500
Expense,Leisure,2018-07-01 00:00:00.000,Value,500
Income,Salary,2020-02-01 00:00:00.000,Value,43000
Savings,Liquid Cash,2019-12-01 00:00:00.000,Value,500
Savings,Liquid Cash,2018-11-01 00:00:00.000,Value,2500
Expense,Groceries & Food,2018-10-01 00:00:00.000,Value,6000
Income,Source 2,2018-06-01 00:00:00.000,Value,1000
Savings,Fixed Deposit,2020-01-01 00:00:00.000,Value,0
Expense,EMIs,2019-02-01 00:00:00.000,Value,6000
Savings,Emergency Fund,2018-03-01 00:00:00.000,Value,2000
Expense,Health,2018-10-01 00:00:00.000,Value,1000
Expense,House Rent,2019-06-01 00:00:00.000,Value,12000
Expense,Groceries & Food,2020-04-01 00:00:00.000,Value,8000
Income,Salary,2019-11-01 00:00:00.000,Value,35000
Income,Source 2,2018-10-01 00:00:00.000,Value,1000
Savings,Mutual funds,2019-08-01 00:00:00.000,Value,7000
Expense,Shopping,2020-11-01 00:00:00.000,Value,2000
Savings,Mutual funds,2020-04-01 00:00:00.000,Value,7000
Savings,Mutual funds,2019-05-01 00:00:00.000,Value,7000
Income,Source 2,2019-09-01 00:00:00.000,Value,4000
Savings,Fixed Deposit,2018-01-01 00:00:00.000,Value,2000
Income,Salary,2020-01-01 00:00:00.000,Value,43000
Income,Salary,2019-06-01 00:00:00.000,Value,35000
Income,Source 2,2020-06-01 00:00:00.000,Value,4000
Expense,House Rent,2020-03-01 00:00:00.000,Value,15000
Expense,House Rent,2020-01-01 00:00:00.000,Value,15000
Income,Salary,2020-08-01 00:00:00.000,Value,43000
Savings,Mutual funds,2018-11-01 00:00:00.000,Value,5000
Expense,Health,2018-09-01 00:00:00.000,Value,1000
Expense,House Rent,2019-12-01 00:00:00.000,Value,15000
Savings,Fixed Deposit,2020-09-01 00:00:00.000,Value,2000
Expense,Shopping,2020-09-01 00:00:00.000,Value,2000
Savings,Mutual funds,2019-09-01 00:00:00.000,Value,7000
Expense,EMIs,2018-02-01 00:00:00.000,Year,2018
Savings,Emergency Fund,2020-03-01 00:00:00.000,Year,2020
Income,Source 2,2020-12-01 00:00:00.000,Year,2020
Expense,EMIs,2020-09-01 00:00:00.000,Year,2020
Income,Source 2,2021-01-01 00:00:00.000,Year,2021
Expense,Groceries & Food,2020-12-01 00:00:00.000,Year,2020
Expense,Shopping,2018-12-01 00:00:00.000,Year,2018
Savings,Liquid Cash,2020-12-01 00:00:00.000,Year,2020
Savings,Emergency Fund,2020-06-01 00:00:00.000,Year,2020
Expense,Shopping,2019-07-01 00:00:00.000,Year,2019
Expense,Shopping,2020-01-01 00:00:00.000,Year,2020
Savings,Mutual funds,2018-05-01 00:00:00.000,Year,2018
Expense,Shopping,2018-11-01 00:00:00.000,Year,2018
Expense,Leisure,2018-12-01 00:00:00.000,Year,2018
Expense,Health,2020-12-01 00:00:00.000,Year,2020
Expense,Shopping,2018-09-01 00:00:00.000,Year,2018
Expense,EMIs,2019-12-01 00:00:00.000,Year,2019
Savings,Emergency Fund,2018-06-01 00:00:00.000,Year,2018
Savings,Mutual funds,2018-03-01 00:00:00.000,Year,2018
Expense,EMIs,2020-08-01 00:00:00.000,Year,2020
Income,Salary,2018-10-01 00:00:00.000,Year,2018
Expense,House Rent,2018-10-01 00:00:00.000,Year,2018
Income,Source 2,2019-07-01 00:00:00.000,Year,2019
Expense,Leisure,2020-08-01 00:00:00.000,Year,2020
Income,Salary,2020-07-01 00:00:00.000,Year,2020
Expense,Groceries & Food,2019-04-01 00:00:00.000,Year,2019
Expense,Shopping,2019-04-01 00:00:00.000,Year,2019
Savings,Liquid Cash,2020-02-01 00:00:00.000,Year,2020
Expense,Shopping,2020-08-01 00:00:00.000,Year,2020
Savings,Emergency Fund,2019-02-01 00:00:00.000,Year,2019
Expense,Shopping,2018-03-01 00:00:00.000,Year,2018
Savings,Mutual funds,2018-06-01 00:00:00.000,Year,2018
Income,Source 2,2018-03-01 00:00:00.000,Year,2018
Savings,Emergency Fund,2018-07-01 00:00:00.000,Year,2018
Expense,Health,2019-05-01 00:00:00.000,Year,2019
Expense,Groceries & Food,2020-05-01 00:00:00.000,Year,2020
Savings,Mutual funds,2018-02-01 00:00:00.000,Year,2018
Expense,Shopping,2019-12-01 00:00:00.000,Year,2019
Expense,Shopping,2020-04-01 00:00:00.000,Year,2020
Expense,Groceries & Food,2019-10-01 00:00:00.000,Year,2019
Income,Source 2,2020-10-01 00:00:00.000,Year,2020
Savings,Fixed Deposit,2020-02-01 00:00:00.000,Year,2020
Expense,Health,2018-04-01 00:00:00.000,Year,2018
Savings,Fixed Deposit,2018-07-01 00:00:00.000,Year,2018
Savings,Liquid Cash,2019-03-01 00:00:00.000,Year,2019
Savings,Mutual funds,2018-09-01 00:00:00.000,Year,2018
Savings,Mutual funds,2018-04-01 00:00:00.000,Year,2018
Income,Salary,2020-10-01 00:00:00.000,Year,2020
Expense,Health,2018-07-01 00:00:00.000,Year,2018
Expense,Health,2018-12-01 00:00:00.000,Year,2018
Expense,House Rent,2020-08-01 00:00:00.000,Year,2020
Savings,Emergency Fund,2019-10-01 00:00:00.000,Year,2019
Income,Salary,2018-12-01 00:00:00.000,Year,2018
Expense,Leisure,2019-07-01 00:00:00.000,Year,2019
Income,Salary,2019-04-01 00:00:00.000,Year,2019
Expense,Shopping,2019-11-01 00:00:00.000,Year,2019
Savings,Emergency Fund,2019-09-01 00:00:00.000,Year,2019
Income,Salary,2018-01-01 00:00:00.000,Year,2018
Income,Salary,2019-08-01 00:00:00.000,Year,2019
Expense,Groceries & Food,2020-02-01 00:00:00.000,Year,2020
Expense,Shopping,2019-02-01 00:00:00.000,Year,2019
Income,Source 2,2019-08-01 00:00:00.000,Year,2019
Expense,EMIs,2021-01-01 00:00:00.000,Year,2021
Expense,Shopping,2020-12-01 00:00:00.000,Year,2020
Expense,House Rent,2018-01-01 00:00:00.000,Year,2018
Expense,Health,2020-02-01 00:00:00.000,Year,2020
Savings,Fixed Deposit,2018-10-01 00:00:00.000,Year,2018
Expense,Leisure,2019-09-01 00:00:00.000,Year,2019
Expense,Leisure,2018-07-01 00:00:00.000,Year,2018
Income,Salary,2020-02-01 00:00:00.000,Year,2020
Savings,Liquid Cash,2019-12-01 00:00:00.000,Year,2019
Savings,Liquid Cash,2018-11-01 00:00:00.000,Year,2018
Expense,Groceries & Food,2018-10-01 00:00:00.000,Year,2018
Income,Source 2,2018-06-01 00:00:00.000,Year,2018
Savings,Fixed Deposit,2020-01-01 00:00:00.000,Year,2020
Expense,EMIs,2019-02-01 00:00:00.000,Year,2019
Savings,Emergency Fund,2018-03-01 00:00:00.000,Year,2018
Expense,Health,2018-10-01 00:00:00.000,Year,2018
Expense,House Rent,2019-06-01 00:00:00.000,Year,2019
Expense,Groceries & Food,2020-04-01 00:00:00.000,Year,2020
Income,Salary,2019-11-01 00:00:00.000,Year,2019
Income,Source 2,2018-10-01 00:00:00.000,Year,2018
Savings,Mutual funds,2019-08-01 00:00:00.000,Year,2019
Expense,Shopping,2020-11-01 00:00:00.000,Year,2020
Savings,Mutual funds,2020-04-01 00:00:00.000,Year,2020
Savings,Mutual funds,2019-05-01 00:00:00.000,Year,2019
Income,Source 2,2019-09-01 00:00:00.000,Year,2019
Savings,Fixed Deposit,2018-01-01 00:00:00.000,Year,2018
Income,Salary,2020-01-01 00:00:00.000,Year,2020
Income,Salary,2019-06-01 00:00:00.000,Year,2019
Income,Source 2,2020-06-01 00:00:00.000,Year,2020
Expense,House Rent,2020-03-01 00:00:00.000,Year,2020
Expense,House Rent,2020-01-01 00:00:00.000,Year,2020
Income,Salary,2020-08-01 00:00:00.000,Year,2020
Savings,Mutual funds,2018-11-01 00:00:00.000,Year,2018
Expense,Health,2018-09-01 00:00:00.000,Year,2018
Expense,House Rent,2019-12-01 00:00:00.000,Year,2019
Savings,Fixed Deposit,2020-09-01 00:00:00.000,Year,2020
Expense,Shopping,2020-09-01 00:00:00.000,Year,2020
Savings,Mutual funds,2019-09-01 00:00:00.000,Year,2019
