ProductCode,Product,Color,Model,Category,Subcategory
"SL-0931","Seat Lug","NA","","",""
"SM-9087","Stem","NA","","",""
"SP-2981","Seat Post","NA","","",""
"SR-2098","Steerer","NA","","",""
"SS-2985","Seat Stays","NA","","",""
"ST-9828","Seat Tube","NA","","",""
"TO-2301","Top Tube","NA","","",""
"TP-0923","Tension Pulley","NA","","",""
"CA-5965","LL Crankarm","Black","","",""
"CA-6738","ML Crankarm","Black","","",""
"CA-7457","HL Crankarm","Black","","",""
"CB-2903","Chainring Bolts","Silver","","",""
"CN-6137","Chainring Nut","Silver","","",""
"CR-7833","Chainring","Black","","",""
"FC-3982","Front Derailleur Cage","Silver","","",""
"FH-2981","Freewheel","Silver","","",""
"FL-2301","Front Derailleur Linkage","Silver","","",""
"LR-2398","Lock Ring","Silver","","",""
"RC-0291","Rear Derailleur Cage","Silver","","",""
"BC-M005","Mountain Bottle Cage","NA","Mountain Bottle Cage","Accessories","Bottles and Cages"
"BC-R205","Road Bottle Cage","NA","Road Bottle Cage","Accessories","Bottles and Cages"
"CA-1098","AWC Logo Cap","Multi","Cycling Cap","Clothing","Caps"
"CL-9009","Bike Wash - Dissolver","NA","Bike Wash","Accessories","Cleaners"
"FE-6654","Fender Set - Mountain","NA","Fender Set - Mountain","Accessories","Fenders"
"GL-F110-L","Full-Finger Gloves, L","Black","Full-Finger Gloves","Clothing","Gloves"
"GL-F110-M","Full-Finger Gloves, M","Black","Full-Finger Gloves","Clothing","Gloves"
"GL-F110-S","Full-Finger Gloves, S","Black","Full-Finger Gloves","Clothing","Gloves"
"GL-H102-L","Half-Finger Gloves, L","Black","Half-Finger Gloves","Clothing","Gloves"
"GL-H102-M","Half-Finger Gloves, M","Black","Half-Finger Gloves","Clothing","Gloves"
"GL-H102-S","Half-Finger Gloves, S","Black","Half-Finger Gloves","Clothing","Gloves"
"HL-U509","Sport-100 Helmet, Black","Black","Sport-100","Accessories","Helmets"
"HL-U509-B","Sport-100 Helmet, Blue","Blue","Sport-100","Accessories","Helmets"
"HL-U509-R","Sport-100 Helmet, Red","Red","Sport-100","Accessories","Helmets"
"HY-1023-70","Hydration Pack - 70 oz.","Silver","Hydration Pack","Accessories","Hydration Packs"
"LJ-0192-L","Long-Sleeve Logo Jersey, L","Multi","Long-Sleeve Logo Jersey","Clothing","Jerseys"
"LJ-0192-M","Long-Sleeve Logo Jersey, M","Multi","Long-Sleeve Logo Jersey","Clothing","Jerseys"
"LJ-0192-S","Long-Sleeve Logo Jersey, S","Multi","Long-Sleeve Logo Jersey","Clothing","Jerseys"
"LJ-0192-X","Long-Sleeve Logo Jersey, XL","Multi","Long-Sleeve Logo Jersey","Clothing","Jerseys"
"LO-C100","Cable Lock","NA","Cable Lock","Accessories","Locks"
"LT-H902","Headlights - Dual-Beam","NA","Headlights - Dual-Beam","Accessories","Lights"
"LT-H903","Headlights - Weatherproof","NA","Headlights - Weatherproof","Accessories","Lights"
"LT-T990","Taillights - Battery-Powered","NA","Taillight","Accessories","Lights"
"PA-T100","Touring-Panniers, Large","Grey","Touring-Panniers","Accessories","Panniers"
"PK-7098","Patch Kit/8 Patches","NA","Patch kit","Accessories","Tires and Tubes"
"PU-0452","Minipump","NA","Minipump","Accessories","Pumps"
"PU-M044","Mountain Pump","NA","Mountain Pump","Accessories","Pumps"
"RA-H123","Hitch Rack - 4-Bike","NA","Hitch Rack - 4-Bike","Accessories","Bike Racks"
"SB-M891-L","Men's Bib-Shorts, L","Multi","Men's Bib-Shorts","Clothing","Bib-Shorts"
"SB-M891-M","Men's Bib-Shorts, M","Multi","Men's Bib-Shorts","Clothing","Bib-Shorts"
"SB-M891-S","Men's Bib-Shorts, S","Multi","Men's Bib-Shorts","Clothing","Bib-Shorts"
"SH-M897-L","Men's Sports Shorts, L","Black","Men's Sports Shorts","Clothing","Shorts"
"SH-M897-M","Men's Sports Shorts, M","Black","Men's Sports Shorts","Clothing","Shorts"
"SH-M897-S","Men's Sports Shorts, S","Black","Men's Sports Shorts","Clothing","Shorts"
"SH-M897-X","Men's Sports Shorts, XL","Black","Men's Sports Shorts","Clothing","Shorts"
"SH-W890-L","Women's Mountain Shorts, L","Black","Women's Mountain Shorts","Clothing","Shorts"
"SH-W890-M","Women's Mountain Shorts, M","Black","Women's Mountain Shorts","Clothing","Shorts"
"SH-W890-S","Women's Mountain Shorts, S","Black","Women's Mountain Shorts","Clothing","Shorts"
"SJ-0194-L","Short-Sleeve Classic Jersey, L","Yellow","Short-Sleeve Classic Jersey","Clothing","Jerseys"
"SJ-0194-M","Short-Sleeve Classic Jersey, M","Yellow","Short-Sleeve Classic Jersey","Clothing","Jerseys"
"SJ-0194-S","Short-Sleeve Classic Jersey, S","Yellow","Short-Sleeve Classic Jersey","Clothing","Jerseys"
"SJ-0194-X","Short-Sleeve Classic Jersey, XL","Yellow","Short-Sleeve Classic Jersey","Clothing","Jerseys"
"SO-B909-L","Mountain Bike Socks, L","White","Mountain Bike Socks","Clothing","Socks"
"SO-B909-M","Mountain Bike Socks, M","White","Mountain Bike Socks","Clothing","Socks"
"SO-R809-L","Racing Socks, L","White","Racing Socks","Clothing","Socks"
"SO-R809-M","Racing Socks, M","White","Racing Socks","Clothing","Socks"
"ST-1401","All-Purpose Bike Stand","NA","All-Purpose Bike Stand","Accessories","Bike Stands"
"TG-W091-L","Women's Tights, L","Black","Women's Tights","Clothing","Tights"
"TG-W091-M","Women's Tights, M","Black","Women's Tights","Clothing","Tights"
"TG-W091-S","Women's Tights, S","Black","Women's Tights","Clothing","Tights"
"TI-M267","LL Mountain Tire","NA","LL Mountain Tire","Accessories","Tires and Tubes"
"TI-M602","ML Mountain Tire","NA","ML Mountain Tire","Accessories","Tires and Tubes"
"TI-M823","HL Mountain Tire","NA","HL Mountain Tire","Accessories","Tires and Tubes"
"TI-R092","LL Road Tire","NA","LL Road Tire","Accessories","Tires and Tubes"
"TI-R628","ML Road Tire","NA","ML Road Tire","Accessories","Tires and Tubes"
"TI-R982","HL Road Tire","NA","HL Road Tire","Accessories","Tires and Tubes"
"TI-T723","Touring Tire","NA","Touring Tire","Accessories","Tires and Tubes"
"TT-M928","Mountain Tire Tube","NA","Mountain Tire Tube","Accessories","Tires and Tubes"
"TT-R982","Road Tire Tube","NA","Road Tire Tube","Accessories","Tires and Tubes"
"TT-T092","Touring Tire Tube","NA","Touring Tire Tube","Accessories","Tires and Tubes"
"VE-C304-L","Classic Vest, L","Blue","Classic Vest","Clothing","Vests"
"VE-C304-M","Classic Vest, M","Blue","Classic Vest","Clothing","Vests"
"VE-C304-S","Classic Vest, S","Blue","Classic Vest","Clothing","Vests"
"WB-H098","Water Bottle - 30 oz.","NA","Water Bottle","Accessories","Bottles and Cages"
"BK-M18B-40","Mountain-500 Black, 40","Black","Mountain-500","Bikes","Mountain Bikes"
"BK-M18B-42","Mountain-500 Black, 42","Black","Mountain-500","Bikes","Mountain Bikes"
"BK-M18B-44","Mountain-500 Black, 44","Black","Mountain-500","Bikes","Mountain Bikes"
"BK-M18B-48","Mountain-500 Black, 48","Black","Mountain-500","Bikes","Mountain Bikes"
"BK-M18B-52","Mountain-500 Black, 52","Black","Mountain-500","Bikes","Mountain Bikes"
"BK-M18S-40","Mountain-500 Silver, 40","Silver","Mountain-500","Bikes","Mountain Bikes"
"BK-M18S-42","Mountain-500 Silver, 42","Silver","Mountain-500","Bikes","Mountain Bikes"
"BK-M18S-44","Mountain-500 Silver, 44","Silver","Mountain-500","Bikes","Mountain Bikes"
"BK-M18S-48","Mountain-500 Silver, 48","Silver","Mountain-500","Bikes","Mountain Bikes"
"BK-M18S-52","Mountain-500 Silver, 52","Silver","Mountain-500","Bikes","Mountain Bikes"
"BK-M38S-38","Mountain-400-W Silver, 38","Silver","Mountain-400-W","Bikes","Mountain Bikes"
"BK-M38S-40","Mountain-400-W Silver, 40","Silver","Mountain-400-W","Bikes","Mountain Bikes"
"BK-M38S-42","Mountain-400-W Silver, 42","Silver","Mountain-400-W","Bikes","Mountain Bikes"
"BK-M38S-46","Mountain-400-W Silver, 46","Silver","Mountain-400-W","Bikes","Mountain Bikes"
"BK-M47B-38","Mountain-300 Black, 38","Black","Mountain-300","Bikes","Mountain Bikes"
"BK-M47B-40","Mountain-300 Black, 40","Black","Mountain-300","Bikes","Mountain Bikes"
"BK-M47B-44","Mountain-300 Black, 44","Black","Mountain-300","Bikes","Mountain Bikes"
"BK-M47B-48","Mountain-300 Black, 48","Black","Mountain-300","Bikes","Mountain Bikes"
"BK-M68B-38","Mountain-200 Black, 38","Black","Mountain-200","Bikes","Mountain Bikes"
"BK-M68B-42","Mountain-200 Black, 42","Black","Mountain-200","Bikes","Mountain Bikes"
"BK-M68B-46","Mountain-200 Black, 46","Black","Mountain-200","Bikes","Mountain Bikes"
"BK-M68S-38","Mountain-200 Silver, 38","Silver","Mountain-200","Bikes","Mountain Bikes"
"BK-M68S-42","Mountain-200 Silver, 42","Silver","Mountain-200","Bikes","Mountain Bikes"
"BK-M68S-46","Mountain-200 Silver, 46","Silver","Mountain-200","Bikes","Mountain Bikes"
"BK-M82B-38","Mountain-100 Black, 38","Black","Mountain-100","Bikes","Mountain Bikes"
"BK-M82B-42","Mountain-100 Black, 42","Black","Mountain-100","Bikes","Mountain Bikes"
"BK-M82B-44","Mountain-100 Black, 44","Black","Mountain-100","Bikes","Mountain Bikes"
"BK-M82B-48","Mountain-100 Black, 48","Black","Mountain-100","Bikes","Mountain Bikes"
"BK-M82S-38","Mountain-100 Silver, 38","Silver","Mountain-100","Bikes","Mountain Bikes"
"BK-M82S-42","Mountain-100 Silver, 42","Silver","Mountain-100","Bikes","Mountain Bikes"
"BK-M82S-44","Mountain-100 Silver, 44","Silver","Mountain-100","Bikes","Mountain Bikes"
"BK-M82S-48","Mountain-100 Silver, 48","Silver","Mountain-100","Bikes","Mountain Bikes"
"BK-R19B-44","Road-750 Black, 44","Black","Road-750","Bikes","Road Bikes"
"BK-R19B-48","Road-750 Black, 48","Black","Road-750","Bikes","Road Bikes"
"BK-R19B-52","Road-750 Black, 52","Black","Road-750","Bikes","Road Bikes"
"BK-R19B-58","Road-750 Black, 58","Black","Road-750","Bikes","Road Bikes"
"BK-R50B-44","Road-650 Black, 44","Black","Road-650","Bikes","Road Bikes"
"BK-R50B-48","Road-650 Black, 48","Black","Road-650","Bikes","Road Bikes"
"BK-R50B-52","Road-650 Black, 52","Black","Road-650","Bikes","Road Bikes"
"BK-R50B-58","Road-650 Black, 58","Black","Road-650","Bikes","Road Bikes"
"BK-R50B-60","Road-650 Black, 60","Black","Road-650","Bikes","Road Bikes"
"BK-R50B-62","Road-650 Black, 62","Black","Road-650","Bikes","Road Bikes"
"BK-R50R-44","Road-650 Red, 44","Red","Road-650","Bikes","Road Bikes"
"BK-R50R-48","Road-650 Red, 48","Red","Road-650","Bikes","Road Bikes"
"BK-R50R-52","Road-650 Red, 52","Red","Road-650","Bikes","Road Bikes"
"BK-R50R-58","Road-650 Red, 58","Red","Road-650","Bikes","Road Bikes"
"BK-R50R-60","Road-650 Red, 60","Red","Road-650","Bikes","Road Bikes"
"BK-R50R-62","Road-650 Red, 62","Red","Road-650","Bikes","Road Bikes"
"BK-R64Y-38","Road-550-W Yellow, 38","Yellow","Road-550-W","Bikes","Road Bikes"
"BK-R64Y-40","Road-550-W Yellow, 40","Yellow","Road-550-W","Bikes","Road Bikes"
"BK-R64Y-42","Road-550-W Yellow, 42","Yellow","Road-550-W","Bikes","Road Bikes"
"BK-R64Y-44","Road-550-W Yellow, 44","Yellow","Road-550-W","Bikes","Road Bikes"
"BK-R64Y-48","Road-550-W Yellow, 48","Yellow","Road-550-W","Bikes","Road Bikes"
"BK-R68R-44","Road-450 Red, 44","Red","Road-450","Bikes","Road Bikes"
"BK-R68R-48","Road-450 Red, 48","Red","Road-450","Bikes","Road Bikes"
"BK-R68R-52","Road-450 Red, 52","Red","Road-450","Bikes","Road Bikes"
"BK-R68R-58","Road-450 Red, 58","Red","Road-450","Bikes","Road Bikes"
"BK-R68R-60","Road-450 Red, 60","Red","Road-450","Bikes","Road Bikes"
"BK-R79Y-40","Road-350-W Yellow, 40","Yellow","Road-350-W","Bikes","Road Bikes"
"BK-R79Y-42","Road-350-W Yellow, 42","Yellow","Road-350-W","Bikes","Road Bikes"
"BK-R79Y-44","Road-350-W Yellow, 44","Yellow","Road-350-W","Bikes","Road Bikes"
"BK-R79Y-48","Road-350-W Yellow, 48","Yellow","Road-350-W","Bikes","Road Bikes"
"BK-R89B-44","Road-250 Black, 44","Black","Road-250","Bikes","Road Bikes"
"BK-R89B-48","Road-250 Black, 48","Black","Road-250","Bikes","Road Bikes"
"BK-R89B-52","Road-250 Black, 52","Black","Road-250","Bikes","Road Bikes"
"BK-R89B-58","Road-250 Black, 58","Black","Road-250","Bikes","Road Bikes"
"BK-R89R-44","Road-250 Red, 44","Red","Road-250","Bikes","Road Bikes"
"BK-R89R-48","Road-250 Red, 48","Red","Road-250","Bikes","Road Bikes"
"BK-R89R-52","Road-250 Red, 52","Red","Road-250","Bikes","Road Bikes"
"BK-R89R-58","Road-250 Red, 58","Red","Road-250","Bikes","Road Bikes"
"BK-R93R-44","Road-150 Red, 44","Red","Road-150","Bikes","Road Bikes"
"BK-R93R-48","Road-150 Red, 48","Red","Road-150","Bikes","Road Bikes"
"BK-R93R-52","Road-150 Red, 52","Red","Road-150","Bikes","Road Bikes"
"BK-R93R-56","Road-150 Red, 56","Red","Road-150","Bikes","Road Bikes"
"BK-R93R-62","Road-150 Red, 62","Red","Road-150","Bikes","Road Bikes"
"BK-T18U-44","Touring-3000 Blue, 44","Blue","Touring-3000","Bikes","Touring Bikes"
"BK-T18U-50","Touring-3000 Blue, 50","Blue","Touring-3000","Bikes","Touring Bikes"
"BK-T18U-54","Touring-3000 Blue, 54","Blue","Touring-3000","Bikes","Touring Bikes"
"BK-T18U-58","Touring-3000 Blue, 58","Blue","Touring-3000","Bikes","Touring Bikes"
"BK-T18U-62","Touring-3000 Blue, 62","Blue","Touring-3000","Bikes","Touring Bikes"
"BK-T18Y-44","Touring-3000 Yellow, 44","Yellow","Touring-3000","Bikes","Touring Bikes"
"BK-T18Y-50","Touring-3000 Yellow, 50","Yellow","Touring-3000","Bikes","Touring Bikes"
"BK-T18Y-54","Touring-3000 Yellow, 54","Yellow","Touring-3000","Bikes","Touring Bikes"
"BK-T18Y-58","Touring-3000 Yellow, 58","Yellow","Touring-3000","Bikes","Touring Bikes"
"BK-T18Y-62","Touring-3000 Yellow, 62","Yellow","Touring-3000","Bikes","Touring Bikes"
"BK-T44U-46","Touring-2000 Blue, 46","Blue","Touring-2000","Bikes","Touring Bikes"
"BK-T44U-50","Touring-2000 Blue, 50","Blue","Touring-2000","Bikes","Touring Bikes"
"BK-T44U-54","Touring-2000 Blue, 54","Blue","Touring-2000","Bikes","Touring Bikes"
"BK-T44U-60","Touring-2000 Blue, 60","Blue","Touring-2000","Bikes","Touring Bikes"
"BK-T79U-46","Touring-1000 Blue, 46","Blue","Touring-1000","Bikes","Touring Bikes"
"BK-T79U-50","Touring-1000 Blue, 50","Blue","Touring-1000","Bikes","Touring Bikes"
"BK-T79U-54","Touring-1000 Blue, 54","Blue","Touring-1000","Bikes","Touring Bikes"
"BK-T79U-60","Touring-1000 Blue, 60","Blue","Touring-1000","Bikes","Touring Bikes"
"BK-T79Y-46","Touring-1000 Yellow, 46","Yellow","Touring-1000","Bikes","Touring Bikes"
"BK-T79Y-50","Touring-1000 Yellow, 50","Yellow","Touring-1000","Bikes","Touring Bikes"
"BK-T79Y-54","Touring-1000 Yellow, 54","Yellow","Touring-1000","Bikes","Touring Bikes"
"BK-T79Y-60","Touring-1000 Yellow, 60","Yellow","Touring-1000","Bikes","Touring Bikes"
"BB-7421","LL Bottom Bracket","NA","LL Bottom Bracket","Components","Bottom Brackets"
"BB-8107","ML Bottom Bracket","NA","ML Bottom Bracket","Components","Bottom Brackets"
"BB-9108","HL Bottom Bracket","NA","HL Bottom Bracket","Components","Bottom Brackets"
"CH-0234","Chain","Silver","Chain","Components","Chains"
"CS-4759","LL Crankset","Black","LL Crankset","Components","Cranksets"
"CS-6583","ML Crankset","Black","ML Crankset","Components","Cranksets"
"CS-9183","HL Crankset","Black","HL Crankset","Components","Cranksets"
"FB-9873","Front Brakes","Silver","Front Brakes","Components","Brakes"
"FD-2342","Front Derailleur","Silver","Front Derailleur","Components","Derailleurs"
"FK-1639","LL Fork","NA","LL Fork","Components","Forks"
"FK-5136","ML Fork","NA","ML Fork","Components","Forks"
"FK-9939","HL Fork","NA","HL Fork","Components","Forks"
"FR-M21B-40","LL Mountain Frame - Black, 40","Black","LL Mountain Frame","Components","Mountain Frames"
"FR-M21B-42","LL Mountain Frame - Black, 42","Black","LL Mountain Frame","Components","Mountain Frames"
"FR-M21B-44","LL Mountain Frame - Black, 44","Black","LL Mountain Frame","Components","Mountain Frames"
"FR-M21B-48","LL Mountain Frame - Black, 48","Black","LL Mountain Frame","Components","Mountain Frames"
"FR-M21B-52","LL Mountain Frame - Black, 52","Black","LL Mountain Frame","Components","Mountain Frames"
"FR-M21S-40","LL Mountain Frame - Silver, 40","Silver","LL Mountain Frame","Components","Mountain Frames"
"FR-M21S-42","LL Mountain Frame - Silver, 42","Silver","LL Mountain Frame","Components","Mountain Frames"
"FR-M21S-44","LL Mountain Frame - Silver, 44","Silver","LL Mountain Frame","Components","Mountain Frames"
"FR-M21S-48","LL Mountain Frame - Silver, 48","Silver","LL Mountain Frame","Components","Mountain Frames"
"FR-M21S-52","LL Mountain Frame - Silver, 52","Silver","LL Mountain Frame","Components","Mountain Frames"
"FR-M63B-38","ML Mountain Frame - Black, 38","Black","ML Mountain Frame-W","Components","Mountain Frames"
"FR-M63B-40","ML Mountain Frame - Black, 40","Black","ML Mountain Frame","Components","Mountain Frames"
"FR-M63B-44","ML Mountain Frame - Black, 44","Black","ML Mountain Frame","Components","Mountain Frames"
"FR-M63B-48","ML Mountain Frame - Black, 48","Black","ML Mountain Frame","Components","Mountain Frames"
"FR-M63S-38","ML Mountain Frame-W - Silver, 38","Silver","ML Mountain Frame-W","Components","Mountain Frames"
"FR-M63S-40","ML Mountain Frame-W - Silver, 40","Silver","ML Mountain Frame-W","Components","Mountain Frames"
"FR-M63S-42","ML Mountain Frame-W - Silver, 42","Silver","ML Mountain Frame-W","Components","Mountain Frames"
