ProductCode,OrderDateKey,variable,value
BK-M68B-46,20070410,SalesOrderNumber,SO49987
BK-R79Y-44,20080520,SalesOrderNumber,SO70999
TT-M928,20080220,SalesOrderNumber,SO64556
BK-M68S-38,20080628,SalesOrderNumber,SO73989
BK-M68S-46,20070620,SalesOrderNumber,SO50977
BK-R89B-48,20070309,SalesOrderNumber,SO49630
BK-M82S-48,20060421,SalesOrderNumber,SO45952
BK-T44U-46,20080210,SalesOrderNumber,SO63938
HL-U509,20080127,SalesOrderNumber,SO62823
BC-R205,20070920,SalesOrderNumber,SO54712
BK-R79Y-48,20080116,SalesOrderNumber,SO62227
TI-M602,20080321,SalesOrderNumber,SO66607
TT-T092,20080605,SalesOrderNumber,SO72203
BK-M38S-38,20080503,SalesOrderNumber,SO69765
BK-R19B-52,20070727,SalesOrderNumber,SO51616
BK-T44U-50,20070716,SalesOrderLineNumber,1
TT-M928,20071110,SalesOrderLineNumber,2
TI-R628,20070912,SalesOrderLineNumber,2
LJ-0192-L,20080307,SalesOrderLineNumber,3
TI-M267,20080204,SalesOrderLineNumber,2
CA-1098,20071224,SalesOrderLineNumber,3
LJ-0192-L,20080128,SalesOrderLineNumber,4
BC-M005,20080117,SalesOrderLineNumber,2
TI-M823,20080619,SalesOrderLineNumber,2
HL-U509-B,20071223,SalesOrderLineNumber,2
WB-H098,20070818,SalesOrderLineNumber,3
WB-H098,20071128,SalesOrderLineNumber,4
PK-7098,20071206,SalesOrderLineNumber,4
HY-1023-70,20080303,SalesOrderLineNumber,5
TT-T092,20080419,SalesOrderLineNumber,1
TI-T723,20080602,SalesOrderLineNumber,1
TI-M823,20080526,SalesOrderLineNumber,2
WB-H098,20070805,SalesOrderLineNumber,2
TI-M823,20080531,SalesOrderLineNumber,2
TT-T092,20070918,SalesOrderLineNumber,1
TT-R982,20080508,SalesOrderLineNumber,2
HL-U509-B,20080215,SalesOrderLineNumber,2
BC-M005,20071209,SalesOrderLineNumber,2
BK-R19B-48,20080201,SalesOrderLineNumber,1
BK-R64Y-44,20080203,SalesOrderLineNumber,1
PK-7098,20080127,SalesOrderLineNumber,3
HL-U509-B,20080229,SalesOrderLineNumber,4
TT-T092,20080110,SalesOrderLineNumber,2
TT-M928,20080210,SalesOrderLineNumber,1
BK-M82S-48,20050712,SalesOrderLineNumber,1
TT-M928,20071114,SalesOrderLineNumber,1
WB-H098,20080617,SalesOrderLineNumber,3
BK-R64Y-40,20080313,SalesOrderLineNumber,1
HL-U509-B,20071227,SalesOrderLineNumber,2
LJ-0192-S,20071228,SalesOrderLineNumber,2
BK-M38S-38,20071102,SalesOrderLineNumber,1
BK-M68S-42,20070813,SalesOrderLineNumber,1
TI-M267,20070826,SalesOrderLineNumber,1
TT-R982,20080111,SalesOrderLineNumber,1
VE-C304-L,20071011,SalesOrderLineNumber,3
BK-T79Y-54,20080328,SalesOrderLineNumber,1
TT-T092,20071211,SalesOrderLineNumber,1
BK-R64Y-44,20080403,SalesOrderLineNumber,1
BK-R19B-58,20080213,SalesOrderLineNumber,1
BK-M18S-42,20080205,SalesOrderLineNumber,1
HL-U509,20080102,SalesOrderLineNumber,2
HL-U509,20071122,SalesOrderLineNumber,2
BK-M38S-42,20080319,SalesOrderLineNumber,1
RA-H123,20070825,SalesOrderLineNumber,1
PK-7098,20080229,SalesOrderLineNumber,3
HL-U509,20080111,SalesOrderLineNumber,3
FE-6654,20080514,SalesOrderLineNumber,2
TI-R982,20070815,SalesOrderLineNumber,1
BC-M005,20080124,SalesOrderLineNumber,3
BK-R19B-58,20080317,SalesOrderLineNumber,1
BK-R89B-48,20070817,SalesOrderLineNumber,1
WB-H098,20070824,SalesOrderLineNumber,2
TT-M928,20080105,SalesOrderLineNumber,2
HL-U509-B,20071201,SalesOrderLineNumber,3
BC-M005,20080203,SalesOrderLineNumber,2
BK-R64Y-44,20071011,SalesOrderLineNumber,1
PK-7098,20080514,SalesOrderLineNumber,4
CA-1098,20080626,SalesOrderLineNumber,4
WB-H098,20080528,SalesOrderLineNumber,1
HL-U509-B,20070714,SalesOrderLineNumber,4
TT-T092,20070828,SalesOrderLineNumber,1
TI-M602,20070912,SalesOrderLineNumber,2
LJ-0192-L,20080129,SalesOrderLineNumber,2
BK-M18S-44,20080217,SalesOrderLineNumber,1
WB-H098,20080516,SalesOrderLineNumber,1
TT-R982,20070813,SalesOrderLineNumber,2
CA-1098,20080222,SalesOrderLineNumber,3
BK-R93R-44,20051225,SalesOrderLineNumber,1
FE-6654,20071218,SalesOrderLineNumber,4
TT-M928,20080702,SalesOrderLineNumber,1
GL-H102-L,20080505,SalesOrderLineNumber,4
PK-7098,20080501,SalesOrderLineNumber,2
WB-H098,20070902,SalesOrderLineNumber,3
BK-R19B-48,20071113,SalesOrderLineNumber,1
TI-M823,20080516,SalesOrderLineNumber,2
HL-U509,20080619,SalesOrderLineNumber,3
WB-H098,20080110,SalesOrderLineNumber,1
WB-H098,20071122,SalesOrderLineNumber,2
BK-R19B-52,20080401,SalesOrderLineNumber,1
BK-T18U-62,20071024,SalesOrderLineNumber,1
BK-M68B-46,20070410,SalesOrderLineNumber,1
BK-R79Y-44,20080520,SalesOrderLineNumber,1
TT-M928,20080220,SalesOrderLineNumber,1
BK-M68S-38,20080628,SalesOrderLineNumber,1
BK-M68S-46,20070620,SalesOrderLineNumber,1
BK-R89B-48,20070309,SalesOrderLineNumber,1
BK-M82S-48,20060421,SalesOrderLineNumber,1
BK-T44U-46,20080210,SalesOrderLineNumber,1
HL-U509,20080127,SalesOrderLineNumber,1
BC-R205,20070920,SalesOrderLineNumber,2
BK-R79Y-48,20080116,SalesOrderLineNumber,2
TI-M602,20080321,SalesOrderLineNumber,2
TT-T092,20080605,SalesOrderLineNumber,1
BK-M38S-38,20080503,SalesOrderLineNumber,1
BK-R19B-52,20070727,SalesOrderLineNumber,1
BK-T44U-50,20070716,OrderQuantity,1
TT-M928,20071110,OrderQuantity,1
TI-R628,20070912,OrderQuantity,1
LJ-0192-L,20080307,OrderQuantity,1
TI-M267,20080204,OrderQuantity,1
CA-1098,20071224,OrderQuantity,1
LJ-0192-L,20080128,OrderQuantity,1
BC-M005,20080117,OrderQuantity,1
TI-M823,20080619,OrderQuantity,1
HL-U509-B,20071223,OrderQuantity,1
WB-H098,20070818,OrderQuantity,1
WB-H098,20071128,OrderQuantity,1
PK-7098,20071206,OrderQuantity,1
HY-1023-70,20080303,OrderQuantity,1
TT-T092,20080419,OrderQuantity,1
TI-T723,20080602,OrderQuantity,1
TI-M823,20080526,OrderQuantity,1
WB-H098,20070805,OrderQuantity,1
TI-M823,20080531,OrderQuantity,1
TT-T092,20070918,OrderQuantity,1
TT-R982,20080508,OrderQuantity,1
HL-U509-B,20080215,OrderQuantity,1
BC-M005,20071209,OrderQuantity,1
BK-R19B-48,20080201,OrderQuantity,1
BK-R64Y-44,20080203,OrderQuantity,1
PK-7098,20080127,OrderQuantity,1
HL-U509-B,20080229,OrderQuantity,1
TT-T092,20080110,OrderQuantity,1
TT-M928,20080210,OrderQuantity,1
BK-M82S-48,20050712,OrderQuantity,1
TT-M928,20071114,OrderQuantity,1
WB-H098,20080617,OrderQuantity,1
BK-R64Y-40,20080313,OrderQuantity,1
HL-U509-B,20071227,OrderQuantity,1
LJ-0192-S,20071228,OrderQuantity,1
BK-M38S-38,20071102,OrderQuantity,1
BK-M68S-42,20070813,OrderQuantity,1
TI-M267,20070826,OrderQuantity,1
TT-R982,20080111,OrderQuantity,1
VE-C304-L,20071011,OrderQuantity,1
BK-T79Y-54,20080328,OrderQuantity,1
TT-T092,20071211,OrderQuantity,1
BK-R64Y-44,20080403,OrderQuantity,1
BK-R19B-58,20080213,OrderQuantity,1
BK-M18S-42,20080205,OrderQuantity,1
HL-U509,20080102,OrderQuantity,1
HL-U509,20071122,OrderQuantity,1
BK-M38S-42,20080319,OrderQuantity,1
RA-H123,20070825,OrderQuantity,1
PK-7098,20080229,OrderQuantity,1
HL-U509,20080111,OrderQuantity,1
FE-6654,20080514,OrderQuantity,1
TI-R982,20070815,OrderQuantity,1
BC-M005,20080124,OrderQuantity,1
BK-R19B-58,20080317,OrderQuantity,1
BK-R89B-48,20070817,OrderQuantity,1
WB-H098,20070824,OrderQuantity,1
TT-M928,20080105,OrderQuantity,1
HL-U509-B,20071201,OrderQuantity,1
BC-M005,20080203,OrderQuantity,1
BK-R64Y-44,20071011,OrderQuantity,1
PK-7098,20080514,OrderQuantity,1
CA-1098,20080626,OrderQuantity,1
WB-H098,20080528,OrderQuantity,1
HL-U509-B,20070714,OrderQuantity,1
TT-T092,20070828,OrderQuantity,1
TI-M602,20070912,OrderQuantity,1
LJ-0192-L,20080129,OrderQuantity,1
BK-M18S-44,20080217,OrderQuantity,1
WB-H098,20080516,OrderQuantity,1
TT-R982,20070813,OrderQuantity,1
CA-1098,20080222,OrderQuantity,1
BK-R93R-44,20051225,OrderQuantity,1
FE-6654,20071218,OrderQuantity,1
TT-M928,20080702,OrderQuantity,1
GL-H102-L,20080505,OrderQuantity,1
PK-7098,20080501,OrderQuantity,1
WB-H098,20070902,OrderQuantity,1
BK-R19B-48,20071113,OrderQuantity,1
TI-M823,20080516,OrderQuantity,1
HL-U509,20080619,OrderQuantity,1
WB-H098,20080110,OrderQuantity,1
WB-H098,20071122,OrderQuantity,1
BK-R19B-52,20080401,OrderQuantity,1
BK-T18U-62,20071024,OrderQuantity,1
BK-M68B-46,20070410,OrderQuantity,1
BK-R79Y-44,20080520,OrderQuantity,1
TT-M928,20080220,OrderQuantity,1
BK-M68S-38,20080628,OrderQuantity,1
BK-M68S-46,20070620,OrderQuantity,1
BK-R89B-48,20070309,OrderQuantity,1
BK-M82S-48,20060421,OrderQuantity,1
BK-T44U-46,20080210,OrderQuantity,1
HL-U509,20080127,OrderQuantity,1
BC-R205,20070920,OrderQuantity,1
BK-R79Y-48,20080116,OrderQuantity,1
TI-M602,20080321,OrderQuantity,1
TT-T092,20080605,OrderQuantity,1
BK-M38S-38,20080503,OrderQuantity,1
BK-R19B-52,20070727,OrderQuantity,1
BK-T44U-50,20070716,SalesAmount,1214.85
TT-M928,20071110,SalesAmount,4.99
TI-R628,20070912,SalesAmount,24.99
LJ-0192-L,20080307,SalesAmount,49.99
TI-M267,20080204,SalesAmount,24.99
CA-1098,20071224,SalesAmount,8.99
LJ-0192-L,20080128,SalesAmount,49.99
BC-M005,20080117,SalesAmount,9.99
TI-M823,20080619,SalesAmount,35.0
HL-U509-B,20071223,SalesAmount,34.99
WB-H098,20070818,SalesAmount,4.99
WB-H098,20071128,SalesAmount,4.99
PK-7098,20071206,SalesAmount,2.29
HY-1023-70,20080303,SalesAmount,54.99
TT-T092,20080419,SalesAmount,4.99
TI-T723,20080602,SalesAmount,28.99
TI-M823,20080526,SalesAmount,35.0
WB-H098,20070805,SalesAmount,4.99
TI-M823,20080531,SalesAmount,35.0
TT-T092,20070918,SalesAmount,4.99
TT-R982,20080508,SalesAmount,3.99
HL-U509-B,20080215,SalesAmount,34.99
BC-M005,20071209,SalesAmount,9.99
BK-R19B-48,20080201,SalesAmount,539.99
BK-R64Y-44,20080203,SalesAmount,1120.49
PK-7098,20080127,SalesAmount,2.29
HL-U509-B,20080229,SalesAmount,34.99
TT-T092,20080110,SalesAmount,4.99
TT-M928,20080210,SalesAmount,4.99
BK-M82S-48,20050712,SalesAmount,3399.99
TT-M928,20071114,SalesAmount,4.99
WB-H098,20080617,SalesAmount,4.99
BK-R64Y-40,20080313,SalesAmount,1120.49
HL-U509-B,20071227,SalesAmount,34.99
LJ-0192-S,20071228,SalesAmount,49.99
BK-M38S-38,20071102,SalesAmount,769.49
BK-M68S-42,20070813,SalesAmount,2319.99
TI-M267,20070826,SalesAmount,24.99
TT-R982,20080111,SalesAmount,3.99
VE-C304-L,20071011,SalesAmount,63.5
BK-T79Y-54,20080328,SalesAmount,2384.07
TT-T092,20071211,SalesAmount,4.99
BK-R64Y-44,20080403,SalesAmount,1120.49
BK-R19B-58,20080213,SalesAmount,539.99
BK-M18S-42,20080205,SalesAmount,564.99
HL-U509,20080102,SalesAmount,34.99
HL-U509,20071122,SalesAmount,34.99
BK-M38S-42,20080319,SalesAmount,769.49
RA-H123,20070825,SalesAmount,120.0
PK-7098,20080229,SalesAmount,2.29
HL-U509,20080111,SalesAmount,34.99
FE-6654,20080514,SalesAmount,21.98
TI-R982,20070815,SalesAmount,32.6
BC-M005,20080124,SalesAmount,9.99
BK-R19B-58,20080317,SalesAmount,539.99
BK-R89B-48,20070817,SalesAmount,2443.35
WB-H098,20070824,SalesAmount,4.99
TT-M928,20080105,SalesAmount,4.99
HL-U509-B,20071201,SalesAmount,34.99
BC-M005,20080203,SalesAmount,9.99
BK-R64Y-44,20071011,SalesAmount,1120.49
PK-7098,20080514,SalesAmount,2.29
CA-1098,20080626,SalesAmount,8.99
WB-H098,20080528,SalesAmount,4.99
HL-U509-B,20070714,SalesAmount,34.99
TT-T092,20070828,SalesAmount,4.99
TI-M602,20070912,SalesAmount,29.99
LJ-0192-L,20080129,SalesAmount,49.99
BK-M18S-44,20080217,SalesAmount,564.99
WB-H098,20080516,SalesAmount,4.99
TT-R982,20070813,SalesAmount,3.99
CA-1098,20080222,SalesAmount,8.99
BK-R93R-44,20051225,SalesAmount,3578.27
FE-6654,20071218,SalesAmount,21.98
TT-M928,20080702,SalesAmount,4.99
GL-H102-L,20080505,SalesAmount,24.49
PK-7098,20080501,SalesAmount,2.29
WB-H098,20070902,SalesAmount,4.99
BK-R19B-48,20071113,SalesAmount,539.99
TI-M823,20080516,SalesAmount,35.0
HL-U509,20080619,SalesAmount,34.99
WB-H098,20080110,SalesAmount,4.99
WB-H098,20071122,SalesAmount,4.99
BK-R19B-52,20080401,SalesAmount,539.99
BK-T18U-62,20071024,SalesAmount,742.35
BK-M68B-46,20070410,SalesAmount,2049.0982
BK-R79Y-44,20080520,SalesAmount,1700.99
TT-M928,20080220,SalesAmount,4.99
BK-M68S-38,20080628,SalesAmount,2319.99
BK-M68S-46,20070620,SalesAmount,2071.4196
BK-R89B-48,20070309,SalesAmount,2181.5625
BK-M82S-48,20060421,SalesAmount,3399.99
BK-T44U-46,20080210,SalesAmount,1214.85
HL-U509,20080127,SalesAmount,34.99
BC-R205,20070920,SalesAmount,8.99
BK-R79Y-48,20080116,SalesAmount,1700.99
TI-M602,20080321,SalesAmount,29.99
TT-T092,20080605,SalesAmount,4.99
BK-M38S-38,20080503,SalesAmount,769.49
BK-R19B-52,20070727,SalesAmount,539.99
BK-T44U-50,20070716,OrderDate,2007-07-16 00:00:00.000
TT-M928,20071110,OrderDate,2007-11-10 00:00:00.000
TI-R628,20070912,OrderDate,2007-09-12 00:00:00.000
LJ-0192-L,20080307,OrderDate,2008-03-07 00:00:00.000
TI-M267,20080204,OrderDate,2008-02-04 00:00:00.000
CA-1098,20071224,OrderDate,2007-12-24 00:00:00.000
LJ-0192-L,20080128,OrderDate,2008-01-28 00:00:00.000
BC-M005,20080117,OrderDate,2008-01-17 00:00:00.000
TI-M823,20080619,OrderDate,2008-06-19 00:00:00.000
HL-U509-B,20071223,OrderDate,2007-12-23 00:00:00.000
WB-H098,20070818,OrderDate,2007-08-18 00:00:00.000
WB-H098,20071128,OrderDate,2007-11-28 00:00:00.000
PK-7098,20071206,OrderDate,2007-12-06 00:00:00.000
HY-1023-70,20080303,OrderDate,2008-03-03 00:00:00.000
TT-T092,20080419,OrderDate,2008-04-19 00:00:00.000
TI-T723,20080602,OrderDate,2008-06-02 00:00:00.000
TI-M823,20080526,OrderDate,2008-05-26 00:00:00.000
WB-H098,20070805,OrderDate,2007-08-05 00:00:00.000
TI-M823,20080531,OrderDate,2008-05-31 00:00:00.000
TT-T092,20070918,OrderDate,2007-09-18 00:00:00.000
TT-R982,20080508,OrderDate,2008-05-08 00:00:00.000
HL-U509-B,20080215,OrderDate,2008-02-15 00:00:00.000
BC-M005,20071209,OrderDate,2007-12-09 00:00:00.000
BK-R19B-48,20080201,OrderDate,2008-02-01 00:00:00.000
BK-R64Y-44,20080203,OrderDate,2008-02-03 00:00:00.000
PK-7098,20080127,OrderDate,2008-01-27 00:00:00.000
HL-U509-B,20080229,OrderDate,2008-02-29 00:00:00.000
TT-T092,20080110,OrderDate,2008-01-10 00:00:00.000
TT-M928,20080210,OrderDate,2008-02-10 00:00:00.000
BK-M82S-48,20050712,OrderDate,2005-07-12 00:00:00.000
TT-M928,20071114,OrderDate,2007-11-14 00:00:00.000
WB-H098,20080617,OrderDate,2008-06-17 00:00:00.000
BK-R64Y-40,20080313,OrderDate,2008-03-13 00:00:00.000
HL-U509-B,20071227,OrderDate,2007-12-27 00:00:00.000
LJ-0192-S,20071228,OrderDate,2007-12-28 00:00:00.000
BK-M38S-38,20071102,OrderDate,2007-11-02 00:00:00.000
BK-M68S-42,20070813,OrderDate,2007-08-13 00:00:00.000
TI-M267,20070826,OrderDate,2007-08-26 00:00:00.000
TT-R982,20080111,OrderDate,2008-01-11 00:00:00.000
VE-C304-L,20071011,OrderDate,2007-10-11 00:00:00.000
BK-T79Y-54,20080328,OrderDate,2008-03-28 00:00:00.000
TT-T092,20071211,OrderDate,2007-12-11 00:00:00.000
BK-R64Y-44,20080403,OrderDate,2008-04-03 00:00:00.000
BK-R19B-58,20080213,OrderDate,2008-02-13 00:00:00.000
BK-M18S-42,20080205,OrderDate,2008-02-05 00:00:00.000
HL-U509,20080102,OrderDate,2008-01-02 00:00:00.000
HL-U509,20071122,OrderDate,2007-11-22 00:00:00.000
BK-M38S-42,20080319,OrderDate,2008-03-19 00:00:00.000
RA-H123,20070825,OrderDate,2007-08-25 00:00:00.000
PK-7098,20080229,OrderDate,2008-02-29 00:00:00.000
HL-U509,20080111,OrderDate,2008-01-11 00:00:00.000
FE-6654,20080514,OrderDate,2008-05-14 00:00:00.000
TI-R982,20070815,OrderDate,2007-08-15 00:00:00.000
BC-M005,20080124,OrderDate,2008-01-24 00:00:00.000
BK-R19B-58,20080317,OrderDate,2008-03-17 00:00:00.000
BK-R89B-48,20070817,OrderDate,2007-08-17 00:00:00.000
WB-H098,20070824,OrderDate,2007-08-24 00:00:00.000
TT-M928,20080105,OrderDate,2008-01-05 00:00:00.000
HL-U509-B,20071201,OrderDate,2007-12-01 00:00:00.000
BC-M005,20080203,OrderDate,2008-02-03 00:00:00.000
BK-R64Y-44,20071011,OrderDate,2007-10-11 00:00:00.000
PK-7098,20080514,OrderDate,2008-05-14 00:00:00.000
CA-1098,20080626,OrderDate,2008-06-26 00:00:00.000
WB-H098,20080528,OrderDate,2008-05-28 00:00:00.000
HL-U509-B,20070714,OrderDate,2007-07-14 00:00:00.000
TT-T092,20070828,OrderDate,2007-08-28 00:00:00.000
TI-M602,20070912,OrderDate,2007-09-12 00:00:00.000
LJ-0192-L,20080129,OrderDate,2008-01-29 00:00:00.000
BK-M18S-44,20080217,OrderDate,2008-02-17 00:00:00.000
WB-H098,20080516,OrderDate,2008-05-16 00:00:00.000
TT-R982,20070813,OrderDate,2007-08-13 00:00:00.000
