Date,Year,Quarter,MonthOfYear,DayOfMonth,Month Name,Short Month & Year,Quarter & Year,DayInWeek,DayOfWeekName,WeekEnding,Week Number,MonthnYear,QuarternYear,ShortYear,FY,Month & Year
2015-07-15 00:00:00.000,2015,3,7,15,"July","Jul 2015","Q3 2015",2,"Wednesday",2015-07-19 00:00:00.000,29,20150700,20150300,"15","FY16","July 2015"
2015-07-16 00:00:00.000,2015,3,7,16,"July","Jul 2015","Q3 2015",3,"Thursday",2015-07-19 00:00:00.000,29,20150700,20150300,"15","FY16","July 2015"
2015-07-17 00:00:00.000,2015,3,7,17,"July","Jul 2015","Q3 2015",4,"Friday",2015-07-19 00:00:00.000,29,20150700,20150300,"15","FY16","July 2015"
2015-07-18 00:00:00.000,2015,3,7,18,"July","Jul 2015","Q3 2015",5,"Saturday",2015-07-19 00:00:00.000,29,20150700,20150300,"15","FY16","July 2015"
2015-07-19 00:00:00.000,2015,3,7,19,"July","Jul 2015","Q3 2015",6,"Sunday",2015-07-19 00:00:00.000,29,20150700,20150300,"15","FY16","July 2015"
2016-07-11 00:00:00.000,2016,3,7,11,"July","Jul 2016","Q3 2016",0,"Monday",2016-07-17 00:00:00.000,29,20160700,20160300,"16","FY17","July 2016"
2016-07-12 00:00:00.000,2016,3,7,12,"July","Jul 2016","Q3 2016",1,"Tuesday",2016-07-17 00:00:00.000,29,20160700,20160300,"16","FY17","July 2016"
2016-07-13 00:00:00.000,2016,3,7,13,"July","Jul 2016","Q3 2016",2,"Wednesday",2016-07-17 00:00:00.000,29,20160700,20160300,"16","FY17","July 2016"
2016-07-14 00:00:00.000,2016,3,7,14,"July","Jul 2016","Q3 2016",3,"Thursday",2016-07-17 00:00:00.000,29,20160700,20160300,"16","FY17","July 2016"
2016-07-15 00:00:00.000,2016,3,7,15,"July","Jul 2016","Q3 2016",4,"Friday",2016-07-17 00:00:00.000,29,20160700,20160300,"16","FY17","July 2016"
2016-07-16 00:00:00.000,2016,3,7,16,"July","Jul 2016","Q3 2016",5,"Saturday",2016-07-17 00:00:00.000,29,20160700,20160300,"16","FY17","July 2016"
2016-07-17 00:00:00.000,2016,3,7,17,"July","Jul 2016","Q3 2016",6,"Sunday",2016-07-17 00:00:00.000,29,20160700,20160300,"16","FY17","July 2016"
2017-07-10 00:00:00.000,2017,3,7,10,"July","Jul 2017","Q3 2017",0,"Monday",2017-07-16 00:00:00.000,29,20170700,20170300,"17","FY18","July 2017"
2017-07-11 00:00:00.000,2017,3,7,11,"July","Jul 2017","Q3 2017",1,"Tuesday",2017-07-16 00:00:00.000,29,20170700,20170300,"17","FY18","July 2017"
2017-07-12 00:00:00.000,2017,3,7,12,"July","Jul 2017","Q3 2017",2,"Wednesday",2017-07-16 00:00:00.000,29,20170700,20170300,"17","FY18","July 2017"
2017-07-13 00:00:00.000,2017,3,7,13,"July","Jul 2017","Q3 2017",3,"Thursday",2017-07-16 00:00:00.000,29,20170700,20170300,"17","FY18","July 2017"
2017-07-14 00:00:00.000,2017,3,7,14,"July","Jul 2017","Q3 2017",4,"Friday",2017-07-16 00:00:00.000,29,20170700,20170300,"17","FY18","July 2017"
2017-07-15 00:00:00.000,2017,3,7,15,"July","Jul 2017","Q3 2017",5,"Saturday",2017-07-16 00:00:00.000,29,20170700,20170300,"17","FY18","July 2017"
2017-07-16 00:00:00.000,2017,3,7,16,"July","Jul 2017","Q3 2017",6,"Sunday",2017-07-16 00:00:00.000,29,20170700,20170300,"17","FY18","July 2017"
2018-07-16 00:00:00.000,2018,3,7,16,"July","Jul 2018","Q3 2018",0,"Monday",2018-07-22 00:00:00.000,29,20180700,20180300,"18","FY19","July 2018"
2018-07-17 00:00:00.000,2018,3,7,17,"July","Jul 2018","Q3 2018",1,"Tuesday",2018-07-22 00:00:00.000,29,20180700,20180300,"18","FY19","July 2018"
2018-07-18 00:00:00.000,2018,3,7,18,"July","Jul 2018","Q3 2018",2,"Wednesday",2018-07-22 00:00:00.000,29,20180700,20180300,"18","FY19","July 2018"
2018-07-19 00:00:00.000,2018,3,7,19,"July","Jul 2018","Q3 2018",3,"Thursday",2018-07-22 00:00:00.000,29,20180700,20180300,"18","FY19","July 2018"
2018-07-20 00:00:00.000,2018,3,7,20,"July","Jul 2018","Q3 2018",4,"Friday",2018-07-22 00:00:00.000,29,20180700,20180300,"18","FY19","July 2018"
2018-07-21 00:00:00.000,2018,3,7,21,"July","Jul 2018","Q3 2018",5,"Saturday",2018-07-22 00:00:00.000,29,20180700,20180300,"18","FY19","July 2018"
2018-07-22 00:00:00.000,2018,3,7,22,"July","Jul 2018","Q3 2018",6,"Sunday",2018-07-22 00:00:00.000,29,20180700,20180300,"18","FY19","July 2018"
2019-07-15 00:00:00.000,2019,3,7,15,"July","Jul 2019","Q3 2019",0,"Monday",2019-07-21 00:00:00.000,29,20190700,20190300,"19","FY20","July 2019"
2019-07-16 00:00:00.000,2019,3,7,16,"July","Jul 2019","Q3 2019",1,"Tuesday",2019-07-21 00:00:00.000,29,20190700,20190300,"19","FY20","July 2019"
2019-07-17 00:00:00.000,2019,3,7,17,"July","Jul 2019","Q3 2019",2,"Wednesday",2019-07-21 00:00:00.000,29,20190700,20190300,"19","FY20","July 2019"
2019-07-18 00:00:00.000,2019,3,7,18,"July","Jul 2019","Q3 2019",3,"Thursday",2019-07-21 00:00:00.000,29,20190700,20190300,"19","FY20","July 2019"
2019-07-19 00:00:00.000,2019,3,7,19,"July","Jul 2019","Q3 2019",4,"Friday",2019-07-21 00:00:00.000,29,20190700,20190300,"19","FY20","July 2019"
2019-07-20 00:00:00.000,2019,3,7,20,"July","Jul 2019","Q3 2019",5,"Saturday",2019-07-21 00:00:00.000,29,20190700,20190300,"19","FY20","July 2019"
2019-07-21 00:00:00.000,2019,3,7,21,"July","Jul 2019","Q3 2019",6,"Sunday",2019-07-21 00:00:00.000,29,20190700,20190300,"19","FY20","July 2019"
2020-07-13 00:00:00.000,2020,3,7,13,"July","Jul 2020","Q3 2020",0,"Monday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21","July 2020"
2020-07-14 00:00:00.000,2020,3,7,14,"July","Jul 2020","Q3 2020",1,"Tuesday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21","July 2020"
2020-07-15 00:00:00.000,2020,3,7,15,"July","Jul 2020","Q3 2020",2,"Wednesday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21","July 2020"
2020-07-16 00:00:00.000,2020,3,7,16,"July","Jul 2020","Q3 2020",3,"Thursday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21","July 2020"
2020-07-17 00:00:00.000,2020,3,7,17,"July","Jul 2020","Q3 2020",4,"Friday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21","July 2020"
2020-07-18 00:00:00.000,2020,3,7,18,"July","Jul 2020","Q3 2020",5,"Saturday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21","July 2020"
2020-07-19 00:00:00.000,2020,3,7,19,"July","Jul 2020","Q3 2020",6,"Sunday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21","July 2020"
2021-07-12 00:00:00.000,2021,3,7,12,"July","Jul 2021","Q3 2021",0,"Monday",2021-07-18 00:00:00.000,29,20210700,20210300,"21","FY22","July 2021"
2021-07-13 00:00:00.000,2021,3,7,13,"July","Jul 2021","Q3 2021",1,"Tuesday",2021-07-18 00:00:00.000,29,20210700,20210300,"21","FY22","July 2021"
2021-07-14 00:00:00.000,2021,3,7,14,"July","Jul 2021","Q3 2021",2,"Wednesday",2021-07-18 00:00:00.000,29,20210700,20210300,"21","FY22","July 2021"
2021-07-15 00:00:00.000,2021,3,7,15,"July","Jul 2021","Q3 2021",3,"Thursday",2021-07-18 00:00:00.000,29,20210700,20210300,"21","FY22","July 2021"
2021-07-16 00:00:00.000,2021,3,7,16,"July","Jul 2021","Q3 2021",4,"Friday",2021-07-18 00:00:00.000,29,20210700,20210300,"21","FY22","July 2021"
2021-07-17 00:00:00.000,2021,3,7,17,"July","Jul 2021","Q3 2021",5,"Saturday",2021-07-18 00:00:00.000,29,20210700,20210300,"21","FY22","July 2021"
2021-07-18 00:00:00.000,2021,3,7,18,"July","Jul 2021","Q3 2021",6,"Sunday",2021-07-18 00:00:00.000,29,20210700,20210300,"21","FY22","July 2021"
2022-07-11 00:00:00.000,2022,3,7,11,"July","Jul 2022","Q3 2022",0,"Monday",2022-07-17 00:00:00.000,29,20220700,20220300,"22","FY23","July 2022"
2022-07-12 00:00:00.000,2022,3,7,12,"July","Jul 2022","Q3 2022",1,"Tuesday",2022-07-17 00:00:00.000,29,20220700,20220300,"22","FY23","July 2022"
2022-07-13 00:00:00.000,2022,3,7,13,"July","Jul 2022","Q3 2022",2,"Wednesday",2022-07-17 00:00:00.000,29,20220700,20220300,"22","FY23","July 2022"
2022-07-14 00:00:00.000,2022,3,7,14,"July","Jul 2022","Q3 2022",3,"Thursday",2022-07-17 00:00:00.000,29,20220700,20220300,"22","FY23","July 2022"
2022-07-15 00:00:00.000,2022,3,7,15,"July","Jul 2022","Q3 2022",4,"Friday",2022-07-17 00:00:00.000,29,20220700,20220300,"22","FY23","July 2022"
2022-07-16 00:00:00.000,2022,3,7,16,"July","Jul 2022","Q3 2022",5,"Saturday",2022-07-17 00:00:00.000,29,20220700,20220300,"22","FY23","July 2022"
2022-07-17 00:00:00.000,2022,3,7,17,"July","Jul 2022","Q3 2022",6,"Sunday",2022-07-17 00:00:00.000,29,20220700,20220300,"22","FY23","July 2022"
2013-07-22 00:00:00.000,2013,3,7,22,"July","Jul 2013","Q3 2013",0,"Monday",2013-07-28 00:00:00.000,30,20130700,20130300,"13","FY14","July 2013"
2013-07-23 00:00:00.000,2013,3,7,23,"July","Jul 2013","Q3 2013",1,"Tuesday",2013-07-28 00:00:00.000,30,20130700,20130300,"13","FY14","July 2013"
2013-07-24 00:00:00.000,2013,3,7,24,"July","Jul 2013","Q3 2013",2,"Wednesday",2013-07-28 00:00:00.000,30,20130700,20130300,"13","FY14","July 2013"
2013-07-25 00:00:00.000,2013,3,7,25,"July","Jul 2013","Q3 2013",3,"Thursday",2013-07-28 00:00:00.000,30,20130700,20130300,"13","FY14","July 2013"
2013-07-26 00:00:00.000,2013,3,7,26,"July","Jul 2013","Q3 2013",4,"Friday",2013-07-28 00:00:00.000,30,20130700,20130300,"13","FY14","July 2013"
2013-07-27 00:00:00.000,2013,3,7,27,"July","Jul 2013","Q3 2013",5,"Saturday",2013-07-28 00:00:00.000,30,20130700,20130300,"13","FY14","July 2013"
2013-07-28 00:00:00.000,2013,3,7,28,"July","Jul 2013","Q3 2013",6,"Sunday",2013-07-28 00:00:00.000,30,20130700,20130300,"13","FY14","July 2013"
2014-07-21 00:00:00.000,2014,3,7,21,"July","Jul 2014","Q3 2014",0,"Monday",2014-07-27 00:00:00.000,30,20140700,20140300,"14","FY15","July 2014"
2014-07-22 00:00:00.000,2014,3,7,22,"July","Jul 2014","Q3 2014",1,"Tuesday",2014-07-27 00:00:00.000,30,20140700,20140300,"14","FY15","July 2014"
2014-07-23 00:00:00.000,2014,3,7,23,"July","Jul 2014","Q3 2014",2,"Wednesday",2014-07-27 00:00:00.000,30,20140700,20140300,"14","FY15","July 2014"
2014-07-24 00:00:00.000,2014,3,7,24,"July","Jul 2014","Q3 2014",3,"Thursday",2014-07-27 00:00:00.000,30,20140700,20140300,"14","FY15","July 2014"
2014-07-25 00:00:00.000,2014,3,7,25,"July","Jul 2014","Q3 2014",4,"Friday",2014-07-27 00:00:00.000,30,20140700,20140300,"14","FY15","July 2014"
2014-07-26 00:00:00.000,2014,3,7,26,"July","Jul 2014","Q3 2014",5,"Saturday",2014-07-27 00:00:00.000,30,20140700,20140300,"14","FY15","July 2014"
2014-07-27 00:00:00.000,2014,3,7,27,"July","Jul 2014","Q3 2014",6,"Sunday",2014-07-27 00:00:00.000,30,20140700,20140300,"14","FY15","July 2014"
2015-07-20 00:00:00.000,2015,3,7,20,"July","Jul 2015","Q3 2015",0,"Monday",2015-07-26 00:00:00.000,30,20150700,20150300,"15","FY16","July 2015"
2015-07-21 00:00:00.000,2015,3,7,21,"July","Jul 2015","Q3 2015",1,"Tuesday",2015-07-26 00:00:00.000,30,20150700,20150300,"15","FY16","July 2015"
2015-07-22 00:00:00.000,2015,3,7,22,"July","Jul 2015","Q3 2015",2,"Wednesday",2015-07-26 00:00:00.000,30,20150700,20150300,"15","FY16","July 2015"
2015-07-23 00:00:00.000,2015,3,7,23,"July","Jul 2015","Q3 2015",3,"Thursday",2015-07-26 00:00:00.000,30,20150700,20150300,"15","FY16","July 2015"
