responseID,responseID_primary key_cleaned,gender,age,age range,Study,campusdesc,Origin Area,Origin Flyke,Origin City,Place,citizendesc,Salary
388,282,"M",46,"46-50","Medicine","Oslo","Southen area","Agder","Grimstad","Grimstad, Norway","Norway",719281
398,291,"M",52,"50+","Rocket Science","Oslo","Southen area","Agder","Arendal","Arendal, Norway","Norway",707711
400,292,"M",49,"46-50","Mathematics","Oslo","Northen area","Møre og Romsdal","Molde","Molde, Norway","Norway",492963
407,297,"M",26,"26-30","Rocket Science","Oslo","Southen area","Rogaland","Haugesund","Haugesund, Norway","Norway",439760
416,305,"M",36,"36-40","Carpenter","Oslo","Southen area","Rogaland","Egersund","Egersund, Norway","Norway",349866
424,310,"M",30,"26-30","IT-Management","Oslo","Southen area","Rogaland","Egersund","Egersund, Norway","Norway",146691
435,319,"M",35,"31-35","Geology","Oslo","Southen area","Vestfold og Telemark","Porsgrunn","Porsgrunn, Norway","Norway",324168
439,322,"M",19,"18-25","Teaching","Oslo","Eastern area","Oslo","Oslo","Oslo, Norway","Norway",204722
440,323,"M",37,"36-40","Medicine","Oslo","Inland area","Innlandet","Aurdal","Aurdal, Norway","Norway",220561
447,326,"M",51,"50+","Art","Oslo","Northen area","Trøndelag","Levanger","Levanger, Norway","Norway",818681
450,328,"M",47,"46-50","IT-Management","Oslo","Northen area","Trøndelag","Stjordal","Stjordal, Norway","Norway",719391
461,338,"M",33,"31-35","IT-Management","Oslo","Northen area","Troms og Finnmark","Tromso","Tromso, Norway","Norway",548979
479,351,"M",55,"50+","Rocket Science","Oslo","Southen area","Rogaland","Stavanger","Stavanger, Norway","Norway",1001740
486,356,"M",30,"26-30","Journalism","Oslo","Eastern area","Viken","Lorenskog","Lorenskog, Norway","Norway",435437
488,358,"M",23,"18-25","Geology","Oslo","Southen area","Rogaland","Haugesund","Haugesund, Norway","Norway",177444
489,359,"M",24,"18-25","IT-Management","Oslo","Northen area","Trøndelag","Namsos","Namsos, Norway","Norway",296185
493,361,"M",31,"31-35","Mathematics","Oslo","Southen area","Vestfold og Telemark","Sandefjord","Sandefjord, Norway","Norway",258860
501,366,"M",18,"18-25","Journalism","Oslo","Southen area","Rogaland","Haugesund","Haugesund, Norway","Norway",376781
509,373,"M",35,"31-35","Rocket Science","Oslo","Southen area","Agder","Flekkefjord","Flekkefjord, Norway","Norway",185258
524,384,"M",31,"31-35","Supply Chain Management","Oslo","Northen area","Trøndelag","Trondheim","Trondheim, Norway","Norway",441838
539,397,"M",30,"26-30","IT-Management","Oslo","Northen area","Trøndelag","Steinkjer","Steinkjer, Norway","Norway",568275
545,400,"M",39,"36-40","Farming","Oslo","Eastern area","Oslo","Oslo","Oslo, Norway","Norway",453016
560,411,"M",29,"26-30","IT-Management","Oslo","Southen area","Agder","Vennesla","Vennesla, Norway","Norway",368264
567,416,"M",54,"50+","Art","Oslo","Eastern area","Viken","Asker","Asker, Norway","Norway",415318
573,421,"M",39,"36-40","Mathematics","Oslo","Northen area","Møre og Romsdal","Kristiansund","Kristiansund, Norway","Norway",457352
576,422,"M",20,"18-25","Law","Oslo","Inland area","Innlandet","Hamar","Hamar, Norway","Norway",461454
578,423,"M",39,"36-40","Geology","Oslo","Northen area","Nordland","Kabelvag","Kabelvag, Norway","Norway",417423
585,427,"M",44,"41-45","Neural Science","Oslo","Southen area","Vestfold og Telemark","Sandefjord","Sandefjord, Norway","Norway",727347
589,430,"M",30,"26-30","Farming","Oslo","Southen area","Rogaland","Nedre Vats","Nedre Vats, Norway","Norway",202907
605,439,"M",27,"26-30","Journalism","Oslo","Western area","Vestland","Hagavik","Hagavik, Norway","Norway",452542
608,441,"M",35,"31-35","Defence","Oslo","Southen area","Vestfold og Telemark","Skien","Skien, Norway","Norway",177404
616,447,"M",34,"31-35","Mathematics","Oslo","Southen area","Agder","Kristiansand","Kristiansand, Norway","Norway",273258
618,449,"M",48,"46-50","Rocket Science","Oslo","Eastern area","Oslo","Oslo","Oslo, Norway","Norway",632246
620,450,"M",49,"46-50","Carpenter","Oslo","Southen area","Vestfold og Telemark","Skien","Skien, Norway","Norway",604102
621,451,"M",48,"46-50","IT-Management","Oslo","Northen area","Møre og Romsdal","Alesund","Alesund, Norway","Norway",639199
624,452,"M",36,"36-40","Rocket Science","Oslo","Inland area","Innlandet","Hamar","Hamar, Norway","Norway",394106
659,476,"M",48,"46-50","IT-Management","Oslo","Western area","Vestland","Stord","Stord, Norway","Norway",722381
666,481,"M",45,"41-45","Rocket Science","Oslo","Eastern area","Viken","Nittedal","Nittedal, Norway","Norway",794777
668,483,"M",21,"18-25","Defence","Oslo","Southen area","Vestfold og Telemark","Larvik","Larvik, Norway","Norway",449088
672,486,"M",24,"18-25","IT-Management","Oslo","Southen area","Vestfold og Telemark","Skien","Skien, Norway","Norway",382483
682,494,"M",21,"18-25","Rocket Science","Oslo","Eastern area","Oslo","Oslo","Oslo, Norway","Norway",487280
692,498,"M",46,"46-50","Mathematics","Oslo","Inland area","Innlandet","Hamar","Hamar, Norway","Norway",270062
696,501,"M",44,"41-45","Journalism","Oslo","Southen area","Agder","Arendal","Arendal, Norway","Norway",675813
698,503,"M",43,"41-45","IT-Management","Oslo","Southen area","Agder","Flekkefjord","Flekkefjord, Norway","Norway",697004
701,505,"M",41,"41-45","Marine Biology","Oslo","Southen area","Vestfold og Telemark","Tonsberg","Tonsberg, Norway","Norway",720976
702,506,"M",29,"26-30","IT-Management","Oslo","Inland area","Innlandet","Hamar","Hamar, Norway","Norway",500289
706,507,"M",32,"31-35","Marine Biology","Oslo","Eastern area","Viken","Fredrikstad","Fredrikstad, Norway","Norway",374403
709,509,"M",29,"26-30","Mathematics","Oslo","Northen area","Trøndelag","Straumen","Straumen, Norway","Norway",377108
712,511,"M",50,"46-50","Mathematics","Oslo","Southen area","Rogaland","Sandnes","Sandnes, Norway","Norway",549721
713,512,"M",55,"50+","IT-Management","Oslo","Northen area","Møre og Romsdal","Alesund","Alesund, Norway","Norway",84
728,524,"M",22,"18-25","Defence","Oslo","Eastern area","Viken","Ski","Ski, Norway","Norway",134061
736,531,"M",33,"31-35","IT-Management","Oslo","Northen area","Trøndelag","Verdalsora","Verdalsora, Norway","Norway",520228
743,535,"M",50,"46-50","Journalism","Oslo","Northen area","Møre og Romsdal","Kristiansund","Kristiansund, Norway","Norway",416908
745,537,"M",51,"50+","IT-Management","Oslo","Southen area","Vestfold og Telemark","Tonsberg","Tonsberg, Norway","Norway",651314
748,540,"M",43,"41-45","Carpenter","Oslo","Inland area","Innlandet","Gjovik","Gjovik, Norway","Norway",649554
761,546,"M",33,"31-35","IT-Management","Oslo","Inland area","Innlandet","Raufoss","Raufoss, Norway","Norway",554758
763,548,"M",31,"31-35","Marine Biology","Oslo","Northen area","Nordland","Alsvag","Alsvag, Norway","Norway",218345
768,551,"M",29,"26-30","IT-Management","Oslo","Southen area","Agder","Mandal","Mandal, Norway","Norway",341401
777,555,"M",44,"41-45","Journalism","Oslo","Eastern area","Viken","Skedsmokorset","Skedsmokorset, Norway","Norway",244257
779,556,"M",24,"18-25","IT-Management","Oslo","Southen area","Rogaland","Stavanger","Stavanger, Norway","Norway",435280
785,560,"M",32,"31-35","Art","Oslo","Southen area","Vestfold og Telemark","Skien","Skien, Norway","Norway",226967
