Order Number,Date,Ship Date,Customer Name Index,Channel,Warehouse Code,Warehouse,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue,Channel Code 
SO - 0003265,2017-11-26 00:00:00.000,2017-12-02 00:00:00.000,45,Wholesale,AXW291,AXW,55,7,8,3973.1,1708.433,31784.8,WHOL
SO - 0004857,2017-10-27 00:00:00.000,2017-11-04 00:00:00.000,22,Export,AXW291,AXW,62,13,10,180.9,88.641,1809.0,EXPO
SO - 0001313,2017-05-10 00:00:00.000,2017-05-16 00:00:00.000,20,Wholesale,AXW291,AXW,6,9,9,180.9,85.023,1628.1,WHOL
SO - 0003162,2019-03-11 00:00:00.000,2019-03-24 00:00:00.000,35,Wholesale,NXH382,NXH,48,13,11,1909.5,1451.22,21004.5,WHOL
SO - 000885,2018-01-31 00:00:00.000,2018-02-12 00:00:00.000,6,Wholesale,AXW291,AXW,50,5,12,3986.5,2870.28,47838.0,WHOL
SO - 000574,2018-03-08 00:00:00.000,2018-03-23 00:00:00.000,40,Export,AXW291,AXW,57,5,5,1876.0,1350.72,9380.0,EXPO
SO - 0003279,2018-09-01 00:00:00.000,2018-09-08 00:00:00.000,13,Distributor,GUT930,GUT,79,12,11,5433.7,3097.209,59770.7,DIST
SO - 0003098,2018-08-22 00:00:00.000,2018-09-02 00:00:00.000,17,Wholesale,GUT930,GUT,32,5,11,207.7,95.542,2284.7000000000003,WHOL
SO - 0001800,2018-12-25 00:00:00.000,2019-01-11 00:00:00.000,9,Distributor,GUT930,GUT,90,1,6,180.9,130.248,1085.4,DIST
SO - 0006399,2017-12-20 00:00:00.000,2017-12-25 00:00:00.000,50,Wholesale,AXW291,AXW,5,5,6,1333.3,1026.641,7999.799999999998,WHOL
SO - 0002404,2017-03-21 00:00:00.000,2017-04-01 00:00:00.000,44,Wholesale,AXW291,AXW,25,2,9,6157.3,4802.694,55415.7,WHOL
SO - 0001909,2017-03-28 00:00:00.000,2017-04-06 00:00:00.000,42,Wholesale,AXW291,AXW,86,5,12,6539.2,4708.223999999999,78470.4,WHOL
SO - 000653,2018-12-05 00:00:00.000,2018-12-11 00:00:00.000,45,Distributor,GUT930,GUT,52,7,12,1159.1,533.186,13909.2,DIST
SO - 0003616,2018-06-26 00:00:00.000,2018-07-03 00:00:00.000,31,Wholesale,GUT930,GUT,74,12,6,1051.9,462.83600000000007,6311.4000000000015,WHOL
SO - 0002692,2017-09-24 00:00:00.000,2017-10-10 00:00:00.000,32,Wholesale,AXW291,AXW,59,13,10,1293.1,724.1360000000003,12931.000000000002,WHOL
SO - 0005568,2018-03-06 00:00:00.000,2018-03-15 00:00:00.000,4,Wholesale,AXW291,AXW,68,7,10,1058.6,539.8860000000001,10586.000000000002,WHOL
SO - 0008011,2017-05-02 00:00:00.000,2017-05-19 00:00:00.000,36,Wholesale,AXW291,AXW,53,11,5,227.8,127.568,1139.0,WHOL
SO - 0003152,2018-06-01 00:00:00.000,2018-06-15 00:00:00.000,25,Wholesale,GUT930,GUT,19,5,6,2338.3,1894.0230000000004,14029.8,WHOL
SO - 0001151,2017-03-05 00:00:00.000,2017-03-13 00:00:00.000,4,Wholesale,AXW291,AXW,18,11,10,2907.8,2180.8500000000004,29078.0,WHOL
SO - 0005218,2017-05-12 00:00:00.000,2017-05-27 00:00:00.000,41,Wholesale,AXW291,AXW,64,1,10,3872.6,2517.19,38726.0,WHOL
SO - 0003966,2017-12-31 00:00:00.000,2018-01-15 00:00:00.000,8,Wholesale,AXW291,AXW,65,7,12,6478.9000000000015,4664.808,77746.8,WHOL
SO - 0007904,2019-05-27 00:00:00.000,2019-06-07 00:00:00.000,38,Export,NXH382,NXH,61,2,7,187.6,123.816,1313.2,EXPO
SO - 0001694,2018-05-21 00:00:00.000,2018-06-06 00:00:00.000,47,Wholesale,GUT930,GUT,9,5,7,1112.2,756.296,7785.4000000000015,WHOL
SO - 0003358,2018-02-02 00:00:00.000,2018-02-20 00:00:00.000,20,Export,AXW291,AXW,95,2,8,1018.4,539.7520000000001,8147.2,EXPO
SO - 0004455,2019-01-09 00:00:00.000,2019-01-18 00:00:00.000,40,Wholesale,GUT930,GUT,1,2,5,1051.9,452.317,5259.5,WHOL
SO - 0001469,2017-11-05 00:00:00.000,2017-11-19 00:00:00.000,39,Wholesale,AXW291,AXW,80,7,8,2532.6,1899.45,20260.8,WHOL
SO - 0002583,2018-02-06 00:00:00.000,2018-02-20 00:00:00.000,20,Export,AXW291,AXW,26,7,10,1701.8,867.918,17018.0,EXPO
SO - 0006894,2019-10-28 00:00:00.000,2019-10-31 00:00:00.000,17,Wholesale,FLR025,FLR,53,1,5,1018.4,661.96,5092.0,WHOL
SO - 0002273,2018-03-08 00:00:00.000,2018-03-24 00:00:00.000,19,Wholesale,AXW291,AXW,36,7,9,1139.0,751.74,10251.0,WHOL
SO - 0005074,2018-05-21 00:00:00.000,2018-06-03 00:00:00.000,18,Export,GUT930,GUT,17,3,10,214.4,109.344,2144.0,EXPO
SO - 000678,2019-05-20 00:00:00.000,2019-05-27 00:00:00.000,18,Wholesale,NXH382,NXH,33,13,11,5567.7,4565.513999999999,61244.7,WHOL
SO - 0003757,2017-01-19 00:00:00.000,2017-01-23 00:00:00.000,44,Wholesale,AXW291,AXW,83,11,9,2445.5,1393.935,22009.5,WHOL
SO - 0002950,2017-12-02 00:00:00.000,2017-12-19 00:00:00.000,34,Wholesale,AXW291,AXW,19,11,11,3865.9,1932.95,42524.9,WHOL
SO - 0002643,2017-08-15 00:00:00.000,2017-08-18 00:00:00.000,12,Wholesale,AXW291,AXW,60,1,11,1025.1,584.307,11276.100000000002,WHOL
SO - 0006867,2019-09-10 00:00:00.000,2019-09-25 00:00:00.000,38,Wholesale,FLR025,FLR,81,5,8,3899.4,2573.6040000000003,31195.2,WHOL
SO - 0001997,2019-09-07 00:00:00.000,2019-09-11 00:00:00.000,1,Distributor,FLR025,FLR,47,11,11,2010.0,864.3,22110.0,DIST
SO - 000311,2017-09-03 00:00:00.000,2017-09-16 00:00:00.000,50,Export,AXW291,AXW,32,9,10,2606.3,1668.0320000000002,26063.0,EXPO
SO - 0003614,2019-10-22 00:00:00.000,2019-11-07 00:00:00.000,33,Distributor,FLR025,FLR,94,11,12,777.2,334.196,9326.4,DIST
SO - 0002352,2018-06-13 00:00:00.000,2018-06-18 00:00:00.000,17,Distributor,GUT930,GUT,67,5,5,1139.0,626.45,5695.0,DIST
SO - 0007473,2019-11-03 00:00:00.000,2019-11-09 00:00:00.000,25,Distributor,FLR025,FLR,86,4,7,2599.6,1819.72,18197.2,DIST
SO - 0006907,2018-04-17 00:00:00.000,2018-04-21 00:00:00.000,9,Distributor,AXW291,AXW,37,5,11,850.9,714.756,9359.9,DIST
SO - 0004878,2018-09-16 00:00:00.000,2018-09-20 00:00:00.000,29,Export,GUT930,GUT,82,1,8,6204.2,3226.184,49633.6,EXPO
SO - 0004132,2018-07-27 00:00:00.000,2018-08-08 00:00:00.000,50,Export,GUT930,GUT,58,7,6,1105.5,873.345,6633.0,EXPO
SO - 0006283,2018-01-10 00:00:00.000,2018-01-23 00:00:00.000,29,Wholesale,AXW291,AXW,43,11,6,1688.4,1435.14,10130.4,WHOL
SO - 0006643,2017-09-24 00:00:00.000,2017-09-29 00:00:00.000,23,Wholesale,AXW291,AXW,62,13,8,1065.3,681.792,8522.4,WHOL
SO - 000296,2019-06-09 00:00:00.000,2019-06-14 00:00:00.000,29,Wholesale,NXH382,NXH,70,11,11,1072.0,900.48,11792.0,WHOL
SO - 0006225,2019-06-12 00:00:00.000,2019-06-27 00:00:00.000,8,Distributor,NXH382,NXH,1,7,9,2432.1,1775.433,21888.9,DIST
SO - 0005944,2018-09-30 00:00:00.000,2018-10-08 00:00:00.000,3,Wholesale,GUT930,GUT,27,11,6,3993.2,2076.4640000000004,23959.2,WHOL
SO - 0002730,2019-03-29 00:00:00.000,2019-04-15 00:00:00.000,4,Wholesale,NXH382,NXH,54,5,8,187.6,91.924,1500.8,WHOL
SO - 0005754,2018-06-09 00:00:00.000,2018-06-15 00:00:00.000,35,Wholesale,GUT930,GUT,100,9,6,1058.6,793.95,6351.6,WHOL
SO - 000730,2018-04-03 00:00:00.000,2018-04-11 00:00:00.000,49,Distributor,AXW291,AXW,75,1,11,3825.7,1530.2800000000002,42082.7,DIST
SO - 0005115,2018-05-03 00:00:00.000,2018-05-20 00:00:00.000,41,Wholesale,AXW291,AXW,88,9,7,3504.1,2207.583,24528.7,WHOL
SO - 0001364,2017-06-17 00:00:00.000,2017-06-24 00:00:00.000,32,Distributor,AXW291,AXW,54,7,6,268.0,155.44,1608.0,DIST
SO - 0002798,2018-01-31 00:00:00.000,2018-02-14 00:00:00.000,2,Export,AXW291,AXW,34,7,9,5440.4000000000015,4352.320000000001,48963.600000000006,EXPO
SO - 0007579,2017-03-02 00:00:00.000,2017-03-20 00:00:00.000,25,Wholesale,AXW291,AXW,35,11,12,931.3,651.91,11175.6,WHOL
SO - 0007031,2018-07-12 00:00:00.000,2018-07-19 00:00:00.000,13,Distributor,GUT930,GUT,5,1,9,3323.2000000000003,1927.456,29908.800000000003,DIST
SO - 000199,2017-03-07 00:00:00.000,2017-03-11 00:00:00.000,47,Wholesale,AXW291,AXW,41,13,11,1206.0,844.1999999999998,13266.0,WHOL
SO - 0004344,2017-10-18 00:00:00.000,2017-11-05 00:00:00.000,49,Distributor,AXW291,AXW,80,11,8,5447.1,2723.55,43576.8,DIST
SO - 0005131,2019-09-05 00:00:00.000,2019-09-21 00:00:00.000,31,Distributor,FLR025,FLR,86,11,8,3055.2000000000003,2230.2960000000003,24441.6,DIST
SO - 0003369,2018-08-10 00:00:00.000,2018-08-19 00:00:00.000,1,Distributor,GUT930,GUT,37,1,12,696.8000000000001,341.432,8361.6,DIST
SO - 0007048,2019-01-06 00:00:00.000,2019-01-24 00:00:00.000,4,Wholesale,GUT930,GUT,38,9,9,3926.2,1688.266,35335.8,WHOL
SO - 0003466,2018-03-31 00:00:00.000,2018-04-16 00:00:00.000,12,Wholesale,AXW291,AXW,39,14,6,254.6,142.57600000000002,1527.6,WHOL
SO - 000493,2017-09-07 00:00:00.000,2017-09-21 00:00:00.000,29,Export,AXW291,AXW,83,7,10,1031.8,453.992,10318.0,EXPO
SO - 000447,2017-10-07 00:00:00.000,2017-10-13 00:00:00.000,25,Export,AXW291,AXW,93,11,6,3490.7000000000003,1780.257,20944.2,EXPO
SO - 0004588,2018-12-12 00:00:00.000,2018-12-21 00:00:00.000,16,Wholesale,GUT930,GUT,42,8,8,5701.7,3763.122,45613.6,WHOL
SO - 0007056,2018-09-05 00:00:00.000,2018-09-19 00:00:00.000,5,Wholesale,GUT930,GUT,24,11,9,1762.1,1145.3650000000002,15858.9,WHOL
SO - 000652,2019-10-15 00:00:00.000,2019-10-19 00:00:00.000,36,Wholesale,FLR025,FLR,83,11,9,241.2,161.604,2170.8,WHOL
SO - 0006721,2018-04-22 00:00:00.000,2018-05-10 00:00:00.000,8,Wholesale,AXW291,AXW,63,7,8,3477.3,1947.288,27818.4,WHOL
SO - 0006073,2018-04-10 00:00:00.000,2018-04-16 00:00:00.000,40,Distributor,AXW291,AXW,20,2,8,1728.6,726.012,13828.8,DIST
SO - 0006923,2019-08-19 00:00:00.000,2019-08-22 00:00:00.000,2,Wholesale,NXH382,NXH,9,13,5,3886.0,2681.34,19430.0,WHOL
SO - 0005755,2019-03-05 00:00:00.000,2019-03-15 00:00:00.000,5,Wholesale,NXH382,NXH,48,2,6,1239.5,607.355,7437.0,WHOL
SO - 0007884,2018-08-09 00:00:00.000,2018-08-13 00:00:00.000,30,Wholesale,GUT930,GUT,58,2,11,6123.8,3123.138,67361.8,WHOL
SO - 0002590,2019-06-23 00:00:00.000,2019-07-10 00:00:00.000,32,Distributor,NXH382,NXH,48,1,5,5634.7,4169.678,28173.5,DIST
SO - 0007464,2019-07-03 00:00:00.000,2019-07-11 00:00:00.000,8,Wholesale,NXH382,NXH,58,1,9,1078.7,765.877,9708.3,WHOL
SO - 0004799,2017-08-08 00:00:00.000,2017-08-15 00:00:00.000,21,Export,AXW291,AXW,33,2,11,1788.9,1234.341,19677.9,EXPO
SO - 0002627,2019-05-24 00:00:00.000,2019-05-28 00:00:00.000,8,Wholesale,NXH382,NXH,13,1,11,3912.8,3091.112,43040.8,WHOL
SO - 0005507,2019-05-09 00:00:00.000,2019-05-21 00:00:00.000,19,Export,NXH382,NXH,42,14,8,1259.6,705.3760000000001,10076.8,EXPO
SO - 0001801,2018-07-17 00:00:00.000,2018-07-29 00:00:00.000,2,Distributor,GUT930,GUT,35,13,7,268.0,219.76,1876.0,DIST
