CustID,ProdID,Date,Currency,Quantity
BC100,SSBC2006,2020-10-20 00:00:00.000,CAD,1
BC101,SSBC2002,2020-10-01 00:00:00.000,CAD,1
WA001,SSBC0006,2021-03-19 00:00:00.000,USD,2
WA007,SSBC3001,2021-04-10 00:00:00.000,USD,2
WA001,SSBC0005,2020-10-19 00:00:00.000,USD,1
WA001,SSBC0003,2021-02-20 00:00:00.000,USD,1
WA001,SSBC1003,2021-02-20 00:00:00.000,USD,1
WA001,SSBC0002,2020-10-19 00:00:00.000,USD,1
BC110,SSBC3004,2021-06-28 00:00:00.000,CAD,1
WA005,SSBC3001,2020-11-25 00:00:00.000,USD,1
WA001,SSBC0002,2021-02-10 00:00:00.000,USD,1
WA005,SSBC3005,2020-12-25 00:00:00.000,USD,1
WA055,SSBC2003,2021-01-21 00:00:00.000,USD,6
WA001,SSBC0006,2021-06-15 00:00:00.000,USD,1
BC101,SSBC2002,2021-08-01 00:00:00.000,CAD,1
WA001,SSBC0006,2021-01-20 00:00:00.000,USD,2
BC101,SSBC2002,2020-12-03 00:00:00.000,CAD,1
WA007,SSBC3001,2021-01-10 00:00:00.000,USD,2
WA001,SSBC1005,2020-11-23 00:00:00.000,USD,6
WA001,SSBC0002,2021-08-25 00:00:00.000,USD,1
WA001,SSBC0005,2021-04-20 00:00:00.000,USD,1
WA012,SSBC3001,2021-06-28 00:00:00.000,USD,2
WA001,SSBC1004,2021-07-20 00:00:00.000,USD,1
WA001,SSBC0006,2020-10-31 00:00:00.000,USD,2
WA001,SSBC1005,2021-06-25 00:00:00.000,USD,1
WA055,SSBC2003,2020-11-05 00:00:00.000,USD,12
WA001,SSBC0003,2021-09-28 00:00:00.000,USD,1
WA001,SSBC0006,2020-12-27 00:00:00.000,USD,2
WA001,SSBC0002,2020-12-27 00:00:00.000,USD,1
WA001,SSBC1003,2021-01-29 00:00:00.000,USD,1
WA001,SSBC0006,2020-12-27 00:00:00.000,USD,1
WA001,SSBC1003,2021-01-21 00:00:00.000,USD,1
WA001,SSBC0002,2020-10-31 00:00:00.000,USD,1
BC102,SSBC2003,2020-12-22 00:00:00.000,CAD,1
BC110,SSBC2001,2021-09-18 00:00:00.000,CAD,6
WA012,SSBC3001,2021-07-10 00:00:00.000,USD,1
BC100,SSBC3003,2021-02-25 00:00:00.000,CAD,1
WA001,SSBC0002,2021-05-20 00:00:00.000,,1
BC110,SSBC2001,2021-01-21 00:00:00.000,CAD,6
WA001,SSBC0002,2020-11-23 00:00:00.000,USD,1
