Account Code,Account,Parent Account,AccountKey,Account Type,Operator,Parent Account Code,ParentAccountKey,ValueType
2420,"Pension Liability","Long Term Liabilities",38,"Liabilities","+",2400,36,"Currency"
2430,"Other Retirement Benefits","Long Term Liabilities",39,"Liabilities","+",2400,36,"Currency"
2440,"Other Long Term Liabilities","Long Term Liabilities",40,"Liabilities","+",2400,36,"Currency"
300,"Owners Equity","Liabilities and Owners Equity",41,"Liabilities","+",20,25,"Currency"
3010,"Partner Capital","Owners Equity",42,"Liabilities","+",300,41,"Currency"
3020,"Additional Paid In Capital","Owners Equity",43,"Liabilities","+",300,41,"Currency"
3030,"Retained Earnings","Owners Equity",44,"Liabilities","+",300,41,"Currency"
3540,"Prior Year Retained Earnings","Retained Earnings",45,"Liabilities","+",3030,44,"Currency"
3550,"Current Retained Earnings","Retained Earnings",46,"Liabilities","+",3030,44,"Currency"
4,"Net Income","",47,"Revenue","+",,,"Currency"
40,"Operating Profit","Net Income",48,"Revenue","+",4,47,"Currency"
400,"Gross Margin","Operating Profit",49,"Revenue","+",40,48,"Currency"
4100,"Net Sales","Gross Margin",50,"Revenue","+",400,49,"Currency"
4110,"Gross Sales","Net Sales",51,"Revenue","+",4100,50,"Currency"
4500,"Intercompany Sales","Gross Sales",52,"Revenue","+",4110,51,"Currency"
5020,"Standard Cost of Sales","Total Cost of Sales",56,"Expenditures","+",5000,55,"Currency"
5050,"Variances","Total Cost of Sales",57,"Expenditures","+",5000,55,"Currency"
600,"Labor Expenses","Operating Expenses",59,"Expenditures","+",60,58,"Currency"
6000,"Salaries","Labor Expenses",60,"Expenditures","+",600,59,"Currency"
6020,"Payroll Taxes","Labor Expenses",61,"Expenditures","+",600,59,"Currency"
6040,"Employee Benefits","Labor Expenses",62,"Expenditures","+",600,59,"Currency"
6100,"Commissions","Operating Expenses",63,"Expenditures","+",60,58,"Currency"
620,"Travel Expenses","Operating Expenses",64,"Expenditures","+",60,58,"Currency"
6200,"Travel Transportation","Travel Expenses",65,"Expenditures","+",620,64,"Currency"
6210,"Travel Lodging","Travel Expenses",66,"Expenditures","+",620,64,"Currency"
6220,"Meals","Travel Expenses",67,"Expenditures","+",620,64,"Currency"
6230,"Entertainment","Travel Expenses",68,"Expenditures","+",620,64,"Currency"
6240,"Other Travel Related","Travel Expenses",69,"Expenditures","+",620,64,"Currency"
630,"Marketing","Operating Expenses",70,"Expenditures","+",60,58,"Currency"
6300,"Conferences","Marketing",71,"Expenditures","+",630,70,"Currency"
6310,"Marketing Collateral","Marketing",72,"Expenditures","+",630,70,"Currency"
6400,"Office Supplies","Operating Expenses",73,"Expenditures","+",60,58,"Currency"
6500,"Professional Services","Operating Expenses",74,"Expenditures","+",60,58,"Currency"
660,"Telephone and Utilities","Operating Expenses",75,"Expenditures","+",60,58,"Currency"
6610,"Telephone","Telephone and Utilities",76,"Expenditures","+",660,75,"Currency"
6620,"Utilities","Telephone and Utilities",77,"Expenditures","+",660,75,"Currency"
6700,"Other Expenses","Operating Expenses",78,"Expenditures","+",60,58,"Currency"
680,"Depreciation","Operating Expenses",79,"Expenditures","+",60,58,"Currency"
6810,"Building Leasehold","Depreciation",80,"Expenditures","+",680,79,"Currency"
6820,"Vehicles","Depreciation",81,"Expenditures","+",680,79,"Currency"
6830,"Equipment","Depreciation",82,"Expenditures","+",680,79,"Currency"
6840,"Furniture and Fixtures","Depreciation",83,"Expenditures","+",680,79,"Currency"
6850,"Other Assets","Depreciation",84,"Expenditures","+",680,79,"Currency"
6860,"Amortization of Goodwill","Depreciation",85,"Expenditures","+",680,79,"Currency"
6920,"Rent","Operating Expenses",87,"Expenditures","+",60,58,"Currency"
80,"Other Income and Expense","Net Income",88,"Revenue","+",4,47,"Currency"
8000,"Interest Income","Other Income and Expense",89,"Revenue","+",80,88,"Currency"
8020,"Gain/Loss on Sales of Asset","Other Income and Expense",91,"Revenue","+",80,88,"Currency"
8030,"Other Income","Other Income and Expense",92,"Revenue","+",80,88,"Currency"
8040,"Curr Xchg Gain/(Loss)","Other Income and Expense",93,"Revenue","+",80,88,"Currency"
2220,"Current Installments of Long-term Debt","Current Liabilities",100,"Liabilities","+",2200,27,"Currency"
4200,"Trade Sales","Gross Sales",101,"Revenue","+",4110,51,"Currency"
1,"Balance Sheet","",1,"","~",,,"Currency"
20,"Liabilities and Owners Equity","Balance Sheet",25,"Liabilities","-",1,1,"Currency"
4130,"Returns and Adjustments","Net Sales",53,"Expenditures","-",4100,50,"Currency"
4140,"Discounts","Net Sales",54,"Expenditures","-",4100,50,"Currency"
5000,"Total Cost of Sales","Gross Margin",55,"Expenditures","-",400,49,"Currency"
60,"Operating Expenses","Operating Profit",58,"Expenditures","-",40,48,"Currency"
8010,"Interest Expense","Other Income and Expense",90,"Expenditures","-",80,88,"Currency"
8500,"Taxes","Net Income",94,"Expenditures","-",4,47,"Currency"
9500,"Statistical Accounts","",95,"Statistical","~",,,"Units"
9510,"Headcount","Statistical Accounts",96,"Balances","~",9500,95,"Units"
9520,"Units","Statistical Accounts",97,"Flow","~",9500,95,"Units"
9530,"Average Unit Price","Statistical Accounts",98,"Balances","~",9500,95,"Currency"
9540,"Square Footage","Statistical Accounts",99,"Balances","~",9500,95,"Units"
