OrderHeader_ID,RepresentativeID,CustomerID,ChannelID,Grade_ID,DistributorID,OrderDate,RequiredDate,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,OrderLine_ID,ItemID,Brand_ID,OrderQuantity,BonusQuantity
9,1,13,1,3,3,2020-08-12 00:00:00.000,,2020-08-12 19:26:47.130,"System",,"System",26,1,1,1,1
9,1,13,1,3,3,2020-08-12 00:00:00.000,,2020-08-12 19:26:47.130,"System",,"System",27,2,1,1,
10,1,13,1,3,2,2020-08-12 00:00:00.000,,2020-08-12 19:38:43.810,"System",,"System",28,1,1,1,
10,1,13,1,3,2,2020-08-12 00:00:00.000,,2020-08-12 19:38:43.810,"System",,"System",29,39,3,1,
10,1,13,1,3,2,2020-08-12 00:00:00.000,,2020-08-12 19:38:43.810,"System",,"System",30,49,7,1,
10,1,13,1,3,2,2020-08-12 00:00:00.000,,2020-08-12 19:38:43.810,"System",,"System",31,59,8,1,
11,8,7445,4,5,27,2020-08-14 00:00:00.000,2020-08-17 00:00:00.000,2020-08-14 15:22:40.880,"System",2020-08-14 15:44:49.800,"System",32,1,1,1,
11,8,7445,4,5,27,2020-08-14 00:00:00.000,2020-08-17 00:00:00.000,2020-08-14 15:22:40.880,"System",2020-08-14 15:44:49.800,"System",33,2,1,1,
11,8,7445,4,5,27,2020-08-14 00:00:00.000,2020-08-17 00:00:00.000,2020-08-14 15:22:40.880,"System",2020-08-14 15:44:49.800,"System",34,3,1,1,
11,8,7445,4,5,27,2020-08-14 00:00:00.000,2020-08-17 00:00:00.000,2020-08-14 15:22:40.880,"System",2020-08-14 15:44:49.800,"System",35,4,1,1,
11,8,7445,4,5,27,2020-08-14 00:00:00.000,2020-08-17 00:00:00.000,2020-08-14 15:22:40.880,"System",2020-08-14 15:44:49.800,"System",36,5,1,1,
11,8,7445,4,5,27,2020-08-14 00:00:00.000,2020-08-17 00:00:00.000,2020-08-14 15:22:40.880,"System",2020-08-14 15:44:49.800,"System",37,6,1,,1
11,8,7445,4,5,27,2020-08-14 00:00:00.000,2020-08-17 00:00:00.000,2020-08-14 15:22:40.880,"System",2020-08-14 15:44:49.800,"System",38,7,1,1,
12,1,13,1,3,1,2020-08-14 00:00:00.000,2020-08-19 00:00:00.000,2020-08-14 15:54:27.533,"System",,"System",39,1,1,1,1
12,1,13,1,3,1,2020-08-14 00:00:00.000,2020-08-19 00:00:00.000,2020-08-14 15:54:27.533,"System",,"System",40,2,1,1,
12,1,13,1,3,1,2020-08-14 00:00:00.000,2020-08-19 00:00:00.000,2020-08-14 15:54:27.533,"System",,"System",41,3,1,1,
12,1,13,1,3,1,2020-08-14 00:00:00.000,2020-08-19 00:00:00.000,2020-08-14 15:54:27.533,"System",,"System",42,4,1,1,
13,8,7347,4,4,4,2020-08-19 00:00:00.000,,2020-08-19 10:53:30.400,"System",,"System",43,1,1,1,
13,8,7347,4,4,4,2020-08-19 00:00:00.000,,2020-08-19 10:53:30.400,"System",,"System",44,2,1,1,
13,8,7347,4,4,4,2020-08-19 00:00:00.000,,2020-08-19 10:53:30.400,"System",,"System",45,3,1,1,
13,8,7347,4,4,4,2020-08-19 00:00:00.000,,2020-08-19 10:53:30.400,"System",,"System",46,4,1,1,
13,8,7347,4,4,4,2020-08-19 00:00:00.000,,2020-08-19 10:53:30.400,"System",,"System",47,5,1,1,
13,8,7347,4,4,4,2020-08-19 00:00:00.000,,2020-08-19 10:53:30.400,"System",,"System",48,6,1,,1
13,8,7347,4,4,4,2020-08-19 00:00:00.000,,2020-08-19 10:53:30.400,"System",,"System",49,39,3,1,
13,8,7347,4,4,4,2020-08-19 00:00:00.000,,2020-08-19 10:53:30.400,"System",,"System",50,40,3,1,
13,8,7347,4,4,4,2020-08-19 00:00:00.000,,2020-08-19 10:53:30.400,"System",,"System",51,41,3,1,
13,8,7347,4,4,4,2020-08-19 00:00:00.000,,2020-08-19 10:53:30.400,"System",,"System",52,42,3,1,
13,8,7347,4,4,4,2020-08-19 00:00:00.000,,2020-08-19 10:53:30.400,"System",,"System",53,43,3,1,
13,8,7347,4,4,4,2020-08-19 00:00:00.000,,2020-08-19 10:53:30.400,"System",,"System",54,51,7,1,
13,8,7347,4,4,4,2020-08-19 00:00:00.000,,2020-08-19 10:53:30.400,"System",,"System",55,54,7,1,
13,8,7347,4,4,4,2020-08-19 00:00:00.000,,2020-08-19 10:53:30.400,"System",,"System",56,55,7,1,
14,1,2,4,2,5,2020-08-19 00:00:00.000,2020-08-21 00:00:00.000,2020-08-20 13:57:38.560,"System",,"System",57,1,1,1,
14,1,2,4,2,5,2020-08-19 00:00:00.000,2020-08-21 00:00:00.000,2020-08-20 13:57:38.560,"System",,"System",58,2,1,1,
14,1,2,4,2,5,2020-08-19 00:00:00.000,2020-08-21 00:00:00.000,2020-08-20 13:57:38.560,"System",,"System",59,3,1,,1
14,1,2,4,2,5,2020-08-19 00:00:00.000,2020-08-21 00:00:00.000,2020-08-20 13:57:38.560,"System",,"System",60,4,1,,1
14,1,2,4,2,5,2020-08-19 00:00:00.000,2020-08-21 00:00:00.000,2020-08-20 13:57:38.560,"System",,"System",61,5,1,,1
15,9,7447,1,1,4,2020-08-22 00:00:00.000,,2020-08-22 00:00:00.000,"System",,"System",62,1,1,1,
15,9,7447,1,1,4,2020-08-22 00:00:00.000,,2020-08-22 00:00:00.000,"System",,"System",63,2,1,1,
15,9,7447,1,1,4,2020-08-22 00:00:00.000,,2020-08-22 00:00:00.000,"System",,"System",64,4,1,1,
15,9,7447,1,1,4,2020-08-22 00:00:00.000,,2020-08-22 00:00:00.000,"System",,"System",65,40,3,1,
15,9,7447,1,1,4,2020-08-22 00:00:00.000,,2020-08-22 00:00:00.000,"System",,"System",66,47,6,1,
15,9,7447,1,1,4,2020-08-22 00:00:00.000,,2020-08-22 00:00:00.000,"System",,"System",67,60,8,1,
15,9,7447,1,1,4,2020-08-22 00:00:00.000,,2020-08-22 00:00:00.000,"System",,"System",68,61,8,1,
16,9,7448,9,1,4,2020-08-23 00:00:00.000,,2020-08-23 00:00:00.000,"System",,"System",69,1,1,1,
16,9,7448,9,1,4,2020-08-23 00:00:00.000,,2020-08-23 00:00:00.000,"System",,"System",70,2,1,1,
16,9,7448,9,1,4,2020-08-23 00:00:00.000,,2020-08-23 00:00:00.000,"System",,"System",71,4,1,1,
16,9,7448,9,1,4,2020-08-23 00:00:00.000,,2020-08-23 00:00:00.000,"System",,"System",72,40,3,1,
16,9,7448,9,1,4,2020-08-23 00:00:00.000,,2020-08-23 00:00:00.000,"System",,"System",73,47,6,1,
16,9,7448,9,1,4,2020-08-23 00:00:00.000,,2020-08-23 00:00:00.000,"System",,"System",74,60,8,1,
16,9,7448,9,1,4,2020-08-23 00:00:00.000,,2020-08-23 00:00:00.000,"System",,"System",75,61,8,1,
17,9,7450,7,1,4,2020-08-26 00:00:00.000,,2020-08-26 00:00:00.000,"System",,"System",77,1,1,1,
17,9,7450,7,1,4,2020-08-26 00:00:00.000,,2020-08-26 00:00:00.000,"System",,"System",78,2,1,1,
17,9,7450,7,1,4,2020-08-26 00:00:00.000,,2020-08-26 00:00:00.000,"System",,"System",79,4,1,1,
17,9,7450,7,1,4,2020-08-26 00:00:00.000,,2020-08-26 00:00:00.000,"System",,"System",80,40,3,1,
17,9,7450,7,1,4,2020-08-26 00:00:00.000,,2020-08-26 00:00:00.000,"System",,"System",81,47,6,1,
17,9,7450,7,1,4,2020-08-26 00:00:00.000,,2020-08-26 00:00:00.000,"System",,"System",82,60,8,1,
17,9,7450,7,1,4,2020-08-26 00:00:00.000,,2020-08-26 00:00:00.000,"System",,"System",83,61,8,1,
18,9,7451,6,1,1,2020-08-28 00:00:00.000,,2020-08-28 00:00:00.000,"System",,"NULL",84,2,1,1,
18,9,7451,6,1,1,2020-08-28 00:00:00.000,,2020-08-28 00:00:00.000,"System",,"NULL",85,4,1,1,
18,9,7451,6,1,1,2020-08-28 00:00:00.000,,2020-08-28 00:00:00.000,"System",,"NULL",86,60,8,1,
19,9,7451,6,1,1,2020-08-30 00:00:00.000,,2020-08-30 00:00:00.000,"System",,"NULL",87,7,1,1,
19,9,7451,6,1,1,2020-08-30 00:00:00.000,,2020-08-30 00:00:00.000,"System",,"NULL",88,61,8,1,
