Sale_ID,variable,value
587640,Store_ID,11
724010,Store_ID,30
613239,Store_ID,29
560741,Store_ID,29
794419,Store_ID,34
551817,Store_ID,33
753068,Store_ID,28
162946,Store_ID,33
251093,Store_ID,42
332627,Store_ID,11
630765,Store_ID,31
62873,Store_ID,12
147648,Store_ID,7
487461,Store_ID,41
231421,Store_ID,9
433924,Store_ID,28
814824,Store_ID,27
395822,Store_ID,49
127151,Store_ID,44
350238,Store_ID,14
751743,Store_ID,26
578931,Store_ID,31
732225,Store_ID,25
558286,Product_ID,19
734997,Product_ID,19
181549,Product_ID,31
323672,Product_ID,1
155036,Product_ID,17
755421,Product_ID,2
19352,Product_ID,34
349388,Product_ID,24
563839,Product_ID,19
130174,Product_ID,8
310842,Product_ID,3
123283,Product_ID,32
376318,Product_ID,8
109322,Product_ID,6
452951,Product_ID,17
648654,Product_ID,6
381362,Product_ID,25
782161,Product_ID,9
488362,Product_ID,10
821140,Product_ID,2
59712,Product_ID,27
203262,Product_ID,1
117828,Product_ID,10
398509,Product_ID,13
778742,Product_ID,15
567869,Product_ID,18
40911,Product_ID,1
804012,Product_ID,25
332326,Product_ID,13
371818,Product_ID,11
607485,Product_ID,9
186481,Product_ID,25
808464,Product_ID,19
511439,Product_ID,25
291921,Product_ID,34
701964,Product_ID,7
81839,Product_ID,30
619410,Product_ID,8
13119,Product_ID,6
79059,Product_ID,1
469475,Product_ID,8
551407,Product_ID,12
643523,Product_ID,32
506331,Product_ID,18
267612,Product_ID,6
541356,Product_ID,3
602824,Product_ID,10
611495,Product_ID,19
244440,Product_ID,10
42642,Product_ID,34
283985,Product_ID,19
408933,Product_ID,1
307064,Product_ID,27
72568,Product_ID,7
736860,Product_ID,6
150817,Product_ID,15
358695,Product_ID,25
10340,Product_ID,6
527390,Product_ID,17
731862,Product_ID,8
222264,Product_ID,8
433440,Product_ID,30
114523,Product_ID,18
595141,Product_ID,25
170657,Product_ID,2
798897,Product_ID,12
817691,Product_ID,3
196544,Product_ID,30
674223,Product_ID,23
777509,Product_ID,15
747832,Product_ID,6
455555,Product_ID,11
703926,Product_ID,13
260770,Product_ID,27
441820,Product_ID,13
748092,Product_ID,9
726083,Product_ID,19
587640,Product_ID,25
724010,Product_ID,8
613239,Product_ID,6
560741,Product_ID,8
794419,Product_ID,2
551817,Product_ID,8
753068,Product_ID,11
162946,Product_ID,8
251093,Product_ID,6
332627,Product_ID,17
630765,Product_ID,26
62873,Product_ID,1
147648,Product_ID,1
487461,Product_ID,18
231421,Product_ID,25
433924,Product_ID,26
814824,Product_ID,2
395822,Product_ID,19
127151,Product_ID,8
350238,Product_ID,3
751743,Product_ID,6
578931,Product_ID,2
732225,Product_ID,34
558286,Units,1
734997,Units,1
181549,Units,3
323672,Units,1
155036,Units,2
755421,Units,1
19352,Units,1
349388,Units,1
563839,Units,2
130174,Units,1
310842,Units,1
123283,Units,1
376318,Units,1
109322,Units,2
452951,Units,1
648654,Units,1
381362,Units,2
782161,Units,1
488362,Units,1
821140,Units,1
59712,Units,1
203262,Units,1
117828,Units,3
398509,Units,3
778742,Units,1
567869,Units,1
40911,Units,1
804012,Units,1
332326,Units,1
371818,Units,1
607485,Units,1
186481,Units,1
808464,Units,2
511439,Units,3
291921,Units,1
701964,Units,1
81839,Units,1
619410,Units,1
13119,Units,1
79059,Units,1
469475,Units,1
551407,Units,1
643523,Units,1
506331,Units,1
267612,Units,3
541356,Units,3
602824,Units,1
611495,Units,1
244440,Units,1
42642,Units,1
283985,Units,1
408933,Units,1
307064,Units,1
72568,Units,1
736860,Units,1
150817,Units,1
358695,Units,1
10340,Units,1
527390,Units,1
731862,Units,1
222264,Units,3
433440,Units,1
114523,Units,2
595141,Units,3
170657,Units,1
798897,Units,1
817691,Units,2
196544,Units,1
674223,Units,1
777509,Units,1
747832,Units,2
455555,Units,1
703926,Units,1
260770,Units,1
441820,Units,1
748092,Units,1
726083,Units,1
587640,Units,1
724010,Units,1
613239,Units,3
560741,Units,1
794419,Units,1
551817,Units,1
753068,Units,1
162946,Units,1
251093,Units,1
332627,Units,1
630765,Units,1
62873,Units,1
147648,Units,1
487461,Units,1
231421,Units,1
433924,Units,1
814824,Units,1
395822,Units,1
127151,Units,1
350238,Units,2
751743,Units,1
578931,Units,1
732225,Units,1
558286,Cost,13.99
734997,Cost,13.99
181549,Cost,23.97
323672,Cost,9.99
155036,Cost,27.98
755421,Cost,9.99
19352,Cost,20.99
349388,Cost,14.99
563839,Cost,27.98
130174,Cost,3.99
310842,Cost,1.99
123283,Cost,11.99
376318,Cost,3.99
109322,Cost,13.98
452951,Cost,13.99
648654,Cost,6.99
381362,Cost,3.98
782161,Cost,9.99
488362,Cost,10.99
821140,Cost,9.99
59712,Cost,3.99
203262,Cost,9.99
117828,Cost,32.97
398509,Cost,44.97
778742,Cost,3.99
567869,Cost,34.99
40911,Cost,9.99
804012,Cost,1.99
332326,Cost,14.99
371818,Cost,10.99
607485,Cost,9.99
186481,Cost,1.99
808464,Cost,27.98
511439,Cost,5.97
291921,Cost,20.99
701964,Cost,11.99
81839,Cost,17.99
619410,Cost,3.99
13119,Cost,6.99
79059,Cost,9.99
469475,Cost,3.99
551407,Cost,8.99
643523,Cost,11.99
506331,Cost,34.99
267612,Cost,20.97
541356,Cost,5.97
602824,Cost,10.99
611495,Cost,13.99
244440,Cost,10.99
42642,Cost,20.99
283985,Cost,13.99
408933,Cost,9.99
307064,Cost,3.99
72568,Cost,11.99
736860,Cost,6.99
150817,Cost,3.99
358695,Cost,1.99
10340,Cost,6.99
527390,Cost,13.99
731862,Cost,3.99
222264,Cost,11.97
433440,Cost,17.99
114523,Cost,69.98
595141,Cost,5.97
170657,Cost,9.99
798897,Cost,8.99
817691,Cost,3.98
196544,Cost,17.99
674223,Cost,4.99
777509,Cost,3.99
747832,Cost,13.98
455555,Cost,10.99
703926,Cost,14.99
260770,Cost,3.99
441820,Cost,14.99
748092,Cost,9.99
726083,Cost,13.99
587640,Cost,1.99
724010,Cost,3.99
613239,Cost,20.97
560741,Cost,3.99
794419,Cost,9.99
551817,Cost,3.99
753068,Cost,10.99
162946,Cost,3.99
251093,Cost,6.99
332627,Cost,13.99
630765,Cost,20.99
62873,Cost,9.99
147648,Cost,9.99
487461,Cost,34.99
231421,Cost,1.99
433924,Cost,20.99
814824,Cost,9.99
395822,Cost,13.99
127151,Cost,3.99
350238,Cost,3.98
751743,Cost,6.99
578931,Cost,9.99
732225,Cost,20.99
558286,Sales,15.99
734997,Sales,15.99
181549,Sales,26.97
323672,Sales,15.99
155036,Sales,39.98
755421,Sales,12.99
19352,Sales,25.99
349388,Sales,19.99
563839,Sales,31.98
130174,Sales,6.99
310842,Sales,3.99
123283,Sales,14.99
376318,Sales,6.99
109322,Sales,29.98
452951,Sales,19.99
648654,Sales,14.99
381362,Sales,5.98
782161,Sales,10.99
488362,Sales,14.99
821140,Sales,12.99
59712,Sales,4.99
203262,Sales,15.99
117828,Sales,44.97
398509,Sales,62.97
778742,Sales,5.99
567869,Sales,39.99
40911,Sales,15.99
804012,Sales,2.99
332326,Sales,20.99
371818,Sales,20.99
607485,Sales,10.99
186481,Sales,2.99
808464,Sales,31.98
511439,Sales,8.97
291921,Sales,25.99
701964,Sales,15.99
81839,Sales,19.99
619410,Sales,6.99
13119,Sales,14.99
79059,Sales,15.99
469475,Sales,6.99
551407,Sales,11.99
643523,Sales,14.99
506331,Sales,39.99
267612,Sales,44.97
541356,Sales,11.97
602824,Sales,14.99
611495,Sales,15.99
244440,Sales,14.99
42642,Sales,25.99
283985,Sales,15.99
408933,Sales,15.99
307064,Sales,4.99
72568,Sales,15.99
736860,Sales,14.99
150817,Sales,5.99
358695,Sales,2.99
10340,Sales,14.99
527390,Sales,19.99
731862,Sales,6.99
222264,Sales,20.97
433440,Sales,19.99
114523,Sales,79.98
595141,Sales,8.97
170657,Sales,12.99
798897,Sales,11.99
817691,Sales,7.98
196544,Sales,19.99
674223,Sales,9.99
777509,Sales,5.99
747832,Sales,29.98
455555,Sales,20.99
703926,Sales,20.99
260770,Sales,4.99
441820,Sales,20.99
748092,Sales,10.99
726083,Sales,15.99
587640,Sales,2.99
724010,Sales,6.99
613239,Sales,44.97
560741,Sales,6.99
794419,Sales,12.99
551817,Sales,6.99
753068,Sales,20.99
162946,Sales,6.99
251093,Sales,14.99
332627,Sales,19.99
630765,Sales,24.99
62873,Sales,15.99
147648,Sales,15.99
487461,Sales,39.99
231421,Sales,2.99
433924,Sales,24.99
814824,Sales,12.99
395822,Sales,15.99
127151,Sales,6.99
350238,Sales,7.98
751743,Sales,14.99
578931,Sales,12.99
732225,Sales,25.99
558286,Profit,2
734997,Profit,2
181549,Profit,3
323672,Profit,6
155036,Profit,12
755421,Profit,3
19352,Profit,5
349388,Profit,5
563839,Profit,4
130174,Profit,3
310842,Profit,2
123283,Profit,3
376318,Profit,3
109322,Profit,16
452951,Profit,6
648654,Profit,8
381362,Profit,2
782161,Profit,1
488362,Profit,4
821140,Profit,3
59712,Profit,1
203262,Profit,6
117828,Profit,12
398509,Profit,18
778742,Profit,2
567869,Profit,5
40911,Profit,6
804012,Profit,1
332326,Profit,6
371818,Profit,10
607485,Profit,1
186481,Profit,1
808464,Profit,4
511439,Profit,3
291921,Profit,5
701964,Profit,4
81839,Profit,2
619410,Profit,3
13119,Profit,8
79059,Profit,6
469475,Profit,3
551407,Profit,3
643523,Profit,3
506331,Profit,5
267612,Profit,24
541356,Profit,6
602824,Profit,4
611495,Profit,2
244440,Profit,4
42642,Profit,5
283985,Profit,2
408933,Profit,6
307064,Profit,1
72568,Profit,4
736860,Profit,8
150817,Profit,2
358695,Profit,1
10340,Profit,8
527390,Profit,6
731862,Profit,3
222264,Profit,9
433440,Profit,2
114523,Profit,10
595141,Profit,3
170657,Profit,3
798897,Profit,3
817691,Profit,4
196544,Profit,2
674223,Profit,5
777509,Profit,2
747832,Profit,16
455555,Profit,10
703926,Profit,6
260770,Profit,1
441820,Profit,6
748092,Profit,1
726083,Profit,2
587640,Profit,1
724010,Profit,3
613239,Profit,24
560741,Profit,3
794419,Profit,3
551817,Profit,3
753068,Profit,10
162946,Profit,3
251093,Profit,8
332627,Profit,6
630765,Profit,4
62873,Profit,6
147648,Profit,6
487461,Profit,5
231421,Profit,1
433924,Profit,4
814824,Profit,3
395822,Profit,2
127151,Profit,3
350238,Profit,4
751743,Profit,8
578931,Profit,3
732225,Profit,5
558286,Loss/Profit,Profit
734997,Loss/Profit,Profit
181549,Loss/Profit,Profit
323672,Loss/Profit,Profit
155036,Loss/Profit,Profit
755421,Loss/Profit,Profit
19352,Loss/Profit,Profit
349388,Loss/Profit,Profit
563839,Loss/Profit,Profit
130174,Loss/Profit,Profit
310842,Loss/Profit,Profit
123283,Loss/Profit,Profit
376318,Loss/Profit,Profit
109322,Loss/Profit,Profit
452951,Loss/Profit,Profit
648654,Loss/Profit,Profit
381362,Loss/Profit,Profit
782161,Loss/Profit,Profit
488362,Loss/Profit,Profit
821140,Loss/Profit,Profit
59712,Loss/Profit,Profit
203262,Loss/Profit,Profit
117828,Loss/Profit,Profit
398509,Loss/Profit,Profit
778742,Loss/Profit,Profit
567869,Loss/Profit,Profit
40911,Loss/Profit,Profit
804012,Loss/Profit,Profit
332326,Loss/Profit,Profit
371818,Loss/Profit,Profit
607485,Loss/Profit,Profit
186481,Loss/Profit,Profit
808464,Loss/Profit,Profit
511439,Loss/Profit,Profit
291921,Loss/Profit,Profit
701964,Loss/Profit,Profit
81839,Loss/Profit,Profit
619410,Loss/Profit,Profit
13119,Loss/Profit,Profit
79059,Loss/Profit,Profit
469475,Loss/Profit,Profit
551407,Loss/Profit,Profit
643523,Loss/Profit,Profit
506331,Loss/Profit,Profit
267612,Loss/Profit,Profit
541356,Loss/Profit,Profit
602824,Loss/Profit,Profit
611495,Loss/Profit,Profit
244440,Loss/Profit,Profit
42642,Loss/Profit,Profit
283985,Loss/Profit,Profit
408933,Loss/Profit,Profit
307064,Loss/Profit,Profit
72568,Loss/Profit,Profit
736860,Loss/Profit,Profit
150817,Loss/Profit,Profit
358695,Loss/Profit,Profit
10340,Loss/Profit,Profit
527390,Loss/Profit,Profit
731862,Loss/Profit,Profit
222264,Loss/Profit,Profit
433440,Loss/Profit,Profit
114523,Loss/Profit,Profit
595141,Loss/Profit,Profit
170657,Loss/Profit,Profit
798897,Loss/Profit,Profit
817691,Loss/Profit,Profit
196544,Loss/Profit,Profit
674223,Loss/Profit,Profit
777509,Loss/Profit,Profit
747832,Loss/Profit,Profit
455555,Loss/Profit,Profit
703926,Loss/Profit,Profit
260770,Loss/Profit,Profit
441820,Loss/Profit,Profit
748092,Loss/Profit,Profit
726083,Loss/Profit,Profit
587640,Loss/Profit,Profit
724010,Loss/Profit,Profit
613239,Loss/Profit,Profit
560741,Loss/Profit,Profit
794419,Loss/Profit,Profit
551817,Loss/Profit,Profit
753068,Loss/Profit,Profit
162946,Loss/Profit,Profit
251093,Loss/Profit,Profit
332627,Loss/Profit,Profit
630765,Loss/Profit,Profit
62873,Loss/Profit,Profit
147648,Loss/Profit,Profit
487461,Loss/Profit,Profit
231421,Loss/Profit,Profit
433924,Loss/Profit,Profit
814824,Loss/Profit,Profit
395822,Loss/Profit,Profit
127151,Loss/Profit,Profit
350238,Loss/Profit,Profit
751743,Loss/Profit,Profit
578931,Loss/Profit,Profit
732225,Loss/Profit,Profit
558286,Year,2018
734997,Year,2018
181549,Year,2017
323672,Year,2017
155036,Year,2017
755421,Year,2018
19352,Year,2017
349388,Year,2017
563839,Year,2018
130174,Year,2017
310842,Year,2017
123283,Year,2017
376318,Year,2017
109322,Year,2017
452951,Year,2018
648654,Year,2018
381362,Year,2017
782161,Year,2018
488362,Year,2018
821140,Year,2018
59712,Year,2017
203262,Year,2017
117828,Year,2017
398509,Year,2017
778742,Year,2018
567869,Year,2018
40911,Year,2017
804012,Year,2018
332326,Year,2017
371818,Year,2017
607485,Year,2018
186481,Year,2017
808464,Year,2018
511439,Year,2018
291921,Year,2017
701964,Year,2018
81839,Year,2017
619410,Year,2018
13119,Year,2017
79059,Year,2017
469475,Year,2018
551407,Year,2018
643523,Year,2018
506331,Year,2018
267612,Year,2017
541356,Year,2018
602824,Year,2018
611495,Year,2018
244440,Year,2017
42642,Year,2017
283985,Year,2017
408933,Year,2017
307064,Year,2017
72568,Year,2017
736860,Year,2018
150817,Year,2017
358695,Year,2017
10340,Year,2017
527390,Year,2018
731862,Year,2018
222264,Year,2017
433440,Year,2018
114523,Year,2017
595141,Year,2018
170657,Year,2017
798897,Year,2018
817691,Year,2018
196544,Year,2017
674223,Year,2018
777509,Year,2018
747832,Year,2018
455555,Year,2018
703926,Year,2018
260770,Year,2017
441820,Year,2018
748092,Year,2018
726083,Year,2018
587640,Year,2018
724010,Year,2018
613239,Year,2018
560741,Year,2018
794419,Year,2018
551817,Year,2018
753068,Year,2018
162946,Year,2017
251093,Year,2017
332627,Year,2017
630765,Year,2018
62873,Year,2017
147648,Year,2017
487461,Year,2018
231421,Year,2017
433924,Year,2018
814824,Year,2018
395822,Year,2017
127151,Year,2017
350238,Year,2017
751743,Year,2018
578931,Year,2018
732225,Year,2018
558286,Month,4
734997,Month,7
181549,Month,6
323672,Month,10
155036,Month,5
755421,Month,8
19352,Month,1
349388,Month,11
563839,Month,4
130174,Month,5
310842,Month,10
123283,Month,4
376318,Month,12
109322,Month,4
452951,Month,1
648654,Month,5
381362,Month,12
782161,Month,8
488362,Month,2
821140,Month,9
59712,Month,3
203262,Month,7
117828,Month,4
398509,Month,12
778742,Month,8
567869,Month,4
40911,Month,2
804012,Month,9
332326,Month,10
371818,Month,11
607485,Month,5
186481,Month,6
808464,Month,9
511439,Month,3
291921,Month,9
701964,Month,7
81839,Month,3
619410,Month,5
13119,Month,1
79059,Month,3
469475,Month,2
551407,Month,3
643523,Month,5
506331,Month,3
267612,Month,9
541356,Month,3
602824,Month,5
611495,Month,5
244440,Month,8
42642,Month,2
283985,Month,9
408933,Month,12
307064,Month,10
72568,Month,3
736860,Month,7
150817,Month,5
358695,Month,11
10340,Month,1
527390,Month,3
731862,Month,7
222264,Month,7
433440,Month,1
114523,Month,4
595141,Month,4
170657,Month,6
798897,Month,9
817691,Month,9
196544,Month,6
674223,Month,6
777509,Month,8
747832,Month,8
455555,Month,1
703926,Month,7
260770,Month,8
441820,Month,1
748092,Month,8
726083,Month,7
587640,Month,4
724010,Month,7
613239,Month,5
560741,Month,4
794419,Month,9
551817,Month,3
753068,Month,8
162946,Month,6
251093,Month,8
332627,Month,10
630765,Month,5
62873,Month,3
147648,Month,5
487461,Month,2
231421,Month,7
433924,Month,1
814824,Month,9
395822,Month,12
127151,Month,5
350238,Month,11
751743,Month,8
578931,Month,4
732225,Month,7
