CO_MUNICIPIO,CO_UF,IN_AGUA_EXISTENTE,IN_AGUA_FILTRADA,IN_ESGOTO_EXISTENTE,IN_BIBLIOTECA_SALA_LEITURA,IN_BANHEIRO,IN_REFEITORIO,IN_AUDITORIO,IN_COMPUTADOR,IN_INTERNET,IN_BANDA_LARGA,IN_ALIMENTACAO,IN_PATIO,IN_AREA_VERDE,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_ENERGIA_EXISTENTE,IN_LIXO_RECICLA,IN_QUADRA_ESPORTES,IN_TP_AEE,IN_DEPENDENCIAS_PNE,IN_TP_ATIVIDADE_COMPLEMENTAR,DS_REGIAO,IN_NECESSIDADE_ESPECIAL,IN_01_FUNDAMENTAL_COMPLETO,IN_02_ENSINO_MEDIO_COMPLETO,IN_03_NIVEL_SUPERIOR_CURSANDO,IN_04_NIVEL_SUPERIOR_COMPLETO,IN_05_POS_GRADUACAO,IN_06_MESTRADO,IN_07_DOUTORADO,SIGLA_UF,NO_MUNICIPIO,REDE,NOTA_IDEB,UF,NM_MUNICIPIO,NUM_POPULACAO,CO_MUNICIPIO_IBGE,VL_RECEITA_REALIZADA,VL_RECEITA_ORCADA,VL_DOTACAO_ATUALIZADA_EDUCACAO,VL_DESPESA_EMPENHADA_EDUCACAO,VL_DESPESA_LIQUIDADA_EDUCACAO,VL_DESPESA_PAGA_EDUCACAO,VL_DESPESA_ORCADA_EDUCACAO,VL_DESPESA_PAG_ED_CID,VL_RECEITA_CID
4118303,41,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,SUL,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,PR,Paranapoema,Pública,3.2,PR,Paranapoema,3117,411830,12974658.51,17308569.0,3328145.09,2658594.15,2649111.66,2649111.66,3307448.0,849.89,4162.55
2930204,29,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,33.33,100.0,100.0,0.0,66.67,0.0,33.33,33.33,NORDESTE,0.0,100.0,100.0,0.0,86.67,62.32,0.0,0.0,BA,Sento Sé,Pública,2.0,BA,Sento Sé,41891,293020,80293208.78,81000000.0,37475390.32,37475390.32,37475390.32,36739301.01,33292504.0,877.02,1916.72
2607505,26,100.0,100.0,100.0,100.0,100.0,66.67,0.0,100.0,66.67,33.33,100.0,33.33,33.33,33.33,66.67,100.0,0.0,100.0,33.33,33.33,33.33,NORDESTE,0.0,100.0,100.0,4.69,95.31,32.81,0.0,0.0,PE,Itaíba,Pública,4.1,PE,Itaíba,26314,260750,56029297.63,86936560.0,30050738.63,26283773.38,26283761.01,23444627.33,32500000.0,890.96,2129.26
2109759,21,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,NORDESTE,0.0,100.0,100.0,0.0,100.0,66.67,0.0,0.0,MA,Santa Filomena do Maranhão,Pública,3.0,MA,Santa Filomena do Maranhão,7708,210975,15202447.38,43292114.11,8407877.08,6233460.65,5336380.54,5296630.92,5372787.42,687.16,1972.29
3536901,35,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,SUDESTE,0.0,100.0,100.0,0.0,100.0,17.14,0.0,0.0,SP,Pedranópolis,Pública,4.6,SP,Pedranópolis,2547,353690,15432940.08,16700000.0,3021853.72,2827206.33,2827206.33,2788065.9,2980350.0,1094.65,6059.26
3537701,35,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,SUDESTE,0.0,100.0,100.0,0.0,100.0,46.67,0.0,0.0,SP,Piacatu,Pública,4.1,SP,Piacatu,5846,353770,19458377.27,18505000.0,5887060.0,5148402.55,5132182.55,4989539.88,5582550.0,853.5,3328.49
4320800,43,100.0,20.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,80.0,100.0,100.0,40.0,100.0,100.0,100.0,40.0,100.0,100.0,40.0,20.0,SUL,0.0,100.0,100.0,2.2,97.8,61.76,2.71,0.0,RS,Soledade,Pública,3.3,RS,Soledade,31361,432080,82203721.55,89400000.0,23693654.03,21920437.11,21920437.11,20497576.65,23152478.67,653.6,2621.21
5100508,51,100.0,100.0,75.0,50.0,100.0,100.0,0.0,100.0,50.0,25.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,75.0,0.0,50.0,25.0,CENTRO_OESTE,0.0,100.0,100.0,0.0,98.11,54.09,0.0,0.0,MT,Alto Paraguai,Pública,2.7,MT,Alto Paraguai,10921,510050,19426368.11,20825100.0,5862042.02,5501098.13,5402628.27,5164452.83,5594000.0,472.89,1778.81
3148756,31,100.0,100.0,100.0,50.0,100.0,50.0,50.0,100.0,100.0,50.0,100.0,100.0,100.0,50.0,100.0,100.0,0.0,100.0,50.0,0.0,50.0,SUDESTE,0.0,100.0,100.0,8.4,90.76,43.7,0.0,0.0,MG,Pedra Bonita,Pública,3.3,MG,Pedra Bonita,7117,314875,17355182.48,26625889.72,8995843.11,6040109.06,5720853.48,5592632.09,0.0,785.81,2438.55
4307864,43,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,SUL,0.0,100.0,100.0,16.0,84.0,8.0,12.0,0.0,RS,Fagundes Varela,Pública,4.5,RS,Fagundes Varela,2724,430786,16657041.55,18230000.0,2940278.49,2680367.66,2680367.66,2663708.39,0.0,977.87,6114.92
4306429,43,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,SUL,18.18,100.0,100.0,13.64,86.36,59.09,0.0,0.0,RS,Dois Irmãos das Missões,Pública,3.1,RS,Dois Irmãos das Missões,2158,430642,13376767.12,15040667.73,3600692.29,3184736.97,3181161.37,3177500.95,2461500.0,1472.43,6198.69
2304350,23,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,NORDESTE,0.0,100.0,100.0,19.33,80.67,29.97,0.0,0.0,CE,Forquilha,Pública,4.2,CE,Forquilha,24047,230435,54792486.61,50000000.0,27455663.34,26774158.62,26438958.32,24226953.53,19622560.0,1007.48,2278.56
5208103,52,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,CENTRO_OESTE,0.0,100.0,100.0,0.0,100.0,84.31,0.0,0.0,GO,Formoso,Pública,4.5,GO,Formoso,4623,520810,14305449.05,19500000.0,3715335.82,3200105.45,3200105.45,3200105.45,0.0,692.21,3094.41
3128105,31,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,SUDESTE,0.0,100.0,100.0,8.42,91.58,71.29,3.96,0.0,MG,Guapé,Pública,3.4,MG,Guapé,14460,312810,34526171.84,39155675.69,8113129.73,8111274.91,7956207.24,7539165.32,8908862.19,521.38,2387.7
1707306,17,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,NORTE,0.0,100.0,89.66,3.45,86.21,17.24,0.0,0.0,TO,Dueré,Pública,3.5,TO,Dueré,4727,170730,13858785.2,17242500.0,4598000.0,3660510.9,3641234.37,3577166.4,4861500.0,756.75,2931.84
3151909,31,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,100.0,0.0,100.0,50.0,0.0,100.0,SUDESTE,0.0,100.0,100.0,0.0,100.0,50.0,0.0,0.0,MG,Pocrane,Pública,3.7,MG,Pocrane,8841,315190,15509984.88,16800000.0,3918957.15,3355132.26,3355132.26,3053368.47,2959500.0,345.36,1754.32
3539004,35,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,SUDESTE,0.0,100.0,100.0,9.45,90.55,11.81,0.0,0.0,SP,Pirangi,Pública,4.5,SP,Pirangi,11323,353900,31635855.08,31300000.0,9368569.8,8243378.81,7772196.9,7644324.94,9479000.0,675.11,2793.95
4118006,41,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,SUL,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,PR,Paraíso do Norte,Pública,3.2,PR,Paraíso do Norte,13345,411800,33017186.96,35547675.6,11190408.77,10269884.96,9522847.64,9471592.41,10504990.0,709.75,2474.12
1720002,17,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,NORTE,0.0,100.0,100.0,0.0,100.0,65.08,0.0,0.0,TO,Santa Terezinha do Tocantins,Pública,3.8,TO,Santa Terezinha do Tocantins,2550,172000,10875746.15,14679324.0,4138921.83,3318304.96,2827473.04,2812101.36,4102303.0,1102.78,4265.0
3139805,31,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,SUDESTE,0.0,100.0,100.0,0.0,100.0,55.04,10.85,0.0,MG,Mar de Espanha,Pública,3.8,MG,Mar de Espanha,12743,313980,22258635.71,26251745.0,7864659.19,5760138.55,5691255.05,5392010.13,5861925.0,423.14,1746.73
2210003,22,100.0,28.57,100.0,57.14,100.0,57.14,28.57,100.0,85.71,57.14,100.0,42.86,28.57,42.86,85.71,100.0,0.0,42.86,0.0,42.86,28.57,NORDESTE,0.0,100.0,100.0,7.24,91.45,57.02,9.87,0.0,PI,São João do Piauí,Pública,2.8,PI,São João do Piauí,20258,221000,50489669.45,90338420.0,18243000.0,15224262.09,12979963.24,12567374.68,24722300.0,620.37,2492.33
3301850,33,100.0,100.0,100.0,100.0,100.0,66.67,33.33,100.0,100.0,100.0,100.0,100.0,100.0,33.33,66.67,100.0,0.0,100.0,0.0,100.0,0.0,SUDESTE,0.0,100.0,100.0,0.0,99.29,21.57,0.18,0.0,RJ,Guapimirim,Pública,3.8,RJ,Guapimirim,57921,330185,161350716.49,177961319.71,52469621.68,47337181.85,46748015.84,46257789.89,52051469.71,798.64,2785.7
3119005,31,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,SUDESTE,0.0,100.0,100.0,8.22,100.0,28.77,0.0,0.0,MG,Cordislândia,Pública,3.1,MG,Cordislândia,3587,311900,11758950.46,13139500.0,2392657.9,2337022.68,2335811.14,2155408.87,2816230.0,600.89,3278.21
3301405,33,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,75.0,25.0,100.0,100.0,0.0,100.0,0.0,75.0,50.0,SUDESTE,0.0,100.0,100.0,0.76,98.1,37.64,7.22,0.0,RJ,Conceição de Macabu,Pública,3.7,RJ,Conceição de Macabu,22461,330140,67457787.54,77283221.29,20028369.1,16017901.59,15116301.62,15053141.96,16687257.3,670.19,3003.33
2302503,23,100.0,100.0,100.0,33.33,100.0,33.33,66.67,100.0,100.0,66.67,100.0,66.67,0.0,66.67,66.67,100.0,0.0,66.67,0.0,66.67,0.0,NORDESTE,0.0,100.0,100.0,3.32,96.51,52.53,0.0,0.0,CE,Brejo Santo,Pública,3.6,CE,Brejo Santo,48830,230250,161545422.37,189180457.84,63738122.72,49159719.42,49159719.42,49159719.42,63738122.72,1006.75,3308.32
3167707,31,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,SUDESTE,0.0,100.0,100.0,0.0,100.0,24.29,14.29,0.0,MG,Sobrália,Pública,3.7,MG,Sobrália,5791,316770,14627020.76,24000000.0,10485399.93,3426435.48,3414013.28,3390050.13,11006300.0,585.4,2525.82
3203007,32,100.0,100.0,100.0,75.0,100.0,75.0,25.0,100.0,100.0,50.0,100.0,75.0,50.0,50.0,100.0,100.0,0.0,100.0,50.0,25.0,0.0,SUDESTE,0.0,100.0,100.0,0.0,99.12,79.24,2.34,0.0,ES,Iúna,Pública,4.5,ES,Iúna,29896,320300,59044718.06,60000000.0,26520465.27,26440485.84,26238607.62,24383010.26,24630970.0,815.59,1975.0
2922102,29,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,50.0,NORDESTE,0.0,100.0,100.0,4.35,93.48,70.43,0.0,0.0,BA,Mundo Novo,Pública,2.5,BA,Mundo Novo,27364,292210,41396538.12,45000000.0,16494908.22,16363954.25,16363954.25,15883521.72,18465040.28,580.45,1512.81
5104609,51,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,50.0,50.0,100.0,0.0,50.0,50.0,50.0,0.0,CENTRO_OESTE,0.0,100.0,100.0,0.0,100.0,60.0,2.55,0.0,MT,Itiquira,Pública,2.4,MT,Itiquira,12789,510460,66884865.29,73946000.0,20648647.75,18034492.75,17342753.21,17142458.27,15114436.31,1340.41,5229.87
4106605,41,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,50.0,100.0,SUL,0.0,100.0,100.0,12.25,100.0,91.72,7.28,0.0,PR,Cruzeiro do Oeste,Pública,4.0,PR,Cruzeiro do Oeste,21237,410660,61175822.7,68386135.0,17085724.39,16312053.7,16182368.42,14415983.67,15776125.0,678.81,2880.62
2901106,29,100.0,100.0,100.0,66.67,66.67,0.0,0.0,66.67,66.67,33.33,100.0,0.0,0.0,33.33,66.67,100.0,0.0,33.33,0.0,0.0,0.0,NORDESTE,0.0,100.0,100.0,3.85,92.31,83.22,8.39,2.1,BA,Amélia Rodrigues,Pública,2.9,BA,Amélia Rodrigues,26409,290110,60123915.66,63934455.81,19668642.78,19439099.75,19392485.05,19217483.09,23704910.55,727.69,2276.64
2601102,26,100.0,90.0,100.0,80.0,50.0,30.0,20.0,100.0,100.0,50.0,100.0,60.0,30.0,20.0,80.0,100.0,0.0,70.0,50.0,30.0,70.0,NORDESTE,0.49,100.0,100.0,8.87,89.16,16.75,0.12,0.0,PE,Araripina,Pública,4.3,PE,Araripina,83757,260110,149077615.84,180279000.0,67348906.64,67118393.51,67100755.54,62557716.86,78894317.02,746.9,1779.88
2403707,24,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,NORDESTE,0.0,100.0,100.0,9.09,90.91,44.63,3.31,0.0,RN,Felipe Guerra,Pública,3.4,RN,Felipe Guerra,6052,240370,24491369.84,28588690.73,7444426.42,7085292.33,6813633.13,6282809.11,7737597.3,1038.14,4046.82
2514800,25,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,NORDESTE,0.0,100.0,100.0,0.0,100.0,14.81,0.0,0.0,PB,São José dos Cordeiros,Pública,2.0,PB,São José dos Cordeiros,3711,251480,11034224.31,20010041.0,4533331.79,3044860.55,3044860.55,2898734.52,4216264.1,781.12,2973.38
3130200,31,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,100.0,100.0,0.0,50.0,100.0,50.0,0.0,SUDESTE,0.0,100.0,100.0,3.36,91.95,32.21,0.0,0.0,MG,Igaratinga,Pública,4.4,MG,Igaratinga,10547,313020,28708924.5,34400000.0,7162799.59,6691485.07,6688311.07,5847983.62,6834450.0,554.47,2722.0
3549805,35,100.0,100.0,100.0,100.0,43.33,83.33,26.67,86.67,86.67,76.67,100.0,96.67,10.0,30.0,96.67,100.0,3.33,100.0,13.33,26.67,56.67,SUDESTE,0.46,99.9,99.9,0.94,98.84,22.53,4.9,1.25,SP,São José do Rio Preto,Pública,4.1,SP,São José do Rio Preto,450657,354980,1260053824.31,1550685000.0,360538771.13,344820826.18,343542008.4,335947661.66,357365000.0,745.46,2796.04
3138005,31,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,SUDESTE,3.85,100.0,100.0,0.0,92.31,61.54,0.0,0.0,MG,Laranjal,Pública,4.3,MG,Laranjal,6852,313800,15337383.24,18935100.0,4469444.28,4268805.68,4268337.37,4258325.66,5244200.02,621.47,2238.38
1501303,15,100.0,100.0,100.0,85.71,85.71,71.43,0.0,100.0,85.71,57.14,85.71,85.71,57.14,42.86,42.86,100.0,0.0,57.14,14.29,42.86,0.0,NORTE,0.0,100.0,100.0,0.0,99.86,29.14,3.72,0.0,PA,Barcarena,Pública,2.6,PA,Barcarena,121190,150130,363476285.3,332020000.0,128662827.43,126267071.59,119764908.0,111782904.89,100600000.0,922.38,2999.23
4321501,43,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33,100.0,100.0,100.0,33.33,100.0,100.0,33.33,0.0,SUL,0.0,100.0,100.0,0.0,100.0,62.25,0.54,0.0,RS,Torres,Pública,4.0,RS,Torres,37564,432150,145504106.91,172284772.9,41558629.56,36468362.48,36392937.68,33871363.06,41088497.92,901.7,3873.5
2917706,29,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,33.33,NORDESTE,0.0,100.0,100.0,0.0,95.63,75.94,0.0,0.0,BA,Jaguarari,Pública,2.7,BA,Jaguarari,34499,291770,64923122.17,90000000.0,31727321.95,25855266.21,25855266.21,24411818.15,29507014.31,707.61,1881.88
3522406,35,100.0,90.91,100.0,100.0,63.64,72.73,18.18,100.0,100.0,90.91,100.0,90.91,18.18,18.18,90.91,100.0,18.18,100.0,9.09,27.27,27.27,SUDESTE,0.0,100.0,100.0,2.7,97.3,26.64,1.89,0.34,SP,Itapeva,Pública,4.4,SP,Itapeva,93570,352240,259436953.87,269992245.52,106385780.42,99956156.23,99415376.06,98122611.28,105401028.33,1048.65,2772.65
5201207,52,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,CENTRO_OESTE,16.67,100.0,100.0,16.67,83.33,16.67,0.0,0.0,GO,Anhanguera,Pública,4.7,GO,Anhanguera,1126,520120,10268924.41,17424680.0,2510364.9,1365903.63,1365903.63,1365028.88,2706000.0,1212.28,9119.83
3152131,31,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,SUDESTE,0.0,100.0,100.0,0.0,100.0,37.1,0.0,0.0,MG,Ponto Chique,Pública,3.1,MG,Ponto Chique,4259,315213,12203212.07,19061000.0,4421486.0,3660809.67,3606963.7,3579548.99,4421486.0,840.47,2865.28
3205101,32,100.0,100.0,100.0,85.71,100.0,71.43,14.29,100.0,100.0,100.0,85.71,85.71,28.57,42.86,71.43,100.0,0.0,85.71,57.14,71.43,0.0,SUDESTE,0.0,100.0,100.0,1.92,98.08,69.68,9.39,2.49,ES,Viana,Pública,3.5,ES,Viana,76776,320510,183604804.66,225000000.0,67349799.61,58668661.7,58668661.7,55716447.25,63566400.0,725.7,2391.43
2210508,22,100.0,0.0,100.0,50.0,100.0,50.0,50.0,100.0,50.0,50.0,100.0,100.0,50.0,0.0,50.0,100.0,0.0,50.0,0.0,50.0,50.0,NORDESTE,0.0,100.0,100.0,0.0,98.6,32.09,7.44,0.0,PI,São Pedro do Piauí,Pública,2.6,PI,São Pedro do Piauí,14056,221050,26782646.38,33000000.0,14236302.02,11640972.42,11640972.42,11640972.42,14132302.02,828.19,1905.42
2616407,26,100.0,100.0,100.0,100.0,100.0,20.0,20.0,100.0,100.0,80.0,100.0,30.0,30.0,60.0,100.0,100.0,10.0,70.0,20.0,20.0,10.0,NORDESTE,0.0,100.0,100.0,0.18,99.37,28.36,20.23,3.61,PE,Vitória de Santo Antão,Pública,4.1,PE,Vitória de Santo Antão,137578,261640,273297675.58,331500000.0,98126371.61,88192607.61,87177778.97,87062765.76,109580000.0,632.82,1986.49
4203204,42,100.0,80.0,100.0,80.0,100.0,20.0,20.0,100.0,100.0,100.0,100.0,20.0,20.0,20.0,100.0,100.0,40.0,20.0,80.0,100.0,0.0,SUL,0.56,100.0,100.0,2.25,91.92,51.65,20.66,9.56,SC,Camboriú,Pública,4.1,SC,Camboriú,78731,420320,175224513.42,181000000.0,83165216.64,70949208.59,68761959.88,67989329.6,71560000.0,863.56,2225.61
