COD_FILIAL,DT_E_S,COD_ITEM,COR,TAMANHO,COD_PART,VEND_COMP,NUM_DOC,GERENTE,TIPO_PAG,CFOP,QTD,VL_ITEM,VL_DESC_ITEM,VL_ICMS_ITEM,VL_ICMS_ST_ITEM,VL_IPI_ITEM,VL_PIS_ITEM,VL_COFINS_ITEM,VL_ISS_ITEM,VL_COM_VEN,VL_COM_GER,VL_COM_GUIA,VL_CUSTO_ITEM,STATUS,DT_PREV,GUIA_REPR,NUM_SERIE_ITEM,TABELA_PRECO,QTD_PED,OUTRAS_DESP,VL_TOTAL_SIMPLES,DESP_CARTAO,HORA_E_S,TIPO_PED,PRAZO_PAG,CENTRO_CUSTO,DT_CANCELAMENTO,OBS_MOVI,ESTAMPA,VALOR_TOTAL_PEDIDO,CHAVE_MOVI,CODOPER
"3",2019-01-27 00:00:00.000,"6","ÚNICA","ÚNICA","6","VEND4","201901276","GER2","Boleto","5102",57,342,38,0,0,0,0,0,0,6.84,1.71,0,143.64,"0","","","","TABELA1",57,17,34.2,0,"1200","Pronta Entrega",15,"3","","","ÚNICA",342,158,"Venda Terceiros"
"2",2019-01-27 00:00:00.000,"22","ÚNICA","ÚNICA","6","VEND4","201901276","GER1","Boleto","5102",57,1254,1,0,0,0,0,0,0,25.08,6.27,0,401.28,"0","","","","TABELA3",57,10,125.4,0,"1300","Pronta Entrega",60,"2","","","ÚNICA",1254,159,"Venda Terceiros"
"1",2019-01-27 00:00:00.000,"12","ÚNICA","ÚNICA","6","VEND4","201901276","GER2","Boleto","5102",52,624,20,0,0,0,0,0,0,12.48,3.12,0,324.48,"0","","","","TABELA2",52,8,62.4,0,"1300","Pronta Entrega",30,"1","","","ÚNICA",624,163,"Venda Terceiros"
"2",2019-01-26 00:00:00.000,"15","ÚNICA","ÚNICA","9","VEND4","201901269","GER2","Dinheiro","5102",45,675,34,0,0,0,0,0,0,13.5,3.375,0,303.75,"0","","","","TABELA1",45,18,67.5,0,"1300","Pronta Entrega",0,"2","","","ÚNICA",675,166,"Venda Terceiros"
"1",2019-01-16 00:00:00.000,"4","ÚNICA","ÚNICA","8","VEND3","201901168","GER1","Boleto","5102",52,208,6,0,0,0,0,0,0,4.16,1.04,0,104,"0","","","","TABELA1",52,17,20.8,0,"1200","Pronta Entrega",30,"1","","","ÚNICA",208,171,"Venda Terceiros"
"1",2019-01-16 00:00:00.000,"3","ÚNICA","ÚNICA","8","VEND3","201901168","GER2","Boleto","5102",55,165,35,0,0,0,0,0,0,3.3,0.825,0,79.2,"0","","","","TABELA2",55,17,16.5,0,"1700","Representante",45,"1","","","ÚNICA",165,175,"Venda Terceiros"
"2",2019-01-17 00:00:00.000,"1","ÚNICA","ÚNICA","4","VEND5","201901174","GER2","Boleto","5102",53,53,7,0,0,0,0,0,0,1.06,0.265,0,28.62,"0","","","","TABELA2",53,8,5.3,0,"1400","Telemarketing",15,"2","","","ÚNICA",53,183,"Venda Terceiros"
"2",2019-01-21 00:00:00.000,"10","ÚNICA","ÚNICA","7","VEND5","201901217","GER1","Boleto","5102",51,510,37,0,0,0,0,0,0,10.2,2.55,0,204,"0","","","","TABELA2",51,7,51,0,"1300","Pronta Entrega",15,"2","","","ÚNICA",510,202,"Venda Terceiros"
"3",2019-01-21 00:00:00.000,"13","ÚNICA","ÚNICA","7","VEND5","201901217","GER2","Boleto","5102",58,754,19,0,0,0,0,0,0,15.08,3.77,0,490.1,"0","","","","TABELA2",58,18,75.4,0,"1400","Telemarketing",30,"3","","","ÚNICA",754,203,"Venda Terceiros"
"2",2019-01-17 00:00:00.000,"23","ÚNICA","ÚNICA","4","VEND5","201901174","GER2","Boleto","5102",51,1173,15,0,0,0,0,0,0,23.46,5.865,0,762.45,"0","","","","TABELA2",51,17,117.3,0,"1300","Pronta Entrega",15,"2","","","ÚNICA",1173,204,"Venda Terceiros"
"3",2019-01-21 00:00:00.000,"9","ÚNICA","ÚNICA","7","VEND5","201901217","GER2","Dinheiro","5102",43,387,37,0,0,0,0,0,0,7.74,1.935,0,158.67,"0","","","","TABELA1",43,11,38.7,0,"1700","Representante",45,"3","","","ÚNICA",387,205,"Venda Terceiros"
"3",2019-01-21 00:00:00.000,"4","ÚNICA","ÚNICA","7","VEND5","201901217","GER2","Boleto","5102",55,220,20,0,0,0,0,0,0,4.4,1.1,0,107.8,"0","","","","TABELA1",55,2,22,0,"1200","Pronta Entrega",15,"3","","","ÚNICA",220,206,"Venda Terceiros"
"2",2020-01-26 00:00:00.000,"2","ÚNICA","ÚNICA","9","VEND4","202001269","GER2","Boleto","5102",58,116,7,0,0,0,0,0,0,2.32,0.58,0,47.56,"0","","","","TABELA2",58,3,11.6,0,"1300","Pronta Entrega",30,"2","","","ÚNICA",116,226,"Venda Terceiros"
"2",2020-01-26 00:00:00.000,"24","ÚNICA","ÚNICA","5","VEND1","202001265","GER1","Boleto","5102",55,1320,22,0,0,0,0,0,0,26.4,6.6,0,580.8,"0","","","","TABELA3",55,0,132,0,"1400","Telemarketing",15,"2","","","ÚNICA",1320,227,"Venda Terceiros"
"2",2020-01-27 00:00:00.000,"4","ÚNICA","ÚNICA","6","VEND4","202001276","GER1","Dinheiro","5102",46,184,39,0,0,0,0,0,0,3.68,0.92,0,121.44,"0","","","","TABELA3",46,20,18.4,0,"1400","Telemarketing",60,"2","","","ÚNICA",184,248,"Venda Terceiros"
"1",2020-01-27 00:00:00.000,"21","ÚNICA","ÚNICA","6","VEND4","202001276","GER1","Boleto","5102",53,1113,11,0,0,0,0,0,0,22.26,5.565,0,556.5,"0","","","","TABELA3",53,20,111.3,0,"1300","Pronta Entrega",15,"1","","","ÚNICA",1113,250,"Venda Terceiros"
"1",2020-01-27 00:00:00.000,"4","ÚNICA","ÚNICA","6","VEND4","202001276","GER2","0","5102",100,400,24,0,0,0,0,0,0,8,2,0,192,"0","","","","TABELA3",100,10,40,0,"1600","Representante",45,"1","","","ÚNICA",400,254,"Venda Terceiros"
"2",2020-01-16 00:00:00.000,"26","ÚNICA","ÚNICA","8","VEND3","202001168","GER2","Dinheiro","5102",43,1118,39,0,0,0,0,0,0,22.36,5.59,0,413.66,"0","","","","TABELA2",43,16,111.8,0,"1400","Telemarketing",30,"2","","","ÚNICA",1118,264,"Venda Terceiros"
"2",2020-01-16 00:00:00.000,"1","ÚNICA","ÚNICA","8","VEND3","202001168","GER1","Boleto","5102",57,57,9,0,0,0,0,0,0,1.14,0.285,0,33.06,"0","","","","TABELA3",57,4,5.7,0,"1700","Representante",60,"2","","","ÚNICA",57,267,"Venda Terceiros"
"2",2020-01-16 00:00:00.000,"11","ÚNICA","ÚNICA","8","VEND3","202001168","GER1","Dinheiro","5102",49,539,8,0,0,0,0,0,0,10.78,2.695,0,215.6,"0","","","","TABELA3",49,4,53.9,0,"1600","Representante",45,"2","","","ÚNICA",539,275,"Venda Terceiros"
"2",2020-01-21 00:00:00.000,"1","ÚNICA","ÚNICA","7","VEND5","202001217","GER2","Boleto","5102",52,52,33,0,0,0,0,0,0,1.04,0.26,0,23.92,"0","","","","TABELA2",52,1,5.2,0,"1200","Pronta Entrega",45,"2","","","ÚNICA",52,279,"Venda Terceiros"
"2",2020-01-21 00:00:00.000,"3","ÚNICA","ÚNICA","7","VEND5","202001217","GER1","Boleto","5102",51,153,29,0,0,0,0,0,0,3.06,0.765,0,76.5,"0","","","","TABELA2",51,10,15.3,0,"1700","Representante",60,"2","","","ÚNICA",153,281,"Venda Terceiros"
"3",2020-01-21 00:00:00.000,"5","ÚNICA","ÚNICA","7","VEND5","202001217","GER1","Dinheiro","5102",42,210,26,0,0,0,0,0,0,4.2,1.05,0,63,"0","","","","TABELA3",42,16,21,0,"1500","Telemarketing",15,"3","","","ÚNICA",210,289,"Venda Terceiros"
"2",2020-01-16 00:00:00.000,"3","ÚNICA","ÚNICA","7","VEND4","202001167","GER1","Dinheiro","5102",47,141,23,0,0,0,0,0,0,2.82,0.705,0,74.73,"0","","","","TABELA2",47,7,14.1,0,"1300","Pronta Entrega",0,"2","","","ÚNICA",141,296,"Venda Terceiros"
"1",2018-02-17 00:00:00.000,"5","ÚNICA","ÚNICA","1","VEND4","201802171","GER2","Dinheiro","5102",48,240,7,0,0,0,0,0,0,4.8,1.2,0,100.8,"0","","","","TABELA1",48,4,24,0,"1300","Pronta Entrega",30,"1","","","ÚNICA",240,325,"Venda Terceiros"
"2",2018-02-17 00:00:00.000,"8","ÚNICA","ÚNICA","1","VEND4","201802171","GER1","Boleto","5102",59,472,3,0,0,0,0,0,0,9.44,2.36,0,320.96,"0","","","","TABELA1",59,5,47.2,0,"1700","Representante",0,"2","","","ÚNICA",472,328,"Venda Terceiros"
"3",2018-02-07 00:00:00.000,"19","ÚNICA","ÚNICA","9","VEND2","201802079","GER1","Boleto","5102",58,1102,20,0,0,0,0,0,0,22.04,5.51,0,330.6,"0","","","","TABELA2",58,13,110.2,0,"1700","Representante",0,"3","","","ÚNICA",1102,367,"Venda Terceiros"
"3",2018-02-07 00:00:00.000,"2","ÚNICA","ÚNICA","9","VEND2","201802079","GER2","Boleto","5102",50,100,19,0,0,0,0,0,0,2,0.5,0,36,"0","","","","TABELA1",50,5,10,0,"1600","Representante",45,"3","","","ÚNICA",100,368,"Venda Terceiros"
"2",2018-02-07 00:00:00.000,"6","ÚNICA","ÚNICA","9","VEND5","201802079","GER1","Boleto","5102",56,336,10,0,0,0,0,0,0,6.72,1.68,0,107.52,"0","","","","TABELA3",56,6,33.6,0,"1400","Telemarketing",45,"2","","","ÚNICA",336,371,"Venda Terceiros"
"2",2018-02-03 00:00:00.000,"13","ÚNICA","ÚNICA","8","VEND4","201802038","GER2","Dinheiro","5102",49,637,11,0,0,0,0,0,0,12.74,3.185,0,433.16,"0","","","","TABELA1",49,10,63.7,0,"1600","Representante",45,"2","","","ÚNICA",637,386,"Venda Terceiros"
"1",2018-02-03 00:00:00.000,"21","ÚNICA","ÚNICA","8","VEND4","201802038","GER1","Dinheiro","5102",41,861,32,0,0,0,0,0,0,17.22,4.305,0,309.96,"0","","","","TABELA2",41,16,86.1,0,"1300","Pronta Entrega",30,"1","","","ÚNICA",861,388,"Venda Terceiros"
"3",2018-02-03 00:00:00.000,"6","ÚNICA","ÚNICA","8","VEND4","201802038","GER1","Boleto","5102",56,336,5,0,0,0,0,0,0,6.72,1.68,0,137.76,"0","","","","TABELA3",56,1,33.6,0,"1400","Telemarketing",45,"3","","","ÚNICA",336,391,"Venda Terceiros"
"3",2018-02-13 00:00:00.000,"25","ÚNICA","ÚNICA","5","VEND1","201802135","GER1","Dinheiro","5102",49,1225,9,0,0,0,0,0,0,24.5,6.125,0,367.5,"0","","","","TABELA1",49,0,122.5,0,"1400","Telemarketing",60,"3","","","ÚNICA",1225,398,"Venda Terceiros"
"1",2018-02-13 00:00:00.000,"7","ÚNICA","ÚNICA","5","VEND1","201802135","GER1","Dinheiro","5102",48,336,24,0,0,0,0,0,0,6.72,1.68,0,198.24,"0","","","","TABELA3",48,4,33.6,0,"1400","Telemarketing",30,"1","","","ÚNICA",336,400,"Venda Terceiros"
"3",2019-02-11 00:00:00.000,"6","ÚNICA","ÚNICA","2","VEND3","201902112","GER1","Dinheiro","5102",45,270,15,0,0,0,0,0,0,5.4,1.35,0,105.3,"0","","","","TABELA3",45,9,27,0,"1500","Telemarketing",45,"3","","","ÚNICA",270,434,"Venda Terceiros"
"2",2019-02-26 00:00:00.000,"25","ÚNICA","ÚNICA","5","VEND1","201902265","GER2","Boleto","5102",54,1350,37,0,0,0,0,0,0,27,6.75,0,877.5,"0","","","","TABELA1",54,7,135,0,"1400","Telemarketing",60,"2","","","ÚNICA",1350,456,"Venda Terceiros"
"2",2019-02-26 00:00:00.000,"15","ÚNICA","ÚNICA","9","VEND4","201902269","GER1","Dinheiro","5102",47,705,3,0,0,0,0,0,0,14.1,3.525,0,232.65,"0","","","","TABELA1",47,9,70.5,0,"1400","Telemarketing",30,"2","","","ÚNICA",705,459,"Venda Terceiros"
"1",2019-02-26 00:00:00.000,"5","ÚNICA","ÚNICA","9","VEND4","201902269","GER2","Dinheiro","5102",48,240,4,0,0,0,0,0,0,4.8,1.2,0,81.6,"0","","","","TABELA2",48,0,24,0,"1300","Pronta Entrega",15,"1","","","ÚNICA",240,461,"Venda Terceiros"
"1",2019-02-11 00:00:00.000,"22","ÚNICA","ÚNICA","2","VEND3","201902112","GER2","Dinheiro","5102",42,924,29,0,0,0,0,0,0,18.48,4.62,0,286.44,"0","","","","TABELA1",42,17,92.4,0,"1600","Representante",0,"1","","","ÚNICA",924,475,"Venda Terceiros"
"3",2019-02-21 00:00:00.000,"1","ÚNICA","ÚNICA","7","VEND5","201902217","GER2","Boleto","5102",50,50,10,0,0,0,0,0,0,1,0.25,0,20,"0","","","","TABELA2",50,5,5,0,"1200","Pronta Entrega",60,"3","","","ÚNICA",50,482,"Venda Terceiros"
"3",2019-02-21 00:00:00.000,"25","ÚNICA","ÚNICA","7","VEND5","201902217","GER2","Dinheiro","5102",46,1150,11,0,0,0,0,0,0,23,5.75,0,713,"0","","","","TABELA1",46,15,115,0,"1300","Pronta Entrega",0,"3","","","ÚNICA",1150,483,"Venda Terceiros"
"1",2019-02-21 00:00:00.000,"16","ÚNICA","ÚNICA","7","VEND5","201902217","GER1","Boleto","5102",56,896,17,0,0,0,0,0,0,17.92,4.48,0,537.6,"0","","","","TABELA3",56,16,89.6,0,"1700","Representante",0,"1","","","ÚNICA",896,484,"Venda Terceiros"
"1",2019-02-21 00:00:00.000,"1","ÚNICA","ÚNICA","7","VEND5","201902217","GER2","Dinheiro","5102",48,48,27,0,0,0,0,0,0,0.96,0.24,0,23.04,"0","","","","TABELA3",48,11,4.8,0,"1600","Representante",45,"1","","","ÚNICA",48,489,"Venda Terceiros"
"1",2019-02-16 00:00:00.000,"11","ÚNICA","ÚNICA","8","VEND3","201902168","GER1","Dinheiro","5102",47,517,10,0,0,0,0,0,0,10.34,2.585,0,284.35,"0","","","","TABELA3",47,13,51.7,0,"1600","Representante",45,"1","","","ÚNICA",517,492,"Venda Terceiros"
"1",2019-02-16 00:00:00.000,"10","ÚNICA","ÚNICA","8","VEND3","201902168","GER2","Dinheiro","5102",47,470,29,0,0,0,0,0,0,9.4,2.35,0,305.5,"0","","","","TABELA1",47,17,47,0,"1300","Pronta Entrega",60,"1","","","ÚNICA",470,493,"Venda Terceiros"
"2",2019-02-17 00:00:00.000,"11","ÚNICA","ÚNICA","4","VEND5","201902174","GER2","Boleto","5102",55,605,11,0,0,0,0,0,0,12.1,3.025,0,242,"0","","","","TABELA2",55,11,60.5,0,"1700","Representante",0,"2","","","ÚNICA",605,494,"Venda Terceiros"
"1",2020-02-26 00:00:00.000,"17","ÚNICA","ÚNICA","9","VEND4","202002269","GER2","Boleto","5102",58,986,8,0,0,0,0,0,0,19.72,4.93,0,414.12,"0","","","","TABELA3",58,12,98.6,0,"1300","Pronta Entrega",45,"1","","","ÚNICA",986,513,"Venda Terceiros"
"3",2020-02-26 00:00:00.000,"10","ÚNICA","ÚNICA","5","VEND1","202002265","GER1","Dinheiro","5102",42,420,29,0,0,0,0,0,0,8.4,2.1,0,184.8,"0","","","","TABELA1",42,13,42,0,"1200","Pronta Entrega",15,"3","","","ÚNICA",420,516,"Venda Terceiros"
"1",2020-02-27 00:00:00.000,"14","ÚNICA","ÚNICA","6","VEND4","202002276","GER2","Boleto","5102",55,770,13,0,0,0,0,0,0,15.4,3.85,0,338.8,"0","","","","TABELA2",55,2,77,0,"1600","Representante",15,"1","","","ÚNICA",770,534,"Venda Terceiros"
"2",2020-02-27 00:00:00.000,"20","ÚNICA","ÚNICA","6","VEND4","202002276","GER1","Boleto","5102",56,1120,3,0,0,0,0,0,0,22.4,5.6,0,750.4,"0","","","","TABELA1",56,11,112,0,"1700","Representante",45,"2","","","ÚNICA",1120,539,"Venda Terceiros"
"3",2020-02-27 00:00:00.000,"4","ÚNICA","ÚNICA","6","VEND4","202002276","GER2","Boleto","5102",52,208,6,0,0,0,0,0,0,4.16,1.04,0,72.8,"0","","","","TABELA1",52,5,20.8,0,"1400","Telemarketing",45,"3","","","ÚNICA",208,542,"Venda Terceiros"
"3",2020-02-27 00:00:00.000,"17","ÚNICA","ÚNICA","6","VEND4","202002276","GER2","Dinheiro","5102",49,833,9,0,0,0,0,0,0,16.66,4.165,0,533.12,"0","","","","TABELA3",49,0,83.3,0,"1600","Representante",15,"3","","","ÚNICA",833,545,"Venda Terceiros"
"2",2020-02-16 00:00:00.000,"10","ÚNICA","ÚNICA","8","VEND3","202002168","GER1","Dinheiro","5102",43,430,22,0,0,0,0,0,0,8.6,2.15,0,202.1,"0","","","","TABELA1",43,9,43,0,"1600","Representante",0,"2","","","ÚNICA",430,555,"Venda Terceiros"
"3",2020-02-16 00:00:00.000,"4","ÚNICA","ÚNICA","8","VEND3","202002168","GER1","Dinheiro","5102",45,180,36,0,0,0,0,0,0,3.6,0.9,0,99,"0","","","","TABELA2",45,6,18,0,"1600","Representante",30,"3","","","ÚNICA",180,556,"Venda Terceiros"
"3",2020-02-16 00:00:00.000,"21","ÚNICA","ÚNICA","8","VEND3","202002168","GER1","Boleto","5102",53,1113,34,0,0,0,0,0,0,22.26,5.565,0,701.19,"0","","","","TABELA2",53,2,111.3,0,"1300","Pronta Entrega",30,"3","","","ÚNICA",1113,564,"Venda Terceiros"
"1",2020-02-21 00:00:00.000,"22","ÚNICA","ÚNICA","7","VEND5","202002217","GER2","Dinheiro","5102",47,1034,37,0,0,0,0,0,0,20.68,5.17,0,361.9,"0","","","","TABELA2",47,3,103.4,0,"1200","Pronta Entrega",30,"1","","","ÚNICA",1034,568,"Venda Terceiros"
"3",2020-02-21 00:00:00.000,"13","ÚNICA","ÚNICA","7","VEND5","202002217","GER1","Boleto","5102",50,650,32,0,0,0,0,0,0,13,3.25,0,214.5,"0","","","","TABELA2",50,3,65,0,"1200","Pronta Entrega",45,"3","","","ÚNICA",650,570,"Venda Terceiros"
"2",2020-02-21 00:00:00.000,"25","ÚNICA","ÚNICA","7","VEND5","202002217","GER2","Boleto","5102",53,1325,23,0,0,0,0,0,0,26.5,6.625,0,569.75,"0","","","","TABELA1",53,17,132.5,0,"1700","Representante",0,"2","","","ÚNICA",1325,571,"Venda Terceiros"
"2",2020-02-21 00:00:00.000,"10","ÚNICA","ÚNICA","7","VEND5","202002217","GER1","Boleto","5102",58,580,1,0,0,0,0,0,0,11.6,2.9,0,284.2,"0","","","","TABELA1",58,3,58,0,"1400","Telemarketing",45,"2","","","ÚNICA",580,578,"Venda Terceiros"
"3",2020-02-17 00:00:00.000,"10","ÚNICA","ÚNICA","4","VEND5","202002174","GER1","Dinheiro","5102",45,450,22,0,0,0,0,0,0,9,2.25,0,306,"0","","","","TABELA3",45,17,45,0,"1300","Pronta Entrega",15,"3","","","ÚNICA",450,582,"Venda Terceiros"
"1",2020-02-17 00:00:00.000,"13","ÚNICA","ÚNICA","4","VEND5","202002174","GER2","Boleto","5102",58,754,1,0,0,0,0,0,0,15.08,3.77,0,527.8,"0","","","","TABELA2",58,19,75.4,0,"1400","Telemarketing",0,"1","","","ÚNICA",754,584,"Venda Terceiros"
"1",2020-02-16 00:00:00.000,"25","ÚNICA","ÚNICA","7","VEND4","202002167","GER1","Boleto","5102",59,1475,25,0,0,0,0,0,0,29.5,7.375,0,649,"0","","","","TABELA1",59,18,147.5,0,"1600","Representante",15,"1","","","ÚNICA",1475,585,"Venda Terceiros"
"2",2018-03-16 00:00:00.000,"2","ÚNICA","ÚNICA","2","VEND4","201803162","GER1","Dinheiro","5102",47,94,37,0,0,0,0,0,0,1.88,0.47,0,42.3,"0","","","","TABELA1",47,18,9.4,0,"1400","Telemarketing",0,"2","","","ÚNICA",94,622,"Venda Terceiros"
"3",2018-03-07 00:00:00.000,"10","ÚNICA","ÚNICA","9","VEND5","201803079","GER1","Boleto","5102",57,570,2,0,0,0,0,0,0,11.4,2.85,0,233.7,"0","","","","TABELA1",57,18,57,0,"1500","Telemarketing",45,"3","","","ÚNICA",570,663,"Venda Terceiros"
"3",2018-03-03 00:00:00.000,"13","ÚNICA","ÚNICA","8","VEND4","201803038","GER2","Boleto","5102",55,715,16,0,0,0,0,0,0,14.3,3.575,0,364.65,"0","","","","TABELA1",55,10,71.5,0,"1200","Pronta Entrega",0,"3","","","ÚNICA",715,689,"Venda Terceiros"
"2",2018-03-03 00:00:00.000,"28","ÚNICA","ÚNICA","8","VEND4","201803038","GER1","Dinheiro","5102",45,1260,34,0,0,0,0,0,0,25.2,6.3,0,869.4,"0","","","","TABELA3",45,2,126,0,"1200","Pronta Entrega",0,"2","","","ÚNICA",1260,692,"Venda Terceiros"
"1",2019-03-26 00:00:00.000,"20","ÚNICA","ÚNICA","5","VEND1","201903265","GER1","Boleto","5102",56,1120,10,0,0,0,0,0,0,22.4,5.6,0,616,"0","","","","TABELA3",56,12,112,0,"1700","Representante",30,"1","","","ÚNICA",1120,730,"Venda Terceiros"
"2",2019-03-26 00:00:00.000,"1","ÚNICA","ÚNICA","9","VEND4","201903269","GER2","Dinheiro","5102",43,43,24,0,0,0,0,0,0,0.86,0.215,0,18.92,"0","","","","TABELA3",43,12,4.3,0,"1700","Representante",45,"2","","","ÚNICA",43,731,"Venda Terceiros"
"1",2019-03-30 00:00:00.000,"26","ÚNICA","ÚNICA","10","VEND2","2019033010","GER1","Boleto","5102",54,1404,24,0,0,0,0,0,0,28.08,7.02,0,617.76,"0","","","","TABELA2",54,8,140.4,0,"1700","Representante",60,"1","","","ÚNICA",1404,759,"Venda Terceiros"
"1",2019-03-27 00:00:00.000,"9","ÚNICA","ÚNICA","6","VEND4","201903276","GER1","Dinheiro","5102",45,405,5,0,0,0,0,0,0,8.1,2.025,0,194.4,"0","","","","TABELA1",45,0,40.5,0,"1300","Pronta Entrega",60,"1","","","ÚNICA",405,761,"Venda Terceiros"
"1",2019-03-27 00:00:00.000,"5","ÚNICA","ÚNICA","6","VEND4","201903276","GER2","Boleto","5102",53,265,7,0,0,0,0,0,0,5.3,1.325,0,108.65,"0","","","","TABELA2",53,17,26.5,0,"1600","Representante",15,"1","","","ÚNICA",265,763,"Venda Terceiros"
"3",2019-03-27 00:00:00.000,"2","ÚNICA","ÚNICA","6","VEND4","201903276","GER1","Dinheiro","5102",41,82,5,0,0,0,0,0,0,1.64,0.41,0,55.76,"0","","","","TABELA3",41,4,8.2,0,"1500","Telemarketing",30,"3","","","ÚNICA",82,764,"Venda Terceiros"
"1",2019-03-27 00:00:00.000,"24","ÚNICA","ÚNICA","6","VEND4","201903276","GER2","Boleto","5102",52,1248,22,0,0,0,0,0,0,24.96,6.24,0,773.76,"0","","","","TABELA1",52,0,124.8,0,"1400","Telemarketing",0,"1","","","ÚNICA",1248,768,"Venda Terceiros"
"2",2019-03-26 00:00:00.000,"25","ÚNICA","ÚNICA","9","VEND4","201903269","GER2","Dinheiro","5102",48,1200,31,0,0,0,0,0,0,24,6,0,684,"0","","","","TABELA3",48,5,120,0,"1700","Representante",60,"2","","","ÚNICA",1200,771,"Venda Terceiros"
"3",2019-03-16 00:00:00.000,"1","ÚNICA","ÚNICA","7","VEND4","201903167","GER1","Boleto","5102",53,53,17,0,0,0,0,0,0,1.06,0.265,0,21.2,"0","","","","TABELA1",53,10,5.3,0,"1200","Pronta Entrega",30,"3","","","ÚNICA",53,777,"Venda Terceiros"
"3",2019-03-16 00:00:00.000,"7","ÚNICA","ÚNICA","8","VEND3","201903168","GER1","Dinheiro","5102",47,329,7,0,0,0,0,0,0,6.58,1.645,0,154.63,"0","","","","TABELA3",47,7,32.9,0,"1700","Representante",30,"3","","","ÚNICA",329,779,"Venda Terceiros"
