COD_FILIAL,DT_E_S,COD_ITEM,COR,TAMANHO,COD_PART,VEND_COMP,NUM_DOC,GERENTE,TIPO_PAG,STATUS,CENTRO_CUSTO,ESTAMPA,CHAVE_MOVI,COD_CONTA,CHAVE_CONTROLADORIA,GRUPO_ATI,CLASSIFICACAO,DT_COMPETENCIA,DT_EMISSAO,AG_CONTA,CHAVE_FINANCEIRO,CHAVE_ESTOQUE,Indicador,CHAVE_META,CHAVE_ORCAMENTO,CHAVE_SALDOBANCARIO,DT_VENCIMENTO,CODOPER
2,2019-08-22 00:00:00.000,18.0,ÚNICA,ÚNICA,30.0,VEND3,2019082230.0,GER1,Boleto,0.0,2.0,ÚNICA,1995.0,,,,,,,,,,,,,,,Venda Terceiros
2,2019-10-20 00:00:00.000,,,,,,,,,,2.0,,,Receita Bruta,6854.0,ATI2,,,,,,,,,,,,
3,2019-01-20 00:00:00.000,,,,,,,,,,3.0,,,Comissao Gerente Calculado,613.0,ATI42,,,,,,,,,,,,
1,2018-07-30 00:00:00.000,,,,,,,,,,1.0,,,Comissao Guia Calculado,4619.0,ATI43,,,,,,,,,,,,
1,2019-05-13 00:00:00.000,,,,,,,,,,1.0,,,Comissao Vendedor Calculado,3929.0,ATI9,,,,,,,,,,,,
2,2018-02-03 00:00:00.000,13.0,ÚNICA,ÚNICA,8.0,VEND4,201802038.0,GER2,Dinheiro,0.0,2.0,ÚNICA,386.0,,,,,,,,,,,,,,,Venda Terceiros
2,2020-03-15 00:00:00.000,,,,,,,,,,2.0,,,Taxa Adm Cartão,2511.0,ATI61,,,,,,,,,,,,
3,2018-04-08 00:00:00.000,,,,,,,,,,3.0,,,Simples Nacional Calculado,2787.0,ATI41,,,,,,,,,,,,
3,2019-05-22 00:00:00.000,,,,,,,,,,3.0,,,Comissao Gerente Calculado,3804.0,ATI42,,,,,,,,,,,,
1,2020-01-21 00:00:00.000,15.0,ÚNICA,ÚNICA,7.0,VEND5,202001217.0,GER2,Cartao Credito,0.0,1.0,ÚNICA,286.0,,,,,,,,,,,,,,,Venda Terceiros
3,2020-12-01 00:00:00.000,,,,,,,,,,1.0,,,Frete,,ATI44,,,,,,,,,360.0,,,
3,2018-12-13 00:00:00.000,,,,,,,,,,3.0,,,Comissao Gerente Calculado,7651.0,ATI42,,,,,,,,,,,,
2,2019-09-24 00:00:00.000,,,,,,,,,,2.0,,,Estorno Comissao Vendedor Calculado,6351.0,ATI9,,,,,,,,,,,,
1,2018-08-17 00:00:00.000,,,,20.0,VEND1,2018081320.0,,Cheque,0.0,1.0,,,Salarios e Ordenados,,ATI14,,2018-08-14 00:00:00.000,2018-08-13 00:00:00.000,2222-999900,450.0,,,,,,2018-08-14 00:00:00.000,
3,2018-10-17 00:00:00.000,24.0,ÚNICA,ÚNICA,4.0,VEND5,201810174.0,GER2,Dinheiro,0.0,3.0,ÚNICA,2292.0,,,,,,,,,,,,,,,Venda Terceiros
3,2018-05-15 00:00:00.000,,,,,,,,,,3.0,,,Receita Bruta,3644.0,ATI2,,,,,,,,,,,,
3,2018-09-22 00:00:00.000,,,,,,,,,,3.0,,,Simples Nacional Calculado,5887.0,ATI41,,,,,,,,,,,,
2,2020-05-01 00:00:00.000,,,,,,,,,,1.0,,,Recebimento,,ATI51,,,,,,,,,65.0,,,
1,2018-12-30 00:00:00.000,,,,,,,,,,1.0,,,Custo das Mercadorias Vendidas,7530.0,ATI11,,,,,,,,,,,,
3,2019-02-27 00:00:00.000,,,,,,,,,,3.0,,,Receita Bruta,1332.0,ATI2,,,,,,,,,,,,
3,2019-04-26 00:00:00.000,,,,,,,,,,3.0,,,Comissao Guia Calculado,2984.0,ATI43,,,,,,,,,,,,
2,2018-05-22 00:00:00.000,17.0,ÚNICA,ÚNICA,16.0,VEND5,2018052216.0,GER2,Boleto,2.0,2.0,ÚNICA,1173.0,,,,,,,,,,,,,,,Venda Terceiros
2,2018-01-22 00:00:00.000,,,,,,,,,,2.0,,,Tres,370.0,ATI19,,,,,,,,,,,,
1,2019-09-01 00:00:00.000,,,,,,,,,,1.0,,,Salarios e Ordenados,,ATI14,,,,,,,,,741.0,,,
1,2018-11-26 00:00:00.000,,,,,,,,,,1.0,,,Comissao Vendedor Calculado,6908.0,ATI9,,,,,,,,,,,,
1,2018-04-14 00:00:00.000,,,,,,,,,,1.0,,,Comissao Guia Calculado,2898.0,ATI43,,,,,,,,,,,,
1,2018-04-01 00:00:00.000,,,,,,,,,,1.0,,,Recebimento,,ATI51,,,,,,,,,76.0,,,
1,,,,,36.0,VEND3,2020012636.0,,Boleto,1.0,1.0,,,Aluguel,,ATI15,,2020-01-26 00:00:00.000,2020-01-26 00:00:00.000,2222-999900,249.0,,,,,,2020-01-26 00:00:00.000,
3,2020-01-12 00:00:00.000,,,,,,,,,,3.0,,,Comissao Guia Calculado,824.0,ATI43,,,,,,,,,,,,
1,2020-02-28 00:00:00.000,13.0,ÚNICA,ÚNICA,20.0,COMP2,2020022820.0,GER2,Cartao Credito,0.0,1.0,ÚNICA,593.0,,,,,,,,,,,,,,,Compra Terceiros
3,2019-05-26 00:00:00.000,5.0,ÚNICA,ÚNICA,29.0,VEND4,2019052629.0,GER1,Dinheiro,0.0,3.0,ÚNICA,1319.0,,,,,,,,,,,,,,,Venda Terceiros
3,2018-09-01 00:00:00.000,,,,,VEND4,,GER2,,,,,,,,,,,,,,,Faturamento,153.0,,,,
1,2018-08-31 00:00:00.000,,,,,,,,,,1.0,,,Estorno PIS Calculado,5552.0,ATI7,,,,,,,,,,,,
2,2018-08-01 00:00:00.000,,,,,,,,,,2.0,,,Taxa Adm Cartão,5419.0,ATI61,,,,,,,,,,,,
1,2019-10-31 00:00:00.000,28.0,ÚNICA,ÚNICA,,,,,,,5.0,ÚNICA,,,,,,,,,,672.0,,,,,,
2,2019-12-11 00:00:00.000,,,,,,,,,,2.0,,,Receita Bruta,7884.0,ATI2,,,,,,,,,,,,
2,2019-11-27 00:00:00.000,23.0,ÚNICA,ÚNICA,6.0,VEND4,201911276.0,GER2,Cartao Credito,0.0,2.0,ÚNICA,2516.0,,,,,,,,,,,,,,,Venda Terceiros
1,2019-01-24 00:00:00.000,,,,,,,,,,1.0,,,Estorno Comissao Vendedor Calculado,647.0,ATI9,,,,,,,,,,,,
3,2019-04-13 00:00:00.000,,,,,,,,,,3.0,,,Simples Nacional Calculado,3139.0,ATI41,,,,,,,,,,,,
2,2020-01-12 00:00:00.000,13.0,ÚNICA,ÚNICA,36.0,VEND2,2020011236.0,GER2,Cartao Credito,0.0,2.0,ÚNICA,269.0,,,,,,,,,,,,,,,Venda Terceiros
1,2020-02-20 00:00:00.000,,,,,,,,,,1.0,,,Comissao Guia Calculado,1707.0,ATI43,,,,,,,,,,,,
3,2019-11-23 00:00:00.000,,,,,,,,,,3.0,,,Comissao Guia Calculado,7227.0,ATI43,,,,,,,,,,,,
1,2018-10-31 00:00:00.000,3.0,ÚNICA,ÚNICA,,,,,,,3.0,ÚNICA,,,,,,,,,,617.0,,,,,,
1,2018-10-28 00:00:00.000,15.0,ÚNICA,ÚNICA,28.0,VEND2,2018102828.0,GER2,Dinheiro,0.0,1.0,ÚNICA,2249.0,,,,,,,,,,,,,,,Venda Terceiros
3,2019-01-15 00:00:00.000,,,,,,,,,,3.0,,,Custo das Mercadorias Vendidas,541.0,ATI11,,,,,,,,,,,,
2,2018-02-28 00:00:00.000,,,,,,,,,,2.0,,,Comissao Gerente Calculado,989.0,ATI42,,,,,,,,,,,,
1,2019-04-28 00:00:00.000,,,,,,,,,,1.0,,,Taxa Adm Cartão,3063.0,ATI61,,,,,,,,,,,,
1,2018-01-11 00:00:00.000,,,,,,,,,,1.0,,,Receita Bruta,274.0,ATI2,,,,,,,,,,,,
3,2018-12-12 00:00:00.000,,,,,,,,,,3.0,,,Receita Bruta,7606.0,ATI2,,,,,,,,,,,,
3,2018-02-11 00:00:00.000,,,,,,,,,,3.0,,,Comissao Gerente Calculado,1143.0,ATI42,,,,,,,,,,,,
