NIVEL1,NIVEL2,NIVEL3,NIVEL4,NIVEL5,NIVEL6,NIVEL7,COD_CTA_REF,TIPOCONTA,GRUPO_ATI
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","4 - COMISSÕES","Comissao Vendedor Pago",30101010307,"caixa","ATI49"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","4 - COMISSÕES","Comissao Gerente Calculado",30101010307,"resultado","ATI42"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","4 - COMISSÕES","Comissao Guia Calculado",30101010307,"resultado","ATI43"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","2 - DEDUÇÕES DA RECEITA","5 - OUTRAS DEDUÇÕES","Taxa Administração Cartão",,"resultado","ATI61"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","6 - CUSTO DOS BENS E SERVIÇOS VENDIDOS","6 - CUSTO DOS PRODUTOS DE FABRICAÇÃO PRÓPRIA VENDIDOS","Custo dos Produtos de Fabricação Própria Vendidos",30101030101,"resultado","ATI10"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","6 - CUSTO DOS BENS E SERVIÇOS VENDIDOS","7 - CUSTO DAS MERCADORIAS REVENDIDAS","Custo das Mercadorias Vendidas",30101030301,"resultado","ATI11"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","6 - CUSTO DOS BENS E SERVIÇOS VENDIDOS","7 - CUSTO DAS MERCADORIAS REVENDIDAS","Pagamento Fornecedor",30101030301,"caixa","ATI50"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","6 - CUSTO DOS BENS E SERVIÇOS VENDIDOS","7 - CUSTO DAS MERCADORIAS REVENDIDAS","Estorno CMV Devolução",30101030301,"resultado","ATI40"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","6 - CUSTO DOS BENS E SERVIÇOS VENDIDOS","7 - CUSTO DAS MERCADORIAS REVENDIDAS","Saída Remessa Brinde",,"resultado","ATI57"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","6 - CUSTO DOS BENS E SERVIÇOS VENDIDOS","8 - CUSTO DOS SERVIÇOS VENDIDOS","Custo dos Serviços Vendidos",30101030501,"resultado","ATI12"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","9 - OUTRAS RECEITAS OPERACIONAIS","9 - OUTRAS RECEITAS OPERACIONAIS","Outras Receitas Operacionais",30101050111,"resultado","ATI13"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","1 - RESULTADO BRUTO","9 - OUTRAS RECEITAS OPERACIONAIS","9 - OUTRAS RECEITAS OPERACIONAIS","transferencia entre contas",30101050111,"caixa","ATI52"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","2 - DESPESAS","5 - DESPESAS OPERACIONAIS","10 - PESSOAL","",30101070101,"resultado/caixa","ATI14"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","2 - DESPESAS","5 - DESPESAS OPERACIONAIS","11 - ADMINISTRATIVO","",30101070102,"resultado/caixa","ATI15"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","2 - DESPESAS","5 - DESPESAS OPERACIONAIS","12 - LOGISTICA","",30101070103,"resultado/caixa","ATI44"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","2 - DESPESAS","5 - DESPESAS OPERACIONAIS","13 - MARKETING","",30101070104,"resultado/caixa","ATI17"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","2 - DESPESAS","5 - DESPESAS OPERACIONAIS","14 - FINANCEIRA","",30101070105,"resultado/caixa","ATI45"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","2 - DESPESAS","5 - DESPESAS OPERACIONAIS","15 - SOCIOS","",30101070106,"resultado/caixa","ATI19"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","2 - DESPESAS","5 - DESPESAS OPERACIONAIS","16 - COMERCIAL","",30101070107,"resultado/caixa","ATI20"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","2 - DESPESAS","5 - DESPESAS OPERACIONAIS","17 - COMERCIAL","Comissão Paga",30101070107,"caixa","ATI55"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","2 - DESPESAS","5 - DESPESAS OPERACIONAIS","18 - TRIBUTARIA","",,"resultado","ATI53"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","2 - DESPESAS","5 - DESPESAS OPERACIONAIS","18 - TRIBUTARIA","",,"caixa","ATI54"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","1 - RESULTADO OPERACIONAL","2 - DESPESAS","6 - OUTRAS DESPESAS OPERACIONAIS","19 - OUTRAS DESPESAS OPERACIONAIS","",30101090105,"resultado/caixa","ATI21"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","2 - RESULTADO NÃO OPERACIONAL","2 - DESPESAS","7 - RECEITAS E DESPESAS NÃO OPERACIONAIS","20 - RECEITAS NÃO OPERACIONAIS","",30103010102,"resultado/caixa","ATI22"
"1 - RESULTADO LÍQUIDO DO PERÍODO","1 - RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL","2 - RESULTADO NÃO OPERACIONAL","2 - DESPESAS","7 - RECEITAS E DESPESAS NÃO OPERACIONAIS","21 - DESPESAS NÃO OPERACIONAIS","",30103010302,"resultado/caixa","ATI23"
"1 - RESULTADO LÍQUIDO DO PERÍODO","2 - PROVISÃO PARA CSLL E IRPJ (ATIVIDADES EM GERAL)","3 - PROVISÃO PARA CSLL E IRPJ (ATIVIDADES EM GERAL)","3 - PROVISÃO PARA CSLL E IRPJ","8 - PROVISÃO PARA CSLL E IRPJ","22 - PROVISÃO PARA CSLL E IRPJ","Contribuição Social sobre o Lucro Líquido - CSLL",30201010101,"resultado","ATI24"
"1 - RESULTADO LÍQUIDO DO PERÍODO","2 - PROVISÃO PARA CSLL E IRPJ (ATIVIDADES EM GERAL)","3 - PROVISÃO PARA CSLL E IRPJ (ATIVIDADES EM GERAL)","3 - PROVISÃO PARA CSLL E IRPJ","8 - PROVISÃO PARA CSLL E IRPJ","22 - PROVISÃO PARA CSLL E IRPJ","Provisão para Imposto de Renda Pessoa Jurídica  - IRPJ",30201010102,"resultado","ATI25"
"1 - RESULTADO LÍQUIDO DO PERÍODO","3 - INVESTIMENTOS","4 - INVESTIMENTOS","4 - INVESTIMENTOS","9 - INVESTIMENTOS","23 - INVESTIMENTOS","Investimentos",,"resultado/caixa","ATI56"
