COD_FILIAL,NUM_TIT,COD_PART,COD_CONTA,NUM_DOC,VEND_COMP,TIPO_PAG,DT_COMPETENCIA,NUM_PARC,DT_EMISSAO,DT_VENCIMENTO,DT_E_S,AG_CONTA,RECEBER_PAGAR,CENTRO_CUSTO,VL_ACRESCIMO,VL_DESCONTO,STATUS,VL_FINANCEIRO,OBS,FORNECEDOR_FIN,RENOGOCIADO,CHAVE_FINANCEIRO,GRUPO_ATI,CLASSIFICACAO,REC_PAG,SITUACAO_TITULO,PRAZO_FINANCEIRO,ATRASO_FINANCEIRO
"3","2019011017","17","Recebimento","2019011017","VEND2","Dinheiro",2019-01-17 00:00:00.000,"5",2019-01-10 00:00:00.000,2019-01-17 00:00:00.000,2019-01-20 00:00:00.000,"2222-999900","0","3",,,"0",1011,"","","",40,"ATI51","","RECEBER","QUITADO DIA",7,3
"1","2019011127","27","Recebimento","2019011127","VEND1","Cartao Credito",2019-01-13 00:00:00.000,"6",2019-01-11 00:00:00.000,2019-01-13 00:00:00.000,2019-01-16 00:00:00.000,"2222-999900","0","1",,,"0",1049,"","","",43,"ATI51","","RECEBER","QUITADO DIA",2,3
"3","2019011215","15","Recebimento","2019011215","VEND1","Cartao Credito",2019-01-21 00:00:00.000,"5",2019-01-12 00:00:00.000,2019-01-21 00:00:00.000,2019-01-24 00:00:00.000,"2222-999900","0","3",,,"0",1880,"","","",44,"ATI51","","RECEBER","QUITADO DIA",9,3
"2","2019011314","14","Recebimento","2019011314","VEND2","Dinheiro",2019-01-21 00:00:00.000,"5",2019-01-13 00:00:00.000,2019-01-21 00:00:00.000,2019-01-24 00:00:00.000,"2222-999900","0","2",,,"0",1683,"","","",45,"ATI51","","RECEBER","QUITADO DIA",8,3
"3","2019011523","23","Recebimento","2019011523","VEND3","Cartao Debito",2019-01-21 00:00:00.000,"3",2019-01-15 00:00:00.000,2019-01-21 00:00:00.000,2019-01-22 00:00:00.000,"2222-999900","0","3",,,"0",1719,"","","",48,"ATI51","","RECEBER","QUITADO DIA",6,1
"3","2019011817","17","Recebimento","2019011817","VEND1","Cheque",2019-01-20 00:00:00.000,"5",2019-01-18 00:00:00.000,2019-01-20 00:00:00.000,2019-01-23 00:00:00.000,"2222-999900","0","3",,,"0",1629,"","","",53,"ATI51","","RECEBER","QUITADO DIA",2,3
"2","201901197","7","Recebimento","201901197","VEND3","Boleto",2019-01-22 00:00:00.000,"7",2019-01-19 00:00:00.000,2019-01-22 00:00:00.000,2019-01-22 00:00:00.000,"2222-999900","0","2",,,"0",1705,"","","",55,"ATI51","","RECEBER","QUITADO DIA",3,0
"1","2019012031","31","Recebimento","2019012031","VEND5","Cartao Debito",2019-01-20 00:00:00.000,"2",2019-01-20 00:00:00.000,2019-01-20 00:00:00.000,2019-01-20 00:00:00.000,"2222-999900","0","1",,,"0",1724,"","","",56,"ATI51","","RECEBER","QUITADO DIA",0,0
"1","2020011912","12","Recebimento","2020011912","VEND3","Boleto",2020-01-21 00:00:00.000,"7",2020-01-19 00:00:00.000,2020-01-21 00:00:00.000,2020-01-21 00:00:00.000,"2222-999900","0","1",,,"0",1559,"","","",60,"ATI51","","RECEBER","QUITADO DIA",2,0
"3","2020012020","20","Recebimento","2020012020","VEND5","Cheque",2020-01-21 00:00:00.000,"7",2020-01-20 00:00:00.000,2020-01-21 00:00:00.000,2020-01-26 00:00:00.000,"2222-999900","0","3",,,"0",1848,"","","",61,"ATI51","","RECEBER","QUITADO DIA",1,5
"2","2020012029","29","Recebimento","2020012029","VEND5","Cartao Credito",2020-01-20 00:00:00.000,"4",2020-01-20 00:00:00.000,2020-01-20 00:00:00.000,2020-01-21 00:00:00.000,"2222-999900","0","2",,,"0",1456,"","","",63,"ATI51","","RECEBER","QUITADO DIA",0,1
"1","2018021126","26","Recebimento","2018021126","VEND4","Cartao Debito",2018-02-13 00:00:00.000,"8",2018-02-11 00:00:00.000,2018-02-13 00:00:00.000,2018-02-14 00:00:00.000,"2222-999900","0","1",,,"0",1921,"","","",68,"ATI51","","RECEBER","QUITADO DIA",2,1
"2","201802111","1","Recebimento","201802111","VEND5","Dinheiro",2018-02-18 00:00:00.000,"4",2018-02-11 00:00:00.000,2018-02-18 00:00:00.000,2018-02-21 00:00:00.000,"2222-999900","0","2",,,"0",1524,"","","",70,"ATI51","","RECEBER","QUITADO DIA",7,3
"3","2018021238","38","Recebimento","2018021238","VEND1","Cartao Debito",2018-02-18 00:00:00.000,"4",2018-02-12 00:00:00.000,2018-02-18 00:00:00.000,2018-02-21 00:00:00.000,"2222-999900","0","3",,,"0",1442,"","","",74,"ATI51","","RECEBER","QUITADO DIA",6,3
"1","201802137","7","Recebimento","201802137","VEND4","Cartao Credito",2018-02-17 00:00:00.000,"6",2018-02-13 00:00:00.000,2018-02-17 00:00:00.000,2018-02-19 00:00:00.000,"2222-999900","0","1",,,"0",1703,"","","",78,"ATI51","","RECEBER","QUITADO DIA",4,2
"3","2018021427","27","Recebimento","2018021427","VEND3","Boleto",2018-02-20 00:00:00.000,"7",2018-02-14 00:00:00.000,2018-02-20 00:00:00.000,2018-02-23 00:00:00.000,"2222-999900","0","3",,,"0",1238,"","","",85,"ATI51","","RECEBER","QUITADO DIA",6,3
"1","2018021426","26","Recebimento","2018021426","VEND5","Dinheiro",2018-02-22 00:00:00.000,"4",2018-02-14 00:00:00.000,2018-02-22 00:00:00.000,2018-02-25 00:00:00.000,"2222-999900","0","1",,,"0",1238,"","","",86,"ATI51","","RECEBER","QUITADO DIA",8,3
"1","201802176","6","Recebimento","201802176","VEND3","Cartao Credito",2018-02-20 00:00:00.000,"3",2018-02-17 00:00:00.000,2018-02-20 00:00:00.000,2018-02-21 00:00:00.000,"2222-999900","0","1",,,"0",1751,"","","",90,"ATI51","","RECEBER","QUITADO DIA",3,1
"1","2018022135","35","Recebimento","2018022135","VEND5","Cartao Debito",2018-02-21 00:00:00.000,"4",2018-02-21 00:00:00.000,2018-02-21 00:00:00.000,2018-02-21 00:00:00.000,"2222-999900","0","1",,,"0",1180,"","","",96,"ATI51","","RECEBER","QUITADO DIA",0,0
"1","2019021111","11","Recebimento","2019021111","VEND1","Boleto",2019-02-19 00:00:00.000,"4",2019-02-11 00:00:00.000,2019-02-19 00:00:00.000,2019-02-20 00:00:00.000,"2222-999900","0","1",,,"0",1938,"","","",102,"ATI51","","RECEBER","QUITADO DIA",8,1
"2","2019021339","39","Recebimento","2019021339","VEND2","Dinheiro",2019-02-15 00:00:00.000,"3",2019-02-13 00:00:00.000,2019-02-15 00:00:00.000,2019-02-18 00:00:00.000,"2222-999900","0","2",,,"0",1070,"","","",106,"ATI51","","RECEBER","QUITADO DIA",2,3
"3","2019021532","32","Recebimento","2019021532","VEND3","Cartao Debito",2019-02-19 00:00:00.000,"1",2019-02-15 00:00:00.000,2019-02-19 00:00:00.000,2019-02-19 00:00:00.000,"2222-999900","0","3",,,"0",1131,"","","",110,"ATI51","","RECEBER","QUITADO DIA",4,0
"1","2019021822","22","Recebimento","2019021822","VEND1","Cheque",2019-02-22 00:00:00.000,"7",2019-02-18 00:00:00.000,2019-02-22 00:00:00.000,2019-02-24 00:00:00.000,"2222-999900","0","1",,,"0",1424,"","","",113,"ATI51","","RECEBER","QUITADO DIA",4,2
"1","2019021833","33","Recebimento","2019021833","VEND1","Cheque",2019-02-22 00:00:00.000,"7",2019-02-18 00:00:00.000,2019-02-22 00:00:00.000,2019-02-25 00:00:00.000,"2222-999900","0","1",,,"0",1837,"","","",115,"ATI51","","RECEBER","QUITADO DIA",4,3
"1","2019022021","21","Recebimento","2019022021","VEND1","Dinheiro",2019-02-20 00:00:00.000,"8",2019-02-20 00:00:00.000,2019-02-20 00:00:00.000,2019-02-25 00:00:00.000,"2222-999900","0","1",,,"0",1423,"","","",117,"ATI51","","RECEBER","QUITADO DIA",0,5
"1","201902218","8","Recebimento","201902218","VEND5","Cheque",2019-02-21 00:00:00.000,"8",2019-02-21 00:00:00.000,2019-02-21 00:00:00.000,2019-02-25 00:00:00.000,"2222-999900","0","1",,,"0",1086,"","","",118,"ATI51","","RECEBER","QUITADO DIA",0,4
"2","2019022130","30","Recebimento","2019022130","VEND2","Boleto",2019-02-21 00:00:00.000,"2",2019-02-21 00:00:00.000,2019-02-21 00:00:00.000,2019-02-24 00:00:00.000,"2222-999900","0","2",,,"0",1869,"","","",119,"ATI51","","RECEBER","QUITADO DIA",0,3
"1","2019022223","23","Recebimento","2019022223","VEND3","Dinheiro",2019-02-22 00:00:00.000,"3",2019-02-22 00:00:00.000,2019-02-22 00:00:00.000,2019-02-22 00:00:00.000,"2222-999900","0","1",,,"0",1244,"","","",120,"ATI51","","RECEBER","QUITADO DIA",0,0
"3","202002216","6","Recebimento","202002216","VEND5","Cheque",2020-02-21 00:00:00.000,"7",2020-02-21 00:00:00.000,2020-02-21 00:00:00.000,2020-02-21 00:00:00.000,"2222-999900","0","3",,,"0",1775,"","","",125,"ATI51","","RECEBER","QUITADO DIA",0,0
"1","2018031038","38","Recebimento","2018031038","VEND3","Cheque",2018-03-12 00:00:00.000,"4",2018-03-10 00:00:00.000,2018-03-12 00:00:00.000,2018-03-13 00:00:00.000,"2222-999900","0","1",,,"0",1702,"","","",126,"ATI51","","RECEBER","QUITADO DIA",2,1
"3","2018031120","20","Recebimento","2018031120","VEND4","Cartao Debito",2018-03-19 00:00:00.000,"5",2018-03-11 00:00:00.000,2018-03-19 00:00:00.000,2018-03-22 00:00:00.000,"2222-999900","0","3",,,"0",1877,"","","",129,"ATI51","","RECEBER","QUITADO DIA",8,3
"1","2018031228","28","Recebimento","2018031228","VEND3","Cartao Credito",2018-03-14 00:00:00.000,"7",2018-03-12 00:00:00.000,2018-03-14 00:00:00.000,2018-03-15 00:00:00.000,"2222-999900","0","1",,,"0",1088,"","","",132,"ATI51","","RECEBER","QUITADO DIA",2,1
"3","2018031212","12","Recebimento","2018031212","VEND4","Boleto",2018-03-12 00:00:00.000,"6",2018-03-12 00:00:00.000,2018-03-12 00:00:00.000,2018-03-16 00:00:00.000,"2222-999900","0","3",,,"0",1137,"","","",133,"ATI51","","RECEBER","QUITADO DIA",0,4
"3","2018031340","40","Recebimento","2018031340","VEND5","Cartao Credito",2018-03-14 00:00:00.000,"4",2018-03-13 00:00:00.000,2018-03-14 00:00:00.000,2018-03-16 00:00:00.000,"2222-999900","0","3",,,"0",1800,"","","",137,"ATI51","","RECEBER","QUITADO DIA",1,2
"1","2018031320","20","Recebimento","2018031320","VEND1","Cartao Debito",2018-03-18 00:00:00.000,"6",2018-03-13 00:00:00.000,2018-03-18 00:00:00.000,2018-03-23 00:00:00.000,"2222-999900","0","1",,,"0",1575,"","","",141,"ATI51","","RECEBER","QUITADO DIA",5,5
"2","201803149","9","Recebimento","201803149","VEND1","Boleto",2018-03-15 00:00:00.000,"8",2018-03-14 00:00:00.000,2018-03-15 00:00:00.000,2018-03-15 00:00:00.000,"2222-999900","0","2",,,"0",1585,"","","",143,"ATI51","","RECEBER","QUITADO DIA",1,0
"2","2018031421","21","Recebimento","2018031421","VEND2","Boleto",2018-03-21 00:00:00.000,"4",2018-03-14 00:00:00.000,2018-03-21 00:00:00.000,2018-03-23 00:00:00.000,"2222-999900","0","2",,,"0",1423,"","","",145,"ATI51","","RECEBER","QUITADO DIA",7,2
"3","2018031417","17","Recebimento","2018031417","VEND5","Dinheiro",2018-03-18 00:00:00.000,"2",2018-03-14 00:00:00.000,2018-03-18 00:00:00.000,2018-03-20 00:00:00.000,"2222-999900","0","3",,,"0",1617,"","","",148,"ATI51","","RECEBER","QUITADO DIA",4,2
"1","2018031433","33","Recebimento","2018031433","VEND4","Cartao Credito",2018-03-22 00:00:00.000,"1",2018-03-14 00:00:00.000,2018-03-22 00:00:00.000,2018-03-25 00:00:00.000,"2222-999900","0","1",,,"0",1080,"","","",149,"ATI51","","RECEBER","QUITADO DIA",8,3
"2","201803153","3","Recebimento","201803153","VEND1","Boleto",2018-03-18 00:00:00.000,"1",2018-03-15 00:00:00.000,2018-03-18 00:00:00.000,2018-03-19 00:00:00.000,"2222-999900","0","2",,,"0",1061,"","","",150,"ATI51","","RECEBER","QUITADO DIA",3,1
"1","201803171","1","Recebimento","201803171","VEND3","Cartao Credito",2018-03-22 00:00:00.000,"1",2018-03-17 00:00:00.000,2018-03-22 00:00:00.000,2018-03-25 00:00:00.000,"2222-999900","0","1",,,"0",1241,"","","",151,"ATI51","","RECEBER","QUITADO DIA",5,3
"3","2018031716","16","Recebimento","2018031716","VEND5","Dinheiro",2018-03-17 00:00:00.000,"8",2018-03-17 00:00:00.000,2018-03-17 00:00:00.000,2018-03-22 00:00:00.000,"2222-999900","0","3",,,"0",1932,"","","",152,"ATI51","","RECEBER","QUITADO DIA",0,5
"3","201803171","1","Recebimento","201803171","VEND3","Cartao Debito",2018-03-17 00:00:00.000,"2",2018-03-17 00:00:00.000,2018-03-17 00:00:00.000,2018-03-22 00:00:00.000,"2222-999900","0","3",,,"0",1230,"","","",153,"ATI51","","RECEBER","QUITADO DIA",0,5
"2","2019031119","19","Recebimento","2019031119","VEND1","Boleto",2019-03-20 00:00:00.000,"8",2019-03-11 00:00:00.000,2019-03-20 00:00:00.000,2019-03-24 00:00:00.000,"2222-999900","0","2",,,"0",1497,"","","",160,"ATI51","","RECEBER","QUITADO DIA",9,4
"1","2019031138","38","Recebimento","2019031138","VEND5","Cartao Credito",2019-03-11 00:00:00.000,"5",2019-03-11 00:00:00.000,2019-03-11 00:00:00.000,2019-03-12 00:00:00.000,"2222-999900","0","1",,,"0",1279,"","","",161,"ATI51","","RECEBER","QUITADO DIA",0,1
"1","201903159","9","Recebimento","201903159","VEND3","Cartao Debito",2019-03-22 00:00:00.000,"3",2019-03-15 00:00:00.000,2019-03-22 00:00:00.000,2019-03-25 00:00:00.000,"2222-999900","0","1",,,"0",1926,"","","",167,"ATI51","","RECEBER","QUITADO DIA",7,3
"1","2019031518","18","Recebimento","2019031518","VEND3","Cartao Credito",2019-03-18 00:00:00.000,"6",2019-03-15 00:00:00.000,2019-03-18 00:00:00.000,2019-03-23 00:00:00.000,"2222-999900","0","1",,,"0",1169,"","","",168,"ATI51","","RECEBER","QUITADO DIA",3,5
"2","2019031536","36","Recebimento","2019031536","VEND3","Cartao Credito",2019-03-19 00:00:00.000,"3",2019-03-15 00:00:00.000,2019-03-19 00:00:00.000,2019-03-24 00:00:00.000,"2222-999900","0","2",,,"0",1627,"","","",169,"ATI51","","RECEBER","QUITADO DIA",4,5
"2","2019031716","16","Recebimento","2019031716","VEND2","Cheque",2019-03-20 00:00:00.000,"7",2019-03-17 00:00:00.000,2019-03-20 00:00:00.000,2019-03-22 00:00:00.000,"2222-999900","0","2",,,"0",1469,"","","",170,"ATI51","","RECEBER","QUITADO DIA",3,2
"2","2019031815","15","Recebimento","2019031815","VEND1","Cheque",2019-03-20 00:00:00.000,"8",2019-03-18 00:00:00.000,2019-03-20 00:00:00.000,2019-03-25 00:00:00.000,"2222-999900","0","2",,,"0",1651,"","","",172,"ATI51","","RECEBER","QUITADO DIA",2,5
"1","201903189","9","Recebimento","201903189","VEND2","Dinheiro",2019-03-21 00:00:00.000,"4",2019-03-18 00:00:00.000,2019-03-21 00:00:00.000,2019-03-23 00:00:00.000,"2222-999900","0","1",,,"0",1614,"","","",174,"ATI51","","RECEBER","QUITADO DIA",3,2
"1","201903183","3","Recebimento","201903183","VEND5","Boleto",2019-03-19 00:00:00.000,"7",2019-03-18 00:00:00.000,2019-03-19 00:00:00.000,2019-03-22 00:00:00.000,"2222-999900","0","1",,,"0",1509,"","","",175,"ATI51","","RECEBER","QUITADO DIA",1,3
"1","2019032028","28","Recebimento","2019032028","VEND1","Dinheiro",2019-03-20 00:00:00.000,"7",2019-03-20 00:00:00.000,2019-03-20 00:00:00.000,2019-03-21 00:00:00.000,"2222-999900","0","1",,,"0",1327,"","","",177,"ATI51","","RECEBER","QUITADO DIA",0,1
"3","2019032136","36","Recebimento","2019032136","VEND5","Cheque",2019-03-21 00:00:00.000,"7",2019-03-21 00:00:00.000,2019-03-21 00:00:00.000,2019-03-24 00:00:00.000,"2222-999900","0","3",,,"0",1120,"","","",178,"ATI51","","RECEBER","QUITADO DIA",0,3
"1","201804106","6","Recebimento","201804106","VEND4","Cartao Debito",2018-04-17 00:00:00.000,"5",2018-04-10 00:00:00.000,2018-04-17 00:00:00.000,2018-04-21 00:00:00.000,"2222-999900","0","1",,,"0",1967,"","","",181,"ATI51","","RECEBER","QUITADO DIA",7,4
"1","2018041039","39","Recebimento","2018041039","VEND1","Cartao Credito",2018-04-17 00:00:00.000,"1",2018-04-10 00:00:00.000,2018-04-17 00:00:00.000,2018-04-22 00:00:00.000,"2222-999900","0","1",,,"0",1476,"","","",182,"ATI51","","RECEBER","QUITADO DIA",7,5
"3","2018041112","12","Recebimento","2018041112","VEND1","Cartao Credito",2018-04-17 00:00:00.000,"4",2018-04-11 00:00:00.000,2018-04-17 00:00:00.000,2018-04-17 00:00:00.000,"2222-999900","0","3",,,"0",1990,"","","",186,"ATI51","","RECEBER","QUITADO DIA",6,0
"1","2018041227","27","Recebimento","2018041227","VEND3","Cartao Credito",2018-04-18 00:00:00.000,"3",2018-04-12 00:00:00.000,2018-04-18 00:00:00.000,2018-04-22 00:00:00.000,"2222-999900","0","1",,,"0",1692,"","","",189,"ATI51","","RECEBER","QUITADO DIA",6,4
"1","201804129","9","Recebimento","201804129","VEND2","Boleto",2018-04-16 00:00:00.000,"4",2018-04-12 00:00:00.000,2018-04-16 00:00:00.000,2018-04-16 00:00:00.000,"2222-999900","0","1",,,"0",1096,"","","",190,"ATI51","","RECEBER","QUITADO DIA",4,0
"2","2018041618","18","Recebimento","2018041618","VEND4","Cartao Credito",2018-04-16 00:00:00.000,"2",2018-04-16 00:00:00.000,2018-04-16 00:00:00.000,2018-04-21 00:00:00.000,"2222-999900","0","2",,,"0",1588,"","","",191,"ATI51","","RECEBER","QUITADO DIA",0,5
"1","2018041733","33","Recebimento","2018041733","VEND1","Cheque",2018-04-21 00:00:00.000,"4",2018-04-17 00:00:00.000,2018-04-21 00:00:00.000,2018-04-25 00:00:00.000,"2222-999900","0","1",,,"0",1437,"","","",195,"ATI51","","RECEBER","QUITADO DIA",4,4
"3","2018041832","32","Recebimento","2018041832","VEND4","Dinheiro",2018-04-19 00:00:00.000,"5",2018-04-18 00:00:00.000,2018-04-19 00:00:00.000,2018-04-21 00:00:00.000,"2222-999900","0","3",,,"0",1253,"","","",198,"ATI51","","RECEBER","QUITADO DIA",1,2
"1","2018042230","30","Recebimento","2018042230","VEND1","Dinheiro",2018-04-22 00:00:00.000,"8",2018-04-22 00:00:00.000,2018-04-22 00:00:00.000,2018-04-26 00:00:00.000,"2222-999900","0","1",,,"0",1790,"","","",202,"ATI51","","RECEBER","QUITADO DIA",0,4
"2","201904106","6","Recebimento","201904106","VEND1","Boleto",2019-04-19 00:00:00.000,"3",2019-04-10 00:00:00.000,2019-04-19 00:00:00.000,2019-04-19 00:00:00.000,"2222-999900","0","2",,,"0",1854,"","","",203,"ATI51","","RECEBER","QUITADO DIA",9,0
"1","201904111","1","Recebimento","201904111","VEND1","Boleto",2019-04-12 00:00:00.000,"2",2019-04-11 00:00:00.000,2019-04-12 00:00:00.000,2019-04-14 00:00:00.000,"2222-999900","0","1",,,"0",1086,"","","",205,"ATI51","","RECEBER","QUITADO DIA",1,2
"1","2019041114","14","Recebimento","2019041114","VEND5","Cartao Credito",2019-04-13 00:00:00.000,"5",2019-04-11 00:00:00.000,2019-04-13 00:00:00.000,2019-04-15 00:00:00.000,"2222-999900","0","1",,,"0",1395,"","","",206,"ATI51","","RECEBER","QUITADO DIA",2,2
"1","2019041111","11","Recebimento","2019041111","VEND1","Cartao Credito",2019-04-14 00:00:00.000,"6",2019-04-11 00:00:00.000,2019-04-14 00:00:00.000,2019-04-19 00:00:00.000,"2222-999900","0","1",,,"0",1207,"","","",207,"ATI51","","RECEBER","QUITADO DIA",3,5
"2","2019041531","31","Recebimento","2019041531","VEND3","Cartao Credito",2019-04-20 00:00:00.000,"7",2019-04-15 00:00:00.000,2019-04-20 00:00:00.000,2019-04-20 00:00:00.000,"2222-999900","0","2",,,"0",1871,"","","",213,"ATI51","","RECEBER","QUITADO DIA",5,0
"1","2019041634","34","Recebimento","2019041634","VEND1","Cheque",2019-04-21 00:00:00.000,"5",2019-04-16 00:00:00.000,2019-04-21 00:00:00.000,2019-04-21 00:00:00.000,"2222-999900","0","1",,,"0",1791,"","","",215,"ATI51","","RECEBER","QUITADO DIA",5,0
"3","2019042039","39","Recebimento","2019042039","VEND5","Cartao Debito",2019-04-21 00:00:00.000,"8",2019-04-20 00:00:00.000,2019-04-21 00:00:00.000,2019-04-21 00:00:00.000,"2222-999900","0","3",,,"0",1034,"","","",223,"ATI51","","RECEBER","QUITADO DIA",1,0
"2","2019042216","16","Recebimento","2019042216","VEND4","Cheque",2019-04-22 00:00:00.000,"3",2019-04-22 00:00:00.000,2019-04-22 00:00:00.000,2019-04-24 00:00:00.000,"2222-999900","0","2",,,"0",1003,"","","",224,"ATI51","","RECEBER","QUITADO DIA",0,2
"1","2020040135","35","Recebimento","2020040135","VEND3","Cheque",2020-04-08 00:00:00.000,"3",2020-04-01 00:00:00.000,2020-04-08 00:00:00.000,2020-04-09 00:00:00.000,"2222-999900","0","1",,,"0",1296,"","","",226,"ATI51","","RECEBER","QUITADO DIA",7,1
"2","202004016","6","Recebimento","202004016","VEND3","Cartao Debito",2020-04-01 00:00:00.000,"8",2020-04-01 00:00:00.000,2020-04-01 00:00:00.000,2020-04-01 00:00:00.000,"2222-999900","0","2",,,"0",1171,"","","",232,"ATI51","","RECEBER","QUITADO DIA",0,0
"2","2018051037","37","Recebimento","2018051037","VEND3","Cartao Credito",2018-05-14 00:00:00.000,"8",2018-05-10 00:00:00.000,2018-05-14 00:00:00.000,2018-05-18 00:00:00.000,"2222-999900","0","2",,,"0",1000,"","","",304,"ATI51","","RECEBER","QUITADO DIA",4,4
"3","201805102","2","Recebimento","201805102","VEND5","Cartao Credito",2018-05-18 00:00:00.000,"3",2018-05-10 00:00:00.000,2018-05-18 00:00:00.000,2018-05-22 00:00:00.000,"2222-999900","0","3",,,"0",1244,"","","",305,"ATI51","","RECEBER","QUITADO DIA",8,4
"1","2018051340","40","Recebimento","2018051340","VEND4","Cheque",2018-05-13 00:00:00.000,"5",2018-05-13 00:00:00.000,2018-05-13 00:00:00.000,2018-05-14 00:00:00.000,"2222-999900","0","1",,,"0",1105,"","","",313,"ATI51","","RECEBER","QUITADO DIA",0,1
"3","201805143","3","Recebimento","201805143","VEND3","Cartao Debito",2018-05-15 00:00:00.000,"8",2018-05-14 00:00:00.000,2018-05-15 00:00:00.000,2018-05-20 00:00:00.000,"2222-999900","0","3",,,"0",1846,"","","",314,"ATI51","","RECEBER","QUITADO DIA",1,5
"3","2018051425","25","Recebimento","2018051425","VEND4","Cartao Credito",2018-05-19 00:00:00.000,"1",2018-05-14 00:00:00.000,2018-05-19 00:00:00.000,2018-05-23 00:00:00.000,"2222-999900","0","3",,,"0",1619,"","","",315,"ATI51","","RECEBER","QUITADO DIA",5,4
"3","201805144","4","Recebimento","201805144","VEND5","Cartao Credito",2018-05-16 00:00:00.000,"5",2018-05-14 00:00:00.000,2018-05-16 00:00:00.000,2018-05-16 00:00:00.000,"2222-999900","0","3",,,"0",1689,"","","",317,"ATI51","","RECEBER","QUITADO DIA",2,0
"2","2018051729","29","Recebimento","2018051729","VEND4","Cheque",2018-05-20 00:00:00.000,"5",2018-05-17 00:00:00.000,2018-05-20 00:00:00.000,2018-05-23 00:00:00.000,"2222-999900","0","2",,,"0",1283,"","","",323,"ATI51","","RECEBER","QUITADO DIA",3,3
"2","2018051834","34","Recebimento","2018051834","VEND3","Boleto",2018-05-19 00:00:00.000,"6",2018-05-18 00:00:00.000,2018-05-19 00:00:00.000,2018-05-21 00:00:00.000,"2222-999900","0","2",,,"0",1098,"","","",325,"ATI51","","RECEBER","QUITADO DIA",1,2
