storagearraypool_pk,resource_fk,name,identifier,category,vendor_define_type,storagearray_fk,storagearray_name,storagearray_type,storagearray_identifier,cache_enabled,num_disks,num_spare_disks,pool_owner,drive_type,technology,raid_type,capacity,used_capacity,free_capacity,spare_capacity,consumable_capacity,percent_free,percent_used,percent_subscribed,raw_capacity,raw_used_capacity,raw_free_capacity,raw_spare_capacity,thin_total_capacity,thin_used_capacity,thin_free_capacity,thin_subscribed_capacity,percent_thin_free,percent_thin_used,thin_savings_ratio,thin_savings,compression_ratio,compression_savings,data_reduction_ratio,data_reduction_savings,total_reduction_ratio,total_reduction_savings,first_added,last_edited,last_changed
"2482","2482","FC_r5","thinPool|FC_r5|array|2FF70002AC01855E","{thinPool}","Thin Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","RAID5",48,0.5,47.5,,"",99,1,,,,,"","","","",1048580,"","",,"",,,,,,,2021-02-11 21:04:06.036,2021-11-11 20:16:13.116,2021-04-05 19:03:41.113
"2483","2483","FC_r6","thinPool|FC_r6|array|2FF70002AC01855E","{thinPool}","Thin Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","RAID6",0,0,0,,"",0,0,,,,,"","","","",1048580,"","",,"",,,,,,,2021-02-11 21:04:06.040,2021-11-11 20:16:13.126,2021-04-05 19:03:41.123
"2484","2484","SSD_r1","thinPool|SSD_r1|array|2FF70002AC01855E","{thinPool}","Thin Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","RAID1",0,0,0,,"",0,0,,,,,"","","","",1048580,"","",,"",,,,,,,2021-02-11 21:04:06.046,2021-11-11 20:16:13.133,2021-04-05 19:03:41.133
"2485","2485","SSD_r5","thinPool|SSD_r5|array|2FF70002AC01855E","{thinPool}","Thin Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","RAID5",20,1,19,,"",95,5,,,,,"","","","",1048580,"","",,"",,,,,,,2021-02-11 21:04:06.053,2021-11-11 20:16:13.143,2021-05-28 19:16:52.843
"2486","2486","SSD_r6","thinPool|SSD_r6|array|2FF70002AC01855E","{thinPool}","Thin Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","RAID6",0,0,0,,"",0,0,,,,,"","","","",1048580,"","",,"",,,,,,,2021-02-11 21:04:06.060,2021-11-11 20:16:13.153,2021-04-05 19:03:41.150
"2487","2487","NL_r6","thinPool|NL_r6|array|2FF70002AC01855E","{thinPool}","Thin Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","RAID6",0,0,0,,"",0,0,,,,,"","","","",1048580,"","",,"",,,,,,,2021-02-11 21:04:06.066,2021-11-11 20:16:13.163,2021-05-28 19:16:52.860
"3189","3189","aggr0_cluster1_01","agg|aggr0_cluster1_01|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{agg}","Aggregate","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4",,4,"","","","FCAL","raid_dp",6.68,2.172,4.508,,"",67.484,32.516,,15.98,,,"","","","",,"","",,"",,,,,,,2021-04-08 14:11:40.410,2021-05-06 18:07:52.470,2021-05-06 18:07:52.463
"3190","3190","cluster1_01_FC_1","agg|cluster1_01_FC_1|array|124a44cf-5063-11eb-8fd7-0050568a7ee4","{agg}","Aggregate","3119","cluster1","Array (NETAPP)","array|124a44cf-5063-11eb-8fd7-0050568a7ee4",,50,"","","","FCAL","raid_dp",147.656,27.283,120.374,,"",81.523,18.477,,199.75,,,"","","","",,"","",,"",,,,,,,2021-04-08 14:11:40.416,2021-05-06 18:07:52.480,2021-05-06 18:07:52.473
"6098","6098","Concrete storage pool 0000 for APM00125186274 storage system","pool|0000|array|APM00125186274","{pool}","Pool","6069","dev42vnx5100","Array (VNX)","array|APM00125186274",False,,"","","SAS","sas","",1056,152,904,,"",86,14,0,1408,202,1206,"","","","",,"","",,"",,,,,,,2021-06-07 17:51:30.133,2021-11-12 11:01:12.466,2021-07-27 15:01:25.386
"6099","6099","Concrete storage pool 0001 for APM00125186274 storage system","pool|0001|array|APM00125186274","{pool}","Pool","6069","dev42vnx5100","Array (VNX)","array|APM00125186274",False,,"","","SAS_SSD","ssd","",182,50,132,,"",73,27,0,363,100,263,"","","","",,"","",,"",,,,,,,2021-06-07 17:51:30.143,2021-11-12 11:01:12.473,2021-07-27 15:01:25.400
"2313","2313","dg0","pool|dg0|array|APM00165258704","{pool}","Pool","2288","wbd42ddc03.device42.pvt","Array (DATA-DOMAIN)","array|APM00165258704",,,"","","","sas","",11059.2,11059.2,0,,"",0,100,,,,,"","","","",,"","",,"",,,,,,,2021-02-11 21:03:05.436,2021-11-11 20:18:12.296,2021-07-27 15:02:25.183
"2338","2338","Extreme","pool|pool_1|array|VIRT2039MB5BCH","{pool}","Pool","2318","","Array (UNITY)","array|VIRT2039MB5BCH",,,"","","","","",46.5,3.764,42.736,,"",91.906,8.094,,,,,"","","","",6.25,"","",,"",,,,,,,2021-02-11 21:04:05.373,2021-11-11 21:03:12.170,2021-07-27 15:01:24.963
"2340","2340","Performance","pool|pool_2|array|VIRT2039MB5BCH","{pool}","Pool","2318","","Array (UNITY)","array|VIRT2039MB5BCH",,,"","","","","",46.5,2.5,44,,"",94.624,5.376,,,,,"","","","",13.25,"","",,"",,,,,,,2021-02-11 21:04:05.380,2021-11-11 21:03:12.180,2021-07-27 15:01:24.976
"2343","2343","Capacity","pool|pool_3|array|VIRT2039MB5BCH","{pool}","Pool","2318","","Array (UNITY)","array|VIRT2039MB5BCH",,,"","","","","",46.5,15.337,31.163,,"",67.018,32.982,,,,,"","","","",139.803,"","",,"",,,,,,,2021-02-11 21:04:05.383,2021-11-11 21:03:12.186,2021-11-03 20:02:12.693
"2477","2477","all-FC","pool|all-FC|array|2FF70002AC01855E","{pool}","Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","fc","",29484,1936,27548,,"",93.434,6.566,,,,,"","","","",,"","",,"",,,,,,,2021-02-11 21:04:06.003,2021-11-11 20:16:13.086,2021-07-27 15:01:26.323
"2478","2478","all-NL","pool|all-NL|array|2FF70002AC01855E","{pool}","Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","nl","",21660,1972,19688,,"",90.896,9.104,,,,,"","","","",,"","",,"",,,,,,,2021-02-11 21:04:06.010,2021-11-11 20:16:13.093,2021-07-27 15:01:26.333
"2479","2479","all-SSD","pool|all-SSD|array|2FF70002AC01855E","{pool}","Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","ssd","",17808,782,17026,,"",95.609,4.391,,,,,"","","","",,"","",,"",,,,,,,2021-02-11 21:04:06.013,2021-11-11 20:16:13.100,2021-07-27 15:01:26.346
"2480","2480","SSD_r5","pool|SSD_r5|array|2FF70002AC01855E","{pool}","hp3par","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","",,,,,"",,,,,,,"","","","",,"","",,"",,,,,,,2021-02-11 21:04:06.020,2021-04-04 19:18:00.970,2021-02-11 21:04:06.016
"6181","6181","x200_12tb_24gb","pool|2|array|0007430adbc0bda7ce5fc816b9df16b7bcb0","{pool}","Pool","6108","wbd42isilon1","Array (ISILON)","array|0007430adbc0bda7ce5fc816b9df16b7bcb0",,,"","","","sata","",33218.6,40.255,33178.3,,"",99.879,0.121,,,,,"","","","",,"","",,"",,,,,,,2021-06-07 18:25:09.483,2021-11-11 23:01:13.336,2021-11-11 23:01:13.333
"2055","2055","aggr0","agg|aggr0|array|0142255929","{agg}","Aggregate","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929",,9,"","","","sata","raid_dp",5214.33,4682.29,532.037,,"",10.203,90,,7452.11,,,"","","","",5214.33,"","",,"",,,,,,,2021-01-26 19:07:55.153,2021-11-12 01:01:12.286,2021-11-07 00:01:12.300
"2481","2481","FC_r1","thinPool|FC_r1|array|2FF70002AC01855E","{thinPool}","Thin Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","RAID1",0,0,0,,"",0,0,,,,,"","","","",1048580,"","",,"",,,,,,,2021-02-11 21:04:06.026,2021-11-11 20:16:13.110,2021-04-05 19:03:41.106
"2482","2482","FC_r5","thinPool|FC_r5|array|2FF70002AC01855E","{thinPool}","Thin Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","RAID5",48,0.5,47.5,,"",99,1,,,,,"","","","",1048580,"","",,"",,,,,,,2021-02-11 21:04:06.036,2021-11-11 20:16:13.116,2021-04-05 19:03:41.113
"2483","2483","FC_r6","thinPool|FC_r6|array|2FF70002AC01855E","{thinPool}","Thin Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","RAID6",0,0,0,,"",0,0,,,,,"","","","",1048580,"","",,"",,,,,,,2021-02-11 21:04:06.040,2021-11-11 20:16:13.126,2021-04-05 19:03:41.123
"2484","2484","SSD_r1","thinPool|SSD_r1|array|2FF70002AC01855E","{thinPool}","Thin Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","RAID1",0,0,0,,"",0,0,,,,,"","","","",1048580,"","",,"",,,,,,,2021-02-11 21:04:06.046,2021-11-11 20:16:13.133,2021-04-05 19:03:41.133
"2485","2485","SSD_r5","thinPool|SSD_r5|array|2FF70002AC01855E","{thinPool}","Thin Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","RAID5",20,1,19,,"",95,5,,,,,"","","","",1048580,"","",,"",,,,,,,2021-02-11 21:04:06.053,2021-11-11 20:16:13.143,2021-05-28 19:16:52.843
"2486","2486","SSD_r6","thinPool|SSD_r6|array|2FF70002AC01855E","{thinPool}","Thin Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","RAID6",0,0,0,,"",0,0,,,,,"","","","",1048580,"","",,"",,,,,,,2021-02-11 21:04:06.060,2021-11-11 20:16:13.153,2021-04-05 19:03:41.150
"2487","2487","NL_r6","thinPool|NL_r6|array|2FF70002AC01855E","{thinPool}","Thin Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","RAID6",0,0,0,,"",0,0,,,,,"","","","",1048580,"","",,"",,,,,,,2021-02-11 21:04:06.066,2021-11-11 20:16:13.163,2021-05-28 19:16:52.860
"2313","2313","dg0","pool|dg0|array|APM00165258704","{pool}","Pool","2288","wbd42ddc03.device42.pvt","Array (DATA-DOMAIN)","array|APM00165258704",,,"","","","sas","",11059.2,11059.2,0,,"",0,100,,,,,"","","","",,"","",,"",,,,,,,2021-02-11 21:03:05.436,2021-11-11 20:18:12.296,2021-07-27 15:02:25.183
"2055","2055","aggr0","agg|aggr0|array|0142255929","{agg}","Aggregate","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929",,9,"","","","sata","raid_dp",5214.33,4682.29,532.037,,"",10.203,90,,7452.11,,,"","","","",5214.33,"","",,"",,,,,,,2021-01-26 19:07:55.153,2021-11-12 01:01:12.286,2021-11-07 00:01:12.300
"6673","6673","default","thinPool|0a6fcdbccae2100adb000000000000000000000001|array|096fcdbccae2100adb000000000000000000000001","{thinPool}","Thin Pool","6626","AF1000","Array (NIMBLE)","array|096fcdbccae2100adb000000000000000000000001",,,"","","","","",3448.22,8.47,3439.74,,"",99.754,0.246,,,,,"","","","",,"","",2.22824,"",2.61656,13.693,2.75512,14.866,6.13907,43.53,2021-09-11 00:01:07.463,2021-11-12 01:01:12.533,2021-11-12 01:01:12.530
"2371","2371","Pool1","pool|Pool1|array|Oraclezfs","{pool}","Pool","2317","Oraclezfs","Array (ZFS)","array|Oraclezfs",,,"","Oraclezfs","","","mirror",34.781,0.012,34.225,5,"",98,2,,70,,,"","","","",0.012,"","",,"",,1.188,100,0,,,2021-02-11 21:04:05.440,2021-11-07 21:02:12.223,2021-11-05 20:02:12.210
"6414","6414","aggr0_NetApp_Cluster_1_0","agg|aggr0_NetApp_Cluster_1_0|array|c374983a-ce1d-11eb-822c-0050568a7ee4","{agg}","Aggregate","6344","NetApp_Cluster","Array (NETAPP)","array|c374983a-ce1d-11eb-822c-0050568a7ee4",,7,"","","","FCAL","raid_dp",16.699,3.177,13.522,,"",80.976,19.024,,27.965,,,"","","","",,"","",,"",,,,,,,2021-06-16 18:08:09.066,2021-11-11 19:08:12.786,2021-11-11 19:08:12.783
"6475","6475","d42do_904","agg|d42do_904|array|c374983a-ce1d-11eb-822c-0050568a7ee4","{agg}","Aggregate","6344","NetApp_Cluster","Array (NETAPP)","array|c374983a-ce1d-11eb-822c-0050568a7ee4",,7,"","","","FCAL","raid_dp",17.578,10.076,7.502,,"",42.681,57.319,,27.965,,,"","","","",,"","",,"",,,,,,,2021-07-02 18:07:44.753,2021-11-11 19:08:12.796,2021-09-26 18:07:49.283
