Date,Daily_Total_Deaths
2020-06-21 00:00:00.000,469208
2020-06-22 00:00:00.000,472779
2020-06-23 00:00:00.000,478203
2020-06-24 00:00:00.000,483377
2020-06-25 00:00:00.000,489928
2020-06-26 00:00:00.000,494773
2020-06-27 00:00:00.000,499291
2020-06-28 00:00:00.000,502450
2020-06-29 00:00:00.000,506076
2020-06-30 00:00:00.000,511268
2020-07-01 00:00:00.000,516253
2020-07-02 00:00:00.000,521361
2020-07-03 00:00:00.000,526411
2020-07-04 00:00:00.000,530754
2020-07-05 00:00:00.000,534267
