Fiscal Year,Period,Area,Country,Std Rptg Mid Reported Subsegment,Rev Sum Division,Forecast Planning Level,Budget Sales,Forecast Sales
"FY18",9,"WE","Denmark","EPG Public Sector","IW CAL Suites - ECAL","EA Add-On",28586.881,0
"FY18",9,"WE","Denmark","EPG Public Sector","Identity & Direct Access","EA Add-On",27616.0003,0
"FY18",6,"WE","Denmark","EPG Public Sector","IW CAL Suites - Core CAL","EA Add-On",26829.3666,0
"FY18",2,"WE","Denmark","EPG Public Sector","Developer Tools","EA Add-On",23620.9398,0
"FY18",8,"WE","Denmark","EPG Public Sector","Developer Tools","EA Add-On",21457.8634,0
"FY18",7,"WE","Denmark","EPG Public Sector","Windows Client","EA Add-On",20141.1625,0
"FY18",8,"WE","Denmark","EPG Public Sector","Windows Server & Solutions & CAL","EA Add-On",18440.5501,0
"FY18",7,"WE","Denmark","EPG Public Sector","IW CAL Suites - Core CAL","EA Add-On",18241.751,0
"FY18",12,"WE","Denmark","EPG Public Sector","SharePoint CAL","EA Add-On",18081.7284,0
"FY18",11,"WE","Denmark","EPG Public Sector","Windows Server Premium","EA Add-On",16689.3336,0
"FY18",12,"WE","Denmark","EPG Public Sector","Dynamics CRM","EA Add-On",16680.9343,0
"FY18",12,"WE","Denmark","EPG Public Sector","MDOP-Client","EA Add-On",15489.726,0
"FY18",1,"WE","Denmark","EPG Public Sector","Developer Tools","EA Add-On",13557.3456,0
"FY18",12,"WE","Denmark","EPG Public Sector","Office 365","EA Add-On",13543.4803,0
"FY18",7,"WE","Denmark","EPG Public Sector","Windows Server & Solutions & CAL","EA Add-On",12113.7128,0
"FY18",2,"WE","Denmark","EPG Public Sector","Project","EA Add-On",11631.7193,0
"FY18",2,"WE","Denmark","EPG Public Sector","Windows Server Premium","EA Add-On",11609.7012,0
"FY18",2,"WE","Denmark","EPG Public Sector","Lync Server & CAL","EA Add-On",11488.0026,0
"FY18",5,"WE","Denmark","EPG Public Sector","Office","EA Add-On",11325.1513,0
"FY18",9,"WE","Denmark","EPG Public Sector","SharePoint CAL","EA Add-On",9022.1151,0
"FY18",9,"WE","Denmark","EPG Public Sector","Dynamics CRM","EA Add-On",8323.1705,0
"FY18",12,"WE","Denmark","EPG Public Sector","Other Server","EA Add-On",7691.0357,0
"FY18",7,"WE","Denmark","EPG Public Sector","IW CAL Suites - ECAL","EA Add-On",7653.799,0
"FY18",7,"WE","Denmark","EPG Public Sector","Windows Server Premium","EA Add-On",7499.3315,0
"FY18",12,"WE","Denmark","EPG Public Sector","S&T CAL Suites - ECAL","EA Add-On",6839.9551,0
"FY18",11,"WE","Denmark","EPG Public Sector","Exchange Server & CAL","EA Add-On",6667.0427,0
"FY18",4,"WE","Denmark","EPG Public Sector","SQL Server Premium","EA Add-On",5935.8925,0
"FY18",7,"WE","Denmark","EPG Public Sector","S&T CAL Suites - Core CAL","EA Add-On",5921.5485,0
"FY18",11,"WE","Denmark","EPG Public Sector","IW CAL Suites - ECAL","EA Add-On",5585.3968,0
"FY18",6,"WE","Denmark","EPG Public Sector","IW CAL Suites - ECAL","EA Add-On",5338.2876,0
"FY18",7,"WE","Denmark","EPG Public Sector","SharePoint Server","EA Add-On",5174.0448,0
"FY18",11,"WE","Denmark","EPG Public Sector","Identity & Direct Access","EA Add-On",5087.5178,0
"FY18",1,"WE","Denmark","EPG Public Sector","Project","EA Add-On",4921.3897,0
"FY18",1,"WE","Denmark","EPG Public Sector","SQL Server Premium","EA Add-On",4913.2814,0
"FY18",5,"WE","Denmark","EPG Public Sector","Windows Client","EA Add-On",4905.7015,0
"FY18",6,"WE","Denmark","EPG Public Sector","Identity & Direct Access","EA Add-On",4862.4358,0
"FY18",2,"WE","Denmark","EPG Public Sector","Exchange Server & CAL","EA Add-On",4637.8349,0
"FY18",8,"WE","Denmark","EPG Public Sector","Exchange Server & CAL","EA Add-On",4213.1273,0
"FY18",2,"WE","Denmark","EPG Public Sector","System Center Server","EA Add-On",4005.1772,0
"FY18",9,"WE","Denmark","EPG Public Sector","Other Server","EA Add-On",3837.5429,0
"FY18",8,"WE","Denmark","EPG Public Sector","SQL Server Premium","EA Add-On",3819.6166,0
"FY18",5,"WE","Denmark","EPG Public Sector","Developer Tools","EA Add-On",3433.2581,0
"FY18",9,"WE","Denmark","EPG Public Sector","S&T CAL Suites - ECAL","EA Add-On",3412.8851,0
"FY18",8,"WE","Denmark","EPG Public Sector","Identity & Direct Access","EA Add-On",3214.9727,0
"FY18",5,"WE","Denmark","EPG Public Sector","Windows Server & Solutions & CAL","EA Add-On",2950.488,0
"FY18",5,"WE","Denmark","EPG Public Sector","IW CAL Suites - Core CAL","EA Add-On",2838.2707,0
"FY18",7,"WE","Denmark","EPG Public Sector","Exchange Server & CAL","EA Add-On",2767.6297,0
"FY18",2,"WE","Denmark","EPG Public Sector","Visio","EA Add-On",2668.6331,0
"FY18",1,"WE","Denmark","EPG Public Sector","Exchange Server & CAL","EA Add-On",2661.9064,0
"FY18",8,"WE","Denmark","EPG Public Sector","Visio","EA Add-On",2424.2543,0
"FY18",7,"WE","Denmark","EPG Public Sector","System Center Server","EA Add-On",2390.091,0
"FY18",1,"WE","Denmark","EPG Public Sector","IW CAL Suites - ECAL","EA Add-On",2230.0447,0
"FY18",7,"WE","Denmark","EPG Public Sector","Identity & Direct Access","EA Add-On",2111.9357,0
"FY18",11,"WE","Denmark","EPG Public Sector","SharePoint CAL","EA Add-On",2066.6307,0
"FY18",1,"WE","Denmark","EPG Public Sector","Identity & Direct Access","EA Add-On",2031.2598,0
"FY18",6,"WE","Denmark","EPG Public Sector","SharePoint CAL","EA Add-On",1975.1988,0
"FY18",6,"WE","Denmark","EPG Public Sector","MDOP-Client","EA Add-On",1692.0555,0
"FY18",5,"WE","Denmark","EPG Public Sector","Windows Server Premium","EA Add-On",1687.4477,0
"FY18",7,"WE","Denmark","EPG Public Sector","Visio","EA Add-On",1660.3423,0
"FY18",1,"WE","Denmark","EPG Public Sector","Visio","EA Add-On",1531.6741,0
"FY18",2,"WE","Denmark","EPG Public Sector","SharePoint CAL","EA Add-On",1437.6227,0
"FY18",2,"WE","Denmark","EPG Public Sector","Dynamics CRM","EA Add-On",1326.2499,0
"FY18",8,"WE","Denmark","EPG Public Sector","SharePoint CAL","EA Add-On",1305.9731,0
"FY18",8,"WE","Denmark","EPG Public Sector","Dynamics CRM","EA Add-On",1204.7991,0
"FY18",11,"WE","Denmark","EPG Public Sector","Other Server","EA Add-On",879.0382,0
"FY18",7,"WE","Denmark","EPG Public Sector","SharePoint CAL","EA Add-On",857.9019,0
"FY18",6,"WE","Denmark","EPG Public Sector","Other Server","EA Add-On",840.1478,0
"FY18",1,"WE","Denmark","EPG Public Sector","SharePoint CAL","EA Add-On",825.1301,0
"FY18",7,"WE","Denmark","EPG Public Sector","Dynamics CRM","EA Add-On",791.4401,0
"FY18",11,"WE","Denmark","EPG Public Sector","S&T CAL Suites - ECAL","EA Add-On",781.7649,0
"FY18",1,"WE","Denmark","EPG Public Sector","Dynamics CRM","EA Add-On",761.2071,0
"FY18",6,"WE","Denmark","EPG Public Sector","S&T CAL Suites - ECAL","EA Add-On",747.1781,0
"FY18",7,"WE","Denmark","EPG Public Sector","MDOP-Client","EA Add-On",734.9223,0
"FY18",5,"WE","Denmark","EPG Public Sector","Exchange Server & CAL","EA Add-On",674.1004,0
"FY18",2,"WE","Denmark","EPG Public Sector","Other Server","EA Add-On",611.4906,0
"FY18",5,"WE","Denmark","EPG Public Sector","System Center Server","EA Add-On",582.1448,0
"FY18",5,"WE","Denmark","EPG Public Sector","IW CAL Suites - ECAL","EA Add-On",564.7359,0
"FY18",8,"WE","Denmark","EPG Public Sector","Other Server","EA Add-On",555.4937,0
"FY18",10,"WE","Denmark","EPG Public Sector","SQL Server Premium","EA Add-On",534.7463,0
"FY18",5,"WE","Denmark","EPG Public Sector","Identity & Direct Access","EA Add-On",514.3956,0
"FY18",10,"WE","Denmark","EPG Public Sector","System Center Server","EA Add-On",509.3767,0
"FY18",7,"WE","Denmark","EPG Public Sector","System Center Client","EA Add-On",497.2383,0
"FY18",10,"WE","Denmark","EPG Public Sector","Identity & Direct Access","EA Add-On",450.0962,0
"FY18",7,"WE","Denmark","EPG Public Sector","Other Server","EA Add-On",364.9073,0
"FY18",1,"WE","Denmark","EPG Public Sector","Other Server","EA Add-On",350.9678,0
"FY18",7,"WE","Denmark","EPG Public Sector","S&T CAL Suites - ECAL","EA Add-On",324.5271,0
"FY18",1,"WE","Denmark","EPG Public Sector","S&T CAL Suites - ECAL","EA Add-On",312.1302,0
"FY18",5,"WE","Denmark","EPG Public Sector","SharePoint CAL","EA Add-On",208.9557,0
"FY18",5,"WE","Denmark","EPG Public Sector","Dynamics CRM","EA Add-On",192.7679,0
"FY18",10,"WE","Denmark","EPG Public Sector","SharePoint CAL","EA Add-On",182.8362,0
"FY18",5,"WE","Denmark","EPG Public Sector","MDOP-Client","EA Add-On",179.0021,0
"FY18",4,"WE","Denmark","EPG Public Sector","Windows Server Premium","EA Add-On",124.2571,0
"FY18",5,"WE","Denmark","EPG Public Sector","System Center Client","EA Add-On",121.1103,0
"FY18",5,"WE","Denmark","EPG Public Sector","Other Server","EA Add-On",88.879,0
"FY18",5,"WE","Denmark","EPG Public Sector","S&T CAL Suites - ECAL","EA Add-On",79.0438,0
"FY18",10,"WE","Denmark","EPG Public Sector","Other Server","EA Add-On",77.7691,0
"FY18",4,"WE","Denmark","EPG Public Sector","System Center Server","EA Add-On",42.8669,0
"FY18",4,"WE","Denmark","EPG Public Sector","IW CAL Suites - ECAL","EA Add-On",41.585,0
"FY18",4,"WE","Denmark","EPG Public Sector","Identity & Direct Access","EA Add-On",37.8781,0
"FY18",4,"WE","Denmark","EPG Public Sector","Visio","EA Add-On",28.562,0
"FY18",4,"WE","Denmark","EPG Public Sector","SharePoint CAL","EA Add-On",15.3867,0
"FY18",4,"WE","Denmark","EPG Public Sector","Dynamics CRM","EA Add-On",14.1947,0
"FY18",4,"WE","Denmark","EPG Public Sector","MDOP-Client","EA Add-On",13.181,0
"FY18",4,"WE","Denmark","EPG Public Sector","System Center Client","EA Add-On",8.9181,0
"FY18",4,"WE","Denmark","EPG Public Sector","Other Server","EA Add-On",6.5447,0
"FY18",4,"WE","Denmark","EPG Public Sector","S&T CAL Suites - ECAL","EA Add-On",5.8205,0
"FY18",4,"WE","Denmark","EPG Public Sector","Other MBS","EA Add-On",-0.0089,0
"FY18",10,"WE","Denmark","EPG Public Sector","Other MBS","EA Add-On",-0.1052,0
"FY18",5,"WE","Denmark","EPG Public Sector","Other MBS","EA Add-On",-0.1202,0
"FY18",1,"WE","Denmark","EPG Public Sector","Other MBS","EA Add-On",-0.4747,0
"FY18",7,"WE","Denmark","EPG Public Sector","Other MBS","EA Add-On",-0.4936,0
"FY18",8,"WE","Denmark","EPG Public Sector","Other MBS","EA Add-On",-0.7514,0
"FY18",2,"WE","Denmark","EPG Public Sector","Other MBS","EA Add-On",-0.8271,0
"FY18",6,"WE","Denmark","EPG Public Sector","Other MBS","EA Add-On",-1.1364,0
"FY18",11,"WE","Denmark","EPG Public Sector","Other MBS","EA Add-On",-1.189,0
"FY18",4,"WE","Denmark","EPG Public Sector","SharePoint Server","EA Add-On",-2.5635,0
"FY18",9,"WE","Denmark","EPG Public Sector","Other MBS","EA Add-On",-5.1906,0
"FY18",4,"WE","Denmark","EPG Public Sector","FAST Legacy","EA Add-On",-7.1689,0
"FY18",12,"WE","Denmark","EPG Public Sector","Other MBS","EA Add-On",-10.4028,0
"FY18",4,"WE","Denmark","EPG Public Sector","Windows Server Other","EA Add-On",-12.8305,0
"FY18",4,"WE","Denmark","EPG Public Sector","Windows Azure","EA Add-On",-13.094,0
"FY18",4,"WE","Denmark","EPG Public Sector","Other IW Apps","EA Add-On",-21.6101,0
"FY18",4,"WE","Denmark","EPG Public Sector","Forefront Protection","EA Add-On",-24.8186,0
"FY18",5,"WE","Denmark","EPG Public Sector","SharePoint Server","EA Add-On",-34.813,0
"FY18",4,"WE","Denmark","EPG Public Sector","Project","EA Add-On",-39.6036,0
"FY18",4,"WE","Denmark","EPG Public Sector","Dynamics ERP","EA Add-On",-61.7984,0
"FY18",10,"WE","Denmark","EPG Public Sector","FAST Legacy","EA Add-On",-85.1862,0
"FY18",4,"WE","Denmark","EPG Public Sector","Biztalk Server","EA Add-On",-92.8721,0
"FY18",5,"WE","Denmark","EPG Public Sector","FAST Legacy","EA Add-On",-97.3557,0
"FY18",4,"WE","Denmark","EPG Public Sector","SharePoint for Internet Sites","EA Add-On",-110.9123,0
"FY18",1,"WE","Denmark","EPG Public Sector","SharePoint Server","EA Add-On",-137.4704,0
"FY18",4,"WE","Denmark","EPG Public Sector","Lync Server & CAL","EA Add-On",-143.9037,0
"FY18",10,"WE","Denmark","EPG Public Sector","Windows Server Other","EA Add-On",-152.4615,0
"FY18",10,"WE","Denmark","EPG Public Sector","Windows Azure","EA Add-On",-155.5926,0
"FY18",5,"WE","Denmark","EPG Public Sector","Windows Server Other","EA Add-On",-174.2418,0
"FY18",5,"WE","Denmark","EPG Public Sector","Windows Azure","EA Add-On",-177.8202,0
"FY18",4,"WE","Denmark","EPG Public Sector","Office 365","EA Add-On",-192.7037,0
"FY18",8,"WE","Denmark","EPG Public Sector","SharePoint Server","EA Add-On",-217.581,0
"FY18",10,"WE","Denmark","EPG Public Sector","Other IW Apps","EA Add-On",-256.7879,0
"FY18",5,"WE","Denmark","EPG Public Sector","Other IW Apps","EA Add-On",-293.4719,0
"FY18",10,"WE","Denmark","EPG Public Sector","Forefront Protection","EA Add-On",-294.9133,0
"FY18",5,"WE","Denmark","EPG Public Sector","Forefront Protection","EA Add-On",-337.0438,0
"FY18",11,"WE","Denmark","EPG Public Sector","SharePoint Server","EA Add-On",-344.3099,0
"FY18",1,"WE","Denmark","EPG Public Sector","FAST Legacy","EA Add-On",-384.4409,0
"FY18",7,"WE","Denmark","EPG Public Sector","FAST Legacy","EA Add-On",-399.7098,0
"FY18",5,"WE","Denmark","EPG Public Sector","Project","EA Add-On",-537.8287,0
"FY18",8,"WE","Denmark","EPG Public Sector","FAST Legacy","EA Add-On",-608.4731,0
"FY18",2,"WE","Denmark","EPG Public Sector","FAST Legacy","EA Add-On",-669.8107,0
"FY18",1,"WE","Denmark","EPG Public Sector","Windows Azure","EA Add-On",-702.1812,0
"FY18",7,"WE","Denmark","EPG Public Sector","Windows Azure","EA Add-On",-730.0698,0
"FY18",10,"WE","Denmark","EPG Public Sector","Dynamics ERP","EA Add-On",-734.3356,0
"FY18",5,"WE","Denmark","EPG Public Sector","Dynamics ERP","EA Add-On",-839.2407,0
"FY18",6,"WE","Denmark","EPG Public Sector","FAST Legacy","EA Add-On",-920.2757,0
"FY18",11,"WE","Denmark","EPG Public Sector","FAST Legacy","EA Add-On",-962.8753,0
"FY18",8,"WE","Denmark","EPG Public Sector","Windows Server Other","EA Add-On",-1089.011,0
"FY18",10,"WE","Denmark","EPG Public Sector","Biztalk Server","EA Add-On",-1103.5757,0
"FY18",8,"WE","Denmark","EPG Public Sector","Windows Azure","EA Add-On",-1111.3759,0
"FY18",1,"WE","Denmark","EPG Public Sector","Other IW Apps","EA Add-On",-1158.8702,0
"FY18",2,"WE","Denmark","EPG Public Sector","Windows Server Other","EA Add-On",-1198.7896,0
"FY18",7,"WE","Denmark","EPG Public Sector","Other IW Apps","EA Add-On",-1204.8972,0
"FY18",2,"WE","Denmark","EPG Public Sector","Windows Azure","EA Add-On",-1223.409,0
"FY18",5,"WE","Denmark","EPG Public Sector","Biztalk Server","EA Add-On",-1261.2294,0
"FY18",10,"WE","Denmark","EPG Public Sector","SharePoint for Internet Sites","EA Add-On",-1317.944,0
"FY18",1,"WE","Denmark","EPG Public Sector","Forefront Protection","EA Add-On",-1330.9279,0
"FY18",7,"WE","Denmark","EPG Public Sector","Forefront Protection","EA Add-On",-1383.7885,0
"FY18",5,"WE","Denmark","EPG Public Sector","SharePoint for Internet Sites","EA Add-On",-1506.2217,0
"FY18",11,"WE","Denmark","EPG Public Sector","SharePoint for Internet Sites","EA Add-On",-1582.0566,0
"FY18",6,"WE","Denmark","EPG Public Sector","Windows Azure","EA Add-On",-1680.8833,0
"FY18",11,"WE","Denmark","EPG Public Sector","Windows Server Other","EA Add-On",-1723.3002,0
"FY18",11,"WE","Denmark","EPG Public Sector","Windows Azure","EA Add-On",-1758.6914,0
"FY18",8,"WE","Denmark","EPG Public Sector","Other IW Apps","EA Add-On",-1834.1996,0
"FY18",5,"WE","Denmark","EPG Public Sector","S&T CAL Suites - Core CAL","EA Add-On",-1945.0625,0
"FY18",5,"WE","Denmark","EPG Public Sector","Lync Server & CAL","EA Add-On",-1954.2544,0
"FY18",2,"WE","Denmark","EPG Public Sector","Other IW Apps","EA Add-On",-2019.0975,0
"FY18",8,"WE","Denmark","EPG Public Sector","Forefront Protection","EA Add-On",-2106.5236,0
"FY18",6,"WE","Denmark","EPG Public Sector","System Center Client","EA Add-On",-2229.6263,0
"FY18",10,"WE","Denmark","EPG Public Sector","Office 365","EA Add-On",-2289.8506,0
"FY18",2,"WE","Denmark","EPG Public Sector","Forefront Protection","EA Add-On",-2318.8733,0
"FY18",5,"WE","Denmark","EPG Public Sector","Office 365","EA Add-On",-2616.9721,0
"FY18",6,"WE","Denmark","EPG Public Sector","Other IW Apps","EA Add-On",-2774.1068,0
"FY18",11,"WE","Denmark","EPG Public Sector","Other IW Apps","EA Add-On",-2902.5201,0
"FY18",12,"WE","Denmark","EPG Public Sector","SharePoint Server","EA Add-On",-3012.497,0
"FY18",7,"WE","Denmark","EPG Public Sector","Biztalk Server","EA Add-On",-3100.0088,0
"FY18",6,"WE","Denmark","EPG Public Sector","Forefront Protection","EA Add-On",-3185.979,0
"FY18",1,"WE","Denmark","EPG Public Sector","Dynamics ERP","EA Add-On",-3314.0169,0
"FY18",11,"WE","Denmark","EPG Public Sector","Forefront Protection","EA Add-On",-3333.4579,0
"FY18",7,"WE","Denmark","EPG Public Sector","Dynamics ERP","EA Add-On",-3445.6403,0
"FY18",9,"WE","Denmark","EPG Public Sector","FAST Legacy","EA Add-On",-4203.5432,0
"FY18",7,"WE","Denmark","EPG Public Sector","SharePoint for Internet Sites","EA Add-On",-4239.1539,0
"FY18",1,"WE","Denmark","EPG Public Sector","Biztalk Server","EA Add-On",-4980.3777,0
"FY18",8,"WE","Denmark","EPG Public Sector","Dynamics ERP","EA Add-On",-5245.2541,0
"FY18",2,"WE","Denmark","EPG Public Sector","Dynamics ERP","EA Add-On",-5774.006,0
"FY18",1,"WE","Denmark","EPG Public Sector","SharePoint for Internet Sites","EA Add-On",-5947.8103,0
"FY18",7,"WE","Denmark","EPG Public Sector","Lync Server & CAL","EA Add-On",-7642.687,0
"FY18",9,"WE","Denmark","EPG Public Sector","Windows Azure","EA Add-On",-7677.7705,0
"FY18",8,"WE","Denmark","EPG Public Sector","Biztalk Server","EA Add-On",-7882.6835,0
"FY18",6,"WE","Denmark","EPG Public Sector","Dynamics ERP","EA Add-On",-7933.1035,0
"FY18",11,"WE","Denmark","EPG Public Sector","Dynamics ERP","EA Add-On",-8300.3266,0
"FY18",12,"WE","Denmark","EPG Public Sector","FAST Legacy","EA Add-On",-8424.5575,0
"FY18",2,"WE","Denmark","EPG Public Sector","Biztalk Server","EA Add-On",-8677.3035,0
"FY18",8,"WE","Denmark","EPG Public Sector","SharePoint for Internet Sites","EA Add-On",-9413.8856,0
"FY18",7,"WE","Denmark","EPG Public Sector","Office 365","EA Add-On",-10134.493,0
"FY18",1,"WE","Denmark","EPG Public Sector","Office 365","EA Add-On",-10333.9724,0
"FY18",2,"WE","Denmark","EPG Public Sector","SharePoint for Internet Sites","EA Add-On",-10362.8595,0
"FY18",6,"WE","Denmark","EPG Public Sector","S&T CAL Suites - Core CAL","EA Add-On",-11991.8289,0
"FY18",8,"WE","Denmark","EPG Public Sector","Lync Server & CAL","EA Add-On",-12214.09,0
"FY18",11,"WE","Denmark","EPG Public Sector","Biztalk Server","EA Add-On",-12473.9139,0
"FY18",9,"WE","Denmark","EPG Public Sector","Other IW Apps","EA Add-On",-12671.2869,0
"FY18",6,"WE","Denmark","EPG Public Sector","SharePoint for Internet Sites","EA Add-On",-14237.8857,0
"FY18",9,"WE","Denmark","EPG Public Sector","Forefront Protection","EA Add-On",-14552.5958,0
"FY18",8,"WE","Denmark","EPG Public Sector","Office 365","EA Add-On",-16356.0755,0
"FY18",12,"WE","Denmark","EPG Public Sector","Forefront Protection","EA Add-On",-17345.4168,0
"FY18",12,"WE","Denmark","EPG Public Sector","Dynamics ERP","EA Add-On",-17622.6768,0
"FY18",2,"WE","Denmark","EPG Public Sector","Office 365","EA Add-On",-18004.8623,0
"FY18",11,"WE","Denmark","EPG Public Sector","Lync Server & CAL","EA Add-On",-19328.1269,0
"FY18",6,"WE","Denmark","EPG Public Sector","Office 365","EA Add-On",-24737.4936,0
"FY18",12,"WE","Denmark","EPG Public Sector","Other IW Apps","EA Add-On",-25395.2392,0
"FY18",9,"WE","Denmark","EPG Public Sector","Dynamics ERP","EA Add-On",-36182.8807,0
"FY18",9,"WE","Denmark","EPG Public Sector","Biztalk Server","EA Add-On",-43153.6423,0
"FY18",9,"WE","Denmark","EPG Public Sector","SharePoint for Internet Sites","EA Add-On",-65034.3876,0
"FY18",9,"WE","Denmark","EPG Public Sector","Lync Server & CAL","EA Add-On",-84379.1716,0
"FY18",12,"WE","Denmark","EPG Public Sector","Biztalk Server","EA Add-On",-109138.9602,0
"FY18",9,"WE","Denmark","EPG Public Sector","Office 365","EA Add-On",-112993.4443,0
"FY18",10,"WE","Denmark","EPG Commercial","System Center Server","EA Add-On",1743673.8588,0
"FY18",12,"WE","Denmark","EPG Commercial","Developer Tools","EA Add-On",948592.5424,0
"FY18",10,"WE","Denmark","EPG Commercial","Windows Server Premium","EA Add-On",637857.0527,0
"FY18",12,"WE","Denmark","EPG Commercial","Windows Server Other","EA Add-On",549690.241,0
"FY18",10,"WE","Denmark","EPG Commercial","Windows Server Other","EA Add-On",515728.4844,0
"FY18",12,"WE","Denmark","EPG Commercial","Biztalk Server","EA Add-On",348597.7331,0
"FY18",10,"WE","Denmark","EPG Commercial","SharePoint CAL","EA Add-On",332300.4053,0
"FY18",6,"WE","Denmark","EPG Commercial","Office 365","EA Add-On",289808.234,0
"FY18",12,"WE","Denmark","EPG Commercial","Identity & Direct Access","EA Add-On",233961.4225,0
"FY18",12,"WE","Denmark","EPG Commercial","SharePoint for Internet Sites","EA Add-On",177838.7233,0
"FY18",9,"WE","Denmark","EPG Commercial","Office 365","EA Add-On",150711.2399,0
"FY18",12,"WE","Denmark","EPG Commercial","FAST Legacy","EA Add-On",105662.0871,0
"FY18",4,"WE","Denmark","EPG Commercial","SQL Server Premium","EA Add-On",98107.6796,0
"FY18",5,"WE","Denmark","EPG Commercial","Dynamics CRM","EA Add-On",97956.9952,0
"FY18",12,"WE","Denmark","EPG Commercial","Other IW Apps","EA Add-On",96258.1386,0
"FY18",12,"WE","Denmark","EPG Commercial","Windows Azure","EA Add-On",85022.1938,0
"FY18",9,"WE","Denmark","EPG Commercial","Windows Server Other","EA Add-On",79279.4787,0
"FY18",9,"WE","Denmark","EPG Commercial","SharePoint CAL","EA Add-On",68073.3292,0
"FY18",3,"WE","Denmark","EPG Commercial","SQL Server Premium","EA Add-On",62882.1369,0
"FY18",5,"WE","Denmark","EPG Commercial","SQL Server Premium","EA Add-On",62011.1661,0
"FY18",12,"WE","Denmark","EPG Commercial","SharePoint CAL","EA Add-On",54737.0743,0
"FY18",10,"WE","Denmark","EPG Commercial","Identity & Direct Access","EA Add-On",48140.4195,0
"FY18",12,"WE","Denmark","EPG Commercial","Forefront Protection","EA Add-On",42344.9522,0
"FY18",7,"WE","Denmark","EPG Commercial","Other MBS","EA Add-On",39876.149,0
"FY18",10,"WE","Denmark","EPG Commercial","FAST Legacy","EA Add-On",39600.4878,0
"FY18",3,"WE","Denmark","EPG Commercial","Office 365","EA Add-On",38219.4545,0
"FY18",12,"WE","Denmark","EPG Commercial","Other Server","EA Add-On",31988.2228,0
"FY18",10,"WE","Denmark","EPG Commercial","Windows Azure","EA Add-On",31460.2341,0
"FY18",9,"WE","Denmark","EPG Commercial","Identity & Direct Access","EA Add-On",27268.519,0
"FY18",1,"WE","Denmark","EPG Commercial","Windows Azure","EA Add-On",26739.4614,0
"FY18",9,"WE","Denmark","EPG Commercial","FAST Legacy","EA Add-On",24790.0673,0
"FY18",9,"WE","Denmark","EPG Commercial","Other IW Apps","EA Add-On",23900.755,0
"FY18",12,"WE","Denmark","EPG Commercial","Other MBS","EA Add-On",20997.2055,0
"FY18",6,"WE","Denmark","EPG Commercial","Other IW Apps","EA Add-On",20486.2461,0
"FY18",12,"WE","Denmark","EPG Commercial","SQL Azure","EA Add-On",20331.1615,0
"FY18",9,"WE","Denmark","EPG Commercial","Windows Azure","EA Add-On",19969.2921,0
