Fiscal Year,Area,Subsidiary,Rev Sum Division,Std Rptg Mid Reported Subsegment,Forecast Planning Level,Period,Sales
"FY18","WE","Denmark","Identity & Direct Access","EPG Commercial","EA Recurring",7,40778.3869
"FY18","WE","Denmark","Identity & Direct Access","EPG Commercial","EA Recurring",8,1213.44
"FY18","WE","Denmark","Identity & Direct Access","EPG Commercial","EA Recurring",9,16099.68
"FY18","WE","Denmark","Identity & Direct Access","EPG Commercial","EA Recurring",10,224218.2375
"FY18","WE","Denmark","Identity & Direct Access","EPG Commercial","EA Recurring",11,12527.0538
"FY18","WE","Denmark","Identity & Direct Access","EPG Commercial","EA Recurring",12,31812.2137
"FY18","WE","Denmark","IW CAL Suites - Core CAL","EPG Commercial","EA Recurring",1,468126.6196
"FY18","WE","Denmark","IW CAL Suites - Core CAL","EPG Commercial","EA Recurring",2,51353.1875
"FY18","WE","Denmark","IW CAL Suites - Core CAL","EPG Commercial","EA Recurring",3,39.5599
"FY18","WE","Denmark","IW CAL Suites - Core CAL","EPG Commercial","EA Recurring",4,185706.6366
"FY18","WE","Denmark","IW CAL Suites - Core CAL","EPG Commercial","EA Recurring",5,39426.1475
"FY18","WE","Denmark","IW CAL Suites - Core CAL","EPG Commercial","EA Recurring",6,233984.343
"FY18","WE","Denmark","IW CAL Suites - Core CAL","EPG Commercial","EA Recurring",7,570867.6421
"FY18","WE","Denmark","IW CAL Suites - Core CAL","EPG Commercial","EA Recurring",8,43359.2713
"FY18","WE","Denmark","IW CAL Suites - Core CAL","EPG Commercial","EA Recurring",9,125923.8912
"FY18","WE","Denmark","IW CAL Suites - Core CAL","EPG Commercial","EA Recurring",10,845313.7747
"FY18","WE","Denmark","IW CAL Suites - Core CAL","EPG Commercial","EA Recurring",11,705760.6925
"FY18","WE","Denmark","IW CAL Suites - Core CAL","EPG Commercial","EA Recurring",12,2978439.868
"FY18","WE","Denmark","IW CAL Suites - ECAL","EPG Commercial","EA Recurring",1,314318.4252
"FY18","WE","Denmark","IW CAL Suites - ECAL","EPG Commercial","EA Recurring",3,30756.5475
"FY18","WE","Denmark","IW CAL Suites - ECAL","EPG Commercial","EA Recurring",4,1680.8038
"FY18","WE","Denmark","IW CAL Suites - ECAL","EPG Commercial","EA Recurring",6,31895.5846
"FY18","WE","Denmark","IW CAL Suites - ECAL","EPG Commercial","EA Recurring",7,165217.032
"FY18","WE","Denmark","IW CAL Suites - ECAL","EPG Commercial","EA Recurring",8,31051.44
"FY18","WE","Denmark","IW CAL Suites - ECAL","EPG Commercial","EA Recurring",9,163198.9166
"FY18","WE","Denmark","IW CAL Suites - ECAL","EPG Commercial","EA Recurring",10,1013329.617
"FY18","WE","Denmark","IW CAL Suites - ECAL","EPG Commercial","EA Recurring",12,747897.7705
"FY18","WE","Denmark","Lync Server & CAL","EPG Commercial","EA Recurring",1,11390.17
"FY18","WE","Denmark","Lync Server & CAL","EPG Commercial","EA Recurring",2,14620.6
"FY18","WE","Denmark","Lync Server & CAL","EPG Commercial","EA Recurring",3,575.58
"FY18","WE","Denmark","Lync Server & CAL","EPG Commercial","EA Recurring",4,57142.8515
"FY18","WE","Denmark","Lync Server & CAL","EPG Commercial","EA Recurring",5,4498.4268
"FY18","WE","Denmark","Lync Server & CAL","EPG Commercial","EA Recurring",6,33419.7467
"FY18","WE","Denmark","Lync Server & CAL","EPG Commercial","EA Recurring",7,85202.4894
"FY18","WE","Denmark","Lync Server & CAL","EPG Commercial","EA Recurring",9,66335.94
"FY18","WE","Denmark","Lync Server & CAL","EPG Commercial","EA Recurring",10,316120.6062
"FY18","WE","Denmark","Lync Server & CAL","EPG Commercial","EA Recurring",11,2371.3955
"FY18","WE","Denmark","Lync Server & CAL","EPG Commercial","EA Recurring",12,221027.9877
"FY18","WE","Denmark","MDOP-Client","EPG Commercial","EA Recurring",1,27336.355
"FY18","WE","Denmark","MDOP-Client","EPG Commercial","EA Recurring",2,2374.1176
"FY18","WE","Denmark","MDOP-Client","EPG Commercial","EA Recurring",3,730.0944
"FY18","WE","Denmark","MDOP-Client","EPG Commercial","EA Recurring",4,9339.5156
"FY18","WE","Denmark","MDOP-Client","EPG Commercial","EA Recurring",5,3433.7476
"FY18","WE","Denmark","MDOP-Client","EPG Commercial","EA Recurring",6,9618.846
"FY18","WE","Denmark","MDOP-Client","EPG Commercial","EA Recurring",7,35409.977
"FY18","WE","Denmark","MDOP-Client","EPG Commercial","EA Recurring",8,2622.3558
"FY18","WE","Denmark","MDOP-Client","EPG Commercial","EA Recurring",9,13832.1347
"FY18","WE","Denmark","MDOP-Client","EPG Commercial","EA Recurring",10,52202.2742
"FY18","WE","Denmark","MDOP-Client","EPG Commercial","EA Recurring",11,39812.172
"FY18","WE","Denmark","MDOP-Client","EPG Commercial","EA Recurring",12,40097.698
"FY18","WE","Denmark","Office","EPG Commercial","EA Recurring",1,1924227.313
"FY18","WE","Denmark","Office","EPG Commercial","EA Recurring",2,115848.8175
"FY18","WE","Denmark","Office","EPG Commercial","EA Recurring",3,27231.7669
"FY18","WE","Denmark","Office","EPG Commercial","EA Recurring",4,1434393.019
"FY18","WE","Denmark","Office","EPG Commercial","EA Recurring",5,160210.577
"FY18","WE","Denmark","Office","EPG Commercial","EA Recurring",6,1323317.949
"FY18","WE","Denmark","Office","EPG Commercial","EA Recurring",7,2523024.677
"FY18","WE","Denmark","Office","EPG Commercial","EA Recurring",8,156934.8124
"FY18","WE","Denmark","Office","EPG Commercial","EA Recurring",9,810490.789
"FY18","WE","Denmark","Office","EPG Commercial","EA Recurring",10,5932444.46
"FY18","WE","Denmark","Office","EPG Commercial","EA Recurring",11,1613029.524
"FY18","WE","Denmark","Office","EPG Commercial","EA Recurring",12,4049717.626
"FY18","WE","Denmark","Office 365","EPG Commercial","EA Recurring",1,4074
"FY18","WE","Denmark","Office 365","EPG Commercial","EA Recurring",2,56010
"FY18","WE","Denmark","Office 365","EPG Commercial","EA Recurring",3,11400
"FY18","WE","Denmark","Office 365","EPG Commercial","EA Recurring",4,4560
"FY18","WE","Denmark","Office 365","EPG Commercial","EA Recurring",5,56010
"FY18","WE","Denmark","Office 365","EPG Commercial","EA Recurring",6,31934.7
"FY18","WE","Denmark","Office 365","EPG Commercial","EA Recurring",7,1520
"FY18","WE","Denmark","Office 365","EPG Commercial","EA Recurring",10,11640
"FY18","WE","Denmark","Office 365","EPG Commercial","EA Recurring",12,917365.4851
"FY18","WE","Denmark","OSD Subs & Trans OSD SMSG","EPG Commercial","EA Recurring",1,63.54
"FY18","WE","Denmark","OSD Subs & Trans OSD SMSG","EPG Commercial","EA Recurring",4,107.0576
"FY18","WE","Denmark","OSD Subs & Trans OSD SMSG","EPG Commercial","EA Recurring",10,7697.7606
"FY18","WE","Denmark","OSD Subs & Trans OSD SMSG","EPG Commercial","EA Recurring",12,13232.0833
"FY18","WE","Denmark","Other IW Apps","EPG Commercial","EA Recurring",1,2154.972
"FY18","WE","Denmark","Other IW Apps","EPG Commercial","EA Recurring",4,27.5746
"FY18","WE","Denmark","Other IW Apps","EPG Commercial","EA Recurring",12,998.3159
"FY18","WE","Denmark","Other Server","EPG Commercial","EA Recurring",2,6311.4
"FY18","WE","Denmark","Other Server","EPG Commercial","EA Recurring",3,38319.48
"FY18","WE","Denmark","Other Server","EPG Commercial","EA Recurring",5,6311.4
"FY18","WE","Denmark","Other Server","EPG Commercial","EA Recurring",8,6311.4
"FY18","WE","Denmark","Other Server","EPG Commercial","EA Recurring",9,20178
"FY18","WE","Denmark","Other Server","EPG Commercial","EA Recurring",10,5627.9198
"FY18","WE","Denmark","Other Server","EPG Commercial","EA Recurring",11,6311.4
"FY18","WE","Denmark","Other Server","EPG Commercial","EA Recurring",12,81.2351
"FY18","WE","Denmark","Project","EPG Commercial","EA Recurring",1,136414.266
"FY18","WE","Denmark","Project","EPG Commercial","EA Recurring",2,28520.53
"FY18","WE","Denmark","Project","EPG Commercial","EA Recurring",3,333.9241
"FY18","WE","Denmark","Project","EPG Commercial","EA Recurring",4,178127.3809
"FY18","WE","Denmark","Project","EPG Commercial","EA Recurring",5,34352.805
"FY18","WE","Denmark","Project","EPG Commercial","EA Recurring",6,25753.4188
"FY18","WE","Denmark","Project","EPG Commercial","EA Recurring",7,144211.3684
"FY18","WE","Denmark","Project","EPG Commercial","EA Recurring",8,16917.154
"FY18","WE","Denmark","Project","EPG Commercial","EA Recurring",9,32386.89
"FY18","WE","Denmark","Project","EPG Commercial","EA Recurring",10,207432.8157
"FY18","WE","Denmark","Project","EPG Commercial","EA Recurring",11,11070.41
"FY18","WE","Denmark","Project","EPG Commercial","EA Recurring",12,1644152.328
"FY18","WE","Denmark","S&T CAL Suites - Core CAL","EPG Commercial","EA Recurring",1,263339.4889
"FY18","WE","Denmark","S&T CAL Suites - Core CAL","EPG Commercial","EA Recurring",2,28884.9263
"FY18","WE","Denmark","S&T CAL Suites - Core CAL","EPG Commercial","EA Recurring",3,22.2524
"FY18","WE","Denmark","S&T CAL Suites - Core CAL","EPG Commercial","EA Recurring",4,104459.9832
"FY18","WE","Denmark","S&T CAL Suites - Core CAL","EPG Commercial","EA Recurring",5,22175.9663
"FY18","WE","Denmark","S&T CAL Suites - Core CAL","EPG Commercial","EA Recurring",6,131606.259
"FY18","WE","Denmark","S&T CAL Suites - Core CAL","EPG Commercial","EA Recurring",7,321135.1201
"FY18","WE","Denmark","S&T CAL Suites - Core CAL","EPG Commercial","EA Recurring",8,24390.7664
"FY18","WE","Denmark","S&T CAL Suites - Core CAL","EPG Commercial","EA Recurring",9,70832.1888
"FY18","WE","Denmark","S&T CAL Suites - Core CAL","EPG Commercial","EA Recurring",10,475602.485
"FY18","WE","Denmark","S&T CAL Suites - Core CAL","EPG Commercial","EA Recurring",11,396989.1477
"FY18","WE","Denmark","S&T CAL Suites - Core CAL","EPG Commercial","EA Recurring",12,1675390.805
"FY18","WE","Denmark","S&T CAL Suites - ECAL","EPG Commercial","EA Recurring",1,134971.5308
"FY18","WE","Denmark","S&T CAL Suites - ECAL","EPG Commercial","EA Recurring",3,14660.2268
"FY18","WE","Denmark","S&T CAL Suites - ECAL","EPG Commercial","EA Recurring",4,596.0911
"FY18","WE","Denmark","S&T CAL Suites - ECAL","EPG Commercial","EA Recurring",6,15191.5052
"FY18","WE","Denmark","S&T CAL Suites - ECAL","EPG Commercial","EA Recurring",7,72255.5603
"FY18","WE","Denmark","S&T CAL Suites - ECAL","EPG Commercial","EA Recurring",8,14808.36
"FY18","WE","Denmark","S&T CAL Suites - ECAL","EPG Commercial","EA Recurring",9,61630.4412
"FY18","WE","Denmark","S&T CAL Suites - ECAL","EPG Commercial","EA Recurring",10,463186.3391
"FY18","WE","Denmark","S&T CAL Suites - ECAL","EPG Commercial","EA Recurring",12,335195.0125
"FY18","WE","Denmark","SharePoint CAL","EPG Commercial","EA Recurring",4,146426.352
"FY18","WE","Denmark","SharePoint CAL","EPG Commercial","EA Recurring",5,21720
"FY18","WE","Denmark","SharePoint CAL","EPG Commercial","EA Recurring",6,74561.4075
"FY18","WE","Denmark","SharePoint CAL","EPG Commercial","EA Recurring",7,145341.0164
"FY18","WE","Denmark","SharePoint CAL","EPG Commercial","EA Recurring",9,47083.2
"FY18","WE","Denmark","SharePoint CAL","EPG Commercial","EA Recurring",10,274827.932
"FY18","WE","Denmark","SharePoint CAL","EPG Commercial","EA Recurring",12,856.9266
"FY18","WE","Denmark","SharePoint for Internet Sites","EPG Commercial","EA Recurring",1,113604.24
"FY18","WE","Denmark","SharePoint for Internet Sites","EPG Commercial","EA Recurring",2,519.03
"FY18","WE","Denmark","SharePoint for Internet Sites","EPG Commercial","EA Recurring",3,78453.36
"FY18","WE","Denmark","SharePoint for Internet Sites","EPG Commercial","EA Recurring",5,519.03
"FY18","WE","Denmark","SharePoint for Internet Sites","EPG Commercial","EA Recurring",6,85376.28
"FY18","WE","Denmark","SharePoint for Internet Sites","EPG Commercial","EA Recurring",7,992.6481
"FY18","WE","Denmark","SharePoint for Internet Sites","EPG Commercial","EA Recurring",8,4191.094
"FY18","WE","Denmark","SharePoint for Internet Sites","EPG Commercial","EA Recurring",9,1331.7141
"FY18","WE","Denmark","SharePoint for Internet Sites","EPG Commercial","EA Recurring",10,42928.3143
"FY18","WE","Denmark","SharePoint for Internet Sites","EPG Commercial","EA Recurring",11,5282.6506
"FY18","WE","Denmark","SharePoint for Internet Sites","EPG Commercial","EA Recurring",12,178934.8994
"FY18","WE","Denmark","SharePoint Server","EPG Commercial","EA Recurring",1,13775.282
"FY18","WE","Denmark","SharePoint Server","EPG Commercial","EA Recurring",2,788.52
"FY18","WE","Denmark","SharePoint Server","EPG Commercial","EA Recurring",3,483.0364
"FY18","WE","Denmark","SharePoint Server","EPG Commercial","EA Recurring",4,6262.8462
"FY18","WE","Denmark","SharePoint Server","EPG Commercial","EA Recurring",5,3361.2779
"FY18","WE","Denmark","SharePoint Server","EPG Commercial","EA Recurring",6,52331.2921
"FY18","WE","Denmark","SharePoint Server","EPG Commercial","EA Recurring",7,29406.5476
"FY18","WE","Denmark","SharePoint Server","EPG Commercial","EA Recurring",8,1911.384
"FY18","WE","Denmark","SharePoint Server","EPG Commercial","EA Recurring",9,6388.6534
"FY18","WE","Denmark","SharePoint Server","EPG Commercial","EA Recurring",10,62640.0663
"FY18","WE","Denmark","SharePoint Server","EPG Commercial","EA Recurring",11,16156.1668
"FY18","WE","Denmark","SharePoint Server","EPG Commercial","EA Recurring",12,100276.4423
"FY18","WE","Denmark","SQL Server Premium","EPG Commercial","EA Recurring",1,158894.0385
"FY18","WE","Denmark","SQL Server Premium","EPG Commercial","EA Recurring",2,8773.06
"FY18","WE","Denmark","SQL Server Premium","EPG Commercial","EA Recurring",3,123362.34
"FY18","WE","Denmark","SQL Server Premium","EPG Commercial","EA Recurring",4,105148.2239
"FY18","WE","Denmark","SQL Server Premium","EPG Commercial","EA Recurring",5,7260.54
"FY18","WE","Denmark","SQL Server Premium","EPG Commercial","EA Recurring",6,103758.9128
"FY18","WE","Denmark","SQL Server Premium","EPG Commercial","EA Recurring",7,506156.4308
"FY18","WE","Denmark","SQL Server Premium","EPG Commercial","EA Recurring",8,31652.86
"FY18","WE","Denmark","SQL Server Premium","EPG Commercial","EA Recurring",9,87960.3433
"FY18","WE","Denmark","SQL Server Premium","EPG Commercial","EA Recurring",10,897049.7494
"FY18","WE","Denmark","SQL Server Premium","EPG Commercial","EA Recurring",11,501240.6176
"FY18","WE","Denmark","SQL Server Premium","EPG Commercial","EA Recurring",12,3095330.076
"FY18","WE","Denmark","SQL Server Standard & CAL","EPG Commercial","EA Recurring",1,193843.4209
"FY18","WE","Denmark","SQL Server Standard & CAL","EPG Commercial","EA Recurring",2,30916.4
"FY18","WE","Denmark","SQL Server Standard & CAL","EPG Commercial","EA Recurring",3,18120
"FY18","WE","Denmark","SQL Server Standard & CAL","EPG Commercial","EA Recurring",4,120600.8166
"FY18","WE","Denmark","SQL Server Standard & CAL","EPG Commercial","EA Recurring",5,2209.06
"FY18","WE","Denmark","SQL Server Standard & CAL","EPG Commercial","EA Recurring",6,79489.2895
"FY18","WE","Denmark","SQL Server Standard & CAL","EPG Commercial","EA Recurring",7,439919.1948
"FY18","WE","Denmark","SQL Server Standard & CAL","EPG Commercial","EA Recurring",8,17378.532
"FY18","WE","Denmark","SQL Server Standard & CAL","EPG Commercial","EA Recurring",9,129391.461
"FY18","WE","Denmark","SQL Server Standard & CAL","EPG Commercial","EA Recurring",10,827455.5708
"FY18","WE","Denmark","SQL Server Standard & CAL","EPG Commercial","EA Recurring",11,416674.7882
"FY18","WE","Denmark","SQL Server Standard & CAL","EPG Commercial","EA Recurring",12,1038051.452
"FY18","WE","Denmark","System Center Client","EPG Commercial","EA Recurring",1,111914.6727
"FY18","WE","Denmark","System Center Client","EPG Commercial","EA Recurring",2,9498.7226
"FY18","WE","Denmark","System Center Client","EPG Commercial","EA Recurring",3,2928.0048
"FY18","WE","Denmark","System Center Client","EPG Commercial","EA Recurring",4,90762.3022
"FY18","WE","Denmark","System Center Client","EPG Commercial","EA Recurring",5,26867.1026
"FY18","WE","Denmark","System Center Client","EPG Commercial","EA Recurring",6,78976.6855
"FY18","WE","Denmark","System Center Client","EPG Commercial","EA Recurring",7,177955.2622
"FY18","WE","Denmark","System Center Client","EPG Commercial","EA Recurring",8,10494.8991
"FY18","WE","Denmark","System Center Client","EPG Commercial","EA Recurring",9,83213.9546
"FY18","WE","Denmark","System Center Client","EPG Commercial","EA Recurring",10,339474.0361
"FY18","WE","Denmark","System Center Client","EPG Commercial","EA Recurring",11,161354.9349
"FY18","WE","Denmark","System Center Client","EPG Commercial","EA Recurring",12,163789.4632
"FY18","WE","Denmark","System Center Server","EPG Commercial","EA Recurring",1,66542.3732
"FY18","WE","Denmark","System Center Server","EPG Commercial","EA Recurring",2,4146.54
"FY18","WE","Denmark","System Center Server","EPG Commercial","EA Recurring",4,33387.7907
"FY18","WE","Denmark","System Center Server","EPG Commercial","EA Recurring",5,4432.1967
"FY18","WE","Denmark","System Center Server","EPG Commercial","EA Recurring",6,142603.4105
"FY18","WE","Denmark","System Center Server","EPG Commercial","EA Recurring",7,190276.5244
"FY18","WE","Denmark","System Center Server","EPG Commercial","EA Recurring",8,1287.432
"FY18","WE","Denmark","System Center Server","EPG Commercial","EA Recurring",9,44400.7402
"FY18","WE","Denmark","System Center Server","EPG Commercial","EA Recurring",10,475681.7092
"FY18","WE","Denmark","System Center Server","EPG Commercial","EA Recurring",11,83990.4027
"FY18","WE","Denmark","System Center Server","EPG Commercial","EA Recurring",12,362770.5844
"FY18","WE","Denmark","Visio","EPG Commercial","EA Recurring",1,28912.088
"FY18","WE","Denmark","Visio","EPG Commercial","EA Recurring",2,11624.85
"FY18","WE","Denmark","Visio","EPG Commercial","EA Recurring",3,349.9175
"FY18","WE","Denmark","Visio","EPG Commercial","EA Recurring",4,30781.1507
"FY18","WE","Denmark","Visio","EPG Commercial","EA Recurring",5,7680.8536
"FY18","WE","Denmark","Visio","EPG Commercial","EA Recurring",6,405.1412
"FY18","WE","Denmark","Visio","EPG Commercial","EA Recurring",7,50433.3298
"FY18","WE","Denmark","Visio","EPG Commercial","EA Recurring",8,2384.194
"FY18","WE","Denmark","Visio","EPG Commercial","EA Recurring",9,4316.39
"FY18","WE","Denmark","Visio","EPG Commercial","EA Recurring",10,68949.0877
"FY18","WE","Denmark","Visio","EPG Commercial","EA Recurring",11,2006.85
"FY18","WE","Denmark","Visio","EPG Commercial","EA Recurring",12,133802.4115
"FY18","WE","Denmark","Windows Azure","EPG Commercial","EA Recurring",12,5139.0941
"FY18","WE","Denmark","Windows Client","EPG Commercial","EA Recurring",1,918122.0257
"FY18","WE","Denmark","Windows Client","EPG Commercial","EA Recurring",2,82427.7486
"FY18","WE","Denmark","Windows Client","EPG Commercial","EA Recurring",3,18820.1991
"FY18","WE","Denmark","Windows Client","EPG Commercial","EA Recurring",4,316852.9948
"FY18","WE","Denmark","Windows Client","EPG Commercial","EA Recurring",5,112930.9386
"FY18","WE","Denmark","Windows Client","EPG Commercial","EA Recurring",6,432247.0474
"FY18","WE","Denmark","Windows Client","EPG Commercial","EA Recurring",7,1215781.709
"FY18","WE","Denmark","Windows Client","EPG Commercial","EA Recurring",8,92520.3352
"FY18","WE","Denmark","Windows Client","EPG Commercial","EA Recurring",9,525817.0642
"FY18","WE","Denmark","Windows Client","EPG Commercial","EA Recurring",10,1922952.452
"FY18","WE","Denmark","Windows Client","EPG Commercial","EA Recurring",11,1206964.032
"FY18","WE","Denmark","Windows Client","EPG Commercial","EA Recurring",12,4715679.438
"FY18","WE","Denmark","Windows Server & Solutions & CAL","EPG Commercial","EA Recurring",1,143550.1751
"FY18","WE","Denmark","Windows Server & Solutions & CAL","EPG Commercial","EA Recurring",2,37264.65
"FY18","WE","Denmark","Windows Server & Solutions & CAL","EPG Commercial","EA Recurring",3,2596.92
"FY18","WE","Denmark","Windows Server & Solutions & CAL","EPG Commercial","EA Recurring",4,100997.5764
"FY18","WE","Denmark","Windows Server & Solutions & CAL","EPG Commercial","EA Recurring",5,34656.7742
"FY18","WE","Denmark","Windows Server & Solutions & CAL","EPG Commercial","EA Recurring",6,63392.5556
"FY18","WE","Denmark","Windows Server & Solutions & CAL","EPG Commercial","EA Recurring",7,187528.5641
"FY18","WE","Denmark","Windows Server & Solutions & CAL","EPG Commercial","EA Recurring",8,18992.28
"FY18","WE","Denmark","Windows Server & Solutions & CAL","EPG Commercial","EA Recurring",9,16221.6
"FY18","WE","Denmark","Windows Server & Solutions & CAL","EPG Commercial","EA Recurring",10,300001.8788
"FY18","WE","Denmark","Windows Server & Solutions & CAL","EPG Commercial","EA Recurring",11,232671.657
"FY18","WE","Denmark","Windows Server & Solutions & CAL","EPG Commercial","EA Recurring",12,286370.2027
"FY18","WE","Denmark","Windows Server Other","EPG Commercial","EA Recurring",1,23489.77
"FY18","WE","Denmark","Windows Server Other","EPG Commercial","EA Recurring",2,841
"FY18","WE","Denmark","Windows Server Other","EPG Commercial","EA Recurring",3,710.4
"FY18","WE","Denmark","Windows Server Other","EPG Commercial","EA Recurring",4,24595.2987
"FY18","WE","Denmark","Windows Server Other","EPG Commercial","EA Recurring",5,558
"FY18","WE","Denmark","Windows Server Other","EPG Commercial","EA Recurring",6,20.8204
"FY18","WE","Denmark","Windows Server Other","EPG Commercial","EA Recurring",7,80668.5786
"FY18","WE","Denmark","Windows Server Other","EPG Commercial","EA Recurring",8,3472.176
"FY18","WE","Denmark","Windows Server Other","EPG Commercial","EA Recurring",9,7069.2
"FY18","WE","Denmark","Windows Server Other","EPG Commercial","EA Recurring",10,240805.4569
"FY18","WE","Denmark","Windows Server Other","EPG Commercial","EA Recurring",11,558
"FY18","WE","Denmark","Windows Server Other","EPG Commercial","EA Recurring",12,100686.344
"FY18","WE","Denmark","Windows Server Premium","EPG Commercial","EA Recurring",1,127466.7621
"FY18","WE","Denmark","Windows Server Premium","EPG Commercial","EA Recurring",2,18313.61
"FY18","WE","Denmark","Windows Server Premium","EPG Commercial","EA Recurring",3,3226.08
"FY18","WE","Denmark","Windows Server Premium","EPG Commercial","EA Recurring",4,147480.757
"FY18","WE","Denmark","Windows Server Premium","EPG Commercial","EA Recurring",5,20961.13
"FY18","WE","Denmark","Windows Server Premium","EPG Commercial","EA Recurring",6,228339.9069
"FY18","WE","Denmark","Windows Server Premium","EPG Commercial","EA Recurring",7,310705.9798
"FY18","WE","Denmark","Windows Server Premium","EPG Commercial","EA Recurring",8,18123.978
"FY18","WE","Denmark","Windows Server Premium","EPG Commercial","EA Recurring",9,83018.8704
