Zip,City,State,Region,District,Country,ZipCountry
"68631","","Oaxaca","","San Andres Teotilalpam","Mexico","68631,Mexico"
"68632","","Oaxaca","","San Andres Teotilalpam","Mexico","68632,Mexico"
"68633","","Oaxaca","","San Andres Teotilalpam","Mexico","68633,Mexico"
"69160","","Oaxaca","","San Andres Tepetlapa","Mexico","69160,Mexico"
"68854","","Oaxaca","","San Andres Yaa","Mexico","68854,Mexico"
"71548","","Oaxaca","","San Andres Zabache","Mexico","71548,Mexico"
"68244","","Oaxaca","","San Andres Zautla","Mexico","68244,Mexico"
"71520","","Oaxaca","","San Antonino Castillo Velasco","Mexico","71520,Mexico"
"71283","","Oaxaca","","San Antonino El Alto","Mexico","71283,Mexico"
"71284","","Oaxaca","","San Antonino El Alto","Mexico","71284,Mexico"
"69546","","Oaxaca","","San Antonino Monte Verde","Mexico","69546,Mexico"
"69547","","Oaxaca","","San Antonino Monte Verde","Mexico","69547,Mexico"
"69548","","Oaxaca","","San Antonino Monte Verde","Mexico","69548,Mexico"
"69526","","Oaxaca","","San Antonio Acutla","Mexico","69526,Mexico"
"71236","","Oaxaca","","San Antonio de La Cal","Mexico","71236,Mexico"
"71263","","Oaxaca","","San Antonio Huitepec","Mexico","71263,Mexico"
"71264","","Oaxaca","","San Antonio Huitepec","Mexico","71264,Mexico"
"68565","","Oaxaca","","San Antonio Nanahuatipam","Mexico","68565,Mexico"
"68569","","Oaxaca","","San Antonio Nanahuatipam","Mexico","68569,Mexico"
"69870","","Oaxaca","","San Antonio Sinicahua","Mexico","69870,Mexico"
"71650","","Oaxaca","","San Antonio Tepetlapa","Mexico","71650,Mexico"
"71537","","Oaxaca","","San Baltazar Chichicapam","Mexico","71537,Mexico"
"70930","","Oaxaca","","San Baltazar Loxicha","Mexico","70930,Mexico"
"68860","","Oaxaca","","San Baltazar Yatzachi El Bajo","Mexico","68860,Mexico"
"68861","","Oaxaca","","San Baltazar Yatzachi El Bajo","Mexico","68861,Mexico"
"68865","","Oaxaca","","San Baltazar Yatzachi El Bajo","Mexico","68865,Mexico"
"71256","","Oaxaca","","San Bartolo Coyotepec","Mexico","71256,Mexico"
"71257","","Oaxaca","","San Bartolo Coyotepec","Mexico","71257,Mexico"
"68577","","Oaxaca","","San Bartolome Ayautla","Mexico","68577,Mexico"
"68578","","Oaxaca","","San Bartolome Ayautla","Mexico","68578,Mexico"
"70940","","Oaxaca","","San Bartolome Loxicha","Mexico","70940,Mexico"
"70474","","Oaxaca","","San Bartolome Quialana","Mexico","70474,Mexico"
"69850","","Oaxaca","","San Bartolome Yucuañe","Mexico","69850,Mexico"
"68857","","Oaxaca","","San Bartolome Zoogocho","Mexico","68857,Mexico"
"69565","","Oaxaca","","San Bartolo Soyaltepec","Mexico","69565,Mexico"
"69566","","Oaxaca","","San Bartolo Soyaltepec","Mexico","69566,Mexico"
"69567","","Oaxaca","","San Bartolo Soyaltepec","Mexico","69567,Mexico"
"69569","","Oaxaca","","San Bartolo Soyaltepec","Mexico","69569,Mexico"
"70550","","Oaxaca","","San Bartolo Yautepec","Mexico","70550,Mexico"
"71210","","Oaxaca","","San Bernardo Mixtepec","Mexico","71210,Mexico"
"71211","","Oaxaca","","San Bernardo Mixtepec","Mexico","71211,Mexico"
"71213","","Oaxaca","","San Bernardo Mixtepec","Mexico","71213,Mexico"
"70789","","Oaxaca","","San Blas Atempa","Mexico","70789,Mexico"
"70500","","Oaxaca","","San Carlos Yautepec","Mexico","70500,Mexico"
"70501","","Oaxaca","","San Carlos Yautepec","Mexico","70501,Mexico"
"70502","","Oaxaca","","San Carlos Yautepec","Mexico","70502,Mexico"
"70503","","Oaxaca","","San Carlos Yautepec","Mexico","70503,Mexico"
"70505","","Oaxaca","","San Carlos Yautepec","Mexico","70505,Mexico"
"70506","","Oaxaca","","San Carlos Yautepec","Mexico","70506,Mexico"
"70509","","Oaxaca","","San Carlos Yautepec","Mexico","70509,Mexico"
"70510","","Oaxaca","","San Carlos Yautepec","Mexico","70510,Mexico"
"70511","","Oaxaca","","San Carlos Yautepec","Mexico","70511,Mexico"
"70512","","Oaxaca","","San Carlos Yautepec","Mexico","70512,Mexico"
"70835","","Oaxaca","","San Cristobal Amatlan","Mexico","70835,Mexico"
"70836","","Oaxaca","","San Cristobal Amatlan","Mexico","70836,Mexico"
"70837","","Oaxaca","","San Cristobal Amatlan","Mexico","70837,Mexico"
"69837","","Oaxaca","","San Cristobal Amoltepec","Mexico","69837,Mexico"
"69838","","Oaxaca","","San Cristobal Amoltepec","Mexico","69838,Mexico"
"68830","","Oaxaca","","San Cristobal Lachirioag","Mexico","68830,Mexico"
"69380","","Oaxaca","","San Cristobal Suchixtlahuaca","Mexico","69380,Mexico"
"70137","","Oaxaca","","San Dionisio Del Mar","Mexico","70137,Mexico"
"70495","","Oaxaca","","San Dionisio Ocotepec","Mexico","70495,Mexico"
"70496","","Oaxaca","","San Dionisio Ocotepec","Mexico","70496,Mexico"
"71526","","Oaxaca","","San Dionisio Ocotlan","Mexico","71526,Mexico"
"71120","","Oaxaca","","San Esteban Atatlahuca","Mexico","71120,Mexico"
"71121","","Oaxaca","","San Esteban Atatlahuca","Mexico","71121,Mexico"
"71122","","Oaxaca","","San Esteban Atatlahuca","Mexico","71122,Mexico"
"71123","","Oaxaca","","San Esteban Atatlahuca","Mexico","71123,Mexico"
"71124","","Oaxaca","","San Esteban Atatlahuca","Mexico","71124,Mexico"
"68461","","Oaxaca","","San Felipe Jalapa de Diaz","Mexico","68461,Mexico"
"68462","","Oaxaca","","San Felipe Jalapa de Diaz","Mexico","68462,Mexico"
"68464","","Oaxaca","","San Felipe Jalapa de Diaz","Mexico","68464,Mexico"
"68260","","Oaxaca","","San Felipe Tejalapam","Mexico","68260,Mexico"
"68262","","Oaxaca","","San Felipe Tejalapam","Mexico","68262,Mexico"
"68490","","Oaxaca","","San Felipe Usila","Mexico","68490,Mexico"
"68491","","Oaxaca","","San Felipe Usila","Mexico","68491,Mexico"
"68492","","Oaxaca","","San Felipe Usila","Mexico","68492,Mexico"
"68493","","Oaxaca","","San Felipe Usila","Mexico","68493,Mexico"
"68494","","Oaxaca","","San Felipe Usila","Mexico","68494,Mexico"
"68495","","Oaxaca","","San Felipe Usila","Mexico","68495,Mexico"
"68496","","Oaxaca","","San Felipe Usila","Mexico","68496,Mexico"
"68497","","Oaxaca","","San Felipe Usila","Mexico","68497,Mexico"
"71320","","Oaxaca","","San Francisco Cahuacua","Mexico","71320,Mexico"
"71321","","Oaxaca","","San Francisco Cahuacua","Mexico","71321,Mexico"
"71329","","Oaxaca","","San Francisco Cahuacua","Mexico","71329,Mexico"
"68875","","Oaxaca","","San Francisco Cajonos","Mexico","68875,Mexico"
"68635","","Oaxaca","","San Francisco Chapulapa","Mexico","68635,Mexico"
"68636","","Oaxaca","","San Francisco Chapulapa","Mexico","68636,Mexico"
"69685","","Oaxaca","","San Francisco Chindua","Mexico","69685,Mexico"
"69686","","Oaxaca","","San Francisco Chindua","Mexico","69686,Mexico"
"70146","","Oaxaca","","San Francisco Del Mar","Mexico","70146,Mexico"
"68520","","Oaxaca","","San Francisco Huehuetlan","Mexico","68520,Mexico"
"70177","","Oaxaca","","San Francisco Ixhuatan","Mexico","70177,Mexico"
"70178","","Oaxaca","","San Francisco Ixhuatan","Mexico","70178,Mexico"
"69935","","Oaxaca","","San Francisco Jaltepetongo","Mexico","69935,Mexico"
"70424","","Oaxaca","","San Francisco Lachigolo","Mexico","70424,Mexico"
"70818","","Oaxaca","","San Francisco Logueche","Mexico","70818,Mexico"
"69925","","Oaxaca","","San Francisco Nuxaño","Mexico","69925,Mexico"
"70887","","Oaxaca","","San Francisco Ozolotepec","Mexico","70887,Mexico"
"70888","","Oaxaca","","San Francisco Ozolotepec","Mexico","70888,Mexico"
"70889","","Oaxaca","","San Francisco Ozolotepec","Mexico","70889,Mexico"
"71470","","Oaxaca","","San Francisco Sola","Mexico","71470,Mexico"
"68214","","Oaxaca","","San Francisco Telixtlahuaca","Mexico","68214,Mexico"
"69345","","Oaxaca","","San Francisco Teopan","Mexico","69345,Mexico"
"69480","","Oaxaca","","San Francisco Tlapancingo","Mexico","69480,Mexico"
"69481","","Oaxaca","","San Francisco Tlapancingo","Mexico","69481,Mexico"
"71970","","Oaxaca","","San Gabriel Mixtepec","Mexico","71970,Mexico"
"71971","","Oaxaca","","San Gabriel Mixtepec","Mexico","71971,Mexico"
"70828","","Oaxaca","","San Ildefonso Amatlan","Mexico","70828,Mexico"
"71480","","Oaxaca","","San Ildefonso Sola","Mexico","71480,Mexico"
"68800","","Oaxaca","","San Ildefonso Villa Alta","Mexico","68800,Mexico"
"68801","","Oaxaca","","San Ildefonso Villa Alta","Mexico","68801,Mexico"
"68803","","Oaxaca","","San Ildefonso Villa Alta","Mexico","68803,Mexico"
"68804","","Oaxaca","","San Ildefonso Villa Alta","Mexico","68804,Mexico"
"68285","","Oaxaca","","San Jacinto Amilpas","Mexico","68285,Mexico"
"71390","","Oaxaca","","San Jacinto Tlacotepec","Mexico","71390,Mexico"
"71399","","Oaxaca","","San Jacinto Tlacotepec","Mexico","71399,Mexico"
"70843","","Oaxaca","","San Jeronimo Coatlan","Mexico","70843,Mexico"
"70844","","Oaxaca","","San Jeronimo Coatlan","Mexico","70844,Mexico"
"69055","","Oaxaca","","San Jeronimo Silacayoapilla","Mexico","69055,Mexico"
"69059","","Oaxaca","","San Jeronimo Silacayoapilla","Mexico","69059,Mexico"
"68207","","Oaxaca","","San Jeronimo Sosola","Mexico","68207,Mexico"
"68208","","Oaxaca","","San Jeronimo Sosola","Mexico","68208,Mexico"
"68209","","Oaxaca","","San Jeronimo Sosola","Mexico","68209,Mexico"
"71545","","Oaxaca","","San Jeronimo Taviche","Mexico","71545,Mexico"
"68550","","Oaxaca","","San Jeronimo Tecoatl","Mexico","68550,Mexico"
"69280","","Oaxaca","","San Jorge Nuchita","Mexico","69280,Mexico"
"69282","","Oaxaca","","San Jorge Nuchita","Mexico","69282,Mexico"
"69230","","Oaxaca","","San Jose Ayuquila","Mexico","69230,Mexico"
"69231","","Oaxaca","","San Jose Ayuquila","Mexico","69231,Mexico"
"68456","","Oaxaca","","San Jose Chiltepec","Mexico","68456,Mexico"
"68457","","Oaxaca","","San Jose Chiltepec","Mexico","68457,Mexico"
"68458","","Oaxaca","","San Jose Chiltepec","Mexico","68458,Mexico"
"68459","","Oaxaca","","San Jose Chiltepec","Mexico","68459,Mexico"
"70833","","Oaxaca","","San Jose Del Peñasco","Mexico","70833,Mexico"
"71686","","Oaxaca","","San Jose Estancia Grande","Mexico","71686,Mexico"
"68407","","Oaxaca","","San Jose Independencia","Mexico","68407,Mexico"
"70813","","Oaxaca","","San Jose Lachiguiri","Mexico","70813,Mexico"
"70814","","Oaxaca","","San Jose Lachiguiri","Mexico","70814,Mexico"
"68570","","Oaxaca","","San Jose Tenango","Mexico","68570,Mexico"
"68571","","Oaxaca","","San Jose Tenango","Mexico","68571,Mexico"
"69830","","Oaxaca","","San Juan Achiutla","Mexico","69830,Mexico"
"68730","","Oaxaca","","San Juan Atepec","Mexico","68730,Mexico"
"71244","","Oaxaca","","Animas Trujano","Mexico","71244,Mexico"
"68204","","Oaxaca","","San Juan Bautista Atatlahuca","Mexico","68204,Mexico"
"69300","","Oaxaca","","San Juan Bautista Coixtlahuaca","Mexico","69300,Mexico"
"69302","","Oaxaca","","San Juan Bautista Coixtlahuaca","Mexico","69302,Mexico"
"69304","","Oaxaca","","San Juan Bautista Coixtlahuaca","Mexico","69304,Mexico"
"69305","","Oaxaca","","San Juan Bautista Coixtlahuaca","Mexico","69305,Mexico"
"69307","","Oaxaca","","San Juan Bautista Coixtlahuaca","Mexico","69307,Mexico"
"68600","","Oaxaca","","San Juan Bautista Cuicatlan","Mexico","68600,Mexico"
"68601","","Oaxaca","","San Juan Bautista Cuicatlan","Mexico","68601,Mexico"
"68602","","Oaxaca","","San Juan Bautista Cuicatlan","Mexico","68602,Mexico"
"68603","","Oaxaca","","San Juan Bautista Cuicatlan","Mexico","68603,Mexico"
"68604","","Oaxaca","","San Juan Bautista Cuicatlan","Mexico","68604,Mexico"
"68605","","Oaxaca","","San Juan Bautista Cuicatlan","Mexico","68605,Mexico"
"68234","","Oaxaca","","San Juan Bautista Guelache","Mexico","68234,Mexico"
"68235","","Oaxaca","","San Juan Bautista Guelache","Mexico","68235,Mexico"
"68236","","Oaxaca","","San Juan Bautista Guelache","Mexico","68236,Mexico"
"68210","","Oaxaca","","San Juan Bautista Jayacatlan","Mexico","68210,Mexico"
"71624","","Oaxaca","","San Juan Bautista Lo de Soto","Mexico","71624,Mexico"
"69040","","Oaxaca","","San Juan Bautista Suchitepec","Mexico","69040,Mexico"
"69041","","Oaxaca","","San Juan Bautista Suchitepec","Mexico","69041,Mexico"
"68650","","Oaxaca","","San Juan Bautista Tlacoatzintepec","Mexico","68650,Mexico"
"68651","","Oaxaca","","San Juan Bautista Tlacoatzintepec","Mexico","68651,Mexico"
"68652","","Oaxaca","","San Juan Bautista Tlacoatzintepec","Mexico","68652,Mexico"
"69190","","Oaxaca","","San Juan Bautista Tlachichilco","Mexico","69190,Mexico"
"68440","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico","68440,Mexico"
"68442","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico","68442,Mexico"
"68443","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico","68443,Mexico"
"68444","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico","68444,Mexico"
"68445","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico","68445,Mexico"
"68446","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico","68446,Mexico"
"68447","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico","68447,Mexico"
"68448","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico","68448,Mexico"
"68449","","Oaxaca","","San Juan Bautista Tuxtepec","Mexico","68449,Mexico"
"71612","","Oaxaca","","San Juan Cacahuatepec","Mexico","71612,Mexico"
"71613","","Oaxaca","","San Juan Cacahuatepec","Mexico","71613,Mexico"
"69110","","Oaxaca","","San Juan Cieneguilla","Mexico","69110,Mexico"
"68557","","Oaxaca","","San Juan Coatzospam","Mexico","68557,Mexico"
"68558","","Oaxaca","","San Juan Coatzospam","Mexico","68558,Mexico"
"71720","","Oaxaca","","San Juan Colorado","Mexico","71720,Mexico"
"71721","","Oaxaca","","San Juan Colorado","Mexico","71721,Mexico"
"71722","","Oaxaca","","San Juan Colorado","Mexico","71722,Mexico"
"68990","","Oaxaca","","San Juan Comaltepec","Mexico","68990,Mexico"
"70210","","Oaxaca","","San Juan Cotzocon","Mexico","70210,Mexico"
"70211","","Oaxaca","","San Juan Cotzocon","Mexico","70211,Mexico"
"70212","","Oaxaca","","San Juan Cotzocon","Mexico","70212,Mexico"
"70213","","Oaxaca","","San Juan Cotzocon","Mexico","70213,Mexico"
"70215","","Oaxaca","","San Juan Cotzocon","Mexico","70215,Mexico"
"70220","","Oaxaca","","San Juan Cotzocon","Mexico","70220,Mexico"
"70221","","Oaxaca","","San Juan Cotzocon","Mexico","70221,Mexico"
"70222","","Oaxaca","","San Juan Cotzocon","Mexico","70222,Mexico"
"70223","","Oaxaca","","San Juan Cotzocon","Mexico","70223,Mexico"
"70224","","Oaxaca","","San Juan Cotzocon","Mexico","70224,Mexico"
"70225","","Oaxaca","","San Juan Cotzocon","Mexico","70225,Mexico"
"70226","","Oaxaca","","San Juan Cotzocon","Mexico","70226,Mexico"
"70229","","Oaxaca","","San Juan Cotzocon","Mexico","70229,Mexico"
"68757","","Oaxaca","","San Juan Chicomezuchil","Mexico","68757,Mexico"
"71508","","Oaxaca","","San Juan Chilateca","Mexico","71508,Mexico"
"68224","","Oaxaca","","San Juan Del Estado","Mexico","68224,Mexico"
"70470","","Oaxaca","","San Juan Del Rio","Mexico","70470,Mexico"
"69946","","Oaxaca","","San Juan Diuxi","Mexico","69946,Mexico"
"68748","","Oaxaca","","San Juan Evangelista Analco","Mexico","68748,Mexico"
"70464","","Oaxaca","","San Juan Guelavia","Mexico","70464,Mexico"
"70330","","Oaxaca","","San Juan Guichicovi","Mexico","70330,Mexico"
"70331","","Oaxaca","","San Juan Guichicovi","Mexico","70331,Mexico"
"70332","","Oaxaca","","San Juan Guichicovi","Mexico","70332,Mexico"
"70333","","Oaxaca","","San Juan Guichicovi","Mexico","70333,Mexico"
"70334","","Oaxaca","","San Juan Guichicovi","Mexico","70334,Mexico"
"70335","","Oaxaca","","San Juan Guichicovi","Mexico","70335,Mexico"
"70336","","Oaxaca","","San Juan Guichicovi","Mexico","70336,Mexico"
"70337","","Oaxaca","","San Juan Guichicovi","Mexico","70337,Mexico"
"70338","","Oaxaca","","San Juan Guichicovi","Mexico","70338,Mexico"
"70340","","Oaxaca","","San Juan Guichicovi","Mexico","70340,Mexico"
"70341","","Oaxaca","","San Juan Guichicovi","Mexico","70341,Mexico"
"70342","","Oaxaca","","San Juan Guichicovi","Mexico","70342,Mexico"
"70343","","Oaxaca","","San Juan Guichicovi","Mexico","70343,Mexico"
"69130","","Oaxaca","","San Juan Ihualtepec","Mexico","69130,Mexico"
"69139","","Oaxaca","","San Juan Ihualtepec","Mexico","69139,Mexico"
"70520","","Oaxaca","","San Juan Juquila Mixes","Mexico","70520,Mexico"
"70521","","Oaxaca","","San Juan Juquila Mixes","Mexico","70521,Mexico"
"70529","","Oaxaca","","San Juan Juquila Mixes","Mexico","70529,Mexico"
"68827","","Oaxaca","","San Juan Juquila Vijanos","Mexico","68827,Mexico"
"68828","","Oaxaca","","San Juan Juquila Vijanos","Mexico","68828,Mexico"
"71940","","Oaxaca","","San Juan Lachao","Mexico","71940,Mexico"
"71941","","Oaxaca","","San Juan Lachao","Mexico","71941,Mexico"
"71575","","Oaxaca","","San Juan Lachigalla","Mexico","71575,Mexico"
"71576","","Oaxaca","","San Juan Lachigalla","Mexico","71576,Mexico"
"71577","","Oaxaca","","San Juan Lachigalla","Mexico","71577,Mexico"
"70546","","Oaxaca","","San Juan Lajarcia","Mexico","70546,Mexico"
"68940","","Oaxaca","","San Juan Lalana","Mexico","68940,Mexico"
"68941","","Oaxaca","","San Juan Lalana","Mexico","68941,Mexico"
"68942","","Oaxaca","","San Juan Lalana","Mexico","68942,Mexico"
"68943","","Oaxaca","","San Juan Lalana","Mexico","68943,Mexico"
"68944","","Oaxaca","","San Juan Lalana","Mexico","68944,Mexico"
"68950","","Oaxaca","","San Juan Lalana","Mexico","68950,Mexico"
"68957","","Oaxaca","","San Juan Lalana","Mexico","68957,Mexico"
"68585","","Oaxaca","","San Juan de los Cues","Mexico","68585,Mexico"
"70230","","Oaxaca","","San Juan Mazatlan","Mexico","70230,Mexico"
"70231","","Oaxaca","","San Juan Mazatlan","Mexico","70231,Mexico"
"70232","","Oaxaca","","San Juan Mazatlan","Mexico","70232,Mexico"
"70234","","Oaxaca","","San Juan Mazatlan","Mexico","70234,Mexico"
"70235","","Oaxaca","","San Juan Mazatlan","Mexico","70235,Mexico"
"70236","","Oaxaca","","San Juan Mazatlan","Mexico","70236,Mexico"
"70240","","Oaxaca","","San Juan Mazatlan","Mexico","70240,Mexico"
"70241","","Oaxaca","","San Juan Mazatlan","Mexico","70241,Mexico"
"70242","","Oaxaca","","San Juan Mazatlan","Mexico","70242,Mexico"
"70243","","Oaxaca","","San Juan Mazatlan","Mexico","70243,Mexico"
"70244","","Oaxaca","","San Juan Mazatlan","Mexico","70244,Mexico"
"70249","","Oaxaca","","San Juan Mazatlan","Mexico","70249,Mexico"
"69770","","Oaxaca","","San Juan Mixtepec Juxtlahuaca","Mexico","69770,Mexico"
"69771","","Oaxaca","","San Juan Mixtepec Juxtlahuaca","Mexico","69771,Mexico"
"69772","","Oaxaca","","San Juan Mixtepec Juxtlahuaca","Mexico","69772,Mexico"
"69773","","Oaxaca","","San Juan Mixtepec Juxtlahuaca","Mexico","69773,Mexico"
"69774","","Oaxaca","","San Juan Mixtepec Juxtlahuaca","Mexico","69774,Mexico"
"69776","","Oaxaca","","San Juan Mixtepec Juxtlahuaca","Mexico","69776,Mexico"
"69777","","Oaxaca","","San Juan Mixtepec Juxtlahuaca","Mexico","69777,Mexico"
"70838","","Oaxaca","","San Juan Mixtepec Miahuatlan","Mexico","70838,Mexico"
"69807","","Oaxaca","","San Juan Ñumi","Mexico","69807,Mexico"
"69808","","Oaxaca","","San Juan Ñumi","Mexico","69808,Mexico"
"69809","","Oaxaca","","San Juan Ñumi","Mexico","69809,Mexico"
"70897","","Oaxaca","","San Juan Ozolotepec","Mexico","70897,Mexico"
"70899","","Oaxaca","","San Juan Ozolotepec","Mexico","70899,Mexico"
"68980","","Oaxaca","","San Juan Petlapa","Mexico","68980,Mexico"
"68987","","Oaxaca","","San Juan Petlapa","Mexico","68987,Mexico"
"71870","","Oaxaca","","San Juan Quiahije","Mexico","71870,Mexico"
"68704","","Oaxaca","","San Juan Quiotepec","Mexico","68704,Mexico"
"68706","","Oaxaca","","San Juan Quiotepec","Mexico","68706,Mexico"
"69675","","Oaxaca","","San Juan Sayultepec","Mexico","69675,Mexico"
"69676","","Oaxaca","","San Juan Sayultepec","Mexico","69676,Mexico"
"68847","","Oaxaca","","San Juan Tabaa","Mexico","68847,Mexico"
"69955","","Oaxaca","","San Juan Tamazola","Mexico","69955,Mexico"
"69956","","Oaxaca","","San Juan Tamazola","Mexico","69956,Mexico"
"69895","","Oaxaca","","San Juan Teita","Mexico","69895,Mexico"
"70453","","Oaxaca","","San Juan Teitipac","Mexico","70453,Mexico"
"68660","","Oaxaca","","San Juan Tepeuxila","Mexico","68660,Mexico"
"68661","","Oaxaca","","San Juan Tepeuxila","Mexico","68661,Mexico"
"69560","","Oaxaca","","San Juan Teposcolula","Mexico","69560,Mexico"
"69561","","Oaxaca","","San Juan Teposcolula","Mexico","69561,Mexico"
"69562","","Oaxaca","","San Juan Teposcolula","Mexico","69562,Mexico"
"69563","","Oaxaca","","San Juan Teposcolula","Mexico","69563,Mexico"
"68810","","Oaxaca","","San Juan Yaee","Mexico","68810,Mexico"
"68811","","Oaxaca","","San Juan Yaee","Mexico","68811,Mexico"
"68812","","Oaxaca","","San Juan Yaee","Mexico","68812,Mexico"
"68817","","Oaxaca","","San Juan Yatzona","Mexico","68817,Mexico"
"69670","","Oaxaca","","San Juan Yucuita","Mexico","69670,Mexico"
"71760","","Oaxaca","","San Lorenzo","Mexico","71760,Mexico"
"71761","","Oaxaca","","San Lorenzo","Mexico","71761,Mexico"
