Reseller,Year Opened,Bank Name,Business Type,Year of First Order,Year of Last Order,Reseller Annual Sales,Reseller Phone,Number of Employees,Annual Revenue,Reseller Address,Reseller City,Reseller Country Code,Reseller Country,Reseller Zip Code,Reseller State Province,Reseller State Province Code,Minimum Payment Amt,Reseller Product Line,Reseller Order Frequency,Reseller Order Month,Reseller Sales Territory Country,Reseller Sales Territory Group,Reseller Sales Territory Region,Reseller Key
"Trendy Department Stores",1980,"International Bank","Value Added Reseller",2013,2013,300000,"273-555-0111",5,30000,"25472 Marlay Ave","Fontana","US","United States","92335","California","CA",,"Touring","S",6,"United States","North America","Southwest",113
"Famous Bike Sales and Service",2005,"Reserve Security","Specialty Bike Shop",2011,2013,1000000,"159-555-0190",25,100000,"P.O. Box 9005","Endicott","US","United States","13760","New York","NY",,"Road","A",6,"United States","North America","Northeast",126
"Demand Distributors",2004,"International Security","Value Added Reseller",2011,2013,1000000,"799-555-0118",20,100000,"25102 Springwater","Wenatchee","US","United States","98801","Washington","WA",,"Road","S",6,"United States","North America","Northwest",128
"Initial Bike Company",2000,"International Security","Value Added Reseller",2012,2013,800000,"229-555-0114",13,80000,"789 West Alameda","Westminster","US","United States","80030","Colorado","CO",,"Mountain","S",6,"United States","North America","Central",149
"Third Bike Store",1992,"United Security","Specialty Bike Shop",2012,2013,1500000,"383-555-0117",44,150000,"2500 North Stemmons Freeway","Dallas","US","United States","75201","Texas","TX",,"Road","A",6,"United States","North America","Southwest",165
"Excellent Riding Supplies",1983,"International Security","Value Added Reseller",2011,2013,300000,"576-555-0171",6,30000,"6555 Quince Road, Suite 2025","Memphis","US","United States","38103","Tennessee","TN",,"Road","S",6,"United States","North America","Southeast",170
"Eighty Toy Stores",1989,"Primary International","Specialty Bike Shop",2013,2013,1500000,"332-555-0142",42,150000,"2025 Greenwood Ct","Mcdonough","US","United States","30253","Georgia","GA",,"Road","A",6,"United States","North America","Southeast",171
"Fourth Bike Store",1985,"United Security","Value Added Reseller",2013,2013,300000,"608-555-0114",3,30000,"77993 Mentor Ave.","Mentor","US","United States","44060","Ohio","OH",,"Touring","S",6,"United States","North America","Northeast",179
"Another Bicycle Company",1977,"Reserve Security","Value Added Reseller",2013,2013,300000,"156-555-0126",2,30000,"567 Sw Mcloughlin Blvd","Milwaukie","US","United States","97222","Oregon","OR",,"Touring","S",6,"United States","North America","Northwest",182
"Thrilling Bike Tours",1975,"United Security","Specialty Bike Shop",2013,2013,1500000,"789-555-0184",37,150000,"4660 Rodeo Road","Santa Fe","US","United States","87501","New Mexico","NM",,"Touring","A",6,"United States","North America","Southwest",186
"Trailblazing Sports",1981,"Primary Bank & Reserve","Warehouse",2011,2013,3000000,"491-555-0132",91,300000,"251340 E. South St.","Cerritos","US","United States","90703","California","CA",,"Mountain","Q",6,"United States","North America","Southwest",187
"Fabrikam Inc., West",1980,"International Bank","Value Added Reseller",2012,2013,800000,"224-555-0126",12,80000,"46460 West Oaks Drive","Novi","US","United States","48375","Michigan","MI",,"Mountain","S",6,"United States","North America","Central",197
"Unsurpassed Bikes",1988,"Primary Bank & Reserve","Specialty Bike Shop",2013,2013,1500000,"789-555-0189",32,150000,"Po Box 8035996","Dallas","US","United States","75201","Texas","TX",,"Touring","A",6,"United States","North America","Southwest",201
"Painters Bicycle Specialists",2002,"Guardian Bank","Specialty Bike Shop",2011,2013,1000000,"496-555-0150",27,100000,"9975 Union St.","Waterbury","US","United States","06710","Connecticut","CT",,"Road","A",6,"United States","North America","Northeast",216
"Paints and Solvents Company",1982,"Guardian Bank","Specialty Bike Shop",2013,2013,800000,"458-555-0179",13,80000,"955 E. County Line Rd.","Englewood","US","United States","80110","Colorado","CO",,"Touring","A",6,"United States","North America","Central",223
"Safe Cycles Shop",2002,"International Security","Warehouse",2012,2013,3000000,"449-555-0176",73,300000,"25915 140th Ave Ne","Bellevue","US","United States","98004","Washington","WA",,"Mountain","Q",6,"United States","North America","Northwest",254
"Thrifty Parts and Sales",1991,"Primary International","Value Added Reseller",2013,2013,300000,"308-555-0175",7,30000,"Oxnard Outlet","Oxnard","US","United States","93030","California","CA",,"Road","S",6,"United States","North America","Southwest",276
"The Bicycle Accessories Company",1984,"United Security","Specialty Bike Shop",2012,2013,1500000,"583-555-0198",43,150000,"Vista Marketplace","Alhambra","US","United States","91801","California","CA",,"Road","A",6,"United States","North America","Southwest",277
"Grand Bicycle Stores",1977,"United Security","Value Added Reseller",2012,2013,300000,"640-555-0189",2,30000,"48255 I-10 E. @ Eastpoint Blvd.","Baytown","US","United States","77520","Texas","TX",,"Mountain","S",6,"United States","North America","Southwest",291
"Fashionable Bikes and Accessories",1976,"Guardian Bank","Warehouse",2011,2013,3000000,"115-555-0113",90,300000,"Sports Store At Park City","Park City","US","United States","84098","Utah","UT",,"Mountain","Q",6,"United States","North America","Northwest",293
"Blue-Ribbon Bike Company",1974,"Primary International","Value Added Reseller",2013,2013,300000,"790-555-0112",6,30000,"790 Shelbyville Road","Saint Matthews","US","United States","40207","Kentucky","KY",,"Touring","S",6,"United States","North America","Southeast",297
"Rugged Bikes",1984,"Reserve Security","Warehouse",2013,2013,3000000,"839-555-0198",95,300000,"48995 Evergreen Wy.","Everett","US","United States","98201","Washington","WA",,"Touring","Q",6,"United States","North America","Northwest",308
"Principal Bike Company",1990,"Primary International","Warehouse",2012,2013,3000000,"551-555-0155",96,300000,"Mountain Square","Upland","US","United States","91786","California","CA",,"Road","Q",6,"United States","North America","Southwest",311
"Acclaimed Bicycle Company",1983,"International Bank","Warehouse",2013,2013,3000000,"178-555-0129",61,300000,"830 Highway 499 So","Mcdonough","US","United States","30253","Georgia","GA",,"Touring","Q",6,"United States","North America","Southeast",351
"Elemental Sporting Goods",1993,"United Security","Specialty Bike Shop",2011,2013,1500000,"945-555-0112",49,150000,"99842 White Mill East","Decatur","US","United States","30030","Georgia","GA",,"Mountain","A",6,"United States","North America","Southeast",368
"Distinctive Cycles Sales & Service",1999,"Primary Bank & Reserve","Warehouse",2011,2013,3000000,"922-555-0193",79,300000,"Turfway Retail Center","Florence","US","United States","41042","Kentucky","KY",,"Mountain","Q",6,"United States","North America","Southeast",369
"Fad Outlet",1994,"International Bank","Value Added Reseller",2012,2013,300000,"275-555-0179",9,30000,"2550 Ne Sandy Blvd","Portland","US","United States","97205","Oregon","OR",,"Road","S",6,"United States","North America","Northwest",379
"Good Bike Shop",1986,"Primary Bank & Reserve","Value Added Reseller",2011,2013,800000,"223-555-0184",14,80000,"99433 S. Greenbay Rd.","Racine","US","United States","53182","Wisconsin","WI",,"Road","S",6,"United States","North America","Central",418
"Extreme Riding Supplies",1990,"Reserve Security","Warehouse",2013,2013,3000000,"429-555-0145",96,300000,"Riverside","Sherman Oaks","US","United States","91403","California","CA",,"Touring","Q",6,"United States","North America","Southwest",420
"Sleek Bikes",2003,"Guardian Bank","Warehouse",2013,2013,3000000,"834-555-0132",55,300000,"44025 W. Empire","Denby","US","United States","57716","South Dakota","SD",,"Touring","Q",6,"United States","North America","Central",454
"Racing Toys",1995,"United Security","Value Added Reseller",2011,2013,800000,"731-555-0187",14,80000,"Prime Outlets","Phoenix","US","United States","85004","Arizona","AZ",,"Road","S",6,"United States","North America","Southwest",473
"Extraordinary Bike Works",1993,"Reserve Security","Warehouse",2012,2013,3000000,"306-555-0112",83,300000,"Town East Center","Mesquite","US","United States","75149","Texas","TX",,"Mountain","Q",6,"United States","North America","Southwest",490
"Fun Toys and Bikes",1977,"Primary Bank & Reserve","Value Added Reseller",2013,2013,300000,"678-555-0175",2,30000,"6500 East Grant Road","Tucson","US","United States","85701","Arizona","AZ",,"Touring","S",6,"United States","North America","Southwest",509
"Glossy Bikes",2004,"Reserve Security","Value Added Reseller",2013,2013,800000,"108-555-0171",19,80000,"Adirondack Factory Outlet","Lake George","US","United States","12845","New York","NY",,"Touring","S",6,"United States","North America","Northeast",539
"Finer Parts Shop",1979,"Primary International","Value Added Reseller",2011,2013,800000,"129-555-0185",18,80000,"2526a Tri-Lake Blvd Ne","Kirkland","US","United States","98033","Washington","WA",,"Mountain","S",6,"United States","North America","Northwest",542
"Valley Bicycle Specialists",1983,"Primary Bank & Reserve","Warehouse",2012,2013,3000000,"158-555-0142",66,300000,"Blue Ridge Mall","Kansas City","US","United States","64106","Missouri","MO",,"Mountain","Q",6,"United States","North America","Central",544
"Purchase Mart",1996,"United Security","Warehouse",2013,2013,1500000,"492-555-0189",49,150000,"Wrentham Village","Wrentham","US","United States","02093","Massachusetts","MA",,"Touring","Q",6,"United States","North America","Northeast",557
"Mountain Toy Store",2004,"International Bank","Value Added Reseller",2011,2013,800000,"447-555-0110",17,80000,"First Colony Mall","Sugar Land","US","United States","77478","Texas","TX",,"Road","S",6,"United States","North America","Southwest",561
"Riders Company",2003,"Primary Bank & Reserve","Value Added Reseller",2011,2013,800000,"334-555-0137",15,80000,"Tanger Factory","Branch","US","United States","55056","Minnesota","MN",,"Road","S",6,"United States","North America","Central",579
"Professional Sales and Service",1995,"International Bank","Value Added Reseller",2013,2013,800000,"747-555-0171",14,80000,"57251 Serene Blvd","Van Nuys","US","United States","91411","California","CA",,"Touring","S",6,"United States","North America","Southwest",582
"Cycle Clearance",1995,"Reserve Security","Specialty Bike Shop",2013,2013,1500000,"792-555-0194",46,150000,"2255 254th Avenue Se","Albany","US","United States","97321","Oregon","OR",,"Touring","A",6,"United States","North America","Northwest",595
"Transport Bikes",1992,"Guardian Bank","Specialty Bike Shop",2013,2013,1500000,"328-555-0123",44,150000,"25130 South State Street","Sandy","US","United States","84070","Utah","UT",,"Touring","A",6,"United States","North America","Northwest",601
"Sellers of Cycles",1984,"International Security","Specialty Bike Shop",2013,2013,1500000,"517-555-0120",43,150000,"700 Se Sunnyside Road","Clackamas","US","United States","97015","Oregon","OR",,"Road","A",6,"United States","North America","Northwest",604
"Front Runner Bikes",1987,"International Security","Warehouse",2013,2013,3000000,"609-555-0186",87,300000,"DeSouth Square","Bradenton","US","United States","34205","Florida","FL",,"Touring","Q",6,"United States","North America","Southeast",611
"Running and Cycling Gear",1982,"Primary Bank & Reserve","Value Added Reseller",2013,2013,300000,"146-555-0176",4,30000,"No. 60 Bellis Fair Parkway","Bellingham","US","United States","98225","Washington","WA",,"Touring","S",6,"United States","North America","Northwest",621
"Exchange Parts Inc.",1979,"United Security","Value Added Reseller",2013,2013,300000,"597-555-0132",8,30000,"7700 Green Road","Raleigh","US","United States","27603","North Carolina","NC",,"Touring","S",6,"United States","North America","Southeast",627
"Convenient Sales and Service",2002,"Reserve Security","Warehouse",2012,2013,3000000,"684-555-0134",98,300000,"950 Gateway Street","Springfield","US","United States","97477","Oregon","OR",,"Road","Q",6,"United States","North America","Northwest",644
"Small Bike Shop",2004,"United Security","Value Added Reseller",2011,2013,800000,"158-555-0154",19,80000,"Corp Ofc Accts Payable","El Segundo","US","United States","90245","California","CA",,"Mountain","S",6,"United States","North America","Southwest",648
"Sports Products Store",1975,"Primary Bank & Reserve","Specialty Bike Shop",2012,2013,1000000,"245-555-0191",28,100000,"Po Box 252525","Santa Ana","US","United States","92701","California","CA",,"Road","A",6,"United States","North America","Southwest",649
"Utilitarian Sporting Goods",2003,"Reserve Security","Warehouse",2013,2013,3000000,"169-555-0178",55,300000,"4635 S. Harrison Blvd.","Ogden","US","United States","84401","Utah","UT",,"Touring","Q",6,"United States","North America","Northwest",672
"Discount Tours",1975,"International Security","Specialty Bike Shop",2011,2013,1000000,"685-555-0117",28,100000,"603 Gellert Blvd","Daly City","US","United States","94015","California","CA",,"Road","A",6,"United States","North America","Southwest",674
"Successful Sales Company",2001,"Guardian Bank","Specialty Bike Shop",2012,2013,1500000,"143-555-0113",46,150000,"7009 Sw Hall Blvd.","Tigard","US","United States","97223","Oregon","OR",,"Road","A",6,"United States","North America","Northwest",692
"Responsible Bike Dealers",1993,"International Security","Specialty Bike Shop",2012,2013,1500000,"620-555-0117",49,150000,"Ward Parkway Center","Kansas City","US","United States","64106","Missouri","MO",,"Mountain","A",6,"United States","North America","Central",695
"Progressive Sports",1976,"International Security","Specialty Bike Shop",2012,2013,800000,"170-555-0127",10,80000,"3207 S Grady Way","Renton","US","United States","98055","Washington","WA",,"Mountain","A",5,"United States","North America","Northwest",2
"Catalog Store",2003,"United Security","Warehouse",2011,2013,3000000,"440-555-0132",55,300000,"855 East Main Avenue","Zeeland","US","United States","49464","Michigan","MI",,"Mountain","Q",5,"United States","North America","Central",18
"Travel Systems",1979,"International Bank","Value Added Reseller",2011,2013,800000,"121-555-0121",19,80000,"2505 Gateway Drive","North Sioux City","US","United States","57049","South Dakota","SD",,"Road","S",5,"United States","North America","Central",22
"Exotic Bikes",2002,"International Bank","Warehouse",2011,2013,3000000,"415-555-0147",73,300000,"6900 William Richardson Ct.","South Bend","US","United States","46601","Indiana","IN",,"Road","Q",5,"United States","North America","Northeast",36
"Frugal Bike Shop",1992,"International Bank","Value Added Reseller",2012,2013,800000,"482-555-0174",12,80000,"2575 West 2700 South","Salt Lake City","US","United States","84101","Utah","UT",,"Mountain","S",5,"United States","North America","Northwest",43
"Every Bike Shop",1991,"Primary International","Warehouse",2011,2013,3000000,"333-555-0113",80,300000,"2550 High Street","La Vergne","US","United States","37086","Tennessee","TN",,"Road","Q",5,"United States","North America","Southeast",45
"Latest Accessories Sales",1992,"Reserve Security","Specialty Bike Shop",2012,2013,1500000,"461-555-0118",44,150000,"Gateway","Portland","US","United States","97205","Oregon","OR",,"Road","A",5,"United States","North America","Northwest",56
"Manufacturers Inc",1989,"Guardian Bank","Specialty Bike Shop",2012,2013,1500000,"351-555-0130",42,150000,"Po Box 08050","Nashville","US","United States","37203","Tennessee","TN",,"Road","A",5,"United States","North America","Southeast",62
"Mechanical Products Ltd.",1975,"Reserve Security","Specialty Bike Shop",2012,2013,1500000,"128-555-0148",37,150000,"22555 Paseo De Las Americas","San Diego","US","United States","92102","California","CA",,"Road","A",5,"United States","North America","Southwest",77
"Reasonable Bicycle Sales",1974,"International Security","Value Added Reseller",2012,2013,300000,"996-555-0192",6,30000,"C/O Starpak, Inc.","Greeley","US","United States","80631","Colorado","CO",,"Road","S",5,"United States","North America","Central",79
"Racks and Security Systems",1980,"Primary International","Specialty Bike Shop",2013,2013,1500000,"581-555-0189",36,150000,"One Equinox Way","Sunrise","US","United States","33322","Florida","FL",,"Touring","A",5,"United States","North America","Southeast",80
"Riverside Company",1982,"Primary Bank & Reserve","Specialty Bike Shop",2012,2013,1500000,"268-555-0184",33,150000,"5998 E Lorain","Oberlin","US","United States","44074","Ohio","OH",,"Road","A",5,"United States","North America","Northeast",89
"Unified Sports Company",2002,"International Bank","Warehouse",2011,2013,3000000,"296-555-0171",98,300000,"9876 Fruitville Rd","Sarasota","US","United States","34236","Florida","FL",,"Mountain","Q",5,"United States","North America","Southeast",99
"Security Racks and Locks Wholesalers",1984,"Primary International","Warehouse",2012,2013,1500000,"699-555-0183",43,150000,"910 Main Street.","Sparks","US","United States","89431","Nevada","NV",,"Mountain","Q",5,"United States","North America","Northwest",115
"Eighth Bike Store",1979,"Primary Bank & Reserve","Value Added Reseller",2013,2013,800000,"785-555-0163",19,80000,"2500 N Serene Blvd 19th Floor","El Segundo","US","United States","90245","California","CA",,"Touring","S",5,"United States","North America","Southwest",131
"Budget Bike Company",2001,"International Bank","Value Added Reseller",2013,2013,800000,"238-555-0165",18,80000,"Tom Morris","Millington","US","United States","38054","Tennessee","TN",,"Road","S",5,"United States","North America","Southeast",134
"Lots of Bikes Storehouse",1994,"International Bank","Warehouse",2011,2013,3000000,"494-555-0134",76,300000,"4255 East Lies Road","Carol Stream","US","United States","60188","Illinois","IL",,"Mountain","Q",5,"United States","North America","Central",148
"Farthermost Bike Shop",1991,"Guardian Bank","Value Added Reseller",2011,2013,300000,"156-555-0187",7,30000,"99000 S. Avalon Blvd. Suite 750","Carson","US","United States","90746","California","CA",,"Road","S",5,"United States","North America","Southwest",167
"Family Entertainment Center",1984,"Guardian Bank","Warehouse",2013,2013,3000000,"396-555-0139",89,300000,"25718 Se Sunnyside Rd","Clackamas","US","United States","97015-6403","Oregon","OR",,"Touring","Q",5,"United States","North America","Northwest",181
"Authorized Bike Sales and Rental",1984,"Primary International","Warehouse",2013,2013,3000000,"947-555-0143",95,300000,"490 Ne 4th St","Renton","US","United States","98055","Washington","WA",,"Touring","Q",5,"United States","North America","Northwest",199
"Fashionable Department Stores",2002,"International Security","Warehouse",2012,2013,3000000,"618-555-0193",52,300000,"7505 Commercial Dr.","New Hartford","US","United States","13413","New York","NY",,"Mountain","Q",5,"United States","North America","Northeast",233
"Closeout Boutique",2003,"Primary Bank & Reserve","Warehouse",2012,2013,3000000,"173-555-0151",55,300000,"1050 Oak Street","Seattle","US","United States","98104","Washington","WA",,"Mountain","Q",5,"United States","North America","Northwest",236
"Client Discount Store",2004,"Guardian Bank","Value Added Reseller",2012,2013,1000000,"658-555-0146",20,100000,"Noah Lane","Chicago","US","United States","60610","Illinois","IL",,"Mountain","S",5,"United States","North America","Central",237
"Swift Cycles",1995,"Primary International","Value Added Reseller",2011,2013,800000,"184-555-0187",14,80000,"25500 Old Spanish Trail","Houston","US","United States","77003","Texas","TX",,"Road","S",5,"United States","North America","Southwest",255
"Quantity Discounts",2000,"Guardian Bank","Value Added Reseller",2012,2013,800000,"767-555-0193",13,80000,"Natomas Marketplace","Sacramento","US","United States","95814","California","CA",,"Road","S",5,"United States","North America","Southwest",258
"Highway Bike Shop",1993,"Reserve Security","Specialty Bike Shop",2011,2013,1500000,"199-555-0135",49,150000,"Simi @ The Plaza","Simi Valley","US","United States","93065","California","CA",,"Road","A",5,"United States","North America","Southwest",259
"Industrial Supplies",1999,"International Bank","Warehouse",2013,2013,3000000,"471-555-0181",79,300000,"825 Coral Way","Miami","US","United States","33127","Florida","FL",,"Touring","Q",5,"United States","North America","Southeast",260
"Active Transport Inc.",1994,"United Security","Value Added Reseller",2011,2013,300000,"526-555-0155",9,30000,"225200 Miles Ave.","North Randall","US","United States","44128","Ohio","OH",,"Road","S",5,"United States","North America","Northeast",270
"Handy Bike Services",1979,"Reserve Security","Warehouse",2011,2013,3000000,"859-555-0173",88,300000,"399700 John R. Rd.","Madison Heights","US","United States","48071","Michigan","MI",,"Mountain","Q",5,"United States","North America","Central",287
"Moderately-Priced Bikes Store",1978,"International Security","Specialty Bike Shop",2011,2013,1500000,"763-555-0145",39,150000,"67 Rainer Ave S","Renton","US","United States","98055","Washington","WA",,"Mountain","A",5,"United States","North America","Northwest",289
"Extreme Toy Store",1981,"International Security","Warehouse",2012,2013,3000000,"937-555-0136",91,300000,"7725 Luddington Lane","Birmingham","US","United States","35203","Alabama","AL",,"Mountain","Q",5,"United States","North America","Southeast",296
"Riding Associates",1982,"Guardian Bank","Specialty Bike Shop",2013,2013,1500000,"992-555-0134",33,150000,"2528 Meridian E","Puyallup","US","United States","98371","Washington","WA",,"Mountain","A",5,"United States","North America","Northwest",307
"The Gear Store",1986,"International Bank","Value Added Reseller",2011,2013,800000,"149-555-0113",14,80000,"2345 North Freeway","Houston","US","United States","77003","Texas","TX",,"Mountain","S",5,"United States","North America","Southwest",309
"Orange Bicycle Company",1988,"International Security","Specialty Bike Shop",2012,2013,1500000,"118-555-0184",32,150000,"123 W. Lake Ave.","Peoria","US","United States","61606","Illinois","IL",,"Road","A",5,"United States","North America","Central",310
"Metropolitan Manufacturing",1994,"Primary Bank & Reserve","Specialty Bike Shop",2011,2013,1500000,"140-555-0192",31,150000,"Parkway Plaza","El Cajon","US","United States","92020","California","CA",,"Road","A",5,"United States","North America","Southwest",313
"Mail-Order Outlet",2004,"Reserve Security","Value Added Reseller",2012,2013,800000,"490-555-0132",17,80000,"409 S. Main Ste. 25","Ellensburg","US","United States","98926","Washington","WA",,"Road","S",5,"United States","North America","Northwest",343
"Bold Bike Accessories",2003,"Primary Bank & Reserve","Warehouse",2011,2013,3000000,"855-555-0174",58,300000,"Rocky Mountain Pines Outlet","Loveland","US","United States","80537","Colorado","CO",,"Mountain","Q",5,"United States","North America","Central",348
"Mechanical Sports Center",1999,"International Security","Specialty Bike Shop",2012,2013,1500000,"377-555-0158",40,150000,"6225 Glenway Ave.","Cincinnati","US","United States","45202","Ohio","OH",,"Road","A",5,"United States","North America","Northeast",359
"Immense Manufacturing Company",2002,"Guardian Bank","Warehouse",2013,2013,3000000,"556-555-0145",73,300000,"70 N.W. Plaza","Saint Ann","US","United States","63074","Missouri","MO",,"Touring","Q",5,"United States","North America","Central",363
"Grand Sport Boutique",1995,"Guardian Bank","Specialty Bike Shop",2012,2013,1500000,"941-555-0155",46,150000,"99800 Tittabawasee Rd.","Saginaw","US","United States","48601","Michigan","MI",,"Road","A",5,"United States","North America","Central",377
"Bicycle Lines Distributors",1993,"Primary International","Warehouse",2012,2013,3000000,"145-555-0194",83,300000,"6996 South Lindbergh","Saint Louis","US","United States","63103","Missouri","MO",,"Mountain","Q",5,"United States","North America","Central",381
"Sturdy Toys",1991,"Reserve Security","Value Added Reseller",2011,2013,300000,"330-555-0116",7,30000,"Pacific West Outlet","Gilroy","US","United States","95020","California","CA",,"Mountain","S",5,"United States","North America","Southwest",385
"Executive Gift Store",1979,"United Security","Warehouse",2012,2013,3000000,"214-555-0170",88,300000,"New Castle Plaza","New Castle","US","United States","47362","Indiana","IN",,"Mountain","Q",5,"United States","North America","Northeast",396
"Big Cycle Mall",1984,"Reserve Security","Warehouse",2013,2013,3000000,"588-555-0128",89,300000,"9500b E. Central Texas Expressway","Killeen","US","United States","76541","Texas","TX",,"Touring","Q",5,"United States","North America","Southwest",399
"Brightwork Company",1983,"International Security","Specialty Bike Shop",2011,2013,1500000,"883-555-0177",38,150000,"Belz Factory Outlet","Las Vegas","US","United States","89106","Nevada","NV",,"Mountain","A",5,"United States","North America","Northwest",401
"Super Sports Store",2003,"Primary Bank & Reserve","Warehouse",2011,2013,3000000,"186-555-0135",100,300000,"Washington Square Ii","Indianapolis","US","United States","46204","Indiana","IN",,"Road","Q",5,"United States","North America","Northeast",432
"Satin Finish Company",1983,"International Bank","Warehouse",2012,2013,3000000,"847-555-0151",66,300000,"25220 Airline Road","Corpus Christi","US","United States","78404","Texas","TX",,"Mountain","Q",5,"United States","North America","Southwest",435
"Sheet Metal Manufacturing",2001,"International Security","Value Added Reseller",2012,2013,800000,"145-555-0152",17,80000,"25306 Harvey Rd.","College Station","US","United States","77840","Texas","TX",,"Road","S",5,"United States","North America","Southwest",436
"Leading Bike Distributors",1982,"Reserve Security","Specialty Bike Shop",2013,2013,800000,"500-555-0134",13,80000,"Grand Central Place","Somerset","US","United States","42501","Kentucky","KY",,"Road","A",5,"United States","North America","Southeast",441
"Noiseless Gear Company",2000,"Reserve Security","Value Added Reseller",2012,2013,800000,"165-555-0172",13,80000,"Peachtree Mall","Columbus","US","United States","31901","Georgia","GA",,"Mountain","S",5,"United States","North America","Southeast",476
"Small Bike Accessories Shop",1976,"United Security","Specialty Bike Shop",2013,2013,1500000,"962-555-0139",34,150000,"Consumer Square","Cheektowaga","US","United States","14227","New York","NY",,"Touring","A",5,"United States","North America","Northeast",522
"Fun Times Club",1986,"International Security","Value Added Reseller",2011,2013,800000,"847-555-0184",14,80000,"8525 South Parker Road","Parker","US","United States","80138","Colorado","CO",,"Road","S",5,"United States","North America","Central",527
