Listening Device PK,Listening Device Name,Client Device PK,Client Device Name,Listening Device Service Level,Client Device Service Level,Is Dev/Prod Mismatch
"10432","WINDOWS-BBAOSIB","6234","winsupjump-2-238","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","13807","oracle-90119","Decommissioned","Production","Yes"
"10410","s4-tomcat-9067.device42.pvt","16032","Ian_Aaron_RC","Decommissioned","Production","Yes"
"10440","winmem4096","10417","win-90317","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","16309","LPAR1 -1","Decommissioned","Production","Yes"
"10406","s5-apache-9064.device42.pvt","16644","d42-rc.localdomain","Decommissioned","Production","Yes"
"10440","winmem4096","14555","Freshworks-WDS","Decommissioned","Production","Yes"
"10411","s9-firefox-9069.device42.pvt","16032","Ian_Aaron_RC","Decommissioned","Production","Yes"
"10407","s2-tomcat-9063.device42.pvt","16032","Ian_Aaron_RC","Decommissioned","Production","Yes"
"10457","winmem8129","6234","winsupjump-2-238","Decommissioned","Production","Yes"
"10425","WINDOWS-GHNRR1J","13838","Prod-Demo-WDS","Decommissioned","Production","Yes"
"10447","winmem16384","13838","Prod-Demo-WDS","Decommissioned","Production","Yes"
"10387","VMWARE-56 4D 5A 4B FF 5C 1A 97-2C B3 95 16 72 23 66 7E","16773","Dino_Release_Machine","Decommissioned","Production","Yes"
"10407","s2-tomcat-9063.device42.pvt","14554","Freshworks-RC","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","14480","LPAR1","Decommissioned","Production","Yes"
"10399","peter-ubu1604-90615.device42.pvt","13854","trial-demo-rc","Decommissioned","Production","Yes"
"10423","WINDOWS-M3AQVSI","13838","Prod-Demo-WDS","Decommissioned","Production","Yes"
"10440","winmem4096","6234","winsupjump-2-238","Decommissioned","Production","Yes"
"10403","peter-ubu1804-90614.device42.pvt","16032","Ian_Aaron_RC","Decommissioned","Production","Yes"
"10403","peter-ubu1804-90614.device42.pvt","16773","Dino_Release_Machine","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","6559","w08-mssql-2-216","Decommissioned","Production","Yes"
"10425","WINDOWS-GHNRR1J","13700","AzureMigrateApp - Test","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","10384","peter-centos7-90616.device42.pvt","Decommissioned","Production","Yes"
"10432","WINDOWS-BBAOSIB","13838","Prod-Demo-WDS","Decommissioned","Production","Yes"
"10402","s7-firefox-90610.device42.pvt","14554","Freshworks-RC","Decommissioned","Production","Yes"
"10387","VMWARE-56 4D 5A 4B FF 5C 1A 97-2C B3 95 16 72 23 66 7E","13854","trial-demo-rc","Decommissioned","Production","Yes"
"10411","s9-firefox-9069.device42.pvt","16773","Dino_Release_Machine","Decommissioned","Production","Yes"
"10457","winmem8129","13838","Prod-Demo-WDS","Decommissioned","Production","Yes"
"10406","s5-apache-9064.device42.pvt","16032","Ian_Aaron_RC","Decommissioned","Production","Yes"
"10448","winmem32768","13838","Prod-Demo-WDS","Decommissioned","Production","Yes"
"10410","s4-tomcat-9067.device42.pvt","10461","WINDOWS-HBQPU94","Decommissioned","Production","Yes"
"10408","s6-apache-9068.device42.pvt","16032","Ian_Aaron_RC","Decommissioned","Production","Yes"
"10387","VMWARE-56 4D 5A 4B FF 5C 1A 97-2C B3 95 16 72 23 66 7E","10389","qa-ubujen-90-4-18","Decommissioned","Production","Yes"
"10447","winmem16384","14555","Freshworks-WDS","Decommissioned","Production","Yes"
"10457","winmem8129","16269","WINDOWS-KMG8M4J","Decommissioned","Production","Yes"
"10448","winmem32768","14555","Freshworks-WDS","Decommissioned","Production","Yes"
"10447","winmem16384","13700","AzureMigrateApp - Test","Decommissioned","Production","Yes"
"10448","winmem32768","16269","WINDOWS-KMG8M4J","Decommissioned","Production","Yes"
"10457","winmem8129","9116","WIN-V1BGG39U9C1.forest1.pvt","Decommissioned","Production","Yes"
"10408","s6-apache-9068.device42.pvt","16644","d42-rc.localdomain","Decommissioned","Production","Yes"
"10387","VMWARE-56 4D 5A 4B FF 5C 1A 97-2C B3 95 16 72 23 66 7E","16032","Ian_Aaron_RC","Decommissioned","Production","Yes"
"10448","winmem32768","6234","winsupjump-2-238","Decommissioned","Production","Yes"
"10399","peter-ubu1604-90615.device42.pvt","14125","SA-RHEL4-1","Decommissioned","Production","Yes"
"10454","qa-wds-90-3-26","10417","win-90317","Decommissioned","Production","Yes"
"10453","winmem512","14555","Freshworks-WDS","Decommissioned","Production","Yes"
"10457","winmem8129","10417","win-90317","Decommissioned","Production","Yes"
"10454","qa-wds-90-3-26","13700","AzureMigrateApp - Test","Decommissioned","Production","Yes"
"10411","s9-firefox-9069.device42.pvt","16644","d42-rc.localdomain","Decommissioned","Production","Yes"
"10404","s8-firefox-9065.device42.pvt","16032","Ian_Aaron_RC","Decommissioned","Production","Yes"
"10432","WINDOWS-BBAOSIB","13700","AzureMigrateApp - Test","Decommissioned","Production","Yes"
"10407","s2-tomcat-9063.device42.pvt","16644","d42-rc.localdomain","Decommissioned","Production","Yes"
"10440","winmem4096","13838","Prod-Demo-WDS","Decommissioned","Production","Yes"
"10423","WINDOWS-M3AQVSI","10417","win-90317","Decommissioned","Production","Yes"
"10406","s5-apache-9064.device42.pvt","16938","s8-firefox-9065","Decommissioned","Production","Yes"
"10407","s2-tomcat-9063.device42.pvt","16773","Dino_Release_Machine","Decommissioned","Production","Yes"
"10406","s5-apache-9064.device42.pvt","13854","trial-demo-rc","Decommissioned","Production","Yes"
"10423","WINDOWS-M3AQVSI","9116","WIN-V1BGG39U9C1.forest1.pvt","Decommissioned","Production","Yes"
"10440","winmem4096","16269","WINDOWS-KMG8M4J","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","5572","ubuntu-1404-001.device42.pvt","Decommissioned","Production","Yes"
"10457","winmem8129","14555","Freshworks-WDS","Decommissioned","Production","Yes"
"10448","winmem32768","9116","WIN-V1BGG39U9C1.forest1.pvt","Decommissioned","Production","Yes"
"10410","s4-tomcat-9067.device42.pvt","10042","dlasecki-MacBook-Pro","Decommissioned","Production","Yes"
"10403","peter-ubu1804-90614.device42.pvt","16429","D42-16-20-Brugge","Decommissioned","Production","Yes"
"10423","WINDOWS-M3AQVSI","13700","AzureMigrateApp - Test","Decommissioned","Production","Yes"
"10399","peter-ubu1604-90615.device42.pvt","16644","d42-rc.localdomain","Decommissioned","Production","Yes"
"10453","winmem512","10417","win-90317","Decommissioned","Production","Yes"
"10399","peter-ubu1604-90615.device42.pvt","14554","Freshworks-RC","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","16613","B706DF1X -2","Decommissioned","Production","Yes"
"10448","winmem32768","13700","AzureMigrateApp - Test","Decommissioned","Production","Yes"
"10423","WINDOWS-M3AQVSI","10422","WIN-FRO8KPDMMK0","Decommissioned","Production","Yes"
"10403","peter-ubu1804-90614.device42.pvt","14554","Freshworks-RC","Decommissioned","Production","Yes"
"10403","peter-ubu1804-90614.device42.pvt","16644","d42-rc.localdomain","Decommissioned","Production","Yes"
"10453","winmem512","16269","WINDOWS-KMG8M4J","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","13348","ubu-f5db-14-4.device42.pvt","Decommissioned","Production","Yes"
"10425","WINDOWS-GHNRR1J","9116","WIN-V1BGG39U9C1.forest1.pvt","Decommissioned","Production","Yes"
"10411","s9-firefox-9069.device42.pvt","13854","trial-demo-rc","Decommissioned","Production","Yes"
"10410","s4-tomcat-9067.device42.pvt","16644","d42-rc.localdomain","Decommissioned","Production","Yes"
"10402","s7-firefox-90610.device42.pvt","16032","Ian_Aaron_RC","Decommissioned","Production","Yes"
"10409","s3-tomcat-9066.device42.pvt","14554","Freshworks-RC","Decommissioned","Production","Yes"
"10409","s3-tomcat-9066.device42.pvt","16773","Dino_Release_Machine","Decommissioned","Production","Yes"
"10410","s4-tomcat-9067.device42.pvt","14554","Freshworks-RC","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","16614","F706DF1X -6","Decommissioned","Production","Yes"
"10402","s7-firefox-90610.device42.pvt","13854","trial-demo-rc","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","13342","ubu-f5web1-3-26.device42.pvt","Decommissioned","Production","Yes"
"10440","winmem4096","13700","AzureMigrateApp - Test","Decommissioned","Production","Yes"
"10407","s2-tomcat-9063.device42.pvt","13854","trial-demo-rc","Decommissioned","Production","Yes"
"10404","s8-firefox-9065.device42.pvt","14554","Freshworks-RC","Decommissioned","Production","Yes"
"10408","s6-apache-9068.device42.pvt","13854","trial-demo-rc","Decommissioned","Production","Yes"
"10432","WINDOWS-BBAOSIB","9116","WIN-V1BGG39U9C1.forest1.pvt","Decommissioned","Production","Yes"
"10408","s6-apache-9068.device42.pvt","10459","s10-win-90611","Decommissioned","Production","Yes"
"10408","s6-apache-9068.device42.pvt","16773","Dino_Release_Machine","Decommissioned","Production","Yes"
"10410","s4-tomcat-9067.device42.pvt","16773","Dino_Release_Machine","Decommissioned","Production","Yes"
"10447","winmem16384","16269","WINDOWS-KMG8M4J","Decommissioned","Production","Yes"
"10447","winmem16384","10417","win-90317","Decommissioned","Production","Yes"
"10408","s6-apache-9068.device42.pvt","14165","s9-firefox-9069","Decommissioned","Production","Yes"
"10411","s9-firefox-9069.device42.pvt","14554","Freshworks-RC","Decommissioned","Production","Yes"
"10448","winmem32768","10417","win-90317","Decommissioned","Production","Yes"
"10399","peter-ubu1604-90615.device42.pvt","16773","Dino_Release_Machine","Decommissioned","Production","Yes"
"10440","winmem4096","9116","WIN-V1BGG39U9C1.forest1.pvt","Decommissioned","Production","Yes"
"10454","qa-wds-90-3-26","13838","Prod-Demo-WDS","Decommissioned","Production","Yes"
"10425","WINDOWS-GHNRR1J","6234","winsupjump-2-238","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","5555","debian-85-001.device42.pvt","Decommissioned","Production","Yes"
"10402","s7-firefox-90610.device42.pvt","16644","d42-rc.localdomain","Decommissioned","Production","Yes"
"10453","winmem512","13838","Prod-Demo-WDS","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","10382","autodisc-httpd","Decommissioned","Production","Yes"
"10402","s7-firefox-90610.device42.pvt","16773","Dino_Release_Machine","Decommissioned","Production","Yes"
"10406","s5-apache-9064.device42.pvt","16773","Dino_Release_Machine","Decommissioned","Production","Yes"
"10408","s6-apache-9068.device42.pvt","14554","Freshworks-RC","Decommissioned","Production","Yes"
"1154","fujitsu01","5564","zabbix-01","Decommissioned","Production","Yes"
"10457","winmem8129","13700","AzureMigrateApp - Test","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","10381","autodisc-tomcat","Decommissioned","Production","Yes"
"10447","winmem16384","6234","winsupjump-2-238","Decommissioned","Production","Yes"
"10409","s3-tomcat-9066.device42.pvt","13854","trial-demo-rc","Decommissioned","Production","Yes"
"10410","s4-tomcat-9067.device42.pvt","13854","trial-demo-rc","Decommissioned","Production","Yes"
"2904","pfsense.device42.pvt","5571","chef-001.device42.pvt","Decommissioned","Production","Yes"
"5592","autodisc-db","16773","Dino_Release_Machine","Missing","Production","Yes"
"10405","s1-mysql-9062.device42.pvt","16644","d42-rc.localdomain","Missing","Production","Yes"
"14168","pb-ma","6171","stackstorm-demo-01","Missing","Production","Yes"
"13303","D42-QRC","5590","freebsd-93-001","Missing","Production","Yes"
"13307","D42-QMainNew","6377","ansible-002.device42.pvt","Missing","Production","Yes"
"14168","pb-ma","6170","jira-demo-01","Missing","Production","Yes"
"13303","D42-QRC","5559","centos-68-001","Missing","Production","Yes"
"7564","jira-7-dev.device42.pvt","10076","D42-Demo-RC-OLD","Missing","Production","Yes"
"7564","jira-7-dev.device42.pvt","5620","snmpsim-001.device42.pvt","Missing","Production","Yes"
"5592","autodisc-db","14603","ubutest","Missing","Production","Yes"
"5592","autodisc-db","10076","D42-Demo-RC-OLD","Missing","Production","Yes"
"13624","MGMT02.riscure.com","10449","qa-wds-90-7-4","Missing","Production","Yes"
"5781","Win2008r2 Fibre HBA Passthrough","5564","zabbix-01","Missing","Production","Yes"
"16550","ICF Backup","5564","zabbix-01","Missing","Production","Yes"
"13307","D42-QMainNew","5566","centos-7-001","Missing","Production","Yes"
"7564","jira-7-dev.device42.pvt","16032","Ian_Aaron_RC","Missing","Production","Yes"
"13303","D42-QRC","4681","ubu-integration-004-2-236.device42.pvt","Missing","Production","Yes"
"10405","s1-mysql-9062.device42.pvt","13854","trial-demo-rc","Missing","Production","Yes"
"10405","s1-mysql-9062.device42.pvt","10076","D42-Demo-RC-OLD","Missing","Production","Yes"
"7564","jira-7-dev.device42.pvt","16644","d42-rc.localdomain","Missing","Production","Yes"
"10405","s1-mysql-9062.device42.pvt","5573","openvz-001.device42.pvt","Missing","Production","Yes"
"7564","jira-7-dev.device42.pvt","13854","trial-demo-rc","Missing","Production","Yes"
"13332","Demo-AIQ","5564","zabbix-01","Missing","Production","Yes"
"10405","s1-mysql-9062.device42.pvt","14163","s4-tomcat-9067","Missing","Production","Yes"
"850","nginx-prod-1","4681","ubu-integration-004-2-236.device42.pvt","Development","Production","Yes"
"14168","pb-ma","6377","ansible-002.device42.pvt","Missing","Production","Yes"
"13303","D42-QRC","6377","ansible-002.device42.pvt","Missing","Production","Yes"
"14168","pb-ma","4681","ubu-integration-004-2-236.device42.pvt","Missing","Production","Yes"
"10405","s1-mysql-9062.device42.pvt","10042","dlasecki-MacBook-Pro","Missing","Production","Yes"
"7564","jira-7-dev.device42.pvt","16773","Dino_Release_Machine","Missing","Production","Yes"
"13303","D42-QRC","5564","zabbix-01","Missing","Production","Yes"
"14168","pb-ma","5566","centos-7-001","Missing","Production","Yes"
"14168","pb-ma","5561","atlassian-001.device42.pvt","Missing","Production","Yes"
"10405","s1-mysql-9062.device42.pvt","16773","Dino_Release_Machine","Missing","Production","Yes"
"10405","s1-mysql-9062.device42.pvt","16032","Ian_Aaron_RC","Missing","Production","Yes"
"13307","D42-QMainNew","16963","DESKTOP-O3PKA99","Missing","Production","Yes"
"9107","W2K8R2-DC-002.device42.pvt","5564","zabbix-01","Missing","Production","Yes"
"5592","autodisc-db","5564","zabbix-01","Missing","Production","Yes"
"13268","autodisc-db.device42.pvt","14603","ubutest","Missing","Production","Yes"
"7564","jira-7-dev.device42.pvt","13667","sa-saas-RC","Missing","Production","Yes"
"10405","s1-mysql-9062.device42.pvt","14554","Freshworks-RC","Missing","Production","Yes"
"14168","pb-ma","5573","openvz-001.device42.pvt","Missing","Production","Yes"
"10405","s1-mysql-9062.device42.pvt","14159","s3-tomcat-9066","Missing","Production","Yes"
"5567","rundeck-001","13668","MW-MA","Production","Missing","Yes"
"5561","atlassian-001.device42.pvt","14168","pb-ma","Production","Missing","Yes"
"5618","hadoop-001.device42.pvt","14168","pb-ma","Production","Missing","Yes"
"10421","WINDOWS-DDRLG6H","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"13854","trial-demo-rc","7564","jira-7-dev.device42.pvt","Production","Missing","Yes"
"10446","WINDOWS-PAI8CGR","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"5564","zabbix-01","13303","D42-QRC","Production","Missing","Yes"
"10382","autodisc-httpd","14168","pb-ma","Production","Missing","Yes"
"10451","WINDOWS-0HTVJ53","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"10415","WINDOWS-S09MSCU","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"10437","WINDOWS-T8E8AKI","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"6170","jira-demo-01","14168","pb-ma","Production","Missing","Yes"
"5572","ubuntu-1404-001.device42.pvt","13668","MW-MA","Production","Missing","Yes"
"10426","WINDOWS-8D4TIPT","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"10436","WINDOWS-BTC600H","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"5571","chef-001.device42.pvt","13668","MW-MA","Production","Missing","Yes"
"16773","Dino_Release_Machine","10405","s1-mysql-9062.device42.pvt","Production","Missing","Yes"
"5590","freebsd-93-001","13303","D42-QRC","Production","Missing","Yes"
"10430","qa-wds-90415","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"10076","D42-Demo-RC-OLD","5592","autodisc-db","Production","Missing","Yes"
"13660","oracle-lxc","13668","MW-MA","Production","Missing","Yes"
"14137","oracle-90117","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"6377","ansible-002.device42.pvt","7564","jira-7-dev.device42.pvt","Production","Missing","Yes"
"5590","freebsd-93-001","14168","pb-ma","Production","Missing","Yes"
"13660","oracle-lxc","14168","pb-ma","Production","Missing","Yes"
"10435","WINDOWS-1MQJ0GV","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"4681","ubu-integration-004-2-236.device42.pvt","13668","MW-MA","Production","Missing","Yes"
"10417","win-90317","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"10444","win-90313","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"5590","freebsd-93-001","13668","MW-MA","Production","Missing","Yes"
"10414","WINDOWS-S5H7MOG","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"6459","freebsd-103-001.device42.pvt","14168","pb-ma","Production","Missing","Yes"
"5572","ubuntu-1404-001.device42.pvt","14168","pb-ma","Production","Missing","Yes"
"5566","centos-7-001","14168","pb-ma","Production","Missing","Yes"
"10431","qa-wds-90-10-21","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"10442","WINDOWS-GGPARR3.d42-laps.local","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"13660","oracle-lxc","13303","D42-QRC","Production","Missing","Yes"
"5573","openvz-001.device42.pvt","14168","pb-ma","Production","Missing","Yes"
"14135","oracle-90116","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"6170","jira-demo-01","13668","MW-MA","Production","Missing","Yes"
"8146","anatolii-psql-001","13668","MW-MA","Production","Missing","Yes"
"5627","racktables-001.device42.pvt","13668","MW-MA","Production","Missing","Yes"
"7340","stackstorm-001.device42.pvt","13668","MW-MA","Production","Missing","Yes"
"6459","freebsd-103-001.device42.pvt","13668","MW-MA","Production","Missing","Yes"
"6170","jira-demo-01","13303","D42-QRC","Production","Missing","Yes"
"10420","WINDOWS-HVBKOST","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"10443","WINDOWS-L4OHEEV","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"6377","ansible-002.device42.pvt","14168","pb-ma","Production","Missing","Yes"
"14482","ubu-integration-002-2-234.device42.pvt","14168","pb-ma","Production","Missing","Yes"
"5573","openvz-001.device42.pvt","13303","D42-QRC","Production","Missing","Yes"
"10419","WINDOWS-5ELAB85.d42-laps.local","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"10413","WINDOWS-IQOLR68","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"4681","ubu-integration-004-2-236.device42.pvt","13303","D42-QRC","Production","Missing","Yes"
"5571","chef-001.device42.pvt","14168","pb-ma","Production","Missing","Yes"
"10461","WINDOWS-HBQPU94","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"5564","zabbix-01","14168","pb-ma","Production","Missing","Yes"
"6171","stackstorm-demo-01","14168","pb-ma","Production","Missing","Yes"
"6377","ansible-002.device42.pvt","13303","D42-QRC","Production","Missing","Yes"
"10462","WINDOWS-F60SK52","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"10441","WINDOWS-N17BUTE","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"5558","website-testing-001","13668","MW-MA","Production","Missing","Yes"
"5573","openvz-001.device42.pvt","13668","MW-MA","Production","Missing","Yes"
"14603","ubutest","5592","autodisc-db","Production","Missing","Yes"
"14139","oracle-90115","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"10076","D42-Demo-RC-OLD","7564","jira-7-dev.device42.pvt","Production","Missing","Yes"
"4681","ubu-integration-004-2-236.device42.pvt","14168","pb-ma","Production","Missing","Yes"
"10439","WINDOWS-1VSVGHC","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"10449","qa-wds-90-7-4","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"10427","WINDOWS-OQE17VG","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"16773","Dino_Release_Machine","7564","jira-7-dev.device42.pvt","Production","Missing","Yes"
"10450","WINDOWS-22OJ6UQ","9107","W2K8R2-DC-002.device42.pvt","Production","Missing","Yes"
"10426","WINDOWS-8D4TIPT","10098","Ian Laptop","Production","Reserved","Yes"
"5553","debian-711-001.device42.pvt","10098","Ian Laptop","Production","Reserved","Yes"
"5568","oracle-7-001","10098","Ian Laptop","Production","Reserved","Yes"
"10390","localhost.localdomain","10403","peter-ubu1804-90614.device42.pvt","Production","Decommissioned","Yes"
"16773","Dino_Release_Machine","10402","s7-firefox-90610.device42.pvt","Production","Decommissioned","Yes"
"14163","s4-tomcat-9067","10402","s7-firefox-90610.device42.pvt","Production","Decommissioned","Yes"
"16773","Dino_Release_Machine","10399","peter-ubu1604-90615.device42.pvt","Production","Decommissioned","Yes"
"10394","chef-90-2-5","10410","s4-tomcat-9067.device42.pvt","Production","Decommissioned","Yes"
"14159","s3-tomcat-9066","10408","s6-apache-9068.device42.pvt","Production","Decommissioned","Yes"
"10394","chef-90-2-5","10407","s2-tomcat-9063.device42.pvt","Production","Decommissioned","Yes"
"16042","s5-apache-9064","10404","s8-firefox-9065.device42.pvt","Production","Decommissioned","Yes"
"16773","Dino_Release_Machine","10404","s8-firefox-9065.device42.pvt","Production","Decommissioned","Yes"
"13314","chef-server-001","10399","peter-ubu1604-90615.device42.pvt","Production","Decommissioned","Yes"
"10449","qa-wds-90-7-4","850","nginx-prod-1","Production","Development","Yes"
"16773","Dino_Release_Machine","10411","s9-firefox-9069.device42.pvt","Production","Decommissioned","Yes"
"16773","Dino_Release_Machine","10387","VMWARE-56 4D 5A 4B FF 5C 1A 97-2C B3 95 16 72 23 66 7E","Production","Decommissioned","Yes"
"16429","D42-16-20-Brugge","10403","peter-ubu1804-90614.device42.pvt","Production","Decommissioned","Yes"
"9972","soaxp419.cloud2.siteox.com","2904","pfsense.device42.pvt","Production","Decommissioned","Yes"
"10415","WINDOWS-S09MSCU","10098","Ian Laptop","Production","Reserved","Yes"
"9255","vztest-ubuntu16","10098","Ian Laptop","Production","Reserved","Yes"
"10394","chef-90-2-5","10404","s8-firefox-9065.device42.pvt","Production","Decommissioned","Yes"
"14475","soaxp437.cloud2.siteox.com","2904","pfsense.device42.pvt","Production","Decommissioned","Yes"
"16773","Dino_Release_Machine","10406","s5-apache-9064.device42.pvt","Production","Decommissioned","Yes"
"5578","hp-ux-01.device42.pvt","10098","Ian Laptop","Production","Reserved","Yes"
"10461","WINDOWS-HBQPU94","850","nginx-prod-1","Production","Development","Yes"
"10444","win-90313","10098","Ian Laptop","Production","Reserved","Yes"
"16672","LAPR1","2904","pfsense.device42.pvt","Production","Decommissioned","Yes"
"14480","LPAR1","2904","pfsense.device42.pvt","Production","Decommissioned","Yes"
"10462","WINDOWS-F60SK52","10098","Ian Laptop","Production","Reserved","Yes"
"16773","Dino_Release_Machine","10409","s3-tomcat-9066.device42.pvt","Production","Decommissioned","Yes"
"10419","WINDOWS-5ELAB85.d42-laps.local","10098","Ian Laptop","Production","Reserved","Yes"
"16773","Dino_Release_Machine","10410","s4-tomcat-9067.device42.pvt","Production","Decommissioned","Yes"
"14159","s3-tomcat-9066","10402","s7-firefox-90610.device42.pvt","Production","Decommissioned","Yes"
"16773","Dino_Release_Machine","10407","s2-tomcat-9063.device42.pvt","Production","Decommissioned","Yes"
"10417","win-90317","10098","Ian Laptop","Production","Reserved","Yes"
"15526","0d116a939a31","10387","VMWARE-56 4D 5A 4B FF 5C 1A 97-2C B3 95 16 72 23 66 7E","Production","Decommissioned","Yes"
"16773","Dino_Release_Machine","10403","peter-ubu1804-90614.device42.pvt","Production","Decommissioned","Yes"
"14125","SA-RHEL4-1","10403","peter-ubu1804-90614.device42.pvt","Production","Decommissioned","Yes"
"10443","WINDOWS-L4OHEEV","10098","Ian Laptop","Production","Reserved","Yes"
"5555","debian-85-001.device42.pvt","850","nginx-prod-1","Production","Development","Yes"
"10459","s10-win-90611","850","nginx-prod-1","Production","Development","Yes"
"13288","WIN-EH34UTM38J1","10406","s5-apache-9064.device42.pvt","Production","Decommissioned","Yes"
"15528","9d2c2316ca69","10387","VMWARE-56 4D 5A 4B FF 5C 1A 97-2C B3 95 16 72 23 66 7E","Production","Decommissioned","Yes"
"14603","ubutest","10406","s5-apache-9064.device42.pvt","Production","Decommissioned","Yes"
"16773","Dino_Release_Machine","10408","s6-apache-9068.device42.pvt","Production","Decommissioned","Yes"
"14125","SA-RHEL4-1","10399","peter-ubu1604-90615.device42.pvt","Production","Decommissioned","Yes"
"10445","WINDOWS-RRUPGJM","10098","Ian Laptop","Production","Reserved","Yes"
"15565","1cb78307de1d","10387","VMWARE-56 4D 5A 4B FF 5C 1A 97-2C B3 95 16 72 23 66 7E","Production","Decommissioned","Yes"
"10395","terraform-9027","10098","Ian Laptop","Production","Reserved","Yes"
"15536","ce7a608cd92d","10387","VMWARE-56 4D 5A 4B FF 5C 1A 97-2C B3 95 16 72 23 66 7E","Production","Decommissioned","Yes"
"13712","WINSANTEST","10098","Ian Laptop","Production","Reserved","Yes"
