DATEKEY,YEAR,QUARTER,MONTH,UNIQUE_CARRIER,ORIGIN,DEST,PASSENGERS,FREIGHT_KG,MAIL_COUNT,DISTANCE_KM,FLIGHTCOUNT
2019-01-31 00:00:00.000,2019,1,1,"UA","BUF","PVR",0,0,0,2170,1
2019-12-31 00:00:00.000,2019,4,12,"UA","BUR","PVR",0,0,0,1228,1
2019-10-31 00:00:00.000,2019,4,10,"UA","GUA","STL",0,0,0,1664,1
2019-04-30 00:00:00.000,2019,2,4,"UA","HNL","AKL",0,0,0,4388,1
2019-01-31 00:00:00.000,2019,1,1,"UA","DTW","BZE",0,0,0,1724,1
2019-02-28 00:00:00.000,2019,1,2,"UA","DTW","GCM",0,0,0,1583,1
2019-02-28 00:00:00.000,2019,1,2,"UA","EWR","ATH",0,0,0,4956,1
2019-07-31 00:00:00.000,2019,3,7,"UA","EWR","FAO",0,0,0,3494,1
2019-06-30 00:00:00.000,2019,2,6,"UA","BZE","AUS",0,0,0,1052,1
2019-06-30 00:00:00.000,2019,2,6,"UA","CDG","BOS",0,0,0,3449,1
2019-03-31 00:00:00.000,2019,1,3,"UA","CLE","MEX",0,0,0,1822,1
2019-12-31 00:00:00.000,2019,4,12,"UA","CLT","GUA",0,0,0,1540,1
2019-06-30 00:00:00.000,2019,2,6,"UA","CUN","ABE",0,0,0,1509,1
2019-01-31 00:00:00.000,2019,1,1,"UA","CUN","MSN",0,0,0,1529,1
2019-05-31 00:00:00.000,2019,2,5,"UA","CZM","AUS",0,0,0,945,1
2019-03-31 00:00:00.000,2019,1,3,"UA","CZM","RNO",0,0,0,2342,1
2019-02-28 00:00:00.000,2019,1,2,"UA","DCA","CUN",0,0,0,1359,1
2019-06-30 00:00:00.000,2019,2,6,"UA","IAD","MID",0,0,0,1437,1
2019-12-31 00:00:00.000,2019,4,12,"UA","IAD","PMW",0,0,0,3866,1
2019-10-31 00:00:00.000,2019,4,10,"UA","IAH","DUB",0,0,0,4557,1
2019-05-31 00:00:00.000,2019,2,5,"UA","EWR","MVD",0,0,0,5323,1
2019-11-30 00:00:00.000,2019,4,11,"UA","EWR","PIK",0,0,0,3228,1
2019-01-31 00:00:00.000,2019,1,1,"UA","IAH","GYE",0,0,0,2435,1
2019-01-31 00:00:00.000,2019,1,1,"UA","IAH","MLM",0,0,0,783,1
2019-11-30 00:00:00.000,2019,4,11,"UA","IAH","MZT",0,0,0,823,1
2019-07-31 00:00:00.000,2019,3,7,"UA","EWR","YQX",0,0,0,1114,1
2019-06-30 00:00:00.000,2019,2,6,"UA","DFW","YYZ",0,0,0,1199,1
2019-05-31 00:00:00.000,2019,2,5,"UA","DUB","BOS",0,0,0,2993,1
2019-04-30 00:00:00.000,2019,2,4,"UA","DUB","CLE",0,0,0,3466,1
2019-12-31 00:00:00.000,2019,4,12,"UA","ICN","HNL",0,0,0,4577,1
2019-03-31 00:00:00.000,2019,1,3,"UA","JAX","PVR",0,0,0,1614,1
2019-06-30 00:00:00.000,2019,2,6,"UA","KEF","BDL",0,0,0,2486,1
2019-10-31 00:00:00.000,2019,4,10,"UA","LAS","SAL",0,0,0,2248,1
2019-06-30 00:00:00.000,2019,2,6,"UA","EWR","YQX",0,0,0,1114,1
2019-04-30 00:00:00.000,2019,2,4,"UA","EZE","BDL",0,0,0,5357,1
2019-01-31 00:00:00.000,2019,1,1,"UA","FRA","MKE",0,0,0,4297,1
2019-08-31 00:00:00.000,2019,3,8,"UA","GCM","BTV",0,0,0,1798,1
2019-12-31 00:00:00.000,2019,4,12,"UA","GCM","MSP",0,0,0,1891,1
2019-09-30 00:00:00.000,2019,3,9,"UA","GEG","YVR",0,0,0,282,1
2019-06-30 00:00:00.000,2019,2,6,"UA","GJT","YYZ",0,0,0,1526,1
2019-04-30 00:00:00.000,2019,2,4,"UA","GUA","DTW",0,0,0,1950,1
2019-12-31 00:00:00.000,2019,4,12,"UA","GUA","ORF",0,0,0,1772,1
2019-12-31 00:00:00.000,2019,4,12,"UA","GUA","SMF",0,0,0,2517,1
2019-03-31 00:00:00.000,2019,1,3,"UA","LHR","SYR",0,0,0,3441,1
2019-01-31 00:00:00.000,2019,1,1,"UA","LIR","RFD",0,0,0,2186,1
2019-06-30 00:00:00.000,2019,2,6,"UA","LIS","BGR",0,0,0,3041,1
2019-01-31 00:00:00.000,2019,1,1,"UA","MBJ","MCO",0,0,0,716,1
2019-09-30 00:00:00.000,2019,3,9,"UA","HNL","SIN",0,0,0,6711,1
2019-06-30 00:00:00.000,2019,2,6,"UA","FCO","IND",0,0,0,4854,1
2019-04-30 00:00:00.000,2019,2,4,"UA","FRA","CLE",0,0,0,4142,1
2019-05-31 00:00:00.000,2019,2,5,"UA","FRA","RDU",0,0,0,4278,1
2019-07-31 00:00:00.000,2019,3,7,"UA","FRA","RFD",0,0,0,4377,1
2019-12-31 00:00:00.000,2019,4,12,"UA","GCM","DTW",0,0,0,1583,1
2019-07-31 00:00:00.000,2019,3,7,"UA","GUA","SAT",0,0,0,1147,1
2019-06-30 00:00:00.000,2019,2,6,"UA","HKG","BOS",0,0,0,7968,1
2019-08-31 00:00:00.000,2019,3,8,"UA","HKG","SWF",0,0,0,8008,1
2019-12-31 00:00:00.000,2019,4,12,"UA","IAH","CLO",0,0,0,2202,1
2019-05-31 00:00:00.000,2019,2,5,"UA","AMS","MSY",0,0,0,4816,1
2019-06-30 00:00:00.000,2019,2,6,"UA","ATL","PVR",0,0,0,1557,1
2019-01-31 00:00:00.000,2019,1,1,"UA","AUA","PIT",0,0,0,2025,1
2019-01-31 00:00:00.000,2019,1,1,"UA","AUA","SFO",0,0,0,3651,1
2019-08-31 00:00:00.000,2019,3,8,"UA","AUS","YYZ",0,0,0,1359,1
2019-03-31 00:00:00.000,2019,1,3,"UA","BNA","MEX",0,0,0,1374,1
2019-10-31 00:00:00.000,2019,4,10,"UA","IAH","ROS",0,0,0,4881,1
2019-12-31 00:00:00.000,2019,4,12,"UA","IAD","DUB",0,0,0,3404,1
2019-12-31 00:00:00.000,2019,4,12,"UA","MBJ","SRQ",0,0,0,679,1
2019-02-28 00:00:00.000,2019,1,2,"UA","MCO","GDL",0,0,0,1486,1
2019-06-30 00:00:00.000,2019,2,6,"UA","MEM","PTY",0,0,0,1909,1
2019-10-31 00:00:00.000,2019,4,10,"UA","MEM","PTY",0,0,0,1909,1
2019-12-31 00:00:00.000,2019,4,12,"UA","MEX","SAT",0,0,0,696,1
2019-09-30 00:00:00.000,2019,3,9,"UA","MGA","SAT",0,0,0,1434,1
2019-09-30 00:00:00.000,2019,3,9,"UA","NAS","IAD",0,0,0,958,1
2019-11-30 00:00:00.000,2019,4,11,"UA","GCM","FLL",0,0,0,473,1
2019-12-31 00:00:00.000,2019,4,12,"UA","GCM","PHL",0,0,0,1464,1
2019-07-31 00:00:00.000,2019,3,7,"UA","GDL","OKC",0,0,0,1081,1
2019-09-30 00:00:00.000,2019,3,9,"UA","GRB","YYZ",0,0,0,426,1
2019-10-31 00:00:00.000,2019,4,10,"UA","BUF","PVR",0,0,0,2170,1
2019-01-31 00:00:00.000,2019,1,1,"UA","BZE","DEN",0,0,0,1824,1
2019-06-30 00:00:00.000,2019,2,6,"UA","CHS","NAS",0,0,0,563,1
2019-08-31 00:00:00.000,2019,3,8,"UA","CHS","NAS",0,0,0,563,1
2019-04-30 00:00:00.000,2019,2,4,"UA","CLT","GUA",0,0,0,1540,1
2019-05-31 00:00:00.000,2019,2,5,"UA","CLT","MBJ",0,0,0,1165,1
2019-01-31 00:00:00.000,2019,1,1,"UA","CLT","NAS",0,0,0,731,1
2019-06-30 00:00:00.000,2019,2,6,"UA","CUN","BWI",0,0,0,1388,1
2019-06-30 00:00:00.000,2019,2,6,"UA","CUN","COS",0,0,0,1619,1
2019-12-31 00:00:00.000,2019,4,12,"UA","JAC","GCM",0,0,0,2388,1
2019-11-30 00:00:00.000,2019,4,11,"UA","JAX","PVR",0,0,0,1614,1
2019-11-30 00:00:00.000,2019,4,11,"UA","LAP","SFO",0,0,0,1173,1
2019-03-31 00:00:00.000,2019,1,3,"UA","LGA","SJO",0,0,0,2212,1
2019-09-30 00:00:00.000,2019,3,9,"UA","LHR","AUS",0,0,0,4915,1
2019-02-28 00:00:00.000,2019,1,2,"UA","LHR","BGR",0,0,0,3078,1
2019-10-31 00:00:00.000,2019,4,10,"UA","LHR","BOS",0,0,0,3265,1
2019-03-31 00:00:00.000,2019,1,3,"UA","CUN","TUL",0,0,0,1177,1
2019-11-30 00:00:00.000,2019,4,11,"UA","DSM","PVR",0,0,0,1589,1
2019-12-31 00:00:00.000,2019,4,12,"UA","DTW","NAS",0,0,0,1230,1
2019-10-31 00:00:00.000,2019,4,10,"UA","DTW","PVR",0,0,0,1956,1
2019-11-30 00:00:00.000,2019,4,11,"UA","EWR","BDA",0,0,0,779,1
2019-11-30 00:00:00.000,2019,4,11,"UA","NAS","IAD",0,0,0,958,1
2019-06-30 00:00:00.000,2019,2,6,"UA","NAS","MDT",0,0,0,1045,1
2019-02-28 00:00:00.000,2019,1,2,"UA","NAS","PBI",0,0,0,199,1
2019-12-31 00:00:00.000,2019,4,12,"UA","NAS","SYR",0,0,0,1248,1
2019-08-31 00:00:00.000,2019,3,8,"UA","NRT","BWI",0,0,0,6760,1
2019-05-31 00:00:00.000,2019,2,5,"UA","LIS","MDT",0,0,0,3525,1
2019-06-30 00:00:00.000,2019,2,6,"UA","MAD","SWF",0,0,0,3580,1
2019-06-30 00:00:00.000,2019,2,6,"UA","MAF","GUA",0,0,0,1404,1
2019-02-28 00:00:00.000,2019,1,2,"UA","IAD","NAS",0,0,0,958,1
2019-02-28 00:00:00.000,2019,1,2,"UA","IND","NAS",0,0,0,1134,1
2019-02-28 00:00:00.000,2019,1,2,"UA","JAX","GUA",0,0,0,1231,1
2019-03-31 00:00:00.000,2019,1,3,"UA","KEF","EWR",0,0,0,2601,1
2019-02-28 00:00:00.000,2019,1,2,"UA","KEF","IAH",0,0,0,3863,1
2019-01-31 00:00:00.000,2019,1,1,"UA","LAX","MEX",0,0,0,1553,1
2019-07-31 00:00:00.000,2019,3,7,"UA","LHR","CLE",0,0,0,3744,1
2019-12-31 00:00:00.000,2019,4,12,"UA","MBJ","PHX",0,0,0,2343,1
2019-11-30 00:00:00.000,2019,4,11,"UA","MBJ","RSW",0,0,0,605,1
2019-06-30 00:00:00.000,2019,2,6,"UA","MCI","GDL",0,0,0,1391,1
2019-07-31 00:00:00.000,2019,3,7,"UA","MCO","MBJ",0,0,0,716,1
2019-03-31 00:00:00.000,2019,1,3,"UA","MDT","PVR",0,0,0,2151,1
2019-04-30 00:00:00.000,2019,2,4,"UA","MEX","AUS",0,0,0,746,1
2019-07-31 00:00:00.000,2019,3,7,"UA","MEX","BDL",0,0,0,2190,1
2019-05-31 00:00:00.000,2019,2,5,"UA","MEX","CRP",0,0,0,582,1
2019-06-30 00:00:00.000,2019,2,6,"UA","MIA","MBJ",0,0,0,524,1
2019-11-30 00:00:00.000,2019,4,11,"UA","MIA","NAS",0,0,0,184,1
2019-12-31 00:00:00.000,2019,4,12,"UA","MSP","PTY",0,0,0,2601,1
2019-05-31 00:00:00.000,2019,2,5,"UA","MUC","RDU",0,0,0,4459,1
2019-06-30 00:00:00.000,2019,2,6,"UA","MXP","SWF",0,0,0,3975,1
2019-03-31 00:00:00.000,2019,1,3,"UA","NAS","AUS",0,0,0,1287,1
2019-02-28 00:00:00.000,2019,1,2,"UA","NAS","DCA",0,0,0,952,1
2019-01-31 00:00:00.000,2019,1,1,"UA","LIR","PWM",0,0,0,2453,1
2019-01-31 00:00:00.000,2019,1,1,"UA","LIR","ROC",0,0,0,2289,1
2019-07-31 00:00:00.000,2019,3,7,"UA","MAD","CLE",0,0,0,3946,1
2019-07-31 00:00:00.000,2019,3,7,"UA","MBJ","IND",0,0,0,1545,1
2019-10-31 00:00:00.000,2019,4,10,"UA","MBJ","RSW",0,0,0,605,1
2019-12-31 00:00:00.000,2019,4,12,"UA","MBJ","TPA",0,0,0,715,1
2019-02-28 00:00:00.000,2019,1,2,"UA","MCO","MBJ",0,0,0,716,1
2019-01-31 00:00:00.000,2019,1,1,"UA","MDT","CUN",0,0,0,1448,1
2019-05-31 00:00:00.000,2019,2,5,"UA","MEX","AUS",0,0,0,746,1
2019-02-28 00:00:00.000,2019,1,2,"UA","ORF","PVR",0,0,0,2073,1
2019-12-31 00:00:00.000,2019,4,12,"UA","PBI","PVR",0,0,0,1644,1
2019-11-30 00:00:00.000,2019,4,11,"UA","PBI","YYZ",0,0,0,1172,1
2019-05-31 00:00:00.000,2019,2,5,"UA","PEK","CLE",0,0,0,6705,1
2019-07-31 00:00:00.000,2019,3,7,"UA","PEK","RFD",0,0,0,6545,1
2019-03-31 00:00:00.000,2019,1,3,"UA","PLS","TUL",0,0,0,1733,1
2019-07-31 00:00:00.000,2019,3,7,"UA","IAH","MVD",0,0,0,5142,1
2019-08-31 00:00:00.000,2019,3,8,"UA","PTY","CLE",0,0,0,2231,1
2019-10-31 00:00:00.000,2019,4,10,"UA","PTY","DTW",0,0,0,2294,1
2019-06-30 00:00:00.000,2019,2,6,"UA","PTY","MCO",0,0,0,1337,1
2019-07-31 00:00:00.000,2019,3,7,"UA","PVG","ANC",0,0,0,4308,1
2019-04-30 00:00:00.000,2019,2,4,"UA","PVR","BOS",0,0,0,2486,1
2019-11-30 00:00:00.000,2019,4,11,"UA","PVR","MDT",0,0,0,2151,1
2019-11-30 00:00:00.000,2019,4,11,"UA","PVR","TPA",0,0,0,1515,1
2019-11-30 00:00:00.000,2019,4,11,"UA","RDU","GCM",0,0,0,1153,1
2019-10-31 00:00:00.000,2019,4,10,"UA","RNO","SJD",0,0,0,1271,1
2019-05-31 00:00:00.000,2019,2,5,"UA","SAL","SAT",0,0,0,1261,1
2019-01-31 00:00:00.000,2019,1,1,"UA","NAS","LAX",0,0,0,2525,1
2019-12-31 00:00:00.000,2019,4,12,"UA","NAS","PHX",0,0,0,2154,1
2019-02-28 00:00:00.000,2019,1,2,"UA","NAS","RSW",0,0,0,286,1
2019-01-31 00:00:00.000,2019,1,1,"UA","NAS","SRQ",0,0,0,355,1
2019-11-30 00:00:00.000,2019,4,11,"UA","OMA","PVR",0,0,0,1523,1
2019-07-31 00:00:00.000,2019,3,7,"UA","SAL","SAT",0,0,0,1261,1
2019-11-30 00:00:00.000,2019,4,11,"UA","SAL","SYR",0,0,0,2184,1
2019-11-30 00:00:00.000,2019,4,11,"UA","SAP","CMH",0,0,0,1717,1
2019-10-31 00:00:00.000,2019,4,10,"UA","SAP","DTW",0,0,0,1863,1
2019-11-30 00:00:00.000,2019,4,11,"UA","SAT","GUA",0,0,0,1147,1
2019-07-31 00:00:00.000,2019,3,7,"UA","SBN","YVR",0,0,0,1845,1
2019-07-31 00:00:00.000,2019,3,7,"UA","SDQ","IAD",0,0,0,1489,1
2019-06-30 00:00:00.000,2019,2,6,"UA","SEA","YYZ",0,0,0,2061,1
2019-07-31 00:00:00.000,2019,3,7,"UA","MIA","PUJ",0,0,0,911,1
2019-11-30 00:00:00.000,2019,4,11,"UA","MIA","SAP",0,0,0,866,1
2019-03-31 00:00:00.000,2019,1,3,"UA","MIA","SJD",0,0,0,1859,1
2019-01-31 00:00:00.000,2019,1,1,"UA","MSP","YYZ",0,0,0,678,1
2019-02-28 00:00:00.000,2019,1,2,"UA","MSY","MEX",0,0,0,913,1
2019-05-31 00:00:00.000,2019,2,5,"UA","MUC","DTW",0,0,0,4347,1
2019-10-31 00:00:00.000,2019,4,10,"UA","NAS","DEN",0,0,0,1877,1
2019-12-31 00:00:00.000,2019,4,12,"UA","NAS","RSW",0,0,0,286,1
2019-05-31 00:00:00.000,2019,2,5,"UA","NRT","BOS",0,0,0,6701,1
2019-02-28 00:00:00.000,2019,1,2,"UA","EWR","YHZ",0,0,0,613,1
2019-06-30 00:00:00.000,2019,2,6,"UA","FCO","SWF",0,0,0,4260,1
2019-08-31 00:00:00.000,2019,3,8,"UA","FCO","SWF",0,0,0,4260,1
2019-08-31 00:00:00.000,2019,3,8,"UA","FRA","BDL",0,0,0,3756,1
2019-08-31 00:00:00.000,2019,3,8,"UA","FRA","CLE",0,0,0,4142,1
2019-10-31 00:00:00.000,2019,4,10,"UA","LHR","BGR",0,0,0,3078,1
2019-06-30 00:00:00.000,2019,2,6,"UA","LHR","BOS",0,0,0,3265,1
2019-12-31 00:00:00.000,2019,4,12,"UA","GCM","BOS",0,0,0,1701,1
2019-12-31 00:00:00.000,2019,4,12,"UA","GCM","FLL",0,0,0,473,1
2019-12-31 00:00:00.000,2019,4,12,"UA","GCM","LAX",0,0,0,2487,1
2019-08-31 00:00:00.000,2019,3,8,"UA","GDL","SAT",0,0,0,690,1
2019-11-30 00:00:00.000,2019,4,11,"UA","GRB","PVR",0,0,0,1912,1
2019-07-31 00:00:00.000,2019,3,7,"UA","GRU","MSY",0,0,0,4685,1
2019-01-31 00:00:00.000,2019,1,1,"UA","GUA","FLL",0,0,0,1037,1
2019-06-30 00:00:00.000,2019,2,6,"UA","SJD","MSP",0,0,0,1764,1
2019-10-31 00:00:00.000,2019,4,10,"UA","SJD","RDU",0,0,0,2047,1
2019-06-30 00:00:00.000,2019,2,6,"UA","SJU","EZE",0,0,0,3695,1
2019-01-31 00:00:00.000,2019,1,1,"UA","SLC","PVR",0,0,0,1441,1
2019-08-31 00:00:00.000,2019,3,8,"UA","ORD","MID",0,0,0,1453,1
2019-09-30 00:00:00.000,2019,3,9,"UA","ORD","PTY",0,0,0,2324,1
2019-10-31 00:00:00.000,2019,4,10,"UA","ORF","PTY",0,0,0,1925,1
2019-12-31 00:00:00.000,2019,4,12,"UA","PHX","MBJ",0,0,0,2343,1
2019-07-31 00:00:00.000,2019,3,7,"UA","POS","AUS",0,0,0,2696,1
2019-06-30 00:00:00.000,2019,2,6,"UA","PTY","AUS",0,0,0,1873,1
2019-06-30 00:00:00.000,2019,2,6,"UA","PTY","RSW",0,0,0,1211,1
2019-07-31 00:00:00.000,2019,3,7,"UA","PUJ","BWI",0,0,0,1504,1
2019-12-31 00:00:00.000,2019,4,12,"UA","PVR","CLE",0,0,0,1979,1
2019-02-28 00:00:00.000,2019,1,2,"UA","PVR","CVG",0,0,0,1760,1
2019-10-31 00:00:00.000,2019,4,10,"UA","PVR","IAD",0,0,0,2076,1
2019-01-31 00:00:00.000,2019,1,1,"UA","PVR","MCO",0,0,0,1595,1
2019-09-30 00:00:00.000,2019,3,9,"UA","LHR","PDX",0,0,0,4914,1
2019-07-31 00:00:00.000,2019,3,7,"UA","LIR","AUS",0,0,0,1558,1
2019-12-31 00:00:00.000,2019,4,12,"UA","LIR","CRP",0,0,0,1414,1
2019-03-31 00:00:00.000,2019,1,3,"UA","LIR","OMA",0,0,0,2206,1
2019-05-31 00:00:00.000,2019,2,5,"UA","LIS","DCA",0,0,0,3573,1
2019-05-31 00:00:00.000,2019,2,5,"UA","LIS","ORF",0,0,0,3585,1
2019-10-31 00:00:00.000,2019,4,10,"UA","MAF","POS",0,0,0,2990,1
2019-12-31 00:00:00.000,2019,4,12,"UA","MAO","MCO",0,0,0,2584,1
2019-10-31 00:00:00.000,2019,4,10,"UA","MCI","YYZ",0,0,0,838,1
2019-12-31 00:00:00.000,2019,4,12,"UA","MDT","YYZ",0,0,0,282,1
2019-03-31 00:00:00.000,2019,1,3,"UA","MEX","CLE",0,0,0,1822,1
2019-05-31 00:00:00.000,2019,2,5,"UA","MEX","CLE",0,0,0,1822,1
2019-04-30 00:00:00.000,2019,2,4,"UA","PVR","ROC",0,0,0,2221,1
2019-01-31 00:00:00.000,2019,1,1,"UA","ROC","CUN",0,0,0,1612,1
2019-05-31 00:00:00.000,2019,2,5,"UA","RTB","SAT",0,0,0,1184,1
2019-12-31 00:00:00.000,2019,4,12,"UA","SAP","LAX",0,0,0,2286,1
2019-10-31 00:00:00.000,2019,4,10,"UA","SAP","ORF",0,0,0,1643,1
2019-12-31 00:00:00.000,2019,4,12,"UA","SAP","SMF",0,0,0,2595,1
2019-06-30 00:00:00.000,2019,2,6,"UA","SAT","PTY",0,0,0,1874,1
2019-03-31 00:00:00.000,2019,1,3,"UA","SAT","PVR",0,0,0,743,1
2019-07-31 00:00:00.000,2019,3,7,"UA","SEA","YVR",0,0,0,127,1
2019-06-30 00:00:00.000,2019,2,6,"UA","SMF","PVR",0,0,0,1577,1
2019-08-31 00:00:00.000,2019,3,8,"UA","SNN","SWF",0,0,0,3058,1
2019-12-31 00:00:00.000,2019,4,12,"UA","STL","POS",0,0,0,2639,1
2019-05-31 00:00:00.000,2019,2,5,"UA","TGU","SAT",0,0,0,1285,1
2019-12-31 00:00:00.000,2019,4,12,"UA","TPA","PTY",0,0,0,1316,1
2019-11-30 00:00:00.000,2019,4,11,"UA","TUL","PVR",0,0,0,1210,1
2019-07-31 00:00:00.000,2019,3,7,"UA","TXL","CLE",0,0,0,4229,1
2019-01-31 00:00:00.000,2019,1,1,"UA","ORD","KIN",0,0,0,1781,1
2019-01-31 00:00:00.000,2019,1,1,"UA","ORD","MLM",0,0,0,1707,1
2019-12-31 00:00:00.000,2019,4,12,"UA","MIA","YYZ",0,0,0,1233,1
2019-11-30 00:00:00.000,2019,4,11,"UA","MSO","SJD",0,0,0,1656,1
2019-09-30 00:00:00.000,2019,3,9,"UA","MSP","YYZ",0,0,0,678,1
2019-06-30 00:00:00.000,2019,2,6,"UA","NAP","SWF",0,0,0,4384,1
2019-05-31 00:00:00.000,2019,2,5,"UA","NRT","CLE",0,0,0,6486,1
