OrderNumber,OrderDate,Customer Name Index,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,Channel,Channel Code,Alt. Name,Importance,Prior Code,Warehouse Code Ccy,Month Name,Type,Year
"SO - 0002751",2015-04-09 00:00:00.000,18,"USD","AXW291",4,9,7,944.7,6612.9,547.926,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002754",2015-04-10 00:00:00.000,158,"USD","AXW291",18,8,11,6371.7,70088.7,5033.643,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002803",2015-04-16 00:00:00.000,86,"USD","AXW291",17,2,7,1862.6,13038.2,1434.202,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002846",2015-04-21 00:00:00.000,32,"USD","AXW291",21,5,9,3865.9,34793.1,2628.812,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002850",2015-04-21 00:00:00.000,105,"USD","AXW291",3,14,12,3899.4,46792.8,2261.652,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002891",2015-04-26 00:00:00.000,88,"USD","AXW291",28,13,9,6385.1,57465.9,4724.974,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002931",2015-04-29 00:00:00.000,39,"USD","AXW291",7,8,8,234.5,1876,182.91,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","April","LOCAL / WHOLE","2015"
"SO - 0003021",2015-05-09 00:00:00.000,119,"USD","AXW291",18,4,8,897.8,7182.4,421.966,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003024",2015-05-10 00:00:00.000,69,"USD","AXW291",18,15,7,214.4,1500.8,147.936,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003044",2015-05-12 00:00:00.000,49,"USD","AXW291",10,6,9,6023.3,54209.7,2770.718,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003056",2015-05-13 00:00:00.000,69,"USD","AXW291",22,9,12,3932.9,47194.8,2045.108,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003105",2015-05-20 00:00:00.000,91,"USD","AXW291",26,3,10,5038.4,50384,2267.28,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003110",2015-05-21 00:00:00.000,127,"USD","AXW291",26,12,7,964.8,6753.6,569.232,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","May","LOCAL / WHOLE","2015"
"SO - 0003235",2015-06-02 00:00:00.000,117,"USD","AXW291",30,3,8,3403.6,27228.8,2416.556,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003318",2015-06-12 00:00:00.000,104,"USD","AXW291",18,9,12,6251.1,75013.2,2938.017,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003322",2015-06-13 00:00:00.000,47,"USD","AXW291",2,10,7,5272.9,36910.3,4165.591,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003341",2015-06-14 00:00:00.000,14,"USD","AXW291",2,13,12,2224.4,26692.8,1757.276,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003346",2015-06-15 00:00:00.000,132,"USD","AXW291",24,9,5,1869.3,9346.5,1401.975,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003351",2015-06-15 00:00:00.000,107,"USD","AXW291",14,5,12,958.1,11497.2,804.804,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003387",2015-06-21 00:00:00.000,145,"USD","AXW291",15,7,9,6411.9,57707.1,2821.236,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","June","LOCAL / WHOLE","2015"
"SO - 0003486",2015-07-03 00:00:00.000,44,"USD","AXW291",22,4,12,167.5,2010,142.375,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003583",2015-07-16 00:00:00.000,116,"USD","AXW291",6,12,10,261.3,2613,167.232,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003592",2015-07-18 00:00:00.000,35,"USD","AXW291",16,5,9,3021.7,27195.3,1269.114,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003631",2015-07-22 00:00:00.000,55,"USD","AXW291",26,6,6,234.5,1407,147.735,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003641",2015-07-23 00:00:00.000,118,"USD","AXW291",26,7,7,2211,15477,1392.93,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003656",2015-07-24 00:00:00.000,54,"USD","AXW291",14,8,12,1058.6,12703.2,423.44,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003671",2015-07-26 00:00:00.000,27,"USD","AXW291",25,3,5,3343.3,16716.5,1370.753,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","July","LOCAL / WHOLE","2015"
"SO - 0003712",2015-08-01 00:00:00.000,46,"USD","AXW291",25,8,11,3966.4,43630.4,2221.184,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003757",2015-08-05 00:00:00.000,136,"USD","AXW291",2,5,9,2445.5,22009.5,1393.935,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003772",2015-08-07 00:00:00.000,107,"USD","AXW291",10,15,10,1989.9,19899,1452.627,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003789",2015-08-09 00:00:00.000,6,"USD","AXW291",6,7,8,268,2144,166.16,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003791",2015-08-09 00:00:00.000,119,"USD","AXW291",25,5,8,730.3,5842.4,365.15,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003868",2015-08-18 00:00:00.000,59,"USD","AXW291",2,9,8,2512.5,20100,1331.625,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003887",2015-08-21 00:00:00.000,17,"USD","AXW291",30,4,12,1822.4,21868.8,1457.92,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003901",2015-08-22 00:00:00.000,92,"USD","AXW291",1,3,5,1728.6,8643,1019.874,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003918",2015-08-24 00:00:00.000,93,"USD","AXW291",1,7,6,1105.5,6633,851.235,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","August","LOCAL / WHOLE","2015"
"SO - 0003975",2015-09-01 00:00:00.000,15,"USD","AXW291",8,12,11,234.5,2579.5,98.49,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","September","LOCAL / WHOLE","2015"
"SO - 0003987",2015-09-02 00:00:00.000,144,"USD","AXW291",7,11,11,4020,44220,2371.8,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004014",2015-09-06 00:00:00.000,13,"USD","AXW291",8,3,11,1112.2,12234.2,500.49,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004019",2015-09-07 00:00:00.000,9,"USD","AXW291",21,5,5,850.9,4254.5,570.103,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004027",2015-09-08 00:00:00.000,162,"USD","AXW291",14,14,12,3082,36984,2342.32,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004043",2015-09-10 00:00:00.000,19,"USD","AXW291",17,11,11,1159.1,12750.1,475.231,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004058",2015-09-12 00:00:00.000,9,"USD","AXW291",31,1,10,3102.1,31021,2357.596,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004083",2015-09-15 00:00:00.000,104,"USD","AXW291",27,4,11,1829.1,20120.1,877.968,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004118",2015-09-20 00:00:00.000,121,"USD","AXW291",31,3,5,891.1,4455.5,516.838,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","September","LOCAL / WHOLE","2015"
"SO - 0004249",2015-10-05 00:00:00.000,101,"USD","AXW291",11,11,5,2532.6,12663,1013.04,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004258",2015-10-07 00:00:00.000,26,"USD","AXW291",30,13,9,1976.5,17788.5,1067.31,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004264",2015-10-07 00:00:00.000,76,"USD","AXW291",3,13,12,3865.9,46390.8,1739.655,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004312",2015-10-14 00:00:00.000,6,"USD","AXW291",14,7,8,1159.1,9272.8,880.916,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004314",2015-10-14 00:00:00.000,97,"USD","AXW291",22,4,6,254.6,1527.6,185.858,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004322",2015-10-15 00:00:00.000,73,"USD","AXW291",26,2,7,3041.8,21292.6,1216.72,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004328",2015-10-16 00:00:00.000,126,"USD","AXW291",30,6,8,1058.6,8468.8,698.676,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004348",2015-10-19 00:00:00.000,110,"USD","AXW291",24,4,12,2693.4,32320.8,1131.228,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004383",2015-10-23 00:00:00.000,100,"USD","AXW291",10,2,9,3577.8,32200.2,2003.568,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","October","LOCAL / WHOLE","2015"
"SO - 0004504",2015-11-08 00:00:00.000,72,"USD","AXW291",13,5,11,5768.7,63455.7,4095.777,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004513",2015-11-09 00:00:00.000,70,"USD","AXW291",26,8,7,201,1407,114.57,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004592",2015-11-18 00:00:00.000,21,"USD","AXW291",1,6,12,5406.9,64882.8,3676.692,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004593",2015-11-18 00:00:00.000,160,"USD","AXW291",4,4,5,783.9,3919.5,352.755,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004632",2015-11-23 00:00:00.000,129,"USD","AXW291",31,4,10,1051.9,10519,578.545,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004677",2015-11-28 00:00:00.000,22,"USD","AXW291",30,7,5,1855.9,9279.5,1373.366,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004697",2015-11-30 00:00:00.000,168,"USD","AXW291",6,12,7,958.1,6706.7,594.022,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","November","LOCAL / WHOLE","2015"
"SO - 0004771",2015-12-08 00:00:00.000,52,"USD","AXW291",28,2,6,2673.3,16039.8,1764.378,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004803",2015-12-13 00:00:00.000,53,"USD","AXW291",20,3,8,2432.1,19456.8,1507.902,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004812",2015-12-14 00:00:00.000,82,"USD","AXW291",19,7,7,3845.8,26920.6,1922.9,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004875",2015-12-21 00:00:00.000,97,"USD","AXW291",3,15,11,268,2948,131.32,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","December","LOCAL / WHOLE","2015"
"SO - 0004891",2015-12-24 00:00:00.000,101,"USD","AXW291",17,3,5,194.3,971.5,161.269,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","December","LOCAL / WHOLE","2015"
"SO - 0001924",2015-01-01 00:00:00.000,141,"USD","FLR025",63,15,6,1132.3,6793.8,815.256,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","January","LOCAL / WHOLE","2015"
"SO - 0001939",2015-01-02 00:00:00.000,89,"USD","FLR025",64,9,10,2010,20100,924.6,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","January","LOCAL / WHOLE","2015"
"SO - 0001952",2015-01-03 00:00:00.000,43,"USD","NXH382",59,14,6,5869.2,35215.2,3462.828,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","January","LOCAL / WHOLE","2015"
"SO - 0001955",2015-01-03 00:00:00.000,70,"USD","NXH382",57,11,8,6532.5,52260,3984.825,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","January","LOCAL / WHOLE","2015"
"SO - 0001973",2015-01-05 00:00:00.000,52,"USD","GUT930",33,6,7,3839.1,26873.7,2802.543,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","January","LOCAL / WHOLE","2015"
"SO - 0001999",2015-01-07 00:00:00.000,83,"USD","GUT930",43,14,8,2465.6,19724.8,1676.608,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002004",2015-01-07 00:00:00.000,134,"USD","GUT930",33,9,8,917.9,7343.2,596.635,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002014",2015-01-08 00:00:00.000,7,"USD","GUT930",44,2,12,1969.8,23637.6,1477.35,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002024",2015-01-09 00:00:00.000,74,"USD","NXH382",58,8,12,3939.6,47275.2,3230.472,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002036",2015-01-10 00:00:00.000,11,"USD","GUT930",38,6,9,1983.2,17848.8,1170.088,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002044",2015-01-11 00:00:00.000,41,"USD","NXH382",57,10,7,214.4,1500.8,135.072,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002061",2015-01-12 00:00:00.000,161,"USD","GUT930",47,4,6,3075.3,18451.8,1998.945,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002080",2015-01-15 00:00:00.000,151,"USD","GUT930",35,6,12,174.2,2090.4,142.844,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002081",2015-01-15 00:00:00.000,71,"USD","NXH382",57,10,10,3819,38190,3131.58,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002104",2015-01-18 00:00:00.000,167,"USD","GUT930",39,14,8,1735.3,13882.4,1370.887,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002118",2015-01-20 00:00:00.000,51,"USD","NXH382",49,11,10,3959.7,39597,1663.074,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002123",2015-01-20 00:00:00.000,133,"USD","NXH382",54,11,5,3966.4,19832,2697.152,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002135",2015-01-21 00:00:00.000,105,"USD","NXH382",53,9,7,2385.2,16696.4,1454.972,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002147",2015-01-22 00:00:00.000,127,"USD","NXH382",51,13,7,3953,27671,3320.52,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002170",2015-01-26 00:00:00.000,136,"USD","GUT930",44,8,11,1896.1,20857.1,796.362,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002178",2015-01-27 00:00:00.000,18,"USD","NXH382",56,10,8,1112.2,8897.6,856.394,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002183",2015-01-28 00:00:00.000,152,"USD","NXH382",55,6,8,5882.6,47060.8,4176.646,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002205",2015-01-29 00:00:00.000,116,"USD","GUT930",32,6,10,1105.5,11055,884.4,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002214",2015-01-30 00:00:00.000,33,"USD","GUT930",32,1,9,1889.4,17004.6,944.7,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002230",2015-02-02 00:00:00.000,26,"USD","NXH382",55,10,7,1715.2,12006.4,1149.184,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","February","LOCAL / WHOLE","2015"
"SO - 0002312",2015-02-11 00:00:00.000,88,"USD","GUT930",46,10,7,6224.3,43570.1,3859.066,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","February","LOCAL / WHOLE","2015"
"SO - 0002345",2015-02-15 00:00:00.000,162,"USD","GUT930",45,15,12,1922.9,23074.8,1172.969,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","February","LOCAL / WHOLE","2015"
"SO - 0002361",2015-02-18 00:00:00.000,123,"USD","GUT930",33,10,5,1279.7,6398.5,1010.963,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","February","LOCAL / WHOLE","2015"
"SO - 0002369",2015-02-18 00:00:00.000,157,"USD","GUT930",45,9,8,3705.1,29640.8,2111.907,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","February","LOCAL / WHOLE","2015"
"SO - 0002378",2015-02-19 00:00:00.000,28,"USD","NXH382",58,12,5,3932.9,19664.5,2202.424,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","February","LOCAL / WHOLE","2015"
"SO - 0002380",2015-02-19 00:00:00.000,74,"USD","NXH382",53,12,7,964.8,6753.6,820.08,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","February","LOCAL / WHOLE","2015"
"SO - 0002397",2015-02-21 00:00:00.000,78,"USD","GUT930",36,12,11,207.7,2284.7,85.157,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","February","LOCAL / WHOLE","2015"
"SO - 0002440",2015-02-27 00:00:00.000,40,"USD","FLR025",64,4,11,3859.2,42451.2,3241.728,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","February","LOCAL / WHOLE","2015"
"SO - 0002456",2015-03-01 00:00:00.000,171,"USD","FLR025",66,9,12,5406.9,64882.8,2216.829,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002464",2015-03-02 00:00:00.000,77,"USD","FLR025",60,11,8,1165.8,9326.4,804.402,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002489",2015-03-06 00:00:00.000,98,"USD","GUT930",44,4,5,1031.8,5159,484.946,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002493",2015-03-07 00:00:00.000,104,"USD","FLR025",64,6,12,911.2,10934.4,674.288,"Wholesale","WHOLE","Local","Low","SUPER","FLR025 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002510",2015-03-09 00:00:00.000,136,"USD","GUT930",45,8,8,3008.3,24066.4,1263.486,"Wholesale","WHOLE","Local","Low","SUPER","GUT930 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002516",2015-03-10 00:00:00.000,116,"USD","NXH382",58,6,9,5299.7,47697.3,2172.877,"Wholesale","WHOLE","Local","Low","SUPER","NXH382 - USD","March","LOCAL / WHOLE","2015"
