Date,Year,Quarter Of Year,Month Of Year,Day Of Month,Date Int,Month Name,Month & Year,Quarter & Year,Day In Week,Day Of Week Name,Week Ending,Week Number,Month n Year,Quarter n Year,Short Year,FY,Quarter,Day Type,Workday Number,Weekend Number,Is less Than Today,Week Number Adjusted,IsWorkday,Short Month,Short Day Of Week Name
2012-07-08 00:00:00.000,2012,3,7,8,20120708,"July","Jul 2012","Q3 2012",0,"Sunday",2012-07-14 00:00:00.000,28,20120700,20120300,"12","FY13","Q3","Workday",6,,True,28,1,"Jul","Sun"
2012-07-09 00:00:00.000,2012,3,7,9,20120709,"July","Jul 2012","Q3 2012",1,"Monday",2012-07-14 00:00:00.000,28,20120700,20120300,"12","FY13","Q3","Workday",7,,True,28,1,"Jul","Mon"
2012-07-10 00:00:00.000,2012,3,7,10,20120710,"July","Jul 2012","Q3 2012",2,"Tuesday",2012-07-14 00:00:00.000,28,20120700,20120300,"12","FY13","Q3","Workday",8,,True,28,1,"Jul","Tue"
2012-07-11 00:00:00.000,2012,3,7,11,20120711,"July","Jul 2012","Q3 2012",3,"Wednesday",2012-07-14 00:00:00.000,28,20120700,20120300,"12","FY13","Q3","Workday",9,,True,28,1,"Jul","Wed"
2012-07-12 00:00:00.000,2012,3,7,12,20120712,"July","Jul 2012","Q3 2012",4,"Thursday",2012-07-14 00:00:00.000,28,20120700,20120300,"12","FY13","Q3","Workday",10,,True,28,1,"Jul","Thu"
2012-07-13 00:00:00.000,2012,3,7,13,20120713,"July","Jul 2012","Q3 2012",5,"Friday",2012-07-14 00:00:00.000,28,20120700,20120300,"12","FY13","Q3","Weekend",,3,True,28,0,"Jul","Fri"
2012-07-14 00:00:00.000,2012,3,7,14,20120714,"July","Jul 2012","Q3 2012",6,"Saturday",2012-07-14 00:00:00.000,28,20120700,20120300,"12","FY13","Q3","Weekend",,4,True,28,0,"Jul","Sat"
2013-07-07 00:00:00.000,2013,3,7,7,20130707,"July","Jul 2013","Q3 2013",0,"Sunday",2013-07-13 00:00:00.000,28,20130700,20130300,"13","FY14","Q3","Workday",5,,True,28,1,"Jul","Sun"
2013-07-08 00:00:00.000,2013,3,7,8,20130708,"July","Jul 2013","Q3 2013",1,"Monday",2013-07-13 00:00:00.000,28,20130700,20130300,"13","FY14","Q3","Workday",6,,True,28,1,"Jul","Mon"
2013-07-09 00:00:00.000,2013,3,7,9,20130709,"July","Jul 2013","Q3 2013",2,"Tuesday",2013-07-13 00:00:00.000,28,20130700,20130300,"13","FY14","Q3","Workday",7,,True,28,1,"Jul","Tue"
2013-07-10 00:00:00.000,2013,3,7,10,20130710,"July","Jul 2013","Q3 2013",3,"Wednesday",2013-07-13 00:00:00.000,28,20130700,20130300,"13","FY14","Q3","Workday",8,,True,28,1,"Jul","Wed"
2013-07-11 00:00:00.000,2013,3,7,11,20130711,"July","Jul 2013","Q3 2013",4,"Thursday",2013-07-13 00:00:00.000,28,20130700,20130300,"13","FY14","Q3","Workday",9,,True,28,1,"Jul","Thu"
2013-07-12 00:00:00.000,2013,3,7,12,20130712,"July","Jul 2013","Q3 2013",5,"Friday",2013-07-13 00:00:00.000,28,20130700,20130300,"13","FY14","Q3","Weekend",,3,True,28,0,"Jul","Fri"
2013-07-13 00:00:00.000,2013,3,7,13,20130713,"July","Jul 2013","Q3 2013",6,"Saturday",2013-07-13 00:00:00.000,28,20130700,20130300,"13","FY14","Q3","Weekend",,4,True,28,0,"Jul","Sat"
2014-07-06 00:00:00.000,2014,3,7,6,20140706,"July","Jul 2014","Q3 2014",0,"Sunday",2014-07-12 00:00:00.000,28,20140700,20140300,"14","FY15","Q3","Workday",4,,True,28,1,"Jul","Sun"
2014-07-07 00:00:00.000,2014,3,7,7,20140707,"July","Jul 2014","Q3 2014",1,"Monday",2014-07-12 00:00:00.000,28,20140700,20140300,"14","FY15","Q3","Workday",5,,True,28,1,"Jul","Mon"
2014-07-08 00:00:00.000,2014,3,7,8,20140708,"July","Jul 2014","Q3 2014",2,"Tuesday",2014-07-12 00:00:00.000,28,20140700,20140300,"14","FY15","Q3","Workday",6,,True,28,1,"Jul","Tue"
2014-07-09 00:00:00.000,2014,3,7,9,20140709,"July","Jul 2014","Q3 2014",3,"Wednesday",2014-07-12 00:00:00.000,28,20140700,20140300,"14","FY15","Q3","Workday",7,,True,28,1,"Jul","Wed"
2014-07-10 00:00:00.000,2014,3,7,10,20140710,"July","Jul 2014","Q3 2014",4,"Thursday",2014-07-12 00:00:00.000,28,20140700,20140300,"14","FY15","Q3","Workday",8,,True,28,1,"Jul","Thu"
2014-07-11 00:00:00.000,2014,3,7,11,20140711,"July","Jul 2014","Q3 2014",5,"Friday",2014-07-12 00:00:00.000,28,20140700,20140300,"14","FY15","Q3","Weekend",,3,True,28,0,"Jul","Fri"
2014-07-12 00:00:00.000,2014,3,7,12,20140712,"July","Jul 2014","Q3 2014",6,"Saturday",2014-07-12 00:00:00.000,28,20140700,20140300,"14","FY15","Q3","Weekend",,4,True,28,0,"Jul","Sat"
2015-07-05 00:00:00.000,2015,3,7,5,20150705,"July","Jul 2015","Q3 2015",0,"Sunday",2015-07-11 00:00:00.000,28,20150700,20150300,"15","FY16","Q3","Workday",3,,True,28,1,"Jul","Sun"
2015-07-06 00:00:00.000,2015,3,7,6,20150706,"July","Jul 2015","Q3 2015",1,"Monday",2015-07-11 00:00:00.000,28,20150700,20150300,"15","FY16","Q3","Workday",4,,True,28,1,"Jul","Mon"
2015-07-07 00:00:00.000,2015,3,7,7,20150707,"July","Jul 2015","Q3 2015",2,"Tuesday",2015-07-11 00:00:00.000,28,20150700,20150300,"15","FY16","Q3","Workday",5,,True,28,1,"Jul","Tue"
2015-07-08 00:00:00.000,2015,3,7,8,20150708,"July","Jul 2015","Q3 2015",3,"Wednesday",2015-07-11 00:00:00.000,28,20150700,20150300,"15","FY16","Q3","Workday",6,,True,28,1,"Jul","Wed"
2015-07-09 00:00:00.000,2015,3,7,9,20150709,"July","Jul 2015","Q3 2015",4,"Thursday",2015-07-11 00:00:00.000,28,20150700,20150300,"15","FY16","Q3","Workday",7,,True,28,1,"Jul","Thu"
2015-07-10 00:00:00.000,2015,3,7,10,20150710,"July","Jul 2015","Q3 2015",5,"Friday",2015-07-11 00:00:00.000,28,20150700,20150300,"15","FY16","Q3","Weekend",,3,True,28,0,"Jul","Fri"
2015-07-11 00:00:00.000,2015,3,7,11,20150711,"July","Jul 2015","Q3 2015",6,"Saturday",2015-07-11 00:00:00.000,28,20150700,20150300,"15","FY16","Q3","Weekend",,4,True,28,0,"Jul","Sat"
2016-07-03 00:00:00.000,2016,3,7,3,20160703,"July","Jul 2016","Q3 2016",0,"Sunday",2016-07-09 00:00:00.000,28,20160700,20160300,"16","FY17","Q3","Workday",1,,True,28,1,"Jul","Sun"
2016-07-04 00:00:00.000,2016,3,7,4,20160704,"July","Jul 2016","Q3 2016",1,"Monday",2016-07-09 00:00:00.000,28,20160700,20160300,"16","FY17","Q3","Workday",2,,True,28,1,"Jul","Mon"
2016-07-05 00:00:00.000,2016,3,7,5,20160705,"July","Jul 2016","Q3 2016",2,"Tuesday",2016-07-09 00:00:00.000,28,20160700,20160300,"16","FY17","Q3","Workday",3,,True,28,1,"Jul","Tue"
2016-07-06 00:00:00.000,2016,3,7,6,20160706,"July","Jul 2016","Q3 2016",3,"Wednesday",2016-07-09 00:00:00.000,28,20160700,20160300,"16","FY17","Q3","Workday",4,,True,28,1,"Jul","Wed"
2016-07-07 00:00:00.000,2016,3,7,7,20160707,"July","Jul 2016","Q3 2016",4,"Thursday",2016-07-09 00:00:00.000,28,20160700,20160300,"16","FY17","Q3","Workday",5,,True,28,1,"Jul","Thu"
2016-07-08 00:00:00.000,2016,3,7,8,20160708,"July","Jul 2016","Q3 2016",5,"Friday",2016-07-09 00:00:00.000,28,20160700,20160300,"16","FY17","Q3","Weekend",,3,True,28,0,"Jul","Fri"
2016-07-09 00:00:00.000,2016,3,7,9,20160709,"July","Jul 2016","Q3 2016",6,"Saturday",2016-07-09 00:00:00.000,28,20160700,20160300,"16","FY17","Q3","Weekend",,4,True,28,0,"Jul","Sat"
2017-07-09 00:00:00.000,2017,3,7,9,20170709,"July","Jul 2017","Q3 2017",0,"Sunday",2017-07-15 00:00:00.000,28,20170700,20170300,"17","FY18","Q3","Workday",6,,True,28,1,"Jul","Sun"
2017-07-10 00:00:00.000,2017,3,7,10,20170710,"July","Jul 2017","Q3 2017",1,"Monday",2017-07-15 00:00:00.000,28,20170700,20170300,"17","FY18","Q3","Workday",7,,True,28,1,"Jul","Mon"
2017-07-11 00:00:00.000,2017,3,7,11,20170711,"July","Jul 2017","Q3 2017",2,"Tuesday",2017-07-15 00:00:00.000,28,20170700,20170300,"17","FY18","Q3","Workday",8,,True,28,1,"Jul","Tue"
2017-07-12 00:00:00.000,2017,3,7,12,20170712,"July","Jul 2017","Q3 2017",3,"Wednesday",2017-07-15 00:00:00.000,28,20170700,20170300,"17","FY18","Q3","Workday",9,,True,28,1,"Jul","Wed"
2017-07-13 00:00:00.000,2017,3,7,13,20170713,"July","Jul 2017","Q3 2017",4,"Thursday",2017-07-15 00:00:00.000,28,20170700,20170300,"17","FY18","Q3","Workday",10,,True,28,1,"Jul","Thu"
2017-07-14 00:00:00.000,2017,3,7,14,20170714,"July","Jul 2017","Q3 2017",5,"Friday",2017-07-15 00:00:00.000,28,20170700,20170300,"17","FY18","Q3","Weekend",,4,True,28,0,"Jul","Fri"
2017-07-15 00:00:00.000,2017,3,7,15,20170715,"July","Jul 2017","Q3 2017",6,"Saturday",2017-07-15 00:00:00.000,28,20170700,20170300,"17","FY18","Q3","Weekend",,5,True,28,0,"Jul","Sat"
2018-07-08 00:00:00.000,2018,3,7,8,20180708,"July","Jul 2018","Q3 2018",0,"Sunday",2018-07-14 00:00:00.000,28,20180700,20180300,"18","FY19","Q3","Workday",6,,True,28,1,"Jul","Sun"
2018-07-09 00:00:00.000,2018,3,7,9,20180709,"July","Jul 2018","Q3 2018",1,"Monday",2018-07-14 00:00:00.000,28,20180700,20180300,"18","FY19","Q3","Workday",7,,True,28,1,"Jul","Mon"
2018-07-10 00:00:00.000,2018,3,7,10,20180710,"July","Jul 2018","Q3 2018",2,"Tuesday",2018-07-14 00:00:00.000,28,20180700,20180300,"18","FY19","Q3","Workday",8,,True,28,1,"Jul","Tue"
2018-07-11 00:00:00.000,2018,3,7,11,20180711,"July","Jul 2018","Q3 2018",3,"Wednesday",2018-07-14 00:00:00.000,28,20180700,20180300,"18","FY19","Q3","Workday",9,,True,28,1,"Jul","Wed"
2018-07-12 00:00:00.000,2018,3,7,12,20180712,"July","Jul 2018","Q3 2018",4,"Thursday",2018-07-14 00:00:00.000,28,20180700,20180300,"18","FY19","Q3","Workday",10,,True,28,1,"Jul","Thu"
2018-07-13 00:00:00.000,2018,3,7,13,20180713,"July","Jul 2018","Q3 2018",5,"Friday",2018-07-14 00:00:00.000,28,20180700,20180300,"18","FY19","Q3","Weekend",,3,True,28,0,"Jul","Fri"
2018-07-14 00:00:00.000,2018,3,7,14,20180714,"July","Jul 2018","Q3 2018",6,"Saturday",2018-07-14 00:00:00.000,28,20180700,20180300,"18","FY19","Q3","Weekend",,4,True,28,0,"Jul","Sat"
2019-07-07 00:00:00.000,2019,3,7,7,20190707,"July","Jul 2019","Q3 2019",0,"Sunday",2019-07-13 00:00:00.000,28,20190700,20190300,"19","FY20","Q3","Workday",5,,True,28,1,"Jul","Sun"
2019-07-08 00:00:00.000,2019,3,7,8,20190708,"July","Jul 2019","Q3 2019",1,"Monday",2019-07-13 00:00:00.000,28,20190700,20190300,"19","FY20","Q3","Workday",6,,True,28,1,"Jul","Mon"
2019-07-09 00:00:00.000,2019,3,7,9,20190709,"July","Jul 2019","Q3 2019",2,"Tuesday",2019-07-13 00:00:00.000,28,20190700,20190300,"19","FY20","Q3","Workday",7,,True,28,1,"Jul","Tue"
2019-07-10 00:00:00.000,2019,3,7,10,20190710,"July","Jul 2019","Q3 2019",3,"Wednesday",2019-07-13 00:00:00.000,28,20190700,20190300,"19","FY20","Q3","Workday",8,,True,28,1,"Jul","Wed"
2019-07-11 00:00:00.000,2019,3,7,11,20190711,"July","Jul 2019","Q3 2019",4,"Thursday",2019-07-13 00:00:00.000,28,20190700,20190300,"19","FY20","Q3","Workday",9,,True,28,1,"Jul","Thu"
2019-07-12 00:00:00.000,2019,3,7,12,20190712,"July","Jul 2019","Q3 2019",5,"Friday",2019-07-13 00:00:00.000,28,20190700,20190300,"19","FY20","Q3","Weekend",,3,True,28,0,"Jul","Fri"
2019-07-13 00:00:00.000,2019,3,7,13,20190713,"July","Jul 2019","Q3 2019",6,"Saturday",2019-07-13 00:00:00.000,28,20190700,20190300,"19","FY20","Q3","Weekend",,4,True,28,0,"Jul","Sat"
2020-07-05 00:00:00.000,2020,3,7,5,20200705,"July","Jul 2020","Q3 2020",0,"Sunday",2020-07-11 00:00:00.000,28,20200700,20200300,"20","FY21","Q3","Workday",3,,True,28,1,"Jul","Sun"
2020-07-06 00:00:00.000,2020,3,7,6,20200706,"July","Jul 2020","Q3 2020",1,"Monday",2020-07-11 00:00:00.000,28,20200700,20200300,"20","FY21","Q3","Workday",4,,True,28,1,"Jul","Mon"
2020-07-07 00:00:00.000,2020,3,7,7,20200707,"July","Jul 2020","Q3 2020",2,"Tuesday",2020-07-11 00:00:00.000,28,20200700,20200300,"20","FY21","Q3","Workday",5,,True,28,1,"Jul","Tue"
2020-07-08 00:00:00.000,2020,3,7,8,20200708,"July","Jul 2020","Q3 2020",3,"Wednesday",2020-07-11 00:00:00.000,28,20200700,20200300,"20","FY21","Q3","Workday",6,,True,28,1,"Jul","Wed"
2020-07-09 00:00:00.000,2020,3,7,9,20200709,"July","Jul 2020","Q3 2020",4,"Thursday",2020-07-11 00:00:00.000,28,20200700,20200300,"20","FY21","Q3","Workday",7,,True,28,1,"Jul","Thu"
2020-07-10 00:00:00.000,2020,3,7,10,20200710,"July","Jul 2020","Q3 2020",5,"Friday",2020-07-11 00:00:00.000,28,20200700,20200300,"20","FY21","Q3","Weekend",,3,True,28,0,"Jul","Fri"
2020-07-11 00:00:00.000,2020,3,7,11,20200711,"July","Jul 2020","Q3 2020",6,"Saturday",2020-07-11 00:00:00.000,28,20200700,20200300,"20","FY21","Q3","Weekend",,4,True,28,0,"Jul","Sat"
2021-07-04 00:00:00.000,2021,3,7,4,20210704,"July","Jul 2021","Q3 2021",0,"Sunday",2021-07-10 00:00:00.000,28,20210700,20210300,"21","FY22","Q3","Workday",2,,True,28,1,"Jul","Sun"
2021-07-05 00:00:00.000,2021,3,7,5,20210705,"July","Jul 2021","Q3 2021",1,"Monday",2021-07-10 00:00:00.000,28,20210700,20210300,"21","FY22","Q3","Workday",3,,True,28,1,"Jul","Mon"
2021-07-06 00:00:00.000,2021,3,7,6,20210706,"July","Jul 2021","Q3 2021",2,"Tuesday",2021-07-10 00:00:00.000,28,20210700,20210300,"21","FY22","Q3","Workday",4,,True,28,1,"Jul","Tue"
2021-07-07 00:00:00.000,2021,3,7,7,20210707,"July","Jul 2021","Q3 2021",3,"Wednesday",2021-07-10 00:00:00.000,28,20210700,20210300,"21","FY22","Q3","Workday",5,,True,28,1,"Jul","Wed"
2021-07-08 00:00:00.000,2021,3,7,8,20210708,"July","Jul 2021","Q3 2021",4,"Thursday",2021-07-10 00:00:00.000,28,20210700,20210300,"21","FY22","Q3","Workday",6,,True,28,1,"Jul","Thu"
2021-07-09 00:00:00.000,2021,3,7,9,20210709,"July","Jul 2021","Q3 2021",5,"Friday",2021-07-10 00:00:00.000,28,20210700,20210300,"21","FY22","Q3","Weekend",,3,True,28,0,"Jul","Fri"
2021-07-10 00:00:00.000,2021,3,7,10,20210710,"July","Jul 2021","Q3 2021",6,"Saturday",2021-07-10 00:00:00.000,28,20210700,20210300,"21","FY22","Q3","Weekend",,4,True,28,0,"Jul","Sat"
2010-07-11 00:00:00.000,2010,3,7,11,20100711,"July","Jul 2010","Q3 2010",0,"Sunday",2010-07-17 00:00:00.000,29,20100700,20100300,"10","FY11","Q3","Workday",7,,True,29,1,"Jul","Sun"
2010-07-12 00:00:00.000,2010,3,7,12,20100712,"July","Jul 2010","Q3 2010",1,"Monday",2010-07-17 00:00:00.000,29,20100700,20100300,"10","FY11","Q3","Workday",8,,True,29,1,"Jul","Mon"
2010-07-13 00:00:00.000,2010,3,7,13,20100713,"July","Jul 2010","Q3 2010",2,"Tuesday",2010-07-17 00:00:00.000,29,20100700,20100300,"10","FY11","Q3","Workday",9,,True,29,1,"Jul","Tue"
2010-07-14 00:00:00.000,2010,3,7,14,20100714,"July","Jul 2010","Q3 2010",3,"Wednesday",2010-07-17 00:00:00.000,29,20100700,20100300,"10","FY11","Q3","Workday",10,,True,29,1,"Jul","Wed"
2010-07-15 00:00:00.000,2010,3,7,15,20100715,"July","Jul 2010","Q3 2010",4,"Thursday",2010-07-17 00:00:00.000,29,20100700,20100300,"10","FY11","Q3","Workday",11,,True,29,1,"Jul","Thu"
2010-07-16 00:00:00.000,2010,3,7,16,20100716,"July","Jul 2010","Q3 2010",5,"Friday",2010-07-17 00:00:00.000,29,20100700,20100300,"10","FY11","Q3","Weekend",,5,True,29,0,"Jul","Fri"
2010-07-17 00:00:00.000,2010,3,7,17,20100717,"July","Jul 2010","Q3 2010",6,"Saturday",2010-07-17 00:00:00.000,29,20100700,20100300,"10","FY11","Q3","Weekend",,6,True,29,0,"Jul","Sat"
2011-07-10 00:00:00.000,2011,3,7,10,20110710,"July","Jul 2011","Q3 2011",0,"Sunday",2011-07-16 00:00:00.000,29,20110700,20110300,"11","FY12","Q3","Workday",6,,True,29,1,"Jul","Sun"
2011-07-11 00:00:00.000,2011,3,7,11,20110711,"July","Jul 2011","Q3 2011",1,"Monday",2011-07-16 00:00:00.000,29,20110700,20110300,"11","FY12","Q3","Workday",7,,True,29,1,"Jul","Mon"
2011-07-12 00:00:00.000,2011,3,7,12,20110712,"July","Jul 2011","Q3 2011",2,"Tuesday",2011-07-16 00:00:00.000,29,20110700,20110300,"11","FY12","Q3","Workday",8,,True,29,1,"Jul","Tue"
2011-07-13 00:00:00.000,2011,3,7,13,20110713,"July","Jul 2011","Q3 2011",3,"Wednesday",2011-07-16 00:00:00.000,29,20110700,20110300,"11","FY12","Q3","Workday",9,,True,29,1,"Jul","Wed"
2011-07-14 00:00:00.000,2011,3,7,14,20110714,"July","Jul 2011","Q3 2011",4,"Thursday",2011-07-16 00:00:00.000,29,20110700,20110300,"11","FY12","Q3","Workday",10,,True,29,1,"Jul","Thu"
2011-07-15 00:00:00.000,2011,3,7,15,20110715,"July","Jul 2011","Q3 2011",5,"Friday",2011-07-16 00:00:00.000,29,20110700,20110300,"11","FY12","Q3","Weekend",,5,True,29,0,"Jul","Fri"
2011-07-16 00:00:00.000,2011,3,7,16,20110716,"July","Jul 2011","Q3 2011",6,"Saturday",2011-07-16 00:00:00.000,29,20110700,20110300,"11","FY12","Q3","Weekend",,6,True,29,0,"Jul","Sat"
2012-07-15 00:00:00.000,2012,3,7,15,20120715,"July","Jul 2012","Q3 2012",0,"Sunday",2012-07-21 00:00:00.000,29,20120700,20120300,"12","FY13","Q3","Workday",11,,True,29,1,"Jul","Sun"
2012-07-16 00:00:00.000,2012,3,7,16,20120716,"July","Jul 2012","Q3 2012",1,"Monday",2012-07-21 00:00:00.000,29,20120700,20120300,"12","FY13","Q3","Workday",12,,True,29,1,"Jul","Mon"
2012-07-17 00:00:00.000,2012,3,7,17,20120717,"July","Jul 2012","Q3 2012",2,"Tuesday",2012-07-21 00:00:00.000,29,20120700,20120300,"12","FY13","Q3","Workday",13,,True,29,1,"Jul","Tue"
2012-07-18 00:00:00.000,2012,3,7,18,20120718,"July","Jul 2012","Q3 2012",3,"Wednesday",2012-07-21 00:00:00.000,29,20120700,20120300,"12","FY13","Q3","Workday",14,,True,29,1,"Jul","Wed"
2012-07-19 00:00:00.000,2012,3,7,19,20120719,"July","Jul 2012","Q3 2012",4,"Thursday",2012-07-21 00:00:00.000,29,20120700,20120300,"12","FY13","Q3","Workday",15,,True,29,1,"Jul","Thu"
2012-07-20 00:00:00.000,2012,3,7,20,20120720,"July","Jul 2012","Q3 2012",5,"Friday",2012-07-21 00:00:00.000,29,20120700,20120300,"12","FY13","Q3","Weekend",,5,True,29,0,"Jul","Fri"
2012-07-21 00:00:00.000,2012,3,7,21,20120721,"July","Jul 2012","Q3 2012",6,"Saturday",2012-07-21 00:00:00.000,29,20120700,20120300,"12","FY13","Q3","Weekend",,6,True,29,0,"Jul","Sat"
2013-07-14 00:00:00.000,2013,3,7,14,20130714,"July","Jul 2013","Q3 2013",0,"Sunday",2013-07-20 00:00:00.000,29,20130700,20130300,"13","FY14","Q3","Workday",10,,True,29,1,"Jul","Sun"
2013-07-15 00:00:00.000,2013,3,7,15,20130715,"July","Jul 2013","Q3 2013",1,"Monday",2013-07-20 00:00:00.000,29,20130700,20130300,"13","FY14","Q3","Workday",11,,True,29,1,"Jul","Mon"
2013-07-16 00:00:00.000,2013,3,7,16,20130716,"July","Jul 2013","Q3 2013",2,"Tuesday",2013-07-20 00:00:00.000,29,20130700,20130300,"13","FY14","Q3","Workday",12,,True,29,1,"Jul","Tue"
2013-07-17 00:00:00.000,2013,3,7,17,20130717,"July","Jul 2013","Q3 2013",3,"Wednesday",2013-07-20 00:00:00.000,29,20130700,20130300,"13","FY14","Q3","Workday",13,,True,29,1,"Jul","Wed"
2013-07-18 00:00:00.000,2013,3,7,18,20130718,"July","Jul 2013","Q3 2013",4,"Thursday",2013-07-20 00:00:00.000,29,20130700,20130300,"13","FY14","Q3","Workday",14,,True,29,1,"Jul","Thu"
2013-07-19 00:00:00.000,2013,3,7,19,20130719,"July","Jul 2013","Q3 2013",5,"Friday",2013-07-20 00:00:00.000,29,20130700,20130300,"13","FY14","Q3","Weekend",,5,True,29,0,"Jul","Fri"
2013-07-20 00:00:00.000,2013,3,7,20,20130720,"July","Jul 2013","Q3 2013",6,"Saturday",2013-07-20 00:00:00.000,29,20130700,20130300,"13","FY14","Q3","Weekend",,6,True,29,0,"Jul","Sat"
2014-07-13 00:00:00.000,2014,3,7,13,20140713,"July","Jul 2014","Q3 2014",0,"Sunday",2014-07-19 00:00:00.000,29,20140700,20140300,"14","FY15","Q3","Workday",9,,True,29,1,"Jul","Sun"
2014-07-14 00:00:00.000,2014,3,7,14,20140714,"July","Jul 2014","Q3 2014",1,"Monday",2014-07-19 00:00:00.000,29,20140700,20140300,"14","FY15","Q3","Workday",10,,True,29,1,"Jul","Mon"
2014-07-15 00:00:00.000,2014,3,7,15,20140715,"July","Jul 2014","Q3 2014",2,"Tuesday",2014-07-19 00:00:00.000,29,20140700,20140300,"14","FY15","Q3","Workday",11,,True,29,1,"Jul","Tue"
2014-07-16 00:00:00.000,2014,3,7,16,20140716,"July","Jul 2014","Q3 2014",3,"Wednesday",2014-07-19 00:00:00.000,29,20140700,20140300,"14","FY15","Q3","Workday",12,,True,29,1,"Jul","Wed"
2014-07-17 00:00:00.000,2014,3,7,17,20140717,"July","Jul 2014","Q3 2014",4,"Thursday",2014-07-19 00:00:00.000,29,20140700,20140300,"14","FY15","Q3","Workday",13,,True,29,1,"Jul","Thu"
2014-07-18 00:00:00.000,2014,3,7,18,20140718,"July","Jul 2014","Q3 2014",5,"Friday",2014-07-19 00:00:00.000,29,20140700,20140300,"14","FY15","Q3","Weekend",,5,True,29,0,"Jul","Fri"
2014-07-19 00:00:00.000,2014,3,7,19,20140719,"July","Jul 2014","Q3 2014",6,"Saturday",2014-07-19 00:00:00.000,29,20140700,20140300,"14","FY15","Q3","Weekend",,6,True,29,0,"Jul","Sat"
2015-07-12 00:00:00.000,2015,3,7,12,20150712,"July","Jul 2015","Q3 2015",0,"Sunday",2015-07-18 00:00:00.000,29,20150700,20150300,"15","FY16","Q3","Workday",8,,True,29,1,"Jul","Sun"
2015-07-13 00:00:00.000,2015,3,7,13,20150713,"July","Jul 2015","Q3 2015",1,"Monday",2015-07-18 00:00:00.000,29,20150700,20150300,"15","FY16","Q3","Workday",9,,True,29,1,"Jul","Mon"
