Request ID,Start date,End date,Execution order,New status of the request,Country,StartTime,EndTime,StartHour,StartMinute,EndHour,EndMinute,Bus_Hours
276848,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,1,Assigned to Tier 1,AU,1899-12-30 01:19:32.000,1899-12-30 01:19:32.000,1,19,1,19,0
276564,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,3,Case Closed!,FR,1899-12-30 09:25:00.000,1899-12-30 09:25:18.000,9,25,9,25,0
276865,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,2,Finalize Resolution,AU,1899-12-30 02:56:16.000,1899-12-30 10:05:57.000,2,56,10,5,8
276569,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,1,Assigned to Tier 1,FR,1899-12-30 09:51:54.000,1899-12-30 09:51:55.000,9,51,9,51,0
276572,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,1,Assigned to Tier 1,FR,1899-12-30 10:06:16.000,1899-12-30 10:06:17.000,10,6,10,6,0
276579,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,2,Finalize Resolution,FR,1899-12-30 11:19:10.000,1899-12-30 11:50:13.000,11,19,11,50,8
276540,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,1,Assigned to Tier 1,AU,1899-12-30 00:57:49.000,1899-12-30 00:57:50.000,0,57,0,57,0
276582,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,1,Assigned to Tier 1,FR,1899-12-30 12:06:58.000,1899-12-30 12:06:59.000,12,6,12,6,0
276840,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,1,Assigned to Tier 1,AU,1899-12-30 00:16:33.000,1899-12-30 00:16:33.000,0,16,0,16,0
276582,2020-12-15 00:00:00.000,2020-12-16 00:00:00.000,2,Finalize Resolution,FR,1899-12-30 12:06:59.000,1899-12-30 11:02:59.000,12,6,11,2,8
276575,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,3,Case Closed!,FR,1899-12-30 11:04:57.000,1899-12-30 11:05:10.000,11,4,11,5,8
276567,2020-12-15 00:00:00.000,2020-12-16 00:00:00.000,3,Case Closed!,FR,1899-12-30 09:51:45.000,1899-12-30 08:18:27.000,9,51,8,18,8
276575,2020-12-15 00:00:00.000,2020-12-16 00:00:00.000,2,Finalize Resolution,FR,1899-12-30 10:17:55.000,1899-12-30 11:04:57.000,10,17,11,4,8
276840,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,3,Case Closed!,AU,1899-12-30 00:17:56.000,1899-12-30 00:18:02.000,0,17,0,18,0
276880,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,1,Assigned to Tier 1,FR,1899-12-30 10:43:15.000,1899-12-30 10:43:16.000,10,43,10,43,0
276564,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,1,Assigned to Tier 1,FR,1899-12-30 09:21:53.000,1899-12-30 09:21:54.000,9,21,9,21,0
276574,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,1,Assigned to Tier 1,FR,1899-12-30 10:08:09.000,1899-12-30 10:08:10.000,10,8,10,8,0
276572,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,2,Finalize Resolution,FR,1899-12-30 10:06:17.000,1899-12-30 14:53:13.000,10,6,14,53,8
276865,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,3,Case Closed!,AU,1899-12-30 10:05:57.000,1899-12-30 10:06:02.000,10,5,10,6,8
276574,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,3,Case Closed!,FR,1899-12-30 10:13:55.000,1899-12-30 10:20:32.000,10,13,10,20,8
276569,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,2,Finalize Resolution,FR,1899-12-30 09:51:55.000,1899-12-30 09:56:14.000,9,51,9,56,8
276880,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,2,Finalize Resolution,FR,1899-12-30 10:43:16.000,1899-12-30 10:44:26.000,10,43,10,44,8
276578,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,1,Assigned to Tier 1,FR,1899-12-30 10:54:59.000,1899-12-30 10:54:59.000,10,54,10,54,0
276880,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,3,Case Closed!,FR,1899-12-30 10:44:26.000,1899-12-30 10:44:32.000,10,44,10,44,0
276568,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,1,Assigned to Tier 1,FR,1899-12-30 09:50:50.000,1899-12-30 09:50:50.000,9,50,9,50,0
276572,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,3,Case Closed!,FR,1899-12-30 14:53:13.000,1899-12-30 14:53:20.000,14,53,14,53,0
276578,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,3,Case Closed!,FR,1899-12-30 15:03:30.000,1899-12-30 15:04:43.000,15,3,15,4,8
276568,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,3,Case Closed!,FR,1899-12-30 11:03:51.000,1899-12-30 11:04:14.000,11,3,11,4,8
276840,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,2,Finalize Resolution,AU,1899-12-30 00:16:33.000,1899-12-30 00:17:56.000,0,16,0,17,0
276578,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,2,Finalize Resolution,FR,1899-12-30 10:54:59.000,1899-12-30 15:03:30.000,10,54,15,3,8
276579,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,1,Assigned to Tier 1,FR,1899-12-30 11:19:09.000,1899-12-30 11:19:10.000,11,19,11,19,0
276540,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,3,Case Closed!,AU,1899-12-30 15:00:35.000,1899-12-30 15:00:41.000,15,0,15,0,0
276579,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,3,Case Closed!,FR,1899-12-30 11:50:13.000,1899-12-30 11:50:20.000,11,50,11,50,0
276848,2020-12-16 00:00:00.000,2020-12-16 00:00:00.000,2,Finalize Resolution,AU,1899-12-30 01:19:32.000,1899-12-30 01:29:07.000,1,19,1,29,0
276567,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,1,Assigned to Tier 1,FR,1899-12-30 09:44:31.000,1899-12-30 09:44:33.000,9,44,9,44,0
276589,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,3,Case Closed!,FR,1899-12-30 14:44:23.000,1899-12-30 14:45:34.000,14,44,14,45,8
276574,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,2,Finalize Resolution,FR,1899-12-30 10:08:10.000,1899-12-30 10:13:55.000,10,8,10,13,8
276569,2020-12-15 00:00:00.000,2020-12-15 00:00:00.000,3,Case Closed!,FR,1899-12-30 09:56:14.000,1899-12-30 09:56:20.000,9,56,9,56,0
