storagearraydisk_pk,resource_fk,name,identifier,category,element_type,vendor_define_type,storagearray_fk,storagearray_name,storagearray_type,storagearray_identifier,storagearraypool_fk,storagearraypool_name,block_size,drive_index,dpe,encryption,failed,failed_reason,hot_spare,manufacturer,model,part_number,plex_name,raid_group_name,rpm,serial_number,slot,software_version,technology,vaulted,capacity,used_capacity,free_capacity,spare_capacity,publish_capacity,consumable_capacity,percent_free,percent_used,status,first_added,last_edited,last_changed
"2118","2118","SH1.BAY7","disk|SH1.BAY7|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.223,2021-11-11 15:54:12.530,2021-07-27 14:53:25.463
"2386","2386","0:20:0","disk|200000030BA39B9B-id-20|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb021400","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.476,2021-11-11 20:16:12.286,2021-07-27 15:01:25.183
"2386","2386","0:20:0","disk|200000030BA39B9B-id-20|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb021400","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.476,2021-11-11 20:16:12.286,2021-07-27 15:01:25.183
"2391","2391","0:23:0","disk|200000030BA39E9B-id-23|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb021700","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.496,2021-11-11 20:16:12.313,2021-07-27 15:01:25.223
"2391","2391","0:23:0","disk|200000030BA39E9B-id-23|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb021700","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.496,2021-11-11 20:16:12.313,2021-07-27 15:01:25.223
"2384","2384","0:19:0","disk|200000030BA39A9B-id-19|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb021300","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.470,2021-11-11 20:16:12.276,2021-07-27 15:01:25.170
"2384","2384","0:19:0","disk|200000030BA39A9B-id-19|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb021300","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.470,2021-11-11 20:16:12.276,2021-07-27 15:01:25.170
"2367","2367","0:13:0","disk|200000030BA3949B-id-13|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb020d00","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.433,2021-11-11 20:16:12.223,2021-07-27 15:01:25.093
"2367","2367","0:13:0","disk|200000030BA3949B-id-13|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb020d00","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.433,2021-11-11 20:16:12.223,2021-07-27 15:01:25.093
"2406","2406","1:14:0","disk|200000030BA2959B-id-38|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb010e00","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.590,2021-11-11 20:16:12.443,2021-07-27 15:01:25.426
"2406","2406","1:14:0","disk|200000030BA2959B-id-38|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb010e00","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.590,2021-11-11 20:16:12.443,2021-07-27 15:01:25.426
"2382","2382","0:18:0","disk|200000030BA3999B-id-18|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb021200","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.463,2021-11-11 20:16:12.266,2021-07-27 15:01:25.160
"2382","2382","0:18:0","disk|200000030BA3999B-id-18|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb021200","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.463,2021-11-11 20:16:12.266,2021-07-27 15:01:25.160
"2410","2410","1:18:0","disk|200000030BA2999B-id-42|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb011200","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.613,2021-11-11 20:16:12.480,2021-07-27 15:01:25.476
"2410","2410","1:18:0","disk|200000030BA2999B-id-42|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb011200","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.613,2021-11-11 20:16:12.480,2021-07-27 15:01:25.476
"2433","2433","2:17:0","disk|200000030BA1989B-id-65|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb001100","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.746,2021-11-11 20:16:12.683,2021-07-27 15:01:25.766
"2433","2433","2:17:0","disk|200000030BA1989B-id-65|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb001100","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.746,2021-11-11 20:16:12.683,2021-07-27 15:01:25.766
"2105","2105","SH0.BAY18","disk|SH0.BAY18|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.180,2021-11-11 15:54:12.423,2021-07-27 14:53:25.313
"2432","2432","2:16:0","disk|200000030BA1979B-id-64|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb001000","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.740,2021-11-11 20:16:12.676,2021-07-27 15:01:25.753
"2432","2432","2:16:0","disk|200000030BA1979B-id-64|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb001000","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.740,2021-11-11 20:16:12.676,2021-07-27 15:01:25.753
"2437","2437","2:21:0","disk|200000030BA19C9B-id-69|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb001500","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.766,2021-11-11 20:16:12.720,2021-07-27 15:01:25.813
"2437","2437","2:21:0","disk|200000030BA19C9B-id-69|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb001500","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.766,2021-11-11 20:16:12.720,2021-07-27 15:01:25.813
"2090","2090","SH0.BAY3","disk|SH0.BAY3|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.123,2021-11-11 15:54:12.303,2021-07-27 14:53:25.136
"2439","2439","2:23:0","disk|200000030BA19E9B-id-71|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb001700","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.780,2021-11-11 20:16:12.736,2021-07-27 15:01:25.840
"2439","2439","2:23:0","disk|200000030BA19E9B-id-71|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb001700","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.780,2021-11-11 20:16:12.736,2021-07-27 15:01:25.840
"2109","2109","SH0.BAY22","disk|SH0.BAY22|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.193,2021-11-11 15:54:12.456,2021-07-27 14:53:25.360
"2145","2145","SH2.BAY10","disk|SH2.BAY10|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.316,2021-11-11 15:54:12.746,2021-07-27 14:53:25.770
"2463","2463","3:23:0","disk|200000030BA49E9B-id-95|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb031700","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.916,2021-11-11 20:16:12.950,2021-07-27 15:01:26.143
"2463","2463","3:23:0","disk|200000030BA49E9B-id-95|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb031700","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.916,2021-11-11 20:16:12.950,2021-07-27 15:01:26.143
"2212","2212","SH5.BAY5","disk|SH5.BAY5|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.550,2021-11-11 15:54:13.290,2021-07-27 14:53:26.573
"2088","2088","SH0.BAY1","disk|SH0.BAY1|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.116,2021-11-11 15:54:12.286,2021-07-27 14:53:25.116
"2131","2131","SH1.BAY20","disk|SH1.BAY20|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.266,2021-11-11 15:54:12.633,2021-07-27 14:53:25.613
"2207","2207","SH5.BAY0","disk|SH5.BAY0|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.533,2021-11-11 15:54:13.246,2021-07-27 14:53:26.506
"2221","2221","SH5.BAY14","disk|SH5.BAY14|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.593,2021-11-11 15:54:13.360,2021-07-27 14:53:26.683
"2226","2226","SH5.BAY19","disk|SH5.BAY19|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.610,2021-11-11 15:54:13.400,2021-07-27 14:53:26.743
"2227","2227","SH5.BAY20","disk|SH5.BAY20|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.613,2021-11-11 15:54:13.410,2021-07-27 14:53:26.756
"2228","2228","SH5.BAY21","disk|SH5.BAY21|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.616,2021-11-11 15:54:13.416,2021-07-27 14:53:26.766
"2461","2461","3:21:0","disk|200000030BA49C9B-id-93|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb031500","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.903,2021-11-11 20:16:12.933,2021-07-27 15:01:26.116
"2461","2461","3:21:0","disk|200000030BA49C9B-id-93|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb031500","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.903,2021-11-11 20:16:12.933,2021-07-27 15:01:26.116
"2413","2413","1:21:0","disk|200000030BA29C9B-id-45|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb011500","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.630,2021-11-11 20:16:12.506,2021-07-27 15:01:25.520
"2413","2413","1:21:0","disk|200000030BA29C9B-id-45|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb011500","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.630,2021-11-11 20:16:12.506,2021-07-27 15:01:25.520
"2435","2435","2:19:0","disk|200000030BA19A9B-id-67|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb001300","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.756,2021-11-11 20:16:12.703,2021-07-27 15:01:25.790
"2435","2435","2:19:0","disk|200000030BA19A9B-id-67|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb001300","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.756,2021-11-11 20:16:12.703,2021-07-27 15:01:25.790
"2431","2431","2:15:0","disk|200000030BA1969B-id-63|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb000f00","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.733,2021-11-11 20:16:12.666,2021-07-27 15:01:25.743
"2431","2431","2:15:0","disk|200000030BA1969B-id-63|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb000f00","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.733,2021-11-11 20:16:12.666,2021-07-27 15:01:25.743
"2106","2106","SH0.BAY19","disk|SH0.BAY19|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.183,2021-11-11 15:54:12.433,2021-07-27 14:53:25.323
"2412","2412","1:20:0","disk|200000030BA29B9B-id-44|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb011400","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.623,2021-11-11 20:16:12.496,2021-07-27 15:01:25.506
"2412","2412","1:20:0","disk|200000030BA29B9B-id-44|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb011400","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.623,2021-11-11 20:16:12.496,2021-07-27 15:01:25.506
"2152","2152","SH2.BAY17","disk|SH2.BAY17|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.343,2021-11-11 15:54:12.803,2021-07-27 14:53:25.853
"2163","2163","SH3.BAY4","disk|SH3.BAY4|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.380,2021-11-11 15:54:12.893,2021-07-27 14:53:25.976
"2182","2182","SH3.BAY23","disk|SH3.BAY23|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.443,2021-11-11 15:54:13.046,2021-07-27 14:53:26.200
"2201","2201","SH4.BAY18","disk|SH4.BAY18|array|def59bf5-854d-4d07-a456-adcceb18fceb","{disk}","disk","Disk","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,,"","","","",,"","PURE-SSD-511587647488","","","","","","","","ssd",,476.453,,,"",512,,"","","ok",2021-01-26 20:11:55.510,2021-11-11 15:54:13.200,2021-07-27 14:53:26.436
"2374","2374","0:15:0","disk|200000030BA3969B-id-15|array|2FF70002AC01855E","{disk}","disk","Disk","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E","2479","all-SSD",,,"","","","",False,"Hitachi","HRLP0400S5xnEMLC","","","","15000","bb020f00","","","ssd",,371,371,0,"",400,,"","","ok",2021-02-11 21:04:05.443,2021-11-11 20:16:12.243,2021-07-27 15:01:25.120
