Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,MonthName,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName,WeekEnding,Week Number,MonthnYear,QuarternYear,ShortYear,FY,MonthNo
1995-07-31 00:00:00.000,"1995",3,7,31,19950731,"July","Jul 1995","Q3 1995",0,"Monday",1995-08-06 00:00:00.000,32,19950700,19950300,"95","FY96",7
1996-07-01 00:00:00.000,"1996",3,7,1,19960701,"July","Jul 1996","Q3 1996",0,"Monday",1996-07-07 00:00:00.000,27,19960700,19960300,"96","FY97",7
1996-07-02 00:00:00.000,"1996",3,7,2,19960702,"July","Jul 1996","Q3 1996",1,"Tuesday",1996-07-07 00:00:00.000,27,19960700,19960300,"96","FY97",7
1996-07-03 00:00:00.000,"1996",3,7,3,19960703,"July","Jul 1996","Q3 1996",2,"Wednesday",1996-07-07 00:00:00.000,27,19960700,19960300,"96","FY97",7
1996-07-04 00:00:00.000,"1996",3,7,4,19960704,"July","Jul 1996","Q3 1996",3,"Thursday",1996-07-07 00:00:00.000,27,19960700,19960300,"96","FY97",7
1996-07-05 00:00:00.000,"1996",3,7,5,19960705,"July","Jul 1996","Q3 1996",4,"Friday",1996-07-07 00:00:00.000,27,19960700,19960300,"96","FY97",7
1996-07-06 00:00:00.000,"1996",3,7,6,19960706,"July","Jul 1996","Q3 1996",5,"Saturday",1996-07-07 00:00:00.000,27,19960700,19960300,"96","FY97",7
1996-07-07 00:00:00.000,"1996",3,7,7,19960707,"July","Jul 1996","Q3 1996",6,"Sunday",1996-07-07 00:00:00.000,27,19960700,19960300,"96","FY97",7
1996-07-08 00:00:00.000,"1996",3,7,8,19960708,"July","Jul 1996","Q3 1996",0,"Monday",1996-07-14 00:00:00.000,28,19960700,19960300,"96","FY97",7
1996-07-09 00:00:00.000,"1996",3,7,9,19960709,"July","Jul 1996","Q3 1996",1,"Tuesday",1996-07-14 00:00:00.000,28,19960700,19960300,"96","FY97",7
1996-07-10 00:00:00.000,"1996",3,7,10,19960710,"July","Jul 1996","Q3 1996",2,"Wednesday",1996-07-14 00:00:00.000,28,19960700,19960300,"96","FY97",7
1996-07-11 00:00:00.000,"1996",3,7,11,19960711,"July","Jul 1996","Q3 1996",3,"Thursday",1996-07-14 00:00:00.000,28,19960700,19960300,"96","FY97",7
1996-07-12 00:00:00.000,"1996",3,7,12,19960712,"July","Jul 1996","Q3 1996",4,"Friday",1996-07-14 00:00:00.000,28,19960700,19960300,"96","FY97",7
1996-07-13 00:00:00.000,"1996",3,7,13,19960713,"July","Jul 1996","Q3 1996",5,"Saturday",1996-07-14 00:00:00.000,28,19960700,19960300,"96","FY97",7
1996-07-14 00:00:00.000,"1996",3,7,14,19960714,"July","Jul 1996","Q3 1996",6,"Sunday",1996-07-14 00:00:00.000,28,19960700,19960300,"96","FY97",7
1996-07-15 00:00:00.000,"1996",3,7,15,19960715,"July","Jul 1996","Q3 1996",0,"Monday",1996-07-21 00:00:00.000,29,19960700,19960300,"96","FY97",7
1996-07-16 00:00:00.000,"1996",3,7,16,19960716,"July","Jul 1996","Q3 1996",1,"Tuesday",1996-07-21 00:00:00.000,29,19960700,19960300,"96","FY97",7
1996-07-17 00:00:00.000,"1996",3,7,17,19960717,"July","Jul 1996","Q3 1996",2,"Wednesday",1996-07-21 00:00:00.000,29,19960700,19960300,"96","FY97",7
1996-07-18 00:00:00.000,"1996",3,7,18,19960718,"July","Jul 1996","Q3 1996",3,"Thursday",1996-07-21 00:00:00.000,29,19960700,19960300,"96","FY97",7
1996-07-19 00:00:00.000,"1996",3,7,19,19960719,"July","Jul 1996","Q3 1996",4,"Friday",1996-07-21 00:00:00.000,29,19960700,19960300,"96","FY97",7
1996-07-20 00:00:00.000,"1996",3,7,20,19960720,"July","Jul 1996","Q3 1996",5,"Saturday",1996-07-21 00:00:00.000,29,19960700,19960300,"96","FY97",7
1996-07-21 00:00:00.000,"1996",3,7,21,19960721,"July","Jul 1996","Q3 1996",6,"Sunday",1996-07-21 00:00:00.000,29,19960700,19960300,"96","FY97",7
1996-07-22 00:00:00.000,"1996",3,7,22,19960722,"July","Jul 1996","Q3 1996",0,"Monday",1996-07-28 00:00:00.000,30,19960700,19960300,"96","FY97",7
1996-07-23 00:00:00.000,"1996",3,7,23,19960723,"July","Jul 1996","Q3 1996",1,"Tuesday",1996-07-28 00:00:00.000,30,19960700,19960300,"96","FY97",7
1996-07-24 00:00:00.000,"1996",3,7,24,19960724,"July","Jul 1996","Q3 1996",2,"Wednesday",1996-07-28 00:00:00.000,30,19960700,19960300,"96","FY97",7
1996-07-25 00:00:00.000,"1996",3,7,25,19960725,"July","Jul 1996","Q3 1996",3,"Thursday",1996-07-28 00:00:00.000,30,19960700,19960300,"96","FY97",7
1996-07-26 00:00:00.000,"1996",3,7,26,19960726,"July","Jul 1996","Q3 1996",4,"Friday",1996-07-28 00:00:00.000,30,19960700,19960300,"96","FY97",7
1996-07-27 00:00:00.000,"1996",3,7,27,19960727,"July","Jul 1996","Q3 1996",5,"Saturday",1996-07-28 00:00:00.000,30,19960700,19960300,"96","FY97",7
1996-07-28 00:00:00.000,"1996",3,7,28,19960728,"July","Jul 1996","Q3 1996",6,"Sunday",1996-07-28 00:00:00.000,30,19960700,19960300,"96","FY97",7
1996-07-29 00:00:00.000,"1996",3,7,29,19960729,"July","Jul 1996","Q3 1996",0,"Monday",1996-08-04 00:00:00.000,31,19960700,19960300,"96","FY97",7
1996-07-30 00:00:00.000,"1996",3,7,30,19960730,"July","Jul 1996","Q3 1996",1,"Tuesday",1996-08-04 00:00:00.000,31,19960700,19960300,"96","FY97",7
1996-07-31 00:00:00.000,"1996",3,7,31,19960731,"July","Jul 1996","Q3 1996",2,"Wednesday",1996-08-04 00:00:00.000,31,19960700,19960300,"96","FY97",7
1997-07-01 00:00:00.000,"1997",3,7,1,19970701,"July","Jul 1997","Q3 1997",1,"Tuesday",1997-07-06 00:00:00.000,27,19970700,19970300,"97","FY98",7
1997-07-02 00:00:00.000,"1997",3,7,2,19970702,"July","Jul 1997","Q3 1997",2,"Wednesday",1997-07-06 00:00:00.000,27,19970700,19970300,"97","FY98",7
1997-07-03 00:00:00.000,"1997",3,7,3,19970703,"July","Jul 1997","Q3 1997",3,"Thursday",1997-07-06 00:00:00.000,27,19970700,19970300,"97","FY98",7
1997-07-04 00:00:00.000,"1997",3,7,4,19970704,"July","Jul 1997","Q3 1997",4,"Friday",1997-07-06 00:00:00.000,27,19970700,19970300,"97","FY98",7
1997-07-05 00:00:00.000,"1997",3,7,5,19970705,"July","Jul 1997","Q3 1997",5,"Saturday",1997-07-06 00:00:00.000,27,19970700,19970300,"97","FY98",7
1997-07-06 00:00:00.000,"1997",3,7,6,19970706,"July","Jul 1997","Q3 1997",6,"Sunday",1997-07-06 00:00:00.000,27,19970700,19970300,"97","FY98",7
1997-07-07 00:00:00.000,"1997",3,7,7,19970707,"July","Jul 1997","Q3 1997",0,"Monday",1997-07-13 00:00:00.000,28,19970700,19970300,"97","FY98",7
1997-07-08 00:00:00.000,"1997",3,7,8,19970708,"July","Jul 1997","Q3 1997",1,"Tuesday",1997-07-13 00:00:00.000,28,19970700,19970300,"97","FY98",7
1997-07-09 00:00:00.000,"1997",3,7,9,19970709,"July","Jul 1997","Q3 1997",2,"Wednesday",1997-07-13 00:00:00.000,28,19970700,19970300,"97","FY98",7
1997-07-10 00:00:00.000,"1997",3,7,10,19970710,"July","Jul 1997","Q3 1997",3,"Thursday",1997-07-13 00:00:00.000,28,19970700,19970300,"97","FY98",7
1997-07-11 00:00:00.000,"1997",3,7,11,19970711,"July","Jul 1997","Q3 1997",4,"Friday",1997-07-13 00:00:00.000,28,19970700,19970300,"97","FY98",7
1997-07-12 00:00:00.000,"1997",3,7,12,19970712,"July","Jul 1997","Q3 1997",5,"Saturday",1997-07-13 00:00:00.000,28,19970700,19970300,"97","FY98",7
1997-07-13 00:00:00.000,"1997",3,7,13,19970713,"July","Jul 1997","Q3 1997",6,"Sunday",1997-07-13 00:00:00.000,28,19970700,19970300,"97","FY98",7
1997-07-14 00:00:00.000,"1997",3,7,14,19970714,"July","Jul 1997","Q3 1997",0,"Monday",1997-07-20 00:00:00.000,29,19970700,19970300,"97","FY98",7
1997-07-15 00:00:00.000,"1997",3,7,15,19970715,"July","Jul 1997","Q3 1997",1,"Tuesday",1997-07-20 00:00:00.000,29,19970700,19970300,"97","FY98",7
1997-07-16 00:00:00.000,"1997",3,7,16,19970716,"July","Jul 1997","Q3 1997",2,"Wednesday",1997-07-20 00:00:00.000,29,19970700,19970300,"97","FY98",7
1997-07-17 00:00:00.000,"1997",3,7,17,19970717,"July","Jul 1997","Q3 1997",3,"Thursday",1997-07-20 00:00:00.000,29,19970700,19970300,"97","FY98",7
1997-07-18 00:00:00.000,"1997",3,7,18,19970718,"July","Jul 1997","Q3 1997",4,"Friday",1997-07-20 00:00:00.000,29,19970700,19970300,"97","FY98",7
1997-07-19 00:00:00.000,"1997",3,7,19,19970719,"July","Jul 1997","Q3 1997",5,"Saturday",1997-07-20 00:00:00.000,29,19970700,19970300,"97","FY98",7
1997-07-20 00:00:00.000,"1997",3,7,20,19970720,"July","Jul 1997","Q3 1997",6,"Sunday",1997-07-20 00:00:00.000,29,19970700,19970300,"97","FY98",7
1997-07-21 00:00:00.000,"1997",3,7,21,19970721,"July","Jul 1997","Q3 1997",0,"Monday",1997-07-27 00:00:00.000,30,19970700,19970300,"97","FY98",7
1997-07-22 00:00:00.000,"1997",3,7,22,19970722,"July","Jul 1997","Q3 1997",1,"Tuesday",1997-07-27 00:00:00.000,30,19970700,19970300,"97","FY98",7
1997-07-23 00:00:00.000,"1997",3,7,23,19970723,"July","Jul 1997","Q3 1997",2,"Wednesday",1997-07-27 00:00:00.000,30,19970700,19970300,"97","FY98",7
1997-07-24 00:00:00.000,"1997",3,7,24,19970724,"July","Jul 1997","Q3 1997",3,"Thursday",1997-07-27 00:00:00.000,30,19970700,19970300,"97","FY98",7
1997-07-25 00:00:00.000,"1997",3,7,25,19970725,"July","Jul 1997","Q3 1997",4,"Friday",1997-07-27 00:00:00.000,30,19970700,19970300,"97","FY98",7
1997-07-26 00:00:00.000,"1997",3,7,26,19970726,"July","Jul 1997","Q3 1997",5,"Saturday",1997-07-27 00:00:00.000,30,19970700,19970300,"97","FY98",7
1997-07-27 00:00:00.000,"1997",3,7,27,19970727,"July","Jul 1997","Q3 1997",6,"Sunday",1997-07-27 00:00:00.000,30,19970700,19970300,"97","FY98",7
1997-07-28 00:00:00.000,"1997",3,7,28,19970728,"July","Jul 1997","Q3 1997",0,"Monday",1997-08-03 00:00:00.000,31,19970700,19970300,"97","FY98",7
1997-07-29 00:00:00.000,"1997",3,7,29,19970729,"July","Jul 1997","Q3 1997",1,"Tuesday",1997-08-03 00:00:00.000,31,19970700,19970300,"97","FY98",7
1997-07-30 00:00:00.000,"1997",3,7,30,19970730,"July","Jul 1997","Q3 1997",2,"Wednesday",1997-08-03 00:00:00.000,31,19970700,19970300,"97","FY98",7
1997-07-31 00:00:00.000,"1997",3,7,31,19970731,"July","Jul 1997","Q3 1997",3,"Thursday",1997-08-03 00:00:00.000,31,19970700,19970300,"97","FY98",7
1998-07-01 00:00:00.000,"1998",3,7,1,19980701,"July","Jul 1998","Q3 1998",2,"Wednesday",1998-07-05 00:00:00.000,27,19980700,19980300,"98","FY99",7
1998-07-02 00:00:00.000,"1998",3,7,2,19980702,"July","Jul 1998","Q3 1998",3,"Thursday",1998-07-05 00:00:00.000,27,19980700,19980300,"98","FY99",7
1998-07-03 00:00:00.000,"1998",3,7,3,19980703,"July","Jul 1998","Q3 1998",4,"Friday",1998-07-05 00:00:00.000,27,19980700,19980300,"98","FY99",7
1998-07-04 00:00:00.000,"1998",3,7,4,19980704,"July","Jul 1998","Q3 1998",5,"Saturday",1998-07-05 00:00:00.000,27,19980700,19980300,"98","FY99",7
1998-07-05 00:00:00.000,"1998",3,7,5,19980705,"July","Jul 1998","Q3 1998",6,"Sunday",1998-07-05 00:00:00.000,27,19980700,19980300,"98","FY99",7
1998-07-06 00:00:00.000,"1998",3,7,6,19980706,"July","Jul 1998","Q3 1998",0,"Monday",1998-07-12 00:00:00.000,28,19980700,19980300,"98","FY99",7
1998-07-07 00:00:00.000,"1998",3,7,7,19980707,"July","Jul 1998","Q3 1998",1,"Tuesday",1998-07-12 00:00:00.000,28,19980700,19980300,"98","FY99",7
1998-07-08 00:00:00.000,"1998",3,7,8,19980708,"July","Jul 1998","Q3 1998",2,"Wednesday",1998-07-12 00:00:00.000,28,19980700,19980300,"98","FY99",7
1998-07-09 00:00:00.000,"1998",3,7,9,19980709,"July","Jul 1998","Q3 1998",3,"Thursday",1998-07-12 00:00:00.000,28,19980700,19980300,"98","FY99",7
1998-07-10 00:00:00.000,"1998",3,7,10,19980710,"July","Jul 1998","Q3 1998",4,"Friday",1998-07-12 00:00:00.000,28,19980700,19980300,"98","FY99",7
1998-07-11 00:00:00.000,"1998",3,7,11,19980711,"July","Jul 1998","Q3 1998",5,"Saturday",1998-07-12 00:00:00.000,28,19980700,19980300,"98","FY99",7
1998-07-12 00:00:00.000,"1998",3,7,12,19980712,"July","Jul 1998","Q3 1998",6,"Sunday",1998-07-12 00:00:00.000,28,19980700,19980300,"98","FY99",7
1998-07-13 00:00:00.000,"1998",3,7,13,19980713,"July","Jul 1998","Q3 1998",0,"Monday",1998-07-19 00:00:00.000,29,19980700,19980300,"98","FY99",7
1998-07-14 00:00:00.000,"1998",3,7,14,19980714,"July","Jul 1998","Q3 1998",1,"Tuesday",1998-07-19 00:00:00.000,29,19980700,19980300,"98","FY99",7
1998-07-15 00:00:00.000,"1998",3,7,15,19980715,"July","Jul 1998","Q3 1998",2,"Wednesday",1998-07-19 00:00:00.000,29,19980700,19980300,"98","FY99",7
1998-07-16 00:00:00.000,"1998",3,7,16,19980716,"July","Jul 1998","Q3 1998",3,"Thursday",1998-07-19 00:00:00.000,29,19980700,19980300,"98","FY99",7
1998-07-17 00:00:00.000,"1998",3,7,17,19980717,"July","Jul 1998","Q3 1998",4,"Friday",1998-07-19 00:00:00.000,29,19980700,19980300,"98","FY99",7
1998-07-18 00:00:00.000,"1998",3,7,18,19980718,"July","Jul 1998","Q3 1998",5,"Saturday",1998-07-19 00:00:00.000,29,19980700,19980300,"98","FY99",7
1998-07-19 00:00:00.000,"1998",3,7,19,19980719,"July","Jul 1998","Q3 1998",6,"Sunday",1998-07-19 00:00:00.000,29,19980700,19980300,"98","FY99",7
1998-07-20 00:00:00.000,"1998",3,7,20,19980720,"July","Jul 1998","Q3 1998",0,"Monday",1998-07-26 00:00:00.000,30,19980700,19980300,"98","FY99",7
1998-07-21 00:00:00.000,"1998",3,7,21,19980721,"July","Jul 1998","Q3 1998",1,"Tuesday",1998-07-26 00:00:00.000,30,19980700,19980300,"98","FY99",7
1998-07-22 00:00:00.000,"1998",3,7,22,19980722,"July","Jul 1998","Q3 1998",2,"Wednesday",1998-07-26 00:00:00.000,30,19980700,19980300,"98","FY99",7
1998-07-23 00:00:00.000,"1998",3,7,23,19980723,"July","Jul 1998","Q3 1998",3,"Thursday",1998-07-26 00:00:00.000,30,19980700,19980300,"98","FY99",7
1998-07-24 00:00:00.000,"1998",3,7,24,19980724,"July","Jul 1998","Q3 1998",4,"Friday",1998-07-26 00:00:00.000,30,19980700,19980300,"98","FY99",7
1998-07-25 00:00:00.000,"1998",3,7,25,19980725,"July","Jul 1998","Q3 1998",5,"Saturday",1998-07-26 00:00:00.000,30,19980700,19980300,"98","FY99",7
1998-07-26 00:00:00.000,"1998",3,7,26,19980726,"July","Jul 1998","Q3 1998",6,"Sunday",1998-07-26 00:00:00.000,30,19980700,19980300,"98","FY99",7
1998-07-27 00:00:00.000,"1998",3,7,27,19980727,"July","Jul 1998","Q3 1998",0,"Monday",1998-08-02 00:00:00.000,31,19980700,19980300,"98","FY99",7
1998-07-28 00:00:00.000,"1998",3,7,28,19980728,"July","Jul 1998","Q3 1998",1,"Tuesday",1998-08-02 00:00:00.000,31,19980700,19980300,"98","FY99",7
1998-07-29 00:00:00.000,"1998",3,7,29,19980729,"July","Jul 1998","Q3 1998",2,"Wednesday",1998-08-02 00:00:00.000,31,19980700,19980300,"98","FY99",7
1998-07-30 00:00:00.000,"1998",3,7,30,19980730,"July","Jul 1998","Q3 1998",3,"Thursday",1998-08-02 00:00:00.000,31,19980700,19980300,"98","FY99",7
1998-07-31 00:00:00.000,"1998",3,7,31,19980731,"July","Jul 1998","Q3 1998",4,"Friday",1998-08-02 00:00:00.000,31,19980700,19980300,"98","FY99",7
1995-08-01 00:00:00.000,"1995",3,8,1,19950801,"August","Aug 1995","Q3 1995",1,"Tuesday",1995-08-06 00:00:00.000,32,19950800,19950300,"95","FY96",8
1995-08-02 00:00:00.000,"1995",3,8,2,19950802,"August","Aug 1995","Q3 1995",2,"Wednesday",1995-08-06 00:00:00.000,32,19950800,19950300,"95","FY96",8
1995-08-03 00:00:00.000,"1995",3,8,3,19950803,"August","Aug 1995","Q3 1995",3,"Thursday",1995-08-06 00:00:00.000,32,19950800,19950300,"95","FY96",8
1995-08-04 00:00:00.000,"1995",3,8,4,19950804,"August","Aug 1995","Q3 1995",4,"Friday",1995-08-06 00:00:00.000,32,19950800,19950300,"95","FY96",8
1995-08-05 00:00:00.000,"1995",3,8,5,19950805,"August","Aug 1995","Q3 1995",5,"Saturday",1995-08-06 00:00:00.000,32,19950800,19950300,"95","FY96",8
1995-08-06 00:00:00.000,"1995",3,8,6,19950806,"August","Aug 1995","Q3 1995",6,"Sunday",1995-08-06 00:00:00.000,32,19950800,19950300,"95","FY96",8
1995-08-07 00:00:00.000,"1995",3,8,7,19950807,"August","Aug 1995","Q3 1995",0,"Monday",1995-08-13 00:00:00.000,33,19950800,19950300,"95","FY96",8
1995-08-08 00:00:00.000,"1995",3,8,8,19950808,"August","Aug 1995","Q3 1995",1,"Tuesday",1995-08-13 00:00:00.000,33,19950800,19950300,"95","FY96",8
1995-08-09 00:00:00.000,"1995",3,8,9,19950809,"August","Aug 1995","Q3 1995",2,"Wednesday",1995-08-13 00:00:00.000,33,19950800,19950300,"95","FY96",8
1995-08-10 00:00:00.000,"1995",3,8,10,19950810,"August","Aug 1995","Q3 1995",3,"Thursday",1995-08-13 00:00:00.000,33,19950800,19950300,"95","FY96",8
1995-08-11 00:00:00.000,"1995",3,8,11,19950811,"August","Aug 1995","Q3 1995",4,"Friday",1995-08-13 00:00:00.000,33,19950800,19950300,"95","FY96",8
1995-08-12 00:00:00.000,"1995",3,8,12,19950812,"August","Aug 1995","Q3 1995",5,"Saturday",1995-08-13 00:00:00.000,33,19950800,19950300,"95","FY96",8
1995-08-13 00:00:00.000,"1995",3,8,13,19950813,"August","Aug 1995","Q3 1995",6,"Sunday",1995-08-13 00:00:00.000,33,19950800,19950300,"95","FY96",8
1995-08-14 00:00:00.000,"1995",3,8,14,19950814,"August","Aug 1995","Q3 1995",0,"Monday",1995-08-20 00:00:00.000,34,19950800,19950300,"95","FY96",8
1995-08-15 00:00:00.000,"1995",3,8,15,19950815,"August","Aug 1995","Q3 1995",1,"Tuesday",1995-08-20 00:00:00.000,34,19950800,19950300,"95","FY96",8
1995-08-16 00:00:00.000,"1995",3,8,16,19950816,"August","Aug 1995","Q3 1995",2,"Wednesday",1995-08-20 00:00:00.000,34,19950800,19950300,"95","FY96",8
1995-08-17 00:00:00.000,"1995",3,8,17,19950817,"August","Aug 1995","Q3 1995",3,"Thursday",1995-08-20 00:00:00.000,34,19950800,19950300,"95","FY96",8
1995-08-18 00:00:00.000,"1995",3,8,18,19950818,"August","Aug 1995","Q3 1995",4,"Friday",1995-08-20 00:00:00.000,34,19950800,19950300,"95","FY96",8
1995-08-19 00:00:00.000,"1995",3,8,19,19950819,"August","Aug 1995","Q3 1995",5,"Saturday",1995-08-20 00:00:00.000,34,19950800,19950300,"95","FY96",8
1995-08-20 00:00:00.000,"1995",3,8,20,19950820,"August","Aug 1995","Q3 1995",6,"Sunday",1995-08-20 00:00:00.000,34,19950800,19950300,"95","FY96",8
1995-08-21 00:00:00.000,"1995",3,8,21,19950821,"August","Aug 1995","Q3 1995",0,"Monday",1995-08-27 00:00:00.000,35,19950800,19950300,"95","FY96",8
1995-08-22 00:00:00.000,"1995",3,8,22,19950822,"August","Aug 1995","Q3 1995",1,"Tuesday",1995-08-27 00:00:00.000,35,19950800,19950300,"95","FY96",8
1995-08-23 00:00:00.000,"1995",3,8,23,19950823,"August","Aug 1995","Q3 1995",2,"Wednesday",1995-08-27 00:00:00.000,35,19950800,19950300,"95","FY96",8
1995-08-24 00:00:00.000,"1995",3,8,24,19950824,"August","Aug 1995","Q3 1995",3,"Thursday",1995-08-27 00:00:00.000,35,19950800,19950300,"95","FY96",8
1995-08-25 00:00:00.000,"1995",3,8,25,19950825,"August","Aug 1995","Q3 1995",4,"Friday",1995-08-27 00:00:00.000,35,19950800,19950300,"95","FY96",8
1995-08-26 00:00:00.000,"1995",3,8,26,19950826,"August","Aug 1995","Q3 1995",5,"Saturday",1995-08-27 00:00:00.000,35,19950800,19950300,"95","FY96",8
1995-08-27 00:00:00.000,"1995",3,8,27,19950827,"August","Aug 1995","Q3 1995",6,"Sunday",1995-08-27 00:00:00.000,35,19950800,19950300,"95","FY96",8
1995-08-28 00:00:00.000,"1995",3,8,28,19950828,"August","Aug 1995","Q3 1995",0,"Monday",1995-09-03 00:00:00.000,36,19950800,19950300,"95","FY96",8
1995-08-29 00:00:00.000,"1995",3,8,29,19950829,"August","Aug 1995","Q3 1995",1,"Tuesday",1995-09-03 00:00:00.000,36,19950800,19950300,"95","FY96",8
1995-08-30 00:00:00.000,"1995",3,8,30,19950830,"August","Aug 1995","Q3 1995",2,"Wednesday",1995-09-03 00:00:00.000,36,19950800,19950300,"95","FY96",8
1995-08-31 00:00:00.000,"1995",3,8,31,19950831,"August","Aug 1995","Q3 1995",3,"Thursday",1995-09-03 00:00:00.000,36,19950800,19950300,"95","FY96",8
1996-08-01 00:00:00.000,"1996",3,8,1,19960801,"August","Aug 1996","Q3 1996",3,"Thursday",1996-08-04 00:00:00.000,31,19960800,19960300,"96","FY97",8
