BA-Subregion,BA Code,BA Name,BA Subregion Code,BA Subregion Name,Generation Only BA,Demand by BA Subregion,City,NOAA Station ID
"ISNE-4004","ISNE","ISO New England","4004","Connecticut","No","Yes","Hartford, CT","GHCND:USW00014740"
"ISNE-4005","ISNE","ISO New England","4005","Rhode Island","No","Yes","Providence, RI","GHCND:USW00014765"
"ISNE-4006","ISNE","ISO New England","4006","Southeast Mass.","No","Yes","Barnstable Town, MA","GHCND:USC00193821"
"ISNE-4007","ISNE","ISO New England","4007","Western/Central Mass.","No","Yes","Springfield, MA","GHCND:US1MAHD0023"
"ISNE-4008","ISNE","ISO New England","4008","Northeast Mass","No","Yes","Boston, MA","GHCND:USW00014739"
"JEA-N/A","JEA","JEA","JEA","JEA","No","No","Jacksonville, FL","GHCND:USW00013889"
"LDWP-N/A","LDWP","Los Angeles Department of Water and Power","LDWP","Los Angeles Department of Water and Power","No","No","Los Angeles, CA","GHCND:USW00023174"
"LGEE-N/A","LGEE","Louisville Gas and Electric Company and Kentucky Utilities Company","LGEE","Louisville Gas and Electric Company and Kentucky Utilities Company","No","No","Louisville, KY","GHCND:USW00093821"
"MISO-0001","MISO","Midcontinent Independent System Operator, Inc.","0001","Zone 1","No","Yes","Minneapolis, MN","GHCND:USW00014922"
"MISO-0004","MISO","Midcontinent Independent System Operator, Inc.","0004","Zone 4","No","Yes","Springfield, IL","GHCND:USW00093822"
"MISO-0006","MISO","Midcontinent Independent System Operator, Inc.","0006","Zone 6","No","Yes","Indianapolis, IN","GHCND:USW00093819"
"MISO-0027","MISO","Midcontinent Independent System Operator, Inc.","0027","Zones 2 and 7","No","Yes","Detroit, MI","GHCND:USW00094847"
"MISO-0035","MISO","Midcontinent Independent System Operator, Inc.","0035","Zones 3 and 5","No","Yes","Des Moines, IA","GHCND:USW00014933"
"MISO-8910","MISO","Midcontinent Independent System Operator, Inc.","8910","Zones 8, 9, and 10","No","Yes","New Orleans, LA","GHCND:USW00012916"
"NEVP-N/A","NEVP","Nevada Power Company","NEVP","Nevada Power Company","No","No","Las Vegas, NV","GHCND:USW00023169"
"NSB-N/A","NSB","Utilities Commission of New Smyrna Beach","NSB","Utilities Commission of New Smyrna Beach","No","No","Daytona Beach, FL","GHCND:USW00012834"
"NWMT-N/A","NWMT","NorthWestern Corporation","NWMT","NorthWestern Corporation","No","No","Butte, MT","GHCND:USW00024135"
"NYIS-ZONA","NYIS","New York Independent System Operator","ZONA","West","No","Yes","Buffalo, NY","GHCND:USW00014733"
"NYIS-ZONB","NYIS","New York Independent System Operator","ZONB","Genesee","No","Yes","Rochester, NY","GHCND:USW00014768"
"NYIS-ZONC","NYIS","New York Independent System Operator","ZONC","Central","No","Yes","Syracuse, NY","GHCND:USW00014771"
"NYIS-ZOND","NYIS","New York Independent System Operator","ZOND","North","No","Yes","Plattsburgh, NY","GHCND:USW00064776"
"NYIS-ZONE","NYIS","New York Independent System Operator","ZONE","Mohawk Valley","No","Yes","Utica, NY","GHCND:USW00064775"
"NYIS-ZONF","NYIS","New York Independent System Operator","ZONF","Capital","No","Yes","Albany, NY","GHCND:USW00014735"
"NYIS-ZONG","NYIS","New York Independent System Operator","ZONG","Hudson Valley","No","Yes","Poughkeepsie, NY","GHCND:USR0000NSTO"
"NYIS-ZONH","NYIS","New York Independent System Operator","ZONH","Millwood","No","Yes","Middletown, NY","GHCND:USC00306774"
"NYIS-ZONI","NYIS","New York Independent System Operator","ZONI","Dunwoodie","No","Yes","Yonkers, NY","GHCND:USW00094728"
"NYIS-ZONJ","NYIS","New York Independent System Operator","ZONJ","New York City","No","Yes","New York, NY","GHCND:USW00014732"
"NYIS-ZONK","NYIS","New York Independent System Operator","ZONK","Long Island","No","Yes","Hempstead, NY","GHCND:USW00094789"
"OVEC-N/A","OVEC","Ohio Valley Electric Corporation","OVEC","Ohio Valley Electric Corporation","No","No","Cincinnati, OH","GHCND:USW00093814"
"PACE-N/A","PACE","PacifiCorp East","PACE","PacifiCorp East","No","No","Salt Lake City, UT","GHCND:USW00024127"
"PACW-N/A","PACW","PacifiCorp West","PACW","PacifiCorp West","No","No","Eureka, CA","GHCND:US1CAHM0035"
"PGE-N/A","PGE","Portland General Electric Company","PGE","Portland General Electric Company","No","No","Portland, OR","GHCND:USW00024229"
"PJM-AE","PJM","PJM Interconnection, LLC","AE","Atlantic Electric zone","No","Yes","Vineland, NJ","GHCND:USC00282805"
"PJM-AEP","PJM","PJM Interconnection, LLC","AEP","American Electric Power zone","No","Yes","Cincinnati, OH","GHCND:US1OHHM0013"
"PJM-AP","PJM","PJM Interconnection, LLC","AP","Allegheny Power zone","No","Yes","Pittsburgh, PA","GHCND:USW00094823"
"PJM-ATSI","PJM","PJM Interconnection, LLC","ATSI","American Transmission Systems, Inc. zone","No","Yes","Cleveland, OH","GHCND:USW00014820"
"PJM-BC","PJM","PJM Interconnection, LLC","BC","Baltimore Gas & Electric zone","No","Yes","Baltimore, MD","GHCND:USW00093721"
"PJM-CE","PJM","PJM Interconnection, LLC","CE","Commonwealth Edison zone","No","Yes","Philadelphia, PA","GHCND:USW00004852"
"PJM-DAY","PJM","PJM Interconnection, LLC","DAY","Dayton Power & Light zone","No","Yes","Dayton, OH","GHCND:USW00093815"
"PJM-DEOK","PJM","PJM Interconnection, LLC","DEOK","Duke Energy Ohio/Kentucky zone","No","Yes","Louisville, KY","GHCND:US1COBO0342"
"PJM-DOM","PJM","PJM Interconnection, LLC","DOM","Dominion Virginia Power zone","No","Yes","Arlington, VA","GHCND:USC00186800"
"PJM-DPL","PJM","PJM Interconnection, LLC","DPL","Delmarva Power & Light zone","No","Yes","Newark, DE","GHCND:USW00013781"
"PJM-DUQ","PJM","PJM Interconnection, LLC","DUQ","Duquesne Lighting Company zone","No","Yes","Pittsburgh, PA","GHCND:US1PAAL0074"
"PJM-EKPC","PJM","PJM Interconnection, LLC","EKPC","East Kentucky Power Cooperative zone","No","Yes","Lexington, KY","GHCND:USW00093820"
"PJM-JC","PJM","PJM Interconnection, LLC","JC","Jersey Central Power & Light zone","No","Yes","Trenton, NJ","GHCND:USC00286964"
"PJM-ME","PJM","PJM Interconnection, LLC","ME","Metropolitan Edison zone","No","Yes","Allentown, PA","GHCND:USW00014737"
"PJM-PE","PJM","PJM Interconnection, LLC","PE","PECO Energy zone","No","Yes","Philadelphia, PA","GHCND:USW00013739"
"PJM-PEP","PJM","PJM Interconnection, LLC","PEP","Potomac Electric Power zone","No","Yes","Washington D.C.,","GHCND:USW00013743"
"PJM-PL","PJM","PJM Interconnection, LLC","PL","Pennsylvania Power & Light zone","No","Yes","Scranton, PA","GHCND:USW00014777"
"PJM-PN","PJM","PJM Interconnection, LLC","PN","Pennsylvania Electric zone","No","Yes","Pittsburgh, PA","GHCND:USW00014762"
"PJM-PS","PJM","PJM Interconnection, LLC","PS","Public Service Electric & Gas zone","No","Yes","Pittsburgh, PA","GHCND:US1PAAL0029"
"PJM-RECO","PJM","PJM Interconnection, LLC","RECO","Rockland Electric (East) zone","No","Yes","Newark, NJ","GHCND:USW00014734"
"PNM-Frep","PNM","Public Service Company of New Mexico","Frep","Frep","No","Yes","Albuquerque, NM","GHCND:USW00023050"
"PNM-Jica","PNM","Public Service Company of New Mexico","Jica","Jicarilla Apache Nation","No","Yes","Albuquerque, NM","GHCND:US1NMBR0197"
"PNM-KAFB","PNM","Public Service Company of New Mexico","KAFB","Kirtland Air Force Base","No","Yes","Albuquerque, NM","GHCND:US1NMBR0139"
"PNM-KCEC","PNM","Public Service Company of New Mexico","KCEC","Kit Carson Electric Cooperative","No","Yes","Albuquerque, NM","GHCND:US1NMBR0149"
"PNM-LAC","PNM","Public Service Company of New Mexico","LAC","Los Alamos County","No","Yes","Albuquerque, NM","GHCND:US1NMBR0138"
"PNM-NTUA","PNM","Public Service Company of New Mexico","NTUA","Navajo Tribal Utility Authority","No","Yes","Albuquerque, NM","GHCND:US1NMBR0124"
"PNM-PNM","PNM","Public Service Company of New Mexico","PNM","PNM","No","Yes","Albuquerque, NM","GHCND:US1NMBR0220"
"PNM-TSGT","PNM","Public Service Company of New Mexico","TSGT","Tri-State Generation and Transmission","No","Yes","Albuquerque, NM","GHCND:US1NMBR0205"
"PSCO-N/A","PSCO","Public Service Company of Colorado","PSCO","Public Service Company of Colorado","No","No","Colorado Springs, CO","GHCND:USW00003017"
"PSEI-N/A","PSEI","Puget Sound Energy, Inc.","PSEI","Puget Sound Energy, Inc.","No","No","Bellingham, WA","GHCND:US1WAWC0019"
"SCEG-N/A","SCEG","South Carolina Electric & Gas Company","SCEG","South Carolina Electric & Gas Company","No","No","Charleston, SC","GHCND:USW00013880"
"SCL-N/A","SCL","Seattle City Light","SCL","Seattle City Light","No","No","Seattle, WA","GHCND:USW00024233"
"SC-N/A","SC","South Carolina Public Service Authority","SC","South Carolina Public Service Authority","No","No","Savannah, GA","GHCND:USW00003822"
"SEC-N/A","SEC","Seminole Electric Cooperative","SEC","Seminole Electric Cooperative","No","No","Tampa, FL","GHCND:USW00012842"
"SOCO-N/A","SOCO","Southern Company Services, Inc. - Trans","SOCO","Southern Company Services, Inc. - Trans","No","No","Atlanta, GA","GHCND:USW00013874"
"SPA-N/A","SPA","Southwestern Power Administration","SPA","Southwestern Power Administration","No","No","Little Rock, AR","GHCND:USC00034625"
"SRP-N/A","SRP","Salt River Project Agricultural Improvement and Power District","SRP","Salt River Project Agricultural Improvement and Power District","No","No","Phoenix, AZ","GHCND:US1AZMR0198"
"SWPP-CSWS","SWPP","Southwest Power Pool","CSWS","AEPW American Electric Power West","No","Yes","Kansas City, MO","GHCND:USC00140957"
"SWPP-EDE","SWPP","Southwest Power Pool","EDE","Empire District Electric Company","No","Yes","Kansas City, MO","GHCND:US1KSFO0018"
"SWPP-GRDA","SWPP","Southwest Power Pool","GRDA","Grand River Dam Authority","No","Yes","Little Rock, AR","GHCND:US1ARPS0053"
"SWPP-INDN","SWPP","Southwest Power Pool","INDN","Independence Power & Light","No","Yes","Little Rock, AR","GHCND:US1ARPS0066"
"SWPP-KACY","SWPP","Southwest Power Pool","KACY","Kansas City Board of Public Utilities","No","Yes","Kansas City, MO","GHCND:US1KSFI0004"
"SWPP-KCPL","SWPP","Southwest Power Pool","KCPL","Kansas City Power & Light","No","Yes","Kansas City, MO","GHCND:USW00003947"
"SWPP-LES","SWPP","Southwest Power Pool","LES","Lincoln Electric System","No","Yes","Lincoln, NE","GHCND:USW00014939"
"SWPP-MPS","SWPP","Southwest Power Pool","MPS","KCP&L Greater Missouri Operations","No","Yes","Kansas City, MO","GHCND:USW00013988"
"SWPP-NPPD","SWPP","Southwest Power Pool","NPPD","Nebraska Public Power District","No","Yes","Lincoln, NE","GHCND:US1NELA0019"
"SWPP-OKGE","SWPP","Southwest Power Pool","OKGE","Oklahoma Gas and Electric Co.","No","Yes","Oklahoma City, OK","GHCND:USW00013967"
"SWPP-OPPD","SWPP","Southwest Power Pool","OPPD","Omaha Public Power District","No","Yes","Omaha, NE","GHCND:USW00014942"
"SWPP-SECI","SWPP","Southwest Power Pool","SECI","Sunflower Electric","No","Yes","Topeka, KS","GHCND:USW00013996"
"SWPP-SPRM","SWPP","Southwest Power Pool","SPRM","City of Springfield","No","Yes","Little Rock, AR","GHCND:US1ARPS0020"
"SWPP-SPS","SWPP","Southwest Power Pool","SPS","Southwestern Public Service Company","No","Yes","Amarillo, TX","GHCND:USW00023047"
"SWPP-WAUE","SWPP","Southwest Power Pool","WAUE","Western Area Power Upper Great Plains East","No","Yes","Oklahoma City, OK","GHCND:US1OKOK0019"
"SWPP-WFEC","SWPP","Southwest Power Pool","WFEC","Western Farmers Electric Cooperative","No","Yes","Oklahoma City, OK","GHCND:USW00003954"
"SWPP-WR","SWPP","Southwest Power Pool","WR","Westar Energy","No","Yes","Oklahoma City, OK","GHCND:USC00346659"
"TAL-N/A","TAL","City of Tallahassee","TAL","City of Tallahassee","No","No","Tallahassee, FL","GHCND:USC00088756"
"TEC-N/A","TEC","Tampa Electric Company","TEC","Tampa Electric Company","No","No","Tampa, FL","GHCND:US1FLHB0029"
"TEPC-N/A","TEPC","Tucson Electric Power","TEPC","Tucson Electric Power","No","No","Tucson, AZ","GHCND:USW00023160"
"TIDC-N/A","TIDC","Turlock Irrigation District","TIDC","Turlock Irrigation District","No","No","Modesto, CA","GHCND:USW00023258"
"TPWR-N/A","TPWR","City of Tacoma, Department of Public Utilities, Light Division","TPWR","City of Tacoma, Department of Public Utilities, Light Division","No","No","Tacoma, WA","GHCND:USC00455224"
"TVA-N/A","TVA","Tennessee Valley Authority","TVA","Tennessee Valley Authority","No","No","Memphis, TN","GHCND:USW00013893"
"WACM-N/A","WACM","Western Area Power Administration - Rocky Mountain Region","WACM","Western Area Power Administration - Rocky Mountain Region","No","No","Seattle, WA","GHCND:US1WAKG0079"
"WALC-N/A","WALC","Western Area Power Administration - Desert Southwest Region","WALC","Western Area Power Administration - Desert Southwest Region","No","No","Phoenix, AZ","GHCND:US1AZMR0057"
"WAUE-N/A","WAUE","Western Area Power Administration - Upper Great Plains East","WAUE","Western Area Power Administration - Upper Great Plains East","No","No","Denver, CO","GHCND:US1COAR0043"
"WAUW-N/A","WAUW","Western Area Power Administration - Upper Great Plains West","WAUW","Western Area Power Administration - Upper Great Plains West","No","No","Seattle, WA","GHCND:US1WAKG0200"
