Item Number,Category,Product Name,Week ID,Week Number ID,Average Inventory On Hand ($),In-Stock %,Sales ($),Year and Quarter
18446,Low Cost Computers,"2020 HP 14“ Laptop (AMD A9-9425 up to 3.7 GHz, 4GB DDR4 RAM, 128GB SSD, AMD Radeon R5 Graphic, Wi-Fi, Bluetooth, HDMI, Windows 10 Home)",2019-03-22 00:00:00.000,7,27251.38,0.994052432232086,1530.88,2019 1
18446,Low Cost Computers,"2020 HP 14“ Laptop (AMD A9-9425 up to 3.7 GHz, 4GB DDR4 RAM, 128GB SSD, AMD Radeon R5 Graphic, Wi-Fi, Bluetooth, HDMI, Windows 10 Home)",2019-04-26 00:00:00.000,12,16682.7,0.981671061099796,1037.63,2019 2
25621,Premium Computers,"Dell Latitude 5300 13.3-inch FHD 512GB SSD Touchscreen 2-in-1 Laptop (16GB RAM, Quad-Core i7-8665U up to 4.8GHz, Integrated UHD 620 Graphics, Windows 10 Pro) Black",2019-09-13 00:00:00.000,32,79739.07,0.988053260615437,21820.87,2019 3
18595,Tablets,"Apple iPad (Wi-Fi, 16GB) - Space Gray (Previous Model)",2019-03-29 00:00:00.000,8,10544.81,0.950886066068312,3035.29,2019 1
29744,Premium Computers,"2020 HP 15.6"" Touchscreen Laptop Computer, 10th Gen Intel Quard-Core i5 1035G1(Beats i7-7500U), 32GB DDR4 RAM, 2TB PCIe SSD, AC WiFi, Silver, Windows 10 Home + YZAKKA External DVD Drive",2019-10-18 00:00:00.000,37,17656.3,0.996024856858847,1139.14,2019 4
25635,Monitors,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA port),2019-07-05 00:00:00.000,22,37881.1,0.989838567680133,4727.8,2019 3
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2020-01-10 00:00:00.000,49,544.5,1.000001,29.99,2020 1
25621,Premium Computers,"Dell Latitude 5300 13.3-inch FHD 512GB SSD Touchscreen 2-in-1 Laptop (16GB RAM, Quad-Core i7-8665U up to 4.8GHz, Integrated UHD 620 Graphics, Windows 10 Pro) Black",2019-08-09 00:00:00.000,27,28686.15,0.99250625546111,23789.12,2019 3
25621,Premium Computers,"Dell Latitude 5300 13.3-inch FHD 512GB SSD Touchscreen 2-in-1 Laptop (16GB RAM, Quad-Core i7-8665U up to 4.8GHz, Integrated UHD 620 Graphics, Windows 10 Pro) Black",2019-07-05 00:00:00.000,22,56876.44,0.992965392964393,33128.35,2019 3
18432,Premium Computers,"Razer Blade 15 Gaming Laptop 2019: Intel Core i7-9750H 6 Core, NVIDIA GeForce RTX 2060, 15.6"" FHD 1080p 144Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3, Quartz Pink",2019-09-13 00:00:00.000,32,25469.99,0.97938154637202,4762.24,2019 3
26473,Low Cost Computers,"2020 HP Premium 14"" Micro-Edge Laptop Computer, AMD A9-9425 up to 3.7GHz, 4GB DDR4 RAM, 128GB PCIe SSD, WiFi, Bluetooth 4.2, USB Type-C, HDMI, Webcam, Silver, Windows 10 Home, YZAKKA Accessories",2019-04-12 00:00:00.000,10,72869.96,0.992692029900332,12463.24,2019 2
18446,Low Cost Computers,"2020 HP 14“ Laptop (AMD A9-9425 up to 3.7 GHz, 4GB DDR4 RAM, 128GB SSD, AMD Radeon R5 Graphic, Wi-Fi, Bluetooth, HDMI, Windows 10 Home)",2019-12-27 00:00:00.000,47,13233.49,0.967015993184916,791.38,2019 4
26858,Tablets,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - White",2019-08-23 00:00:00.000,29,8300.23,0.983352235230934,271.02,2019 3
26626,Premium Computers,"HP ENVY 13 Inch Thin Laptop w/ Fingerprint Reader, 4K Touchscreen, Intel Core i7-8565U, NVIDIA GeForce MX250 Graphics, 16GB SDRAM, 512GB SSD, Windows 10 Home (13-aq0044nr, Natural Silver)",2019-11-08 00:00:00.000,40,60945.59,0.993699698283724,7928.76,2019 4
18581,Computer Monitors,"27''W Inch Privacy Screen Filter for Desktop Computer Widescreen Monitor - Anti-Glare, Blocks 96% UV,Anti-Scratch with 16:9 Aspect Ratio",2019-06-28 00:00:00.000,21,4262.14,0.967730240456513,621.96,2019 2
98028,Premium Computers,"Lenovo ThinkPad T490s Business Laptop, 14.0"" FHD (1920 x 1080) IPS Touchscreen Notebook, Intel i7-8665U Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Windows 10 Pro 64-bit",2020-01-24 00:00:00.000,51,6735.26,0.755401914000831,2057.48,2020 1
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-09-13 00:00:00.000,32,11717.99,0.991626901666529,2018.48,2019 3
18581,Computer Monitors,"27''W Inch Privacy Screen Filter for Desktop Computer Widescreen Monitor - Anti-Glare, Blocks 96% UV,Anti-Scratch with 16:9 Aspect Ratio",2019-04-05 00:00:00.000,9,4225.58,0.995695716242661,244.99,2019 2
18446,Low Cost Computers,"2020 HP 14“ Laptop (AMD A9-9425 up to 3.7 GHz, 4GB DDR4 RAM, 128GB SSD, AMD Radeon R5 Graphic, Wi-Fi, Bluetooth, HDMI, Windows 10 Home)",2019-11-22 00:00:00.000,42,18220.75,0.954462990451708,4244.07,2019 4
98028,Premium Computers,"Lenovo ThinkPad T490s Business Laptop, 14.0"" FHD (1920 x 1080) IPS Touchscreen Notebook, Intel i7-8665U Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Windows 10 Pro 64-bit",2019-07-05 00:00:00.000,22,344480.52,0.989649033126294,44523.41,2019 3
29744,Premium Computers,"2020 HP 15.6"" Touchscreen Laptop Computer, 10th Gen Intel Quard-Core i5 1035G1(Beats i7-7500U), 32GB DDR4 RAM, 2TB PCIe SSD, AC WiFi, Silver, Windows 10 Home + YZAKKA External DVD Drive",2019-06-28 00:00:00.000,21,27068.03,0.983662499790532,2328.27,2019 2
18491,Monitors,"27 Inch 16:9 Aspect Ratio Computer Privacy Screen Filter for Widescreen Computer Monitor 23.6""x13.3"" Anti-Glare - Anti-Scratch Protector Film for Data Confidentiality - We Offer 2 Different 27"" Sizes",2019-05-03 00:00:00.000,13,16970.45,0.939431037569871,8115.26,2019 2
25635,Monitors,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA port),2019-08-09 00:00:00.000,27,27295.81,0.99414769837205,5513.13,2019 3
18446,Low Cost Computers,"2020 HP 14“ Laptop (AMD A9-9425 up to 3.7 GHz, 4GB DDR4 RAM, 128GB SSD, AMD Radeon R5 Graphic, Wi-Fi, Bluetooth, HDMI, Windows 10 Home)",2019-05-31 00:00:00.000,17,44258.04,0.991996823908126,10321.37,2019 2
29744,Premium Computers,"2020 HP 15.6"" Touchscreen Laptop Computer, 10th Gen Intel Quard-Core i5 1035G1(Beats i7-7500U), 32GB DDR4 RAM, 2TB PCIe SSD, AC WiFi, Silver, Windows 10 Home + YZAKKA External DVD Drive",2019-06-14 00:00:00.000,19,16156.03,0.945081343385428,2503.4,2019 2
26626,Premium Computers,"HP ENVY 13 Inch Thin Laptop w/ Fingerprint Reader, 4K Touchscreen, Intel Core i7-8565U, NVIDIA GeForce MX250 Graphics, 16GB SDRAM, 512GB SSD, Windows 10 Home (13-aq0044nr, Natural Silver)",2019-07-12 00:00:00.000,23,61406.88,0.990568655633682,46979.88,2019 3
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-10-18 00:00:00.000,37,688.6,1.000001,23.19,2019 4
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-11-08 00:00:00.000,40,1120.32,1.000001,24.68,2019 4
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-06-14 00:00:00.000,19,16135.65,0.935567538531942,1944.3,2019 2
18491,Monitors,"27 Inch 16:9 Aspect Ratio Computer Privacy Screen Filter for Widescreen Computer Monitor 23.6""x13.3"" Anti-Glare - Anti-Scratch Protector Film for Data Confidentiality - We Offer 2 Different 27"" Sizes",2019-09-06 00:00:00.000,31,43730.26,0.987753490631569,8435.68,2019 3
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2020-01-17 00:00:00.000,50,10919.42,0.959602498948908,2165.77,2020 1
98028,Premium Computers,"Lenovo ThinkPad T490s Business Laptop, 14.0"" FHD (1920 x 1080) IPS Touchscreen Notebook, Intel i7-8665U Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Windows 10 Pro 64-bit",2019-09-06 00:00:00.000,31,17618.82,0.981629735947354,6819.71,2019 3
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-03-22 00:00:00.000,7,9231.38,0.975001,1892.98,2019 1
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2020-01-31 00:00:00.000,52,94.22,1.000001,-9.03,2020 1
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-08-30 00:00:00.000,30,14845.42,0.940317241659812,1954.3,2019 3
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-08-02 00:00:00.000,26,13175.65,0.972845472890189,2210.26,2019 3
26992,Tablets,"Apple iPad (Wi-Fi, 64GB) - White (Previous Model)",2019-06-21 00:00:00.000,20,17512.03,0.991837734693878,768.56,2019 2
98028,Premium Computers,"Lenovo ThinkPad T490s Business Laptop, 14.0"" FHD (1920 x 1080) IPS Touchscreen Notebook, Intel i7-8665U Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Windows 10 Pro 64-bit",2019-11-15 00:00:00.000,41,84499.26,0.993511648021205,25079.61,2019 4
25635,Monitors,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA port),2019-11-15 00:00:00.000,41,34431.6,0.988768784341459,4135.89,2019 4
18595,Tablets,"Apple iPad (Wi-Fi, 16GB) - Space Gray (Previous Model)",2019-06-14 00:00:00.000,19,17857.4,0.993428579365079,348.28,2019 2
25621,Premium Computers,"Dell Latitude 5300 13.3-inch FHD 512GB SSD Touchscreen 2-in-1 Laptop (16GB RAM, Quad-Core i7-8665U up to 4.8GHz, Integrated UHD 620 Graphics, Windows 10 Pro) Black",2019-05-24 00:00:00.000,16,49368.9,0.991489972270523,13645.68,2019 2
18595,Tablets,"Apple iPad (Wi-Fi, 16GB) - Space Gray (Previous Model)",2019-06-07 00:00:00.000,18,28021.32,0.902866187148062,9136.45,2019 2
18581,Computer Monitors,"27''W Inch Privacy Screen Filter for Desktop Computer Widescreen Monitor - Anti-Glare, Blocks 96% UV,Anti-Scratch with 16:9 Aspect Ratio",2019-09-06 00:00:00.000,31,4841.75,0.997626643055006,224.02,2019 3
18581,Computer Monitors,"27''W Inch Privacy Screen Filter for Desktop Computer Widescreen Monitor - Anti-Glare, Blocks 96% UV,Anti-Scratch with 16:9 Aspect Ratio",2019-03-08 00:00:00.000,5,2648.58,0.979592836734694,512.76,2019 1
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-11-08 00:00:00.000,40,796.32,1.000001,15.7,2019 4
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-12-20 00:00:00.000,46,678.28,1.000001,4.68,2019 4
98028,Premium Computers,"Lenovo ThinkPad T490s Business Laptop, 14.0"" FHD (1920 x 1080) IPS Touchscreen Notebook, Intel i7-8665U Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Windows 10 Pro 64-bit",2019-09-27 00:00:00.000,34,19715.85,0.990404071017274,6244.02,2019 3
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-11-22 00:00:00.000,42,780.21,1.000001,21.49,2019 4
18491,Monitors,"27 Inch 16:9 Aspect Ratio Computer Privacy Screen Filter for Widescreen Computer Monitor 23.6""x13.3"" Anti-Glare - Anti-Scratch Protector Film for Data Confidentiality - We Offer 2 Different 27"" Sizes",2019-09-13 00:00:00.000,32,29479.97,0.9887795930082,5182.1,2019 3
18442,Tablets,"Fire HD 8 Tablet (10"" HD Display, 16 GB) - Black",2019-09-27 00:00:00.000,34,9546.25,0.984997318114875,1091.3,2019 3
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-10-18 00:00:00.000,37,1300.77,1.000001,44.13,2019 4
18595,Tablets,"Apple iPad (Wi-Fi, 16GB) - Space Gray (Previous Model)",2019-10-25 00:00:00.000,38,11907.8,0.971536269709544,2649.37,2019 4
18595,Tablets,"Apple iPad (Wi-Fi, 16GB) - Space Gray (Previous Model)",2020-01-17 00:00:00.000,50,28878.21,0.954408294832827,3388.7,2020 1
98028,Premium Computers,"Lenovo ThinkPad T490s Business Laptop, 14.0"" FHD (1920 x 1080) IPS Touchscreen Notebook, Intel i7-8665U Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Windows 10 Pro 64-bit",2019-02-15 00:00:00.000,2,13058.15,0.983883783882784,6362.64,2019 1
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-06-28 00:00:00.000,21,10292.37,0.973468520585544,1096.82,2019 2
18581,Computer Monitors,"27''W Inch Privacy Screen Filter for Desktop Computer Widescreen Monitor - Anti-Glare, Blocks 96% UV,Anti-Scratch with 16:9 Aspect Ratio",2019-02-22 00:00:00.000,3,7200.13,0.992936635792779,509.79,2019 1
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-02-22 00:00:00.000,3,9461.71,0.971686146155961,966.4,2019 1
29744,Premium Computers,"2020 HP 15.6"" Touchscreen Laptop Computer, 10th Gen Intel Quard-Core i5 1035G1(Beats i7-7500U), 32GB DDR4 RAM, 2TB PCIe SSD, AC WiFi, Silver, Windows 10 Home + YZAKKA External DVD Drive",2019-10-25 00:00:00.000,38,29033.5,0.99336912350511,6085.51,2019 4
18446,Low Cost Computers,"2020 HP 14“ Laptop (AMD A9-9425 up to 3.7 GHz, 4GB DDR4 RAM, 128GB SSD, AMD Radeon R5 Graphic, Wi-Fi, Bluetooth, HDMI, Windows 10 Home)",2019-04-12 00:00:00.000,10,19467.38,0.952324056882327,2272.32,2019 2
98028,Premium Computers,"Lenovo ThinkPad T490s Business Laptop, 14.0"" FHD (1920 x 1080) IPS Touchscreen Notebook, Intel i7-8665U Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Windows 10 Pro 64-bit",2019-08-30 00:00:00.000,30,17101.7,0.984097517685769,7295.93,2019 3
25613,Tablets,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - Black",2019-12-20 00:00:00.000,46,44789.77,0.981522378853165,5564.62,2019 4
29744,Premium Computers,"2020 HP 15.6"" Touchscreen Laptop Computer, 10th Gen Intel Quard-Core i5 1035G1(Beats i7-7500U), 32GB DDR4 RAM, 2TB PCIe SSD, AC WiFi, Silver, Windows 10 Home + YZAKKA External DVD Drive",2019-11-08 00:00:00.000,40,34717.42,0.97599216916567,10908.6,2019 4
29744,Premium Computers,"2020 HP 15.6"" Touchscreen Laptop Computer, 10th Gen Intel Quard-Core i5 1035G1(Beats i7-7500U), 32GB DDR4 RAM, 2TB PCIe SSD, AC WiFi, Silver, Windows 10 Home + YZAKKA External DVD Drive",2019-09-20 00:00:00.000,33,24642.81,0.990968741935484,2561.82,2019 3
18520,Tablets,"Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)",2019-05-24 00:00:00.000,16,14027.2,0.922029004026723,5018.91,2019 2
98028,Premium Computers,"Lenovo ThinkPad T490s Business Laptop, 14.0"" FHD (1920 x 1080) IPS Touchscreen Notebook, Intel i7-8665U Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Windows 10 Pro 64-bit",2019-12-06 00:00:00.000,44,14464.51,0.989215879809889,6140.83,2019 4
98028,Premium Computers,"Lenovo ThinkPad T490s Business Laptop, 14.0"" FHD (1920 x 1080) IPS Touchscreen Notebook, Intel i7-8665U Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Windows 10 Pro 64-bit",2019-06-21 00:00:00.000,20,1793.99,0.962026316455696,111.24,2019 2
25621,Premium Computers,"Dell Latitude 5300 13.3-inch FHD 512GB SSD Touchscreen 2-in-1 Laptop (16GB RAM, Quad-Core i7-8665U up to 4.8GHz, Integrated UHD 620 Graphics, Windows 10 Pro) Black",2019-11-01 00:00:00.000,39,50691.49,0.988484685220729,23017.33,2019 4
18581,Computer Monitors,"27''W Inch Privacy Screen Filter for Desktop Computer Widescreen Monitor - Anti-Glare, Blocks 96% UV,Anti-Scratch with 16:9 Aspect Ratio",2019-12-20 00:00:00.000,46,3586.16,0.916175734356552,302.33,2019 4
26858,Tablets,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - White",2019-04-19 00:00:00.000,11,36760.7,0.994601904713264,2135.85,2019 2
26858,Tablets,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - White",2019-06-14 00:00:00.000,19,35711.51,0.975375573505415,1911.61,2019 2
18432,Premium Computers,"Razer Blade 15 Gaming Laptop 2019: Intel Core i7-9750H 6 Core, NVIDIA GeForce RTX 2060, 15.6"" FHD 1080p 144Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3, Quartz Pink",2020-01-24 00:00:00.000,51,32365.92,0.95229826336932,9592.53,2020 1
25621,Premium Computers,"Dell Latitude 5300 13.3-inch FHD 512GB SSD Touchscreen 2-in-1 Laptop (16GB RAM, Quad-Core i7-8665U up to 4.8GHz, Integrated UHD 620 Graphics, Windows 10 Pro) Black",2019-04-19 00:00:00.000,11,24158.36,0.988835995881761,6986.17,2019 2
18491,Monitors,"27 Inch 16:9 Aspect Ratio Computer Privacy Screen Filter for Widescreen Computer Monitor 23.6""x13.3"" Anti-Glare - Anti-Scratch Protector Film for Data Confidentiality - We Offer 2 Different 27"" Sizes",2019-03-01 00:00:00.000,4,38510.66,0.993445885285492,5740.12,2019 1
