Symbol,Trade,Date,Price,Ex. date,Ex. Price,% chg,Profit,% Profit,Shares,Position value,Cum. Profit,# bars,Profit/bar,MAE,MFE,Scale In/Out
"XLU","Long",2006-10-02 00:00:00.000,34.19,2007-08-01 00:00:00.000,37.89,0.1082,6919,0.1082,"1870",63935.3,782556.66,209,33.11,-0.0076,0.2621,"0/0"
"VNQ","Long",2007-11-01 00:00:00.000,71.16,2007-12-03 00:00:00.000,66.26,-0.0689,-5194,-0.0689,"1060",75429.6,962577.63,22,-236.09,-0.1414,0.0022,"0/0"
"RSP","Long",2007-11-01 00:00:00.000,50.06,2007-12-03 00:00:00.000,48.15,-0.0382,-2884.1,-0.0382,"1510",75590.6,959693.53,22,-131.1,-0.0871,0.0046,"0/0"
"VB","Long",2007-11-01 00:00:00.000,73.47,2007-12-03 00:00:00.000,69.78,-0.0502,-3763.8,-0.0502,"1020",74939.4,955929.73,22,-171.08,-0.0972,0.0014,"0/0"
"EWW","Long",2007-11-01 00:00:00.000,60.51,2007-12-03 00:00:00.000,57.83,-0.0443,-3323.2,-0.0443,"1240",75032.4,952606.53,22,-151.05,-0.1253,0.0061,"0/0"
"BIL","Long",2007-12-03 00:00:00.000,91.76,2008-01-02 00:00:00.000,91.64,-0.0013,-94.8,-0.0013,"790",72490.4,952511.73,21,-4.51,-0.0048,0.027,"0/0"
"XLE","Long",2008-03-03 00:00:00.000,76.1,2008-04-01 00:00:00.000,73.8,-0.0302,-2300,-0.0302,"1000",76100,918459.7,21,-109.52,-0.0953,0.0214,"0/0"
"XLY","Long",2008-06-02 00:00:00.000,32.23,2008-07-01 00:00:00.000,27.99,-0.1316,-10006.4,-0.1316,"2360",76062.8,813986.8,22,-454.84,-0.1316,0.0127,"0/0"
"XLU","Long",2008-07-01 00:00:00.000,40.31,2008-08-01 00:00:00.000,38.34,-0.0489,-3526.3,-0.0489,"1790",72154.91,837992.63,23,-153.32,-0.07,0.028,"0/0"
"GLD","Long",2008-07-01 00:00:00.000,92.53,2008-08-01 00:00:00.000,89.5,-0.0327,-2363.4,-0.0327,"780",72173.4,835629.23,23,-102.76,-0.0481,0.0537,"0/0"
"VBR","Long",2008-09-02 00:00:00.000,63.83,2008-10-01 00:00:00.000,58.93,-0.0768,-5194,-0.0768,"1060",67659.8,820510.51,22,-236.09,-0.1067,0.1506,"0/0"
"MUB","Long",2008-09-02 00:00:00.000,100.41,2008-10-01 00:00:00.000,96.5,-0.0389,-2619.7,-0.0389,"670",67274.7,817890.81,22,-119.08,-0.0917,0.0289,"0/0"
"XLP","Long",2008-09-02 00:00:00.000,28.45,2008-10-01 00:00:00.000,27.53,-0.0323,-2198.8,-0.0323,"2390",67995.5,815692.01,22,-99.95,-0.0629,0.0647,"0/0"
"XME","Long",2009-05-01 00:00:00.000,31.81,2010-02-01 00:00:00.000,46.57,0.464,31586.4,0.464,"2140",68073.4,993011.17,190,166.24,-0.0163,0.9013,"0/0"
"XLE","Long",2009-05-01 00:00:00.000,45.96,2010-02-01 00:00:00.000,55.15,0.2,13601.2,0.2,"1480",68020.8,1006612.37,190,71.59,-0.05,0.3244,"0/0"
"VBR","Long",2009-05-01 00:00:00.000,41.71,2010-02-01 00:00:00.000,53,0.2707,18402.7,0.2707,"1630",67987.3,1025015.07,190,96.86,-0.0355,0.3582,"0/0"
"XLB","Long",2009-05-01 00:00:00.000,25.7,2010-02-01 00:00:00.000,30.46,0.1852,12566.4,0.1852,"2640",67848,1037581.47,190,66.14,-0.072,0.3767,"0/0"
"EWW","Long",2010-03-01 00:00:00.000,49.24,2010-06-01 00:00:00.000,48.38,-0.0175,-1444.8,-0.0175,"1680",82723.2,1096216.25,65,-22.23,-0.0837,0.251,"0/0"
"XLB","Long",2010-08-02 00:00:00.000,32.52,2010-09-01 00:00:00.000,31.44,-0.0332,-2775.6,-0.0332,"2570",83576.4,1121872.25,23,-120.68,-0.0812,0.0126,"0/0"
"EWW","Long",2010-08-02 00:00:00.000,51.89,2010-09-01 00:00:00.000,48.83,-0.059,-4926.6,-0.059,"1610",83542.9,1116945.65,23,-214.2,-0.0886,0.0131,"0/0"
"XLI","Long",2010-08-02 00:00:00.000,30.71,2010-09-01 00:00:00.000,28.61,-0.0684,-5712,-0.0684,"2720",83531.2,1111233.65,23,-248.35,-0.099,0.0143,"0/0"
"XLF","Long",2010-11-01 00:00:00.000,11.85215,2010-12-01 00:00:00.000,11.91714,0.0055,272.96,0.0055,"4200",49779.04,1091223.53,22,12.41,-0.0158,0.0747,"0/0"
"VNQ","Long",2011-11-01 00:00:00.000,56.35,2011-12-01 00:00:00.000,55.91,-0.0078,-704,-0.0078,"1600",90160,1412591.93,22,-32,-0.0791,0.038,"0/0"
"XME","Long",2012-02-01 00:00:00.000,54.85,2012-03-01 00:00:00.000,52.36,-0.0454,-4133.4,-0.0454,"1660",91051,1400426.63,21,-196.83,-0.0611,0.0403,"0/0"
"XLF","Long",2012-01-03 00:00:00.000,10.78798,2012-06-01 00:00:00.000,11.16166,0.0346,3116.49,0.0346,"8340",89971.73,1371485.25,105,29.68,-0.012,0.2056,"0/0"
"VBR","Long",2012-07-02 00:00:00.000,68.38,2012-08-01 00:00:00.000,68.27,-0.0016,-146.3,-0.0016,"1330",90945.4,1375954.93,22,-6.65,-0.0344,0.0214,"0/0"
"BIL","Long",2012-11-01 00:00:00.000,91.64,2012-12-03 00:00:00.000,91.62,-0.0002,-18.8,-0.0002,"940",86141.6,1402333.42,22,-0.85,-0.0002,0,"0/0"
"PFXF","Long",2013-02-01 00:00:00.000,20.76,2013-03-01 00:00:00.000,20.46,-0.0145,-1365,-0.0145,"4550",94458,1400915.53,20,-68.25,-0.0217,0.0014,"0/0"
"BIL","Long",2013-06-03 00:00:00.000,91.6,2013-07-01 00:00:00.000,91.6,0,0,0,"1060",97096,1398634.8,21,0,-0.0002,0.0002,"0/0"
"XLE","Long",2013-06-03 00:00:00.000,80.8,2013-07-01 00:00:00.000,78.79,-0.0249,-2412,-0.0249,"1200",96960,1396222.8,21,-114.86,-0.0592,0.0136,"0/0"
"PFXF","Long",2013-12-02 00:00:00.000,19.39,2014-01-02 00:00:00.000,18.78,-0.0315,-6.1,-0.0315,"10",193.9,1415693.49,22,-0.28,-0.0351,0.0026,"0/0"
"XME","Long",2013-10-01 00:00:00.000,36.31,2014-06-02 00:00:00.000,39.18,0.079,7835.1,0.079,"2730",99126.3,1425594.25,168,46.64,-0.0025,0.1958,"0/0"
"PFXF","Long",2014-02-03 00:00:00.000,19.4,2014-10-01 00:00:00.000,21,0.0825,7088,0.0825,"4430",85942,1432682.25,168,42.19,-0.0082,0.1103,"0/0"
"GLD","Long",2015-02-02 00:00:00.000,121.84,2015-03-02 00:00:00.000,116.5,-0.0438,-5553.6,-0.0438,"1040",126713.59,1720237.3,20,-277.68,-0.062,0.0108,"0/0"
"FDL","Long",2015-03-02 00:00:00.000,24.15,2015-04-01 00:00:00.000,23.22,-0.0385,-4891.8,-0.0385,"5260",127029,1715345.5,23,-212.69,-0.0484,0.0008,"0/0"
"XLB","Long",2015-03-02 00:00:00.000,51.51,2015-04-01 00:00:00.000,48.88,-0.0511,-6496.1,-0.0511,"2470",127229.7,1708849.4,23,-282.44,-0.0606,0.0066,"0/0"
"XLE","Long",2015-05-01 00:00:00.000,82.76,2015-06-01 00:00:00.000,78.59,-0.0504,-6255,-0.0504,"1500",124140,1727595.74,21,-297.86,-0.0578,0.0109,"0/0"
"XLB","Long",2015-05-01 00:00:00.000,50.73,2015-07-01 00:00:00.000,48.87,-0.0367,-4575.6,-0.0367,"2460",124795.8,1687998.51,43,-106.41,-0.0501,0.0207,"0/0"
"XLF","Long",2015-08-03 00:00:00.000,20.47928,2015-09-01 00:00:00.000,18.62713,-0.0904,-11446.29,-0.0904,"6180",126561.98,2230034.93,22,-520.29,-0.2654,0.0095,"0/0"
"XLP","Long",2015-08-03 00:00:00.000,50.3,2015-09-01 00:00:00.000,46.37,-0.0781,-9864.3,-0.0781,"2510",126253,2220170.63,22,-448.38,-0.1308,0.0129,"0/0"
"VBR","Long",2015-12-01 00:00:00.000,105.13,2016-01-04 00:00:00.000,97.33,-0.0742,-8814,-0.0742,"1130",118796.9,2202551.88,23,-383.22,-0.075,0.0031,"0/0"
"XLF","Long",2015-12-01 00:00:00.000,20.02437,2016-01-04 00:00:00.000,18.9602,-0.0531,-6321.17,-0.0531,"5940",118944.76,2196230.71,23,-274.83,-0.0572,0.0097,"0/0"
"XLV","Long",2016-01-04 00:00:00.000,70.77,2016-02-01 00:00:00.000,66.02,-0.0671,-7932.5,-0.0671,"1670",118185.89,2174804.48,20,-396.63,-0.0835,0.0086,"0/0"
"EWW","Long",2016-11-01 00:00:00.000,50.87,2016-12-01 00:00:00.000,43.95,-0.136,-16884.8,-0.136,"2440",124122.8,2285820.4,22,-767.49,-0.1657,0.0446,"0/0"
"XME","Long",2018-06-01 00:00:00.000,37.77,2018-07-02 00:00:00.000,35.18,-0.0686,-9557.1,-0.0686,"3690",139371.3,2585648.08,22,-434.41,-0.081,0.0265,"0/0"
"XLU","Long",2018-10-01 00:00:00.000,52.49,2019-01-02 00:00:00.000,52.71,0.0042,591.8,0.0042,"2690",141198.11,2569391.12,64,9.25,-0.032,0.0894,"0/0"
"VNQ","Long",2018-12-03 00:00:00.000,82.48,2019-01-02 00:00:00.000,73.56,-0.1081,-14272,-0.1081,"1600",131968,2555119.12,20,-713.6,-0.1382,0.0101,"0/0"
"BNDX","Long",2018-12-03 00:00:00.000,54.77,2019-01-02 00:00:00.000,54.35,-0.0077,-1012.2,-0.0077,"2410",131995.7,2554106.92,20,-50.61,-0.013,0.0104,"0/0"
"FDL","Long",2018-12-03 00:00:00.000,30.23,2019-01-02 00:00:00.000,26.96,-0.1082,-14322.6,-0.1082,"4380",132407.39,2539784.32,20,-716.13,-0.1479,0.0017,"0/0"
"XLV","Long",2018-12-03 00:00:00.000,95.81,2019-01-02 00:00:00.000,85.18,-0.1109,-14669.4,-0.1109,"1380",132217.8,2525114.92,20,-733.47,-0.1586,0.0011,"0/0"
"XLE","Long",2020-01-02 00:00:00.000,60.44,2020-02-03 00:00:00.000,53.37,-0.117,-16685.2,-0.117,"2360",142638.39,2653511.34,22,-758.42,-0.1205,0.0144,"0/0"
"PDBC","Long",2020-01-02 00:00:00.000,16.57,2020-02-03 00:00:00.000,15.04,-0.0923,-13158,-0.0923,"8600",142502,2640353.34,22,-598.09,-0.0923,0.0205,"0/0"
"BNDX","Long",2020-03-02 00:00:00.000,57.93,2020-04-01 00:00:00.000,56.29,-0.0283,-3804.8,-0.0283,"2320",134397.59,2593608.45,23,-165.43,-0.0697,0.0126,"0/0"
"XLV","Long",2020-05-01 00:00:00.000,98.59,2020-11-02 00:00:00.000,103.16,0.0464,6306.6,0.0464,"1380",136054.19,2619806.73,129,48.89,-0.0322,0.1131,"0/0"
"BND","Long",2020-12-01 00:00:00.000,88.26,2021-01-04 00:00:00.000,88.04,-0.0025,-363,-0.0025,"1650",145629,2709651.09,23,-15.78,-0.0063,0.0005,"0/0"
"XLP","Open Long",2020-11-02 00:00:00.000,63.15,2021-01-15 00:00:00.000,65.63,0.0393,5555.2,0.0393,"2240",141456,2990211.42,53,104.82,-0.0062,0.0797,"0/0"
"VNQ","Open Long",2020-12-01 00:00:00.000,84.96,2021-01-15 00:00:00.000,84.60999,-0.0041,-598.5,-0.0041,"1710",145281.59,3008841.21,33,-18.14,-0.0439,0.0213,"0/0"
"FDL","Open Long",2020-12-01 00:00:00.000,29.47,2021-01-15 00:00:00.000,30.35,0.0299,4347.2,0.0299,"4940",145581.8,3026847.56,33,131.73,-0.0159,0.0445,"0/0"
"MUB","Open Long",2020-12-01 00:00:00.000,116.58,2021-01-15 00:00:00.000,117.1,0.0045,650,0.0045,"1250",145725,3027497.56,33,19.7,-0.0016,0.0057,"0/0"
"XLK","Long",2003-06-02 00:00:00.000,17.51734,2004-04-01 00:00:00.000,20.28,0.1577,23814.13,0.1577,"8620",150999.5,24000.33,212,112.33,-0.0159,0.3082,"3/0"
"XLI","Long",2003-06-02 00:00:00.000,22.97438,2004-05-03 00:00:00.000,26.35,0.1469,22144.07,0.1469,"6560",150711.91,53732.14,233,95.04,-0.0401,0.259,"3/0"
"XLB","Long",2003-06-02 00:00:00.000,21.69533,2004-05-03 00:00:00.000,24.97,0.1509,22791.7,0.1509,"6960",150999.5,76523.84,233,97.82,-0.0216,0.3144,"3/0"
"EWW","Long",2003-05-01 00:00:00.000,16.12135,2004-08-02 00:00:00.000,18.81,0.1668,53692.34,0.1668,"19970",321943.28,136096.78,316,169.91,-0.0096,0.5852,"7/0"
"XLY","Long",2003-06-02 00:00:00.000,29.36497,2004-08-02 00:00:00.000,30.43,0.0363,9713.07,0.0363,"9120",267808.5,145809.86,295,32.93,-0.0177,0.2044,"6/0"
"VBR","Long",2004-08-02 00:00:00.000,51.25235,2005-04-01 00:00:00.000,56.73,0.1069,14461,0.1069,"2640",135306.2,157322.85,169,85.57,-0.0362,0.1849,"2/0"
"XLI","Long",2004-06-01 00:00:00.000,27.90982,2005-05-02 00:00:00.000,29.49,0.0566,12720.45,0.0566,"8050",224674.09,173136.5,232,54.83,-0.013,0.171,"4/0"
"XLB","Long",2004-07-01 00:00:00.000,26.70981,2005-05-02 00:00:00.000,28.02,0.0491,8843.78,0.0491,"6750",180291.2,181980.28,211,41.91,-0.0668,0.1949,"3/0"
"EWW","Long",2004-09-01 00:00:00.000,21.38123,2005-05-02 00:00:00.000,23.58,0.1028,14819.71,0.1028,"6740",144109.5,196799.99,168,88.21,-0.0077,0.4457,"2/0"
"VNQ","Long",2005-05-02 00:00:00.000,57.76757,2005-11-01 00:00:00.000,58.71,0.0163,3449.29,0.0163,"3660",211429.3,203085.69,129,26.74,-0.0151,0.1536,"3/0"
"XLK","Long",2005-06-01 00:00:00.000,20.11817,2005-11-01 00:00:00.000,20.38,0.013,1371.99,0.013,"5240",105419.2,204457.68,108,12.7,-0.0347,0.0609,"1/0"
"VB","Long",2005-06-01 00:00:00.000,55.745,2005-11-01 00:00:00.000,57.43,0.0302,3167.8,0.0302,"1880",104800.59,207625.48,108,29.33,0,0.1117,"1/0"
"VBR","Long",2005-06-01 00:00:00.000,58.405,2005-11-01 00:00:00.000,59.6,0.0205,2151,0.0205,"1800",105129,209776.48,108,19.92,-0.007,0.108,"1/0"
"RSP","Long",2005-06-01 00:00:00.000,38.56265,2005-11-01 00:00:00.000,39.7125,0.0298,1713.28,0.0298,"1490",57458.35,211489.75,108,15.86,-0.0081,0.0721,"1/0"
"EWW","Long",2005-06-01 00:00:00.000,30.71581,2006-06-01 00:00:00.000,35.99,0.1717,28797.08,0.1717,"5460",167708.31,235223.83,253,113.82,0,0.725,"4/0"
"VB","Long",2005-12-01 00:00:00.000,60.33072,2006-06-01 00:00:00.000,63.76,0.0568,6652.8,0.0568,"1940",117041.59,241876.63,125,53.22,-0.0288,0.1267,"1/0"
"RSP","Long",2005-12-01 00:00:00.000,41.72245,2006-06-01 00:00:00.000,43.21,0.0357,3942.01,0.0357,"2650",110564.5,245818.64,125,31.54,-0.0076,0.0847,"1/0"
"XLB","Long",2005-12-01 00:00:00.000,30.855,2006-08-01 00:00:00.000,30.9,0.0015,176.4,0.0015,"3920",120951.6,245995.04,167,1.06,-0.0124,0.1878,"1/0"
"XLI","Long",2005-12-01 00:00:00.000,32.23523,2006-08-01 00:00:00.000,31.66,-0.0178,-3204.03,-0.0178,"5570",179550.2,242791.01,167,-19.19,-0.0249,0.1366,"2/0"
"XLE","Long",2003-06-02 00:00:00.000,32.52209,2006-09-01 00:00:00.000,56,0.7219,458993.14,0.7219,"19550",635806.81,700549.35,822,558.39,-0.076,1.4451,"14/0"
"XLF","Long",2006-08-01 00:00:00.000,27.80956,2007-03-01 00:00:00.000,28.83834,0.037,4845.55,0.037,"4710",130983.02,705394.9,146,33.19,-0.0164,0.153,"1/0"
"XLV","Long",2006-08-01 00:00:00.000,32.55819,2007-04-02 00:00:00.000,33.8,0.0381,4992.08,0.0381,"4020",130883.91,710386.98,168,29.71,-0.0135,0.0954,"1/0"
"VNQ","Long",2006-07-03 00:00:00.000,71.62416,2007-05-01 00:00:00.000,79.5,0.11,38276.39,0.11,"4860",348093.41,754446.17,208,184.02,-0.0093,0.3106,"5/0"
"FDL","Long",2006-10-02 00:00:00.000,23.0039,2007-07-02 00:00:00.000,23.76,0.0329,6570.51,0.0329,"8690",199903.91,761016.68,188,34.95,-0.0642,0.1191,"2/0"
"VBR","Long",2006-09-01 00:00:00.000,69.39152,2007-08-01 00:00:00.000,69.14,-0.0036,-958.21,-0.0036,"3810",264381.69,760058.46,229,-4.18,-0.0256,0.1645,"3/0"
"RSP","Long",2006-09-01 00:00:00.000,46.2436,2007-08-01 00:00:00.000,49,0.0596,11852.52,0.0596,"4300",198847.48,771910.98,229,51.76,-0.0135,0.211,"2/0"
"VB","Long",2006-10-02 00:00:00.000,68.02728,2007-08-01 00:00:00.000,69.9,0.0275,3726.67,0.0275,"1990",135374.3,775637.66,209,17.83,-0.0159,0.2065,"1/0"
"EWW","Long",2006-08-01 00:00:00.000,47.83957,2007-09-04 00:00:00.000,59.47,0.2431,131307.55,0.2431,"11290",540108.75,913864.21,275,477.48,-0.0096,0.6523,"8/0"
"XLK","Long",2006-09-01 00:00:00.000,24.139,2007-12-03 00:00:00.000,26.34,0.0912,43975.98,0.0912,"19980",482297.22,957840.19,315,139.61,-0.023,0.3415,"7/0"
"XLI","Long",2006-10-02 00:00:00.000,38.07608,2007-12-03 00:00:00.000,39.65,0.0413,9931.44,0.0413,"6310",240260.09,967771.63,295,33.67,-0.0086,0.2501,"4/0"
"XLP","Long",2007-10-01 00:00:00.000,28.58359,2008-02-01 00:00:00.000,27.2,-0.0484,-10681.31,-0.0484,"7720",220665.3,941830.41,86,-124.2,-0.1262,0.067,"2/0"
"XLB","Long",2007-10-01 00:00:00.000,42.59142,2008-02-01 00:00:00.000,40.76,-0.043,-9541.7,-0.043,"5210",221901.31,932288.71,86,-110.95,-0.1779,0.0472,"2/0"
"XLV","Long",2007-12-03 00:00:00.000,36.21667,2008-02-01 00:00:00.000,33.37,-0.0786,-11529.01,-0.0786,"4050",146677.5,920759.7,42,-274.5,-0.1757,0.0288,"1/0"
"GLD","Long",2007-09-04 00:00:00.000,81.08188,2008-05-01 00:00:00.000,84.51,0.0423,24990.85,0.0423,"7290",591086.88,943450.55,167,149.65,-0.0022,0.5049,"7/0"
"BIL","Long",2008-02-01 00:00:00.000,91.91108,2008-05-01 00:00:00.000,91.72,-0.0021,-462.46,-0.0021,"2420",222424.81,942988.09,63,-7.34,-0.0078,0.0072,"2/0"
"BND","Long",2007-10-01 00:00:00.000,77.22068,2008-06-02 00:00:00.000,76.02,-0.0155,-9185.35,-0.0155,"7650",590738.19,933802.73,169,-54.35,-0.0521,0.0604,"7/0"
"EWW","Long",2008-04-01 00:00:00.000,60.57402,2008-07-01 00:00:00.000,56,-0.0755,-16740.91,-0.0755,"3660",221700.91,917061.82,65,-257.55,-0.073,0.0485,"2/0"
"VBR","Long",2008-05-01 00:00:00.000,64.38995,2008-07-01 00:00:00.000,57.37,-0.109,-16216.2,-0.109,"2310",148740.8,900845.62,43,-377.12,-0.0928,0.0509,"1/0"
"RSP","Long",2008-05-01 00:00:00.000,45.73498,2008-07-01 00:00:00.000,41.21,-0.0989,-14706.18,-0.0989,"3250",148638.69,886139.43,43,-342,-0.0881,0.0547,"1/0"
"VB","Long",2008-05-01 00:00:00.000,66.8074,2008-07-01 00:00:00.000,61.83,-0.0745,-11099.6,-0.0745,"2230",148980.5,875039.83,43,-258.13,-0.0505,0.0683,"1/0"
"VNQ","Long",2008-05-01 00:00:00.000,66.56197,2008-07-01 00:00:00.000,56.89,-0.1453,-21665.28,-0.1453,"2240",149098.8,853374.55,43,-503.84,-0.1439,0.0342,"1/0"
"MUB","Long",2008-05-01 00:00:00.000,101.2429,2008-07-01 00:00:00.000,99.34,-0.0188,-2797.26,-0.0188,"1470",148827,850577.29,43,-65.05,-0.0307,0.0164,"1/0"
"XLI","Long",2008-05-01 00:00:00.000,38.47258,2008-07-01 00:00:00.000,33.5,-0.1293,-19243.88,-0.1292,"3870",148888.91,831333.4,43,-447.53,-0.1246,0.0444,"1/0"
"XLB","Long",2008-05-01 00:00:00.000,43.25378,2008-07-01 00:00:00.000,41.12,-0.0493,-7340.2,-0.0493,"3440",148793,823993.2,43,-170.7,-0.0254,0.1031,"1/0"
"XME","Long",2007-10-01 00:00:00.000,72.17697,2008-08-01 00:00:00.000,79.13,0.0963,42969.54,0.0963,"6180",446053.69,856956.34,212,202.69,-0.1777,0.4902,"5/0"
"XLE","Long",2008-05-01 00:00:00.000,83.1227,2008-08-01 00:00:00.000,74.45,-0.1043,-15437.41,-0.1043,"1780",147958.41,841518.93,65,-237.5,-0.1099,0.1326,"1/0"
"XLV","Long",2008-08-01 00:00:00.000,32.48003,2008-10-01 00:00:00.000,30.1,-0.0733,-9924.73,-0.0733,"4170",135441.7,825704.51,43,-230.81,-0.0957,0.0521,"1/0"
"BIL","Long",2008-07-01 00:00:00.000,91.87553,2008-12-01 00:00:00.000,91.9,0.0003,90.9,0.0003,"3710",340858.22,815782.9,107,0.85,-0.0037,0.0667,"4/0"
"EDV","Long",2008-09-02 00:00:00.000,112.3922,2009-02-02 00:00:00.000,118.99,0.0587,19991.33,0.0587,"3030",340548.28,835774.24,106,188.6,-0.0562,0.6744,"4/0"
"MUB","Long",2009-01-02 00:00:00.000,99.82697,2009-07-01 00:00:00.000,99.66,-0.0017,-571.14,-0.0017,"3420",341408.22,835203.1,125,-4.57,-0.0252,0.0473,"4/0"
"BND","Long",2008-12-01 00:00:00.000,76.89255,2010-01-04 00:00:00.000,78.6,0.0222,9135.12,0.0222,"5350",411375.13,844338.22,275,33.22,-0.0055,0.0609,"5/0"
"XLK","Long",2009-04-01 00:00:00.000,18.39237,2010-02-01 00:00:00.000,21.06,0.145,42388.64,0.145,"15890",292254.72,886726.86,211,200.89,-0.0026,0.5091,"4/0"
"XLF","Long",2009-05-01 00:00:00.000,10.04685,2010-02-01 00:00:00.000,11.5922,0.1538,34461.31,0.1538,"22300",224044.66,921188.17,190,181.38,-0.0177,0.4674,"2/0"
"EWW","Long",2009-05-01 00:00:00.000,38.63914,2010-02-01 00:00:00.000,46.16,0.1946,40236.6,0.1946,"5350",206719.41,961424.77,190,211.77,-0.0112,0.6509,"2/0"
"BND","Long",2010-02-01 00:00:00.000,79.46562,2010-04-01 00:00:00.000,78.98,-0.0061,-1000.34,-0.0061,"2060",163699.19,1036581.13,43,-23.26,-0.0071,0.004,"1/0"
"XLI","Long",2009-05-01 00:00:00.000,25.91937,2010-06-01 00:00:00.000,29.31,0.1308,55063.83,0.1308,"16240",420930.59,1091644.96,273,201.7,-0.0721,0.5363,"5/0"
"RSP","Long",2009-05-01 00:00:00.000,35.9529,2010-06-01 00:00:00.000,40,0.1126,25253.9,0.1126,"6240",224346.09,1116898.87,273,92.51,-0.388,0.54,"2/0"
"XME","Long",2010-03-01 00:00:00.000,54.58774,2010-06-01 00:00:00.000,50.42,-0.0763,-12919.99,-0.0763,"3100",169222,1103978.87,65,-198.77,-0.1117,0.169,"1/0"
"XLK","Long",2010-03-01 00:00:00.000,22.43109,2010-06-01 00:00:00.000,21.54,-0.0397,-6317.83,-0.0397,"7090",159036.41,1097661.05,65,-97.2,-0.0532,0.1083,"1/0"
"VNQ","Long",2009-05-01 00:00:00.000,41.54304,2010-07-01 00:00:00.000,46.52,0.1198,37974.2,0.1198,"7630",316973.41,1134190.45,295,128.73,-0.1241,0.7116,"3/0"
"VBR","Long",2010-03-01 00:00:00.000,57.10603,2010-07-01 00:00:00.000,53.89,-0.0563,-9487.29,-0.0563,"2950",168462.8,1124703.16,87,-109.05,-0.4196,0.187,"1/0"
"BIL","Long",2010-06-01 00:00:00.000,91.70995,2010-08-02 00:00:00.000,91.68,-0.0003,-55.31,-0.0003,"1850",169663.41,1124647.85,44,-1.26,-0.0002,0.0004,"1/0"
"EDV","Long",2010-06-01 00:00:00.000,95.35764,2010-11-01 00:00:00.000,90.82,-0.0476,-20283.07,-0.0476,"4470",426248.63,1090950.58,108,-187.81,-0.0364,0.1818,"4/0"
"GLD","Long",2009-01-02 00:00:00.000,105.0221,2011-02-01 00:00:00.000,130.52,0.2428,256508.87,0.2428,"10060",1056522.25,1347732.41,525,488.59,-0.0822,0.6239,"13/0"
"FDL","Long",2010-08-02 00:00:00.000,15.60559,2011-08-01 00:00:00.000,16.54,0.0599,38058.52,0.0599,"40730",635615.69,1385790.93,253,150.43,-0.0247,0.1924,"8/0"
"XLB","Long",2010-10-01 00:00:00.000,37.27556,2011-08-01 00:00:00.000,38.71,0.0385,17170.25,0.0385,"11970",446188.47,1402961.17,210,81.76,-0.0127,0.2517,"4/0"
