ID-Produto,Loja,ID-Vendedor,Data Venda,ValorVenda
"SKU-0000111","SP8822",1007,41610,149
"SKU-0000112","SP8822",1003,41276,398
"SKU-0000113","SP8822",1002,41307,788
"SKU-0000114","SP8822",1001,41335,766
"SKU-0000115","SP8822",1001,41366,655
"SKU-0000116","SP8822",1001,41396,788
"SKU-0000117","SP8822",1009,41427,655
"SKU-0000118","SP8822",1006,41457,655
"SKU-0000119","SP8822",1006,41488,455.12
"SKU-0000120","SP8822",1003,41519,262
"SKU-0000121","SP8822",1004,41549,445
"SKU-0000122","SP8822",1005,41580,655
"SKU-0000123","SP8822",1006,41610,555.32
"SKU-0000124","SP8822",1007,41276,456
"SKU-0000125","SP8822",1003,41307,277
"SKU-0000126","SP8822",1002,41335,877
"SKU-0000127","SP8822",1009,41366,988
"SKU-0000128","SP8822",1006,41396,567.32
"SKU-0000129","P0761",1006,41427,799.9
"SKU-0000130","SP8822",1003,41457,1200
"SKU-0000131","SP8822",1004,41488,345
"SKU-0000132","SP8822",1005,41519,433
"SKU-0000133","SP8822",1006,41549,345.89
"SKU-0000134","SP8822",1007,41580,467
"SKU-0000135","SP8822",1003,41610,1220
"SKU-0000136","A9990",1002,41283,1233
"SKU-0000137","A9990",1009,41284,1233
"SKU-0000138","A9990",1006,41316,721
"SKU-0000139","V7654",1006,41345,671
"SKU-0000140","V7654",1003,41346,1899
"SKU-0000141","A9990",1004,41347,346
"SKU-0000142","A9990",1005,41379,699
"SKU-0000143","A9990",1006,41380,876
"SKU-0000144","V7654",1007,41411,655
"SKU-0000145","V7654",1003,41412,1200
"SKU-0000146","A9990",1002,41413,1229
"SKU-0000147","A9990",1001,41445,1228
"SKU-0000148","A9990",1001,41476,3999
"SKU-0000149","V7654",1001,41477,1229
"SKU-0000150","V7654",1009,41540,1299
"SKU-0000151","V7654",1004,41571,3999
"SKU-0000152","A9990",1007,41603,1234
"SKU-0000153","V7654",1006,41604,875
"SKU-0000154","A9990",1005,41605,433
"SKU-0000155","SP8822",1009,41916,3999
"SKU-0000156","SP8822",1002,41640,1288
"SKU-0000157","SP8822",1003,41672,3999
"SKU-0000158","SP8822",1006,41701,3999
"SKU-0000159","SP8822",1004,41733,3999
"SKU-0000160","SP8822",1004,41763,3999
"SKU-0000161","SP8822",1007,41794,1234
"SKU-0000162","A9990",1004,41824,1235
"SKU-0000163","SP8822",1006,41855,1200
"SKU-0000164","SP8822",1005,41886,788
"SKU-0000165","A9990",1003,41947,761
"SKU-0000166","SP8822",1004,41947,987
"SKU-0000167","SP8822",1003,41977,1567
"SKU-0000168","SP8822",1009,41977,1287
"SKU-0000169","A9990",1002,42006,1287
"SKU-0000170","SP8822",1001,42037,3999
"SKU-0000171","S6543",1002,42065,3999
"SKU-0000172","S6543",1002,42096,3999
"SKU-0000173","S6543",1004,42126,3999
"SKU-0000174","B7659",1002,42157,3999
"SKU-0000175","B7659",1002,42187,3999
"SKU-0000176","SP8822",1004,42218,3999
"SKU-0000177","SP8822",1002,42249,3999
"SKU-0000178","SP8822",1002,42279,1230
"SKU-0000179","SP8822",1004,42310,1230
"SKU-0000180","SP8822",1004,42340,1230
"SKU-0000181","SP8822",1004,42006,1230
"SKU-0000182","SP8822",1006,42037,1220
"SKU-0000183","SP8822",1007,42065,1234
"SKU-0000184","SP8822",1003,42096,1579
"SKU-0000185","SP8822",1002,42126,1288
"SKU-0000186","SP8822",1009,42157,1222
"SKU-0000187","SP8822",1006,42187,1210
"SKU-0000188","SP8822",1006,42218,1212
"SKU-0000189","SP8822",1003,42249,1899
"SKU-0000190","SP8822",1004,42279,567
"SKU-0000191","SP8822",1005,42310,189
"SKU-0000192","SP8822",1006,42340,1212
"SKU-0000193","R1296",1007,41640,1234
"SKU-0000194","R1296",1003,41671,763
"SKU-0000195","V7654",1002,41699,149
"SKU-0000196","A9990",1001,41730,148
"SKU-0000197","SP8822",1001,41760,139
"SKU-0000198","SP8822",1001,41791,445
"SKU-0000199","SP8822",1009,41821,445
"SKU-0000200","SP8822",1004,41852,445
"SKU-0000201","R1296",1007,41883,445
"SKU-0000202","V7654",1006,41913,445
"SKU-0000203","SP8822",1005,41944,129
"SKU-0000204","SP8822",1009,41974,129
"SKU-0000205","SP8822",1002,42006,128
"SKU-0000206","SP8822",1003,42037,129
"SKU-0000207","SP8822",1006,42065,121
"SKU-0000208","SP8822",1004,42096,121
"SKU-0000209","SP8822",1004,42126,121
"SKU-0000210","V7654",1007,42157,121
"SKU-0000211","R1296",1004,42187,121
"SKU-0000212","SP8822",1006,42218,121
"SKU-0000213","A9990",1005,42249,121
"SKU-0000214","SP8822",1003,42279,121
"SKU-0000215","SP8822",1004,42310,121
"SKU-0000216","SP8822",1003,42340,121
"SKU-0000217","SP8822",1009,41640,121
"SKU-0000218","SP8822",1002,41671,445
"SKU-0000219","SP8822",1001,41699,445
"SKU-0000220","SP8822",1002,41730,366
"SKU-0000221","SP8822",1002,41760,388
"SKU-0000222","SP8822",1004,41791,124
"SKU-0000223","SP8822",1002,41821,120
"SKU-0000224","V7654",1002,41852,190
"SKU-0000225","R1296",1004,41883,445
"SKU-0000226","A9990",1002,41913,455
"SKU-0000227","SP8822",1002,41944,445
"SKU-0000228","SP8822",1004,41974,678.12
"SKU-0000229","SP8822",1004,42006,789.45
"SKU-0000230","SP8822",1004,42037,890.32
"SKU-0000231","SP8822",1006,42065,433
"SKU-0000232","A9990",1007,42096,455
"SKU-0000233","SP8822",1003,42126,677
"SKU-0000234","R1296",1002,42157,345
"SKU-0000235","SP8822",1009,42187,713
"SKU-0000236","SP8822",1006,42218,322
"SKU-0000237","A9990",1006,42249,222
"SKU-0000238","SP8822",1003,42279,566
"SKU-0000239","SP8822",1004,42310,678.34
"SKU-0000240","SP8822",1005,42340,456
"SKU-0000241","P0761",1006,42006,290
"SKU-0000242","SA7761",1007,42037,121
"SKU-0000243","P0761",1003,43892,455
"SKU-0000244","SA7761",1002,42096,121
"SKU-0000245","V7654",1001,43953,455
"SKU-0000246","R1296",1001,42157,121
"SKU-0000247","SP8822",1001,44014,455
"SKU-0000248","A9990",1009,42218,121
"SKU-0000249","SP8822",1004,44076,455
"SKU-0000250","R1296",1007,42279,121
"SKU-0000251","SP8822",1006,44137,455
"SKU-0000252","SP8822",1005,42340,121
"SKU-0000253","SP8821",1009,42006,167
"SKU-0000254","SP8821",1002,42037,167
"SKU-0000255","SP8821",1003,42065,167
"SKU-0000256","SP8821",1006,42096,167
"SKU-0000257","SP8821",1004,42126,167
"SKU-0000258","SP8821",1004,42157,167
"SKU-0000259","SP8821",1007,42187,167
"SKU-0000260","SP8821",1004,42218,167
"SKU-0000261","SP8821",1006,42249,167
"SKU-0000262","SP8821",1005,42279,167
"SKU-0000263","SP8821",1003,42310,167
"SKU-0000264","SP8821",1004,42340,167
"SKU-0000265","SP8821",1003,42006,167
"SKU-0000266","SP8821",1009,42037,713
"SKU-0000267","SP8821",1002,42065,713
"SKU-0000268","SP8821",1001,42096,713
"SKU-0000269","SP8821",1002,42126,713
"SKU-0000270","SP8821",1002,42157,713
"SKU-0000271","SP8821",1004,42187,456
"SKU-0000272","SP8821",1002,42218,713
"SKU-0000273","SP8821",1002,42249,713
"SKU-0000274","SP8821",1004,42279,765.34
"SKU-0000275","SP8821",1002,42310,713
"SKU-0000276","SP8821",1002,42340,713
"SKU-0000277","SP8821",1004,42006,234.12
"SKU-0000278","SP8821",1004,42037,134
"SKU-0000279","P0761",1004,42065,123
"SKU-0000280","SP8821",1003,42096,167
"SKU-0000281","S6543",1004,42126,189
"SKU-0000282","P0761",1005,42157,134
"SKU-0000283","S6543",1001,42187,156
"SKU-0000284","S6543",1001,42218,123
"SKU-0000285","S6543",1001,42249,156
"SKU-0000286","SP8821",1009,42279,178
"SKU-0000287","SP8821",1008,42310,139
"SKU-0000288","SP8821",1007,42340,123
"SKU-0000289","A9990",1009,42013,123
"SKU-0000290","A9990",1009,42014,1299
"SKU-0000291","A9991",1003,42046,761
"SKU-0000292","V7654",1004,42075,765
"SKU-0000293","V7654",1005,42076,456
"SKU-0000294","A9991",1006,42077,1230
"SKU-0000295","A9991",1007,42109,1212
"SKU-0000296","A9991",1004,42110,1230
"SKU-0000297","V7654",1002,42141,1299
"SKU-0000298","V7654",1002,42142,1299
"SKU-0000299","A9991",1001,42143,1299
"SKU-0000300","A9991",1002,42175,1299
"SKU-0000301","A9991",1004,42206,456
"SKU-0000302","V7654",1002,42207,1230
"SKU-0000303","V7654",1003,42270,409
"SKU-0000304","V7654",1003,42301,766
"SKU-0000305","A9991",1002,42333,1230
"SKU-0000306","V7654",1004,42334,567
"SKU-0000307","A9991",1001,42335,1299
"SKU-0000308","R1296",1009,41916,1299
"SKU-0000309","R1296",1002,41916,1230
"SKU-0000310","R1296",1001,41640,1299
"SKU-0000311","R1296",1002,41672,1230
"SKU-0000312","R1296",1002,41701,1230
"SKU-0000313","R1296",1002,41733,1230
"SKU-0000314","R1296",1002,41763,1230
"SKU-0000315","R1296",1009,41794,1299
"SKU-0000316","R1296",1001,41824,1299
"SKU-0000317","R1296",1003,41855,137
"SKU-0000318","R1296",1004,41886,632
"SKU-0000319","R1296",1005,41947,761
"SKU-0000320","R1296",1009,41947,1299
"SKU-0000321","R1296",1002,41977,1299
"SKU-0000322","R1296",1001,41977,1299
"SKU-0000323","R1296",1005,42006,543
"SKU-0000324","R1296",1002,42037,1230
"SKU-0000325","R1298",1002,42065,1230
"SKU-0000326","R1298",1001,42096,1230
"SKU-0000327","R1298",1001,42126,1230
"SKU-0000328","R1296",1001,42157,1230
"SKU-0000329","R1296",1001,42187,1230
"SKU-0000330","R1296",1001,42218,1230
"SKU-0000331","R1296",1001,42249,1230
"SKU-0000332","R1296",1001,42279,1230
"SKU-0000333","R1296",1001,42310,1230
"SKU-0000334","R1296",1001,42340,1230
"SKU-0000335","R1296",1005,42006,1230
"SKU-0000336","R1296",1002,42037,1299
"SKU-0000337","R1296",1009,42065,1299
"SKU-0000338","R1296",1001,42096,1299
"SKU-0000339","R1296",1003,42126,899
"SKU-0000340","R1296",1004,42157,345.87
"SKU-0000341","R1296",1005,42187,456
"SKU-0000342","R1296",1009,42218,1299
"SKU-0000343","R1296",1002,42249,1299
"SKU-0000344","R1296",1001,42279,1299
"SKU-0000345","R1296",1005,42310,567
"SKU-0000346","R1295",1002,42340,1299
"SKU-0000347","R1295",1002,41640,1299
"SKU-0000348","R1295",1001,41671,167
"SKU-0000349","R1295",1001,41699,167
"SKU-0000350","R1297",1001,41730,167
"SKU-0000351","R1295",1001,41760,149
"SKU-0000352","R1295",1001,41791,149
"SKU-0000353","R1295",1001,41821,149
"SKU-0000354","R1295",1001,41852,149
"SKU-0000355","R1295",1001,41883,149
"SKU-0000356","R1297",1001,41913,149
"SKU-0000357","R1297",1005,41944,149
"SKU-0000358","R1297",1002,41974,149
"SKU-0000359","R1297",1009,42006,149
"SKU-0000360","R1297",1001,42037,149
"SKU-0000361","R1297",1003,42065,149
"SKU-0000362","R1297",1004,42096,765.45
"SKU-0000363","R1297",1005,42126,149
"SKU-0000364","R1297",1009,42157,149
"SKU-0000365","R1295",1002,42187,149
"SKU-0000366","R1295",1001,42218,149
"SKU-0000367","R1295",1005,42249,149
"SKU-0000368","R1298",1002,42279,149
"SKU-0000369","R1295",1002,42310,149
"SKU-0000370","R1295",1001,42340,149
"SKU-0000371","R1298",1001,41640,149
"SKU-0000372","R1295",1001,41671,1299
"SKU-0000373","R1295",1001,41699,455
"SKU-0000374","R1295",1001,41730,455
"SKU-0000375","R1295",1001,41760,455
"SKU-0000376","R1295",1001,41791,455
"SKU-0000377","R1295",1001,41821,455
"SKU-0000378","R1295",1001,41852,455
"SKU-0000379","R1295",1005,41883,123
"SKU-0000380","R1295",1002,41913,455
"SKU-0000381","R1295",1009,41944,455
"SKU-0000382","R1295",1001,41974,455
"SKU-0000383","R1295",1003,42006,566
"SKU-0000384","R1295",1004,42037,788.9
"SKU-0000385","R1295",1005,42065,567
"SKU-0000386","R1295",1009,42096,455
"SKU-0000387","R1295",1002,42126,455
"SKU-0000388","R1295",1001,42157,455
"SKU-0000389","R1295",1005,42187,123
"SKU-0000390","R1295",1002,42218,455
"SKU-0000391","R1295",1002,42249,455
"SKU-0000392","R1295",1001,42279,455
"SKU-0000393","R1295",1001,42310,455
"SKU-0000394","R1295",1001,42340,455
"SKU-0000395","R1295",1001,42037,455
"SKU-0000396","R1295",1001,42096,455
"SKU-0000397","R1295",1001,42126,455
"SKU-0000398","R1295",1001,42157,455
"SKU-0000399","R1295",1001,42187,455
"SKU-0000400","R1298",1001,42218,149
"SKU-0000401","R1295",1005,44076,455
"SKU-0000402","R1298",1001,42279,149
"SKU-0000403","R1295",1004,44137,455
"SKU-0000404","R1298",1001,42340,149
"SKU-0000405","R1298",1002,42006,149
"SKU-0000406","R1298",1002,42037,149
"SKU-0000407","R1298",1001,42065,149
"SKU-0000408","R1298",1001,42096,149
"SKU-0000409","R1295",1009,42126,149
"SKU-0000410","R1295",1006,42157,149
"SKU-0000411","R1295",1007,42187,149
"SKU-0000412","R1295",1006,42218,149
"SKU-0000413","R1295",1005,42249,149
"SKU-0000414","R1295",1005,42279,149
"SKU-0000415","R1295",1005,42310,149
"SKU-0000416","R1295",1005,42340,121
"SKU-0000417","R1295",1005,42006,121
"SKU-0000418","R1295",1005,42037,788
"SKU-0000419","R1295",1005,42065,900
"SKU-0000420","R1295",1005,42096,455
"SKU-0000421","R1295",1005,42126,390
"SKU-0000422","R1295",1005,42157,899
"SKU-0000423","R1295",1005,42187,455
"SKU-0000424","R1295",1008,42218,234
"SKU-0000425","R1295",1008,42249,289
"SKU-0000426","R1295",1008,42279,433
"SKU-0000427","R1295",1008,42310,345
"SKU-0000428","R1295",1008,42340,346
"SKU-0000429","R1295",1008,42006,456
"SKU-0000430","R1295",1009,42037,145
"SKU-0000431","R1295",1006,42065,124
"SKU-0000432","R1297",1006,42126,128
"SKU-0000433","R1297",1003,42187,127
"SKU-0000434","R1297",1004,42218,12
"SKU-0000435","R1297",1005,42249,124
"SKU-0000436","R1295",1006,42279,124
"SKU-0000437","R1295",1007,42310,128
"SKU-0000438","R1295",1003,42340,134
"SKU-0000439","R1295",1002,42013,143
"SKU-0000440","R1295",1002,42014,1234
"SKU-0000441","R1295",1002,42046,1234
"SKU-0000442","R1295",1002,42075,1234
"SKU-0000443","R1295",1002,42076,1234
"SKU-0000444","R1295",1006,42077,1230
"SKU-0000445","R1295",1002,42109,1234
"SKU-0000446","R1295",1007,42110,1230
"SKU-0000447","R1295",1002,42141,1234
"SKU-0000448","R1295",1002,42142,1234
"SKU-0000449","R1295",1002,42143,1234
"SKU-0000450","R1295",1002,42175,1234
"SKU-0000451","R1295",1002,42206,1234
"SKU-0000452","R1295",1007,42207,1230
"SKU-0000453","R1295",1002,42270,1234
"SKU-0000454","R1295",1002,42301,1234
"SKU-0000455","R1295",1008,42333,1230
"SKU-0000456","R1295",1002,42334,1234
"SKU-0000457","R1295",1002,42335,1234
