DW Unique Issue ID,Current_year,Number of Sprints,story_points
133991,"Yes",1,3
133994,"Yes",1,3
134304,"Yes",1,3
135018,"Yes",1,3
135602,"Yes",1,3
136191,"Yes",1,3
136196,"Yes",1,3
136227,"Yes",1,3
137153,"Yes",1,3
138303,"Yes",1,3
138340,"Yes",1,3
138343,"Yes",1,3
141512,"Yes",1,3
143092,"Yes",1,3
145332,"Yes",1,3
145487,"Yes",1,3
145704,"Yes",1,3
147606,"Yes",1,3
148256,"Yes",1,3
149748,"Yes",1,3
150631,"Yes",1,3
152129,"Yes",1,3
152669,"Yes",1,3
153128,"Yes",1,3
156619,"Yes",1,3
156661,"Yes",1,3
156663,"Yes",1,3
156664,"Yes",1,3
156665,"Yes",1,3
157018,"Yes",1,3
157023,"Yes",1,3
157024,"Yes",1,3
157027,"Yes",1,3
157616,"Yes",1,3
162636,"Yes",1,3
162652,"Yes",1,3
162653,"Yes",1,3
163572,"Yes",1,3
163974,"Yes",1,3
164111,"Yes",1,3
164199,"Yes",1,3
164207,"Yes",1,3
164212,"Yes",1,3
164744,"Yes",1,3
164746,"Yes",1,3
164747,"Yes",1,3
164752,"Yes",1,3
165579,"Yes",1,3
166045,"Yes",1,3
166052,"Yes",1,3
168886,"Yes",1,3
168907,"Yes",1,3
170507,"Yes",1,3
170562,"Yes",1,3
170684,"Yes",1,3
170688,"Yes",1,3
170696,"Yes",1,3
170701,"Yes",1,3
170802,"Yes",1,3
170805,"Yes",1,3
174900,"Yes",1,3
178311,"Yes",1,3
179566,"Yes",1,3
180096,"Yes",1,3
180853,"Yes",1,3
181025,"Yes",1,3
181652,"Yes",1,3
181750,"Yes",1,3
181905,"Yes",1,3
181999,"Yes",1,3
182001,"Yes",1,3
183780,"Yes",1,3
184512,"Yes",1,3
110411,"Yes",1,2
112732,"Yes",1,2
116712,"Yes",1,2
118108,"Yes",1,2
118145,"Yes",1,2
119137,"Yes",1,2
120109,"Yes",1,2
120482,"Yes",1,2
120701,"Yes",1,2
121342,"Yes",1,2
124753,"Yes",1,2
124771,"Yes",1,2
124775,"Yes",1,2
124777,"Yes",1,2
126424,"Yes",1,2
126756,"Yes",1,2
126764,"Yes",1,2
126770,"Yes",1,2
126786,"Yes",1,2
126794,"Yes",1,2
126798,"Yes",1,2
127171,"Yes",1,2
130218,"Yes",1,2
131265,"Yes",1,2
132259,"Yes",1,2
132284,"Yes",1,2
134037,"Yes",1,2
134040,"Yes",1,2
135603,"Yes",1,2
135611,"Yes",1,2
136192,"Yes",1,2
136228,"Yes",1,2
136230,"Yes",1,2
138370,"Yes",1,2
138372,"Yes",1,2
138665,"Yes",1,2
141485,"Yes",1,2
143104,"Yes",1,2
143105,"Yes",1,2
145348,"Yes",1,2
145360,"Yes",1,2
145392,"Yes",1,2
145393,"Yes",1,2
145394,"Yes",1,2
145396,"Yes",1,2
152273,"Yes",1,2
154659,"Yes",1,2
156084,"Yes",1,2
156872,"Yes",1,2
157019,"Yes",1,2
157022,"Yes",1,2
157025,"Yes",1,2
157026,"Yes",1,2
157871,"Yes",1,2
159395,"Yes",1,2
159551,"Yes",1,2
159558,"Yes",1,2
159559,"Yes",1,2
159791,"Yes",1,2
159792,"Yes",1,2
159794,"Yes",1,2
159795,"Yes",1,2
161026,"Yes",1,2
161221,"Yes",1,2
163881,"Yes",1,2
163972,"Yes",1,2
163973,"Yes",1,2
163975,"Yes",1,2
164737,"Yes",1,2
166818,"Yes",1,2
172383,"Yes",1,2
176768,"Yes",1,2
178088,"Yes",1,2
180779,"Yes",1,2
181037,"Yes",1,2
181239,"Yes",1,2
185447,"Yes",1,2
189222,"Yes",1,2
99820,"Yes",1,8
99822,"Yes",1,13
99824,"Yes",1,8
99825,"Yes",1,13
99831,"Yes",1,8
99832,"Yes",1,8
102838,"Yes",1,5
103380,"Yes",1,1
103819,"Yes",1,5
104802,"Yes",1,5
109250,"Yes",1,13
110555,"Yes",1,21
112580,"Yes",1,5
112584,"Yes",1,5
116713,"Yes",1,1
118213,"Yes",1,8
118223,"Yes",1,8
119169,"Yes",1,8
119184,"Yes",1,5
120733,"Yes",1,5
122632,"Yes",1,1
122661,"Yes",1,5
122665,"Yes",1,5
123083,"Yes",1,5
123121,"Yes",1,5
125232,"Yes",1,5
125593,"Yes",1,1
126766,"Yes",1,5
126768,"Yes",1,5
126819,"Yes",1,8
126826,"Yes",1,8
126831,"Yes",1,5
127512,"Yes",1,5
127608,"Yes",1,5
128470,"Yes",1,1
128521,"Yes",1,5
128928,"Yes",1,8
129810,"Yes",1,5
129983,"Yes",1,5
130164,"Yes",1,1
132294,"Yes",1,5
132332,"Yes",1,5
132470,"Yes",1,5
132472,"Yes",1,5
136231,"Yes",1,5
136232,"Yes",1,5
138654,"Yes",1,5
141472,"Yes",1,5
141513,"Yes",1,8
141516,"Yes",1,5
145331,"Yes",1,5
145777,"Yes",1,5
147900,"Yes",1,8
148259,"Yes",1,8
148260,"Yes",1,5
148283,"Yes",1,1
148422,"Yes",1,8
149697,"Yes",1,5
149743,"Yes",1,5
150501,"Yes",1,8
152292,"Yes",1,8
152294,"Yes",1,8
152674,"Yes",1,5
156245,"Yes",1,8
156246,"Yes",1,13
156662,"Yes",1,5
160238,"Yes",1,5
163573,"Yes",1,5
173626,"Yes",1,5
174686,"Yes",1,5
176053,"Yes",1,1
176363,"Yes",1,1
177810,"Yes",1,8
179269,"Yes",1,5
179402,"Yes",1,8
179535,"Yes",1,8
180801,"Yes",1,5
182000,"Yes",1,8
183490,"Yes",1,5
183778,"Yes",1,5
103660,"Yes",2,
103756,"Yes",2,
103803,"Yes",2,
103887,"Yes",2,21
103911,"Yes",2,8
103912,"Yes",2,
104048,"Yes",2,
104114,"Yes",2,
104785,"Yes",2,3
105771,"Yes",2,2
105774,"Yes",2,2
110201,"Yes",2,
110206,"Yes",2,
112588,"Yes",2,3
112761,"Yes",2,2
116718,"Yes",2,1
117089,"Yes",2,
117484,"Yes",2,3
117553,"Yes",2,3
117610,"Yes",2,3
117866,"Yes",2,1
118137,"Yes",2,3
118236,"Yes",2,3
119181,"Yes",2,2
120383,"Yes",2,5
121341,"Yes",2,5
121769,"Yes",2,8
121958,"Yes",2,2
122474,"Yes",2,
122625,"Yes",2,2
122628,"Yes",2,3
123019,"Yes",2,5
123575,"Yes",2,5
124744,"Yes",2,5
124745,"Yes",2,5
125692,"Yes",2,3
125821,"Yes",2,2
126823,"Yes",2,3
126828,"Yes",2,8
127728,"Yes",2,5
129853,"Yes",2,2
130177,"Yes",2,2
130252,"Yes",2,8
130739,"Yes",2,5
131257,"Yes",2,2
133838,"Yes",2,3
133989,"Yes",2,3
134038,"Yes",2,5
134183,"Yes",2,2
136226,"Yes",2,3
136234,"Yes",2,3
138374,"Yes",2,2
138392,"Yes",2,2
146329,"Yes",2,2
147835,"Yes",2,3
148285,"Yes",2,5
148423,"Yes",2,3
148709,"Yes",2,3
149205,"Yes",2,1
149700,"Yes",2,5
161347,"Yes",2,5
166352,"Yes",2,
174685,"Yes",2,2
181647,"Yes",2,3
181653,"Yes",2,3
104056,"Yes",3,2
104672,"Yes",3,3
105740,"Yes",4,1
112104,"Yes",3,5
112817,"Yes",3,2
114787,"Yes",4,5
117599,"Yes",5,2
117613,"Yes",5,
118224,"Yes",4,1
120715,"Yes",3,2
122670,"Yes",3,5
124800,"Yes",4,3
124804,"Yes",6,3
124882,"Yes",3,5
125258,"Yes",6,
126751,"Yes",3,5
126755,"Yes",5,3
126765,"Yes",3,5
127828,"Yes",3,
129851,"Yes",3,3
130167,"Yes",3,3
133985,"Yes",3,3
141499,"Yes",3,5
148282,"Yes",3,5
157028,"Yes",4,
166739,"Yes",3,2
166764,"Yes",3,2
166784,"Yes",3,2
166786,"Yes",3,2
