Issue Key,Issue_URL,summary,Issue Type,Project Key,Story Points,Labels,Status,Epic_Name,Epic_Label
"CF-1278","https://jira.t-mobile.com/browse/CF-1278","Syslog deployment for NPE and STG PCC changes","Story","CF",3,"PCF-Logging","Backlog","Data Services Syslog Integration","PCF-Logging"
"CF-1280","https://jira.t-mobile.com/browse/CF-1280","Syslog deployment for PRD PCC changes","Story","CF",3,"PCF-Logging","Backlog","Data Services Syslog Integration","PCF-Logging"
"CF-1312","https://jira.t-mobile.com/browse/CF-1312","Syslog deployment for CDE Forwarder metrics changes","Story","CF",3,"PCF-Logging","Backlog","Logging Service Metrics, Performance, and Scaling","PCF-Logging"
"CF-1329","https://jira.t-mobile.com/browse/CF-1329","Pipeline Deployment of service broker","Story","CF",3,"GSLB","Awaiting Implementation","GSLB: Prod Release","GSLB"
"CF-1416","https://jira.t-mobile.com/browse/CF-1416","Troubleshoot UAA login slowness in AWS NPE and MGT foundations","Task","CF",0,"","In Progress","PAWS: NPE","AWS"
"CF-146","https://jira.t-mobile.com/browse/CF-146","As a platform user, I would like an additional syslog service where I can occasionally view and download logs, rather than have them available only in Splunk.","Story","CF",0,"Logging","Backlog","","Logging"
"CF-440","https://jira.t-mobile.com/browse/CF-440","Create a syslog-ng filter to drop or redirect RTR logs for app or apps","Story","CF",0,"Logging","Backlog","","Logging"
"CF-628","https://jira.t-mobile.com/browse/CF-628","Deploy new log rotation configuration to all NPE syslog bosh deployments","Story","CF",5,"Logging","Backlog","Improve the splunk logging","Logging"
"CF-809","https://jira.t-mobile.com/browse/CF-809","Test syslog-to-syslog app/platform/S3 log routing with Splunk team","Story","CF",13,"Logging","Backlog","Make all the Cloudians_more_better","Logging"
"CF-1349","https://jira.t-mobile.com/browse/CF-1349","work-exchange service deployments via pipeline","Story","CF",2,"PAWS","Backlog","Org Management & Work Exchange for AWS","AWS"
"CF-1378","https://jira.t-mobile.com/browse/CF-1378","Create Datadog graphs for PCF log component metrics","Story","CF",2,"PCF-Logging","Backlog","","PCF-Logging"
"CF-1285","https://jira.t-mobile.com/browse/CF-1285","Create separate Splunk index for PCF platform.","Spike","CF",3,"PCF-Logging","Backlog","","PCF-Logging"
"CF-1345","https://jira.t-mobile.com/browse/CF-1345","Create the Bitbucket repo(s) for AWS foundations","Story","CF",2,"PAWS","In Progress","Org Management & Work Exchange for AWS","AWS"
"CF-1346","https://jira.t-mobile.com/browse/CF-1346","Work exchange email service upgrade for aws","Story","CF",3,"PAWS","Backlog","Org Management & Work Exchange for AWS","AWS"
"CF-1348","https://jira.t-mobile.com/browse/CF-1348","work-exchange template service upgrade for AWS","Story","CF",3,"PAWS","Backlog","Org Management & Work Exchange for AWS","AWS"
"CF-289","https://jira.t-mobile.com/browse/CF-289","RESEARCH: As a platform app developer, I need an alternative syslog mechanism that sends log messages with XML or JSON attachments to the Splunk team's mediations service.","Story","CF",0,"Logging","Backlog","","Logging"
"CF-1086","https://jira.t-mobile.com/browse/CF-1086","[px-cde] update syslog url from IP to DNS/hostname","Task","CF",0,"Logging","Backlog","","Logging"
"CF-1265","https://jira.t-mobile.com/browse/CF-1265","Splunk Forwarder job Monit script broken","Bug","CF",3,"PCF-Logging","Backlog","","PCF-Logging"
