Payment_ID,Facility_ID,Payment,Lower_Estimate,Higher_Estimate,Payment_Category,Value_Of_Care_Category
316,"360026",18625,16661.3333,20815.3333,"0","0"
317,"360152",20798.25,18900.25,22854.25,"0","0"
319,"190313",17738,14689,21079,"0","0"
322,"291312",17341,14948,20246,"0","0"
325,"110236",17958,14893,20941,"0","0"
329,"140164",21459.75,20073.25,22949,"0","0"
331,"230069",18891.6667,17465.6667,20400.3333,"0","0"
332,"241342",20131,16934,23273,"0","0"
333,"250096",20036,17374,22821.5,"0","0"
335,"260005",20828.75,19210,22552.25,"0","0"
339,"141331",17495,15294,19678,"0","0"
342,"161365",19539,17232.5,21719.5,"0","0"
344,"210062",21486.25,20042.25,23020.5,"0","0"
345,"251337",18165.5,15944,20553,"0","0"
348,"320089",18378.6667,16488.3333,20430.3333,"0","0"
354,"141307",20454,17910,23009,"0","0"
356,"191304",19807,17136.5,22608,"0","0"
358,"231309",20521,18243,23079,"0","0"
368,"041303",21447,18201,24946,"0","0"
373,"160101",19743,17514,22328,"0","0"
374,"170009",18458.5,16529.5,20452.5,"0","0"
375,"230141",20538,19432,21694.25,"0","0"
378,"261328",18722,16160,21296,"0","0"
382,"060128",20827.3333,18224.6667,23746.6667,"0","0"
384,"111324",17715,15406,20267.5,"0","0"
385,"140019",16927,14808.5,19160.5,"0","0"
386,"151318",19293.5,16926.5,21797,"0","0"
387,"151334",18599.5,16311,20981.5,"0","0"
388,"161373",17760,14811,20821,"0","0"
390,"161380",19876,17395.5,22531,"0","0"
391,"220084",22169.75,20319.75,24222,"0","0"
392,"261327",19389,16668,22252.5,"0","0"
401,"151304",16500,14172,18875,"0","0"
402,"151322",19068.5,16717,21547.5,"0","0"
403,"200052",17625,15698.5,19676.5,"0","0"
406,"281313",19119,15974,22227,"0","0"
415,"100125",19316,17317.5,21460.5,"0","0"
417,"180079",20536,18066.3333,23279.3333,"0","0"
420,"100124",20951,18690.25,23443.5,"0","0"
422,"140103",19034.5,16779.5,21334.5,"0","0"
423,"150157",19339,17452.3333,21308.3333,"0","0"
426,"250002",18171.5,15849,20587,"0","0"
428,"030024",22042,19898,24442.25,"0","0"
431,"110051",18466,17046,20026.6667,"0","0"
433,"171382",18732.3333,16704.3333,20943,"0","0"
434,"181315",18942,16553,21501,"0","0"
437,"260068",21124.25,20020,22282,"0","0"
439,"360084",20373.25,19248.5,21552.75,"0","0"
441,"050090",19030,17091.3333,21105.3333,"0","0"
448,"170142",21809.75,19988,23809.75,"0","0"
459,"261325",20901.5,18138,23839.5,"0","0"
469,"030130",18486.6667,16664,20448,"0","0"
475,"171371",18626.5,16582.5,20813.5,"0","0"
476,"230002",20643.75,19431.25,21919,"0","0"
479,"330261",22261,20472,24232.75,"0","0"
483,"050060",21362,19928,22902.6667,"0","0"
484,"050714",20417,19427,21469,"0","0"
486,"060044",19653,17333.5,22111.5,"0","0"
488,"140095",18586,16027.5,21460.5,"0","0"
494,"190312",19398.5,17289.5,21690,"0","0"
497,"250044",18294,16343.5,20330,"0","0"
498,"340084",19475,16787,22081,"0","0"
499,"010069",18014.5,15781,20488,"0","0"
503,"031318",19092,16668.5,21677.5,"0","0"
507,"131317",20057.5,17438,22822.5,"0","0"
512,"251327",17818,15341,20116,"0","0"
513,"330215",20778,18555.6667,23322,"0","0"
514,"340097",20192.5,18405,22133.25,"0","0"
515,"360075",19326.3333,17570.3333,21159.3333,"0","0"
517,"010101",18228,15926.5,20590,"0","0"
520,"050096",21063,17722,24257,"0","0"
521,"061323",19225,16672.5,21981.5,"0","0"
525,"180001",18502.5,17075,19921.5,"0","0"
527,"230303",18399,16250.3333,20654,"0","0"
530,"330073",20710.5,18479.75,23236.25,"0","0"
532,"041305",18281,15565.5,21293.5,"0","0"
535,"150173",20783,19485.25,22203.75,"0","0"
536,"151333",19287,17041,21799.5,"0","0"
543,"040018",19673,16388,22697,"0","0"
549,"110189",18650.6667,16593.6667,20796.6667,"0","0"
550,"110201",20635.6667,18838,22520.3333,"0","0"
557,"050407",17494,15438,19579,"0","0"
561,"141324",17012.5,15013,19185,"0","0"
566,"250007",19766,17992.3333,21610.3333,"0","0"
567,"310005",21410.5,19802,23100.75,"0","0"
571,"331313",17381,15410,19451,"0","0"
573,"110011",20493.5,19034.25,22127.25,"0","0"
577,"171333",20696,18334,23048,"0","0"
579,"260095",21700,20157.25,23379.75,"0","0"
581,"291311",16658.5,14631,18773.5,"0","0"
584,"330279",20850.5,19169.75,22629.25,"0","0"
586,"050523",21023.25,19184.25,23047.5,"0","0"
589,"100161",21315.5,19759,22978.75,"0","0"
592,"140120",20479.5,18403.25,22733.75,"0","0"
597,"220065",19693.5,17915,21541.5,"0","0"
599,"240019",19657,16747,22436,"0","0"
600,"240071",16846,14546,19390,"0","0"
601,"251312",20400,17273,23470,"0","0"
603,"351313",18329,15236,21722,"0","0"
608,"040153",17929.5,16035.5,19982,"0","0"
610,"100109",21338,20110.75,22629,"0","0"
612,"151316",18490,16049,21118,"0","0"
613,"161306",19434,16921,22224.5,"0","0"
614,"180087",18868.6667,17114,20734.3333,"0","0"
618,"301301",18412.5,15993.5,20978.5,"0","0"
620,"061320",21448,19728,23425,"0","0"
621,"100132",22495.5,20111.75,25118.75,"0","0"
624,"171377",19011,16242,21784,"0","0"
628,"281301",18279,16106,20411,"0","0"
634,"051320",16928.5,14788.5,19282,"0","0"
639,"250162",17550,15339.5,19950,"0","0"
643,"330188",18731.3333,16942,20700.3333,"0","0"
645,"060125",18323,16347.6667,20425,"0","0"
646,"101304",19623,16365,22856,"0","0"
647,"110015",20425.3333,18154.6667,22928,"0","0"
655,"140206",21413,18804.3333,24343,"0","0"
657,"180024",20076.3333,17699.3333,22587.6667,"0","0"
658,"190106",17581,15196,20069,"0","0"
661,"041317",18221,14772,21497,"0","0"
662,"050515",16468,13502,19366,"0","0"
664,"100285",22044,19347,25041.6667,"0","0"
665,"140063",20282.3333,18352.3333,22368,"0","0"
666,"210022",20855.75,19719.25,22057.75,"0","0"
667,"241306",19640,15983,23204,"0","0"
668,"281334",19351.6667,17286.6667,21628.3333,"0","0"
671,"360070",21747.25,20252.5,23306.75,"0","0"
672,"051305",18352,15402,21237,"0","0"
673,"100006",21316.25,20397.5,22266.25,"0","0"
674,"100069",19586.3333,17776,21443.3333,"0","0"
675,"100177",21623.75,19880.5,23557.5,"0","0"
677,"190014",17774,15768,19790,"0","0"
679,"190183",16650,14372.5,19042.5,"0","0"
681,"240020",19829,17453,22356.6667,"0","0"
682,"250128",17728,15431.5,20199.5,"0","0"
683,"270049",21975.5,20585.25,23416.25,"0","0"
685,"351307",20165,17240,23166,"0","0"
686,"360072",21463,20016,22970.75,"0","0"
700,"240022",16779.5,14590.5,19052.5,"0","0"
701,"240166",18254.3333,16093.3333,20660.6667,"0","0"
706,"080009",21257,19611,23089,"0","0"
707,"100072",20959,19393,22644,"0","0"
708,"100230",20337.3333,18062,22826.6667,"0","0"
710,"190298",20782,20202,21387,"0","0"
711,"201310",18075.5,15711,20497.5,"0","0"
714,"341307",19920,16983,22631,"0","0"
715,"041308",17112,14473,19798,"0","0"
718,"100281",21959.25,20350.75,23664,"0","0"
722,"141342",17364,15398,19315,"0","0"
723,"161323",17254,14622,19775,"0","0"
724,"190002",21657,20376.25,23012,"0","0"
725,"190102",21199,19828.5,22700.75,"0","0"
726,"191317",21185,18138,24363,"0","0"
728,"231314",18647,15285,22085,"0","0"
730,"301308",18045,15599.5,20764,"0","0"
733,"010033",21524,20081.25,23092.75,"0","0"
735,"061306",19301,16369,22177,"0","0"
738,"140052",20116.5,18089.5,22371.5,"0","0"
743,"171339",19434.5,16791.5,22221.5,"0","0"
744,"171357",20231,16962,23619,"0","0"
747,"051332",20323,18082.3333,22617,"0","0"
749,"061312",17814,14779,20978,"0","0"
751,"100039",22256.75,20512.75,24169.5,"0","0"
758,"281308",18689,15309,21823,"0","0"
759,"330233",20650.6667,18331,23185.6667,"0","0"
762,"141320",18016.5,15867.5,20200.5,"0","0"
763,"190025",19525,17558,21415,"0","0"
770,"340004",20378.5,18926.75,21898.25,"0","0"
774,"060034",21840.25,20165,23606,"0","0"
775,"061311",18011,15125,20824,"0","0"
778,"201303",18169,15605,20826,"0","0"
780,"231307",18351,15821,21357,"0","0"
782,"281352",19462.3333,17295.3333,21884.6667,"0","0"
786,"051334",20299,17138,23636,"0","0"
788,"111310",17950.5,15215.5,20922,"0","0"
791,"150150",18939.3333,16585.6667,21366.3333,"0","0"
795,"251325",19673,16657.5,22891.5,"0","0"
796,"270017",20567.5,18860.25,22435,"0","0"
797,"281351",16659,13889,19566,"0","0"
798,"330030",21003,18816.25,23431.25,"0","0"
799,"330151",17465.5,15445,19679,"0","0"
806,"161332",19988,16772,23386,"0","0"
809,"180016",19355,16544,22309,"0","0"
811,"220029",20623.75,18997,22397,"0","0"
815,"250117",18752,16861.5,20818,"0","0"
816,"260210",17233,14546,19901,"0","0"
819,"050604",17894,14767,21056,"0","0"
820,"060065",21145.5,18828.75,23639.25,"0","0"
821,"060117",20483,19800,21211,"0","0"
827,"220098",19605.3333,17673.3333,21691.6667,"0","0"
828,"231304",17198,14483,19940,"0","0"
830,"251305",19401,16949.5,22080,"0","0"
831,"320065",20008.6667,17555,22751.3333,"0","0"
836,"030030",22082.3333,19423,24948.3333,"0","0"
839,"100110",21723.75,20020,23498.75,"0","0"
840,"100316",21202.75,19401,23112.25,"0","0"
849,"061309",20544,18787,22381,"0","0"
862,"231315",19926,16661,23237,"0","0"
864,"310022",21133.75,20165.25,22151.25,"0","0"
873,"140242",21178.5,19977.5,22474.5,"0","0"
875,"171318",18687,15978,21289,"0","0"
876,"190079",16732,14464,19285,"0","0"
879,"040069",18571,16217,21015,"0","0"
884,"100047",19425.3333,17943.6667,21004,"0","0"
885,"111333",18697,15781,21393,"0","0"
888,"190270",20005,18401,21734,"0","0"
890,"260061",16746,14598.5,19007.5,"0","0"
893,"050245",18207.5,16372,20166,"0","0"
895,"100296",19435.6667,18097.3333,20827.3333,"0","0"
898,"171383",17180,15202,19284,"0","0"
900,"230078",20454,18567,22561,"0","0"
901,"260034",17002.5,14953.5,19217.5,"0","0"
903,"321311",18965.3333,17219,20855,"0","0"
906,"341305",19625,16375,22886,"0","0"
909,"050073",20470.5,17790,23583.5,"0","0"
913,"110092",17707.5,15532,20122,"0","0"
915,"161350",18768,16464,21118,"0","0"
916,"170006",21824,19573.75,24315.75,"0","0"
918,"231321",18259.5,16378.5,20186,"0","0"
923,"050017",20904.75,19525.5,22394.25,"0","0"
925,"060015",20991.6667,19269.3333,22837.6667,"0","0"
927,"150169",20978,19373.5,22795.75,"0","0"
929,"161327",22307.5,19154.5,25591,"0","0"
934,"240050",18894.3333,16976,20923.6667,"0","0"
938,"040134",20838.3333,19336.6667,22451,"0","0"
944,"190202",20800.5,18642.25,23169.5,"0","0"
945,"190259",19972,19057,20940,"0","0"
948,"330273",21608.75,20002.5,23334.5,"0","0"
950,"050334",21708,20291.25,23221.75,"0","0"
953,"060012",20638,18582.75,22808,"0","0"
954,"100099",20740.6667,18594,23050.3333,"0","0"
956,"190088",18123.5,16031,20335,"0","0"
957,"191323",21227,18503,23931,"0","0"
959,"230142",21619,19557,23846.75,"0","0"
964,"010144",21181.75,19498,22967.75,"0","0"
969,"150133",17971,16353.3333,19649.6667,"0","0"
971,"320059",16573.5,14531.5,18868.5,"0","0"
974,"040026",21304.25,20023.75,22660.25,"0","0"
976,"050624",21842,20100.5,23784.25,"0","0"
979,"100313",18241,15731,20906,"0","0"
985,"260195",20352.75,18504.25,22369.75,"0","0"
990,"030134",17265.5,15087,19589,"0","0"
995,"150102",18613.5,15927.5,21462.5,"0","0"
996,"260050",18525,16542,20499,"0","0"
997,"260183",21436.5,19910,23085,"0","0"
1009,"150015",20627.5,19136.25,22233,"0","0"
1011,"171364",20104,16775,23427,"0","0"
1013,"271325",18271.5,15893,20717,"0","0"
1016,"330135",21422,19175.6667,23842,"0","0"
1023,"161349",17277,14942,19746.5,"0","0"
1025,"210003",21054.6667,19212.6667,23046.3333,"0","0"
1028,"300019",20485.75,18803.25,22287.5,"0","0"
1030,"010118",20678.6667,18504,23126.3333,"0","0"
1037,"141316",17285,14935.5,19887.5,"0","0"
1038,"141349",18554,16143.5,21119.5,"0","0"
1042,"230277",21031.5,19438,22705.5,"0","0"
1043,"281341",17098,13994,20228,"0","0"
1048,"040019",17361,15125.5,19709,"0","0"
1054,"200050",19984,17980.75,22173.75,"0","0"
1056,"281357",20744.5,18280.5,23263,"0","0"
1060,"050348",21527.75,19631.25,23576.75,"0","0"
1066,"281338",19857,17016,22836,"0","0"
1067,"330180",21112.25,19235.5,23192.5,"0","0"
1071,"050701",21067,19188.5,23059,"0","0"
1072,"061322",18411.3333,16272.6667,20747,"0","0"
1073,"070027",19582,18185.6667,21039.6667,"0","0"
1074,"080006",21474.25,19967,23076,"0","0"
1083,"330231",17961.5,16273.5,19873,"0","0"
1084,"340144",19320.6667,17070.3333,21801,"0","0"
1085,"360044",19631,17661,21661.6667,"0","0"
1086,"011305",17786,15290,20283,"0","0"
1088,"031302",19114,15652,22483,"0","0"
1090,"180056",19678.3333,17843.3333,21669.3333,"0","0"
1091,"220015",20592,18992,22260,"0","0"
1093,"261333",17069,14745,19486,"0","0"
1099,"231319",18566.6667,16444.3333,20809.6667,"0","0"
1100,"240080",21915,19828,24158.75,"0","0"
1101,"261305",21174,17801,24582,"0","0"
1102,"330265",18378,16169.5,20751,"0","0"
1108,"210044",20490.75,19039.25,22134,"0","0"
1109,"230197",20822,19632.5,22087.25,"0","0"
1110,"271330",17105,14062,20199,"0","0"
1111,"010128",16761,14304.5,19454,"0","0"
1116,"171354",18060.5,15585,20693.5,"0","0"
1118,"231305",17446,15137,19878.5,"0","0"
1119,"240057",20765,19524.75,22058.25,"0","0"
1121,"251334",20684,17666,23511,"0","0"
1122,"281364",18801.3333,16920.6667,20880,"0","0"
1125,"341316",20189,17215,23223,"0","0"
1127,"351318",20877,17441,24566,"0","0"
1128,"360076",21605.25,19865.5,23399.25,"0","0"
1131,"050779",17608.5,15738,19572,"0","0"
1132,"140145",18743.5,16750,20829.5,"0","0"
1133,"171336",19818,16762,22962,"0","0"
1134,"171379",18966,16104,21864.5,"0","0"
1137,"190308",19013,16463,21783,"0","0"
1141,"300023",21149.75,19697,22741,"0","0"
1142,"330240",18391,15971.5,20813,"0","0"
1144,"051304",17298,14595.5,20233,"0","0"
1149,"100121",21796.75,19542,24316.5,"0","0"
1151,"131315",18708.5,16118.5,21444,"0","0"
1153,"161377",18893.5,16161.5,21724.5,"0","0"
1154,"181330",20102,17520,22648,"0","0"
1156,"200024",20490.5,19053.75,22031.25,"0","0"
1159,"261336",17804,15076,20589,"0","0"
1161,"131322",18839,16574.5,21130,"0","0"
1163,"181310",17291,14826,19870,"0","0"
1169,"030043",20514,18972.5,22143,"0","0"
1170,"041304",21933,18651,25301,"0","0"
1174,"150101",17166.5,15203.5,19304,"0","0"
1177,"241319",23411,20680,26761,"0","0"
1178,"031312",17518,14490,20454,"0","0"
1186,"280105",18402,16055,21014,"0","0"
1187,"291307",19699,17725,21832.5,"0","0"
1189,"330014",20556.6667,18662.3333,22557,"0","0"
1190,"330350",20508,18303.3333,22870,"0","0"
1191,"010126",18669,16473.3333,21027,"0","0"
1192,"040074",20654,17450,23882,"0","0"
1193,"050069",21963.75,20356.75,23681.75,"0","0"
1195,"111306",19785,17066,22455,"0","0"
1197,"171349",19125,16560.5,21790,"0","0"
1198,"180004",19279.3333,16935,21989,"0","0"
1199,"180043",17496.5,15598.5,19573,"0","0"
1201,"201307",19228.6667,16636.3333,22030.6667,"0","0"
1210,"061303",17420.5,14983.5,19918,"0","0"
1211,"110050",17049.5,14923.5,19287.5,"0","0"
1213,"151335",18610,15841,21400,"0","0"
1220,"100217",19969.5,18429.25,21572.5,"0","0"
1221,"110089",21294,19066.3333,23724,"0","0"
1225,"201313",19737,16775,22513,"0","0"
1226,"210017",20464.25,18320.25,22664,"0","0"
1231,"100231",21094.75,19873.75,22395,"0","0"
1235,"220001",20793,19064.5,22554.5,"0","0"
1238,"251331",17361,14866,19868,"0","0"
1249,"180035",21058.75,19885,22278,"0","0"
1250,"181304",20483,17010,23888,"0","0"
1260,"050110",18248.6667,16446.3333,20087.3333,"0","0"
1263,"141321",18687,15518,21856,"0","0"
1264,"150061",19807,17473,22293.5,"0","0"
1265,"190267",21678,20534,22859,"0","0"
1266,"250036",18951,16672.5,21260,"0","0"
1270,"281358",19213,16251,22060,"0","0"
1272,"341322",19655,17825.6667,21652.6667,"0","0"
1280,"171342",19707,16446,22863,"0","0"
1281,"181305",18762,16041,21518,"0","0"
1282,"210002",21630.3333,19677,23729.6667,"0","0"
1283,"251320",20182,17384,22995,"0","0"
1284,"260142",17679,15715.5,19894.5,"0","0"
1285,"320084",17165.5,14847,19639,"0","0"
1287,"360056",20904.5,19415.75,22492,"0","0"
1288,"010049",19137.6667,17504,20834.6667,"0","0"
1289,"050775",20975,19516,22528.75,"0","0"
1290,"100150",22005.5,19685,24532.25,"0","0"
1293,"141343",19399,16962.5,22111,"0","0"
1299,"260062",21699.5,20011.25,23502.25,"0","0"
1300,"261329",18030.5,15402,20954.5,"0","0"
1303,"360054",21730,19992.75,23618.75,"0","0"
1305,"031309",16907,14017,19990,"0","0"
1306,"050528",17573.5,15422,19868,"0","0"
1310,"141313",21851,18378,25159,"0","0"
1312,"161313",19311,16247,22334,"0","0"
1313,"201300",19728,16731.5,22870.5,"0","0"
1317,"330027",21360,19024,23867.6667,"0","0"
1321,"351303",21734,18447,24918,"0","0"
1325,"180067",21453.75,19884.25,23151.25,"0","0"
1327,"190256",23335,20582,26647,"0","0"
1330,"301310",17541.5,15292,20002,"0","0"
1334,"150047",21104.3333,18271,24223.6667,"0","0"
1336,"161304",20382,17144,23597,"0","0"
1339,"030115",20953.25,19146.5,22904.25,"0","0"
1343,"170109",18513,16200.6667,21049.3333,"0","0"
1345,"281328",20342,17442,23207,"0","0"
1347,"330136",20894.75,19464.25,22471.5,"0","0"
1349,"360189",18198,15658,21032.5,"0","0"
1351,"041321",18515,16055,21043.5,"0","0"
1352,"050784",18534,15706,21360,"0","0"
1354,"141305",18659,16108,21297,"0","0"
1355,"210005",20946.25,19810,22131,"0","0"
1357,"351335",18436.3333,16336.6667,20719,"0","0"
1358,"110091",20556.5,18721.25,22485,"0","0"
1359,"171378",20048,17865,22180,"0","0"
1360,"201314",22769.5,20215.25,25656.5,"0","0"
1363,"231331",17012,14953,19287,"0","0"
1367,"321306",16848,14712,18941,"0","0"
1368,"030022",18893,16122,21952,"0","0"
1369,"030083",21476.25,19376.75,23738,"0","0"
1371,"150065",19148.6667,17329,21104,"0","0"
1374,"231303",16790,14364,19178,"0","0"
1375,"231328",17174,14459,19793,"0","0"
1376,"241334",19998,19096,20952,"0","0"
1380,"310051",20640.25,19607.25,21737.75,"0","0"
1381,"310069",21557.75,19614.25,23639.5,"0","0"
1382,"331316",19647,17666.6667,21800,"0","0"
1385,"050674",20672.3333,18020.6667,23538,"0","0"
1387,"101307",19364,16839,21938,"0","0"
1390,"141338",16798,14304,19416.5,"0","0"
1392,"181327",17716.5,15658,20036,"0","0"
1393,"220046",20438.5,19332.75,21632.5,"0","0"
1396,"281302",19314,15906,22823,"0","0"
1397,"341318",18587.3333,16829.3333,20484.3333,"0","0"
1399,"010065",20348,18108,22821.6667,"0","0"
1402,"140040",19218.3333,17284.3333,21268,"0","0"
1404,"150146",17484,15477,19539.5,"0","0"
1405,"161345",16510,14258,19186,"0","0"
1412,"070020",21256.75,19757.5,22856.5,"0","0"
1415,"230207",20857.25,18714.5,23243.25,"0","0"
1417,"290012",20109.6667,18089,22272,"0","0"
1421,"040076",18089.5,15979.5,20335.5,"0","0"
1424,"090001",21346.25,19667,23175,"0","0"
1426,"100051",20509,19283,21842,"0","0"
1427,"100086",21138,19429.25,22952.25,"0","0"
1431,"180012",20982.75,19713.25,22355.75,"0","0"
1435,"230070",20778.5,19732,21910.5,"0","0"
1436,"251336",19678.5,17341,22298,"0","0"
1437,"260160",17816,15923.5,19869,"0","0"
1438,"261324",19043.5,17090.5,21063.5,"0","0"
1441,"340071",20395.3333,18438.6667,22473.3333,"0","0"
1442,"041313",19903,17780,22103,"0","0"
1443,"050248",19302,16928,21715,"0","0"
1444,"060027",20698.5,19005.5,22533.5,"0","0"
1445,"110153",18663.6667,16822.6667,20607.3333,"0","0"
1449,"231330",16982,14372,19588,"0","0"
1450,"281320",19393,17141.5,21703.5,"0","0"
1453,"360175",21836.75,19602.5,24361.5,"0","0"
1455,"010087",18164,15223,21116,"0","0"
1459,"110016",21394,19444.5,23441.25,"0","0"
1460,"110111",16459,13738,19042,"0","0"
1461,"131303",17155,14287,20065,"0","0"
1463,"161319",20048,16680,23378,"0","0"
1464,"161336",19871,17041,22768,"0","0"
1465,"190255",20234,19000,21461,"0","0"
1467,"250085",17300,15447,19297.5,"0","0"
1468,"261323",18148,15350,21218,"0","0"
1472,"340061",20368,19117.5,21724.75,"0","0"
1476,"180051",19306.3333,17808,20870.3333,"0","0"
1479,"341315",18442,15362,21691,"0","0"
1485,"131307",20514,18428,22820,"0","0"
1487,"171362",18427.5,16166.5,21002.5,"0","0"
1489,"190164",19267.5,17610,21019,"0","0"
1490,"210051",22342,20644,24187.25,"0","0"
1492,"240047",20999,19369,22712.5,"0","0"
1493,"261307",16618,14191,18951,"0","0"
1494,"261337",17552.5,15473,19756,"0","0"
1496,"281340",20973,17555,24307,"0","0"
1499,"360013",19696.3333,17832.6667,21688,"0","0"
1501,"050342",20614.25,18660,22801.25,"0","0"
1506,"130065",21403,20783,22050,"0","0"
1512,"190114",18560,16632,20659.5,"0","0"
1514,"241371",17230,14507,19830,"0","0"
1516,"321309",19135.5,16664.5,21815.5,"0","0"
1517,"241327",20221,16745,23744,"0","0"
1519,"050717",19833,18006,21904,"0","0"
1523,"151305",19530,17078,22121.5,"0","0"
1524,"171359",19490,16439,22379,"0","0"
1525,"180002",17964,16541,19483.5,"0","0"
1529,"250034",20993.25,19706.25,22335,"0","0"
1530,"291306",19666.3333,17700.6667,21859,"0","0"
1534,"061315",18916,15502,22341,"0","0"
1538,"171329",19400,16472,22301,"0","0"
1539,"171350",21329,18652,24064,"0","0"
1540,"181301",18685.5,16607.5,20914.5,"0","0"
1545,"281355",19085,16100,22182,"0","0"
1547,"050327",21500,19793.75,23337.5,"0","0"
1548,"070034",21730.5,20293,23215.5,"0","0"
1552,"161309",18809,15973,21833,"0","0"
1553,"181328",17367,15178,19708.5,"0","0"
1560,"330229",19034.3333,17191,21054.3333,"0","0"
1563,"050118",20972.6667,18759.6667,23358.6667,"0","0"
1566,"100134",16162.5,13921.5,18638.5,"0","0"
1567,"150100",20814.75,19650,22054.75,"0","0"
