Station Name,Ticket type,Passengers
Berwick (Sussex),Full,12690
Berwick (Sussex),Reduced,35472
Berwick (Sussex),Sesason,30332
Betchworth,Full,3730
Betchworth,Reduced,5022
Betchworth,Sesason,6220
Bexhill,Full,205906
Bexhill,Reduced,478554
Bexhill,Sesason,643394
Bicester North,Full,164484
Bicester North,Reduced,332508
Bicester North,Sesason,294882
Bicester Village,Full,163628
Bicester Village,Reduced,1435928
Bicester Village,Sesason,379422
Billingshurst,Full,87218
Billingshurst,Reduced,164150
Billingshurst,Sesason,207250
Birchington-On-Sea,Full,39480
Birchington-On-Sea,Reduced,93204
Birchington-On-Sea,Sesason,281756
Bishopstone,Full,8426
Bishopstone,Reduced,19176
Bishopstone,Sesason,6084
Bitterne,Full,32430
Bitterne,Reduced,31790
Bitterne,Sesason,31612
Blackwater,Full,125956
Blackwater,Reduced,247534
Blackwater,Sesason,133900
Bletchley,Full,145398
Bletchley,Reduced,402108
Bletchley,Sesason,518776
Bognor Regis,Full,189434
Bognor Regis,Reduced,551728
Bognor Regis,Sesason,296858
Bookham,Full,99220
Bookham,Reduced,103128
Bookham,Sesason,118740
Borough Green & Wrotham,Full,85350
Borough Green & Wrotham,Reduced,156092
Borough Green & Wrotham,Sesason,190494
Bosham,Full,21604
Bosham,Reduced,30476
Bosham,Sesason,25022
Botley,Full,42146
Botley,Reduced,51332
Botley,Sesason,68592
Bourne End,Full,60274
Bourne End,Reduced,74310
Bourne End,Sesason,108712
Bow Brickhill,Full,6158
Bow Brickhill,Reduced,7164
Bow Brickhill,Sesason,25524
Boxhill & Westhumble,Full,22024
Boxhill & Westhumble,Reduced,51770
Boxhill & Westhumble,Sesason,24416
Bracknell,Full,836174
Bracknell,Reduced,753282
Bracknell,Sesason,722018
Brading,Full,32568
Brading,Reduced,3892
Brading,Sesason,9388
Bramley (Hampshire),Full,58842
Bramley (Hampshire),Reduced,130390
Bramley (Hampshire),Sesason,93386
Brighton,Full,2754318
Brighton,Reduced,9814448
Brighton,Sesason,4360062
Broadstairs,Full,105566
Broadstairs,Reduced,457868
Broadstairs,Sesason,200616
Brockenhurst,Full,166318
Brockenhurst,Reduced,408688
Brockenhurst,Sesason,510802
Brookwood,Full,269824
Brookwood,Reduced,217118
Brookwood,Sesason,529450
Burgess Hill,Full,253122
Burgess Hill,Reduced,654860
Burgess Hill,Sesason,911792
Burnham,Full,318000
Burnham,Reduced,346642
Burnham,Sesason,595476
Bursledon,Full,17760
Bursledon,Reduced,25348
Bursledon,Sesason,10904
Buxted,Full,24446
Buxted,Reduced,40464
Buxted,Sesason,51428
Byfleet & New Haw,Full,150172
Byfleet & New Haw,Reduced,109290
Byfleet & New Haw,Sesason,187562
Camberley,Full,146066
Camberley,Reduced,185356
Camberley,Sesason,83258
Canterbury East,Full,215098
Canterbury East,Reduced,626450
Canterbury East,Sesason,267470
Canterbury West,Full,500544
Canterbury West,Reduced,1457790
Canterbury West,Sesason,622422
Caterham,Full,241420
Caterham,Reduced,272454
Caterham,Sesason,497948
Chalfont & Latimer,Full,361002
Chalfont & Latimer,Reduced,421928
Chalfont & Latimer,Sesason,62734
Chandlers Ford,Full,72146
Chandlers Ford,Reduced,84630
Chandlers Ford,Sesason,63488
Charing,Full,16000
Charing,Reduced,25342
Charing,Sesason,31598
Charlbury,Full,78306
Charlbury,Reduced,130892
Charlbury,Sesason,83736
Chartham,Full,22408
Chartham,Reduced,28702
Chartham,Sesason,18948
Chatham,Full,556636
Chatham,Reduced,895356
Chatham,Sesason,1278514
Cheddington,Full,21544
Cheddington,Reduced,23604
Cheddington,Sesason,34534
Chertsey,Full,193178
Chertsey,Reduced,129064
Chertsey,Sesason,374964
Chestfield & Swalecliffe,Full,22812
Chestfield & Swalecliffe,Reduced,35580
Chestfield & Swalecliffe,Sesason,79342
Chichester,Full,661682
Chichester,Reduced,1294826
Chichester,Sesason,885334
Chilham,Full,8582
Chilham,Reduced,19072
Chilham,Sesason,15766
Chilworth,Full,7878
Chilworth,Reduced,8198
Chilworth,Sesason,8044
Chipstead,Full,52966
Chipstead,Reduced,49964
Chipstead,Sesason,58024
Cholsey,Full,50252
Cholsey,Reduced,122776
Cholsey,Sesason,98822
Christ's Hospital,Full,27080
Christ's Hospital,Reduced,64862
Christ's Hospital,Sesason,73232
Clandon,Full,55972
Clandon,Reduced,54924
Clandon,Sesason,95260
Claygate,Full,154360
Claygate,Reduced,149084
Claygate,Sesason,347922
Cobham & Stoke D'abernon,Full,185328
Cobham & Stoke D'abernon,Reduced,188888
Cobham & Stoke D'abernon,Sesason,218032
Collington,Full,47790
Collington,Reduced,56860
Collington,Sesason,63720
Combe,Full,1158
Combe,Reduced,122
Combe,Sesason,714
Cooden Beach,Full,17470
Cooden Beach,Reduced,56212
Cooden Beach,Sesason,17012
Cookham,Full,50052
Cookham,Reduced,64052
Cookham,Sesason,95936
Cooksbridge,Full,8400
Cooksbridge,Reduced,5018
Cooksbridge,Sesason,25626
Cosham,Full,303886
Cosham,Reduced,398112
Cosham,Sesason,185180
Cowden,Full,7996
Cowden,Reduced,14962
Cowden,Sesason,30938
Crawley,Full,384324
Crawley,Reduced,727500
Crawley,Sesason,604976
Crowborough,Full,58468
Crowborough,Reduced,85214
Crowborough,Sesason,211962
Crowhurst,Full,7188
Crowhurst,Reduced,15500
Crowhurst,Sesason,26048
Crowthorne,Full,86348
Crowthorne,Reduced,107440
Crowthorne,Sesason,116648
Culham,Full,24872
Culham,Reduced,13438
Culham,Sesason,45598
Cuxton,Full,18886
Cuxton,Reduced,16990
Cuxton,Sesason,15248
Dartford,Full,997384
Dartford,Reduced,1543642
Dartford,Sesason,1622890
Datchet,Full,111874
Datchet,Reduced,114886
Datchet,Sesason,107030
Deal,Full,88224
Deal,Reduced,288440
Deal,Sesason,197614
Deepdene,Full,92526
Deepdene,Reduced,159132
Deepdene,Sesason,190536
Denham,Full,70942
Denham,Reduced,79550
Denham,Sesason,171386
Denham Golf Club,Full,7818
Denham Golf Club,Reduced,6512
Denham Golf Club,Sesason,15016
Didcot Parkway,Full,688790
Didcot Parkway,Reduced,1329154
Didcot Parkway,Sesason,1167984
Doleham,Full,316
Doleham,Reduced,84
Doleham,Sesason,3022
Dorking,Full,269402
Dorking,Reduced,463334
Dorking,Sesason,554770
Dorking West,Full,12988
Dorking West,Reduced,22338
Dorking West,Sesason,26746
Dormans,Full,24716
Dormans,Reduced,30124
Dormans,Sesason,56220
Dover Priory,Full,211040
Dover Priory,Reduced,517466
Dover Priory,Sesason,217550
Dumpton Park,Full,6556
Dumpton Park,Reduced,9368
Dumpton Park,Sesason,9632
Dunton Green,Full,33392
Dunton Green,Reduced,43456
Dunton Green,Sesason,156632
Durrington-On-Sea,Full,128148
Durrington-On-Sea,Reduced,232206
Durrington-On-Sea,Sesason,233978
Earley,Full,173998
Earley,Reduced,206880
Earley,Sesason,235056
Earlswood (Surrey),Full,80724
Earlswood (Surrey),Reduced,83536
Earlswood (Surrey),Sesason,276028
East Farleigh,Full,11346
East Farleigh,Reduced,11434
East Farleigh,Sesason,12992
East Grinstead,Full,257096
East Grinstead,Reduced,449318
East Grinstead,Sesason,808148
East Malling,Full,18606
East Malling,Reduced,27214
East Malling,Sesason,56820
East Worthing,Full,65300
East Worthing,Reduced,91514
East Worthing,Sesason,204646
Eastbourne,Full,346768
Eastbourne,Reduced,1732774
Eastbourne,Sesason,1275706
Eastleigh,Full,409026
Eastleigh,Reduced,612412
Eastleigh,Sesason,608722
Ebbsfleet International,Full,505546
Ebbsfleet International,Reduced,871134
Ebbsfleet International,Sesason,584848
Edenbridge,Full,35884
Edenbridge,Reduced,68594
Edenbridge,Sesason,153052
Edenbridge Town,Full,37668
Edenbridge Town,Reduced,72008
Edenbridge Town,Sesason,160668
Effingham Junction,Full,89034
Effingham Junction,Reduced,88036
Effingham Junction,Sesason,123082
Egham,Full,689636
Egham,Reduced,797564
Egham,Sesason,537732
Emsworth,Full,84840
Emsworth,Reduced,136394
Emsworth,Sesason,76832
Epsom,Full,1115082
Epsom,Reduced,1052426
Epsom,Sesason,1751018
Epsom Downs,Full,34480
Epsom Downs,Reduced,23110
Epsom Downs,Sesason,30350
Eridge,Full,21114
Eridge,Reduced,27590
Eridge,Sesason,73094
Esher,Full,272126
Esher,Reduced,274982
Esher,Sesason,597124
Etchingham,Full,35610
Etchingham,Reduced,80052
Etchingham,Sesason,131004
Ewell East,Full,201430
Ewell East,Reduced,180238
Ewell East,Sesason,201418
Ewell West,Full,463846
Ewell West,Reduced,489452
Ewell West,Sesason,474950
Eynsford,Full,40018
Eynsford,Reduced,51148
Eynsford,Sesason,98306
Falmer,Full,370378
Falmer,Reduced,793054
Falmer,Sesason,223444
Fareham,Full,490920
Fareham,Reduced,707008
Fareham,Sesason,432224
Farnborough (Main),Full,788402
Farnborough (Main),Reduced,906858
Farnborough (Main),Sesason,1252404
Farnborough North,Full,170462
Farnborough North,Reduced,196074
Farnborough North,Sesason,270784
Farncombe,Full,213016
Farncombe,Reduced,214898
Farncombe,Sesason,434500
Farnham,Full,413520
Farnham,Reduced,505812
Farnham,Sesason,643514
Farningham Road,Full,39012
Farningham Road,Reduced,52988
Farningham Road,Sesason,116728
Faversham,Full,248140
Faversham,Reduced,538732
Faversham,Sesason,762454
Faygate,Full,2626
Faygate,Reduced,1456
Faygate,Sesason,4244
Fenny Stratford,Full,4892
Fenny Stratford,Reduced,9040
Fenny Stratford,Sesason,8702
Finstock,Full,1172
Finstock,Reduced,104
Finstock,Sesason,480
Fishbourne,Full,20768
Fishbourne,Reduced,22026
Fishbourne,Sesason,21404
Fishersgate,Full,36522
Fishersgate,Reduced,50450
Fishersgate,Sesason,28150
Fleet,Full,394352
Fleet,Reduced,522962
Fleet,Sesason,898568
Folkestone Central,Full,168620
Folkestone Central,Reduced,476212
Folkestone Central,Sesason,447308
Folkestone West,Full,85740
Folkestone West,Reduced,263284
Folkestone West,Sesason,252408
Ford,Full,30652
Ford,Reduced,46028
Ford,Sesason,37914
Frant,Full,21626
Frant,Reduced,31134
Frant,Sesason,87008
Fratton,Full,488940
Fratton,Reduced,880630
Fratton,Sesason,231452
Frimley,Full,80506
Frimley,Reduced,65704
Frimley,Sesason,56700
Furze Platt,Full,35440
Furze Platt,Reduced,37450
Furze Platt,Sesason,102804
Gatwick Airport,Full,11042354
Gatwick Airport,Reduced,7696922
Gatwick Airport,Sesason,1588936
Gerrards Cross,Full,419764
Gerrards Cross,Reduced,458914
Gerrards Cross,Sesason,608810
Gillingham (Kent),Full,547398
Gillingham (Kent),Reduced,929396
Gillingham (Kent),Sesason,1267388
Glynde,Full,15384
Glynde,Reduced,30678
Glynde,Sesason,17558
Godalming,Full,360834
Godalming,Reduced,339252
Godalming,Sesason,680952
Godstone,Full,13340
Godstone,Reduced,23164
Godstone,Sesason,29686
Gomshall,Full,12132
Gomshall,Reduced,24942
Gomshall,Sesason,22028
Goring & Streatley,Full,60314
Goring & Streatley,Reduced,194020
Goring & Streatley,Sesason,149312
Goring-By-Sea,Full,118188
Goring-By-Sea,Reduced,204268
Goring-By-Sea,Sesason,182028
Grateley,Full,41790
Grateley,Reduced,68682
Grateley,Sesason,154472
Gravesend,Full,559610
Gravesend,Reduced,1005138
Gravesend,Sesason,1424556
Great Missenden,Full,136676
Great Missenden,Reduced,178870
Great Missenden,Sesason,266896
Greenhithe,Full,184806
Greenhithe,Reduced,247662
Greenhithe,Sesason,706024
Guildford,Full,2175660
Guildford,Reduced,3356808
Guildford,Sesason,2422150
Haddenham & Thame Parkway,Full,185474
Haddenham & Thame Parkway,Reduced,270382
Haddenham & Thame Parkway,Sesason,449934
Halling,Full,20858
Halling,Reduced,22922
Halling,Sesason,50642
Ham Street,Full,12138
Ham Street,Reduced,27788
Ham Street,Sesason,47846
Hamble,Full,34452
Hamble,Reduced,26016
Hamble,Sesason,47726
Hampden Park,Full,117204
Hampden Park,Reduced,266706
Hampden Park,Sesason,158978
Hampton Court,Full,525316
Hampton Court,Reduced,647764
Hampton Court,Sesason,448514
Hanborough,Full,72310
Hanborough,Reduced,72732
Hanborough,Sesason,86944
Harrietsham,Full,16134
Harrietsham,Reduced,22808
Harrietsham,Sesason,43834
Haslemere,Full,284866
Haslemere,Reduced,559928
Haslemere,Sesason,932700
Hassocks,Full,180544
Hassocks,Reduced,407174
Hassocks,Sesason,616506
Hastings,Full,281374
Hastings,Reduced,1107990
Hastings,Sesason,782508
Havant,Full,552608
Havant,Reduced,961640
Havant,Sesason,683452
Haywards Heath,Full,628720
Haywards Heath,Reduced,1436906
Haywards Heath,Sesason,2326896
Headcorn,Full,84982
Headcorn,Reduced,199394
Headcorn,Sesason,309708
Hedge End,Full,126096
Hedge End,Reduced,163924
Hedge End,Sesason,216696
Henley-On-Thames,Full,174396
Henley-On-Thames,Reduced,309148
Henley-On-Thames,Sesason,261878
Herne Bay,Full,110668
Herne Bay,Reduced,265672
Herne Bay,Sesason,604142
Hersham,Full,214306
Hersham,Reduced,167930
Hersham,Sesason,439804
Hever,Full,6052
Hever,Reduced,25272
Hever,Sesason,11624
Heyford,Full,8242
Heyford,Reduced,12842
Heyford,Sesason,13434
High Brooms,Full,219428
High Brooms,Reduced,377162
High Brooms,Sesason,628256
High Wycombe,Full,824616
High Wycombe,Reduced,1015028
High Wycombe,Sesason,1159878
Higham,Full,32412
Higham,Reduced,41964
Higham,Sesason,122560
Hildenborough,Full,90978
Hildenborough,Reduced,122798
Hildenborough,Sesason,368798
Hilsea,Full,127474
Hilsea,Reduced,80170
Hilsea,Sesason,105612
Hinchley Wood,Full,73702
Hinchley Wood,Reduced,73550
Hinchley Wood,Sesason,210944
Hinton Admiral,Full,47444
Hinton Admiral,Reduced,66264
Hinton Admiral,Sesason,53470
Hollingbourne,Full,12358
Hollingbourne,Reduced,18154
Hollingbourne,Sesason,28978
Holmwood,Full,13836
Holmwood,Reduced,16830
Holmwood,Sesason,26540
Hook,Full,157418
Hook,Reduced,223234
Hook,Sesason,357916
Horley,Full,318730
Horley,Reduced,402100
Horley,Sesason,251004
Horsham,Full,523684
Horsham,Reduced,957828
Horsham,Sesason,1208262
Horsley,Full,112600
Horsley,Reduced,126982
Horsley,Sesason,195258
Hove,Full,425946
Hove,Reduced,988216
Hove,Sesason,818502
Hungerford,Full,62596
Hungerford,Reduced,143002
Hungerford,Sesason,158572
Hurst Green,Full,86678
Hurst Green,Reduced,141010
Hurst Green,Sesason,434490
Ifield,Full,61518
Ifield,Reduced,79610
Ifield,Sesason,168744
Islip,Full,9944
Islip,Reduced,13040
Islip,Sesason,11116
Iver,Full,50044
Iver,Reduced,47372
Iver,Sesason,129872
Kearsney,Full,15270
Kearsney,Reduced,20320
Kearsney,Sesason,5954
Kempton Park,Full,13602
Kempton Park,Reduced,38126
Kempton Park,Sesason,4196
Kemsing,Full,6086
Kemsing,Reduced,4882
Kemsing,Sesason,14398
Kemsley,Full,58078
Kemsley,Reduced,37254
Kemsley,Sesason,68106
Kingham,Full,38800
Kingham,Reduced,108226
Kingham,Sesason,36488
Kingswood,Full,75932
Kingswood,Reduced,69440
Kingswood,Sesason,82614
Kintbury,Full,10262
Kintbury,Reduced,49088
Kintbury,Sesason,26070
Lake,Full,35766
Lake,Reduced,4798
Lake,Sesason,7038
Lancing,Full,215518
Lancing,Reduced,407662
Lancing,Sesason,264766
Langley,Full,190234
Langley,Reduced,228690
Langley,Sesason,396186
Leatherhead,Full,611554
Leatherhead,Reduced,501724
Leatherhead,Sesason,851380
Leigh (Kent),Full,8194
Leigh (Kent),Reduced,12102
Leigh (Kent),Sesason,21448
Lenham,Full,22856
Lenham,Reduced,31282
Lenham,Sesason,42518
Lewes,Full,462766
Lewes,Reduced,1194002
Lewes,Sesason,820926
Lingfield,Full,81992
Lingfield,Reduced,157618
Lingfield,Sesason,307046
Liphook,Full,101706
Liphook,Reduced,150744
Liphook,Sesason,272622
Liss,Full,52714
Liss,Reduced,90630
Liss,Sesason,96844
Little Kimble,Full,2322
Little Kimble,Reduced,1680
Little Kimble,Sesason,1410
Littlehampton,Full,139364
Littlehampton,Reduced,416074
Littlehampton,Sesason,357272
Littlehaven,Full,70896
Littlehaven,Reduced,83720
Littlehaven,Sesason,125324
London Road Brighton,Full,118874
London Road Brighton,Reduced,229888
London Road Brighton,Sesason,81972
London Road Guildford,Full,154136
London Road Guildford,Reduced,118982
London Road Guildford,Sesason,267860
Longcross,Full,19026
Longcross,Reduced,674
Longcross,Sesason,6084
Longfield,Full,104376
Longfield,Reduced,185904
Longfield,Sesason,315022
Lymington Pier,Full,21210
Lymington Pier,Reduced,77440
Lymington Pier,Sesason,36264
Lymington Town,Full,66626
Lymington Town,Reduced,156608
Lymington Town,Sesason,72588
Maidenhead,Full,1067042
Maidenhead,Reduced,1511990
Maidenhead,Sesason,2004266
Maidstone Barracks,Full,62806
Maidstone Barracks,Reduced,102782
Maidstone Barracks,Sesason,115936
Maidstone East,Full,315216
Maidstone East,Reduced,515860
Maidstone East,Sesason,581882
Maidstone West,Full,195686
Maidstone West,Reduced,320246
Maidstone West,Sesason,361232
Marden,Full,66812
Marden,Reduced,131270
Marden,Sesason,341986
Margate,Full,139078
Margate,Reduced,634308
Margate,Sesason,234576
Marlow,Full,68650
Marlow,Reduced,109500
Marlow,Sesason,97590
Martin Mill,Full,8796
Martin Mill,Reduced,23252
Martin Mill,Sesason,27190
Martins Heron,Full,162274
Martins Heron,Reduced,201836
Martins Heron,Sesason,203262
Meopham,Full,65470
Meopham,Reduced,93906
Meopham,Sesason,169080
Merstham,Full,134074
Merstham,Reduced,171918
Merstham,Sesason,356844
Micheldever,Full,25026
Micheldever,Reduced,38252
Micheldever,Sesason,107438
Midgham,Full,7618
Midgham,Reduced,18330
Midgham,Sesason,8362
Milford (Surrey),Full,70580
Milford (Surrey),Reduced,60012
Milford (Surrey),Sesason,150044
Millbrook (Hampshire),Full,14082
Millbrook (Hampshire),Reduced,8574
Millbrook (Hampshire),Sesason,14170
Milton Keynes Central,Full,1192140
Milton Keynes Central,Reduced,3454224
Milton Keynes Central,Sesason,2177962
Minster,Full,20542
Minster,Reduced,30504
Minster,Sesason,24922
Monks Risborough,Full,5592
Monks Risborough,Reduced,5432
Monks Risborough,Sesason,9942
Mortimer,Full,36374
Mortimer,Reduced,81812
Mortimer,Sesason,69834
Mottisfont & Dunbridge,Full,7778
Mottisfont & Dunbridge,Reduced,12660
Mottisfont & Dunbridge,Sesason,11224
Moulsecoomb,Full,104432
Moulsecoomb,Reduced,185834
Moulsecoomb,Sesason,86932
Netley,Full,29110
Netley,Reduced,36658
Netley,Sesason,32124
New Hythe,Full,57506
New Hythe,Reduced,45510
New Hythe,Sesason,58952
New Milton,Full,155156
New Milton,Reduced,317110
New Milton,Sesason,151168
Newbury,Full,372816
Newbury,Reduced,777462
Newbury,Sesason,654454
Newbury Racecourse,Full,15830
Newbury Racecourse,Reduced,57936
Newbury Racecourse,Sesason,19998
Newhaven Harbour,Full,15668
Newhaven Harbour,Reduced,20468
Newhaven Harbour,Sesason,21846
Newhaven Town,Full,76776
Newhaven Town,Reduced,123914
Newhaven Town,Sesason,80022
Newington,Full,29932
Newington,Reduced,31082
Newington,Sesason,77632
Normans Bay,Full,2940
Normans Bay,Reduced,6352
Normans Bay,Sesason,1324
North Camp,Full,105978
North Camp,Reduced,165522
North Camp,Sesason,106940
Northfleet,Full,31430
Northfleet,Reduced,29074
Northfleet,Sesason,49496
Nutbourne,Full,18360
Nutbourne,Reduced,21008
Nutbourne,Sesason,44348
Nutfield,Full,20068
Nutfield,Reduced,25330
Nutfield,Sesason,38698
Ockley,Full,11504
Ockley,Reduced,8700
Ockley,Sesason,14534
Ore,Full,32478
Ore,Reduced,36896
Ore,Sesason,104522
Otford,Full,104256
Otford,Reduced,157896
Otford,Sesason,164248
Overton,Full,31048
Overton,Reduced,48400
Overton,Sesason,117006
Oxford,Full,1193140
Oxford,Reduced,4838382
Oxford,Sesason,1952660
Oxford Parkway,Full,129638
Oxford Parkway,Reduced,606406
Oxford Parkway,Sesason,202800
Oxshott,Full,131864
Oxshott,Reduced,133222
Oxshott,Sesason,224682
Oxted,Full,215386
Oxted,Reduced,420208
Oxted,Sesason,936020
Paddock Wood,Full,217990
Paddock Wood,Reduced,345158
Paddock Wood,Sesason,618070
Pangbourne,Full,99606
Pangbourne,Reduced,169148
Pangbourne,Sesason,206970
Penshurst,Full,7582
Penshurst,Reduced,12358
Penshurst,Sesason,14914
Petersfield,Full,265620
Petersfield,Reduced,485254
Petersfield,Sesason,655584
Pevensey & Westham,Full,29634
Pevensey & Westham,Reduced,49420
Pevensey & Westham,Sesason,62418
Pevensey Bay,Full,598
Pevensey Bay,Reduced,780
Pevensey Bay,Sesason,6036
Pluckley,Full,17198
Pluckley,Reduced,35354
Pluckley,Sesason,61856
Plumpton,Full,17608
Plumpton,Reduced,50014
Plumpton,Sesason,41130
Polegate,Full,104356
Polegate,Reduced,486084
Polegate,Sesason,317828
Portchester,Full,113896
Portchester,Reduced,142462
Portchester,Sesason,86856
Portslade,Full,232808
Portslade,Reduced,383720
Portslade,Sesason,454038
Portsmouth & Southsea,Full,395542
Portsmouth & Southsea,Reduced,1137034
Portsmouth & Southsea,Sesason,456996
Portsmouth Harbour,Full,404662
Portsmouth Harbour,Reduced,1163252
Portsmouth Harbour,Sesason,467534
Preston Park,Full,145958
Preston Park,Reduced,215052
Preston Park,Sesason,142640
Princes Risborough,Full,144042
Princes Risborough,Reduced,161920
Princes Risborough,Sesason,273882
Pulborough,Full,78342
Pulborough,Reduced,147516
Pulborough,Sesason,141702
Queenborough,Full,63604
Queenborough,Reduced,60406
Queenborough,Sesason,51984
Radley,Full,36132
Radley,Reduced,53508
Radley,Sesason,52152
Rainham (Kent),Full,271116
Rainham (Kent),Reduced,508098
Rainham (Kent),Sesason,1043326
Ramsgate,Full,174162
Ramsgate,Reduced,592202
Ramsgate,Sesason,567912
Reading,Full,3597052
Reading,Reduced,7635050
Reading,Sesason,5747706
Reading West,Full,120030
Reading West,Reduced,147788
Reading West,Sesason,166186
Redbridge,Full,15182
Redbridge,Reduced,10286
Redbridge,Sesason,17118
Redhill,Full,803990
Redhill,Reduced,1294630
Redhill,Sesason,1455122
Reigate,Full,298126
Reigate,Reduced,359588
Reigate,Sesason,565664
Robertsbridge,Full,38304
Robertsbridge,Reduced,90130
Robertsbridge,Sesason,185550
Rochester,Full,317996
Rochester,Reduced,723970
Rochester,Sesason,775348
Romsey,Full,144844
Romsey,Reduced,230392
Romsey,Sesason,141522
Rowland's Castle,Full,23610
Rowland's Castle,Reduced,35874
Rowland's Castle,Sesason,66338
Ryde Esplanade,Full,157556
Ryde Esplanade,Reduced,44906
Ryde Esplanade,Sesason,56322
Ryde Pier Head,Full,118924
Ryde Pier Head,Reduced,68224
Ryde Pier Head,Sesason,24646
Ryde St.John's Road,Full,73832
Ryde St.John's Road,Reduced,15700
Ryde St.John's Road,Sesason,67318
Rye,Full,65056
Rye,Reduced,243868
Rye,Sesason,121942
Salfords,Full,55182
Salfords,Reduced,43788
Salfords,Sesason,37606
Sandhurst,Full,31466
Sandhurst,Reduced,59662
Sandhurst,Sesason,61274
Sandling,Full,13750
Sandling,Reduced,38290
Sandling,Sesason,34502
Sandown,Full,113502
Sandown,Reduced,16032
Sandown,Sesason,32776
Sandwich,Full,58116
Sandwich,Reduced,114706
Sandwich,Sesason,176044
Saunderton,Full,14352
Saunderton,Reduced,14492
Saunderton,Sesason,27282
Seaford,Full,113480
Seaford,Reduced,287090
Seaford,Sesason,226968
Seer Green,Full,40634
Seer Green,Reduced,32576
Seer Green,Sesason,75358
Selling,Full,18020
Selling,Reduced,41284
Selling,Sesason,23908
Sevenoaks,Full,790048
Sevenoaks,Reduced,1229682
Sevenoaks,Sesason,2134014
Shalford,Full,32288
Shalford,Reduced,30808
Shalford,Sesason,65576
Shanklin,Full,184690
Shanklin,Reduced,51122
Shanklin,Sesason,39264
Shawford,Full,36076
Shawford,Reduced,49464
Shawford,Sesason,111918
Sheerness-On-Sea,Full,130400
Sheerness-On-Sea,Reduced,184908
Sheerness-On-Sea,Sesason,134282
Shepherd's Well,Full,11612
Shepherd's Well,Reduced,23944
Shepherd's Well,Sesason,12798
Shepperton,Full,102260
