Entitlement Agency ID,PIM Link,Project name,Project address,Status,Entered status date,Total project units,Market rate units,Affordable units,TBD units,Applicant,Entitlement agency,Supervisor district,Environmental review type,Under Entitlement Review Start Date,Under Entitlement Review End Date,Entitled Start Date,Entitled End Date,Filed for Permits Start Date,Filed For Permits End Date,Under Construction Start Date,Under Construction End Date,Completed Construction Start Date
2014-001272PRJ,https://sfplanninggis.org/pim?search=2014-001272PRJ,Pier 70-Waterfront Site,525 20TH ST 94107,"Entitled, filed for permits",2019-11-25 00:00:00,1100,770,,330,Forest City Development CA,Planning,10,Initial Study-Environmental Impact Report,2014-11-10 00:00:00,2017-08-24 00:00:00,2017-08-24 00:00:00,2019-11-25 00:00:00,2019-11-25 00:00:00,,,,
2014.1370,https://sfplanninggis.org/pim?search=2014.1370,Parkmerced Development Phase 1 Application,"3711 - 0 19TH AV, SAN FRANCISCO, CA 94132","Entitled, filed for permits",2015-10-23 00:00:00,1013,710,,303,Gibson Dunn & Crutcher LLP,Planning,7,,,,,,2015-10-23 00:00:00,,,,
2015-015836PRJ,https://sfplanninggis.org/pim?search=2015-015836PRJ,1169 Market Street,1169 MARKET ST 94103,Under construction,2018-08-08 00:00:00,1002,702,,300,1188 Mission Street LP,Planning,6,,,,,,2015-11-20 00:00:00,2018-08-08 00:00:00,2018-08-08 00:00:00,,
2014-000203PRJ,https://sfplanninggis.org/pim?search=2014-000203PRJ,655 04TH ST,294 TOWNSEND ST 94107,"Entitled, filed for permits",2019-09-26 00:00:00,995,697,,298,"655 4th Property Holder, LP",Planning,6,Community Plan-Exemption/Exclusion,2015-11-16 00:00:00,2019-08-14 00:00:00,2019-08-14 00:00:00,2019-09-26 00:00:00,2019-09-26 00:00:00,,,,
2014-002541PRJ,https://sfplanninggis.org/pim?search=2014-002541PRJ,700 Innes Avenue - India Basin,896 INNES AVE 94124,"Entitled, not yet filed for permits",2019-08-05 00:00:00,980,686,,294,"India Basin Investment, LLC",Planning,10,Environmental Impact Report,2014-12-12 00:00:00,2019-08-05 00:00:00,2019-08-05 00:00:00,,,,,,
2012.1384,https://sfplanninggis.org/pim?search=2012.1384,400 02ND ST,"400 - 416 02ND ST, SAN FRANCISCO, CA 94105","Entitled, filed for permits",2020-03-09 00:00:00,957,670,,287,"One Vassar, LLC",Planning,6,,2016-04-29 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,,,,
2006.0838,https://sfplanninggis.org/pim?search=2006.0838,1350 STEVENSON ST,"","Entitled, not yet filed for permits",2006-09-27 00:00:00,880,616,,264,"Goldstein, Gellman, Melbostad, etc",Planning,,,2006-07-13 00:00:00,2006-09-27 00:00:00,2006-09-27 00:00:00,,,,,,
2015-004568PRJ,https://sfplanninggis.org/pim?search=2015-004568PRJ,10 SOUTH VAN NESS AVE,10 SOUTH VAN NESS AVE 94103,Under entitlement review,2015-04-14 00:00:00,855,599,,256,c/o Crescent Hieghts,Planning,6,,2015-04-14 00:00:00,,,,,,,,
2009.0932,https://sfplanninggis.org/pim?search=2009.0932,1880 MISSION ST,"1880 - 0 MISSION ST, SAN FRANCISCO, CA 94103",Completed,2013-09-30 00:00:00,808,566,,242,AGI Capital Group Inc.,Planning,,,2009-10-01 00:00:00,2009-12-03 00:00:00,2009-12-03 00:00:00,2009-12-03 00:00:00,2009-12-03 00:00:00,2011-11-07 00:00:00,2011-11-07 00:00:00,2013-09-30 00:00:00,2013-09-30 00:00:00
2000.1090,https://sfplanninggis.org/pim?search=2000.1090,300 Spear ST,"333 - 0 MAIN ST T C1, SAN FRANCISCO, CA 94105","Entitled, not yet filed for permits",2005-02-09 00:00:00,800,560,,240,"Reuben & Junius, LLP",Planning,,,2000-10-17 00:00:00,2005-02-09 00:00:00,2005-02-09 00:00:00,,,,,,
1997.856,https://sfplanninggis.org/pim?search=1997.856,455 BEACH ST,"550 - 0 NORTH POINT ST, SAN FRANCISCO, CA 94133",Completed,2001-05-07 00:00:00,759,532,,227,KMD,Planning,,,1997-12-05 00:00:00,1999-03-25 00:00:00,1999-03-25 00:00:00,1999-05-19 00:00:00,1999-05-19 00:00:00,,,,2001-05-07 00:00:00
2006.0305,https://sfplanninggis.org/pim?search=2006.0305,1146 MISSION ST,"0 - 0 SITUS TO BE ASSIGNED NITB, SAN FRANCISCO, CA 94103",Completed,2008-03-24 00:00:00,750,525,,225,"",Planning,,,,,,,2002-12-20 00:00:00,2006-01-10 00:00:00,2006-01-10 00:00:00,2008-03-24 00:00:00,2008-03-24 00:00:00
2012.1097,https://sfplanninggis.org/pim?search=2012.1097,201 FOLSOM STREET (aka 314 MAIN STREET),"201 - 201 FOLSOM ST, SAN FRANCISCO, CA 94105",Under construction,2013-10-01 00:00:00,669,469,,200,"Reuben, Junius, & Rose, LLP",Planning,,,2012-08-23 00:00:00,2012-10-18 00:00:00,2012-10-18 00:00:00,2012-10-18 00:00:00,2012-10-18 00:00:00,2013-10-01 00:00:00,2013-10-01 00:00:00,,
2016-011542PRJ,https://sfplanninggis.org/pim?search=2016-011542PRJ,2060 Folsom Street,2070 FOLSOM ST 94110,Under construction,2018-12-28 00:00:00,635,445,,190,"Senior Prperty Manager, MEDA",Planning,9,,2015-12-14 00:00:00,2016-08-23 00:00:00,2016-08-23 00:00:00,2016-08-23 00:00:00,2016-08-23 00:00:00,2018-12-28 00:00:00,2018-12-28 00:00:00,,
2014-000803PRJ,https://sfplanninggis.org/pim?search=2014-000803PRJ,Yotel - 1095 Market,1095 MARKET ST 94103,Under construction,2016-02-19 00:00:00,609,427,,182,"McComb, Susan",Planning,6,,,,,,2014-09-11 00:00:00,2016-02-19 00:00:00,2016-02-19 00:00:00,,
2003.0715,https://sfplanninggis.org/pim?search=2003.0715,260 KING ST (WEST),"250 - 0 KING ST 0400, SAN FRANCISCO, CA 94107",Completed,2004-10-06 00:00:00,586,411,,175,"",Planning,,,,,,,2000-11-30 00:00:00,2001-10-01 00:00:00,2001-10-01 00:00:00,2004-10-06 00:00:00,2004-10-06 00:00:00
2013.1865,https://sfplanninggis.org/pim?search=2013.1865,2070 BRYANT STREET,"2070 - 0 BRYANT ST, SAN FRANCISCO, CA 94110",Under construction,2018-01-25 00:00:00,582,408,,174,2070 Bryant Street JV LLC,Planning,,,,,,,2014-06-23 00:00:00,2018-01-25 00:00:00,2018-01-25 00:00:00,,
2019-006333PRL,https://sfplanninggis.org/pim?search=2019-006333PRL,Equinox,1500 MISSION ST 94103,Under construction,2019-11-25 00:00:00,550,385,,165,", 1500 MISSION URBAN HOUSING LLC",Planning,6,,,,,,2019-05-03 00:00:00,2019-11-25 00:00:00,2019-11-25 00:00:00,,
2017-011401PRJ,https://sfplanninggis.org/pim?search=2017-011401PRJ,245 01ST ST,245 01ST ST 94105,Under construction,2018-05-08 00:00:00,546,383,,163,",",Planning,,,,,,,2017-04-17 00:00:00,2018-05-08 00:00:00,2018-05-08 00:00:00,,
2013.0305,https://sfplanninggis.org/pim?search=2013.0305,DPW-307 Octavia Major Encroachment Permit,"307 - 307 OCTAVIA ST, SAN FRANCISCO, CA 94102",Completed,2014-10-30 00:00:00,546,383,,163,"Rivera, Javier",Planning,,,,,,,2013-02-13 00:00:00,2013-05-22 00:00:00,2013-05-22 00:00:00,2014-10-30 00:00:00,2014-10-30 00:00:00
1992.625,https://sfplanninggis.org/pim?search=1992.625,430 Hayes Street,"430 - 0 HAYES ST 0101, SAN FRANCISCO, CA 94102","Entitled, not yet filed for permits",1993-02-25 00:00:00,520,364,,156,Bruce D. Baumann & Associates,Planning,,,1992-10-21 00:00:00,1993-02-25 00:00:00,1993-02-25 00:00:00,1993-02-25 00:00:00,1993-02-25 00:00:00,1992-06-29 00:00:00,1992-06-29 00:00:00,,
2007.1192,https://sfplanninggis.org/pim?search=2007.1192,601 CRESCENT WAY,"0 - 0 SITUS TO BE ASSIGNED, SAN FRANCISCO, CA","Entitled, filed for permits",2004-01-14 00:00:00,465,326,,139,"Townsend, Lavelle",Planning,,,,,,,2004-01-14 00:00:00,,,,
2008.0711,https://sfplanninggis.org/pim?search=2008.0711,399 FREMONT ST,"355 - 375 SITUS TO BE ASSIGNED ST, SAN FRANCISCO, CA 94105","Entitled, not yet filed for permits",2008-08-08 00:00:00,452,317,,135,Fifield Building Icons,Planning,,,2008-06-17 00:00:00,2008-08-08 00:00:00,2008-08-08 00:00:00,,,,,,
2018-001243PRJ,https://sfplanninggis.org/pim?search=2018-001243PRJ,645 08TH ST,"",Under construction,2018-10-05 00:00:00,434,304,,130,"Srivastava, Amit",Planning,6,,2018-01-22 00:00:00,2018-09-10 00:00:00,2018-09-10 00:00:00,2018-09-10 00:00:00,2018-09-10 00:00:00,2018-10-05 00:00:00,2018-10-05 00:00:00,,
2015-007565PRJ,https://sfplanninggis.org/pim?search=2015-007565PRJ,801 BRANNAN ST,801 BRANNAN ST 94103,Completed,2018-12-03 00:00:00,434,304,,130,"Reuben, Junius & Rose, LLP",Planning,6,,,,,,2015-05-06 00:00:00,2015-08-12 00:00:00,2015-08-12 00:00:00,2018-12-03 00:00:00,2018-12-03 00:00:00
2015-003880PRJ,https://sfplanninggis.org/pim?search=2015-003880PRJ,636 - 648 4th Street,636 04TH ST 94107,Under entitlement review,2015-09-16 00:00:00,427,299,,128,Solbach Property Group,Planning,6,Initial Study-Negative Declaration,2015-09-16 00:00:00,,,,,,,,
2006.0872,https://sfplanninggis.org/pim?search=2006.0872,301 MISSION ST,"101 - 129 SITUS TO BE ASSIGNED ST C102, SAN FRANCISCO, CA 94105",Completed,2009-08-27 00:00:00,420,294,,126,"",Planning,,,,,,,2002-10-23 00:00:00,2006-03-01 00:00:00,2006-03-01 00:00:00,2009-08-27 00:00:00,2009-08-27 00:00:00
2015-007843PRJ,https://sfplanninggis.org/pim?search=2015-007843PRJ,350 08TH ST,350 08TH ST 94103,Completed,2018-11-15 00:00:00,408,286,,122,",",Planning,6,,,,,,2013-07-30 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,2018-11-15 00:00:00,2018-11-15 00:00:00
2019-017481PRJ,https://sfplanninggis.org/pim?search=2019-017481PRJ,530 SANSOME ST,424 MERCHANT ST 94111,Under entitlement review,2019-12-26 00:00:00,400,280,,120,"J. Abrams Law, P.C.",Planning,3,Initial Study-Environmental Impact Report,2019-12-26 00:00:00,,,,,,,,
2012.0032,https://sfplanninggis.org/pim?search=2012.0032,100 VAN NESS AV,"100 - 0 VAN NESS AV, SAN FRANCISCO, CA 94102",Completed,2016-09-29 00:00:00,399,280,,119,"Emerald Fund, Inc.",Planning,,Community Plan-Exemption/Exclusion,2012-03-30 00:00:00,2015-04-17 00:00:00,2015-04-17 00:00:00,2015-04-17 00:00:00,2015-04-17 00:00:00,2013-04-25 00:00:00,2013-04-25 00:00:00,2016-09-29 00:00:00,2016-09-29 00:00:00
2016-009102PRJ,https://sfplanninggis.org/pim?search=2016-009102PRJ,330 TOWNSEND ST,330 TOWNSEND ST 94107,Under entitlement review,2017-02-17 00:00:00,374,262,,112,CIM Group,Planning,6,,2017-02-17 00:00:00,,,,,,,,
2002.0801,https://sfplanninggis.org/pim?search=2002.0801,333 01ST ST,"333 - 3350 01ST ST, SAN FRANCISCO, CA 94105",Completed,2005-08-17 00:00:00,342,240,,102,"Steefel, Levitt & Weiss",Planning,,,,,,,2000-12-11 00:00:00,2002-07-18 00:00:00,2002-07-18 00:00:00,2005-08-17 00:00:00,2005-08-17 00:00:00
2017-014833PRJ,https://sfplanninggis.org/pim?search=2017-014833PRJ,469 STEVENSON ST,469 STEVENSON ST 94103,Under entitlement review,2017-11-14 00:00:00,336,236,,100,"Build, Inc.",Planning,6,,2017-11-14 00:00:00,,,,,,,,
2010.0630,https://sfplanninggis.org/pim?search=2010.0630,333 HARRISON ST  widening of side walk,"",Completed,2013-02-27 00:00:00,326,229,,97,Bureau of Street Use & Mapping,Planning,,,,,,,2010-06-30 00:00:00,2011-05-31 00:00:00,2011-05-31 00:00:00,2013-02-27 00:00:00,2013-02-27 00:00:00
2011.0312,https://sfplanninggis.org/pim?search=2011.0312,1321 Mission Street/104 - 9th Street,"104 - 112 09TH ST, SAN FRANCISCO, CA 94127",Completed,2016-09-13 00:00:00,320,224,,96,Dwellwell Group LLC,Planning,6,Initial Study-Negative Declaration,2011-07-08 00:00:00,2014-01-30 00:00:00,2014-01-30 00:00:00,2014-01-30 00:00:00,2014-01-30 00:00:00,2013-11-04 00:00:00,2013-11-04 00:00:00,2016-09-13 00:00:00,2016-09-13 00:00:00
2011.0108,https://sfplanninggis.org/pim?search=2011.0108,45 LANSING ST Addendum,"43 - 45 LANSING ST, SAN FRANCISCO, CA 94105",Completed,2017-12-20 00:00:00,320,224,,96,Steefel Levitt & Weiss,Planning,,EIR Addendum,2011-02-04 00:00:00,2011-05-02 00:00:00,2011-05-02 00:00:00,2011-05-02 00:00:00,2011-05-02 00:00:00,2013-08-19 00:00:00,2013-08-19 00:00:00,2017-12-20 00:00:00,2017-12-20 00:00:00
2000.1229,https://sfplanninggis.org/pim?search=2000.1229,"Pier 30-32, Seawall Lot 330","","Entitled, not yet filed for permits",2002-11-21 00:00:00,300,210,,90,Port of San Francisco,Planning,,EIR Supplement,2000-11-29 00:00:00,2002-11-21 00:00:00,2002-11-21 00:00:00,,,,,,
2018-000497PRJ,https://sfplanninggis.org/pim?search=2018-000497PRJ,350 02ND ST,350 02ND ST 94107,"Entitled, filed for permits",2019-09-05 00:00:00,299,210,,89,"Reuben, Junius and Rose, LLP",Planning,6,,2018-01-04 00:00:00,2018-11-13 00:00:00,2018-11-13 00:00:00,2019-09-05 00:00:00,2019-09-05 00:00:00,,,,
1993.305,https://sfplanninggis.org/pim?search=1993.305,111 Chestnut St/240 Lombard St,"200 - 0 LOMBARD ST 0114, SAN FRANCISCO, CA 94133","Entitled, not yet filed for permits",1995-08-17 00:00:00,282,198,,84,"",Planning,,,1993-05-18 00:00:00,1995-08-17 00:00:00,1995-08-17 00:00:00,,,,,,
2005.1085,https://sfplanninggis.org/pim?search=2005.1085,555 FULTON ST,"746 - 0 LAGUNA ST, SAN FRANCISCO, CA 94102","Entitled, filed for permits",2014-11-25 00:00:00,278,195,,83,"Reuben, Junius, & Rose, LLP",Planning,,Initial Study-Negative Declaration,2005-11-21 00:00:00,2014-11-25 00:00:00,2014-11-25 00:00:00,2014-11-25 00:00:00,2014-11-25 00:00:00,2014-07-28 00:00:00,2014-07-28 00:00:00,,
2006.0625,https://sfplanninggis.org/pim?search=2006.0625,200 BERRY ST,"",Completed,2009-04-06 00:00:00,268,188,,80,"Reuben, Junius and Rose LLP",Planning,,,,,,,2005-09-27 00:00:00,2006-08-17 00:00:00,2006-08-17 00:00:00,2009-04-06 00:00:00,2009-04-06 00:00:00
2018-004720PRJ,https://sfplanninggis.org/pim?search=2018-004720PRJ,276 5TH ST,276 05TH ST 94103,"Entitled, not yet filed for permits",2018-11-19 00:00:00,269,189,,80,Asian Bowl Inc,Planning,6,,2018-04-04 00:00:00,2018-11-19 00:00:00,2018-11-19 00:00:00,,,,,,
2004.0839,https://sfplanninggis.org/pim?search=2004.0839,660 TURK ST,"724 - 730 SITUS TO BE ASSIGNED AV, SAN FRANCISCO, CA 94102",Completed,2011-02-11 00:00:00,260,182,,78,"Marsteller, Charles",Planning,,,,,,,2002-05-02 00:00:00,2005-07-06 00:00:00,2005-07-06 00:00:00,2011-02-11 00:00:00,2011-02-11 00:00:00
1997.664,https://sfplanninggis.org/pim?search=1997.664,1045 MISSION ST,"1045 - 0 MISSION ST, SAN FRANCISCO, CA 94103",Completed,2001-02-13 00:00:00,258,181,,77,Farella Braun & Martell,Planning,,,1997-10-01 00:00:00,1998-04-29 00:00:00,1998-04-29 00:00:00,1998-07-31 00:00:00,1998-07-31 00:00:00,,,,2001-02-13 00:00:00
2016-003791PRJ,https://sfplanninggis.org/pim?search=2016-003791PRJ,401 3rd Street - Verizon Wireless Macro WTS Facility New Build,401 03RD ST 94107,"Entitled, not yet filed for permits",2017-05-24 00:00:00,257,180,,77,"Pepper, Kelly",Planning,6,,2016-03-23 00:00:00,2017-05-24 00:00:00,2017-05-24 00:00:00,,,,,,
2004.1007,https://sfplanninggis.org/pim?search=2004.1007,1066 MARKET ST,"1066 - 0 MARKET ST, SAN FRANCISCO, CA 94102","Entitled, not yet filed for permits",2009-12-14 00:00:00,255,179,,76,Russ Building Partnership,Planning,,Initial Study-Negative Declaration,2004-09-29 00:00:00,2009-12-14 00:00:00,2009-12-14 00:00:00,,,,,,
2004.1252,https://sfplanninggis.org/pim?search=2004.1252,2815 DIAMOND ST.,"2825 - 0 DIAMOND ST, SAN FRANCISCO, CA 94131",Completed,2006-11-16 00:00:00,255,179,,76,"",Planning,,,,,,,2004-04-23 00:00:00,2004-08-19 00:00:00,2004-08-19 00:00:00,2006-11-16 00:00:00,2006-11-16 00:00:00
2001.0452,https://sfplanninggis.org/pim?search=2001.0452,400 BEALE ST,"400 - 0 BEALE ST 0101, SAN FRANCISCO, CA",Completed,2003-02-07 00:00:00,245,172,,73,Bridgeview Development LLC,Planning,,,,,,,1997-09-23 00:00:00,2000-06-26 00:00:00,2000-06-26 00:00:00,2003-02-07 00:00:00,2003-02-07 00:00:00
2014-002024PRJ,https://sfplanninggis.org/pim?search=2014-002024PRJ,701 03RD ST,701 03RD ST 94107,Completed,2019-04-15 00:00:00,230,161,,69,Stanton Architecture,Planning,6,,2014-11-18 00:00:00,2016-05-16 00:00:00,2016-05-16 00:00:00,2016-05-16 00:00:00,2016-05-16 00:00:00,2017-05-01 00:00:00,2017-05-01 00:00:00,2019-04-15 00:00:00,2019-04-15 00:00:00
1999.320,https://sfplanninggis.org/pim?search=1999.320,88 King,"88 - 0 KING ST, SAN FRANCISCO, CA 94107",Completed,2000-04-10 00:00:00,233,164,,69,Rincon Ventures L.P,Planning,,,,,,,1997-03-05 00:00:00,1997-09-12 00:00:00,1997-09-12 00:00:00,2000-04-10 00:00:00,2000-04-10 00:00:00
2016-015365PRJ,https://sfplanninggis.org/pim?search=2016-015365PRJ,923 FOLSOM ST,923 FOLSOM ST 94107,Completed,2017-10-31 00:00:00,230,161,,69,"LLC, 923 FOLSOM ACQUISITION LLC",Planning,6,,,,,,2016-11-04 00:00:00,2017-03-24 00:00:00,2017-03-24 00:00:00,2017-10-31 00:00:00,2017-10-31 00:00:00
1999.278,https://sfplanninggis.org/pim?search=1999.278,388 Beale St. AKA 370 BEALE ST,"388 - 0 BEALE ST, SAN FRANCISCO, CA 94105",Completed,2003-06-25 00:00:00,226,159,,67,"",Planning,,,,,,,1997-08-19 00:00:00,,,,2003-06-25 00:00:00
2004.1237,https://sfplanninggis.org/pim?search=2004.1237,601 KING ST,"637 - 0 KING ST 0R-1, SAN FRANCISCO, CA 94107",Completed,2008-07-11 00:00:00,224,157,,67,"",Planning,,,,,,,2004-11-09 00:00:00,2005-12-23 00:00:00,2005-12-23 00:00:00,2008-07-11 00:00:00,2008-07-11 00:00:00
2018-013413PRJ,https://sfplanninggis.org/pim?search=2018-013413PRJ,1001 VAN NESS AVE,1001 VAN NESS AVE 94109,"Entitled, not yet filed for permits",2020-03-10 00:00:00,215,151,,64,"Oryx Partners, LLC",Planning,5,,2018-10-02 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,,,,
2013.1453,https://sfplanninggis.org/pim?search=2013.1453,2121 3RD STREET & 740 ILLINOIS STREET,"2121 - 0 03RD ST, SAN FRANCISCO, CA 94107",Under construction,2012-11-05 00:00:00,210,147,,63,Zack de Vito Architecture,Planning,,,,,,,2011-11-17 00:00:00,2012-11-05 00:00:00,2012-11-05 00:00:00,,
2017-003559PRJ,https://sfplanninggis.org/pim?search=2017-003559PRJ,3700 CALIFORNIA ST,0 UNKNOWN 94118,Under entitlement review,2017-03-17 00:00:00,207,145,,62,TMG Partners,Planning,2,,2017-03-17 00:00:00,,,,,,,,
2011.0038,https://sfplanninggis.org/pim?search=2011.0038,250 4TH ST,"250 - 0 04TH ST, SAN FRANCISCO, CA 94103","Entitled, filed for permits",2018-08-21 00:00:00,208,146,,62,Michael Stanton Architecture,Planning,,Initial Study-Negative Declaration,2011-01-14 00:00:00,2018-08-21 00:00:00,2018-08-21 00:00:00,2018-08-21 00:00:00,2018-08-21 00:00:00,2015-09-24 00:00:00,2015-09-24 00:00:00,,
2004.1030,https://sfplanninggis.org/pim?search=2004.1030,1321 Mission St. (aka 104-112 9th),"104 - 112 09TH ST, SAN FRANCISCO, CA 94127","Entitled, not yet filed for permits",2005-08-19 00:00:00,204,143,,61,"655 4th Street, LLC",Planning,,,2004-09-30 00:00:00,2005-08-19 00:00:00,2005-08-19 00:00:00,,,,,,
2000.257,https://sfplanninggis.org/pim?search=2000.257,200 Townsend Street,"336 - 0 SITUS TO BE ASSIGNED ST, SAN FRANCISCO, CA 94103",Completed,2003-10-15 00:00:00,204,143,,61,"Success Development, Inc.",Planning,,,2000-03-14 00:00:00,2000-08-29 00:00:00,2000-08-29 00:00:00,2000-08-29 00:00:00,2000-08-29 00:00:00,2001-04-11 00:00:00,2001-04-11 00:00:00,2003-10-15 00:00:00,2003-10-15 00:00:00
2005.0126,https://sfplanninggis.org/pim?search=2005.0126,170 KING ST,"170 - 0 KING ST 0105, SAN FRANCISCO, CA",Completed,2007-11-29 00:00:00,198,139,,59,MARTIN M. RON ASSOC INC,Planning,,,,,,,2003-12-24 00:00:00,2004-11-10 00:00:00,2004-11-10 00:00:00,2007-11-29 00:00:00,2007-11-29 00:00:00
2016-004375PRJ,https://sfplanninggis.org/pim?search=2016-004375PRJ,302 SILVER AVE,302 SILVER AVE 94112,Under construction,2017-08-14 00:00:00,198,139,,59,"DISABLED, HEBREW HOME AGED DISABLED",Planning,11,,,,,,2016-03-15 00:00:00,2017-08-14 00:00:00,2017-08-14 00:00:00,,
2002.0121,https://sfplanninggis.org/pim?search=2002.0121,428 8TH ST. (1247 HARRISON ST),"428 - 0 08TH ST 0001, SAN FRANCISCO, CA 94103",Completed,2004-06-03 00:00:00,192,135,,57,"Kerley, Dan",Planning,,,,,,,1999-04-21 00:00:00,2001-06-11 00:00:00,2001-06-11 00:00:00,2004-06-03 00:00:00,2004-06-03 00:00:00
2015-007525PRJ,https://sfplanninggis.org/pim?search=2015-007525PRJ,57 TAYLOR ST AKA 111 TURK,57 TAYLOR ST 94102,"Entitled, not yet filed for permits",2017-11-16 00:00:00,190,133,,57,"Architecture International, Ltd.",Planning,6,Categorical Exemption-Class 32,2015-10-19 00:00:00,2017-11-16 00:00:00,2017-11-16 00:00:00,,,,,,
2016-006860PRJ,https://sfplanninggis.org/pim?search=2016-006860PRJ,65 OCEAN AVE,65 OCEAN AVE 94112,Under entitlement review,2016-11-29 00:00:00,193,136,,57,"Agrippa, LLC",Planning,11,Categorical Exemption-Class 32,2016-11-29 00:00:00,,,,,,,,
2013.0511,https://sfplanninggis.org/pim?search=2013.0511,1125 MARKET ST,"1125 - 0 MARKET ST, SAN FRANCISCO, CA 94103",Under entitlement review,2013-11-15 00:00:00,180,126,,54,Badiner Urban Planning,Planning,,Initial Study-Negative Declaration,2013-11-15 00:00:00,,,,,,,,
2016-013754PRJ,https://sfplanninggis.org/pim?search=2016-013754PRJ,323 OCTAVIA ST,323 OCTAVIA ST 94102,"Entitled, not yet filed for permits",2017-02-28 00:00:00,182,128,,54,"HAYES, HAYES VALLEY LP",Planning,5,,2016-12-21 00:00:00,2017-02-28 00:00:00,2017-02-28 00:00:00,2017-02-28 00:00:00,2017-02-28 00:00:00,,,,
2012.0372,https://sfplanninggis.org/pim?search=2012.0372,800 Brotherhood Way,"3711 - 0 SITUS TO BE ASSIGNED AV, SAN FRANCISCO, CA","Entitled, not yet filed for permits",2012-05-22 00:00:00,182,128,,54,Jackson Liles,Planning,,,2012-03-22 00:00:00,2012-05-22 00:00:00,2012-05-22 00:00:00,,,,,,
